song_name,href,lyric,artist
คนข้างข้าง,/music/thailyric/8582,"เธอเห็นขอบฟ้านั้นไหม สักวันจะพาเธอไป
บนทางที่มี บางทีก็หกล้ม ไม่เป็นไร

มีเธอเป็นเพื่อนร่วมทาง จับมือเคียงข้างไม่ห่าง
แค่นี้ก็พอ ชีวิตก็มีครบ แล้วทุกอย่าง

อู้วว ทำทุกวันที่มีให้งดงาม (ด้วยกัน)
เชื่อว่าวันดีๆ มันจะรออยู่ที่ปลายทาง (โว๊ะโอโอโอโอ่)

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง

ที่นี้คือโลกอีกใบ ที่นี้จะไม่มีใคร
แค่เธอกับฉัน ที่รู้ว่าโลกนี้ เป็นยังไง

อู้วว ทำทุกวันที่มีให้งดงาม (ด้วยกัน)
เชื่อว่าวันดีๆ มันจะรออยู่ที่ปลายทาง (โว๊ะโอโอโอโอ่)

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง

อู้วว ทำทุกวันที่มีให้งดงาม (ด้วยกัน)
เชื่อว่าวันดีๆ มันจะรออยู่ที่ปลายทาง (โว๊ะโอโอโอโอ่)

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง",25_hours
คิดเหมือนกันหรือเปล่า,/music/thailyric/8529,"ฉันรู้สึกเราเข้ากันพอดี
ยิ้มที่เธอมีไม่เหมือนใครใคร
รู้หรือเปล่าว่าฉันเพ้อไปไกล
ทุกนาที ที่ได้พบกับเธอ

(huhuhu...) อยากอ่านความคิดเธอออก
(huhuhu...) ช่วยบอกสักคำได้ไหม

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า

ฝันของฉันวันนี้มีเพียงเธอ
ฝันของเธอมีฉันบ้างหรือเปล่า
ฉันคอยจดจำเรื่อราวของเรา
หรือว่าเธอไม่ได้คิดอะไร

(huhuhu...) อยากอ่านความคิดเธอออก
(huhuhu...) ช่วยบอกสักคำได้ไหม

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า",25_hours
เที่ยงคืนสิบห้านาที,/music/thailyric/11791,"เที่ยงคืนสิบห้านาที กับวันที่ฉันนั่งเหม่อ
ที่เดิมเธอชอบนั่งตรงนี้
ยิ่งมองยิ่งเหมือนมีเธอ

โอ้ ตอนนี้ มีคนคิดถึงอยู่
โอ้ ตอนนี้ มีคนพร่ำเพ้ออยู่

เธอจะสบายดีไหม ที่นั่นตอนนี้เป็นอย่างไร
เราขาดอะไรไป รู้สึกบ้างไหมเล่าเธอ
เธอจะสบายดีไหม คือสิ่งที่คิดไว้เสมอ
ที่นี่ไม่มีเธอ ที่นั่นก็ไม่มีฉัน

ทุกครั้งที่คิดถึงเธอ มันไม่ใช่แค่ตอนตื่น
ถึงเวลาที่ฉันหลับไหล ก็ยังเจอเธอทุกคืน

โอ้ ตอนนี้ มีคนคิดถึงอยู่
โอ้ ตอนนี้ มีคนพร่ำเพ้ออยู่

เธอจะสบายดีไหม ที่นั่นตอนนี้เป็นอย่างไร
เราขาดอะไรไป รู้สึกบ้างไหมเล่าเธอ
เธอจะสบายดีไหม คือสิ่งที่คิดไว้เสมอ
ที่นี่ไม่มีเธอ ที่นั่นก็ไม่มีฉัน

โอ้ ตอนนี้ มีคนคิดถึงอยู่
โอ้ ตอนนี้ มีคนพร่ำเพ้ออยู่

เธอจะสบายดีไหม ที่นั่นตอนนี้เป็นอย่างไร
เราขาดอะไรไป รู้สึกบ้างไหมเล่าเธอ
เธอจะสบายดีไหม คือสิ่งที่คิดไว้เสมอ
ที่นี่ไม่มีเธอ ที่นั่นก็ไม่มีฉัน

เธอจะสบายดีไหม ที่นั่นตอนนี้เป็นอย่างไร
เราขาดอะไรไป รู้สึกบ้างไหมเล่าเธอ
เธอจะสบายดีไหม คือสิ่งที่คิดไว้เสมอ
ที่นี่ไม่มีเธอ ที่นั่นก็ไม่มีฉัน

เธอจะสบายดีไหม
เธอจะสบายดีไหม

ที่นี่ไม่มีเธอ ที่นั่นก็ไม่มีฉัน",25_hours
ใบไม้,/music/thailyric/11789,"เธอใช่ไหม ที่เดินเข้ามาและทำให้ใจฉันไหว
ดั่งยอดกิ่งไม้ ที่โดนแค่ลมก็ไหว
ดั่งลมเมื่อต้องใบไม้ ก็ลอยไปไกล

เธอใช่ไหม เธอเดินเข้ามา
แค่เพียงชั่วคราวใช่ไหม
ดั่งลมที่พัด แค่เพียงผ่านไปใช่ไหม
เธอทำหนึ่งคนให้ฝัน และเดินจากไปแค่นั้น

เธอเองจะรู้บ้างหรือเปล่า
วันนั้นที่เธอได้กอดฉัน
มันเปลี่ยนชีวิต คนหนึ่งไปเท่าไร

เธอเองจะรู้บ้างหรือเปล่า
คำนั้นที่เธอพร่ำบอกฉัน
มันเปลี่ยนชีวิต คนคนนี้ยังไง

เธอใช่ไหม ที่ดึงให้ฉันขึ้นมาจากวันร้ายๆ
แต่เธอกลับทิ้ง ให้ฉันร่วงหล่น ลงไป
เป็นเพียงแค่เศษใบไม้ คงเป็นได้เพียงแค่นั้น

เธอเองจะรู้บ้างหรือเปล่า
วันนั้นที่เธอได้กอดฉัน
มันเปลี่ยนชีวิต คนหนึ่งไปเท่าไร

เธอเองจะรู้บ้างหรือเปล่า
คำนั้นที่เธอพร่ำบอกฉัน
มันเปลี่ยนชีวิต คนคนนี้ยังไง

เธอเองจะรู้บ้างหรือเปล่า
วันนั้นที่เธอได้กอดฉัน
มันเปลี่ยนชีวิต คนหนึ่งไปเท่าไร

เธอเองจะรู้บ้างหรือเปล่า
คำนั้นที่เธอพร่ำบอกฉัน
มันเปลี่ยนชีวิต คนหนึ่งไปเท่าไร

เธอเองจะรู้บ้างหรือเปล่า
วันนั้นที่เธอได้กอดฉัน
มันเปลี่ยนชีวิต คนหนึ่งไปเท่าไร

เธอเองจะรู้บ้างหรือเปล่า
คำนั้นที่เธอพร่ำบอกฉัน
มันเปลี่ยนชีวิต คนคนนี้ยังไง",25_hours
ย้อนเวลา,/music/thailyric/11790,"สิ่งดีดีที่มีจวบจนวันนี้
มันยังคงดีงามเหมือนเก่า
ต่างกันตรงที่เธอไม่อยู่ตรงนี้
ไม่มีเธอคนเดิมอีกแล้ว

อยากย้อนเวลา อยากย้อนไปวันวาน
อยากย้อนเวลา อยากขอเธอคืนมา
คงได้แค่หวัง

ตั้งแต่วันที่ฉันกลับมาตรงนี้
ภาพดีดียังคงเหมือนเก่า
ต่างกันเพียงแค่เธอในเวลานี้
ไม่ใช่เธอคนเดิมอีกแล้ว

อยากย้อนเวลา อยากย้อนไปวันวาน
อยากย้อนเวลา อยากขอเธอคืนมา
คงได้แค่หวัง

คิดถึงเธอ ก็ยังคงคิดถึงเธอ
ไม่เคยเปลี่ยน
ทุกถ้อยคำ ยังจำอยู่ทุกถ้อยคำ
แต่ทุกอย่าง คงได้แค่หวัง

อยากให้เธอคนเดิมกลับมาทางนี้
กลับมาเป็นคนเดิมเหมือนเก่า
ตั้งแต่เธอเปลี่ยนใจจากคนคนนี้
เธอรู้ไหมมันช่างเงียบเหงา",25_hours
ร้องไห้ทำไม,/music/thailyric/8583,"รัก รักเขามากแค่ไหน
แต่เขาก็ทิ้งเธอไป
ไม่พูดสักคำ

รู้ รู้ว่าต้องเจ็บช้ำ
แต่เรื่องที่ไม่ควรจำ
บางทีเธอต้องหนี

คราบน้ำตาที่เหลือเมื่อครั้งเก่า
มันยังบอกว่าเขาทำร้ายเธอเอาไว้มากเท่าไร

หยุดมันได้ไหมฟังฉันก่อน
ห้ามมันเอาไว้คิดก่อน
มันก็แค่คนที่ผ่านเข้ามาทำร้าย
ร้องไห้ทำไม

รัก รักเขามากแค่ไหน
สักวันเธอก็เข้าใจ
เมื่อฟ้านั้นเปลี่ยนสี

คราบน้ำตาที่เหลือเมื่อครั้งเก่า
มันยังบอกว่าเขาทำร้ายเธอเอาไว้มากเท่าไร

หยุดมันได้ไหมฟังฉันก่อน
ห้ามมันเอาไว้คิดก่อน
มันก็แค่คนที่ผ่านเข้ามาทำร้าย
ร้องไห้ทำไม

หยุดมันได้ไหมฟังฉันก่อน
ห้ามมันเอาไว้คิดก่อน
มันก็แค่คนที่ผ่านเข้ามาทำร้าย

หยุดมันได้ไหมฟังฉันก่อน
ห้ามมันเอาไว้คิดก่อน
มันก็แค่คนที่ผ่านเข้ามาทำร้าย
ร้องไห้ทำไม",25_hours
โลกใบใหม่,/music/thailyric/8424,"ท้องฟ้ากว้างไกล เธอว่าไหม
ไม่รู้ฉันกลัว เมฆก้อนใหญ่
ท้องทะเล ก็ดูสดใส
ไม่รู้ฉันกลัว คลื่นลูกใหญ่

แค่ส่งมือให้ฉัน วิ่งไปด้วยกัน
ไม่ต้องกลัว ให้ฉันวิ่งไปกับเธอ

คว้าดวงดาวที่อยู่บนนั้น
ไม่มีทางมือฉันสั้นไป
ข้ามกำแพงที่กั้นเอาไว้
ไม่มีทางขาฉันสั้นไป

แค่ส่งมือให้ฉัน วิ่งไปด้วยกัน
ไม่ต้องกลัว ให้ฉันวิ่งไปกับเธอ
เศษดินที่เปื้อนรองเท้าของเธอ
จะทำให้โลกได้รู้จักเธอ

แค่ส่งมือให้ฉัน วิ่งไปด้วยกัน
ไม่ต้องกลัว ให้ฉันวิ่งไปกับเธอ
เศษดินที่เปื้อนรองเท้าของเธอ
จะทำให้โลกได้รู้จักเธอ

แค่ส่งมือให้ฉัน วิ่งไปด้วยกัน
ไม่ต้องกลัว ให้ฉันวิ่งไปกับเธอ
เศษดินที่เปื้อนรองเท้าของเธอ
จะทำให้โลกได้รู้จักเธอ

ท้องฟ้ากว้างไกล เธอว่าไหม
เตรียมตัวพบกับโลกใบใหม่",25_hours
เหมือน,/music/thailyric/9845,"เหมือนเป็นสิ่ง ที่ไม่เคยบอก
เหมือนทุกอย่าง เธอนั้นดูออก
มองตาก็เห็นข้างใน เธอรู้ใจฉันกว่าใคร

เหมือนได้กล่อง ของขวัญวันเกิด
มีความสุข แม้ไม่ได้เปิด
เหมือนบ้านที่แสนอบอุ่น เหมือนทุกสิ่งเริ่มหยุดหมุน

Lala Lala ทั้งหมดหัวใจฉันให้เธอ
Lala Lala เหมือนถูกสะกดด้วยเวทมนตร์ จากเธอ

อ้อมแขนของเธอ ได้ทำให้คนคนๆ นี้ เหมือนเป็นคนใหม่
โอ้ว ฉันเป็นของเธอ ฉันเป็นของเธอ และจะไม่เป็นของใคร
รอยยิ้มของเธอ ได้ทำให้คนๆ นี้ เกือบลืมหายใจ
โอ้ว แค่เธอสัญญา แค่เธอสัญญา กับฉันว่าจะรักกันเรื่อยไป

เหมือนวันศุกร์ ที่ใกล้วันหยุด
เหมือนความสุข ที่ไม่เคยหยุด
เหมือนบ้านที่แสนอบอุ่น เหมือนทุกสิ่งเริ่มหยุดหมุน

Lala Lala ทั้งหมดหัวใจฉันให้เธอ
Lala Lala เหมือนถูกสะกดด้วยเวทมนตร์ จากเธอ

อ้อมแขนของเธอ ได้ทำให้คนคนๆ นี้ เหมือนเป็นคนใหม่
โอ้ว ฉันเป็นของเธอ ฉันเป็นของเธอ และจะไม่เป็นของใคร
รอยยิ้มของเธอ ได้ทำให้คนๆ นี้ เกือบลืมหายใจ
โอ้ว แค่เธอสัญญา แค่เธอสัญญา กับฉันว่าจะรักกันเรื่อยไป

อ้อมแขนของเธอ ได้ทำให้คนคนๆ นี้ เหมือนเป็นคนใหม่
โอ้ว ฉันเป็นของเธอ ฉันเป็นของเธอ และจะไม่เป็นของใคร
รอยยิ้มของเธอ ได้ทำให้คนๆ นี้ เกือบลืมหายใจ
โอ้ว แค่เธอสัญญา แค่เธอสัญญา กับฉันว่าจะรักกันเรื่อยไป",25_hours
ไม่กลัว,/music/thailyric/11311,"บนทางเดินที่ฉันมี กี่ทีที่ฉันพลาด
และฉันเดินมาเพียงลำพัง
ฉันไม่รู้ว่ามีใคร จะไปกับฉันบ้าง
จนวันหนึ่งเธอนั้นเข้ามา

เดินข้างๆ กันเธอทำให้ฉันมั่นใจ
ไม่ว่ามันจะร้อนจะหนาวแค่ไหน
ขอให้มีเธอ อยากให้เธออยู่ ให้เธออยู่
แม้จะท้อแค่ไหน ถ้าได้เห็นเธอยืนอยู่ตรงนี้ ไม่กลัว

ฉันไม่คิดว่ามีใคร จะดีกับฉันได้
เท่าที่เธอนั้นมีให้กัน
ฉันนั้นหวังว่าสักวันจะตอบแทนให้ได้
เท่าที่เธอให้ฉันก็พอ

เดินข้างๆ กันเธอทำให้ฉันมั่นใจ
ไม่ว่ามันจะร้อนจะหนาวแค่ไหน
ขอให้มีเธอ อยากให้เธออยู่ ให้เธออยู่
แม้จะท้อแค่ไหน ถ้าได้เห็นเธอยืนอยู่ตรงนี้ ไม่กลัว

เดินข้างๆ กันเธอทำให้ฉันมั่นใจ
ไม่ว่ามันจะร้อนจะหนาวแค่ไหน
ขอให้มีเธอ อยากให้เธออยู่ ให้เธออยู่
แม้จะท้อแค่ไหน ถ้าได้เห็นเธอยืนอยู่ตรงนี้

จะร้อนจะหนาวแค่ไหน ขอให้มีเธอ
อยากให้เธออยู่ ให้เธออยู่
แม้จะท้อแค่ไหน ถ้าได้เห็นเธอยืนอยู่ตรงนี้ ไม่กลัว",25_hours
เด็กน้อย,/music/thailyric/10840,"วันนั้น ถ้าหมุนเวลาย้อนไปอีกครั้ง
ในวันที่เราไม่เคยเจอกัน
เธอเป็นเด็กน้อย ฉันเป็นเด็กน้อย
ไม่รู้ประสาอะไร

วันนี้ ไม่รู้ความจริงหรือว่าความฝัน
เมื่อฉันและเธอนั้นได้รักกัน
เธอเป็นคนดี เป็นคนที่ดี
และฉันโชคดีจริงๆ

ถ้าวันหนึ่งเธอนั้นแก่ (เธอนั้นแก่)
ส่งมือเหี่ยวๆ มาให้ฉัน (มาให้ฉัน)
เราจะแก่ไปพร้อมกัน ฉันจะดูแลเธอเอง

เด็กน้อย สักวันเจ้าคงต้องมีความฝัน
การมีความรักนั้นก็สำคัญ
ถ้าเจ้าได้เจอ เจอคนที่ดี รักษาเขาไว้ดีๆ

ลา ล้า ลา ล่า ล้า ลา ล้า ลา ล่า ล้า ลา
ล้า ลา ล่า ล้า ลา
ลา ล้า ลา ล่า ล้า ลา ล้า ลา ล่า ล้า ลา
ล้า ลา ล่า ลา ล้า

ถ้าวันหนึ่งเธอนั้นแก่ (เธอนั้นแก่)
ส่งมือเหี่ยวๆ มาให้ฉัน (มาให้ฉัน)
เราจะแก่ไปพร้อมกัน ฉันจะดูแลเธอเอง

วันนี้ ไม่รู้ความจริงหรือว่าความฝัน
เมื่อฉันและเธอนั้นได้รักกัน
เธอเป็นคนดี เป็นคนที่ดี
และฉันโชคดีจริงๆ",25_hours
