song_name,href,lyric,artist
Like A Bling,/music/thailyric/20659,"เธอเดินลงมาจาก Lambo เธอดูดี Everything
เธอชอบเข้ามา Take Care และเปย์ Celine และ Gucci
บางทีก็ Rolex บางที Chanel Boy ที่ดู Flex
ส่งของมาเอาใจแล้วเธอก็คิดว่าดู Cool

You say you love me but you don't know about me
บอกเลย I don't like It ถ้าจะจีบจะรุกเกินไปขนาดนี้
Bling Bling Bling Bling Like diamond ring ring
B-B Blah Blah Blah Blah Like nothing nothing

It's up to you boy ไม่ได้อยากให้นอยด์
แค่ไม่แน่ใจ ไม่เป็นไรถ้าไม่คอย
I'm not your toy ดูเธอไม่ค่อยเข้าใจ

เจอกับฉันไม่เท่าไร เธอมารักกันเมื่อไร
ก็ไม่รู้ Why Why Why เธอทำฉันไม่ค่อยไว้ใจ

มันช่าง Bling Bling ใครได้มองต้องหลงใหล
มันช่าง Wink Wink ใครได้มองต้องหวั่นไหว
แต่สุดท้ายแค่หลอกสายตา

ที่เธอทำดีมันก็เกือบโดนใจ
อาจจะดูดีแต่ไม่ค่อยจริงใจ
เรื่องความรักต้องใช้เวลา

Your love is Like A Bling Bling Bling Bling
So Wink Wink Wink Wink
It's so shine, Make me so high
แค่กลัวมันจะไม่จริง จริง จริง จริง

Like a Bling Bling Bling Bling
So Wink Wink Wink Wink
ถ้าเธอจริงใจ โชว์หน่อยได้ไหม
ว่ารักของเธอน่ะจริง

It's like a Bling Bling Bling Bling Bling
Bling Bling Bling Like a Bling like a Bling
Bling Bling Bling Bling Bling
Bling Bling Bling your love is like a

Bling Bling Bling Bling Bling
Bling Bling Bling like a Bling like a Bling
Bling Bling Bling Bling Bling
Bling Bling Bling your love is like a

I don't want necklace or gold chain
Just somebody real and don't play no game
Aey ความรักของเธอมัน Feel like a wip wup
ของจริงของปลอมมันดูห่างกันลิบลับ

ไม่ต้องแหวน Bvlgari จิบไวน์  Burgundy
ไม่ต้อง Racks on Racks หรือว่าขับ Bugatti
Hermes มันก็ดี Cartier มันก็ดี
แต่ฉันแค่อยากมีเธอ ไม่ต้องเป็น Sheiks Abu Dhabi

It's up to you boy ไม่ได้อยากให้นอยด์
แค่ไม่แน่ใจ ไม่เป็นไรถ้าไม่คอย
I'm not your toy ดูเธอไม่ค่อยเข้าใจ

เจอกับฉันไม่เท่าไร เธอมารักกันเมื่อไร
ก็ไม่รู้ Why Why Why เธอทำฉันไม่ค่อยไว้ใจ

มันช่าง Bling Bling ใครได้มองต้องหลงไหล
มันช่าง Wink Wink ใครได้มองต้องหวั่นไหว
แต่สุดท้ายแค่หลอกสายตา

ที่เธอทำดีมันก็เกือบโดนใจ
อาจจะดูดีแต่ไม่ค่อยจริงใจ
เรื่องความรักต้องใช้เวลา

Your love is like a Bling Bling Bling Bling
So Wink Wink Wink Wink
It's so shine Make me so high
แค่กลัวมันจะไม่จริง จริง จริง จริง

Like a Bling Bling Bling Bling
So Wink Wink Wink Wink
ถ้าเธอจริงใจ โชว์หน่อยได้ไหม
ว่ารักของเธอน่ะจริง

It's like a Bling Bling Bling Bling Bling (Hey)
Bling Bling Bling like a Bling like a Bling (Hey)
Bling Bling Bling Bling Bling  (Hey)
Bling Bling Bling your love is like a

Bling Bling Bling Bling Bling (Hey)
Bling Bling Bling like a Bling like a Bling (Hey)
Bling Bling Bling Bling Bling (Hey)
Bling Bling Bling your love is like a Bling",4eve
วัดปะหล่ะ? (Test Me),/music/thailyric/20660,"ไม่ต้องกลัวซ้ำกับใคร (ฉันไม่เหมือนใคร)
และไม่ได้เหมือนเขาแน่นอน
ได้ข่าวว่าเขาอะดี เธอต้องดูฉันก่อน
ให้เธอจอง ให้เธอได้เป็นที่หนึ่ง

ฉันรู้ว่าเธอไม่รู้ว่าใครที่คู่ควร
ก็เพราะว่าใจเธอมีแต่เขานี่หน่า
แต่ถ้าเธอได้ลองคิด (คิดสิ)
เปิดใจให้ออกมาได้รู้จักกันสักนิด Yeah (Like this)
แล้วเธอจะเห็นบางคนที่ใจเธอตามหา

เขารักเธอเท่าไร ฉันรักเธอมากกว่า
ไม่รู้ว่าเท่าไร But I love you more
เขาให้เท่าไร (ให้เท่าไร)
จะให้มากกว่านั้น (ฉันแน่ใจ)
อยากจะท้า มีใครให้มากกว่าฉัน
วัดกันเลยฉันคงไม่แพ้

Listen, I've got something to say to you
I'm just the one who loves you more
Yeah, Let's check it out

เธออยู่กับเขาก็ดี แต่อยู่กับฉันจะดีกว่า
ถ้าอยากรู้จักกันขอสักวันได้เปล่า (I'm OK)
นัดมาเหอะ เธอจะลืมเขาแน่นอน

ฉันรู้ว่าเธอไม่รู้ว่าใครที่คู่ควร
ก็เพราะว่าใจเธอมีแต่เขานี่หน่า
แต่ถ้าเธอลองได้คิด (คิดสิ)
เปิดใจให้ออกมาได้รู้จักกันสักนิด Yeah (Like this)
แล้วเธอจะเห็นบางคนที่ใจเธอตามหา

เขารักเธอเท่าไร ฉันรักเธอมากกว่า
ไม่รู้ว่าเท่าไร But I love you more
เขาให้เท่าไร (ให้เท่าไร)
จะให้มากกว่านั้น (ฉันแน่ใจ)
อยากจะท้า มีใครให้มากกว่าฉัน
วัดกันเลยฉันคงไม่แพ้

อยากให้ลองมาวัดกันดู สักวันเธอจะได้รู้
คนที่เธอมองข้ามอย่างฉัน มันไม่ยอม
รักเธอมากกว่าเขาอีก แค่เธอลอง
Baby baby baby babe I want your love
Baby baby baby babe I need your love
ขอแค่ให้ได้รัก แค่ได้รักกับเธอ

เขารักเธอเท่าไร ฉันรักเธอมากกว่า
ไม่รู้ว่าเท่าไร But I love you more
เขาให้เท่าไร (ให้เท่าไร)
จะให้มากกว่านั้น (ฉันแน่ใจ)
อยากจะท้า มีใครให้มากกว่าฉัน
วัดกันเลยฉันคงไม่แพ้

ขอแค่เธอได้ลองคิด
เปิดใจให้ออกมา ได้รู้จักกันสักนิด Yeah (Like this)
วัดกันเลยฉันคงไม่แพ้

ขอแค่เธอได้ลองคิด
เปิดใจให้ออกมา ได้รู้จักกันสักนิด Yeah (Like this)
วัดกันเลยฉันคงไม่แพ้ใคร",4eve
Casual,/music/thailyric/20739,"ไม่ต้องพูดว่ารัก ถ้ายังไม่มั่นใจ
ไม่ต้องให้ดอกไม้ ก็ฉันไม่เหมือนใคร
Go on take it slow oh
We can keep it Casual

แค่คำพูดว่ารัก ไม่มีความหมายใด
ไม่ต้องรีบได้ไหม ขอแค่เธอจริงใจ
Go on take it slow oh
ไม่เป็นไรถ้ายังไม่ชัวร์
We can keep it casual

เธอคงได้ยินที่ใครเขาพูดกัน
ถ้าคิดจะรักก็ต้องตามใจ ฉันถึงจะสนใจ
แต่เพิ่งเริ่มคุยกันได้ไม่เท่าไร
ก็พูดว่ารักออกมาอย่างง่ายดาย แอบคิดว่าเธอ ยังไงเนี่ย

ทุกคืนที่ทักมา อยากจะรู้ว่าเธอคิดอะไร
อยากรู้จักฉันจริงๆ หรือแค่กลัวโดนแมวคาบไป
Just be yourself ได้ไหม
เรื่องของเรา ไม่ต้องไปฟังใคร ถ้าเธอไม่รีบ ฉันก็ไม่ไปไหน
Yeah giddy giddy giddy up

Oh เอาให้ชัวร์ก่อนได้เปล่า
Oh ที่เราเป็นแบบนี้มันก็ OK

ไม่ต้องพูดว่ารัก ถ้ายังไม่มั่นใจ
ไม่ต้องให้ดอกไม้ ก็ฉันไม่เหมือนใคร
Go on take it slow oh
We can keep it casual

แค่คำพูดว่ารัก ไม่มีความหมายใด
ไม่ต้องรีบได้ไหม ขอแค่เธอจริงใจ
Go on take it slow oh
ไม่เป็นไรถ้ายังไม่ชัวร์
We can keep it casual

Hey ถ้าเธอไม่คิดที่จะรัก Don't you make no fuss
We out here like gangster
Let it go let it go yah
Don't you know who the biggest boss is
Boy bow down  say what what

ถ้าเธอจะตุกติก บอกเลยว่ามัน Basic
Careful how you play your cards
When you have a queen right in your hands
We don't take no shhh from any man
I just wanna let you know like

Oh เอาให้ชัวร์ก่อนได้เปล่า
Oh ที่เราเป็นแบบนี้มันก็ OK

ไม่ต้องพูดว่ารัก ถ้ายังไม่มั่นใจ
ไม่ต้องให้ดอกไม้ ก็ฉันไม่เหมือนใคร
Go on take it slow oh
We can keep it casual

แค่คำพูดว่ารัก ไม่มีความหมายใด
ไม่ต้องรีบได้ไหม ขอแค่เธอจริงใจ
Go on take it slow oh
ไม่เป็นไรถ้ายังไม่ชัวร์
We can keep it casual",4eve
วันแรกของวันที่เหลือ,/music/thailyric/20681,"ถ้าเธอเพียงมองจากข้อความ
และทุกๆ คำที่ได้ฟัง
มันก็คงไม่พอให้เธอได้รู้ทุกความในใจ

คนที่บางทีดูเฉยชา
คนที่ไม่บอกรักเท่าไร
คนที่ทำเป็นแค่เพียงแต่หวังให้เธอนั้นพอจะรู้

ในวันที่ไม่มีใคร มีเธอที่คอยเข้าใจ
เธอจะรู้รึเปล่ามันมีความหมาย
Baby you light up my life

อาจยังไม่ดีเท่าไร
แต่เรามาเริ่มตรงนี้ได้ไหม
เธอจะได้เห็น คนที่เปลี่ยนไป สัญญา

ให้วันนี้เป็นวันแรกของวันที่เหลือ
ที่จะใช้ทั้งชีวิตอยู่เพื่อรักเธอ
จะทำให้ฉันคู่ควรกับรักของเธอ
จะกี่พรุ่งนี้ อยู่ตรงนี้ นะเธอ
I'll live my everyday for you

Nanana nanana na
Nanana nanana na
Nanana nanana na
I'll live my everyday for you

My dream came true because of you
ถ้าชีวิตฉันไม่มีเธออยู่
จะเดินไปทางใดก็ยังไม่รู้

คนที่รักฉันไม่ว่าเป็นยังไง
มากกว่ารักนั้นก็คือความเข้าใจ
เป็นของขวัญที่ไม่มีขาย ฉันจะไม่ยอมทำเธอหล่นหาย

ในวันที่ไม่มีใคร มีเธอที่คอยเข้าใจ
เธอจะรู้รึเปล่ามันมีความหมาย
Baby you light up my life

อาจยังไม่ดีเท่าไร
แต่เรามาเริ่มตรงนี้ได้ไหม
เธอจะได้เห็น คนที่เปลี่ยนไป สัญญา

ให้วันนี้เป็นวันแรกของวันที่เหลือ
ที่จะใช้ทั้งชีวิตอยู่เพื่อรักเธอ
จะทำให้ฉันคู่ควรกับรักของเธอ
จะกี่พรุ่งนี้ อยู่ตรงนี้ นะเธอ
I'll live my everyday for you

ให้วันนี้เป็นวันแรกของวันที่เหลือ
ที่เราจะใช้มันไปด้วยกัน
โปรดจับมือฉันไว้นานเท่านาน
เธอจะได้เห็นด้วยตา
ทุกสิ่งที่ฉันสัญญา
Baby I promise you

ให้วันนี้เป็นวันแรกของวันที่เหลือ
ที่จะใช้ทั้งชีวิตอยู่เพื่อรักเธอ
จะทำให้ฉันคู่ควรกับรักของเธอ
จะกี่พรุ่งนี้ อยู่ตรงนี้ นะเธอ
I'll live my everyday for you

Nanana nanana na
Nanana nanana na
Nanana nanana na
I'll live my everyday for you

Nanana nanana na
Nanana nanana na
Nanana nanana na
I'll live my everyday for you

Nanana nanana na
Nanana nanana na
Nanana nanana na
I'll live my everyday for you",4eve
4Ever,/music/thailyric/20698,"4Eve
Make your heart go boom
4Eve
Forever and ever brrrr

Young forever
Strong together
ลุยไปด้วยกัน We getting better

Come together
Now or never
Hello haters see you later

Can you feel the vibe make you feel alive
Got you hypnotize 4Eve set your heart on fire

Burn up the dance floor and light up the fire
Get out my way yeah bitch don't kill my vibe
Break all the rules yeah we savage for life
Forever and ever together we ride

We are the stars we're about to ignite
You know we're flying so high
ตราบใดที่ยังหายใจ โบยบินท่ามกลางแสงไฟ
Tonight tonight

Forever Forever Boom (Toom Toom Toom)
Ya ya ya ya  (Hey Hey Oh yeah)
La la let's get it on (Ya ya Ooh la la la)
Forever forever boom
Hey Toom Toom Toom Toom Toom Toom

Hey hey doom doo do doo do doom (4Eve)
Forever forever forever ever ever
Yee yah doom doo do doo do doom (4Eve)
Forever we can we can do it ever ever ever

Get it get it team
Get it get it we
Gang gang we keep it up like this
We ride up the power we magic the fire
Where they call ride or die pow pow

Badaba eternal they say so
Forever to the top they know know
Put your hands up high let's do more
Yea มาเลย Foreva and eva

Gotta get it gotta get it gotta get it na
Come on come on come on come come get it ya
Get out my wa  yeah bitch don't kill my vibe
Gotta get it gotta get it gotta get it na
Come on, come on, come come get it ya
Forever and ever together we ride

We are the stars we're about to ignite
You know we're flying so high
ตราบใดที่ยังหายใจ โบยบินท่ามกลางแสงไฟ
Tonight tonight

Forever Forever Boom (Toom Toom Toom)
Ya ya ya ya  (Hey Hey Oh yeah)
La la let's get it on (Ya ya Ooh la la la)
Forever forever boom
Hey Toom Toom Toom Toom Toom Toom

Hey hey doom doo do doo do doom (4Eve)
Forever forever forever ever ever
Yee yah doom doo do doo do doom (4Eve)
Forever we can we can do it ever ever ever
Bridge

We gonna rock rock you're world we're unbreakable
We gonna rock rock you're world we're unbreakable
We gonna rock rock you're world we're unbreakable
Now come on up join the crowd
We gonna scream it out loud

Forever forever Boom
Ya ya ya ya
La la let's get it on
Forever forever Boom
Hey toom toom toom toom toom toom

Hey hey doom doo do doo do doom (4Eve)
Forever forever forever ever ever
Yee yah doom doo do doo do doom (4Eve)
Forever we can we can do it ever ever ever",4eve
Bomb!,/music/thailyric/20738,"Hey
ลุกขึ้นมา It's time to roll
ถึงเวลาเรา Take control
มีอะไรก็เอามา Show them all
Burn like a burn like a burn like a fire

Ooh
ใครก็มองเธอ Left &amp; right
Uh ooh
Check you out
Ooh ooh
แค่นี้เธอก็ Hot ไม่ไหว
Hot like a hot like a hot like a fire

So shake
Shake your body
So shake
And move your bomb bomb
Yeah move
ตามเสียงเพลงนี้ไปก่อน
To the beat to the beat hey girl

So shake
เริ่มกันสักที
Yeah shake
Enjoy กันแบบนี้
Hey move
You got this bomb like a bomb like a bomb

ทำที่เธอชอบใจ ไม่ต้องไปลังเล
You gotta use that bomb barom Bomb Bomb
ขอแค่เธอมั่นใจ จากนี้ยังไงก็อย่าไปแคร์

Look at you girl you such a bomb
Barom bomb bomb bomb bomb
Hot ซะจนตามไม่ทัน
Rada dan dan dan dan

ปล่อยตัวตามเสียงจังหวะ ไม่ต้องฟังต้องสนใจ Ooh
Look at you girl you such a bomb barom bomb bomb

Lala lala lala lala lala Light it up
Lala lala lala lala
Like a bonfire
Lala lala lala lala lala Light it up
Look at you girl you such a bomb barom bomb bomb

Everybody wants a piece of you
แค่ยืนเฉยๆ เธอก็ fierce คอยดู
C'mon get up show up yeah and do your thang
Boom boom ถ้ายังกลัวก็เกม เกม เกม เกม
จัดไปแบบปังๆ แค่ลองเชื่อตัวเอง

So shake
Shake your body
So shake
And move your bomb bomb
Yeah move
ตามเสียงเพลงนี้ไปก่อน
To the beat to the beat hey girl

So shake
เริ่มกันสักที
Yeah shake
Enjoy กันแบบนี้
Hey move
You got this bomb like a bomb like a bomb like a bomb

ทำที่เธอชอบใจ ไม่ต้องไปลังเล
You gotta use that bomb barom bomb bomb
ขอแค่เธอมั่นใจ จากนี้ยังไงก็อย่าไปแคร์

Look at you girl you such a bomb
Barom bomb bomb bomb bomb
Hot ซะจนตามไม่ทัน
Rada dan dan dan dan
ปล่อยตัวตามเสียงจังหวะ
ไม่ต้องฟังต้องสนใจ Ooh
Look at you girl you such a bomb barom bomb bomb

Lala lala lala lala lala light it up
Lala lala lala lala
Like a bonfire
Lala lala lala lala lala light it up
Look at you girl you such a bomb barom bomb bomb

Eyy hey girl
อย่าปล่อยให้คนเขามาทำให้เธอ Down
Eyy yo yo
On top of the world
แค่เธอเป็นแบบนี้ก็พอ
ถ้าอยากทำอะไร ไม่ต้องรอ
ไม่ต้องพูดเยอะ เพราะที่เธอเป็นมันดีที่สุดแล้ว

Look at you girl you such a bomb
Barom bomb bomb bomb bomb
Hot ซะจนตามไม่ทัน
Rada dan dan dan dan
ปล่อยตัวตามเสียงจังหวะ
ไม่ต้องฟังต้องสนใจ Ooh
Look at you girl you such a bomb barom bomb bomb

Lala lala lala lala lala light it up
Lala lala lala lala
Like a bonfire
Lala lala lala lala lala Light it up
Look at you girl you such a bomb barom bomb bomb",4eve
No One,/music/thailyric/20699,"วันแรกที่พบกัน ก็ทำให้รู้ You're the one
ไม่มีวันไหนที่จะไม่คิดถึงเธอ (คิดถึงเธอ)
FaceTime กันทุกคืน ไม่ยอมวางสายจนฉันตื่น
You're always there ในวันที่ไม่ได้เจอ

กลิ่นหอม ของกาแฟ ที่เธอชอบทุกเช้า
อ้อมกอด ที่เธอมีให้กัน ในวันที่ฉันหนาว
อยากจะรู้ทุกความเป็นไป อยากฟังทุกเรื่องราว
ว่าเธออยู่ไหน เธอทำอะไร คิดถึงกันไหม
I wanna let you know now

อาจมีบางครั้งที่เราต้องไกลกัน No
ไม่ว่าจะมีใครผ่านเข้ามา
แต่ฉันสัญญา ว่าจะไม่มีใคร มาแทนที่เธอ

Cause No One no one but you
No one no one no
มีเพียงเธอที่ฉันจะรัก
หยุดเวลานี้ไว้ It's you

No one no one but you
No one no one no
วันเวลาผ่านไปเท่าไร
ไม่ว่ายังไง Baby it's you

No one no one no one no one
no one no one no one no one
no one no one no one no one
No one no one
ไม่ว่ายังไง Baby it's you

แค่เธอ ก็ฉันมีแค่เธอ
วันไหนที่ไม่ได้เจอ ฉันคงนอนละเมอ
ไม่ว่าจะมองทางไหน อะไรอะไร ก็เป็นเธอ
Like no one else matters everything blur blur

ถ้าบอกว่าชอบตรงไหน ก็คงจะ Long story
แต่ถ้าเอาง่ายๆ เลย you're my MVP
ไม่ต้องไปหาที่ไหน แค่เรามีกันก็พอดี
Yeah yeah ah ha

You know it boy I'ma give you my world
Say the word and I'll be your girl
Don't need no ice diamonds pearls
แค่เรามีกันก็พอ แค่เธอกับฉันก็พอ

ก็ฉันทุ่มเทหมดใจ You already know
จะมีแค่เธอไม่มีใคร You'll never feel alon
When I'm with you time just stops
Boy you're gonna make my heart drop
Here we go again

อาจมีบางครั้งที่เราต้องไกลกัน No
ไม่ว่าจะมีใครผ่านเข้ามา
แต่ฉันสัญญา ว่าจะไม่มีใคร มาแทนที่เธอ

Cause no one no one but you
No one no one no
มีเพียงเธอที่ฉันจะรัก
หยุดเวลานี้ไว้ It's you

No one no one but you
No one no one no
วันเวลาผ่านไปเท่าไร
ไม่ว่ายังไง Baby it's you

No one no one no one no one
no one no one no one no one
no one no one no one no one
No one no one
ไม่ว่ายังไง Baby it's you

Hey it's you it's you hey

No one no one no one no one
No one no one
ไม่ว่ายังไง Baby it's you",4eve
Booty Bomb,/music/thailyric/22205,"Yeah my Booty Bomb bomb
Imma shake it bomb bomb
When I bring it back back
Got that candy yum yum

Yeah my booty bomb bomb
Like a bubble gum gum
Itty bitty boy you better watch it bomb bomb

Like
Bomb bomb bomb
Bomb bomb bomb

Yeh Bomb bomb bomb
Yeh Bam bam bam

ขยับเข้ามาใกล้กันอีกนิด
(Come and get to know me)
ไม่อยากให้เธอเข้าใจผิด
อย่าเพิ่ง Judge กันแบบนี้
อยากให้ฉันเป็นแบบใคร
เป็นอย่างโง้น เป็นอย่างงี้
พูดอะไรไม่รู้ไม่ค่อยได้ยินอ่ะ ซอรี่

บอกให้ เรียบร้อย ขึ้นหน่อย โป๊ไปนิด
กระโปรงสั้น ไม่ค่อยมิดชิด

หลบไปนิดถ้าเธอหนักใจ
But I just do it for me
อย่ามา Treat me like a kid
จุดนี้ต้องเรียกว่าออนนี่

Yah shake it bomb bomb
ไม่ใช่ซีรีย์ รอมคอม
ไม่ต้องเป็นทำวางฟอร์ม
Be yourself ไม่ต้องปลอม

ทำไมต้องมัวแต่อยู่ในกรอบ
ชีวิตนะ ไม่ใช่รูปถ่าย
Just tryna be me
ไม่ใช่ว่าฉันไม่รัก เข้าใจนะ?

ให้เป็นแบบใครก็คงไม่ไหว
ได้โปรดเถอะช่วยเข้าใจได้ไหม
You know you know you know I'm
One of one of one of a kind

แค่เธอได้ลอง เปิดใจให้กัน
แล้วเธอจะรู้ว่ารักเธอเท่านั้น
Come follow follow follow follow me

(Let me show you how i do it do it ah)

Yeah my booty bomb bomb
Imma shake it bomb bomb
When I bring it back back
Got that candy yum yum

Yeah my booty bomb bomb
Like a bubble gum gum
Itty bitty boy you better watch it bomb bomb

Like
Bomb bomb bomb
Bomb bomb bomb

Yeh Bomb bomb bomb
Yeh Bam bam bam

Got my Lip gloss on
feeling like a million baht
Haters huh?
Come on come on come and get some

Try to tame me แต่ถ้าไม่มี XP
จ้างให้จับก็ไล่ไม่ทัน
Yeah vroom vroom แบบ HD

I'm original ไม่เห็นต้องเบาให้ใครมา Like me
บอกไม่ใช่ Your style
แต่ก็ยังแอบมาส่องในไอจี

I'm not typical huh yeah you know you like me
4eve super lit ถ้าใครไม่เก็ทก็เข้ามาเช็กดิ

คำพูดที่เขาพร่ำบอกเอาไว้
อะไรที่มันทำร้าย ไม่ต้องแคร์สักวันได้ไหม

ไม่ว่าวันเวลาจะหมุนไปอีกสักแค่ไหน
แต่ว่าฉันนั้นจะไม่มีวันเปลี่ยนไป

ไม่ต้องไปสนใคร ก็แค่ทำตามใจ
Come on แome on check my style because my hips don't lie

Yeah my booty bomb bomb
Imma shake it bomb bomb
When I bring it back back
Got that candy yum yum

Yeah my booty bomb bomb
Like a bubble gum gum
Itty bitty boy you better watch it bomb bomb

Yeah my booty bomb bomb
Imma shake it bomb bomb
When I bring it back back
Got that candy yum yum

Yeah my booty bomb bomb
Like a bubble gum gum
Itty bitty boy you better watch it bomb bomb like

Bomb bomb bomb bomb bomb bomb
Yeah bam bam bam Yeah bam bam bam
Bomb bomb bomb bomb bomb bomb
Yeah bam bam bam yeah bam bam bam

Yeah my booty bomb bomb",4eve
Nobody's Perfect,/music/thailyric/22232,"อาจจะเป็นแค่เพียงในตอนเช้าที่ตื่น
ไม่เห็นอะไรๆ ที่มันคุ้นตา
แค่คนนึงที่หายไปและไม่อาจจะย้อน
คืนมา แต่รู้ไหมว่ามันทำให้ฉันเข้าใจ

อาจจะมีวันที่ Lonely
Oh don't you worry
เมื่อดวงอาทิตย์ส่องแสงในทุกๆ วัน
Bring on the clouds and thunder
I'll bloom like a flower
Here's what I tell myself when I feel low

Never mind ความรักเหล่านั้น มันไม่ Perfect
Just a little heartbreak
รู้ไหมฉันโอเคจะตาย Alright
Never mind ที่ช้ำตอนนั้นมันก็ได้อยู่
แม้เธอนั้นไม่อยู่
I still got me myself and I
Cause Nobody's Perfect

คงจะเป็น เหมือนเพลงเก่า ที่เราชอบ ฟัง
ถ้าฉันได้ยินอีกครั้งก็ยัง OK
เพราะว่าความรักไม่ต้องการ
ให้เราเอาชนะใครนะ Baby
I realize that love is not a game

อาจจะมีวันที่ Lonely
Oh don't you worry
เมื่อดวงอาทิตย์ส่องแสงในทุกๆ วัน

Bring on the clouds and thunder
I'll bloom like a flower
Here's what I tell myself when I feel low

Never mind ความรักเหล่านั้น มันไม่ Perfect
Just a little heartbreak
รู้ไหมฉันโอเคจะตาย Alright
Never mind ที่ช้ำตอนนั้นมันก็ได้อยู่
แม้เธอนั้นไม่อยู่
I still got me myself and I
Cause nobody's perfect

Oh oh oh
Nothing's perfect nobody's perfect
Oh oh oh
I still got me myself and I
Cause nobody's perfect

Just Look at the sky it's a brand new day
Come on open your eyes, it's up to you
Tomorrow's not promised but I'll be okay
Cause it is up to you

Never mind ความรักเหล่านั้น มันไม่ Perfect
Just a little heartbreak
รู้ไหมฉันโอเคจะตาย alright
Never mind ที่ช้ำตอนนั้นมันก็ได้อยู่
แม้เธอนั้นไม่อยู่
I still got me myself and I
Cause nobody's perfect

Oh oh oh
Nothing's perfect nobody's perfect
Oh oh oh
I still got me myself and I
Cause nobody's perfect",4eve
Ooh La La!,/music/thailyric/19984,"4eve
Makes your heart goes boom! Ha!

Ooh Lala Ooh Lala Hey! Ooh Lalala
Ooh Lala Ooh Lala Hey! Ooh Lalala

You Look at Look at me
เพราะฉันน่ารักอ่ะเสะ
You're Lookin at me
just like that
You're shakin like a Bomb!
ตอนเธอมองมาอ่ะ Do it
เอาล่ะ เธอชอบกันใช่ไหม

มีอะไร ก็บอกมา มองกันไป มองกันมา
I'm shakin like a Bomb!
ตอนเธอมองมา
รู้บ้างรึเปล่า เห็นบ้างรึเปล่า

หากกลัวก็ทำได้แค่มอง
อยากจอง อย่าใช้แค่สายตา
ฉันไม่ได้น่ากลัวอย่างที่คิด
ให้เธอเข้ามาใกล้กันอีกนิด
Ohh Boy อย่าทำเป็นเขินเลย

Hey Boy, You are my fire
Hey Boy อย่าทำเป็นเขินเลย
Hey Boy ลองคิดให้เกินเลย
Ooh Lalala

Hey Boy, You are my fire
Hey Boy อย่าทำเป็นเขินเลย
Hey Boy ลองคิดให้เกินเลย
Ooh Lalala

Hey Boy, Ooh Lala Ooh Lala
Hey Boy, Ooh Lalala
Hey Boy, Ooh Lala Ooh Lala
Hey! Ooh Lalalala

Nanananana nanana nanana na

นับ อิ๊ เอ้อ ซัน ซื่อ
ถ้าอยากให้ฉันรัก แล้วไม่ทัก อกจะหักนะ
I'm still here for you boy!
คอยนานไป ไม่ดี
Hurry Baby! Hurry Baby!

ถ้าจะรักไม่ต้องรอ  ถ้าให้รอคงต้องลา
I'm shakin like a Bomb!
ตอนเธอมองมา
รู้ได้ละเธอ

หากกลัวก็ทำได้แค่มอง
อยากจอง อย่าใช้แค่สายตา
ฉันไม่ได้น่ากลัวอย่างที่คิด
ให้เธอเข้ามาใกล้กันอีกนิด
Ohh Boy อย่าทำเป็นเขินเลย

Hey Boy, You are my fire
Hey Boy อย่าทำเป็นเขินเลย
Hey Boy ลองคิดให้เกินเลย
Ooh Lalala

Hey Boy, You are my fire
Hey Boy อย่าทำเป็นเขินเลย
Hey Boy ลองคิดให้เกินเลย
Ooh Lalala


Hey Boy, Ooh Lala Ooh Lala
Hey Boy, Ooh Lalala
Hey Boy, Ooh Lala Ooh Lala
Hey! Ooh Lalalala

หน้าฉันอาจจะร้าย แต่น่ารักนะ Boy
ถ้าเธออยากจะรู้ ต้องรีบแล้วนะ Boy
รู้เธอน่ะจ้องมา ทำไมต้องหลบสายตา
อย่างงี้ไม่ได้การละฉันต้องไม่อยู่เฉย
เพราะเรา ก็ไม่รู้มันจะเป็นยังไง
มาใช้วันแรก ของวันที่เหลือกันเถอะ
เปิดใจให้เธอแล้ว เดินเข้ามาได้แล้ว
ฉันไม่ได้ Hard Hard Hard
But I'm not your toy

Hey Boy, You are my fire
Hey Boy อย่าทำเป็นเขินเลย
Hey Boy ลองคิดให้เกินเลย
Ooh Lalala

Hey Boy, You are my fire
Hey Boy อย่าทำเป็นเขินเลย
Hey Boy ลองคิดให้เกินเลย
Ooh Lalala

Hey Boy, Ooh Lala Ooh Lala
Hey Boy, Ooh Lalala
Hey Boy, Ooh Lala Ooh Lala
Hey! Ooh Lalalala

Hey Boy, Ooh Lala Ooh Lala
Hey Boy, Ooh Lalala
Hey Boy, Ooh Lala Ooh Lala
Hey! Ooh Lalalala",4eve
