song_name,href,lyric,artist
นางฟ้า,/music/thailyric/6339,"(สูง) เธออยู่สูงเกินไป ฉัน เอื้อมมือไปไม่ถึง
และแม้ เธอจะโน้มตัวลงมา แต่ฉัน ก็ไขว่คว้าไม่ถึง

ฉัน ยืนอยู่บนพื้นดิน แต่เธอ บินอยู่บนฟากฟ้า
ไกล เกินจะโน้มเธอลงมา ฉัน คงไขว่คว้าไม่ถึง

(ถึง) แม้ว่าเธอจะเอื้อมมือมา
ถึงแม้สายตาฉันจะมองเห็นเธอ
แต่ฉันก็เพียงคนที่อยู่บนดิน
ส่วนเธอนั้นบินอยู่บนฟากฟ้า
และแม้เธอจะโน้มลงมา
โฮ้ว.. แต่ฉันก็คว้าไม่ถึง

(ถึง) แม้ว่าเธอจะเอื้อมมือมา
ถึงแม้สายตาฉันจะมองเห็นเธอ
แต่ฉันก็เพียงคนที่อยู่บนดิน
ส่วนเธอนั้นบินอยู่บนฟากฟ้า
และแม้เธอจะโน้มลงมา
โฮ้ว.. แต่ฉันก็คว้าไม่ถึง

(ถึง) แม้ว่าเธอจะเอื้อมมือมา
ถึงแม้สายตาฉันจะมองเห็นเธอ
แต่ฉันก็เพียงคนที่อยู่บนดิน
ส่วนเธอนั้นบินอยู่บนฟากฟ้า
และแม้เธอจะโน้มลงมา
โฮ้ว.. แต่ฉันก็คว้าไม่ถึง

(สูง) เธออยู่สูงเกินไป ฉัน เอื้อมมือไปไม่ถึง
และแม้ เธอจะโน้มตัวลงมา แต่ฉัน ก็ไขว่คว้าไม่ถึง

นางฟ้า",a_mob
บอกฉัน,/music/thailyric/6340,"ก่อนเธอจะมา บอกเพียงว่าเธอไม่มีใคร
เเต่พอจะไปกลับจูงมือใครมาพูดลา
ก่อนเธอจะมาเริ่มต้นด้วยการบีบน้ำตา
แต่พอจะลากลับทำด้านชา มาพร้อมใคร

ก่อนจากไป อยากขอครั้งสุดท้าย
ให้เธอทำด้วยใจ ได้ไหมให้ฉันสักครั้ง

บอกฉันเธอนั้นมันเลว แหลกเหลวไปทั้งหัวใจ
ทำได้ไหมกล้าวเปิดใจหรือเปล่า หลอกฉันมาทุกเรื่องราว
บอกเขาให้รู้พร้อมกัน หากเธอนั้นกล้ายอมรับ
อาจทำให้ฉันเวทนา

ก่อนเธอจะมา บอกเพียงว่าเธอไม่มีใคร
เเต่พอจะไปกลับจูงมือใครมาพูดลา
ก่อนเธอจะมาเริ่มต้นด้วยการบีบน้ำตา
แต่พอจะลากลับทำด้านชา มาพร้อมใคร

ก่อนจากไป อยากขอครั้งสุดท้าย
ให้เธอทำด้วยใจ ได้ไหมให้ฉันสักครั้ง

บอกฉันเธอนั้นมันเลว แหลกเหลวไปทั้งหัวใจ
ทำได้ไหมกล้าวเปิดใจหรือเปล่า หลอกฉันมาทุกเรื่องราว
บอกเขาให้รู้พร้อมกัน หากเธอนั้นกล้ายอมรับ
อาจทำให้ฉันเวทนา

บอกฉันเธอนั้นมันเลว แหลกเหลวไปทั้งหัวใจ
ทำได้ไหมกล้าวเปิดใจหรือเปล่า หลอกฉันมาทุกเรื่องราว
บอกเขาให้รู้พร้อมกัน หากเธอนั้นกล้ายอมรับ
อาจทำให้ฉันเวทนา

บอกฉันเธอนั้นมันเลว แหลกเหลวไปทั้งหัวใจ
ทำได้ไหมกล้าวเปิดใจหรือเปล่า หลอกฉันมาทุกเรื่องราว
บอกเขาให้รู้พร้อมกัน หากเธอนั้นกล้ายอมรับ
อาจทำให้ฉันเวทนา",a_mob
ไม่มีวันไหนที่ฉันไม่รักเธอ,/music/thailyric/6343,"รู้ไว้นะคนดี ว่าฉันจะมีแต่เธอ รับรู้ไว้เลยเธอ
จะไม่เผลอมอบใจให้ใคร

ไม่ว่าเธอจะเป็นอย่างไร ให้รู้เอาไว้ว่าฉันนั้นรักเธอ
ต่อให้โลกจะสิ้นสลาย ให้เธอมั่นใจว่าจะมีฉัน.. เคียงข้างเธอ
หลับตาซะคนดี จะไม่มีใครทำร้ายเธอ
ตราบใดที่ฉันยังอยู่เคียงข้างเธอ
จะตกนรกโลกันต์ จะขึ้นสวรรค์ฉันนั้นไม่เคยกลัว
ตราบใดที่หัวใจของเธออยู่กับฉัน

ฉันนั้นรักเธอ และจะรัก รัก รัก รัก รักเธอ
อยากให้เธอ...จงมั่นใจ จะไม่ทิ้งให้เธอต้องเดียวดาย
จะไม่ยอมให้ใครพรากเธอไป ได้ยินไหม
ไม่มีวันไหนที่ฉันไม่รักเธอ

ไม่ว่าเธอจะเป็นอย่างไร ให้รู้เอาไว้ว่าฉันนั้นรักเธอ
ต่อให้โลกจะสิ้นสลาย ให้เธอมั่นใจว่าจะมีฉัน.. เคียงข้างเธอ
หลับตาซะคนดี จะไม่มีใครทำร้ายเธอ
ตราบใดที่ฉันยังอยู่เคียงข้างเธอ
จะตกนรกโลกันต์ จะขึ้นสวรรค์ฉันนั้นไม่เคยกลัว
ตราบใดที่หัวใจของเธออยู่กับฉัน

ฉันนั้นรักเธอ และจะรัก รัก รัก รัก รักเธอ
อยากให้เธอ...จงมั่นใจ จะไม่ทิ้งให้เธอต้องเดียวดาย
จะไม่ยอมให้ใครพรากเธอไป ได้ยินไหม
ไม่มีวันไหนที่ฉันไม่รักเธอ

ฉันนั้นรักเธอ และจะรัก รัก รัก รัก รักเธอ
อยากให้เธอ...จงมั่นใจ จะไม่ทิ้งให้เธอต้องเดียวดาย
จะไม่ยอมให้ใครพรากเธอไป ได้ยินไหม
ไม่มีวันไหนที่ฉันไม่รักเธอ",a_mob
วันของเรา,/music/thailyric/6347,"วันเวลาที่เลยผ่าน อาจทำให้เธอหมดหวัง
การรอคอยที่เนิ่นนาน อาจทำให้เธอท้อใจ

ใช่เธอคนเดียวที่เจอแต่คำว่าแพ้
ใช่เธอคนเดียวที่เคยอ่อนแอและหมดหวัง
เส้นทางไม่โรยกลีบกุหลาบอย่างเธอฝัน
อย่ายอมแพ้มันสักวันจะเป็นวันของเรา

อุปสรรคและขวากหนามใดๆ
ต่อให้หนักสักเพียงไหนอย่าหวั่น
หยุดคำว่าแพ้เลิกทำอ่อนแอยอมแพ้มัน
จงเดินตามฝันสักวันจะเป็นวันของเรา

อุปสรรคและขวากหนามใดๆ
ต่อให้หนักสักเพียงไหนอย่าหวั่น
หยุดคำว่าแพ้เลิกทำอ่อนแอยอมแพ้มัน
จงเดินตามฝันสักวันจะเป็นวันของเรา

หยุดคำว่าแพ้เลิกทำอ่อนแอยอมแพ้มัน
จงเดินตามฝันสักวันจะเป็นวันของเรา",a_mob
เสียเวลา,/music/thailyric/6350,"กลับมา...กลับมาทำไม ออกไป ... ออกไปค้นหา
ให้เจอคนที่ดีไม่มีที่ติ อย่างที่เธอกำลังไขว่คว้า
อย่ามามัวเสียเวลา กับคนไร้ค่าคนหนึ่ง

รีบไป... รีบไปให้พ้น
จากคน... ที่มันอับจนปัญญา ไม่อยู่ในสายตา
เมื่อคราจะไป เจ็บใช่ไหมจึงได้กลับมา
บอกเลยมันเสียเวลา อย่ามาอ้อนวอนเลยเธอ

ตอนเธอจะทิ้งกันไป ไหนเธอบอกเจอคนที่ดี
เที่ยบกับฉันตนนี้ ไม่มีอะไรจะใกล้เคียงกับเขา
เธอมองว่าฉันเป็นเพียงแค่คนที่ว่างเปล่า
โง่งมงายไม่รู้เรื่องราว เมื่อคราวที่เธอจะไป

รีบไป... รีบไปให้พ้น
จากคน... ที่มันอับจนปัญญา ไม่อยู่ในสายตา
เมื่อคราจะไป เจ็บใช่ไหมจึงได้กลับมา
บอกเลยมันเสียเวลา อย่ามาอ้อนวอนเลยเธอ

ตอนเธอจะทิ้งกันไป ไหนเธอบอกเจอคนที่ดี
เที่ยบกับฉันตนนี้ ไม่มีอะไรจะใกล้เคียงกับเขา
เธอมองว่าฉันเป็นเพียงแค่คนที่ว่างเปล่า
โง่งมงายไม่รู้เรื่องราว เมื่อคราวที่เธอจะไป

กลับมา...กลับมาทำไม ออกไป ... ออกไปค้นหา
ให้เจอคนที่ดีไม่มีที่ติ อย่างที่เธอกำลังไขว่คว้า
อย่ามามัวเสียเวลา กับคนไร้ค่าคนหนึ่ง",a_mob
เหงา,/music/thailyric/6351,"ในคืนที่มีดวงดาวเต็มฟ้า ในคืนที่เธอไม่โทรมาหา
ฉันเหงาใจ เหงาเกินไป ไม่ผ่อนคลาย
ก็เธอมันเป็นดังเงาที่คอยตามตัวฉัน
เธอทำให้คืนและวันมันมีแต่ความสุขสันต์ เสมอไป
เหงายังไงก็ผ่อนคลาย

แต่แล้ววันนี้ ไม่รู้เธออยู่ตรงไหน
ปล่อยฉันให้เหงา รุมเร้าอยู่ได้อย่างไร
ทำไมเธอไม่โทรมาหา ทำไมเธอไม่รีบมาหา
ก่อนที่ฉันจะเหงาตาย

ไอ้การที่ต้องการจะเจอตัวเธอนั้น
มันทำให้ฉันกระวนกระวายไม่เคยเป็นอย่างนั้น
ทุกครั้งเลย จะเฉยยังไง ก็ไม่หาย

นอกจากเธอจะมาให้เจอให้เธอได้ยืนข้างๆฉัน
ให้คืนและวันของเธอมันเป็นเวลาของฉัน
เท่านั้นไง เหงาเพียงใด ก็จะหาย

แต่แล้ววันนี้ ไม่รู้เธออยู่ตรงไหน
ปล่อยฉันให้เหงา รุมเร้าอยู่ได้อย่างไร
ทำไมเธอไม่โทรมาหา ทำไมเธอไม่รีบมาหา
ก่อนที่ฉันจะเหงาตาย

ในคืนที่มีดวงดาวเต็มฟ้า ในคืนที่เธอไม่โทรมาหา
ฉันเหงาใจ เหงาเกินไป ไม่ผ่อนคลาย
ก็เธอมันเป็นดังเงาที่คอยตามตัวฉัน
เธอทำให้คืนและวันมันมีแต่ความสุขสันต์ เสมอไป
เหงายังไงก็ผ่อนคลาย

แต่แล้ววันนี้ ไม่รู้เธออยู่ตรงไหน
ปล่อยฉันให้เหงา รุมเร้าอยู่ได้อย่างไร
ก็ฉันคนนี้ที่รักเธออยู่จนเต็มหัวใจ
ทำไมเธอไม่โทรมาหา ทำไมเธอไม่รีบมาหา

ก็เพราะวันนี้ไม่รู้เธออยู่ตรงไหน
ไม่รู้ว่าฉันจะพบเธออีกเมื่อไร
ทำไมเธอไม่โทรมาหา ทำไมเธอไม่รีบมาหา
ก่อนที่ฉันจะเหงาตาย",a_mob
ดัดนิสัยตัวเอง,/music/thailyric/6336,"รักห่ามๆ มองแค่ด้านบวกๆ
ทำนิสัยดีๆ ต้องเจอรักดี

ฉันจริงใจ แต่ทำไมเธอไม่จริงจัง
ใจของฉันมันพัง ไม่มีชิ้นดี
ไม่ตำหนิ ไม่โทษโกรธเธอ
ผิดก็คงที่ชั้น ที่มันเข้าใจโลกดีไม่พอ

ดัดนิสัยตัวเอง สอนสั่งใจให้มันเชื่องน้อยลง
หากมันคิดริรัก ให้รู้ไว้ซะ
อย่าบ้าจริงจังมากไป
อย่าให้น้ำตาในวันนี้ ไหลโดยเปล่าความหมาย
ให้มันล้างความจริงใจจางลงซะที

รักเต็มๆ ก็ต้องช้ำเต็มๆ
เผื่อไว้ซักครึ่งหนึ่ง ให้พอรอดตาย

ฉันจริงใจ แต่ทำไมเธอไม่จริงจัง
ใจของฉันมันพัง ไม่มีชิ้นดี
ไม่ตำหนิ ไม่โทษโกรธเธอ
ผิดก็คงที่ชั้น ที่มันเข้าใจโลกดีไม่พอ

ดัดนิสัยตัวเอง สอนสั่งใจให้มันเชื่องน้อยลง
หากมันคิดริรัก ให้รู้ไว้ซะ
อย่าบ้าจริงจังมากไป
อย่าให้น้ำตาในวันนี้ ไหลโดยเปล่าความหมาย
ให้มันล้างความจริงใจจางลงซะที

ไม่ตำหนิไม่โทษโกรธเธอ
ผิดก็คงที่ชั้นที่มันเข้าใจโลกดีไม่พอ

ดัดนิสัยตัวเอง สอนสั่งใจให้มันเชื่องน้อยลง
หากมันคิดริรัก ให้รู้ไว้ซะ
อย่าบ้าจริงจังมากไป
อย่าให้น้ำตาในวันนี้ ไหลโดยเปล่าความหมาย
ให้มันล้างความจริงใจจางลงซะที

ให้มันล้างความจริงใจจางลงซะที",a_mob
ทุกวินาทีที่มีเธอ,/music/thailyric/6338,"ฉันเหมือนสายลมที่ก่อนหน้านั้น
ผ่านชีวิตล่องลอยไปวันวัน
ก่อนเธอนั้นจะก้าวเข้ามา

ฉันไม่รู้ตัวมาก่อนเลยนะ
ว่าจะพบเจอคนที่มีค่า
กว่าจะเจอเธอที่ดี

ทุก ๆ วินาทีที่มีเธออยู่
ทำให้รู้ในใจสุขล้นเป็นไง
ขอบใจเหลือเกิน
บอกเธอไว้ รักของฉันที่มีขอพลีให้ไป
ให้เธอรับไว้  ออกมาจากใจ
ตอบแทนด้วยทั้งหัวใจมอบให้เธอ

แล้วสายลมที่ก่อนหน้านั้น
แค่จะพัดปลิวไปแค่วันวัน
ก็จะหยุดตรงนั้นตรงที่เธอ

ฉันไม่คิดเลยไม่เคยพร่ำเพ้อ
จะได้พบเจอคนดีเช่นเธอ
และขอบคุณเธอในรักจริง

ทุก ๆ วินาทีที่มีเธออยู่
ทำให้รู้ในใจสุขล้นเป็นไง
ขอบใจเหลือเกิน
บอกเธอไว้ รักของฉันที่มีขอพลีให้ไป
ให้เธอรับไว้  ออกมาจากใจ
ตอบแทนด้วยทั้งหัวใจมอบให้เธอ

ทุก ๆ วินาทีที่มีเธออยู่
ทำให้รู้ในใจสุขล้นเป็นไง
ขอบใจเหลือเกิน
บอกเธอไว้ รักของฉันที่มีขอพลีให้ไป
ให้เธอรับไว้  ออกมาจากใจ
ตอบแทนด้วยทั้งหัวใจมอบให้เธอ

แล้วสายลมที่ก่อนหน้านั้น
แค่จะพัดปลิวไปแค่วันวัน
ก็จะหยุดตรงนั้นตรงที่เธอ
ที่เธอ...",a_mob
ไปรักกันให้ตาย,/music/thailyric/6341,"กอดฉันไว้อีกทีได้หรือเปล่า
จูบเบา ๆ ก่อนที่เขาจะเข้ามาแทน
พรุ่งนี้ฉันจะเป็นแค่คนอื่น
ระหว่างเราจะเปลี่ยนเป็นเขาและเธอแทน

มันคงไม่ยากเย็น ฉันก็ไม่เห็นว่าเธอจะผิดนัก
จากคนเคยรักกัน แค่เพียงเท่านั้น ให้กันได้ไหม

แล้วไปรักกันให้ตาย ฉันพร้อมจะไปให้ห่าง
ให้เธอได้ทุกอย่าง ด้วยรักและห่วงใย

เชิญไปรักกันให้ตาย ขอให้เธอกับเขารักกัน
ส่วนคนไม่สำคัญ อย่างฉันจะจากไป
โฮ้.. ขอให้รักกันสุดหัวใจ

บอกรักฉันอีกทีได้หรือเปล่า
บอกอีกทีเบาๆ แค่เท่านั้นทำได้ไหม

มันคงไม่ยากเย็น ฉันก็ไม่เห็นว่าเธอจะผิดนัก
จากคนเคยรักกัน แค่เพียงเท่านั้น ให้กันได้ไหม

แล้วไปรักกันให้ตาย ฉันพร้อมจะไปให้ห่าง
ให้เธอได้ทุกอย่าง ด้วยรักและห่วงใย

เชิญไปรักกันให้ตาย ขอให้เธอกับเขารักกัน
ส่วนคนไม่สำคัญ อย่างฉันจะจากไป
โฮ้.. ขอให้รักกันสุดหัวใจ

แล้วไปรักกันให้ตาย ฉันพร้อมจะไปให้ห่าง
ให้เธอได้ทุกอย่าง ด้วยรักและห่วงใย

เชิญไปรักกันให้ตาย ขอให้เธอกับเขารักกัน
ส่วนคนไม่สำคัญ อย่างฉันจะจากไป
โฮ้.. ขอให้รักกันสุดหัวใจ

ขอให้รักกันสุดหัวใจ",a_mob
เพลงบอกรัก,/music/thailyric/6342,"มีบางคนวนเวียนวกวนจนบางคราว
มองดวงดาวก็ยังจะเห็นเป็นหน้าเธอ
เธอลองมองดูใครสักคนใกล้ๆ เธอ
เธอจะเจอกับคนๆ นี้คนขี้อาย

รัก..อยากพูดไป รัก..แต่ฉันอาย

อยากบอกรัก อยากตะโกนให้เธอได้ยิน
ได้ยินว่าในหัวใจ มันรักเธอรู้ไหม
แต่สุดท้าย บอกตรงๆ เธอคงเข้าใจ
ฉันมันเป็นคนขี้อาย ก็เลยอาศัยเพลงบอก

รัก..อยากพูดไป รัก..แต่ฉันอาย

อยากบอกรัก อยากตะโกนให้เธอได้ยิน
ได้ยินว่าในหัวใจ มันรักเธอรู้ไหม
แต่สุดท้าย บอกตรงๆ เธอคงเข้าใจ
ฉันมันเป็นคนขี้อาย ก็เลยอาศัยเพลงบอก

อยากบอกรัก บอกว่ารักว่าฉันรักเธอ
ให้เธอฟังเพลงหัวใจ บทเพลงจากดวงใจ
บอกเอาไว้ บอกตรงๆ เธอคงเข้าใจ
ฉันมันเป็นคนขี้อาย ก็เลยอาศัยเพลงบอก",a_mob
