song_name,href,lyric,artist
ขอบใจที่พูดความจริง,/music/thailyric/6409,"ฉันจำเป็นต้องถาม
ฉันจำเป็นต้องรู้
ทุกอย่างที่ค้างใจ

รักเขาจริงใช่ไหม
รักเขาจริงใช่ไหม
ช่วยบอกกับฉันที

ขอบใจเธอที่พูดความจริง
ฉันมันเพิ่งได้รู้ว่าเธอไม่รักกัน

ขอบใจเธอที่พูดตรงๆ
ว่าหัวใจเธอเปลี่ยนให้เขามาตั้งนาน
(ขอบใจเธอที่พูดตรงเหลือเกิน
ว่าหัวใจเธอเปลี่ยนให้เขามาตั้งนาน)

เมื่อมันเป็นอย่างนี้
ให้เป็นไปอย่างนี้
ไม่อยากจะโทษใคร

หัวใจมันสลาย
หัวใจมันสลายยังดีกว่าโง่งม

เมื่อเธอก็พูดกันเปิดเผย
โกรธเธอไม่ลง

ปวดใจก็ต้องทน
อดทน
เธอเปลี่ยนไปแล้ว",ab_normal
คนแถวบ้าน,/music/thailyric/6410,"อยากรู้ว่าเธอเป็นใครหนอ
นี่ฉันแอบมองเธอนานสองนาน
แค่คิดก็กลัวเลยไม่กล้าถาม
ก็ได้แต่หวังว่าเธอจะเป็นคนแถวบ้าน
แค่ตื่นมาก็เจอเธอแล้ว
ตอนสายๆก็ยังอยู่
ถ้าใกล้กันทั้งวันเธอคงรู้
ว่าฉันนั้นคิดอย่างไร

ก็เธอ เธอทำให้ฉันหัวใจสั่นไหว
จะมองเธอกี่ครั้งไม่เคยเบื่อเลย
ให้ตาย ฉันอยากรู้ อยากรู้จักเธอ
โว้ โอ โว โอ โอ เธอได้ยินไหมมีใครเฝ้าฝัน
เฝ้าคิดถึงแต่เธอหมดใจทั้งคืนและวัน
แต่ทำได้แค่หวังว่าบ้านเธอคงไม่ไกล
ก็คิดว่าเธอคงจะรู้
ว่าฉันแอบมองเธออยู่เหมือนกัน
ส่งยิ้มกลับมาคงไม่ใช่ฝัน
ก็ได้แต่หวังว่าเธอจะมีใจให้บ้าง
ถ้าได้อยู่ใกล้กันนะ แค่ได้เห็นก็ยังดี
ถ้าหากเธอเป็นคนแถวนี้
จะได้รู้ว่าฉันคิดอย่างไร

ก็รักเธอนั้นเคยผ่านความใกล้ชิด
แต่จริงไม่จริงไม่รู้ฉันขอไม่ใกล้เธอ
อาจไม่เจอกันทุกวัน
แต่แค่ได้มองหน้าบ้าน
ก็ยังดี

บ้านเธอคงไม่ไกล",ab_normal
คำตอบที่หายไป,/music/thailyric/6412,"อยากรู้ว่าบนฟ้ากว้างใหญ่เพียงไหน
อยากรู้ว่าในใจเธอคิดเช่นไร
อยากรู้ว่าตัวฉันมีสิทธิ์เพียงไหน เเค่ไหน
อยากรู้ว่าดวงดาวมีมากเพียงไหน
อยากรู้ว่าเธอรักฉันมากเท่าไร
อยากรู้ว่าตัวฉันมีค่าแค่ไหน เเค่ไหน

ฉันอยากลืม เป็นคำถามที่ไม่มีวัน จะได้รู้ ....
เป็นคำถามที่นอกจากเธอนั้นไม่มีใครจะเข้าใจ.......

อยากรู้ว่าความฝันสิ้นสุดตรงไหน
อยากรู้ว่าความรักมันเป็นเช่นไร
อยากรู้ว่าตัวฉันจะเจอมันตอนไหน แค่ไหน

เป็นคำถามที่ไม่มีวัน จะได้รู้ ....
เป็นคำถามที่นอกจากเธอนั้นไม่มีใครจะเข้าใจ (เหมือนเดิม)",ab_normal
คำธรรมดา,/music/thailyric/6413,"ใครที่พบเธอ ใครที่ได้เจอเธอ
ถ้าเพียงอยู่ใกล้เธอ แค่รู้จักต่างรักเธอทุกคน
อาจเป็นเพราะใจ เธอที่แสนดี
อาจเป็นท่าที ถ้อยคำอ่อนหวานประทับใจ
และฉันเองก็เป็นเหมือนใครๆ
ที่ไม่อาจจะเหนี่ยวจะรั้งใจต่อไป
ฉันต้องบอกทุกๆอย่างออกไป

บอกเธอตรงๆว่ารักเธอ อาจธรรมดาและน้อยไป
แต่มันเป็นคำจากหัวใจ หนึ่งเดียวที่ฉันมี

เธอไม่จำเป็นต้องสนใจ แค่อยากจะบอก หนึ่งคำนี้
ว่ามีคนที่รักเธออีกหนึ่งคน

ไม่เคยคิดทำ ไม่เคยหวังมากมาย
เธออยากจะรักใครก็รักได้ ชีวิตเป็นของเธอ
สิ่งที่ฉันบอกอาจไม่เลิศเลอ
แต่เปรี่ยมล้นใจจริงสิ่งนี้ที่สำคัญ
อย่างน้อยแค่เปิดใจให้เธอฟังคิดว่าคงเพียงพอ
ไม่ขอเกินกว่านั้น ฉันต้องบอกทุกๆอย่างออกไป

บอกเธอตรงๆว่ารักเธอ อาจธรรมดาและน้อยไป
แต่มันเป็นคำจากหัวใจ หนึ่งเดียวที่ฉันมี

เธอไม่จำเป็นต้องสนใจ แค่อยากจะบอก หนึ่งคำนี้
ว่ามีคนที่รักเธออีกหนึ่งคน

อย่างน้อยแค่เปิดใจให้เธอฟังคิดว่าคงเพียงพอ
ไม่ขอเกินกว่านั้น ฉันแค่อยากให้เธอได้รู้ความจริง

บอกเธอตรงๆว่ารักเธอ อาจธรรมดาและน้อยไป
แต่มันเป็นคำจากหัวใจ หนึ่งเดียวที่ฉันมี

เธอไม่จำเป็นต้องสนใจ แค่อยากจะบอก หนึ่งคำนี้
ว่ามีคนที่รักเธออีกหนึ่งคน",ab_normal
ใจน้อย,/music/thailyric/6418,"ยอมรับว่าชั้น บางทีก้อหวงเธอไปหน่อย
คนมันมีใจเดียวก้อเงี้ย ใจน้อย
แต่ที่จริงมันเป็นห่วงเธอที่คอยเฝ้าถามเธอบ่อยๆ
เธอจะไปกับใครที่ไหนอย่างน้อย
บอกชั้นหน่อยนะคนดี


ไม่รักก้อคงไม่ห่วงอย่างนี้
ที่ต้องหวงก้อเพราะเธอนะมีแค่คนเดียว
หากเธอเป็นอะไร ความผิดชั้นคนเดียว
ที่ดูแลเธอไม่ดี จะไม่มีวันให้อภัยตัวเอง

ยอมรับว่าชั้น บางทีก้อวุ่นวายไปหน่อย
คนมันมีใจเดียวก้อเงี้ย ใจน้อย
แต่ที่จริงมันเป็นห่วงเธอ ที่คอยเฝ้าถามเธอบ่อยๆ
เธอจะไปกับใครที่ไหน อย่างน้อย
ก้อให้บอกชั้นหน่อย นะคนดี

ไม่รักก้อคงไม่ห่วงอย่างนี้
ที่ต้องหวงก้อเพราะเธอนะมีแค่คนเดียว
หากเธอเป็นอะไร ความผิดชั้นคนเดียว
ที่ดูแลเธอไม่ดี จะไม่มีวันให้อภัยตัวเอง

ไม่รักก้อคงไม่ห่วงอย่างนี้
ที่ต้องหวงก้อเพราะเธอนะมีแค่คนเดียว
หากเธอเป็นอะไร ความผิดชั้นคนเดียว
ที่ดูแลเธอไม่ดี จะไม่มีวันให้อภัยตัวเอง

หากเธอต้องเสียใจ จะไม่มีวันให้อภัย ตัวเอง",ab_normal
เด็กกว่าแล้วไง,/music/thailyric/6422,"อายุเป็นพียงแค่สายลมผ่านพัดไป
เธออย่าคิดมากได้ไหม

ความรักเป็นเรื่องของหัวใจไม่ใช่เรื่องใด
อยากให้รู้เด็กกว่าแล้วไง
(ไม่ต้องคิดอะไร)

เธอคนนี้คนที่ฉันรอ โว้ โว้ โอ โอ
เธอคนนี้คนที่ฉันเพ้อ  คิดถึงเธอคนเดียว
ใจฉันคิดคิดถึงแต่ภาพเธอ โว้ โว้ โอ
ยังไม่คิดแต่กลับเจอเธอ เห็นแต่เธอคนเดียว

แต่มีบางสิ่งที่ผิดไป    ก็ตัวเธอนั้นไม่เข้าใจ
ก็เธอเรียกฉันว่าน้องทำไม ไม่เข้าใจ

อายุเป็นพียงแค่สายลมผ่านพัดไป
เธออย่าคิดมากได้ไหม

เธอไม่คิดจะเป็นที่รัก โว้ โว้ โอ โอ
แต่เธอคิดจะเป็นพี่สาวคิดมาได้ยังไง
ตัวฉันนั้นได้แต่เฝ้าเพ้อ โว้ โว้ โอ
เกิดมาไม่ทันเธอ   คิดแล้วได้อะไร

แต่มีบางสิ่งที่ผิดไป    ก็ตัวเธอนั้นไม่เข้าใจ
ก็เธอเรียกฉันว่าน้องทำไม ไม่เข้าใจ

อายุเป็นพียงแค่สายลมผ่านพัดไป
เธออย่าคิดมากได้ไหม

อายุเป็นพียงแค่สายลมผ่านพัดไป
เธออย่าคิดมากได้ไหม

แต่มีบางสิ่งที่ผิดไป    ก็ตัวเธอนั้นไม่เข้าใจ
ก็เธอเรียกฉันว่าน้องทำไม ไม่เข้าใจ

อายุเป็นพียงแค่สายลมผ่านพัดไป
เธออย่าคิดมากได้ไหม

อายุเป็นพียงแค่สายลมผ่านพัดไป
เธออย่าคิดมากได้ไหม",ab_normal
ไนซ์,/music/thailyric/6427,"จู่โจม บอกจริงๆว่าเธอโดนใจ
ไม่ใช่คนสวยแบบนางสาวไทย
แต่เนียนกว่า นวลกว่าด้วยซ้ำไป

บอกกับใจที่เฉยชาเค้ามาแรง
จะให้เรารับมือยังไง
ไม่มีภูมิต้านทานในหัวใจ
ใกล้เธอเท่าไหร่ใจยิ่งร้อนรน
จะให้ทนได้ไง ก็เธอ

nice เรียบแต่ดูร้อนแรงต้องเรียกว่า
nice ไม่ขาดไม่เกินไม่เหมือนใคร ต้องเรียกว่า
nice จะบอกว่าสวยก็ยังน้อยไป

Woh ho ho.. you are so nice
จดจำ ต่อให้มองเห็นเธอไกลๆ
ท่าทางของเธอไม่เหมือนใคร
ไม่แต่งจริต ไม่เติมลวดลาย

ปากกับใจก็ตรงกัน และมันโดน
ก็ต้องยอมรับเลยโดยดี
นี่ก็หักห้ามใจตั้งหลายที
แต่ใจมันเต้นถี่ บอกว่ารักเธอ

อยากจะเจอทุกวันเลย เพราะเธอ",ab_normal
ฟาสต์ เลน,/music/thailyric/6429,"ไม่ได้เก่ง  ไม่ได้เก่าจากไหน
ไม่ได้ไม่มีที่สูงที่ต่ำ
ไม่ได้เกิดมาเพื่อที่จะก้าวร้าว
เพียงแต่ว่ามันจำเป็นต้องทำ

ไม่ได้เก่ง  ไม่ได้เก่าจากไหน
เพียงแต่ต้องการจะขอไปก่อน
ไม่ได้อยากให้ใครหน่ะเดือดร้อน
แค่โอกาสดี  อาจไม่มีซ้ำ

กฏชีวิตที่มีใครขีดไว้
หากมัวตามเขาไปต่อ
ถึงวันตายก็ยังตามเขา

ขอโอกาสเดียวแม้ว่ามันต้องเสี่ยง
ขอโอกาสเดียวถึงเวลาต้องแซง
ขอโอกาสเดียวโลกเรามันต้องแข่ง
ขอทำสุดตัว เร่งกำลังหัวใจแล้วไปสุดแรง

ไม่ได้เก่ง  ไม่ได้เก่าจากไหน
ไม่ได้ดื้อดึงไปซะทุกอย่าง
ไม่ได้อยากให้มันเป็นแบบนี้
เพียงแต่ต่างคนต่างมีทิศทาง

ไม่ได้เก่ง  ไม่ได้เก่าจากไหน
แค่ไม่ต้องการจะวิ่งตามตูด
แค่เป็นคนแค่เป็นเพียงมนุษย์
ที่อยากจะทำอย่างใจสักครั้ง",ab_normal
เรารักกัน,/music/thailyric/6435,"ตาสบตา บอกมาว่าเป็นภาษาหัวใจ
ไม่มีใคร ล่วงรู้ว่าเรานั้นผูกพัน
ใจกับใจที่เธอแลกมาให้กับฉัน
จะเก็บมันให้ลึกไว้สุดใจ

ความรักอยู่หนใด
ช่วยโอบกอดเธอเอาไว้
จนเรามาได้เจอ

ก็เรารักกัน ไม่ใช่ฝัน
ตัวจริงของฉันคือเธอ
แค่เรารักกัน ไม่ได้ฝัน
ฉันขอมีเพียงแค่เธอ

แม้จะไกล ห่างกันสักเพียงจะแค่ไหน
จงมั่นใจ ใจฉันไม่เคยจะห่างเธอ
เพียงหลับตา ภาพเธอลอยมาให้ใจเพ้อ
ให้ละเมอ เฝ้าคิดถึงเธอ ฝากทีได้ไหม
ใจมีเพียงเธอเท่านั้นคนเดียวที่ฉันยอมรับ
ว่ารักเธอจนหมดใจ เราจะเดินเคียง
เคียงคู่กันไป เคียงข้างกันไป ก็เรา",ab_normal
อันซีน,/music/thailyric/6436,"ดวงจันทร์ที่เธอเห็น มันเต็มดวงอย่างงดงาม
ในคืนที่มืดมน ส่องแสงยวนเย้าใจ
เพียงมองอยู่ตรงนี้ จันทร์ดูดีและฝันไป
จนเธอนั้นมั่นใจ ว่าสวยงามและสมบูรณ์

แต่ฉันอยากจะขอเตือน ให้เธอเผื่อใจ
เพราะไม่มีสิ่งใด ดีพร้อมไปทุกอย่าง

ยังมีที่เธอไม่เห็น ยังมีที่เธอไม่รู้
ด้านมืดที่มันซ่อนอยู่ มองไม่เห็นจากตรงนี้
ยังมีที่เธอไม่เห็น บางส่วนที่มันไม่ดี
ไม่อยากให้เธอผิดหวัง เมื่อวันนั้น วันนั้นมา

ตัวตนที่เธอเห็น ที่เธอมองที่ฉันเป็น
ที่เธอนั้นพอใจ และคิดมารักกัน
เธอมองว่าคนนี้ คงมีดีและเหนือใคร
ดูเธอช่างมั่นใจ ว่าฉันมีครบครัน

คนเราเพิ่งรักกัน ก็ดีทุกอย่าง
แต่คบไป แต่ค้นไป อาจไม่เหมือนฝัน

ยังมีที่เธอไม่เห็น ยังมีที่เธอไม่รู้
ยังมีที่เธอไม่เห็น บางส่วนที่มันไม่ดี",ab_normal
