song_name,href,lyric,artist
จากนี้ไปจนนิรันดร์,/music/thailyric/8706,"แค่ได้มองตาเธอในวันนั้น จากที่เราเจอกันแค่ครั้งเดียว
เปลี่ยนชีวิตที่เคยโดดเดี่ยวให้มีความหมาย
ไม่ว่าฉันและเธอ ต่างคนต่างมาต่างกันเท่าไหร่
คำว่ารักจะผูกใจเราไว้ ไม่ให้ไกลกัน
จากที่เคยเย็นชาก็หวั่นไหว จากเป็นคนอื่นไกลก็คุ้นเคย
สิ่งที่ฉันไม่เข้าใจเลย เธอบอกกันให้รู้
เปลี่ยนชีวิตฉันไป อยากอยู่นานๆ เพื่อจะเฝ้าดู
วันพรุ่งนี้รักเราจะเป็นอย่างไร

ฉันไม่เคยรักไม่เคยรู้ ว่าชีวิตมันดีเช่นไร
เมื่อได้มีบางคนข้างกาย เมื่อได้มีเธออยู่ข้างๆ กัน
ฉันมอบชีวิต ต่อจากนี้ไปจนนิรันดร์
ทั้งหัวใจคือเธอเท่านั้น รักของเราจะอยู่จนวันตาย

จะเป็นคนดูแลเมื่อเธอล้ม จะเป็นลมโอบเธอเมื่อร้อนใจ
กี่ปัญหามากมายเพียงใด เรามีกันไม่แพ้
ต่อไปนี้สัญญาจะ เกิดอะไรกับเธอแล้วแต่
คนๆ นี้ไม่มีวันจะหายไป

ฉันไม่เคยรักไม่เคยรู้ ว่าชีวิตมันดีเช่นไร
เมื่อได้มีบางคนข้างกาย เมื่อได้มีเธออยู่ข้างๆ กัน
ฉันมอบชีวิต ต่อจากนี้ไปจนนิรันดร์
ทั้งหัวใจคือเธอเท่านั้น รักของเราจะอยู่จนวันตาย

ฉันไม่เคยรักไม่เคยรู้ ว่าชีวิตมันดีเช่นไร
เมื่อได้มีบางคนข้างกาย เมื่อได้มีเธออยู่ข้างๆ กัน
ฉันมอบชีวิต ต่อจากนี้ไปจนนิรันดร์
ทั้งหัวใจคือเธอเท่านั้น รักของเราจะอยู่จนวันตาย",ae_jirakorn
ใจกลางความรู้สึกดีดี,/music/thailyric/8741,"แม้และถึงแม้วันเวลาผ่านเพียงไหน
ฉันนั้นก็พร้อมที่จะไปกับเธอได้สุดทาง
ที่ๆ จะมีเธอและฉัน
มันก็เป็นเหมือนใจกลาง ความรู้สึกดีๆ

อย่าคิดท้อแท้ไปว่าตัวเธอไม่มีใคร
อย่าหมดความหวังเรื่องจะเจอคนที่เธอมุ่งหมาย
เธอคิดไปเองหรือเปล่า เคยมองรอบตัวหรือไม่
มีคนๆ นั้นยืนอยู่ไม่ไกล

อาจจะเพราะว่าเขาได้แต่มองเธอกลัวๆ กล้าๆ
อาจจะเพราะว่าเขายังไม่ดีพอในวันที่ผ่านมา
แต่ในวันนี้จะบอกให้รู้ว่าเขาคือใคร
จะบอกไปผ่านในเสียงเพลง ฟังดูก็จะรู้เอง

ขอฉันนั้นขอดูแลเธออยู่ตรงนี้
พร้อมเพราะฉันพร้อมจะเข้าใจ ใส่ใจมอบสิ่งดีๆ
จะวันนี้หรือพรุ่งนี้ จะทำให้เธอมั่นใจ

แม้และถึงแม้วันเวลาผ่านเพียงไหน
ฉันนั้นก็พร้อมที่จะไปกับเธอได้สุดทาง
ที่ๆ มีเธอและฉัน
มันก็เป็นเหมือนใจกลาง ความรู้สึกดีๆ

ตั้งแต่ฉันได้พบเธอไม่มีใครเปลี่ยนใจฉันได้
ตั้งแต่ฉันได้พบเธอ ก็มองไปได้ไกลถึงจุดหมาย
ตลอดชีวิตฉันอยู่ตรงนี้มาเพื่อรอใคร
จะบอกไปผ่านในเสียงเพลง ฟังดูก็จะรู้เอง

ขอฉันนั้นขอดูแลเธออยู่ตรงนี้
พร้อมเพราะฉันพร้อมจะเข้าใจ ใส่ใจมอบสิ่งดีๆ
จะวันนี้หรือพรุ่งนี้ จะทำให้เธอมั่นใจ

แม้และถึงแม้วันเวลาผ่านเพียงไหน
ฉันนั้นก็พร้อมที่จะไปกับเธอได้สุดทาง
ที่ๆ มีเธอและฉัน
มันก็เป็นเหมือนใจกลาง ความรู้สึกดีๆ

จะบอกไปผ่านในเสียงเพลง ฟังดูก็จะรู้เอง

ขอฉันนั้นขอดูแลเธออยู่ตรงนี้
พร้อมเพราะฉันพร้อมจะเข้าใจ ใส่ใจมอบสิ่งดีๆ
จะวันนี้หรือพรุ่งนี้ จะทำให้เธอมั่นใจ

แม้และถึงแม้วันเวลาผ่านเพียงไหน
ฉันนั้นก็พร้อมที่จะไปกับเธอได้สุดทาง
ที่ๆ มีเธอและฉัน
มันก็เป็นเหมือนใจกลาง ความรู้สึกดีๆ

คือความรู้สึกดีๆ",ae_jirakorn
ตั้งใจ,/music/thailyric/9015,"วันเวลาที่หมุนเลยไปทำให้สิ่งไหน
เปลี่ยนแปลงเท่าไหร่ก็ตาม
แต่วันเวลาไม่หมุนหัวใจให้หวั่นไหว
ทุกภาพในใจยังสวยงาม

แม้ว่าเรานั้นแยกกันไปตั้งนาน
แม้ว่าเธอนั้นพบบางคนที่ตรงกับหัวใจ
อาจไม่มีฉัน เหลืออยู่ในห้วงความจำ ไม่เป็นไร
แค่อยากให้รู้ไว้ว่าฉันนั้นยังรักเธอ หมดทั้งหัวใจ

ฉันนั้นยังเหมือนเดิมไม่เปลี่ยนไปไหน
แม้ต้องมองเห็นเธอ จับมือของใคร
ฉันก็จะไม่โกรธ จะไม่โทษที่เธอต้องไป
และที่ฉันยังศรัทธาในรักเดียว
และที่ฉันยังไม่เหลียวมองคนไหน

สิ่งที่มันทำให้ฉันไม่หวั่นไหว
เพราะฉันตั้งใจว่าจะไม่รักใครอีกนอกจากเธอ

เธอคงลืมที่ฉันพูดไป เมื่อก่อนนั้น
ตอนเรารักกันใหม่ๆ
เธอคงลืมที่ฉันสัญญาที่บอกไว้
ว่าให้เธอเป็นคนสุดท้าย

ถึงยังมองว่าฉันงมงายอยู่นาน
ถึงยังมองว่าฉันรอคอยแต่เธอเพื่ออะไร
สิ่งที่เคยฝัน เธออาจจะลบลืมมันได้ง่ายดาย
แต่อยากให้รู้ไว้ว่าฉันนั้นยังรักเธอ หมดทั้งหัวใจ

ฉันนั้นยังเหมือนเดิมไม่เปลี่ยนไปไหน
แม้ต้องมองเห็นเธอ จับมือของใคร
ฉันก็จะไม่โกรธ จะไม่โทษที่เธอต้องไป
และที่ฉันยังศรัทธาในรักเดียว
และที่ฉันยังไม่เหลียวมองคนไหน

สิ่งที่มันทำให้ฉันไม่หวั่นไหว
เพราะฉันตั้งใจ ว่าจะไม่รักใครอีกนอกจากเธอ

แม้ว่าเรานั้นแยกกันไปตั้งนาน
แม้ว่าเธอนั้นพบบางคนที่ตรงกับหัวใจ
อาจไม่มีฉันเหลืออยู่ในห้วงความจำ
ไม่เป็นไร แค่อยากให้รู้ไว้

ว่าฉันนั้นยังรักเธอ หมดทั้งหัวใจ
ฉันนั้นยังเหมือนเดิมไม่เปลี่ยนไปไหน
แม้ต้องมองเห็นเธอ จับมือของใคร
ฉันก็จะไม่โกรธ จะไม่โทษที่เธอต้องไป
และที่ฉันยังศรัทธาในรักเดียว
และที่ฉันยังไม่เหลียวมองคนไหน

สิ่งที่มันทำให้ฉันไม่หวั่นไหว
เพราะฉันตั้งใจ ว่าจะไม่รักใครอีกนอกจากเธอ
เข้าใจไหม ฉันตั้งใจ จะรักแค่เธอ",ae_jirakorn
ตั้งแต่วันนั้น,/music/thailyric/9266,"ข้อความที่เธอนั้นให้ฉันในวันวาน
รูปถ่ายในวันนั้นฉันยังเก็บเอาไว้
กล่องใส่ของขวัญเก่าเก่า ดอกไม้ที่ให้กัน
สิ่งเหล่านั้นยังคงวางไว้ที่เดิม

แต่สิ่งที่ไม่เหมือน เมื่อก่อน
ก่อนเธอจะมาทิ้งกันไป
ก็คือหัวใจพังๆ ถูกความรักมันทำลาย
ที่มันไม่มีทางเป็นเหมือนเดิม

ตั้งแต่วันนั้นที่เธอจากฉันไป
ตั้งแต่ที่หัวใจเธอไม่เหมือนเก่า
ตั้งแต่วันนี้คงมีแค่ความเหงา
กับความทรงจำส่วนหนึ่งที่หายไป

ตั้งแต่วันนั้นไม่เคยลืมภาพเธอ
ตั้งแต่ที่เธอบอกลาฉันไปไกล
วันที่ความสุข มันได้หายไป
ชีวิตฉันก็ไม่เคยเป็นเหมือนเดิม อีกต่อไป

จะมองไปทางไหนก็เห็นภาพเดิมๆ
ภาพเดิมที่คอยย้ำซ้ำเติมในใจฉัน
ต้องอยู่กับเรื่องราวเก่าๆ สิ่งที่เคยจดจำ
สิ่งเหล่านั้นยังคงเป็นเหมือนเช่นเดิม

แต่สิ่งที่ไม่เหมือน เมื่อก่อน
ก่อนเธอจะมาทิ้งกันไป
ก็คือหัวใจพังๆ ถูกความรักมันทำลาย
ที่มันไม่มีทางเป็นเหมือนเดิม

ตั้งแต่วันนั้นที่เธอจากฉันไป
ตั้งแต่ที่หัวใจเธอไม่เหมือนเก่า
ตั้งแต่วันนี้คงมีแค่ความเหงา
กับความทรงจำส่วนหนึ่งที่หายไป

ตั้งแต่วันนั้นไม่เคยลืมภาพเธอ
ตั้งแต่ที่เธอบอกลาฉันไปไกล
วันที่ความสุขมันได้หายไป
ชีวิตฉันก็ไม่เคยเป็นเหมือนเดิมอีกต่อไป

ตั้งแต่วันนั้นที่เธอจากฉันไป
ตั้งแต่ที่หัวใจเธอไม่เหมือนเก่า
ตั้งแต่วันนี้คงมีแค่ความเหงา
กับความทรงจำส่วนหนึ่งที่หายไป

ตั้งแต่วันนั้นไม่เคยลืมภาพเธอ
ตั้งแต่ที่เธอบอกลาฉันไปไกล
วันที่ความสุขมันได้หายไป
ชีวิตฉันก็ไม่เคยเป็นเหมือนเดิมอีกต่อไป",ae_jirakorn
พูดมาเถอะ,/music/thailyric/9020,"น้ำเสียงที่ดูเปลี่ยนไป
ฉันนั้นก็พอเข้าใจทุกอย่าง
ไม่ต้องพูดอะไรอีกได้ไหม
เพราะฉันรู้ยังไงสุดท้ายต้องแยกทาง

ก็ฉันที่ยืนอยู่กลางหัวใจ
เธอกันออกไป และปล่อยให้เขา
นั้นค่อยๆ เข้ามาแทนข้างใน
จะอยู่กับฉันไปเพื่อไร จะถ่วงเวลาไว้ทำไม

ทุกวินาทีจากนี้ ควรจะเอาไปใช้
และให้กับคนที่หัวใจเลือกเข้ามาว่าให้เดินร่วมทาง
อย่าอยู่กับฉันถ้าใจจะไป
คำว่ารักไม่พูดจากใจก็เหมือนเธอ
ไม่อยู่กับฉันแล้วที่รัก

พูดมาเถอะว่าเธอจะต้องไป
ไม่ต้องกลัวว่าใครจะเสียใจ
ถ้าเธอจะแยกทาง

ที่ฉันเห็นคือเธอเปลี่ยนไป
ครั้งสุดท้ายที่เรากอดกันนั้นเมื่อไหร่
ฉันไม่รู้เธอเจอคนไหน
ที่ฉันรู้คือเธอหมดใจทิ้งทุกอย่าง

ก็ฉันที่ยืนอยู่กลางหัวใจ
เธอกันออกไปและปล่อยให้เขา
นั้นค่อยๆ เข้ามาแทนข้างใน
จะอยู่กับฉันไปเพื่อไร จะถ่วงเวลาไว้ทำไม

ทุกวินาทีจากนี้ ควรจะเอาไปใช้
และให้กับคนที่หัวใจเลือกเข้ามาว่าให้เดินร่วมทาง
อย่าอยู่กับฉันถ้าใจจะไป
คำว่ารักไม่พูดจากใจก็เหมือนเธอ
ไม่อยู่กับฉันแล้วที่รัก

พูดมาเถอะว่าเธอจะต้องไป
พูดมาเถอะอย่ากลัวใครเสียใจ
ว่าเธอจะเลิกรัก

ทุกวินาทีจากนี้ ควรจะเอาไปใช้
และให้กับคนที่หัวใจเลือกเข้ามาว่าให้เดินร่วมทาง
อย่าอยู่กับฉัน ถ้าใจจะไป
คำว่ารักไม่พูดจากใจก็เหมือนเธอ
ไม่อยู่กับฉันแล้วที่รัก

พูดมาเถอะว่าเธอจะต้องไป
พูดมาเถอะ อย่ากลัวใครเสียใจ
ว่าเธอจะเลิกรัก",ae_jirakorn
ไม่ใช่ความลับ...แต่ยังบอกไม่ได้,/music/thailyric/8841,"เหตุผลมากมายหลายๆ อย่าง
ให้ต้องปิดบังข้างในที่ฉันเป็น
สิ่งที่เธอเห็นมันอาจไม่ชัดเจน
ว่าตัวฉันต้องการอะไร

สิ่งนั้นที่ใจต้องการบอก
ยังต้องหลอกตัวฉันเองไม่พูดไป
หวั่นว่าเธอคิดเป็นอื่นคิดไปไกล
ว่าฉันไม่จริงใจกับเธอ

ไม่ใช่ความลับแต่ยังบอกไม่ได้
ก็ต้องคอยยับยั้งหยุดและห้ามใจ
ไม่ใช่คำนั้นมันไม่ดี
หรือเป็นอะไรที่ทำให้เธอเสียใจ

ไม่นานก็ช้าถึงหัวใจ
ก็ต้องเป็นของของเธออยู่ดี
ช่วยรอได้ไหมแค่รอก่อนรอไม่นานคนดี
ไม่นานก็ช้าถึงหัวใจ
ก็ต้องเป็นของๆ เธอคนนี้
สิ่งที่เก็บไว้ข้างในที่เธอข้องใจเต็มที
ไม่นานก็จะรู้เอง

พอรู้หัวใจของเธออยู่
ไม่ต้องเปิดดูก็พอจะเข้าใจ
สิ่งที่เรานั้นรู้สึกลึกลงไป
ไม่มีอะไรที่ต่างกัน

ไม่ใช่ความลับแต่ยังบอกไม่ได้
ก็ต้องคอยยับยั้งหยุดและห้ามใจ
ไม่ใช่คำนั้นมันไม่ดี
หรือเป็นอะไรที่ทำให้เธอเสียใจ

ไม่นานก็ช้าถึงหัวใจ
ก็ต้องเป็นของๆ เธออยู่ดี
ช่วยรอได้ไหมแค่รอก่อนรอไม่นานคนดี

ไม่นานก็ช้าถึงหัวใจ
ก็ต้องเป็นของๆ เธอคนนี้
สิ่งที่เก็บไว้ข้างในที่เธอข้องใจเต็มที
ไม่นานก็จะรู้เอง

ไม่ใช่ความลับแต่ยังบอกไม่ได้
ก็ต้องคอยยับยั้งหยุดและห้ามใจ
ไม่ใช่คำนั้นมันไม่ดี
หรือเป็นอะไรที่ทำให้เธอเสียใจ

ไม่นานก็ช้าถึงหัวใจ
ก็ต้องเป็นของๆ เธออยู่ดี
ช่วยรอได้ไหมแค่รอก่อน รอไม่นานคนดี

ไม่นานก็ช้าถึงหัวใจ
ก็ต้องเป็นของๆ เธอคนนี้
สิ่งที่เก็บไว้ข้างในที่เธอข้องใจเต็มที
ไม่นานก็จะรู้เอง",ae_jirakorn
ไม่มีตรงกลาง,/music/thailyric/794,"จะบอกอีกทีว่าฉันรักเธอ
จะบอกให้ฟังว่าฉันค้นเจอ
ความหมายของการมีชีวิตอยู่
ก็รู้จากเธอไม่ใช่ใคร

จะบอกอีกทีถ้าไม่เชื่อกัน
จะบอกอีกทีว่าความสำคัญ
เธอนั้นเป็นที่หนึ่ง เหนือผู้ใด
และไม่มีใครนอกจากเธอ

อย่ากลัวกับคนที่เขามานินทา
อย่ากลัวว่าในแววตาฉันมีใคร
เชื่อในรักเรา เชื่อในหัวใจที่ฉันให้เธอได้ไหม

ใครจะพยายามแทรกกลางระหว่างเรา
รู้ไว้นะว่าเขาไม่มีวันเข้ามาได้
จะไม่มีตรงกลางที่เหลือว่างเผื่อใคร
ถ้าใจเรายังผูกกัน

ใครจะพยายามยุยงให้สั่นคลอน
รู้ไว้นะทุกครั้งฉันนอนหลับตาฝัน
เห็นแค่ภาพเรารักกันยาวนาน
จนถึงวันที่ฉันแต่งงานกับเธอ

จับผิดระแวงกันทุกวี่วัน
นั่นมันยิ่งทำให้ความสัมพันธ์
มันเริ่มที่จะจืดจางหายไป
แค่ไว้ใจกันได้ไหมเธอ

อย่ากลัวกับคนที่เขามานินทา
อย่ากลัวว่าในแววตาฉันมีใคร
เชื่อในรักเรา เชื่อในหัวใจที่ฉันให้เธอได้ไหม

ใครจะพยายามแทรกกลางระหว่างเรา
รู้ไว้นะว่าเขาไม่มีวันเข้ามาได้
จะไม่มีตรงกลางที่เหลือว่างเผื่อใคร
ถ้าใจเรายังผูกกัน

ใครจะพยายามยุยงให้สั่นคลอน
รู้ไว้นะทุกครั้งฉันนอนหลับตาฝัน
เห็นแค่ภาพเรารักกันยาวนาน
จนถึงวันที่ฉันแต่งงานกับเธอ

ใครจะพยายามแทรกกลางระหว่างเรา
รู้ไว้นะว่าเขาไม่มีวันเข้ามาได้
จะไม่มีตรงกลางที่เหลือว่างเผื่อใคร
ถ้าใจเรายังผูกกัน

ใครจะพยายามยุยงให้สั่นคลอน
รู้ไว้นะทุกครั้งฉันนอนหลับตาฝัน
เห็นแค่ภาพเรารักกันยาวนาน
จนถึงวันที่ฉันแต่งงานกับเธอ",ae_jirakorn
ส่งเพลงนี้คืนมาให้ฉันที,/music/thailyric/9263,"แม้จะไกลกันสุดสายตา
ดั่งฟ้าทะเลกั้นกลางไม่ให้ไปหา
แต่หัวใจที่เก็บเอาไว้
ยังเป็นของเธอและจะไม่ยอมให้ใคร

หมอนที่เธอกอดนอนในตอนนั้น
ฉันยังวางให้มันอยู่ตรงที่เก่า
ถ้วยกาแฟในเวลาเช้า
ยังเก็บไว้รอให้เธอกลับมาดื่มด้วยกัน

ระหว่างที่หันไปแล้วไม่พบกับผู้ใด
ระหว่างที่หันไปแล้วไม่รู้จะกอดใคร
ระหว่างที่ฉันนั้นก็ไม่รู้และเธอนั้นก็ไม่รู้
ต้องทำอย่างไรให้ใจเราได้ใกล้กัน

เปิดฟังเพลงนี้ซ้ำๆ เปิดวนไปซ้ำๆ
เปิดฟังเพื่อให้ย้ำว่าฉันรอเธออยู่
เพราะที่ฉันนั้นอยากบอกให้เธอรู้
อยู่ในเนื้อเพลงที่ส่งมา

หากเธอฟังไปซ้ำๆ เปิดวนไปซ้ำๆ
หากเธอคิดเหมือนฉันบอกฉันให้รู้หน่อย
เพราะว่าฉันนั้นรักเธอไม่ใช่น้อย
หากเธอรักกันจริง คิดถึงกันจริง
ส่งเพลงนี้คืนมาให้ฉันที

เสียงประตูที่ลมพัดมา
แอบคิดในใจว่าเธอคงกลับมาหา
แต่หันไปไม่ว่าคราวไหน
ไม่มีสักคนยิ่งทำให้เหงาในหัวใจ

ระหว่างที่หันไปแล้วไม่พบกับผู้ใด
ระหว่างที่หันไปแล้วไม่รู้จะกอดใคร
ระหว่างที่ฉันนั้นก็ไม่รู้และเธอนั้นก็ไม่รู้
ต้องทำอย่างไรให้ใจเราได้ใกล้กัน

เปิดฟังเพลงนี้ซ้ำๆ เปิดวนไปซ้ำๆ
เปิดฟังเพื่อให้ย้ำว่าฉันรอเธออยู่
เพราะที่ฉันนั้นอยากบอกให้เธอรู้
อยู่ในเนื้อเพลงที่ส่งมา

หากเธอฟังไปซ้ำๆ เปิดวนไปซ้ำๆ
หากเธอคิดเหมือนฉันบอกฉันให้รู้หน่อย
เพราะว่าฉันนั้นรักเธอไม่ใช่น้อย
หากเธอรักกันจริง คิดถึงกันจริง
ส่งเพลงนี้คืนมาให้ฉันที

ระหว่างที่หันไปแล้วไม่พบกับผู้ใด
ระหว่างที่หันไปแล้วไม่รู้จะกอดใคร
ระหว่างที่ฉันนั้นก็ไม่รู้และเธอนั้นก็ไม่รู้
ต้องทำอย่างไรให้ใจเราได้ใกล้กัน

เปิดฟังเพลงนี้ซ้ำๆ เปิดวนไปซ้ำๆ
เปิดฟังเพื่อให้ย้ำว่าฉันรอเธออยู่
เพราะที่ฉันนั้นอยากบอกให้เธอรู้
อยู่ในเนื้อเพลงที่ส่งมา

หากเธอฟังไปซ้ำๆ เปิดวนไปซ้ำๆ
หากเธอคิดเหมือนฉันบอกฉันให้รู้หน่อย
เพราะว่าฉันนั้นรักเธอไม่ใช่น้อย
หากเธอรักกันจริง คิดถึงกันจริง
ส่งเพลงนี้คืนมาให้ฉันที

หากเธอมีหัวใจที่มันตรงกับฉัน
หากเธอมีหัวใจที่เป็นหนึ่งเดียวกัน
ส่งเพลงนี้คืนมาให้คนอย่างฉัน ได้รู้ที",ae_jirakorn
กลับมา,/music/thailyric/12108,"เพิ่งจะรู้ ว่าฉันเองรักเธอเท่าไร ในวันที่เธอบอกฉันให้ทำใจ
ว่าจากนี้ เธอจะต้องไป รักของเราคงเป็นไปไม่ได้

โลกช่างดูเงียบงัน วันเหล่านั้นไม่อาจย้อนมา
วันนี้ไม่เหลือใคร เหลือแต่ตัวฉันและน้ำตา
จะต้องทำยังไง ให้เธอคืนกลับมาหา
ตอนนี้รู้แล้วว่ารักเธอมีค่า เหลือเกิน

กลับมาได้หรือเปล่า กลับมาหาฉันทีได้ไหม คนดี
หากว่าใจของเธอ ไม่ได้เปลี่ยนไป
ก็ให้โอกาสฉันอีก จะได้ไหม
ได้โปรด อย่าทิ้งรักไปเลย

อาจจะจริงที่ฉันเองยังไม่เข้าใจ จึงทำให้เธอผิดหวังและร้องไห้
อยากจะขอเธออย่าเพิ่งไป อย่าเพิ่งหมดหวังในตัวฉัน ได้หรือเปล่า

เมื่อก่อนนี้เคยมีเธอ คอยปลอบฉันเมื่อเจ็บช้ำมา
วันนี้ไม่เหลือใคร เหลือแต่ตัวฉันและน้ำตา
จะต้องทำยังไง ให้เธอคืนกลับมาหา
ตอนนี้รู้แล้วว่ารักเธอมีค่า เหลือเกิน

กลับมาได้หรือเปล่า กลับมาหาฉันทีได้ไหม คนดี
หากว่าใจของเธอ ไม่ได้เปลี่ยนไป
ก็ให้โอกาสฉันอีก จะได้ไหม
ได้โปรด อย่าทิ้งรักไปเลย

กลับมาได้หรือเปล่า กลับมาหาฉันทีได้ไหม คนดี
หากว่าใจของเธอ ไม่ได้เปลี่ยนไป
ก็ให้โอกาสฉันอีก จะได้ไหม
ได้โปรด อย่าทิ้งรัก

ได้หรือเปล่า กลับมาหาฉันทีได้ไหม คนดี
ต่อจากวันนี้ไป จะไม่ให้เธอผิดหวัง
ให้โอกาสฉันอีก อีกสักครั้ง
ได้โปรด อย่าทิ้งรักไปเลย",ae_jirakorn
คนสุดท้ายตลอดกาล,/music/thailyric/23375,"ไม่มีอะไรเป็นความบังเอิญ
การที่เธอเดินเข้ามาในหัวใจ
ทำให้รู้สองความจริงคือคำว่าเป็นไปไม่ได้
และรู้ว่าเธอเป็นมากกว่าคนที่ใช่
ที่ตามหามานานเท่าไรไม่เคยได้เจอ

ไม่ใช่ฝันหรือเพ้อที่เธอเกิดมาคู่กัน
มันจริงกว่านั้นเธอเหมือนดังลมหายใจ
ฉันถามอะไรสักอย่าง รู้สึกเหมือนกันใช่ไหม
ว่าทำไมชีวิตต้องเป็นแบบนี้

เราต่างก็รักกัน สิ่งเดียวที่เราไม่ต่าง
ให้เธอคิดมองดูทุกอย่างและเธอจะเข้าใจ
ทุกสิ่งที่ขวางทาง แค่เพียงให้เราข้ามไป
ปัญหาเวียนมาเพื่อท้าทาย
เพื่อย้ำว่าคนสุดท้ายของฉันคือเธอ

เราต่างก็รักกัน สิ่งเดียวที่เราไม่ต่าง
ให้เธอคิดมองดูทุกอย่างและเธอจะเข้าใจ
ทุกสิ่งที่ขวางทาง แค่เพียงให้เราข้ามไป
ปัญหาเวียนมาเพื่อท้าทาย
เพื่อย้ำว่าคนสุดท้ายของฉันคือเธอ

จากนี้หรือว่าเมื่อไร
เธอคือคนสุดท้ายตลอดกาล",ae_jirakorn
