song_name,href,lyric,artist
คิกคาปู้,/music/thailyric/5927,"มึนจนเกือบจะเดินเป็นปู มันอยากจะเดินลงรู ไปเข้าห้อง ICU
ใครไม่เชื่อก็มามาดู เธอเล่นอะไรไม่รู้ เล่นเอาเราหัวฟู

ตอนเราอยากให้เธอมาดู เธอกลับไม่มาเอ็นดู ไปเล่นแต่เรือแคนู
พอไม่ want ก็ดันมาดู ไม่ need ก็ดันมาดู ดันมาทำยู้ฮู

เธอมันน่าคิกคาปู้ น่าดู....
ต้องโดดสักกิ๊กล่ะ สักกิ๊กล่ะจะรู้
เธอมันน่าคิกคาปู้ เดี๋ยวดู...
ยังมาอู้หู คิกคาปู้เธอซะเลย

งงจนหมดไปเลยง.งู เมื่อไหร่ที่ I see you มันยิ่งกว่าโดนตะปู
โดนเธอแกล้งแบบเต็มประตู จนหัวเป็นสกรู ดูสิดูดู๊ดู

ตอนเราอยากให้เธอมาดู เธอกลับไม่มาเอ็นดู ไปเล่นแต่เรือแคนู
พอไม่ want ก็ดันมาดู ไม่ need ก็ดันมาดู ดันมาทำยู้ฮู

เธอมันน่าคิกคาปู้ น่าดู....
ต้องโดดสักกิ๊กล่ะ สักกิ๊กล่ะจะรู้
เธอมันน่าคิกคาปู้ เดี๋ยวดู...
ยังมาอู้หู คิกคาปู้เธอซะเลย

เธอมันน่าคิกคาปู้ น่าดู....
ต้องโดดสักกิ๊กล่ะ สักกิ๊กล่ะจะรู้
เธอมันน่าคิกคาปู้ เดี๋ยวดู...
ยังมาอู้หู คิกคาปู้เธอซะเลย

(เธอชอบทำยุกยิก ยิกๆ) มันต้องคิก คิก คิกคาปู้
(เธอชอบทำ ยึกยัก ยึกยัก) เดี๋ยวเหอะนะ เดี๋ยวคิกคาปู้
(เธอชอบทำฟืดๆฟัดๆ) กวนชะมัดเดี๋ยวคิกคาปู้
(เดี๋ยวก็รักเดี๋ยวก็ไม่รัก) มันน่านัก น่า คิกคาปู้

เธอมันน่าคิกคาปู้ น่าดู....
ต้องโดดสักกิ๊กล่ะ สักกิ๊กล่ะจะรู้
เธอมันน่าคิกคาปู้ เดี๋ยวดู...
ยังมาอู้หู คิกคาปู้เธอซะเลย

เธอมันน่าคิกคาปู้ น่าดู....
ต้องโดดสักกิ๊กล่ะ สักกิ๊กล่ะจะรู้
เธอมันน่าคิกคาปู้ เดี๋ยวดู...
ยังมาอู้หู คิกคาปู้เธอซะเลย",anan_anwar
เล็กน้อยถึงปานกลาง,/music/thailyric/5935,"ที่ฉันยิ้มๆให้เธอไป ที่แอบเก็บดอกไม้มาให้กัน
เธออาจไม่เข้าใจ และคิดไม่ค่อยทัน ไม่เห็นว่าฉันยืนใจลอยๆ

อย่างนี้เค้าเรียกว่าชอบเธอ ขนาดไปนอนเพ้อก็เป็นบ่อย
ถ้าเธอมีน้ำใจ อย่าทิ้งให้ฉันกร่อย รักฉันสักหน่อยก็ละกัน

ไม่ต้องมารักฉันเท่าฟ้า ไม่ต้องมารักฉันเท่าช้าง เล็กน้อยถึงปานกลางประมาณนั้น
อยากให้เธอรักฉันน้อยๆ แต่ขอให้รักฉันทุกวัน รักฉันให้นานๆก็พอ

ถ้าฉันยิ้มๆให้เธอไป ถ้าหากมีดอกไม้มาให้กัน
ก็อยากให้เข้าใจ และคิดตามให้ทัน ต้องคิดให้เหมือนกันด้วยนะเธอ

ไม่ต้องมารักฉันเท่าฟ้า ไม่ต้องมารักฉันเท่าช้าง เล็กน้อยถึงปานกลางประมาณนั้น
อยากให้เธอรักฉันน้อยๆ แต่ขอให้รักฉันทุกวัน รักฉันให้นานๆก็พอ

ถ้าฉันยิ้มๆให้เธอไป ถ้าหากมีดอกไม้มาให้กัน
ก็อยากให้เข้าใจ และคิดตามให้ทัน ต้องคิดให้เหมือนกันด้วยนะเธอ

ถ้าเธอมีน้ำใจ อย่าทิ้งให้ฉันกร่อย รักฉันสักหน่อยได้ไหมเธอ",anan_anwar
สรุปไม่ได้,/music/thailyric/5936,"ถ้าเธอยิ้มให้ แสดงว่าเธอมีใจ แต่ถ้าเธออมยิ้ม แสดงว่าเธอมีใจให้นิดนึง
เอ หรือเธอจะฟันหลอ ทำไมเธอไม่ชอบยิ้ม
ถ้าเธอโยนผ้าเช็ดหน้าแสดงว่าเธอชอบคุณมาก

เธอหน้าแดง แสดงว่าเธออาย เธอให้เบอร์มา แสดงว่าเธอให้ความหวัง
เธอทำตาโต แสดงว่าเธอโมโห ถ้างั้นตัวใครตัวมัน ไม่อยากมีเรื่อง

สรุปไม่ได้เลย ดูไม่ได้เลย สรุปไม่ได้ เรายังไม่รู้เธอคิดยังไง
ถ้าหากว่าเธอตบ แสดงว่าเธอรัก ถ้างั้นให้ตบเบาๆ ทุกวันเลยจะได้ไหม

สรุปไม่ได้เลย ดูไม่ได้เลย สรุปไม่ได้ เรายังไม่รู้เธอคิดยังไง
ถ้าหากว่าเธอตบ แสดงว่าเธอรัก ถ้างั้นให้ตบเบาๆ ทุกวันเลยจะได้ไหม

ถ้าเธอตบสะดือ แสดงว่าเธอกำลังหิวข้าว
ถ้าเธอยักคิ้วให้ แสดงว่าเธอกำลังหาเรื่อง
เอ ถ้าเธอหลิ่วตาให้ แสดงว่าเธอนั้นตาเหล่
แต่ถ้าเธอหน้างอ แสดงว่าเธอต้องการให้ง้อ

เธอหน้าแดง แสดงว่าเธออาย เธอให้เบอร์มา แสดงว่าเธอให้ความหวัง
เธอทำตาโต แสดงว่าเธอโมโห ถ้างั้นตัวใครตัวมัน ไม่อยากมีเรื่อง

สรุปไม่ได้เลย ดูไม่ได้เลย สรุปไม่ได้ เรายังไม่รู้เธอคิดยังไง
ถ้าหากว่าเธอตบ แสดงว่าเธอรัก ถ้างั้นให้ตบเบาๆ ทุกวันเลยจะได้ไหม

สรุปไม่ได้เลย ดูไม่ได้เลย สรุปไม่ได้ เรายังไม่รู้เธอคิดยังไง
ถ้าหากว่าเธอตบ แสดงว่าเธอรัก ถ้างั้นให้ตบเบาๆ ทุกวันเลยจะได้ไหม

สรุปไม่ได้เลย ดูไม่ได้เลย สรุปไม่ได้ เรายังไม่รู้เธอคิดยังไง
ถ้าหากว่าเธอตบ แสดงว่าเธอรัก ถ้างั้นให้ตบเบาๆ ทุกวันเลยจะได้ไหม

สรุปไม่ได้เลย ดูไม่ได้เลย สรุปไม่ได้ เรายังไม่รู้เธอคิดยังไง
ถ้าหากว่าเธอตบ แสดงว่าเธอรัก ถ้างั้นให้ตบเบาๆ ทุกวันเลยจะได้ไหม",anan_anwar
คิดถึงไม่ถึง,/music/thailyric/5928,"เธอรู้บ้างไหมว่าใครแอบฝัน มองเธอมานานแต่ดูเธอไม่สนใจ
เธอคงไม่รู้ว่าใครสั่นไหว ทุกครั้งที่ฉันได้มาอยู่ใกล้ๆเธอ

แต่ฉันต้องฝืน เพราะว่ากลัวถ้าบอกไป เธออาจไม่รับฟัง

ฉันคิดถึงคิดถึง แต่คงไปไม่ถึงไม่ถึงใจเธอ เหมือนมีอะไรอะไรกั้นเอาไว้
ขอได้ไหมได้ไหม อยากจะไปให้ถึงให้ถึง ใจของเธอช่วยเปิดใจเธอรับฉันที

หรือเพราะว่าเขาที่เธอแอบฝัน เวลาเจอกันก็ดูเธอช่างปลื้มใจ
เขาถึงได้ขวางกั้นกลางเราไว้ กั้นรักของฉันที่ให้ไปไม่ถึงเธอ

แต่ฉันต้องฝืน เพราะว่ากลัวถ้าบอกไป เธออาจไม่รับฟัง

ฉันคิดถึงคิดถึง แต่คงไปไม่ถึงไม่ถึงใจเธอ เหมือนมีอะไรอะไรกั้นเอาไว้
ขอได้ไหมได้ไหม อยากจะไปให้ถึงให้ถึง ใจของเธอช่วยเปิดใจเธอรับฉันที

ฉันคิดถึงคิดถึง แต่คงไปไม่ถึงไม่ถึงใจเธอ เหมือนมีอะไรอะไรกั้นเอาไว้
ขอได้ไหมได้ไหม อยากจะไปให้ถึงให้ถึง ใจของเธอช่วยเปิดใจเธอรับฉันที

ฉันคิดถึงคิดถึง แต่คงไปไม่ถึงไม่ถึงใจเธอ เหมือนมีอะไรอะไรกั้นเอาไว้
ขอได้ไหมได้ไหม อยากจะไปให้ถึงให้ถึง ใจของเธอช่วยเปิดใจเธอรับฉันที",anan_anwar
ตะลึง,/music/thailyric/5929,"จริงเลยอะไรก็ดูไม่มัน จะทำอะไรก็งั้นๆ ไม่เห็นมันน่าสนุก
เบื่อๆกำลังจะกลับไปนอน พอดีเธอเดินมาย้อนศรมาทำให้ฉันสะดุด

โดนเลยโดนเลยยอมรับว่าโดน เธอทำให้ใจที่ยั้งๆ มันๆ ไปทั้งกระจุก
เปลี่ยนๆ ไม่เอาไม่กลับไปนอน เจอเธอแล้วใจมันร้อนๆ ตาโตจนแทบจะหลุด

ตะลึง ตะลึง ตะลึง ตะลึง ตึ๊งตึงๆๆๆ ...
เธอทำให้ฉันตะลึง ตะลึง ตะลึง ตะลึง

ลุยเลยมาเจออย่างงี้ต้องลุย ดุ่ยๆ ดุ่ยเข้าไปคุยเลย ต้องลุยให้ถึงที่สุด
บอกก่อนไม่ยอมให้กลับไปนอน ก็เธอตั้งใจมาย้อนศรอย่างนี้ไม่ยอมให้หลุด

โดนเลย โดนเลย ยอมรับว่าโดน เธอทำเอาใจที่ยั้ง ๆ มันๆ จนเส้นกระตุก
สุดๆ ยิ่งคุยก็ยิ่งได้รู้ เธอเป็นอะไรที่อู้ฮู้ เล่นเอาตะลึงไม่หยุด

ตะลึง ตะลึง ตะลึง ตะลึง ตึ๊งตึงๆๆๆ ...
เธอทำให้ฉันตะลึง ตะลึง ตะลึง ตะลึง

ตึงตะลึงๆๆๆ ...

ตะลึง ตะลึง ตะลึง ตะลึง ตึ๊งตึงๆๆๆ ...
เธอทำให้ฉันตะลึง ตะลึง ตะลึง ตะลึง

ตะลึง ตะลึง ตะลึง ตะลึง ตึ๊งตึงๆๆๆ ...
เธอทำให้ฉันตะลึง ตะลึง ตะลึง ตะลึง",anan_anwar
เนื้อหอม,/music/thailyric/5931,"แปลกใจใครๆก็ดูตอมเธอ ได้เจอฉันเองก็ยังใจสั่น
อยากรู้ช่วยๆบอกกัน บอกฉันเคล็ดลับของเธอ
บอกกันให้หายละเมอ สงสัยว่าเธอจะอาบน้ำบ่อย

อยู่ไกลยังไงก็ยังเดาถูก ใช่เธอคนเดียวที่ไม่เหมือนใคร
กลิ่นหอมลึกๆติดใจ ทำฉันแทบลอยทั้งยืน
เก็บเอาไปฝันทุกคืน สงสัยว่าเธอจะอาบน้ำบ่อย

เธอหอมฮ้อมหอม หอมเหลือเกินหอมฮ้อมหอม
หอมชื่นใจถูกใจฉัน เธอหอมโดนใจฉันเหลือเกิน

อยากเพียงให้เธอนั้นมาใกล้กัน ทุกวันไม่ยอมให้ใครได้เจอ
อยากเนื้อหอมๆอย่างเธอ เผื่อเธอจะมาสนใจ
บอกกันต้องทำเช่นไร สงสัยว่าฉันต้องอาบน้ำบ่อย

เธอหอมฮ้อมหอม หอมเหลือเกินหอมฮ้อมหอม
หอมชื่นใจถูกใจฉัน เธอหอมโดนใจฉันเหลือเกิน

เธอหอมฮ้อมหอม หอมเหลือเกินหอมฮ้อมหอม
หอมชื่นใจถูกใจฉัน เธอหอมโดนใจฉันเหลือเกิน

เธอหอมฮ้อมหอม หอมเหลือเกินหอมฮ้อมหอม
หอมชื่นใจถูกใจฉัน เธอหอมโดนใจฉันเหลือเกิน",anan_anwar
ไม่ลืม (แต่ไม่มา),/music/thailyric/5933,"เหนื่อยใจแล้ว มาหรือเปล่า ตั้งแต่เช้า รอเสียจนบ่าย
ส่งข้อความถามเธอ แต่ทำไมไม่ตอบทำเงียบไป

โทรไปหา เธอไม่อยู่ ออกไปแล้ว ไปพร้อมเพื่อนเธอคนใหม่
บอกในความรู้สึก เจ็บลึกๆนี้ไม่อาจอธิบาย

เธอไม่ลืมใช่ไหมแต่เธอไม่มา ทิ้งให้ฉันเฝ้ารอและเสียใจ
ว่าไม่มีค่าพอเลยหรือไร เธอจึงไม่มา

ต่อให้รอ นานเท่าไหร่ ไม่เป็นไร ถ้ารอแล้วเธอมา
แต่ไม่อยากเชื่อเลย ว่าเธอจะทิ้งฉันไปกับใคร

โทรไปหา เธอไม่อยู่ ออกไปแล้ว ไปพร้อมเพื่อนเธอคนใหม่
บอกในความรู้สึก เจ็บลึกๆนี้ไม่อาจอธิบาย

เธอไม่ลืมใช่ไหมแต่เธอไม่มา ทิ้งให้ฉันเฝ้ารอและเสียใจ
ว่าไม่มีค่าพอเลยหรือไร เธอจึงไม่มา

ไปกับเขา เธอคงมีความสุข หยอกล้อ หัวเราะกันสดใส
เธอคงไม่รู้หรอก ว่าตรงนี้ใครอยู่กับน้ำตา

เธอไม่ลืมใช่ไหมแต่เธอไม่มา ทิ้งให้ฉันเฝ้ารอและเสียใจ
ว่าไม่มีค่าพอเลยหรือไร เธอจึงไม่มา

เธอไม่ลืมฉันรู้ เธอจำได้ แต่เธอไม่มา",anan_anwar
ทำใจไม่ถูก,/music/thailyric/5930,"ขอบใจพอสมควร
ที่เธอชวนให้มาบ้านเธอ
แต่ฉันกลัวต้องเจอะ
ใครบางคนที่เธอซึ้งใจ

อย่าเลยเธอก็รู้
คิดดูมันคงไม่ดีเท่าไหร่
ยังท่องจำไว้
ว่าวันนี้เราไม่ใช่คนคุ้ยเคย

เธอทิ้งฉัน จำได้ไหม
ยังทำใจไม่ได้เลย
จะให้ฉันเฉยๆ
แกล้งลืมอยู่ได้ยังไง

เธอจะชวนฉันมาในฐานะอะไร
เพื่อนเธอคนหนึ่ง
หรือชวนแค่เป็นน้ำใจ
เธอจะให้ฉันมา (หา)
ให้ทำตัวแบบไหน
ก็ยากเกินไป วันนี้ทำใจไม่ถูก

ขอบใจเธอที่ทำ
พยายามจะเป็นเพื่อนกัน
แต่ฉันยังไหวหวั่น
ใจมันจำว่าเคยรักใคร

อย่าเลยเธอก็รู้
คิดดูมันคงไม่ดีเท่าไหร่
ยังท่องจำไว้
ว่าวันนี้เราไม่ใช่คนคุ้ยเคย

เธอทิ้งฉัน จำได้ไหม
ยังทำใจไม่ได้เลย
จะให้ฉันเฉยๆ
แกล้งลืมอยู่ได้ยังไง

เธอจะชวนฉันมาในฐานะอะไร
เพื่อนเธอคนหนึ่ง
หรือชวนแค่เป็นน้ำใจ
เธอจะให้ฉันมา (หา)
ให้ทำตัวแบบไหน
ก็ยากเกินไป วันนี้ทำใจไม่ถูก

เธอทิ้งฉัน จำได้ไหม
ยังทำใจไม่ได้เลย
จะให้ฉันเฉยๆ
แกล้งลืมอยู่ได้ยังไง

เธอจะชวนฉันมาในฐานะอะไร
เพื่อนเธอคนหนึ่ง
หรือชวนแค่เป็นน้ำใจ
เธอจะให้ฉันมา (หา)
ให้ทำตัวแบบไหน
ก็ยากเกินไป วันนี้ทำใจไม่ถูก

ฉันขอไม่ไป วันนี้ทำใจไม่ถูก",anan_anwar
แฟนพันธุ์ตื๊อ,/music/thailyric/5932,"ฉันจะมาทำไม ถ้าไม่รักจะมาทำไม
ถ้าไม่รักคงไปไกลไกลเธอแล้วซี
เช้ามาวนมาเวียน ตอนสายสายมาวอมาแว
ตกค่ำมาตามตอแยเธออย่างงี้

ไม่มาชิงรางวัล แต่ว่าฉันมาชิงดวงใจ
ถ้าเธอให้คะแนนไวไว มันก็ดี
เห็นเธอทำรำคาญ บอกว่าฉันมาคอยรำไร
ไล่ให้ฉันไปยืนรำไทย..ก็ไม่หนี

ไม่ไป เราไม่ไป ถ้าไม่รัก
ไม่ไป ไม่ใจ เธอไม่ใจ เราไม่ไป
เอาดิ ให้ไป จะให้ไป เธอต้องยอมโดยดี
ตอบมาซิ เธอจะให้ฉันเป็นอะไร
ให้เป็นอะไร ให้เป็นอะไร

ถูกต้องนะครับ ถูกต้องนะครับ
เป็นแฟนนะครับ ไม่ต้องร้องไห้ฮือ
ถูกต้องนะครับ ถูกต้องนะครับ
รางวัลที่รับ คือได้แฟนพันธุ์ตื๊อ

ฉันไม่อันธพาล คนอย่างฉันไม่อันตราย
เธอจะไม่เป็นอันทำไร เออก็ดี
รักเธอเต็มสตีม คนอย่างฉันไม่มีสแปร์
มีคนไหนจะมารังแก บอกคนนี้

ไม่ไป เราไม่ไป ถ้าไม่รัก
ไม่ไป ไม่ใจ เธอไม่ใจ เราไม่ไป
เอาดิ ให้ไป จะให้ไป เธอต้องยอมโดยดี
ตอบมาซิ เธอจะให้ฉันเป็นอะไร
ให้เป็นอะไร ให้เป็นอะไร

ถูกต้องนะครับ ถูกต้องนะครับ
เป็นแฟนนะครับ ไม่ต้องร้องไห้ฮือ
ถูกต้องนะครับ ถูกต้องนะครับ
รางวัลที่รับ คือได้แฟนพันธุ์ตื๊อ

ไปมั้ย ไปมั้ย (ไม่ไปจะอยู่กับเธอ)
เจอต้อง เจอต้อง (ต้องเจอจะได้อยู่ด้วยกัน)

ถูกต้องนะครับ ถูกต้องนะครับ
เป็นแฟนนะครับ ไม่ต้องร้องไห้ฮือ
ถูกต้องนะครับ ถูกต้องนะครับ
รางวัลที่รับ คือได้แฟนพันธุ์ตื๊อ

ถูกต้องนะครับ ถูกต้องนะครับ
เป็นแฟนนะครับ ไม่ต้องร้องไห้ฮือ
ถูกต้องนะครับ ถูกต้องนะครับ
รางวัลที่รับ คือได้แฟนพันธุ์ตื๊อ",anan_anwar
รับหัวใจเพิ่มมั้ยครับ,/music/thailyric/5934,"สบู่ ปากกา บะหมี่ ลิปมัน
ชั่วโมงเน็ต ยาสีฟัน กระดาษ
ลูกอม น้ำมัน ตะเกียบ กาแฟ
คอฟฟี่เมท หมากฝรั่ง หนังสือพิมพ์
ขนมปัง ไข่เค็ม ข้าวเกรียบ น้ำปลา

เมื่อไหร่จะเดินเข้ามาซื้อตัวกับใจของฉันไปที
ก็เจอกันตอนเย็นเย็นที่ร้านเซเว่นทุกวัน
มองมองเธอมานมนานเธอไม่รู้ตัวซักที
บังเอิญอะไรกับเธอ ดูดิ๊ เราเจอกันถี่
เดินชนเธอครั้งละทีเท่านี้ก็เป็นสุขน้า

บางวันจะทักจะทายก็เอ๊ะหรือคอยใครอยู่
ลองเดินไปดูประตูก็ไม่มีใครนี่นา
บ้านเธอคงเดินไปไกลให้ฉันไปด้วยดีกว่า
เมื่อยมือช่วยถือมามา อาสาไปเป็นเพื่อนคุย

ซื้ออะไรก็ซื้อไป ซื้ออะไรก็ซื้อเหอะ
ก็แค่อยากจะถามเธอ ก็แบบว่าเธอจะ รับ รับ

จะรับหัวใจเพิ่มมั้ยครับ เอาไว้ไปทานกับไส้กรอก
จะรับหัวใจด้วยมั้ยครับ เอาไปไว้ทานกับฮอทด็อก
เอาเหอะ เอาน่า เอาดิ ขนมจีบก็มีนะขอบอก

บางวันก็เจอเธอมามาซื้อมาม่าต้มยำ
คงทานคนเดียวประจำอย่างงี้ก็เบื่อแย่เลย
เลยลองลองชวนเธอดูไม่รู้เธอว่างไหมเอ่ย
ไปทานเป็นเพื่อนกันเลยเอาให้อร่อยจุใจ

ซื้ออะไรก็ซื้อไป ซื้ออะไรก็ซื้อเหอะ
ก็แค่อยากจะถามเธอ ก็แบบว่าเธอจะ รับ รับ

จะรับหัวใจเพิ่มมั้ยครับ เอาไว้ไปทานกับไส้กรอก
จะรับหัวใจด้วยมั้ยครับ เอาไปไว้ทานกับฮอทด็อก
เอาเหอะ เอาน่า เอาดิ ขนมจีบก็มีนะขอบอก

ไม่ได้ขายไส้กรอกก็บอกว่าฉันไม่ขายไส้กรอก
ฉันไม่ได้มาหลอกก็บอกว่าขายก็ขายแค่ใจ
ไม่ต้องคิดให้นานเลยแบบว่าโปรโมชั่นเอาไป
ยกทั้งตัวทั้งใจให้หมดเลยน้อง...เจ้าของก็หล่อ

จะรับหัวใจเพิ่มมั้ยครับ เอาไว้ไปทานกับไส้กรอก
จะรับหัวใจด้วยมั้ยครับ เอาไปไว้ทานกับฮอทด็อก
เอาเหอะ เอาน่า เอาดิ ขนมจีบก็มีนะขอบอก

จะรับหัวใจเพิ่มมั้ยครับ เอาไว้ไปทานกับไส้กรอก
จะรับหัวใจด้วยมั้ยครับ เอาไปไว้ทานกับฮอทด็อก
เอาเหอะ เอาน่า เอาดิ ขนมจีบก็มีนะขอบอก",anan_anwar
