song_name,href,lyric,artist
ความจริง,/music/thailyric/6549,"จะมีใครรู้คำตอบ ว่าการลืมใครสักคน
นั้นต้องทำอย่างไร ต้องใช้เวลาแค่ไหน

เนิ่นนานเป็นปีที่เราจาก ต่างคนทำตามหัวใจ
แล้วทำไมสุดท้าย ยังเสียใจจนวันนี้

บอกตัวเองให้ลืมทุกอย่าง
แต่ภาพเธอกลับยังฝังใจ

อยากลืม ความจริงที่ใจของฉันยังมีเธอ
ความจริงที่ใจอยากพบเธอ
แค่ฝันว่าเจอ ตื่นจากฝันก็มีน้ำตา
อยากจะลืม ความจริงที่ใจคิดถึงเธอทุกวัน
ความจริงที่ใจยังทรมาน
เพราะฉันไม่ลืม ลืมว่าใจมันยังรักเธอ

เส้นทางที่เรานั้นเดินอยู่ ไม่มีวันจะพบกัน
และทั้งเธอแหละฉัน เราเลือกให้เป็นแบบนี้
แต่ใจทำไมไม่เป็นสุข กับความเป็นจริงเสียที
ไม่มีเธอวันนี้ ชีวิตดูหมดความหมาย

บอกใจให้ลืมแล้วทุกทุกอย่าง
แต่ฉันไม่อาจทำได้เหมือนใจ

อยากลืม ความจริงที่ใจของฉันยังมีเธอ
ความจริงที่ใจอยากพบเธอ
แค่ฝันว่าเจอ ตื่นจากฝันก็มีน้ำตา
อยากจะลืม ความจริงที่ใจคิดถึงเธอทุกวัน
ความจริงที่ใจยังทรมาน
เพราะฉันไม่ลืม ลืมว่าใจมันยังรักเธอ

เพราะ ฉันไม่ลืม ไม่เคยลืมว่ายังรักเธอ",ann_thitima
ฉันรู้,/music/thailyric/6556,"ฉันพอรู้ เข้าใจแล้ว
ว่ารักที่เคยมีมันจบลงต้องร่ำลา
แค่อยากรู้ อยากเข้าใจ
ว่าสองเรายังคงเป็นเพื่อนกันได้ไหม

อยากเพียงมีคนปรับทุกข์เมื่อไม่มีใคร
อยากเพียงมีคนเข้าใจกันเหมือนที่เคยนะเธอ ได้ไหม

ฉันรู้ ฉันรู้ ว่าเราไม่เหมือนเดิม
ความผูกพันเลือนหายตามเวลา

ฉันรู้ ไม่ขอ รื้อฟื้นที่ผ่านมา
อยากเพียงเก็บไว้ในใจทุกเรื่องราว

ฉันรู้ ฉันรู้ ไม่มีแล้วสองเรา
วันเหล่านั้นเป็นเพียงแค่อดีต

ฉันรู้ เข้าใจ ไม่ขออะไรมากมาย
แต่ขอให้เรายังเป็นเพื่อนที่ดี

ลำบากใจ หรือเปล่าเธอ ถ้าเราพบกันเหมือนแต่ก่อนที่เป็นมา
แค่เสียดาย สิ่งมีค่า  ที่สองเราเคยมีไม่อาจลืมมันได้ลง

อยากเพียงเก็บสิ่งดีดีอย่าได้ทิ้งมันเลย
อยากเพียงให้เราได้คุยกันเหมือนที่เคยนะเธอ ได้ไหม

ฉันรู้ ฉันรู้ ว่าเราไม่เหมือนเดิม
ความผูกพันเลือนหายตามเวลา

ฉันรู้ ไม่ขอ รื้อฟื้นที่ผ่านมา
อยากเพียงเก็บไว้ในใจทุกเรื่องราว

ฉันรู้ ฉันรู้ ไม่มีแล้วสองเรา
วันเหล่านั้นเป็นเพียงแค่อดีต

ฉันรู้ เข้าใจ ไม่ขออะไรมากมาย
แต่ขอให้เรายังเป็นเพื่อนที่ดี",ann_thitima
ใต้แสงจันทร์,/music/thailyric/6559,"ใต้แสงจันทร์ อบอวลด้วยไอรักมั่น
สองเราอยู่เคียงข้างกาย โอบกอดกันไว้
ใต้แสงดาว ที่เราผูกใจสองใจ
ไว้รวมเป็นหนึ่งเดียว ให้ดาวช่วยเป็นพยาน

ค่ำคืนนี้มีเราสองคนแนบใจต่อใจ ใกล้ชิดกัน
ทุกวินาที ช่างมีความหมายเหลือเกิน

ตราบใดที่ยังมีเธออยู่เคียงข้างกันอย่างนี้
สิ่งอื่นใดไม่มีความหมายและไม่ต้องการ
ได้กุมมือกันผ่านคืน ที่มันช่างมีค่าเหลือเกิน
แม้พรุ่งนี้จะเป็นเช่นไร แม้ว่ากาลเวลาหมุนไป
จะเก็บความทรงจำตอนนี้ไปตลอดกาล

สุดหัวใจ ไม่เคยจะมอบให้ใคร
แต่พร้อมพลีทุกอย่างเพื่อเธอ ให้เก็บเอาไว้
ได้ยินหรือเปล่า เสียงของหัวใจ
ที่เต้นอย่างแผ่วเบา  ในคืนที่เงียบงัน

ไม่อาจหยุดเวลานี้ไว้ให้มีแต่เราชั่วนิรันดร์
แต่แค่มองตาเธอ ก็เหมือนโลกหยุดหมุนไป

ตราบใดที่ยังมีเธออยู่เคียงข้างกันอย่างนี้
สิ่งอื่นใดไม่มีความหมายและไม่ต้องการ
ได้กุมมือกันผ่านคืน ที่มันช่างมีค่าเหลือเกิน
แม้พรุ่งนี้จะเป็นเช่นไร แม้ว่ากาลเวลาหมุนไป
จะเก็บความทรงจำตอนนี้ไปตลอดกาล",ann_thitima
แทนทุกคำ,/music/thailyric/6561,"ยากที่จะสรรหา ถ้อยคำมาอธิบาย
ให้มันกินใจ ให้มันตรงใจ เหมือนดังใจฉัน
แม้ว่าคำสวยหรู นั้นจะมีกี่ล้านคำ
ไม่มีคำใด ที่มันจะซึ้งใจ เท่าที่ฉันต้องการ

ฉันพูดได้แต่รักเธอที่สุดในหัวใจเลย รู้ว่ามันคงเชย
เธออาจคุ้นเคย เธออาจเฉยเมื่อเธอได้ฟัง
ก็ได้แต่หวัง รักคงจะแทนความหมายทุกอย่าง
แทนทุกคำจากใจฉัน
รักคำเดียวที่ฉันให้เธอหมดใจ

ฉันก็มีแค่นี้ แค่เพียงคำที่ซ้ำเดิม
กับใจดวงเดิม ที่ยังคงเดิม และไม่เปลี่ยนผัน
พร้อมด้วยคำพูดนี้ ฉันให้เธอคือหัวใจ
เธอจะพอใจ หรือมองว่าน้อยไป ก็ไม่รู้เหมือนกัน

ฉันพูดได้แต่รักเธอที่สุดในหัวใจเลย รู้ว่ามันคงเชย
เธออาจคุ้นเคย เธออาจเฉยเมื่อเธอได้ฟัง
ก็ได้แต่หวัง รักคงจะแทนความหมายทุกอย่าง
แทนทุกคำจากใจฉัน
รักคำเดียวที่ฉันให้เธอหมดใจ",ann_thitima
บลูม,/music/thailyric/6564,"เพราะรักของเราเพิ่งเริ่มปลูก มันยังต้องการเวลา
กว่าที่ดอกไม้ของใจ จะผลิมาให้เราชื่นชม

ดูแลจิตใจไม่ให้เคยขาด
เติมลงไปเสมอที่ใจต้องการ
รักคงจะงดงามดังใจ
หากเราต่างคนนั้นช่วยกัน

รดลงไปที่ใจด้วยคำว่ารัก
แล้วเติมไปอีกหน่อยด้วยความห่วงใย
หมั่นถนอมทุกทุกวัน
ด้วยความจริงใจ
รักเราไม่นานต้องสวยงาม

รดลงไปที่ใจด้วยคำว่ารัก
แล้วเติมไปอีกหน่อยด้วยความห่วงใย
หมั่นถนอมทุกทุกวัน
ด้วยความจริงใจ
รักเราไม่นานต้องสวยงาม

เพราะรักของเราเพิ่งเริ่มปลูก อาจจะอ่อนแอบางคราว
ขึ้นอยู่กับเราเท่านั้น ที่จะทำให้มันแข็งแรง

ดูแลจิตใจไม่ให้เคยขาด
เติมลงไปเสมอที่ใจต้องการ
รักคงจะงดงามดังใจ
หากเราต่างคนนั้นช่วยกัน

รดลงไปที่ใจด้วยคำว่ารัก
แล้วเติมไปอีกหน่อยด้วยความห่วงใย
หมั่นถนอมทุกทุกวัน
ด้วยความจริงใจ
รักเราไม่นานต้องสวยงาม",ann_thitima
ไม่คิดเสียใจ,/music/thailyric/6566,"ดูมันนานเหลือเกินจากวันที่ฉันมีเธอ
แต่ความทรงจำครั้งนั้นก็ยังไม่เลือนหาย
เธอยังคง งดงามเสมอไม่ว่าเมื่อไร
อบอุ่นในใจทุกครั้ง เมื่อนึกถึงวันที่เรารักกัน

ไม่ว่าวันนี้เป็นไง เธออยู่ที่ใดก็ตาม
ฉันก็หวังเสมอให้เธอพบคนดีดี
ไม่ว่าพรุ่งนี้เป็นไง ยังห่วงเธอทุกนาที
ใจของฉันที่มี อย่างไรก็ยังมีเธอ

ยังเก็บเอาไว้ในใจ ทุกรอยยิ้มและทุกหยดน้ำตา
จดจำเวลา ทุกนาทีที่เราพบเจอ
อยากบอกว่าฉันดีใจ ที่ชีวิตนึงได้เคยรักเธอ
ต้องจากกันไป เจ็บปวดเพียงใด
ไม่เคยคิดเสียใจ

วันเวลาหมุนไปเชื่องช้า เมื่อไม่มีเธอ
และสิ่งที่เจอวันนี้ก็มีเพียงความเหงา
แต่การได้คิดถึงเธอบางครั้งก็ช่วยบรรเทา
ที่เราเคยมีคราวนั้นด้วยกันคือสิ่งที่ดีแสนดี

ไม่ว่าวันนี้เป็นไง เธออยู่ที่ใดก็ตาม
ฉันก็หวังเสมอให้เธอพบคนดีดี
ไม่ว่าพรุ่งนี้เป็นไง ยังห่วงเธอทุกนาที
ใจของฉันที่มี อย่างไรก็ยังมีเธอ

ยังเก็บเอาไว้ในใจ ทุกรอยยิ้มและทุกหยดน้ำตา
จดจำเวลา ทุกนาทีที่เราพบเจอ
อยากบอกว่าฉันดีใจ ที่ชีวิตนึงได้เคยรักเธอ
ต้องจากกันไป เจ็บปวดเพียงใด
ไม่เคยคิดเสียใจ

ยังเก็บเอาไว้ในใจ ทุกรอยยิ้มและทุกหยดน้ำตา
จดจำเวลา ทุกนาทีที่เราพบเจอ
อยากบอกว่าฉันดีใจ ที่ชีวิตนึงได้เคยรักเธอ
ต้องจากกันไป เจ็บปวดเพียงใด
ไม่เคยคิดเสียใจ",ann_thitima
ไม่อยากเข้าข้างตัวเอง,/music/thailyric/6568,"แต่ละวันที่เราคบกัน อยู่อย่างนี้
สิ่งดีๆ ที่เธอให้ฉัน มันทำให้ข้องใจ
ยิ่งเราต่างเป็นห่วงเป็นใย ก็ยิ่งหัวใจอ่อนไหว
มันมากเกินไปกว่าคำว่าเพื่อนกัน

ก็เธอมาให้ความสำคัญ ขนาดนี้
จะไม่ทำให้คนคนนี้ คิดมากไปได้ไง
ยิ่งสนิทยิ่งกว่าใครๆ ก็ยิ่งหัวใจหวั่นไหว
เธอคบฉันแบบไหน ให้รู้ที

ไม่อยากเข้าข้างตัวเอง
ไม่อยากคิดมากไปไกล
ไม่อยากเข้าข้างตัวเองมากไป
ว่าเธอมีใจให้กัน
ก็มันมองตาไม่รู้ ก็อยู่ที่เธอแล้วกัน
หากสงสารคนอย่างฉัน บอกฉันให้รู้
หัวใจเธอ

สิ่งที่เธอกระทำ ย้ำเตือนให้อยากรู้
สิ่งที่ดูจากตาวันนี้ มันทำให้ข้องใจ
เส้นที่แบ่งระหว่างตรงกลาง ความสัมพันธ์ดูจากไหน
เธอรักฉันบ้างไหม  ให้รู้ที

ไม่อยากเข้าข้างตัวเอง ไม่อยากคิดมากไปไกล
ไม่อยากเข้าข้างตัวเองมากไป ว่าเธอมีใจให้กัน
ก็มันมองตาไม่รู้ ก็อยู่ที่เธอแล้วกัน
หากสงสารคนอย่างฉัน  บอกฉันให้รู้
หัวใจเธอ",ann_thitima
เรื่องสมมุติ,/music/thailyric/6573,"สมมุติว่าเพื่อนคนนึงที่เธอคบ
บังเอิญคงคบมานานเกินไป
ใกล้ชิดทุกวันจนใจเธอหวั่นไหว
เกินเลยจากเพื่อนเป็นคำว่ารัก

ปรึกษาเธอหน่อย จะทำเช่นไร

จะบอกกับเขาแบบไหน ถ้าอยากให้เขาเข้าใจ
จะบอกกับเขาได้ไหม ว่าใจมันเป็นเช่นไร
จะบอกให้รู้ว่ารัก หรือเก็บเอาไว้ในใจ
จะดีไม่ดีแบบไหนยังไงแนะนำกับฉันที

สมมุติว่าเรื่องประมาณที่บอกนั้น
บังเอิญเป็นเรื่องของเธอกับฉัน

ปรึกษาเธอหน่อย จะทำเช่นไร

จะบอกกับเธอแบบไหน ถ้าอยากให้เธอเข้าใจ
จะบอกกับเธอได้ไหม ว่าใจมันเป็นเช่นไร
จะบอกให้รู้ว่ารัก หรือเก็บเอาไว้ในใจ
จะดีไม่ดีแบบไหนยังไง แนะนำกับฉันที

สมมุติถ้าฉันมีใจ  พร้อมจะให้เธอ
เธอจะว่าไง  ไหนลองช่วยตอบ

จะบอกกับเขาแบบไหน ถ้าอยากให้เขาเข้าใจ
จะบอกกับเขาได้ไหม ว่าใจมันเป็นเช่นไร
จะบอกให้รู้ว่ารัก หรือเก็บเอาไว้ในใจ
จะดีไม่ดีแบบไหนยังไงแนะนำกับฉันที

จะบอกกับเขาแบบไหน ถ้าอยากให้เขาเข้าใจ
จะบอกกับเขาได้ไหม ว่าใจมันเป็นเช่นไร
จะบอกให้รู้ว่ารัก หรือเก็บเอาไว้ในใจ
จะดีไม่ดีแบบไหนยังไงแนะนำกับฉันที

จะบอกให้รู้ว่ารัก หรือเก็บเอาไว้ในใจ
จะดีไม่ดีแบบไหนยังไงไหนลองบอกฉันที",ann_thitima
เลือกเป็นคนที่รักเธอ,/music/thailyric/6575,"ก็รู้ดีว่าฉันนั้นเป็นเพียงคนที่รักเธอ
ไม่ใช่คนที่เธอรัก
และมั่นใจ ว่าใครที่ใกล้เธอก็คงเหมือนกัน
ไม่แปลกเลยที่เป็นอย่างนี้

ฉันก็เป็นแค่คนหนึ่ง ที่ขอแค่มองเธออยู่
และพอใจแค่เพียงเท่านี้
จะเป็นไรไป หากจะรักคนดีๆ
ถ้าเธอนั้นไม่รักฉัน บอกใจว่ามันก็คงไม่สำคัญ

ก็เพราะเธอน่ารัก ฉันเลยต้องรัก
ก็ไม่จำเป็น ต้องห้ามหัวใจ
แค่เพราะว่าอยากรัก ไม่กลัวจะต้องเสียใจ
ไม่ว่าจะยังไง เลือกแล้วว่าจะเป็นคนที่รักเธอ

ก็รู้ดีว่าความคิดของเราคงไม่เหมือนกัน
ไม่เป็นไรฉันไม่แคร์
แค่รักเธอ แต่เธอนั้นไม่เคยคิดจะรักกัน
ไม่ได้แปลว่าต้องเสียใจ

ฉันก็เป็นแค่คนหนึ่ง ที่ขอแค่มองเธออยู่
และพอใจแค่เพียงเท่านี้
จะเป็นไรไป หากจะรักคนดีๆ
ถ้าเธอนั้นไม่รักฉัน บอกใจว่ามันก็คงไม่สำคัญ

ก็เพราะเธอน่ารัก ฉันเลยต้องรัก
ก็ไม่จำเป็น ต้องห้ามหัวใจ
แค่เพราะว่าอยากรัก ไม่กลัวจะต้องเสียใจ
ไม่ว่าจะยังไง เลือกแล้วว่าจะเป็นคนที่รักเธอ",ann_thitima
ให้โอกาสไหมเธอ,/music/thailyric/6583,"จากครั้งที่เราแยกทางกันเดินมันดูเนิ่นนาน
ก็คิดว่าลืมที่เคยรักกันดูเหมือนมันช่างห่างไกล
แต่วันนี้ต้องเจอ เธอนั้นที่เคยคุ้นใจ
ความทรงจำที่หายไปก็ย้อนมา กลับทำให้ใจไหวหวั่น

เพิ่งรู้ตัวเองว่าไม่เคยลืม ลืมเธอได้เลย
เพิ่งรู้ตัวเองว่ายังรักเธออย่างเหมือนที่เคยผ่านมา
หากไม่สายเกินไป อยากขอให้เธอหวนมา
อย่างเวลาที่สองเราเคยมีกัน

แค่อยากรักเธออีกครั้ง ให้โอกาสไหมเธอ
ขอให้เธออยู่เคียงข้างฉันเหมือนวันเก่าที่แล้วมา
แค่อยากมีเธอตรงนี้  รู้ว่าใจต้องการ
ให้เธอนั้นคืนกลับมา คืนมารักกัน

หากเธอยังจำเรื่องราวของเราที่เคยซึ้งใจ
หากแม้ว่าเธอยังไม่มีใครในใจของเธอตอนนี้
อยากจะบอกรักเธอ บอกรักเธออีกสักที
ใจยังรอเธอที่แสนดี กลับมารักกันเหมือนเดิม

(ก็ไม่รู้ว่ามันจะเป็นไปได้ไหม ไม่ได้ขอเกินไปใช่ไหม)

แค่อยากรักเธออีกครั้ง ให้โอกาสไหมเธอ
ขอให้เธออยู่เคียงข้างฉันเหมือนวันเก่าที่แล้วมา
แค่อยากมีเธอตรงนี้  รู้ว่าใจต้องการ
ให้เธอนั้นคืนกลับมา คืนมารักกัน

ฮืม ให้โอกาสได้ไหมเธอ",ann_thitima
