song_name,href,lyric,artist
Good Morning Teacher,/music/thailyric/13999,"ครั้งนั้นฉันมีเธอที่เป็นคนสอนทุกอย่าง
ว่ารักแท้จริงอ่อนหวานสวยงามเช่นไร

ได้บทเรียนสุดท้ายคือความผิดหวังเมื่อเธอจากไป
ได้รู้การโดนหักหลังเจ็บปวดเพียงไหน

แต่ผ่านมานานแล้วเรื่องมันเก่าจบไปตั้งนานแล้ว
เรื่องของเราผ่านไปตั้งนานแต่บทเรียนนั้นยังอยู่
สวัสดีครับคุณครูบังเอิญเหลือเกินที่วันนี้พบกัน

Good Morning Teacher, how are you today
I'm fine I'm okay Better than our yesterday
Morning teacher how are you today
I'm fine I'm okay Better now that you're away

รู้แล้วฉันเจอเธอเพื่อได้เรียนรู้ทุกอย่าง
ว่ารักแท้จริงไม่มั่นคงเสมอไป
หัวใจคนเปลี่ยนสีได้เร็วกว่าไม้กำลังผลัดใบ
อย่าไว้ใจคำว่ารักที่ใครบอกไว้

แต่ผ่านมานานแล้วเรื่องมันเก่าจบไปตั้งนานแล้ว
เรื่องของเราผ่านไปตั้งนานแต่บทเรียนนั้นยังอยู่
สวัสดีครับคุณครูบังเอิญเหลือเกินที่วันนี้พบกัน

Good morning teacher, how are you today
I'm fine I'm okay Better than our yesterday
Morning teacher how are you today
I'm fine I'm okay Better now that you're away

Good morning teacher, how are you today
I'm fine I'm okay Better than our yesterday
Morning teacher how are you today
I'm fine I'm okay Better now that you're away",atom_chanakan
Please,/music/thailyric/10366,"รู้ฉันรู้ยังไงก็คงไม่ต่าง
รู้ฉันรู้ยังไงเธอก็เลือกเขา
รู้ถึงฉันขอร้องยังไง เธอคงต้องลืมเรื่องของเรา
เพราะว่าเขาดีกว่า เพราะเขาสำคัญกว่า

รู้เธอมีเหตุผลอะไรสักอย่าง
ที่ทำให้เธอไม่คิดจะอยู่กับฉัน
อาจเป็นเพราะเธอแค่เหงาใจในวันที่เราพบกัน
เธอแค่มีความสุข แต่ว่าเธอไม่ได้รักกัน

แต่ฉันรัก รักเธอไปแล้วทั้งใจ
รู้ฉันรู้ว่าเธอต้องไป
แต่อยากจะขอร้องเธออีกครั้ง

โปรดรักฉันรักฉันเถอะนะ จะไม่ทำให้เธอเสียใจ
รู้ฉันสู้เขาไม่ไหว เทียบกับใครที่เธอมี
แต่เลือกฉันเลือกฉันได้ไหม ฉันจะดูแลเธอให้ดี
โปรดถามใจเธออีกที เพราะทั้งใจฉันมันยังมีแค่เธอ

รู้ว่าระหว่างเรานั้นมีบางอย่าง
ฉันรู้ว่าใจหนึ่งเธอก็ยังมีฉัน
รู้ทุกครั้งที่เรามองตา
ยังทำให้ใจของเธอสั่น
ทุกอย่างที่ผ่านมานั้นมันคือเรื่องจริง

เพราะฉันรัก รักเธอไปแล้วทั้งใจ
รู้ฉันรู้ว่าเธอต้องไป
แต่อยากจะขอร้องเธออีกครั้ง

โปรดรักฉันรักฉันเถอะนะ จะไม่ทำให้เธอเสียใจ
รู้ฉันสู้เขาไม่ไหว เทียบกับใครที่เธอมี
แต่เลือกฉันเลือกฉันได้ไหม ฉันจะดูแลเธอให้ดี
โปรดถามใจเธออีกที เพราะทั้งใจฉันมันยังมีแค่เธอ
ยังมีแค่เธอ

โปรดรักฉันรักฉันเถอะนะ จะไม่ทำให้เธอเสียใจ
รู้ฉันสู้เขาไม่ไหว เทียบกับใครที่เธอมี

แต่รักฉันรักฉันเถอะนะ จะไม่ทำให้เธอเสียใจ
รู้ฉันสู้เขาไม่ไหว เทียบกับใครที่เธอมี
แต่เลือกฉันเลือกฉันได้ไหม ฉันจะดูแลเธอให้ดี
โปรดถามใจเธออีกที เพราะทั้งใจฉันมันยังมีแค่เธอ

เพราะทั้งใจฉันมีแค่เธอ",atom_chanakan
ช่วงนี้ (Karma),/music/thailyric/13064,"Hey เธอทำอะไรมาน่ะ ทำไมหน้าตาดูหมอง
Hey เธอ ทำอะไรมาน่ะ

Hey เธอทำอะไรมาน่ะ หน้าตาอย่างกับโดนของ
Hey เธอทำอะไรมาน่ะ

ทำอะไรไม่ดีกับใครเอาไว้ เธอรู้ดีกว่า
ช่วงนี้พระท่านเตือนมาให้เธอระวัง

เตือนเธอว่า ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมดแล้ว

รู้ตัว ทำอะไรมาน่ะ กี่คนที่เธอทำร้าย
รู้ตัว ทำอะไรมาน่ะ
รู้ตัว ทำอะไรมาน่ะ กลับตัวก็ยังไม่สาย
รู้ตัว ทำอะไรมาน่ะ

ก่อนตายได้ทำอะไรดีๆเก็บไว้ คงจะดีกว่า
ช่วงนี้พระท่านเตือนมาให้เธอระวัง

เตือนเธอว่า ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมดแล้ว

ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมด

ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมดแล้ว",atom_chanakan
ทางของฝุ่น (Dust),/music/thailyric/11031,"อย่าให้ฉันรั้ง เธอไว้เลย
จากตรงนี้ยังอีกไกล ยังมีฝันที่เธอต้องไขว่ ต้องคว้า
อย่าจมอยู่กับฉันเลย จากตรงนี้ ไม่มีฉันมันคงดีกว่า
และวันนี้ฉันเดินมาส่ง ด้วยน้ำตาฉันเดินมาส่ง
ให้เธอเจอทางที่ดี ฉันจะคอยมองจากตรงนี้

และที่เธอเห็นแค่ฝุ่นมันเข้าตา ฉันไม่ได้ร้องไห้
อย่ามองกลับมา อย่าห่วงว่าฉันจะเสียใจ
ที่ผ่านมาได้รักกัน เท่านั้นก็ดีแค่ไหน
อย่ากังวล ฉันไม่เป็นไร แค่ขอให้เธอไปได้ดีกับทางของเธอ

ต่างคนก็รู้ เรารู้ดี คนๆ นี้มีไม่พอ ที่จะทำให้เธอเป็นสุขอย่างนั้น
เธอควรได้เจอทางที่ดี วันพรุ่งนี้เธอต้องเจอคนที่ดีกว่า
และวันนี้ฉันเดินมาส่ง ด้วยน้ำตาฉันเดินมาส่ง
ให้เธอเจอทางที่ดี ฉันจะคอยมองจากตรงนี้

และที่เธอเห็นแค่ฝุ่นมันเข้าตา ฉันไม่ได้ร้องไห้
อย่ามองกลับมา อย่าห่วงว่าฉันจะเสียใจ
ที่ผ่านมาได้รักกัน เท่านั้นก็ดีแค่ไหน
อย่ากังวล ฉันไม่เป็นไร แค่ขอให้เธอไปได้ดีกับทางของเธอ

แค่ขอให้เธอไปได้ดีกับทางของเธอ
ให้ได้เจอกับสิ่งที่เธอเคยฝัน
ฉันคนนี้มีไม่พอที่จะพาเธอไปตรงนั้น
ฉันจะยอมปล่อยไป ไม่เป็นไรอย่าห่วง

และที่เธอเห็นแค่ฝุ่นมันเข้าตา ฉันไม่ได้ร้องไห้
อย่ามองกลับมา อย่าห่วงว่าฉันจะเสียใจ
ที่ผ่านมาได้รักกัน เท่านั้นก็ดีแค่ไหน
อย่ากังวลฉันไม่เป็นไร แค่ขอให้เธอไปได้ดีกับทางของเธอ

ทางของเธอ",atom_chanakan
แผลเป็น (Scar),/music/thailyric/10627,"กาลครั้งหนึ่ง ซึ่งเธออาจลืมไปแล้ว
ว่าในครั้งหนึ่ง เคยรักเคยผูกพัน
กับใคร ใครสักคน แต่ด้วยเวลาที่ผ่านพ้นไป
อาจจะทำให้เธอลืมเขา

แต่เขายังรักเธออยู่ ยังคิดถึงอยู่
ถึงรู้ว่าเธอไม่คิดถึงเขาอีกแล้ว
ยังมองหาเธออยู่ ทุกครั้งที่ผ่าน
ที่เดิมที่เธอกับเขาคู่กัน

เพราะเขายังคงเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอเหลือเกิน

คนแค่คนหนึ่ง อาจฝากรอยแผลเอาไว้
ที่ใจของคนหนึ่ง และแม้จะพยายามรักษา
ให้หายดี แต่ต่อให้นานพ้นไปกี่ปี
ก็ยังทิ้งร่องรอยเอาไว้

ให้เขายังรักเธออยู่ ยังคิดถึงอยู่
ถึงรู้ว่าเธอไม่คิดถึงเขาอีกแล้ว
ยังมองหาเธออยู่ ทุกครั้งที่ผ่าน
ที่เดิมที่เธอกับเขาคู่กัน

เพราะเขายังคงเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอเหลือเกิน

แต่เขายังรักเธออยู่ ยังคิดถึงอยู่
ถึงรู้ว่าเธอไม่คิดถึงเขาอีกแล้ว
ยังมองหาเธออยู่ ทุกครั้งที่ผ่าน
ที่เดิมที่เธอกับเขาคู่กัน

เพราะเขายังคงเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอ

ยังเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอ

เพราะเขายังคงเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอเหลือเกิน",atom_chanakan
รถคันเก่า,/music/thailyric/14655,"เบรกเสื่อม ควันดำ ไฟท้ายไม่ดี รถฉันมันเก่า
ขาดการซ่อมแซม ไม่ต่างอะไรจากรักเรา

พยายามปรับปรุงแก้ไขทุกอย่าง
เปลี่ยนแปลงให้เธอถูกใจ
แต่วันนี้แค่เขามากับรถคันใหม่
เธอก็เลือกไปกับเขา

เธอบอกว่าเธอจะไป เธอจะไปกับเขา
เธอบอกให้ฉันกลับไปพร้อมกับรถคันเก่า
เธอบอกว่าฉันต้องมี ฉันต้องมีอย่างเขา
เธอบอกไม่งั้นจะลืม เธอจะลืมเรื่องเรา
แค่รถเขามันใหม่

ไม่อาจทำใจทิ้งมันได้ลง ถึงมันจะเก่า
ติดเพียงเรื่องเดียว แต่ก่อนมันเคยเป็นรถเรา

พยายามปรับปรุงแก้ไขทุกอย่าง
เปลี่ยนแปลงให้เธอถูกใจ
แต่วันนี้แค่เขามากับรถคันใหม่
เธอก็เลือกไปกับเขา

เธอบอกว่าเธอจะไป เธอจะไปกับเขา
เธอบอกให้ฉันกลับไปพร้อมกับรถคันเก่า
เธอบอกว่าฉันต้องมี ฉันต้องมีอย่างเขา
เธอบอกไม่งั้นจะลืม เธอจะลืมเรื่องเรา
แค่รถเขามันใหม่

คันนี้ไม่ใช่เหรอที่พาเธอไปส่ง
คันนี้ไม่ใช่เหรอที่พาเธอผ่านสุขทุกข์ทุกทาง
คันนี้ไม่ใช่เหรอที่ทำเพื่อเธอมาทุกอย่าง
สุดท้ายไม่เพียงพอ คนอย่างฉัน

เธอบอกว่าเธอจะไป เธอจะไปกับเขา
เธอบอกให้ฉันกลับไปพร้อมกับรถคันเก่า
เธอบอกว่าฉันต้องมี ฉันต้องมีอย่างเขา
เธอบอกไม่งั้นจะลืม เธอจะลืมเรื่องเรา

เธอบอกว่าเธอจะไป เธอจะไปกับเขา
เธอบอกให้ฉันกลับไปพร้อมกับรถคันเก่า
เธอบอกว่าฉันต้องมี ฉันต้องมีอย่างเขา
เธอบอกไม่งั้นจะลืม เธอจะลืมเรื่องเรา
แค่รถเขามันใหม่

บอกว่าเธอจะไป
บอกว่าเธอจะไป
ก็เธอจะไป",atom_chanakan
อย่าบอก,/music/thailyric/13487,"ไม่จำเป็นต้องอธิบายอะไร ก็ได้
เก็บคำพูดที่มีเหล่านั้นในใจ
ไม่ต้องพยายามแสดงว่าเธอเสียใจ
ก็ได้ เก็บความรู้สึกที่มีไว้
เพราะที่เธอกำลังบอกฉัน
ที่แสดงอาการเหล่านั้น
คือการบอกฉันว่าเธอต้องไป

อย่าบอกว่าเธอเสียใจ
คนที่เสียใจวันนี้ต้องเป็นฉัน
อย่าเสียเวลาฟูมฟายแทนกัน
เธอยังมีเขารออยู่
คนที่ต้องเสียใจถึงเมื่อไรก็ไม่รู้
คือฉันไม่ใช่เธอ

แค่เธอเดินจากไปกับเขาเลย ก็ได้
บอกกับฉันคำเดียวว่าเธอจะไป
ไม่ต้องสาธยายว่ารู้สึกผิดแค่ไหน ก็ได้
มันไม่มีประโยชน์อะไร

เพราะ ที่เธอกำลังบอกฉัน
ที่แสดงอาการเหล่านั้น
คือการบอกฉันว่าเธอต้องไป

อย่าบอกว่าเธอเสียใจ
คนที่เสียใจวันนี้ต้องเป็นฉัน
อย่าเสียเวลาฟูมฟายแทนกัน
เธอยังมีเขารออยู่
คนที่ต้องเสียใจถึงเมื่อไรก็ไม่รู้

อย่าบอกว่าเธอเสียใจ
คนที่เสียใจวันนี้ต้องเป็นฉัน
อย่าเสียเวลาฟูมฟายแทนกัน
เธอยังมีเขารออยู่
คนที่ต้องเสียใจถึงเมื่อไรก็ไม่รู้
คือฉันไม่ใช่เธอ",atom_chanakan
อยู่นี่ไง,/music/thailyric/12374,"สิ่งหนึ่งที่ยังตามหามานาน
แค่สิ่งเดียวที่ฉันต้องการ
สุขจริงๆ ข้างในจิตใจ

อาจอาจจะเป็นสิ่งของบางอย่าง
กว่าจะเจอคงต้องเดินทาง
แต่ก็ยังไม่พบ ไม่รู้ว่าอยู่ที่ใคร

ใช้เวลามากมายตามหามานานเท่าไร
สุดท้ายแค่มองกลับมา ก็รู้แล้วว่าอยู่ที่ไหน

อยู่ตรงนี้ไง อยู่ตรงนี้ที่เราใกล้กัน
ที่ที่ฉันเฝ้ารอนับวัน จะได้กลับมาเจออีกครั้งเสมอ

อยู่ตรงนี้ไง อยู่ตรงนี้ที่ฉันมีเธอ
ที่เคยหาตั้งนานไม่เจอ ได้พบว่าอยู่ข้างฉัน
ความสุขที่มีเธอไปด้วยกัน เท่านั้นก็พอ

อาจอาจจะเป็นคำพูดบางคำ
บอกกับฉันในวันที่ช้ำ
ได้มีคนที่รัก แค่คนหนึ่งที่เข้าใจ

ใช้เวลามากมายตามหามานานเท่าไร
สุดท้ายแค่มองกลับมา ก็รู้แล้วว่าอยู่ที่ไหน

อยู่ตรงนี้ไง อยู่ตรงนี้ที่เราใกล้กัน
ที่ที่ฉันเฝ้ารอนับวัน จะได้กลับมาเจออีกครั้งเสมอ

อยู่ตรงนี้ไง อยู่ตรงนี้ที่ฉันมีเธอ
ที่เคยหาตั้งนานไม่เจอ ได้พบว่าอยู่ข้างฉัน
ความสุขที่มีเธอไปด้วยกัน เท่านั้นก็พอ
เท่านั้นก็พอ

อยู่ตรงนี้ไง อยู่ตรงนี้ที่เราใกล้กัน
ที่ที่ฉันเฝ้ารอนับวัน จะได้กลับมาเจออีกครั้งเสมอ

อยู่ตรงนี้ไง อยู่ตรงนี้ที่ฉันมีเธอ
ที่เคยหาตั้งนานไม่เจอ ได้พบว่าอยู่ข้างฉัน
ความสุขที่มีเธอไปด้วยกัน เท่านั้นก็พอ
เท่านั้นก็พอ",atom_chanakan
อ้าว,/music/thailyric/11547,"บีบเข้าไป บีบน้ำตาแล้วบีบมือฉัน
ขอร้องให้เห็นใจ เธอขอโทษ
เรื่องวันนั้น ที่เคยทำผิดกับฉัน
ให้ยกโทษให้เธอได้ไหม

น่าเห็นใจ เธอตีหน้าเศร้าเล่าเรื่องเขา
ฉันเองก็เห็นใจ แต่ถ้าเธอยังเป็นสุข
และถ้าเธอยังมีเขา
เธอจะกลับมาหาฉันไหม

ก็ตอนนั้นฉันขอให้เธออยู่
เธอบอกเธอรู้ตัวดีกำลังทำอะไร
เธอต้องเลือกสิ่งที่ดีที่สุดให้ตัวเองไว้
แล้วเธอก็เลือกเขาไง
ยังจำได้ไหม ที่รัก

อ้าวเฮ้ย ไม่เหมือนที่คุยกันไว้นี่หน่า
ที่บอกว่าเธอจะเลือกเขาและไม่มีวันกลับมา
อ้าวเฮ้ย อย่ากลืนน้ำลายตัวเองดีกว่า
อย่ามาเสียเวลาร้องขออะไร
ที่เธอไม่มีวันได้คืน

ไม่เข้าใจ เธอนั่นแหละที่บอกวันนั้น
ว่าฉันนั้นไม่ใช่ แล้ววันนี้โลกจะแตก
หรือว่าฟ้าจะถล่ม
เธอถึงมาขอให้ฉันกลับไป

ก็ตอนนั้นฉันขอให้เธออยู่
เธอบอกเธอรู้ตัวดีกำลังทำอะไร
เธอต้องเลือกสิ่งที่ดีที่สุดให้ตัวเองไว้
แล้วเธอก็เลือกเขาไง
ยังจำได้ไหม ที่รัก

อ้าวเฮ้ย ไม่เหมือนที่คุยกันไว้นี่หน่า
ที่บอกว่าเธอจะเลือกเขาและไม่มีวันกลับมา
อ้าวเฮ้ย อย่ากลืนน้ำลายตัวเองดีกว่า
อย่ามาเสียเวลาร้องขออะไร
ที่เธอไม่มีวันได้คืน

อ้าวเฮ้ย ไม่เหมือนที่คุยกันไว้นี่หน่า
ที่บอกว่าเธอจะเลือกเขาและไม่มีวันกลับมา
อ้าวเฮ้ย อย่ากลืนน้ำลายตัวเองดีกว่า
อย่ามาเสียเวลาร้องขออะไร
ที่เธอไม่มีวันได้คืน

อ้าวเฮ้ย ไม่เหมือนที่คุยกันไว้นี่หน่า
ที่บอกว่าเธอจะเลือกเขาและไม่มีวันกลับมา
อ้าวเฮ้ย อย่ากลืนน้ำลายตัวเองดีกว่า
อย่ามาเสียเวลาร้องขออะไร
ที่เธอไม่มีวันได้คืน

ยังไงก็ไม่มีวันได้คืน",atom_chanakan
อย่าหาทำ (YHT),/music/thailyric/19374,"อย่าหาทำ อย่าทำให้ใจต้องเจ็บ กว่านี้
ให้เขาไปดีเถิดเธอ
อย่าหาใคร มาทำให้ใจต้องเจ็บ อีกที

เธอโทรมาถามว่าฉันสบายดีไหม
อยากจะปรึกษาเธอมีเรื่องหนักใจ
คนที่เธอรักมาเนิ่นนาน
เพิ่งทิ้งเธอไปตั้งแต่คืนเมื่อวาน

จะกลับไปง้อจะกลับไปหาเขาดีไหม
หรือจะให้ดีเธอควรจะไปหาคนใหม่
รู้ว่าเธอสับสนในใจ แต่ฟังฉันไว้นะคนดี

อย่าหาทำ อย่าทำให้ใจต้องเจ็บ กว่านี้
ให้เขาไปดีเถิดเธอ
อย่าหาใคร มาทำให้ใจต้องเจ็บ อีกที
แค่ไม่มีใครสักปี ไม่ตายหรอก

จนเกือบตีสองก็ยังไม่ยอมวางสาย
เธอเอาแต่เพ้อว่าทำอะไรผิดไป
โธ่เธอคนมันคิดจะไป
ให้ดีแค่ไหนมันก็ไปอยู่ดี

เธอบอกถ้างั้นพอจะมีใครแนะนำไหม
เธอบอกว่าเหงาเลยอยากจะลองคบใครใหม่
รู้ว่าเธอกำลังหวั่นไหว
แต่เร็วไปไหมจ๊ะคนดี

อย่าหาทำ อย่าทำให้ใจต้องเจ็บ กว่านี้
ให้เขาไปดีเถิดเธอ
อย่าหาใคร มาทำให้ใจต้องเจ็บ อีกที
แค่ไม่มีใครสักปี ไม่ตายหรอก

อย่าหาทำ อย่าทำให้ใจต้องเจ็บ กว่านี้
ให้เขาไปดีเถิดเธอ
อย่าหาใคร มาทำให้ใจต้องเจ็บ อีกที
แค่ไม่มีใครสักปี ไม่ตายหรอก

อย่าหาทำ อย่าทำให้ใจต้องเจ็บ กว่านี้
ให้เขาไปดีเถิดเธอ",atom_chanakan
