song_name,href,lyric,artist
ขมคอ,/music/thailyric/16922,"เมื่อจบแล้วก็ให้มันจบไป อย่าอะไรเรื่องที่แล้วมา
ความทรงจำที่เปื้อนน้ำตา อย่าเก็บมาให้มันท้อถอย
คนยังมีพรุ่งนี้เสมอ จะไปเพ้อบั่นทอนหัวใจ
คนไม่รักให้ทำยังไง มัดเชือกไว้ก็คงไม่อยู่

ถ้าเขาไม่รัก รักพ่อรักแม่ดีหว่า
จะไปบ้าทำตายายอะไร คนทุกคนย่อมมีทางไป
หากได้เศษใจล่ะกูยอมไม่เอา

หากความรักมันขมคอ ไปต่อคงไม่ไหว
แล้วเอาหัวใจล้อเล่นทำไม ล่ะสาวนุ้ยเห้อ
คนดีดีมีมากมาย ก็ไม่ได้ตาย แค่ไม่ได้เขา
อย่าไปเสียเวลาเปล่าๆ ทำหมาทำแม่อะไร

ถ้าเขาไม่รัก รักพ่อรักแม่ดีหว่า
จะไปบ้าทำตายายอะไร คนทุกคนย่อมมีทางไป
หากได้เศษใจล่ะกูยอมไม่เอา

หากความรักมันขมคอ ไปต่อคงไม่ไหว
แล้วเอาหัวใจล้อเล่นทำไม ล่ะสาวนุ้ยเห้อ
คนดีดีมีมากมาย ก็ไม่ได้ตาย แค่ไม่ได้เขา
อย่าไปเสียเวลาเปล่าๆ ทำหมาทำแม่อะไร

เมื่อความรักมันขมคอ ไปต่อคงไม่ไหว
แล้วเอาหัวใจของสาวนุ้ยไปล่ะพี่บ่าวเห้อ
คนดีดีมีมากมายก็ไม่ได้ตาย ถ้าไม่ได้เขา
อย่าไปเสียเวลาเปล่าๆ ให้เปลืองน้ำตา

ก็อย่าไปเสียเวลาเปล่าๆ ให้เปลืองน้ำตา",b_ble_300
ขอแฟนแบบยายสา,/music/thailyric/20104,"มีความรักหนึ่งคน ที่ชื่อยายสา
มีเรื่องเล่าขานมาว่า แกรอตาอยู่ทุกวัน
ตรงที่ริมทะเล แกรอคอยอยู่ตรงนั้น
แต่เป็นเพียงรูปปั้น เพื่อยืนยันแห่งความรัก

มานึกย้อนหัวใจ ของหนุ่มสาวสมัยนี้
แลยายสาแล้วคิดให้ดี ว่าซื่อสัตย์แค่ไหน
แต่ยุคนั้นไม่มี โซเชียล ล่อตาล่อใจ
แต่สังคมยุคสมัย เป็นชู้เป็นร้อยเป็นแสนเป็นพัน

ถ้ามีความรักแบบยายสา
ที่รอตากลับมาทุกวัน
จะกี่เดือนปีก็ไม่หวั่น
ความรักนั้นที่รอคอย

ถ้าฉันมีแฟนแบบยายสา
โชคดีนักหนา ไม่ขอไรทั้งนั้น
แต่วันนี้ให้ได้ครึ่งแล้วกัน
ขอแฟนภักดีแบบยายสา

ถ้ามีความรักแบบยายสา
ที่รอตากลับมาทุกวัน
จะกี่เดือนปีก็ไม่หวั่น
ความรักนั้นที่รอคอย

ถ้าฉันมีแฟนแบบยายสา
โชคดีนักหนา ไม่ขอไรทั้งนั้น
แต่วันนี้ให้ได้ครึ่งแล้วกัน
ขอแฟนภักดีแบบยายสา

ความรักขึ้นอยู่กับคนสองคน
จะรอได้เหมือนยายสาหรือเปล่า",b_ble_300
ขี้ฉ้อ,/music/thailyric/14883,"ในปฐพี ในโลกใบนี้ ละมีคนมากมาย
แต่ทำไมของเรา ไม่เจอสักที
คนอื่นมีตั้ง สอง สาม สี่ กันรึดๆ

จะบอกถึงความจริงใจนั้น ไอ้เราก็มี
เคยมีความรักแต่ไม่แฮปปี้
ถูกผีแล้วไป ไม่ที ทำพรือ

ความรักคนเรานั้นก็มีหลากหลาย
ลีลาคบกันเพื่อจากลา เพื่อหาความใคร่
ขี้ฮก ขี้เท็จมากมาย เพื่อได้แล้วฝัน
แล้วใครอิรู้ว่าโหม๋นี้ละมันขี้หลอก
แล้วใครอิรู้ถึงนิสัย ใจคน
จะคบใครกี่คน ก็โมงทั้งเพ

ใครจะไปรู้อดีต ที่ผ่านมา
ใครจะไปรู้ เขาหลอกเรา

ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ละคนขี้เท็จ
มาเพียงวางเบ็ดแล้วเขาก็ไป
ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ตอแหลไป
หวังเพียงแค่ได้ แล้วเขาก็ส่ายวาน
เลยต้องอยู่ เลยต้องอยู่ อยู่แสนนาน
ไม่มีแฟนก็ขึ้นคาน ไม่ใช่ตายที

ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ละคนขี้เท็จ
มาเพียงวางเบ็ดแล้วเขาก็ไป
ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ตอแหลไป
หวังเพียงแค่ได้ แล้วเขาก็ส่ายวาน
เลยต้องอยู่ เลยต้องอยู่ อยู่แสนนาน
ไม่มีแฟนก็ขึ้นคาน ไม่ใช่ตายที

ความรักคนเรานั้นก็มีหลากหลาย
ลีลาคบกันเพื่อจากลา เพื่อหาความใคร่
ขี้ฮก ขี้เท็จมากมาย เพื่อได้แล้วฝัน
แล้วใครอิรู้ว่าโหม๋นี้ละมันขี้หลอก
แล้วใครอิรู้ถึงนิสัย ใจคน
จะคบใครกี่คน ก็โมงทั้งเพ

ใครจะไปรู้อดีต ที่ผ่านมา
ใครจะไปรู้ เขาหลอกเรา

ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ละคนขี้เท็จ
มาเพียงวางเบ็ดแล้วเขาก็ไป
ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ตอแหลไป
หวังเพียงแค่ได้ แล้วเขาก็ส่ายวาน
เลยต้องอยู่ เลยต้องอยู่ อยู่แสนนาน
ไม่มีแฟนก็ขึ้นคาน ไม่ใช่ตายที

ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ละคนขี้เท็จ
มาเพียงวางเบ็ดแล้วเขาก็ไป
ไอ้ขี้ฉ้อ ไอ้ขี้ฉ้อ ตอแหลไป
หวังเพียงแค่ได้ แล้วเขาก็ส่ายวาน
เลยต้องอยู่ เลยต้องอยู่ อยู่แสนนาน
ไม่มีแฟนก็ขึ้นคาน ไม่ใช่ตายที

ไม่ใช่ตายที",b_ble_300
ขี้โม้ ฮาย,/music/thailyric/19022,"หน้าเก่าอย่างเรา จะไปสู้คนใหม่ได้หรอ
หน้าด้าน หน้าทน เสนอ ไม่ยอม ให้เธอจากไป
ก็ให้ไปแล้ว หมดแล้ว ที่ให้เธอไป
อย่ามามองเป็นแค่ของตาย
เพราะคนใหม่ มันน่าลอง

ไม่ต้องมาสาธยายอะไรให้วุ่นวาย
ถ้าคิดไว้แล้วว่าคนจะไป
ไม่ต้องมา ตอแหล
คนไม่ใช่แล้ว ไปสิ ไปสิ อย่าลังเล
ลมปากเปลี่ยนไปได้เพ
คนโลเล หลอกลวง

หยุด ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ ก็เธอมันนั่นหลายใจ
หากไม่รักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี
ทางนี้ปวดใจ เสียอย่างแรง

หยุด ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ ก็เธอมันนั่นหลายใจ
หากไม่รักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี
ทางนี้ปวดใจ เสียอย่างแรง แล้ว เอย

ไม่ต้องมาสาธยายอะไรให้วุ่นวาย
ถ้าคิดไว้แล้วว่าคนจะไป
ไม่ต้องมา ตอแหล
คนไม่ใช่แล้ว ไปสิ ไปสิ อย่าลังเล
ลมปากเปลี่ยนไปได้เพ
คนโลเล หลอกลวง

หยุด ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ ก็เธอมันนั่นหลายใจ
หากไม่รักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี
ทางนี้ปวดใจ เสียอย่างแรง

หยุด ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ ก็เธอมันนั่นหลายใจ
หากไม่รักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี ไม่ดี
ทางนี้ปวดใจ เสียอย่างแรง แล้ว เอย
(ขี้โม้อีตายโหง)

มันปวดใจ เสียอย่างแรง แล้ว เอย",b_ble_300
ขี้โม้,/music/thailyric/17525,"หน้าเก่าอย่างเรา จะไปสู้คนใหม่ได้เหรอ
หน้าด้าน หน้าทนเสนอไม่ยอม ให้เธอจากไป
ก็ให้ไปแล้วหมดแล้วที่ให้เธอไป
อย่ามามองเป็นแค่ของตาย
เพราะคนใหม่ มันน่าลอง

ไม่ต้องมาสาธยายอะไรให้วุ่นวาย
ถ้าคิดไว้แล้วว่าคนจะไป
ไม่ต้องมา ตอแหล
คนมันไม่ใช่แล้ว ไปซิ ไปซิ๊ อย่าลังเล
ลมพัดเปลี่ยนไปได้เพ
คนโลเลหลอกลวง

หยุดขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ
ก็เธอมันนั้นหลายใจ
อยากไปรักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี
ไม่ดี ไม่ดี ไม่ดี ทางนี้ปวดใจ เสียอย่างแรง

หยุดขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ
ก็เธอมันนั้นหลายใจ
อยากไปรักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี
ไม่ดี ไม่ดี ไม่ดี ทางนี้ปวดใจ เสียอย่างแรง
แล้ว เอย

ไม่ต้องมาสาธยายอะไรให้วุ่นวาย
ถ้าคิดไว้แล้วว่าคนจะไป
ไม่ต้องมา ตอแหล
คนมันไม่ใช่แล้ว ไปซิ ไปซิ๊ อย่าลังเล
ลมพัดเปลี่ยนไปได้เพ
คนโลเลหลอกลวง

หยุดขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ
ก็เธอมันนั้นหลายใจ
อยากไปรักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี
ไม่ดี ไม่ดี ไม่ดี ทางนี้ปวดใจ เสียอย่างแรง

หยุดขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้
ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้โม้ ขี้หก ขี้เท็จ
ก็เธอมันนั้นหลายใจ
อยากไปรักก็บอกมาเลย ไปเลย บอกเลย
อย่าทำเฉยๆ ถ้ามันไม่ดี ไม่ดี ไม่ดี ไม่ดี
ไม่ดี ไม่ดี ไม่ดี ทางนี้ปวดใจ เสียอย่างแรง
แล้ว เอย

มันปวดใจ เสียอย่างแรง แล้ว เอย",b_ble_300
คนหม้ายแฟน,/music/thailyric/13570,"เจ็บเท่าเจ็บ ไม่จำสักที ใจดวงนี้กี่หนมาแล้ว
กี่ครั้งกี่ทีกินแห้ว นึกแล้วว่าต้องถูกหลาว
ไอ้เราก็อยากเอาจริง แต่ว่าหญิงเห็นเป็นไอไหร
จีบคนหน้าตาใช้ได้ แต่สุดท้ายผิดหวังทุกที

สากลัวหัวใจตัวเอง พอมันเห็นคนสวยเดินมา
ไม่หลาบไม่จำเหลยหนา ตามตำราเข้าจีบขอเบอร์
คนนี้มันชาติถูกใจ ไม่มีใครเธอไม่มีแฟน
ปักอกปักใจเชื่อแน่น ชาติมันแค้นช้ำลงรอยเดิม

คนหม้ายแฟนอยู่ไหนสักที
คนหน้าตาดี ที่ยังหาหม้ายแฟน
เธออยู่ไหน ถึงไกลจากไปสุดแสน
มาเป็นแฟน มารักฉันด้วยใจจริง

คนหม้ายแฟนอยู่ไหนสักที
คนหน้าตาดี ที่ยังหาหม้ายแฟน
เธออยู่ไหน ถึงไกลจากไปสุดแสน
มาเป็นแฟน มารักฉันด้วยใจจริง

มีมั่งหม้าย คนสวยไม่หลอกไม่ลวง
มารักมาหวง มาควงใจดวงนี้
หามานานแต่ว่ายังไม่เจอสักที
คารมใจนี้ มัดใจแต่คนหลอกหลวง

คารมของพี่มัดใจแต่คนหลอกลวง",b_ble_300
คิดถึงโว้ย,/music/thailyric/20505,"ห้ามฟ้าห้ามฝนยังไง มันคงไม่ได้
ห้ามความคิดถึงห่วงใย ที่มีให้กัน

สมมติว่าเธอเหงา เศร้าเหมือนกับฉัน
ก็คงนึกถึงกัน แค่ทักหา

คิดถึงเธอโว้ย อยากเจอ
อยากเห็นหน้าเธอ แต่โทรไม่ได้แรง
อยากจับต้องตัว ไม่ไช่แค่แหลง
คิดถึงอย่างแรง หวังเหวิดพรือโฉ้หมดแล้ว

กลัวเธอ แอบนอกใจ
กลัวเธอ เบื่อคนจน
กลัวเธอ มีเหตุผล
ที่ทน กับคนอย่างฉัน

คิดถึงเธอโว้ย อยากเจอ
อยากเห็นหน้าเธอ แต่โทรไม่ได้แรง
อยากจับต้องตัว ไม่ไช่แค่แหลง
คิดถึงอย่างแรง หวังเหวิดพรือโฉ้หมดแล้ว

สมมติว่าเธอเหงา เศร้าเหมือนกับฉัน
ก็คงนึกถึงกัน แค่ทักหา

คิดถึงเธอโว้ย อยากเจอ
อยากเห็นหน้าเธอ แต่โทรไม่ได้แรง
อยากจับต้องตัว ไม่ไช่แค่แหลง
คิดถึงอย่างแรง หวังเหวิดพรือโฉ้หมดแล้ว

คิดถึงเธอโว้ย อยากเจอ
อยากเห็นหน้าเธอ แต่โทรไม่ได้แรง
อยากจับต้องตัว ไม่ไช่แค่แหลง
คิดถึงอย่างแรง หวังเหวิดพรือโฉ้หมดแล้ว

คิดถึงอย่างแรง หวังเหวิดพรือโฉ้หมดแล้ว",b_ble_300
จีบกูที,/music/thailyric/19421,"ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที

ฉันโสดหว้าเหว่ มาตั้งนมนาน
ละตั้งแต่อนุบาล เลยมัธยม

อยากมีสักคนละที่ไม่หลอกปล้น
หัวใจเราไป

หน้าตาแบบนี้ แต่ก็อยากสืบพันธุ์
ละอยากจะหรอยเหมือนกันกับเขาสักที
ไปนั่นร้านเหล้า ก็แฟนเพื่อนทุกที
โอ๊ย เวทนา

ยืนหนึ่งบนคานทอง แล้วมองบน
กำลังมองหาสักคน รึงรังไปหลาว

ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
รอมาหลายปี

ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
รอมาหลายปี
จะหยิกสักทีก่อนนอน

หน้าตาแบบนี้ แต่ก็อยากสืบพันธุ์
ละอยากจะหรอยเหมือนกันกับเขาสักที
ไปนั่นร้านเหล้า ก็แฟนเพื่อนทุกที
โอ๊ย เวทนา

ยืนหนึ่งบนคานทอง แล้วมองบน
กำลังมองหาสักคน รึงรังไปหลาว

ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
รอมาหลายปี

ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
รอมาหลายปี
จะหยิกสักทีก่อนนอน

ยืนหนึ่งบนคานทอง แล้วมองบน
กำลังมองหาสักคน รึงรังไปหลาว

ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
รอมาหลายปี

ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
ใครก็ได้ช่วยจีบกูที
รอมาหลายปี
จะหยิกสักทีก่อนนอน",b_ble_300
ท่ายาก (ถูกแล้ว แม่เห้อ),/music/thailyric/16584,"เคยมีความรัก แต่ต้องผิดหวังอย่างแรง
เวลาเขาไม่แหลงด้วย
แรกตอนจีบกัน เธอบอกว่ามันกล้วยๆ
ไม่ต้องสวยไม่ต้องรวย สักเท่าไร

เวลาผ่านไปมันก็ไม่ใช่อย่างที่ฝัน
เธอบอกว่ามันไม่ใช่
แล้วที่คบไปมันคือไอ้ไร
แค่อยากได้ พอมันไม่ใช่แล้วเหวอ

ก็แล้วที่เสียมันไป แล้วไม่ได้อะไร
แล้วเธอบอกพอใจในตัวกัน
แล้วเธอขี้ฮกทั้งเพ เธอเหน็บเราไปลงเล
เธอไม่ใจเท่าเล แค่หลอกฟัน

ที่ว่าที่สวยอย่างแรง แต่ว่าคิดถึงอย่างแรง
เธอนั้นมาแสดงให้พ้นกัน
ไอ้เราก็เสียใจมาก และเคยต้องเสียท่ายาก
ให้เธออยู่ตั้งหลายวัน

แต่มาวันนี้หูตาแจ้ง แล้วแม่เห้อ

ก็แล้วที่เสียมันไป แล้วไม่ได้อะไร
แล้วเธอบอกพอใจในตัวกัน
ก็แล้วที่เสียมันไป แล้วไม่ได้อะไร
แล้วเธอบอกพอใจในตัวกัน
แล้วเธอขี้ฮกทั้งเพ เธอเหน็บเราไปลงเล
เธอไม่ใจเท่าเล แค่หลอกฟัน

ที่ว่าที่สวยอย่างแรง แต่ว่าคิดถึงอย่างแรง
เธอนั้นมาแสดงให้พ้นกัน
ไอ้เราก็เสียใจมาก และเคยต้องเสียท่ายาก
ให้เธออยู่ตั้งหลายวัน

แต่มาวันนี้หูตาแจ้ง แล้วแม่เห้อ",b_ble_300
นางฟ้าในใจฉัน (จากใจเด็กบ้านๆ),/music/thailyric/22917,"อยากจะเจอรักดีดีกับเขา
แต่ว่าเราไม่เคยเจอสักที
ก็แค่คนๆ หน้าตาฐานะไม่ดี
บ้านนอกอย่างนี้ไม่ดีหรอก

อยากจะเจอรักดีๆ สักคน
ที่ทนการเป็บแบบนี้
ไม่มีอะไรเลิศหรู ผ่านความเจ็บช้ำเคยมี
ความรักมันกินไม่ได้

หากว่าเธอมองกันที่ข้างใน
เราไม่มีเล่ห์เหลี่ยมอะไร
อยากมาสร้างครอบครัวด้วยกันไหม
รับได้ไหม จากใจเด็กบ้านๆ

คนโสดจริงอยู่ตรงไหน คนรักจริงอยู่ตรงนี้
ประกาศให้ที พี่ไม่มีใคร
จะไม่ล่อกแล่ก ไม่ทำให้เสียใจ
แต่ที่ไม่มีอะไร หาหม้ายรถยนต์

หากไม่รังเกียจกัน อยากมีรักดีสักหน
อยากขอสักคน มาเป็นนางฟ้าในใจฉัน

อยากจะเจอรักดีๆ สักคน
ที่ทนการเป็บแบบนี้
ไม่มีอะไรเลิศหรู ผ่านความเจ็บช้ำเคยมี
ความรักมันกินไม่ได้

หากว่าเธอมองกันที่ข้างใน
เราไม่มีเล่ห์เหลี่ยมอะไร
อยากมาสร้างครอบครัวด้วยกันไหม
รับได้ไหม จากใจเด็กบ้านๆ

คนโสดจริงอยู่ตรงไหน คนรักจริงอยู่ตรงนี้
ประกาศให้ที พี่ไม่มีใคร
จะไม่ล่อกแล่ก ไม่ทำให้เสียใจ
แต่ที่ไม่มีอะไร หาหม้ายรถยนต์

หากไม่รังเกียจกัน อยากมีรักดีสักหน
อยากขอสักคน มาเป็นนางฟ้าในใจฉัน

หากว่าเธอมองกันที่ข้างใน
เราไม่มีเล่ห์เหลี่ยมอะไร
อยากมาสร้างครอบครัวด้วยกันไหม
รับได้ไหม จากใจเด็กบ้านๆ

คนโสดจริงอยู่ตรงไหน คนรักจริงอยู่ตรงนี้
ประกาศให้ที พี่ไม่มีใคร
จะไม่ล่อกแล่ก ไม่ทำให้เสียใจ
แต่ที่ไม่มีอะไร หาหม้ายรถยนต์

หากไม่รังเกียจกัน อยากมีรักดีสักหน
อยากขอสักคน มาเป็นนางฟ้าในใจฉัน

มาเป็นนางฟ้าในใจฉัน
มาเป็นนางฟ้าในใจฉัน
มาเป็นนางฟ้าในใจฉัน

อยากขอสักคน มาเป็นนางฟ้าในใจฉัน",b_ble_300
