song_name,href,lyric,artist
Number One,/music/thailyric/10147,"(แบงค์) เห็นเธอแล้วบอกรักเธอเลยได้ไหม เอ้ เอ้
ก็ใจของฉันมันฟ้องบอกฉันว่าเธอนะใช่
(หญิงลี) ไม่ได้มาโกหกลวงหลอกพูดผิดสักนิดเลยเธอ
ก็ใจมันเผลอเจอรักรุมเร้าว่าเธอน่ะใช่

(แบงค์) พอดีว่ายังไม่มีใคร
ก็ใจมันลอยๆ ตามเธอไป
คิดสิคิดสิคิดสิคิด ก็ตัวเราเองจะทำยังไง
(หญิงลี) เธอมาทำให้ใจละเมอ
เตือนตัวเองเวลาเจอเธอ
พยายามไม่มองไปเจอ
(พร้อมกัน) แต่รู้ทั้งรู้ว่าคงไม่ห้ามใจ

(พร้อมกัน) โอ้ เจอกี่ครั้งก็ใช่เลยคนนี้
หันไปมองเธอแต่ละที แค่นี้ก็ Love you baby

(หญิงลี) เอาใจไปเลยคนดี You're Number One
number one number one
(แบงค์) ก็เธอคือ number one
number one number one
(หญิงลี) ก็เธอคือ number one
number one number one
(แบงค์) ก็เธอคือ number one
number one number one number one

(หญิงลี) ขอใจเธอมาแลกเบอร์โทรได้ไหม โอ โอ้ะ โอ
แค่อยากจะโทรบอกเธอและย้ำว่าเธอน่ะใช่
(แบงค์) แค่อยากจะโทรบอกเธอ
บอกรักฝันดี Goodnight เอ้ เอ้
ถ้าหากไม่รบกวนนัก บอกรักทุกวันยังได้

(หญิงลี) พอดีว่ายังไม่มีใคร
ก็ใจมันลอยๆ ตามเธอไป
คิดสิคิดสิคิดสิคิด ก็ตัวเราเองจะทำยังไง
(แบงค์) เธอมาทำให้ใจละเมอ
เตือนตัวเองเวลาเจอเธอ
พยายามไม่มองไปเจอ
(พร้อมกัน) แต่รู้ทั้งรู้ว่าคงไม่ห้ามใจ

(พร้อมกัน) โอ้ เจอกี่ครั้งก็ใช่เลยคนนี้
หันไปมองเธอแต่ละที แค่นี้ก็ Love you baby

(แบงค์) เอาใจไปเลยคนดี You're number one
number one number one
(หญิงลี) ก็เธอคือ number one
number one number one
(แบงค์) ก็เธอคือ number one
number one number one
(หญิงลี) ก็เธอคือ number one
number one number one number one

(พร้อมกัน) โอ้ เจอกี่ครั้งก็ใช่เลยคนนี้
หันไปมองเธอแต่ละที แค่นี้ก็ Love you baby
โอ้ I love you

(พร้อมกัน) โอ้ เจอกี่ครั้งก็ใช่เลยคนนี้
หันไปมองเธอแต่ละที แค่นี้ก็ Love you baby

(พร้อมกัน) เอาใจไปเลยคนดี You're number one
number one number one
ก็เธอคือ number one number one number one
ก็เธอคือ number one number one number one
ก็เธอคือ number one number one number one
ก็เธอคือ number one",bankk_cash
ของตายในมือเธอ,/music/thailyric/12326,"ไม่อาจลืมใจ ไม่ให้คิดถึง
แต่ไม่เป็นไร ถ้าหากเธอไม่สนใจ
เธอเองจะทำอะไรก็ได้
ฉันนั้นก็ไม่อาจรู้

เธอจะรักฉัน หรือจะทอดทิ้ง
เธอจะจริงใจ หรือว่าเธอต้องทิ้งกัน
ฉันนั้นคงทำอะไรไม่ได้
เพราะรักของฉันมันแล้วแต่เธอ

จากใจฉันยอมทุกสิ่ง จะทิ้งยังไงก็ได้
ไม่มีข้อแม้และอะไร แล้วแต่ใจของเธอ
และใจฉันนั้นก็อยากให้เธอรู้

ก็ฉันเป็นของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu Baby
ก็ฉันมันของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu Baby

จะไม่มีใคร จะอยู่อย่างนี้
เธอจะมีใคร จะยังไงก็แล้วแต่
ใครมองก็คงต้องรับไม่ได้
ฉันพร้อมจะอยู่อย่างนี้

ก็มันมีเธอ ที่เป็นเจ้าของ
เธอมาจองใจ ฉันเองก็ยอมให้เธอไป
ฉันนั้นคงทำอะไรไม่ได้
เพราะใจของฉัน มันเป็นของเธอ

จากใจฉันยอมทุกสิ่ง จะทิ้งยังไงก็ได้
ไม่มีข้อแม้และอะไร แล้วแต่ใจของเธอ
และใจฉันนั้นก็อยากให้เธอรู้

ก็ฉันเป็นของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu Baby
ก็ฉันมันของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu...

เพราะรักจริงๆ เพราะรักเพียงเธอ
แม้ฉันต้องเจอรุนแรง แม้จะสักเท่าไร
ดวงใจทั้งดวง มอบให้เธอแล้ว
เพียงเธอผู้เดียวให้เธอไปหมด

ขอแค่เพียงแค่ฉันมองเธอ
แล้วเห็นเธอมีความสุข
แค่เท่านั้น ฉันก็โอเค
แค่เท่านั้นก็เพียงพอแล้ว..

ก็ฉันเป็นของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu Baby
ก็ฉันมันของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu...

ก็ฉันเป็นของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu Baby
ก็ฉันมันของตาย อยู่ในมือของเธอ
Hu Hu Hu Hu Baby",bankk_cash
ทำไม ได้แต่บอกทำไม,/music/thailyric/8971,"ปล่อยเขาให้ยังทำร้าย ให้กายใจยับเยิน
No Matter What You Say
No Matter What You Do
Im Always Stand For You
เธอเป็นอะไร﻿ เธอโดนอะไร ยังไงก็รู้ดี
ฉันอีกคนที่รักเธอ แต่เธอไม่รู้หรอก และไม่ต้องรู้หรอก
แต่ฉันหนะรู้ดี เธอโดนทำร้ายและทรมาณยังไงหนะรู้ดี

ทำไมได้แต่บอกทำไม ไม่เข้าใจทำไมเธอยอม
ให้เขาทำร้ายและก็ต้องเจ็บ เก็บอารมณ์ยามช้ำใจ
ฉันขอร้องเธอ ทนไม่ไหว จะได้ไหมให้ฉันดูแล
และเริ่มใหม่ เมื่อถึงเวลา

เลิกกันแล้วลองหันมามองแทนฉันที
จะรอเธออย่างนี้แม้รู้ว่าจะนานแค่ไหน
เหนื่อยในใจบางไหมเวลาที่เธอทะเลาะกัน
ถ้าบทสุดท้ายมีอันต้องเลิกลา
เธอจะมีเวลาก็ขอให้เธอมาบอก ขอให้บอก

ในใจได้แต่บอกทำไม ไม่เข้าใจทำไมเธอยอม
ใครๆ ก็รู้เขาไม่ควรอยู่ แต่เท่าที่ดูยังเหมือนเดิม
ทำไมยังทนเจ็บเสมอเมื่อเธอกับเขาไม่ค่อยดีกัน
ฉันเฝ้ารอให้ถึงเวลา

เลิกกันแล้วลองหันมามองแทนฉันที
จะรอเธออย่างนี้แม้รู้ว่าจะนานแค่ไหน
เหนื่อยในใจบางไหมเวลาที่เธอทะเลาะกัน
ถ้าบทสุดท้ายมีอันต้องเลิกลา
เธอจะมีเวลาก็ขอให้เธอมาบอก

เลิกกันแล้วลองหันมามองแทนฉันที
จะรอเธออย่างนี้แม้รู้ว่าจะนานแค่ไหน
เหนื่อยในใจบางไหมเวลาที่เธอทะเลาะกัน
ถ้าบทสุดท้ายมีอันต้องเลิกลา
เธอจะมีเวลาก็ขอให้เธอมาบอก ขอให้บอก

ทำไมได้แต่บอกทำไม",bankk_cash
บทสุดท้าย,/music/thailyric/13161,"ต่างก็เคยผิดหวังในรักมา
เคยหลับหูหลับตา
ไอตอนเวลาหาคู่
ก็ไม่รู้ว่าจะต้องทำไง
ก็เห็นแล้วชอบแค่นั้นก็เลยเผลอใจ
จะ ชาเนล ดิออร์ หรือว่า เฮอร์เมส
ฉันก็ซื้อให้ไปบอกไม่เป็นไร Lovin you
แต่สุดท้ายเค้ายังไม่พอใจ
ทั้งๆ ที่ทุ่มให้เค้าไปหมดหัวใจ

ไม่เป็นไรส่วนฉันไม่ต้องการเยอะ
แค่มีเธอผู้เดียวฉันก็พอเถอะ
เดินไปด้วยกันแค่เพียงมีฉันและมีเธอ

เวลามันทำให้เรียนรู้
ว่าบทสุดท้ายของชีวิตคู่
คือการอดทนและเฝ้ารอ Baby
วันวานจะผ่านมาอย่างไร
แต่สมองและพร้อมทั้งหัวใจ
จะหยุดเอาไว้ตรงที่เธอคนนี้
แต่เพียงผู้เดียว

ต่างก็เคยผิดหวังมาในครั้งก่อน
กว่าจะรู้ก็ตอนที่ไม่มีใครไร้คู่
ถ้ารู้ว่าจะต้องเสียใจ
ชั้นคงไม่กล้าให้เค้ามาเอาหัวใจ
ไม่เป็นไรเข้าใจลืมมันไปนะ
ไม่เป็นไรเข้าใจฉันจะคอยปลอบ
เธอไม่ชอบอะไรจับมือกันไว้แค่บอกมา

เวลามันทำให้เรียนรู้
ว่าบทสุดท้ายของชีวิตคู่
คือการอดทนและเฝ้ารอ Baby
วันวานจะผ่านมาอย่างไร
แต่สมองและพร้อมทั้งหัวใจ
จะหยุดเอาไว้ตรงที่เธอคนนี้
แต่เพียงผู้เดียว

ถ้าฉันรู้ว่าสักวันจะเจอเธอก็ดี
คงไม่ต้องมาเสียเวลาให้ใคร
แต่มันเป็นโจทย์ของหัวใจ
เราจะต้องเดินต่อไป  แค่มีเธอ

เวลามันทำให้เรียนรู้
ว่าบทสุดท้ายของชีวิตคู่
คือการอดทนและเฝ้ารอ Baby
วันวานจะผ่านมาอย่างไร
แต่สมองและพร้อมทั้งหัวใจ
จะหยุดเอาไว้ตรงที่เธอคนนี้แหละที่รัก

เวลามันทำให้เรียนรู้
ว่าบทสุดท้ายของชีวิตคู่
คือการอดทนและเฝ้ารอ Baby
วันวานจะผ่านมาอย่างไร
แต่สมองและพร้อมทั้งหัวใจ
จะหยุดเอาไว้ตรงที่เธอคนนี้แต่เพียงผู้เดียว

เราจะเดินจับมือไปด้วยกันนะ
แค่มีเธออยู่เคียงกายก็พอแหละ
เราจะเดินจับมือไปด้วยกันนะ
แค่มีเธออยู่เคียงกายก็พอแหละ

จะหยุดเอาไว้ตรงที่เธอคนนี้แต่เพียงผู้เดียว",bankk_cash
แฟนไม่มีซะที,/music/thailyric/9154,"แฟนไม่มีซะที what แฟนไม่มีซะที what
แฟนไม่มีซะที what Ooh baby
แฟนไม่มีซะที what แฟนไม่มีซะที what
แฟนไม่มีคนดีๆ มันหายังไม่ได้

โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโว็ะ โอ้ว โว่ว
Oooh อยากจะมีใครให้ใจละลาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาะจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว

อยากจะมีแฟนเอาไว้เดินจูงมือ
กล่อมให้หลับให้นอนยามเมื่อเราตาปรือ
แต่มันลืมไปแล้วคำว่าแฟนมันคือ
แล้วก็พูดไม่ได้แค่ เอ้อ เอ้อ อือ อือ

อยากจะแต่งงานให้เหมือนเวย์ไทเท
พอเรามีคนรักเราก็เลิกเกเร
แต่ยังไม่มีใครจะมายอมเป็นแฟน
Ooh baby จะทำอย่างไร เราจะเอายังไง

โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh อยากจะมีใครให้ใจละลาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว

จะไปแจกเบอร์มันก็ดูใจไว
จะทำไม่รู้ไม่ชี้มันก็ฟอร์มเกินไป
ไอ้ที่เหมาะที่ควรมันต้องทำยังไง
ก็ถ้าชอบมากๆ ก็ต้องให้เบอร์ไป

ใจมันก็ยังหวังจะได้เจอคนดี
ไอ้ที่มันเจ้าชู้เราก็โดนฟรีฟรี
แต่ไอ้คนจะคุยมันก็ยังไม่มี
Ooh baby จะทำยังไร เราจะเอายังไง

โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh อยากจะมีใครให้ใจละลาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว

it's a mayday mayday เพื่อนผมBANKK
looking for that special lady lady ซัก1คน
he can call his baby bay chill kick it with her everyday
รัก her everyday everyday

everyday พวกสาวๆ เข้ามาสมัครกันได้
the rockstar slash the r&amp;b guy
กับเด็กเท่ห์พร้อมที่จะ make her
นามสกุล change call us insane but the playa just saying
break it down for em

เข้ามารักกัน เข้ามารักกัน เข้ามารักที เข้ามารักที
เข้ามารักกัน เข้ามารักกัน เข้ามารักที เข้ามารักที
เข้ามารักกัน เข้ามารักกัน เข้ามารักที เข้ามารักที
เข้ามารักกัน เข้ามารักกัน เข้ามารักเลย มาเลยตอนนี้

โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh อยากจะมีใครให้ใจละลาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว
Oooh baby เหงาจะตาย
โอ๊ะ โอะ โอ อูโวะ โอ้ว โว่ว",bankk_cash
รอฉันหรือเปล่า,/music/thailyric/13994,"เหตุที่ฉันไม่มีใครเพราะว่าฉันไม่ลืมเธอ
ยังจดจำและคิดถึงเธออยู่เสมอตลอดมา
ชะตาได้เขียนขีดให้เราต้องลาจาก
ทำให้สองเราต้องผลัดพราก
หรือว่าสองเราอ่อนแอ

หลังจากได้ลองเดินทาง
ฉันได้เรียนรู้และซึ้งถึงความหมาย
ว่าอาการเดียวดายมันทรมานอย่างนี้

เธอยังอยู่ตรงนั้นรอฉันหรือเปล่า
ก็ใจอยากกลับไปหาพบเจอ
แต่กลัวเธอลืมฉันเพราะเธอนั้นมีใคร
หากว่าวันไหนเธอเหงาเศร้าใจ
บอกมาจะกลับไปหาเธอ ณ ที่เดิมของเรา
แล้วเจอกันอีกครั้ง

หลังจากได้ลองเดินทาง
ฉันได้เรียนรู้และซึ้งถึงความหมาย
ว่าอาการเดียวดายมันทรมานอย่างนี้

เธอยังอยู่ตรงนั้นรอฉันหรือเปล่า
ก็ใจอยากกลับไปหาพบเจอ
แต่กลัวเธอลืมฉันเพราะเธอนั้นมีใคร
หากว่าวันไหนเธอเหงาเศร้าใจ
บอกมาจะกลับไปหาเธอ ณ ที่เดิมของเรา
แล้วเจอกันอีกครั้ง

เธอยังอยู่ตรงนั้นรอฉันหรือเปล่า
ก็ใจอยากกลับไปหาพบเจอ
แต่กลัวเธอลืมฉันเพราะเธอนั้นมีใคร
หากว่าวันไหนเธอเหงาเศร้าใจ
บอกมาจะกลับไปหาเธอ ณ ที่เดิมของเรา
แล้วเจอกันอีกครั้ง",bankk_cash
"เลิฟ มี ทัช มี คิส มี (Love Me, Touch Me, Kiss Me)",/music/thailyric/8856,"มองเห็นเธอแล้ว Babe
มองทั้งคืนแล้ว Crazy
ก็ใจมันคล้ายจะละลาย
ใจมันลอยไม่ยอมกลับคงจะดีที่ถ้าไฟดับ

คิดก็แค่อยากกระซิบ
ใจมันภาวนาให้เธอเข้ามาเอาใจไป
เขยิบเข้ามาอีกนิด This is all right
ลองมาฟังดีๆ ว่าเราต้องทำกันยังไง
Come on babe babe

Love me Touch me Kiss me สักที
ผมอยากรู้ก็อยากจะ Kiss you babe
Love me Touch me Kiss me babe

Love me Touch me Kiss me สักที
ผมพรำเพ้อก็เพราะเธอ Sexy babe
Love me Touch me Kiss me babe
All night long

ไม่ต้องกลัวที่จะจูบ Babe
เพราะผมรอทั้งคืน Im ready
เขยิบมาหากันและกัน
ลองกุมมือแล้วสัมผัสเธอเองจะได้รู้จัก

รักโปรดมาเถอะที่รัก
ทำตัวตามสบายแล้วลองให้กายมันพาไป
ก็อยากจะใกล้ชิด This is all right
ลองมาฟังดีๆ ว่าเราต้องทำกันยังไง
Come on babe babe

Love me Touch me Kiss me สักที
ผมอยากรู้ก็อยากจะ Kiss you babe
Love me Touch me Kiss me babe

Love me,Touch me Kiss me สักที
ผมพร่ำเพ้อก็เพราะเธอ Sexy babe
Love me Touch me Kiss me babe
All night long

เพราะว่ารักถึงคิดจะกอดเพราะว่ารักถึงคิดจะจูบ
เพียงเธอวางใจกันมันคงไม่เกินไปกว่านี้
รอเพียงเธอเข้าใกล้อีกหน่อย
กุมมือกันแล้วไม่ต้องปล่อย
คลอเคลียกันให้แนบสนิทและ Kiss me baby

รอเพียงเธอให้เข้ามากอด
รอเพียงเธอให้เข้ามาจูบ
มันคุมอาการไม่อยู่เมื่ออยู่เคียงเธอ
ทุกๆ ครั้งที่ฉันรู้สึกมันเป็นเพียงเพราะฉันรักเธอ Babe

Love me Touch me Kiss me สักที
ผมอยากรู้ก็อยากจะ Kiss you babe
Love me Touch me Kiss me babe

Love me,Touch me Kiss me สักที
ผมพร่ำเพ้อก็เพราะเธอ Sexy babe
Love me Touch me Kiss me babe

Love me Touch me Kiss me สักที
ผมอยากรู้ก็อยากจะ Kiss you babe
Love me Touch me Kiss me babe

Love me Touch me Kiss me สักที
ผมพรำเพ้อก็เพราะเธอ Sexy babe
Love me Touch me Kiss me babe babe

ใจต้องการมันเป็นเพียงเพราะรักเธอ
ก็รอเธอมากอดก็รอเธอมาจูบ",bankk_cash
อย่า Say Yes,/music/thailyric/11060,"B A N K K ลองมองๆ ว่าเธอคงไม่มีแฟน ไม่มีแฟน ไม่มีแฟน

ไอ้ที่ว่าโสดน่ะจริงไหม ไอ้ที่เห็นข้างเธอนั้นใคร
อย่าให้เขาเข้ามาเอาใจ
ได้โปรดอย่า Say yeah Say yeah อย่า Say Yes
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?
What you gonna do? what what?

ที่รักคะ ไหนบอกว่าจะไม่ซนแบบนี้
ระวังใครเดินชนเดินตรงๆ หน่อยสิ
ไม่ๆ ไม่เอาไม่เซ
ไหนยูเบาๆ อะไม่เอา My baby
อยู่กับผมรับรองว่าเธอปลอดภัย
ฝากให้ผมช่วยประคอง เดินกอดไหม
For real ซินเซีย ไม่เคยหลอกใคร
เชื่อสิพี่ไม่บอกใคร Alright

ก็มันอันตราย ถ้าเธอปล่อยใจ เธอนั้นต้องดูว่าใครที่ดูปลอดภัย
ใจระแวงกลัวเธอจะ Say yeah Say yeah Say yeah

ไอ้ที่ว่าโสดน่ะจริงไหม ไอ้ที่เห็นข้างเธอนั้นใคร อย่าให้เขาเข้ามาเอาใจ
ได้โปรดอย่า Say yeah Say yeah อย่า Say yes
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?

เอาน่ะมาๆ ให้พี่เทกแคร์ ลองพนันกันเอามะไม่มี Fake แน่
พวกผู้ชายแถวนี้น่ะเจ้าชู้กันหมด
แต่เธอไม่ต้องห่วงพี่รู้ทันมันหมด
เชื่อพี่อย่าไปเชื่อใคร
เอ้าไหนบอกนั่นแค่เพื่อนไง
สรุปโสดไม่โสดบอกมาเถอะได้โปรด
ถ้าไม่โสดก็ไม่โกรธ ไม่ได้ว่าอะไร

ก็มันอันตราย ถ้าเธอปล่อยใจ ไม่งั้นเธอเองคงจะเป็นรายต่อไป
ใจระแวงกลัวเธอจะ Say yeah Say yeah Say yeah

ไอ้ที่ว่าโสดน่ะจริงไหม ไอ้ที่เห็นข้างเธอนั้นใคร อย่าให้เขาเข้ามาเอาใจ
ได้โปรดอย่า Say yeah Say yeah อย่า Say yes
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?
What you gonna do? what what what you gonna do?
What you gonna do? What What?

I love you baby
อย่า Say yes",bankk_cash
ชีวิตและใจให้เธอ,/music/thailyric/23708,"นานแค่ไหนไม่เคยได้รัก
คนที่ฉันได้พักกายอุ่นใจ
พอเมื่อฟ้าส่งเธอเข้ามาในชีวิตมันทำให้สุขใจ

แต่โชคชะตา นั้นมักพาให้ต้องเจ็บ
โชคชะตา พารักให้กล้ำกลืนและอดทน
โชคชะตา นั้นมักแยกจากเราสองคน
แต่ว่าฉัน จะไม่ยอม

ต่อจากนี้ จะมอบชีวิตและใจให้เธอ
ไม่ว่าเธอนั้นจะเคยเป็นของใคร
จะสักเท่าไรฉันก็ยอม
จะดูแลเธอที่รัก ไม่ทิ้งไม่ไปไหน

จะเป็นร่มฝนให้เธอได้พัก
ตายเพราะรักตัวฉันก็จะยอม
เป็นเพราะฟ้าส่งเทพธิดา ที่ดีพร้อม
ลงมาอยู่กับฉัน

แต่โชคชะตา นั้นมักพาให้ต้องเจ็บ
โชคชะตา พารักให้กล้ำกลืนและอดทน
โชคชะตา นั้นมักแยกจากเราสองคน
แต่ว่าฉัน จะไม่ยอม

ต่อจากนี้ จะมอบชีวิตและใจให้เธอ
ไม่ว่าเธอนั้นจะเคยเป็นของใคร
จะสักเท่าไรฉันก็ยอม
จะดูแลเธอที่รัก ไม่ทิ้งไม่ไปไหน

ต่อจากนี้ จะมอบชีวิตและใจให้เธอ
ไม่ว่าเธอนั้นจะเคยเป็นของใคร
จะสักเท่าไรฉันก็ยอม
จะดูแลเธอที่รัก ไม่ทิ้งไม่ไปไหน",bankk_cash
นิยามคำว่าพอ,/music/thailyric/3164,"บินสูงแล้วหวั่น ตามฝันแล้วพ่าย
มันย่อมเป็นได้ ไม่ต้องเสียใจ
ชีวิตคนเรา เท่านี้ใช่ไหม
เหนื่อยมาเท่าไร อยากเพียงได้หลับสบาย

เพียงแค่ไออุ่น ให้หนุนพักพิง
เพียงแค่พออิ่ม ไม่เดือดร้อนใคร
เพียงแค่สักคน อยู่เคียงข้างกาย
พอเท่านี้เอง เราคงได้หลับฝันดี

เราจะพบนิยามคำว่าพอ แค่เราพอเพียงเท่านี้
เพียงชีวิตพอใจในสิ่งที่มี ไม่วุ่นวาย
จะมองสูงหรือต่ำ ไปทำไม
เพียงแค่เหลียวมองข้างกาย 
จะพบคนที่พอดีกับเรา

ไม่คิดเสียใจ ในสิ่งที่ไม่มี
มองที่เรามี ล้ำค่ามากมาย
ไม่ต้องไปเปรียบ ไปเทียบกับใคร
สุขที่แท้จริงอยู่ที่หัวใจของเรา

เราจะพบนิยามคำว่าพอ แค่เราพอเพียงเท่านี้
เพียงชีวิตพอใจในสิ่งที่มี ไม่วุ่นวาย
จะมองสูงหรือต่ำ ไปทำไม
เพียงแค่เหลียวมองข้างกาย
สุขที่แท้คือการได้มีวันนี้ทุกๆ วัน
มีกันและกันก็พอ เพียงพอ",bankk_cash
