song_name,href,lyric,artist
ฉันรู้,/music/thailyric/3250,"ฉันรู้เธอมีอดีตในใจ
ฉันรู้ว่าเธอไม่เคยลืมมัน
ฉันรู้ว่าเธอยังผูกยังพัน
อยู่กับเขาที่ต้องร้างลากันไป

ฉันรู้ที่เราได้อยู่กันมา
ฉันรู้ว่าเธอไม่รักกันเท่าไร
ฉันรู้และทนเก็บกดลงไป
อดทนไว้ก็เพราะรักเธอเท่านั้น

อยากคืนเธอให้เขาไป
ฉันคิดว่าเขาก็ต้องการ
ไม่ต้องทนทรมาน
อยากให้ฝันในใจของเธอได้เป็นจริง
และตัวฉันยินดีจะถูกทอดทิ้ง ไม่เป็นไร

ถึงแม้จะทำแต่สิ่งดีดี
ฉันรู้เธอคงไม่เห็นสักเท่าไร
เพราะฉันเป็นเพียงขยะในใจ
ไม่มีทางเป็นอะไรมากกว่านั้น

อยากคืนเธอให้เขาไป
ฉันคิดว่าเขาก็ต้องการ
ไม่ต้องทนทรมาน
อยากให้ฝันในใจของเธอได้เป็นจริง
และตัวฉันยินดีจะถูกทอดทิ้ง ไม่เป็นไร

จะลืมเวลาที่เคยมี จะลืมนาทีที่ผ่านมา
ลืมว่าเธอเคยอยู่กับฉัน

อยากคืนเธอให้เขาไป
ฉันคิดว่าเขาก็ต้องการ
ไม่ต้องทนทรมาน
อยากให้ฝันในใจของเธอได้เป็นจริง
และตัวฉันยินดีจะถูกทอดทิ้ง ไม่เป็นไร
ไม่เป็นไร ไม่เป็นไร

อยากให้ฝันในใจของเธอได้เป็นจริง
และตัวฉันยินดีจะถูกทอดทิ้ง ไม่เป็นไร",beau_sunita
ต้องชดใช้,/music/thailyric/3252,"ก่อนจะยอมให้เรื่องเราจบ
ต้องทบต้องทวนนิดนึง
เกี่ยวกับใจผู้หญิงคนหนึ่ง
ที่ยับและเยินจนพัง

อยากให้เธอลองนึกดีดี
กับสิ่งที่เธอทำเฉย
อย่าได้ชนแล้วหนีไปเลย
ไม่ดี ไม่ดี ไม่ชอบ ไม่เอา

เธอต้องชดใช้ เธอต้องชดใช้
เธอต้องชดใช้มาตามราคา
เธอต้องชดใช้ เธอต้องชดใช้
ใจฉันเสียหาย ชดใช้กันมานะเธอ

ไม่ได้เป็นแม่พระมาโปรด
ให้เลิกรากันด้วยดี
เจอะกับคนนิสัยไม่ดี
จะเสียสละทำไม

อยากให้เธอลองนึกดีดี
กับสิ่งที่เธอทำเฉย
อย่าได้ชนแล้วหนีไปเลย
ไม่ดี ไม่ดี ไม่ชอบ ไม่เอา

เธอต้องชดใช้ เธอต้องชดใช้
เธอต้องชดใช้มาตามราคา
เธอต้องชดใช้ เธอต้องชดใช้
ใจฉันเสียหาย ชดใช้กันมานะเธอ

จิตใจดีดี ที่ให้ไป
เท่าไร เท่าไร ต้องมาใช้

อยากให้เธอลองนึกดีดี
กับสิ่งที่เธอทำเฉย
อย่าได้ชนแล้วหนีไปเลย
ไม่ดี ไม่ดี ไม่ชอบ ไม่เอา
ฉันไม่ยอม ขอที ขอที ไม่เอา ไม่เอา

เธอต้องชดใช้ เธอต้องชดใช้
เธอต้องชดใช้มาตามราคา
เธอต้องชดใช้ เธอต้องชดใช้
ใจฉันเสียหาย ชดใช้กันมานะเธอ

เธอต้องชดใช้
เธอต้องชดใช้มาตามราคา
เธอต้องชดใช้
ใจฉันเสียหาย ชดใช้กันมานะเธอ",beau_sunita
พรุ่งนี้ (จะไปกับเธอ),/music/thailyric/3268,"ก็ไม่ยากดูอาการก็พอรู้ ที่แล้วๆเธอมีใจให้กับฉัน
ก็ไม่ยากเกินจะเดาว่าเธอนั้น คิดจะรักกันจริงจัง

ไม่ได้แกล้งทรมานให้เธอท้อ ไม่ได้แกล้งเธอให้รอให้หมดหวัง
ไม่ได้แกล้งทำกำแพงขึ้นมาขวาง ให้ยุ่งยากเกินไป

แต่ใจมันยังไม่พร้อม ไม่พร้อมจะมีใครๆ
ต้องการเวลาดูจิตดูใจ ก็รออีกหน่อยแล้วกัน

พรุ่งนี้จะไปกับเธอ หากเธอเป็นเธอคนเดิมได้นาน
ไม่ทิ้งกันไปมีใจให้กัน อย่างฉันจะไปรักใคร
พรุ่งนี้จะไปกับเธอ หากเธอเป็นเธอที่ยังเข้าใจ
ถ้าพร้อมจะรอไม่หนีกันไป พรุ่งนี้จะพาหัวใจ จะไปกับเธอ

ก็ไม่ยากเกินจะรอและเรียนรู้ และถ้าเชื่อกันจริงๆต้องรอไหว
ก็ไม่รู้เธอจะรออีกนานไหม ฉันก็ขอให้เธอรอ

ไม่ได้แกล้งทรมานให้เธอท้อ ไม่ได้แกล้งเธอให้รอให้หมดหวัง
ไม่ได้แกล้งทำกำแพงขึ้นมาขวาง ให้ยุ่งยากเกินไป

แต่ใจมันยังไม่พร้อม ไม่พร้อมจะมีใครๆ
ต้องการเวลาดูจิตดูใจ ก็รออีกหน่อยแล้วกัน

พรุ่งนี้จะไปกับเธอ หากเธอเป็นเธอคนเดิมได้นาน
ไม่ทิ้งกันไปมีใจให้กัน อย่างฉันจะไปรักใคร
พรุ่งนี้จะไปกับเธอ หากเธอเป็นเธอที่ยังเข้าใจ
ถ้าพร้อมจะรอไม่หนีกันไป พรุ่งนี้จะพาหัวใจ จะไปกับเธอ

แต่ใจมันยังไม่พร้อม ไม่พร้อมจะมีใครๆ
ต้องการเวลาดูจิตดูใจ ก็รออีกหน่อยแล้วกัน

พรุ่งนี้จะไปกับเธอ หากเธอเป็นเธอคนเดิมได้นาน
ไม่ทิ้งกันไปมีใจให้กัน อย่างฉันจะไปรักใคร
พรุ่งนี้จะไปกับเธอ หากเธอเป็นเธอที่ยังเข้าใจ
ถ้าพร้อมจะรอไม่หนีกันไป พรุ่งนี้จะพาหัวใจ จะไปกับเธอ",beau_sunita
ไม่มีอีกแล้ว,/music/thailyric/3278,"รู้ดีว่าเธอได้เปลี่ยนไปแล้ว
รู้ดีแค่มองด้วยสายตา
รักเราดูมันจะเกิดปัญหา
ไม่เหมือนวันวาน

ฉันเคยมีความอบอุ่นเสมอ
ฉันเคยมีเธออยู่ใกล้กัน
แค่เพียงว่าเธอได้เจอะคนนั้น
ก็รู้ทันที

ไม่มีอีกแล้ว ฉันเข้าใจ ไม่มีอีกแล้ว
ไม่มีอีกแล้ว ที่ฉันเคยมี ที่เคยใกล้เธอ

ฉันมีเวลาที่ยังเหลือสักเท่าไหร่
บอกได้ไหม ให้ฉันเตรียมใจ
ฉันมีใจเธอ ที่ยังเหลือสักเท่าไหร่
จะเตรียมหัวใจ เมื่อไม่มีเธอ

ทุกทีที่เธอได้อยู่กับฉัน
เหมือนเธอยิ่งไกลจากฉันไป
ฉันมองด้วยใจที่แตกสลาย
ปวดร้าวเหลือเกิน

รู้ดีว่าเธอได้เปลี่ยนไปแล้ว
รู้ดีแค่มองด้วยสายตา
รักเราดูมันจะเกิดปัญหา
ไม่เหมือนวันวาน

ไม่มีอีกแล้ว ฉันเข้าใจ ไม่มีอีกแล้ว
ไม่มีอีกแล้ว ที่ฉันเคยมี ที่เคยใกล้เธอ

ฉันมีเวลาที่ยังเหลือสักเท่าไหร่
บอกได้ไหม ให้ฉันเตรียมใจ
ฉันมีใจเธอ ที่ยังเหลือสักเท่าไหร่
จะเตรียมหัวใจ เมื่อไม่มีเธอ

ฉันมีใจเธอ ที่ยังเหลือสักเท่าไหร่
จะเตรียมหัวใจ เมื่อไม่มีเธอ",beau_sunita
ไม่อยากรัก (คนที่ไม่อยากรักเรา),/music/thailyric/3280,"ไม่อยากรักคนที่ไม่อยากรักเรา
ไม่อยากมองเราก็ตามใจ
ไม่อยากเห็นคนที่ไม่อยากเห็นเรา
ไม่อยากเห็นกันก็แล้วไป

เมื่อก่อนรักเธอเราก็เหนื่อยเหลือทน
ต้องเจอะเจอคนไม่เต็มใจ
เมื่อก่อนหวังใจว่าจะอยู่ใกล้กัน
ก็กลับทิ้งกันแล้วหนีไป

พอพอแล้วที่ต้องทนมาก็นานแล้ว
ก็อยากอยู่อย่างสบายใจ
พอพอแล้วเสียเวลามาก็นานแล้ว
ก็เป็นเพราะเรามันพลาดไป

ไม่อยากรักคนที่ไม่อยากรักเรา
ไม่อยากมองเราก็ตามใจ
ไม่อยากเห็นคนที่ไม่อยากเห็นเรา
ไม่อยากเห็นกันก็แล้วไป

ถ้าเบื่อหน้าเรา เราก็เบื่อหน้าเธอ
เมื่อไหร่มาเจอจะเมินไป
ไม่อยากทักทายก็ไม่ต้องทักกัน
เมื่อไหร่พบกันอย่าสนใจ

พอพอแล้วที่ต้องทนมาก็นานแล้ว
ก็อยากอยู่อย่างสบายใจ
พอพอแล้วเสียเวลามาก็นานแล้ว
ก็เป็นเพราะเรามันพลาดไป

ไม่อยากรักคนที่ไม่อยากรักเรา
ไม่อยากมองเราก็ตามใจ
ไม่อยากเห็นคนที่ไม่อยากเห็นเรา
ไม่อยากเห็นกันก็แล้วไป

พอพอแล้วที่ต้องทนมาก็นานแล้ว
ก็อยากอยู่อย่างสบายใจ
พอพอแล้วเสียเวลามาก็นานแล้ว
ก็เป็นเพราะเรามันพลาดไป

ไม่อยากรักคนที่ไม่อยากรักเรา
ไม่อยากมองเราก็ตามใจ
ไม่อยากเห็นคนที่ไม่อยากเห็นเรา
ไม่อยากเห็นกันก็แล้วไป

ไม่อยากรักคนที่ไม่อยากรักเรา
ไม่อยากมองเราก็ตามใจ
ไม่อยากเห็นคนที่ไม่อยากเห็นเรา
ไม่อยากเห็นกันก็แล้วไป",beau_sunita
หลับสบายไหม,/music/thailyric/3295,"ก่อนจะนอน ให้คิดนานนาน
ทำอะไรใครไว้ยังไง
ก่อนจะนอน ให้นึกดีดี
มีคดีติดตัวบ้างไหม

นึกถึงฉัน ทำหน้างงงง ตอนเธอมาอำลา
นึกถึงฉัน ตอนเสียน้ำตา ตอนเธอเองมาจากไป

หลับสบายไหม คงหลับสนิท
ไม่ต้องคิดถึงกันก็ได้ไง
ไม่ต้องเดือดร้อน ว่าคนบางคนจะเสียใจ

หลับสบายนะ ราตรีสวัสดิ์
หลับสบาย ฝันดีตลอดไป
ส่วนตัวฉัน ฉันนอนไม่หลับ
ไม่ต้องมาสนใจ เสียเวลานอน

อยากจะนอน จะหนีความจริง
ตามสบายนอนได้นอนไป
อยากจะลืม จะทิ้งกันไป
นอนไปเลยหลับตาเอาไว้

นึกถึงฉัน ทำหน้างงงง ตอนเธอมาอำลา
นึกถึงฉัน ตอนเสียน้ำตา ตอนเธอเองมาจากไป

หลับสบายไหม คงหลับสนิท
ไม่ต้องคิดถึงกันก็ได้ไง
ไม่ต้องเดือดร้อน ว่าคนบางคนจะเสียใจ

หลับสบายนะ ราตรีสวัสดิ์
หลับสบาย ฝันดีตลอดไป
ส่วนตัวฉัน ฉันนอนไม่หลับ
ไม่ต้องมาสนใจ เสียเวลานอน

นึกถึงฉัน ทำหน้างงงง ตอนเธอมาอำลา
นึกถึงฉัน ตอนเสียน้ำตา ตอนเธอเองมาจากไป

หลับสบายไหม คงหลับสนิท
ไม่ต้องคิดถึงกันก็ได้ไง
ไม่ต้องเดือดร้อน ว่าคนบางคนจะเสียใจ

หลับสบายนะ ราตรีสวัสดิ์
หลับสบาย ฝันดีตลอดไป
ส่วนตัวฉัน ฉันนอนไม่หลับ
ไม่ต้องมาสนใจ เสียเวลานอน",beau_sunita
หัวใจตกงาน,/music/thailyric/3296,"เหงาเหลือเกิน ใจมันเหงา
เพราะเขานั้นหายไป
ทิ้งฉันไปไม่บอกกันสักคำ

เฉาเหลือเกิน ใจมันเฉา
เพราะเขาเป็นคนทำ
เหลือหัวใจที่ช้ำ และว้าเหว่

เพราะเขาไปกับคนอื่น
เพราะเขาเดินจากฉันไป
เพราะเขาคนที่เคยอยู่
แต่อยู่ดีดีเขาก็ไป เหงาที่สุด

ตั้งแต่วันนั้น หัวใจเลยตกงาน
ยังหางานอยู่วันนี้
ตั้งแต่วันนั้น หัวใจไม่ค่อยดี
มีไหม มีใครให้งานทำ

ขอสักคน คนที่เขาจะรู้และเข้าใจ
รู้ว่าใจ ฉันเจ็บ และว่างเปล่า
ขอสักคน ทำให้ฉันคนนี้มีเรื่องราว
ชุบหัวใจ ให้มีสีสันใหม่

เพราะเขาไปกับคนอื่น
เพราะเขาเดินจากฉันไป
เพราะเขาคนที่เคยอยู่
แต่อยู่ดีดีเขาก็ไป เหงาที่สุด

ตั้งแต่วันนั้น หัวใจเลยตกงาน
ยังหางานอยู่วันนี้
ตั้งแต่วันนั้น หัวใจไม่ค่อยดี
มีไหม มีใครให้งานทำ

เพราะเขาไปกับคนอื่น
เพราะเขาเดินจากฉันไป
เพราะเขาคนที่เคยอยู่
แต่อยู่ดีดีเขาก็ไป เหงาที่สุด

ตั้งแต่วันนั้น หัวใจเลยตกงาน
ยังหางานอยู่วันนี้
ตั้งแต่วันนั้น หัวใจไม่ค่อยดี
มีไหม มีใครให้งานทำ

ตั้งแต่วันนั้น หัวใจเลยตกงาน
ยังหางานอยู่วันนี้
ตั้งแต่วันนั้น หัวใจไม่ค่อยดี
มีไหม มีใครให้งานทำ",beau_sunita
อธิษฐาน,/music/thailyric/3298,"ทุกครั้งที่อยู่ตรงนี้
ฉันจะคอยมองดาวทุกดวงที่พร่างพราย
เพราะฉันเพียงอยากจะเห็น
เห็นเวลาที่ดาวสักดวงตกจากบนฟ้าไกล
เพื่อฝากวิงวอนขอให้ดวงดาว
ส่องนำทางความหวังฉันต่อไป
เพียงคำขอข้อเดียวในใจ
มันมีความหมายมากมายเหลือเกิน

ฉันหวังไว้อยู่เสมอ
ขอให้มีวันนึงที่เธอได้ย้อนมา
แม้ได้โอกาสอีกครั้ง ฉันจะยอม
ยอมทำทุกอย่างไม่ให้เธอล่ำลา

ตั้งแต่ในวันที่เธอลาไกล
ก็ไม่มีคนไหนได้ผ่านมา
ในกระแสของวันเวลา
มีเธอเท่านั้นภายในหัวใจ

ตั้งแต่ในวันที่เธอลาไกล
ก็ไม่มีคนไหนได้ผ่านมา
ในกระแสของวันเวลา
มีเธอเท่านั้นภายในหัวใจ

ทุกครั้งที่อยู่ตรงนี้
ฉันก็ยังมีเพียงแค่ดาวเป็นเพื่อนใจ
เห็นแสงริบหรี่บนฟ้า
เห็นภาพเธอวนเวียนเข้ามา อยู่ข้างในหัวใจ
เมื่อไหร่มีแสงที่ทอดทางยาว
ตกจากบนฟากฟ้าที่สุดไกล
เธอจะรู้ไหมว่ามีใคร
คอยอธิษฐานวิงวอนให้เธอ คืนมา",beau_sunita
อยู่คนเดียว,/music/thailyric/3304,"อยู่คนเดียว อยู่ตรงนี้และคิดถึงเธอ
และก็หวังเสมอ ว่าเธอก็คงเหมือนกัน
จากกันไป จากวันนั้นมันนานแสนนาน
และไม่รู้ว่าฉัน จะเจอกับเธอเมื่อไร

อยู่ตรงนี้มันแสนจะเหงา แต่ไม่รู้จะทำอย่างไร
อยู่ตรงนั้นเธอเหงาบ้างไหมไม่รู้เลย

อย่าปล่อยให้คอยได้ไหม ถ้ามีเยื่อใยต่อกัน
อย่าทำกับฉัน เหมือนคนไม่มีน้ำใจ
อยากให้เธอได้รู้ ฉันรอแค่เพียงเมื่อไร เธอจะกลับมา

อยู่คนเดียว ปล่อยชีวิตให้มันหมุนไป
อย่างไม่มีความหมาย ไม่มีอะไรที่ดี
จากกันไป อาจจะเหมือนว่านานนับปี
แต่ว่าใจที่มี ก็มีแต่เธอเรื่อยไป

อยู่ตรงนี้มันแสนจะเหงา แต่ไม่รู้จะทำอย่างไร
อยู่ตรงนั้นเธอเหงาบ้างไหมไม่รู้เลย

อย่าปล่อยให้คอยได้ไหม ถ้ามีเยื่อใยต่อกัน
อย่าทำกับฉัน เหมือนคนไม่มีน้ำใจ
อยากให้เธอได้รู้ ฉันรอแค่เพียงเมื่อไร เธอจะกลับมา

อยู่อย่างโดดเดี่ยวตรงนี้ ก็ยังคงมีหัวใจ
แต่อยู่อย่างคนไม่มีวิญญาณ
อยู่อย่างโดดเดี่ยวมันเหงา และใจมันทรมาน
อยากอยู่ตรงนี้ อยากมีเพียงเธอ ไม่รู้ทำไม

อย่าปล่อยให้คอยได้ไหม ถ้ามีเยื่อใยต่อกัน
อย่าทำกับฉัน เหมือนคนไม่มีน้ำใจ
อยากให้เธอได้รู้ ฉันรอแค่เพียงเมื่อไร เธอจะกลับมา",beau_sunita
จาก...ลมหายใจ,/music/thailyric/3245,"บอกว่าฉันคือลมหายใจ
บอกกับเขาว่ารักมากมาย
อยู่กับเธอที่มีสองใจ
ที่ไม่เคยเลือกใครสักคน

ฉันมันเจ็บมานานแล้ว มันเหนื่อยเกินไป
ฉันจะบอกให้เธอเข้าใจไว้

หมดแล้วได้ยินมั้ย ในใจไม่มีรักให้เธอ
มันเบื่อแล้ว เข้าใจมั้ย
ไม่อยากจะมาเสียเวลากับเธอ

อย่ามองฉันเป็นตัวสำรอง   แค่สิ่งของที่เธอพอใจ
คนอย่างฉันก็มีหัวใจ   จะไม่ทนให้เธอรังแก

ฉันมันเจ็บมานานแล้ว มันเหนื่อยเกินไป
ฉันจะบอกให้เธอเข้าใจไว้

หมดแล้วได้ยินมั้ย ในใจไม่มีรักให้เธอ
มันเบื่อแล้ว เข้าใจมั้ย
ไม่อยากจะมาเสียเวลากับเธอ

หมดแล้วได้ยินมั้ย ในใจไม่มีรักให้เธอ
มันเบื่อแล้ว เข้าใจมั้ย
ไม่อยากจะมาเสียเวลากับเธอ

หมดแล้วได้ยินมั้ย ในใจไม่มีรักให้เธอ
มันเบื่อแล้ว เข้าใจมั้ย
ไม่อยากจะมาเสียเวลากับเธอ

ไม่มีรักให้คนอย่างเธอ",beau_sunita
