song_name,href,lyric,artist
ถ้าในโลกนี้ไม่มี...,/music/thailyric/3086,"ถ้าในโลกนี้ไม่มี... สิ่งเตือนความจำให้นึกถึงอดีต
ไม่มีเพลงให้ได้ยิน ไม่มีรูปของสองเราสักใบ ให้เห็นยามห่างไกล

ทุกเรื่องราวที่เกิดกับสองเรา ทุกนาทีไม่ว่าจะดีร้าย
จะไม่เลือนหายไป ตามวันและเวลา

ฉัน จะเก็บความทรงจำ ไว้ในลมหายใจที่มีอยู่
จะดูแลให้ดี ไม่ต้องมีของเพื่อเตือนความทรงจำ
เพราะมันไม่สำคัญมากไปกว่าเก็บในลมหายใจตลอดไป

ถ้าในโลกนี้ไม่มี... กระดาษให้ฉันเขียนเพื่อนึกถึงอดีต
ไม่เคยได้ข้อความอีก ไม่ผ่านไปให้สองเราเจอกัน ให้นึกถึงวันนั้น

ทุกเรื่องราวที่เกิดกับสองเรา ทุกนาทีไม่ว่าจะดีร้าย
จะไม่เลือนหายไป ตามวันและเวลา

ฉัน จะเก็บความทรงจำ ไว้ในลมหายใจที่มีอยู่
จะดูแลให้ดี ไม่ต้องมีของเพื่อเตือนความทรงจำ
เพราะมันไม่สำคัญมากไปกว่าเก็บในลมหายใจตลอดไป

ชัช ชัช ชา ดีดา ดาว ชัชชา ดีด้า ด้าว ชัช ชา ดา
ชัชชาดาด้าช่าว ไม่ต้องมีของเพื่อเตือนความทรงจำ
เพราะมันไม่สำคัญมากไปกว่าเก็บในลมหายใจตลอดไป

ฉัน จะเก็บความทรงจำ ไว้ในลมหายใจที่มีอยู่
จะดูแลให้ดี ไม่ต้องมีของเพื่อเตือนความทรงจำ
เพราะมันไม่สำคัญมากไปกว่าเก็บในลมหายใจตลอดไป...

วา ฮ้า ฮา ... ตลอดไป .... ฮาฮ้า ฮาา ตลอดไป...",bell_supol
ตอบได้ไหมว่า...ได้ไหม,/music/thailyric/3085,"ชั่วโมงนี้ ยังวิ่งตามความรัก
ดูยากเย็นทั้งที่ไม่น่ายาก
แค่อยากรักใคร อยากมีใครสักคน

ชั่วโมงนี้ เธอก็เป็นอย่างฉัน
เราสองคนมีอะไรคล้ายกัน
ฉันฝากให้เธอ กลับไปลองคิดดู

เธอรอผู้ชายของเธอ ฉันเองก็รอผู้หญิงในฝัน
คนที่พร้อมจะหลับตา และพร้อมจะตื่นมาพร้อมกัน
อยากเป็นผู้ชายของเธอ ให้เธอนั้นเป็นผู้หญิงของฉัน
ตอบได้ไหมว่าได้ไหม ได้ไหมมาเปิดใจมารักกัน

และพรุ่งนี้ จะได้มีความหมาย
มีเสียงเพลงดังอยู่ในหัวใจ
และมีเสียงเรา ผลัดกันบอกรักกัน

เธอรอผู้ชายของเธอ ฉันเองก็รอผู้หญิงในฝัน
คนที่พร้อมจะหลับตา และพร้อมจะตื่นมาพร้อมกัน
อยากเป็นผู้ชายของเธอ ให้เธอนั้นเป็นผู้หญิงของฉัน
ตอบได้ไหมว่าได้ไหม ได้ไหมมาเปิดใจมารักกัน

และพรุ่งนี้ จะได้มีความหมาย
มีเสียงเพลงดังอยู่ในหัวใจ
และมีเสียงเรา ผลัดกันบอกรักกัน

ฉันและเธอ ผลัดกันบอกรักกัน",bell_supol
ต่างคนต่างเหนื่อย,/music/thailyric/8459,"โลกที่หมุนสร้างแต่ความแปรผัน
เธอและฉันไม่พ้นต้องเปลี่ยนผันตาม
จากมีรักที่ซึ้ง กลับเป็นรักที่ช้ำ
มีแต่ความเสียใจ เสียใจ

คำว่ารัก คงไม่เหลืออีกแล้ว
ไร้วี่แววของคนที่อยากชิดใกล้
จากที่เดินกุมมือ ก็ผละกันไปไกล
ไม่มีใจให้กันเหมือนเคย เหมือนเคย

เมื่อต่างคนต่างหมดรัก
ต่างคนต่างรู้ดี
ก็คงไม่มีอะไรดีกว่านี้

ถึงเวลาเอ่ยคำลาแล้ว
ถึงเวลาจบเรื่องหัวใจ
รักที่ทรมาน เก็บไว้ไม่มีอะไรที่ดีขึ้นมา

สองเราต้องอยู่อย่างทนฝืน
สองคนกล้ำกลืนแต่น้ำตา
ขืนยิ่งคบกันไป ยิ่งทำให้ใจของเรายิ่งล้า
ต่างคนต่างเหนื่อยไป

ไม่ใช่ฉัน อยากจะพูดคำนี้
พอกันที คำนี้ไม่อยากพูดไป
อยากอยู่ไปนานๆ อยู่ด้วยกันจนตาย
แต่ก็รู้ว่ามันไม่มี หนทาง

เมื่อต่างคนต่างหมดรัก
ต่างคนต่างรู้ดี
ก็คงไม่มีอะไรดีกว่านี้

ถึงเวลาเอ่ยคำลาแล้ว
ถึงเวลาจบเรื่องหัวใจ
รักที่ทรมาน เก็บไว้ไม่มีอะไรที่ดีขึ้นมา

สองเราต้องอยู่อย่างทนฝืน
สองคนกล้ำกลืนแต่น้ำตา
ขืนยิ่งคบกันไป
ยิ่งทำให้ใจของเรายิ่งล้า

ถึงเวลาเอ่ยคำลาแล้ว
ถึงเวลาจบเรื่องหัวใจ
รักที่ทรมาน เก็บไว้ไม่มีอะไรที่ดีขึ้นมา

สองเราต้องอยู่อย่างทนฝืน
สองคนกล้ำกลืนแต่น้ำตา
ขืนยิ่งคบกันไป
ยิ่งทำให้ใจของเรายิ่งล้า
ต่างคนต่างเหนื่อยไป",bell_supol
ไม่ธรรมดา,/music/thailyric/8218,"คนธรรมดาที่ไม่ธรรมดา
เคยเดินตามหาก็ไม่เจอสักราย
แค่คนคนหนึ่งที่มีผลทางใจ
ที่เจอก็ไม่ใช่ ที่ใช่ก็ไม่เจอ

คนธรรมดาที่ไม่ธรรมดา
ที่สุดฟ้าก็พาให้มาพบเธอ
เธอคือคนเดียวที่ไม่ต้องเลิศเลอ
แต่อยู่ใกล้เธอเหมือนเจอสวรรค์ในหัวใจ

จบแล้วที่เสาะหา ได้มาพบตัวจริงซะที
ชีวิตต่อจากนี้ คงจะดีถ้ามีแต่เธอ
ก่อนจะนอนอยากเจอเธอเป็นคนสุดท้าย
คนแรกของเช้าถัดไป ฉันก็อยากเห็นเธอ
เช้าก็มีแต่เธอ ค่ำก็มีแต่เธอคนเดียวเท่านั้น

อยากทำตัวติดเธอไม่ต้องห่างไปไหน
ไม่ว่าจะทำอะไรก็อยากทำด้วยกัน
ทุกลมหายใจเข้าออก ทุกเวลาของฉัน
โว้ โอ โอ อยากจะใช้กับเธอ

มันช่างคุ้ม คุ้มกับการรอคอย
เหนื่อยไม่น้อย ที่คอยเฝ้าเจอตั้งนาน
แต่ในนาทีแรกที่ได้เห็นหน้ากัน
นาทีนั้นรู้เลยว่าคุ้มที่รอ

จบแล้วที่เสาะหา ได้มาพบตัวจริงซะที
ชีวิตต่อจากนี้ คงจะดีถ้ามีแต่เธอ
ก่อนจะนอนอยากเจอเธอเป็นคนสุดท้าย
คนแรกของเช้าถัดไป ฉันก็อยากเห็นเธอ
เช้าก็มีแต่เธอ ค่ำก็มีแต่เธอคนเดียวเท่านั้น

อยากทำตัวติดเธอไม่ต้องห่างไปไหน
ไม่ว่าจะทำอะไรก็อยากทำด้วยกัน
ทุกลมหายใจเข้าออก ทุกเวลาของฉัน
โว้ โอ โอ อยากจะใช้กับเธอ
โว้ โอ โอ อยากจะใช้กับเธอ",bell_supol
วันนี้ วันสุดท้าย,/music/thailyric/8986,"วันนี้ ฉันมีแค่วันนี้ ที่ฉันจะได้มี
คนที่ฉันรักเหมือนเมื่อวาน
วันนี้ พบเธอที่ตรงนี้ พบเธอเพื่อลาจาก
จากเธอด้วยรักและเข้าใจ

ภาพเดิมดีๆ ที่เรามีร่วมกัน
จะเป็นวันวานในวันพรุ่งนี้

กี่ความทรงจำ กี่คำรักทุกเรื่องราวดีๆ
ฝากเอาไว้ในหัวใจเธอที
เธออย่าลบเธออย่าล้างมันไป
กี่การกระทำ โปรดช่วยย้ำให้เธอจำเมื่อไกล
และกี่เสียงที่ฉันนั้นเคยพูดด้วยหัวใจ ว่ารักเธอ

วันนี้ ฉันมีแค่วันนี้ ที่ฉันจะได้บอก
บอกเธอว่ารักเหมือนเมื่อวาน

ภาพเดิมดีๆ ที่เรามีร่วมกัน
จะเป็นวันวานในวันพรุ่งนี้
กี่ความทรงจำ กี่คำรักทุกเรื่องราวดีๆ
ฝากเอาไว้ในหัวใจเธอที
เธออย่าลบเธออย่าล้างมันไป

กี่การกระทำ โปรดช่วยย้ำให้เธอจำเมื่อไกล
และกี่เสียงที่ฉันนั้นเคยพูดด้วยหัวใจ ว่ารักเธอ

กี่ความทรงจำ กี่ความฝันที่เรานั้นเคยมี
ฝากเอาไว้ในหัวใจเธอที
เธออย่าลบเธออย่าล้างมันไป
กี่การกระทำ โปรดช่วยย้ำให้เธอจำเมื่อไกล
และกี่เสียงที่ฉันนั้นเคยพูดด้วยหัวใจ ว่าฉันรักเธอ

ฝากเอาไว้ในหัวใจกับคำว่ารักเธอ
จะวันนี้หรือวันใดฉันก็รักเธอ",bell_supol
แสนล้านนาที,/music/thailyric/3090,"จะเป็นดาวดวงใดที่ปลายฟ้า
จะเป็นรุ้งเส้นใดที่ทอดมา
จะเป็นใครคนใดก็ไม่เข้าตา
ไม่สวยงามได้อย่างเธอ

จะเป็นเพื่อนใกล้ชิดสนิทเพียงไร
จะเป็นใครคนใดที่เคยพบเจอ
ไม่มีใครเข้าใจฉันเหมือนเธอ ไม่มี

จะเป็นใครคนใดเมื่อก่อนนั้น
ที่บอกกับฉันว่ารักกันมากมาย
แต่ละคนเข้ามาก็เลยพ้นไป ไม่รักฉันจริงสักคน

อยู่บนโลกที่แสนกว้างใหญ่เกินไป
เหนื่อยใจจนมันเกือบจะไม่ทน
แต่ฉันก็ยังได้พบคนอย่างเธอ

หมื่นแสนล้านนาทีต่อไปนี้ ขอใช้มันไปกับเธอ
อยากมีวันเวลาที่สวยงาม ดั่งความฝันที่เคยละเมอ
แสนล้านนาทีต่อไปนี้ ไม่มีใครเทียมเท่าเธอ
จะบอกให้คนทั้งโลกได้รู้ว่า
หนึ่งชีวิตฉันยกให้เธอทั้งหัวใจ

จะไม่มีคืนใดที่เหน็บหนาว
หากว่าสองเราอิงมาซบกัน
จะไม่มีวันใดที่เลยพ้นผ่าน
โดยไร้ซึ่งในความหมาย

จะไม่เหลือพื้นที่สักเศษมุมเดียว
เมื่อเราประคองเกี่ยวโยงหัวใจ
สุดท้ายชีวิตฉันรักได้แต่เธอ

หมื่นแสนล้านนาทีต่อไปนี้ ขอใช้มันไปกับเธอ
อยากมีวันเวลาที่สวยงาม ดั่งความฝันที่เคยละเมอ
แสนล้านนาทีต่อไปนี้ ไม่มีใครเทียมเท่าเธอ
จะบอกให้คนทั้งโลกได้รู้ว่า
หนึ่งชีวิตฉันยกให้เธอทั้งหัวใจ

หมื่นแสนล้านนาทีต่อไปนี้ ขอใช้มันไปกับเธอ
อยากมีวันเวลาที่สวยงาม ดั่งความฝันที่เคยละเมอ
แสนล้านนาทีต่อไปนี้ ไม่มีใครเทียมเท่าเธอ
จะบอกให้คนทั้งโลกได้รู้ว่า
หนึ่งชีวิตฉันยกให้เธอทั้งหัวใจ",bell_supol
คำที่ไม่มีในโลก,/music/thailyric/9197,"คำๆ นี้ใครๆ ก็พูดกัน
เป็นคำชวนฝัน ที่ใครต่างก็ใช้
ไม่ว่ากี่เดือนกี่ปี หรือนานเท่าไร
ก็ยังใช้ไป อยู่อย่างนี้

ความจริงตัวฉันไม่คิดจะใช้หรอก
ไม่คิดจะบอกกับเธอหรอกคำนี้
แต่ว่าเท่าที่ปัญญาที่ฉันพอมี
ก็รู้แต่คำนี้ ที่ดีที่สุดเพื่อเธอ

ก็เลยต้องขอใช้ คำซ้ำคนอื่น
เธอคงไม่ถือ ไม่ว่าอะไรฉัน
และโอกาสนี้ ถึงเวลาสำคัญ
ที่ฉันต้องบอกเธอ

รักเธอ โอ้..รักเธอ
คำนี้ฉันให้เธอ ขอให้เธอฟังไว้
แต่คำหนึ่งคำนี้ ก็แค่เกือบจะตรงใจ
เพราะที่จริงในใจ มันมากมายกว่านั้น

คำที่มันตรงใจ ไม่มีอยู่ในโลกนี้
คำที่ตรงพอดี ไม่มีใครคิดให้ฉัน
คำที่ดีกว่ารัก ที่ไม่เคยใช้กัน
นั่นแหละคำนั้น คำที่ฉันอยากบอกเธอ

ถ้าวันไหน มีใครคิดขึ้นมา
ก็ขอสัญญา จะรีบบอกให้รู้
จะพูดให้เธอฟัง จะเขียนให้เธอดู
ให้เธอได้รู้ แต่ว่าตอนนี้ยังไม่มี

ก็เลยต้องขอใช้ คำซ้ำคนอื่น
เธอคงไม่ถือ ไม่ว่าอะไรฉัน
และโอกาสนี้ ถึงเวลาสำคัญ
ที่ฉันต้องบอกเธอ

รักเธอ โอ้..รักเธอ
คำนี้ฉันให้เธอ ขอให้เธอฟังไว้
แต่คำหนึ่งคำนี้ ก็แค่เกือบจะตรงใจ
เพราะที่จริงในใจ มันมากมายกว่านั้น

คำที่มันตรงใจ ไม่มีอยู่ในโลกนี้
คำที่ตรงพอดี ไม่มีใครคิดให้ฉัน
คำที่ดีกว่ารัก ที่ไม่เคยใช้กัน
นั่นแหละคำนั้น คำที่ฉันอยากบอกเธอ",bell_supol
จิตใต้สำนึก,/music/thailyric/9147,"เปิดตัวเองเพื่อพบคนใหม่
อยากจะเจอคนที่เข้ามา
ทำให้ฉันก้าวเดินได้ต่อไป

แต่ในใจมันไม่ยอมฟัง
เปิดแต่ตัวส่วนหัวใจยังดื้อรั้น
ไม่ให้ใครผ่านเข้ามา

ทำแล้ว รู้ว่าต้องแข็งใจ
หากล้มแล้วต้องลุกขึ้นยืนด้วยตัวเอง
ต้องพร้อมเผชิญก็รู้
แต่ไม่รู้ว่าเพราะอะไร

จิตใต้สำนึกของฉัน ทุกครั้งก็คือเธอ
ต่อให้ไปเจอใครๆ
รู้ไหมมันไม่มีความหมาย
ลองแล้วทุกอย่าง อยากให้ลืมเธอให้ได้
ไม่รู้ทำไม มันทำไม่ไหว สักที

คนดีๆ ที่พร้อมทุกอย่าง
ก็ไม่ทำให้ฉันรู้สึก
ไม่อาจรัก แม้ว่าเขาดีแค่ไหน

ทำแล้ว รู้ว่าต้องแข็งใจ
หากล้มแล้วต้องลุกขึ้นยืนด้วยตัวเอง
ต้องพร้อมเผชิญก็รู้
แต่ไม่รู้ว่าเพราะอะไร

จิตใต้สำนึกของฉัน ทุกครั้งก็คือเธอ
ต่อให้ไปเจอใครๆ
รู้ไหมมันไม่มีความหมาย
ลองแล้วทุกอย่าง อยากให้ลืมเธอให้ได้
ไม่รู้ทำไม มันทำไม่ไหว สักที

จิตใต้สำนึกของฉัน ทุกครั้งก็คือเธอ
ต่อให้ไปเจอใครๆ
รู้ไหมมันไม่มีความหมาย
ลองแล้วทุกอย่าง อยากให้ลืมเธอให้ได้
ไม่รู้ทำไม มันทำไม่ได้จริงๆ

จิตใต้สำนึกของฉัน มันเหลือแค่เพียงเธอ
ต่อให้ไปเจอใครๆ
อีกร้อยพันมันไม่มีความหมาย
ลองแล้วทุกอย่าง อยากให้ลืมเธอให้ได้
ไม่รู้ทำไม มันทำไม่ไหว สักที",bell_supol
จุดประสงค์เรื่องเดียว,/music/thailyric/9199,"ต้องขอโทษที ที่ทำให้เธอสงสัย
ที่เธอถามว่าทำไม อยากเจอทุกวัน
ยิ่งรู้ว่าเหงา ฉันก็รีบมา
และเวลาอยู่ใกล้กัน
ฉันไม่อยากไกลเธอ สักนาที

ทำไมทุกคืน ฉันถึงต้องคอยโทรมา
ทำไมถึงมีเวลา ให้เธอมากมาย
บางครั้งเมื่อเธอรู้ บางครั้งไม่แน่ใจ
แต่ก็ไม่เป็นไร ฉันจะตอบคำถามตรงๆ

จุดประสงค์มีเพียงเรื่องเดียว
และจุดหมายก็มีแค่เธอ
เธอคือคนที่ฉันคิดถึงทุกวัน ฝันถึงทุกคืน
จุดประสงค์มีเพียงเรื่องใจ
อยากจะให้รู้ว่าฉันรักเธอ
และจะดีมากๆ ถ้าบอก
ว่าเธอก็รักฉันเหมือนกัน

ที่ตัวฉันต้องมาคอยห่วงใยดูแล
ที่ใจฉันต้องมาแคร์มาคอยสนใจ
ที่ฉันได้แต่ยอม ที่ฉันไม่ขัดใจ
ถ้าเธอยังสงสัย ฉันก็ยังขอย้ำคำเดิม

จุดประสงค์มีเพียงเรื่องเดียว
และจุดหมายก็มีแค่เธอ
เธอคือคนที่ฉันคิดถึงทุกวัน ฝันถึงทุกคืน
จุดประสงค์มีเพียงเรื่องใจ
อยากจะให้รู้ว่าฉันรักเธอ
และจะดีมากมากถ้าบอก
ว่าเธอก็รักฉันเหมือนกัน",bell_supol
ตามสบาย,/music/thailyric/9195,"ไม่จำเป็นต้องเพิ่มเติม สักนิดเดียวสักนิดเลย
เธอก็เป็นของเธอเป็นอย่างเคย ก็ดูน่ารักแล้ว
ไม่จำเป็นต้องลดลง สักนิดหนึ่งสักนิดเลย
เป็นตัวของเธออย่างที่เป็น บอกเลยว่ารักแล้ว

เท่าที่เห็น ที่ได้ยิน ที่เธอเป็นแหละโดนใจ

ตามสบายของเธอเลย
สิ่งที่เธอเคยทำและเคยฝัน
เธอไม่ต้องห่วง เธอไม่ต้องเปลี่ยน
เปลี่ยนมันเพื่อฉันเลย

ก็อยากให้ตามสบายได้เลยเธอ
อยากให้เธอเป็นเธอ ฉันเป็นฉัน
เพียงแค่เข้าใจ เพียงแค่รักกันแค่นั้นที่ต้องการ

ไม่จำเป็นต้องฝืนใจ สักนิดเดียวสักนิดเลย
ทำอะไรที่เธอไม่ต้องการ ไม่มีความจำเป็น
บอกได้เลยว่ารักเธอ ก็เพราะเธอไม่เหมือนใคร
เธอเป็นของเธอแบบนี้เอง ที่ทำให้ฉันรัก

ผิดจากนี้อาจไม่ตรง และก็คงไม่โดนใจ

ตามสบายของเธอเลย
สิ่งที่เธอเคยทำและเคยฝัน
เธอไม่ต้องห่วง เธอไม่ต้องเปลี่ยน
เปลี่ยนมันเพื่อฉันเลย

ก็อยากให้ตามสบายได้เลยเธอ
อยากให้เธอเป็นเธอ ฉันเป็นฉัน
เพียงแค่เข้าใจ เพียงแค่รักกันแค่นั้นที่ต้องการ

ผิดจากนี้อาจไม่ตรง และก็คงไม่โดนใจ

ตามสบายของเธอเลย
สิ่งที่เธอเคยทำและเคยฝัน
เธอไม่ต้องห่วง เธอไม่ต้องเปลี่ยน
เปลี่ยนมันเพื่อฉันเลย

ก็อยากให้ตามสบายได้เลยเธอ
อยากให้เธอเป็นเธอ ฉันเป็นฉัน
เพียงแค่เข้าใจ เพียงแค่รักกันแค่นั้น

ตามสบายของเธอเลย
สิ่งที่เธอเคยทำและเคยฝัน
เธอไม่ต้องห่วง เธอไม่ต้องเปลี่ยน
เปลี่ยนมันเพื่อฉันเลย

ก็อยากให้ตามสบายได้เลยเธอ
อยากให้เธอเป็นเธอ ฉันเป็นฉัน
เพียงแค่เข้าใจ เพียงแค่รักกันแค่นั้นที่ต้องการ",bell_supol
