song_name,href,lyric,artist
เหวรัก,/music/thailyric/10583,"แม้ทั้งๆ ที่รู้ว่าสุดท้าย หัวใจของฉันนั้นคงสลาย
ยิ่งถ้าลากยาว ก็คงยิ่งเศร้า ถล่มทลาย

ทั้งที่รู้ข้างหน้าคือปากเหว
ถ้าหากยิ่งฝืนพุ่งไปร่างกายคงเละแหลกเหลว
เรื่องราวคงจบ ด้วยผืนดินกลบ ที่ก้นเหวนั้น

แต่ฉันยังคง เดินไป โดยไม่คิดหันกลับ
หวังเพียงสัมผัส กับการที่ได้ใกล้เธอสักครั้ง

เมื่อถึงปากเหว ฉันจะย่อขา กระโดดให้สูง ใกล้เมฆบนฟ้า
เผื่อจะได้เห็นหน้าของเธอ ด้วยสองตา อย่างที่ฝันไว้
จะตะโกนว่ารัก ที่ข้างๆ หู ให้เธอได้รู้ ว่ามากแค่ไหน
และหลังจากนั้น ฉันจะต้องเป็นยังไงก็จะยอม

ทั้งที่รู้ข้างหน้าคือปากเหว
ถ้าหากยิ่งฝืนพุ่งไปร่างกายคงเละแหลกเหลว
เรื่องราวคงจบ ด้วยผืนดินกลบ ที่ก้นเหวนั้น

แต่ฉันยังคง เดินไป โดยไม่คิดหันกลับ
หวังเพียงสัมผัส กับการที่ได้ใกล้เธอสักครั้ง

เมื่อถึงปากเหว ฉันจะย่อขา กระโดดให้สูง ใกล้เมฆบนฟ้า
เผื่อจะได้เห็นหน้าของเธอ ด้วยสองตา อย่างที่ฝันไว้
จะตะโกนว่ารัก ที่ข้างๆ หู ให้เธอได้รู้ ว่ามากแค่ไหน
และหลังจากนั้น ฉันจะต้องเป็นยังไงก็จะยอม

จะตะโกนว่ารัก ที่ข้างๆ หู ให้เธอได้รู้ ว่ามากแค่ไหน
และหลังจากนั้น ฉันจะต้องเป็นยังไงก็จะยอม",ben_chalatit
คนเดียวจริงๆ,/music/thailyric/3054,"ตอนที่เจอกันบอกตรงๆ ว่าฉันไม่เคย คิดจะชอบเธอ
เป็นเพียงคนนึงที่ยังพอคบหาไว้พูดคุย เวลาไม่มีใคร

อาจจะเหมือนว่าฉันดูใจร้ายและเลือดเย็น
ที่ไม่คิดไม่เห็นตัวเธอนั้นในสายตา

เคยมีบางคนเข้ามาทำให้ฉันเชื่อใจ ว่ารักฉันเหลือเกิน
พอจะจริงจังก็เปลี่ยนไปทุกครั้งไม่เหลือใคร รักฉันจริงสักคน

เจอะกับความผิดหวังจนตัวฉันก็ท้อใจ
คงไม่เหลืออะไรถ้าไม่มีคนๆนี้

นั่นคือเธอคนเดียวจริงๆที่ยังอยู่
และอยู่คอยดูแลไม่ว่าจะหันไปเมื่อไรก็เจอ
ต่อให้ร้ายสักเท่าไร ไม่เคยโกรธกัน ฉันจึงอยากให้เธอรู้
ได้มีวันเวลาดีๆเพราะมีเธอ
ที่ทำให้วันนี้เป็นวันที่ฉันมีความสุขหัวใจ
แค่มีเธอคอยห่วงใย รักตลอดไป ไม่ต้องการใครอีกเลย

เจอะกับความผิดหวังจนตัวฉันก็ท้อใจ
คงไม่เหลืออะไรถ้าไม่มีคนๆนี้

นั่นคือเธอคนเดียวจริงๆที่ยังอยู่
และอยู่คอยดูแลไม่ว่าจะหันไปเมื่อไรก็เจอ
ต่อให้ร้ายสักเท่าไร ไม่เคยโกรธกัน ฉันจึงอยากให้เธอรู้
ได้มีวันเวลาดีๆเพราะมีเธอ
ที่ทำให้วันนี้เป็นวันที่ฉันมีความสุขหัวใจ
แค่มีเธอคอยห่วงใย รักตลอดไป ไม่ต้องการใครอีกเลย

เธอคอยห่วงใย รักตลอดไป ไม่ต้องการใครอีกเลย",ben_chalatit
คืนใจ,/music/thailyric/3056,"ใจฉันมันชา บอกไม่ถูกไม่รู้ว่าเป็นเพราะอะไร
ใจล่องลอยไป ลอยดับและหายไปกับขอบฟ้า

แค่อยากจะรู้ว่าเธออยู่ที่ใด
แค่อยากจะรู้ว่าเธอว่าเธอไม่หายไป เท่านั้นพอ

คงต้องมีอีกวันที่จะพบกัน แค่วันไหน
รอฉันรอได้ ฉันจะรอเพื่อเธอ ขอเพียงให้เธอรู้

ว่าวันที่เธอได้จากฉันไป เธอทำให้ฉันไม่มีหัวใจ
แต่ในวันนี้เธอคงเข้าใจ ว่าฉันต้องการได้มันคืน

ขอให้กลับมาเหมือนเดิมให้เราได้เริ่มต้นใหม่
ได้รักกันอีกครั้ง
ขอให้เธอช่วยฉันที ให้กลับมาตรงนี้ก่อน
กลับมาเพื่อนคืนใจ ให้กับฉัน

และคงต้องมีอีกวันที่จะพบกัน วันไหน
รอฉันรอได้ ฉันจะรอเพื่อเธอ ขอเพียงให้เธอรู้

ว่าวันที่เธอได้จากฉันไป เธอทำให้ฉันไม่มีหัวใจ
แต่ในวันนี้เธอควรเข้าใจ ว่าฉันต้องการได้มันคืน

ขอให้กลับมาเหมือนเดิมให้เราได้เริ่มต้นใหม่
ได้รักกันอีกครั้ง
และอยากจะขอให้เธอช่วยฉันที ให้กลับมาตรงนี้ก่อน
กลับมาเพื่อนคืนใจ

ขอให้กลับมาเหมือนเดิมให้เราได้เริ่มต้นใหม่
ได้รักกันอีกครั้ง
แค่อยากจะขอให้เธอช่วยฉันที ให้กลับมาตรงนี้ก่อน
กลับมาเพื่อนคืนใจ ให้กับฉัน",ben_chalatit
ทำร้าย,/music/thailyric/3059,"โปรดลงโทษฉัน วันนี้ฉันทำเธอร้องไห้
คงรู้สึกผิดหวัง กับสิ่งที่ตัวฉันได้ทำไป
ไม่อยากรู้เลย ฉันทำให้คนที่รักฉันต้องเสียใจ
และมันไม่มีโอกาสย้อนคืน
สิ่งใดจะแทนที่ทำเอาไว้

นอกจากทำร้ายฉันมันให้แรงอีกหน่อย
ให้มันคอยย้ำๆฉันให้จำว่าเธอเสียใจ
ให้แรงขึ้นอีกซ้ำอีกให้ลึกลงไปข้างใน
เหมือนที่เคยถูกทำร้ายจากฉัน
ช่วยทำฉันเจ็บมากขึ้นกว่านี้ที่ตรงที่เก่า
ให้แรงขึ้นอีกซ้ำอีกเอาไว้ที่เธอร้องไห้
ถ้าความเชื่อมั่นที่เธอให้ฉันมันหมดสิ้นไป
ก็โปรดช่วยมาทำร้ายเอาให้สมกับที่เธอต้องผิดหวัง

ทำให้แรงอีก มาทำให้แรงอีก
ทำให้แรงอีก  ช่วยทำฉันแรงอีก
ยังไม่พอใจ ช่วยทำฉันแรงอีก
ให้เจ็บมันคงดีกว่าต้องจำแค่เรื่องนั้น

ถ้าความเชื่อมั่นที่เธอให้ฉันมันหมดสิ้นไป
ก็โปรดช่วยมาทำร้าย
ช่วยมาทำร้ายฉันมันให้แรงอีกหน่อย
ให้มันคอยย้ำๆฉันให้จำว่าเธอเสียใจ
ให้แรงขึ้นอีกซ้ำอีกให้ลึกลงไปข้างใน
เหมือนที่เคยถูกทำร้ายจากฉัน
ช่วยทำฉันเจ็บมากขึ้นกว่านี้ที่ตรงที่เก่า
ให้แรงขึ้นอีกซ้ำอีกเอาไว้ที่เธอร้องไห้
ถ้าความเชื่อมั่นที่เธอให้ฉันมันหมดสิ้นไป
ก็โปรดช่วยมาทำร้ายเอาให้สมกับที่เธอต้องผิดหวัง",ben_chalatit
ไม่มี,/music/thailyric/3062,"วันที่เราเจอกัน จากวันนั้นมีแต่เธอกับฉัน ไม่มีใคร
เธอคือความฝันคือทุกสิ่ง
และทำให้ฉันได้พบความจริง ของหัวใจ
และทำให้รู้ว่าเธอมีค่าเพียงไหน
และทำให้รู้ว่าฉันรักเธอมากเท่าไร
เพราะเธอคนดี และเพราะว่าเธอคนนี้ ที่เข้าใจ
เธอทำให้ฉันพบความสุข
และทำให้ฉันพบความสดใสเหนือสิ่งใด

แต่เธอจะเป็นอย่างนี้ อีกนาน เพียงไหน
และจะเป็นอย่างนี้ ไปนานสักเท่าใร
ก็คงไม่มีคำถามอีกต่อไป
เพราะเธอนั้นบอกฉันให้ได้รู้

ว่าไม่มีอีกแล้ว ไม่มีกันอีกแล้ว
ไม่มีวัน ที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ
ได้ย้อนคืนมาใหม่จะได้ไหม

แต่วันนี้ฉันตื่น และวันนี้ฉันนั้นยืน คนเดียว
ก็คิดว่าจะมีใครอยู่ข้างกายไม่มี ไม่มีอีกแล้ว

และมันจะเป็นอย่างนี้ ไปนานสักเพียงไหน
และมันจะเป็นอย่างนี้ ไปนานสักเท่าใร
ก็คงจะเป็นคำถามนี้อีกต่อไป
เพราะเธอนั้นบอกฉันให้ได้รู้

ว่าไม่มีอีกแล้ว ไม่มีกันอีกแล้ว
ไม่มีวันที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ
ได้ย้อนคืนมาใหม่จะได้ไหม

แต่มันจะเป็นอย่างนี้ ไปนานสักเพียงไหน
และมันจะเป็นอย่างนี้ ไปนานสักเท่าใร
ก็คงจะเป็นคำถามนี้ตลอดไป
เพราะเธอนั้นตอกย้ำให้ฉันรู้

ว่าไม่มีอีกแล้ว ไม่มีกันอีกแล้ว
ไม่มีวันที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ
ได้ย้อนคืนมาใหม่จะได้ไหม

(ไม่มีอีกแล้ว ไม่มีกันอีกแล้ว
ไม่มีวันที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ)
ได้ย้อนคืนย้อนคืนได้ไหม",ben_chalatit
สุดใจ,/music/thailyric/3064,"เพราะอยากมาหา มาเพื่อถามไถ่ ว่าเป็นยังไง
รู้สึกดีไหมบอกกันบ้างสิเธอ
เพราะว่าคิดถึง มาพบมาคุยมายิ้มให้
แล้วจะไปเพื่อวันหลังจะมาใหม่
จึงมาตามห้วงอารมณ์
ผสมกับความคิดถึงกัน อย่ารำคาญกันเลยนะเธอจ๋า
เพราะอยากจะร้องคร่ำครวญให้ปานจะเหมือนว่า
เจ็บปวดนักหนา รันทดนักหนา
หัวใจแปดเปื้อนเลื่อนลอย
เพราะเศร้าใจนัก อ้างว้างชีวิตดั่งล่องลอย
ไม่มีใครคอยไม่ให้ใจหงอย สงสารตัวเองเสมอ
จึงมาตามห้วงอารมณ์ ผสมกับความคิดถึงกัน
อย่ารำคาญกันเลยนะเธอจ๋า

ใช่รักไหมรัก ใช่หลงไหมหลง
ซ่อนในอารมณ์ในซอกหลืบ ในจิตในห้วง
อยากอยู่อย่างนั้นไม่แตะไม่ต้องสัมผัสเธอ
ขอเพียงเท่านี้ ให้คงอยู่อย่างนี้
สิ่งดีก็ล้นจนเกินสุข อารมณ์มันลึก
จะเก็บเธอไว้ ให้ลึก ... สุดใจ",ben_chalatit
อยากอยู่กับเธอทั้งคืน,/music/thailyric/3065,"เที่ยงคืนแล้ว ฉันเห็นทีต้องลาเธอกลับ
ถึงเวลาต้องลาไปก่อน อย่ามัวอาลัยอาวรณ์อีกเลย

ก็ดึกแล้ว ผู้คนเขาคงพักกายนอนหลับ
และเธอก็คงต้องการพักผ่อน ให้เธอพริ้มตาหลับนอนฝันดี

ก็คืนนี้ ช่างเป็นคืนพิเศษ
อยากให้รู้ ลึกๆ ภายในจิตใจฉันนั้น

อยากอยู่กับเธอทั้งคืน...อยากอยู่กับเธอทั้งคืน
อยากกอดกับเธอทั้งคืน...อยากอยู่กับเธอทั้งคืน

ไม่อาจฝืนสายตาของเธอจ้องมองฉันอยู่
ใต้แสงเทียนสองเราเคียงคู่ กอดเธอยังคงอบอุ่นเหมือนเดิม
ได้ยินไหม เสียงหัวใจเต้นรัวไหวหวั่น
และลมหายใจของฉันยังสั่น จูบเธอเบาๆ ซาบซึ้งตรึงหัวใจ

ก็คืนนี้ ช่างเป็นคืนพิเศษ อยากให้รู้ ลึกๆ ภายในจิตใจฉันนั้น

อยากอยู่กับเธอทั้งคืน...อยากอยู่กับเธอทั้งคืน
อยากอยู่กับเธอทั้งคืน...อยากอยู่กับเธอทั้งคืน
อยากอยู่กับเธอทั้งคืน...อยากอยู่กับเธอทั้งคืน
อยากกอดกับเธอทั้งคืน...อยากอยู่กับเธอทุกคืน
อยากกอดกับเธอทุกคืน...จะกอดกับเธอทั้งคืน
อยากกอดกับเธอทุกคืน...จะกอดกับเธอทุกคืน
กอดกับเธอทั้งคืน",ben_chalatit
เพราะ (The Reason),/music/thailyric/3061,"อาจเสียความรู้สึก อาจทำให้เธอนั้นนึก ไม่เข้าใจ
ไม่พูดไม่คุยเท่าไร ไม่ว่าเวลาไหนๆที่มี

ฉันยอมถูกมองว่าเป็นคนมีปัญหา
แต่กว่าที่เธอจะรู้ว่าฉันรักเธอขึ้นทุกที

รู้ไหมว่าฉันต้องทนเท่าไร ทุกๆครั้งที่ฉันพบเธอใกล้ๆ
ยิ่งเจอก็ยิ่งปวดใจที่ต้องรับว่าเราต่างกันมากเกินไปอย่างนี้
ฉันนั้นได้แต่หวังให้เธอเข้าใจว่าฉันนั้นไม่ได้อยากทำแบบนี้

เหนื่อยเสียใจและเจ็บ ที่ต้องปิดความจริงซ่อนไว้ช้างใน
อยากพูดคุยเท่าไร ก็ต้องอดและทนกลั้นไว้ อย่างนี้

ฉันยอมถูกมองว่าเป็นคนมีปัญหา แต่กว่าที่เธอจะรู้ว่า
ฉันรักเธอขึ้นทุกที

รู้ไหมว่าฉันต้องทนเท่าไร ทุกๆครั้งที่ฉันพบเธอใกล้ๆ
ยิ่งเจอก็ยิ่งปวดใจที่ต้องรับว่าเราต่างกันมากเกินไปอย่างนี้
ฉันนั้นได้แต่หวังให้เธอเข้าใจ ว่าฉันนั้นไม่ได้อยากทำแบบนี้
แต่เพราะฉันรักเธอ

ฉันยอมถูกมองว่าเป็นคนมีปัญหา แต่กว่าที่เธอจะรู้ว่า
ฉันรักเธอขึ้นทุกที

รู้ไหมว่าฉันต้องทนเท่าไร ทุกๆครั้งที่ฉันพบเธอใกล้ๆ
ยิ่งเจอก็ยิ่งปวดใจที่ต้องรับว่าเราต่างกันมากเกินไปอย่างนี้
ฉันนั้นได้แต่หวังให้เธอเข้าใจ ว่าฉันนั้นไม่ได้อยากทำแบบนี้
แต่เพราะฉันรักเธอ

เพราะฉันนั้นรักเธอ ฉันจึงต้องทำ
เพราะฉันนั้นไม่เคยคิดที่จะรักเธอ อย่างนี้",ben_chalatit
คนที่คิดถึง,/music/thailyric/3055,"รู้ไหม ทุกครั้งที่ฉันนั้นมีเรื่องหนักหัวใจ
เรื่องที่ไม่สามารถจะไปปรึกษาใคร
ฉันจะคิดถึงใครก่อน

และรู้ไหม ไม่ว่าฉันนั้นจะมีความสุขเท่าไร
ไม่ว่าชีวิตฉันจะไปอยู่จุดไหน
ฉันจะคิดถึงใครก่อน

คนๆ เดียวที่ฉันจะรออยู่
เฝ้ารอด้วยใจเว้าวอน
ก็คือเธอคนดี
และจะมีเพียงคนเดียว แน่นอน
คนที่ฉันจะรัก ที่จะคิดถึง
ที่จะยังคงซึ่งความเข้าใจ
และยกให้เธอได้เป็นที่หนึ่ง ทุกๆอย่าง
อยากให้เธอรู้ ไม่ว่าเมื่อไร

ไม่ว่าเรานั้น ต้องไกลแสนไกล
แต่ว่าในหัวใจใกล้ กันอยู่
จึงขอมอบเพลง นี้เพื่อให้เธอรับรู้
ฉันจะรอเธอเป็นคู่
และฉันเฝ้ารออยู่ ชั่วชีวิต

ถึงแม้ จากนี้เรานั้นจะต้องอยู่ห่างแสนไกล
แหละยังไม่รู้จะเจอกันอีกเมื่อไร
แต่ฉันจะคิด ถึงเธอก่อน

เธอคนเดียวที่ฉันจะรออยู่
เฝ้ารอด้วยใจเว้าวอน
ก็คือเธอคนดี
ที่จะมีเพียงคนเดียว แน่นอน
คนที่จะรัก ที่จะคิดถึง
ที่จะยังคง ซึ่งความเข้าใจ
และยกให้เธอได้เป็นที่หนึ่ง ทุกๆอย่าง
อยากให้เธอรู้ ไม่ว่าเมื่อไร

ไม่ว่าเรานั้น ต้องไกลแสนไกล
แต่ว่าในหัวใจใกล้ กันอยู่
จึงขอมอบเพลง นี้เพื่อให้เธอรับรู้
ฉันจะรอเธอเป็นคู่
และฉันเฝ้ารออยู่ ชั่วชีวิต

โอ้.เธอที่ฉันรัก ที่จะคิดถึง
ที่จะยังคงซึ่งความเข้าใจ
และยกให้เธอได้เป็นที่หนึ่ง ทุกๆอย่าง
อยากให้เธอรู้ ไม่ว่าเมื่อไร

ไม่ว่าเรานั้น ต้องไกลแสนไกล
แต่ว่าในหัวใจใกล้ กันอยู่
จึงขอมอบเพลง นี้เพื่อให้เธอรับรู้
ฉันจะรอเธอเป็นคู่
และฉันเฝ้ารออยู่ ตลอดชีวิต
ตลอดชีวิต",ben_chalatit
รักเธอมากกว่า,/music/thailyric/3063,"ไม่ว่าเธอนั้นจะระกฉันสักเพียงไหน จะมากมาสกเท่าไหร่
ไม่ว่าเธอนั้นจะมีใจให้กับฉันทุกคืนวันหรือไม่

ฉันจะไม่ขอฟังคำตอบ และไม่เรียนไม่ร้องเรื่องใดๆ
อยากให้เธอรู้ไว้อย่าง นับจากวันและคืนต่อจากนี้ไป

จะรักเธอมากกว่า รักเธอยิ่งกว่า รักเธอจนหมดหัวใจ
จะรักเธอมากกว่า ไม่ว่าวันไหนแม้จะนานสักเท่าไร
ทุกๆ อย่างจะคอยเพิ่มเติม จากสิ่งเดิมให้มีความหมาย
ฉันนั้นขอสัญญา จะให้เธอมากกว่าหัวใจ

แม้ในวันนี้เธอจะไม่มีความพร้อมที่จะยอมเปิดหัวใจ
แม้ในวันนั้นฉันจะไม่มีความหมาย ในสายตาเธอสักเท่าไหร่

ฉันจะไม่ขอฟังคำตอบ และไม่เรียนไม่ร้องเรื่องใดๆ
อยากให้เธอรู้ไว้อย่าง นับจากวันและคืนต่อจากนี้ไป

จะรักเธอมากกว่า รักเธอยิ่งกว่า รักเธอจนหมดหัวใจ
จะรักเธอมากกว่า ไม่ว่าวันไหนแม้จะนานสักเท่าไร
ทุกๆ อย่างจะคอยเพิ่มเติม จากสิ่งเดิมให้มีความหมาย
ฉันนั้นขอสัญญา จะให้เธอมากกว่าหัวใจ

จะรักเธอมากกว่า รักเธอยิ่งกว่า รักเธอจนหมดหัวใจ
จะรักเธอมากกว่า ไม่ว่าวันไหนแม้จะนานสักเท่าไร
ทุกๆ อย่างจะคอยเพิ่มเติม จากสิ่งเดิมให้มีความหมาย
ฉันนั้นขอสัญญา จะให้เธอมากกว่าหัวใจ

จะรักเธอมากกว่า รักเธอยิ่งกว่า รักเธอจนหมดหัวใจ
จะรักเธอมากกว่า ไม่ว่าวันไหนแม้จะนานสักเท่าไร
ทุกๆ อย่างจะคอยเพิ่มเติม จากสิ่งเดิมให้มีความหมาย
ฉันนั้นขอสัญญา จะให้เธอมากกว่าหัวใจ",ben_chalatit
