song_name,href,lyric,artist
อย่าหยุดฝัน,/music/thailyric/8770,"คนบางคนมีฝันแต่ไม่เคยตามหา
มีกำลังก้าวไปก็ไม่เคยไขว่คว้า
เพราะกลัวสิ่งนั้นจะไม่จริงขึ้นมา

แต่ใครบางคนมีฝันก็ไม่ยอมหยุดยั้ง
มีบางคราวต้องล้มและเดินพลาดพลั้ง
ก็ไม่ยอมหยุดหวังลุกขึ้นยืนใหม่

และนั่นคือฉันเองที่ไม่ถอดท้อใจ
จะผิดหวังมาเท่าไหร่ก็ไม่ยอมหมดแรง

อย่าหยุดฝันบอกใจทุกวัน อย่าหวั่นไหวก็จะไม่ยอม
ถึงสูงยังไงถึงหนาวยังไงก็พร้อมจะเดินไป
อย่าหยุดฝันที่เรานั้นมี ต่อให้ล้มอีกพันล้านที
ก็ต้องมีวันเวลาที่ดีที่ได้เป็นข่าวดีของเรา

ใครบางคนมีฝันก็ไม่ยอมหยุดยั้ง
มีบางคราวต้องล้มและเดินพลาดพลั้ง
ก็ไม่ยอมหยุดหวังลุกขึ้นยืนใหม่

และนั่นคือฉันเองที่ไม่ถอดท้อใจ
จะผิดหวังมาเท่าไหร่ก็ไม่ยอมหมดแรง

อย่าหยุดฝันบอกใจทุกวัน อย่าหวั่นไหวก็จะไม่ยอม
ถึงสูงยังไงถึงหนาวยังไงก็พร้อมจะเดินไป
อย่าหยุดฝันที่เรานั้นมี ต่อให้ล้มอีกพันล้านที
ก็ต้องมีวันเวลาที่ดีที่ได้เป็นข่าวดีของเรา",bie_sukrit
รักแท้มีอยู่จริง,/music/thailyric/2945,"ซ่อนตัวเองมานานเท่าไร จะไปกลัวทำไมความรัก
สิ่งที่เธอไม่เคยรู้จักเลยสักครั้ง
หากเธอลองมองมาให้ดี ฉันมีเธอในใจเท่านั้น
แค่เพียงเธอเข้ามาใกล้กันก็จะเข้าใจ

อาจไม่ดีราวกับเจ้าชาย อาจไม่คล้ายกับคนในฝัน
แต่ก็พร้อมร้อนหนาวแทนเธอได้เสมอ
จะกุมมือเวลาร้องไห้ เช็ดน้ำตานี้ให้กับเธอ
อยู่ปลอบใจไม่ยอมห่างไกลให้เธอได้รู้
รักแท้ยังมีอยู่จริง

หนึ่งดวงใจของฉันอาจดูว่าไม่เท่าไร
ถึงแม้ว่ามันไม่ยิ่งใหญ่พอก็เชื่อในรัก
หนึ่งดวงใจดวงเดียวจากฉัน ขอทำให้เธอรู้จัก
เพียงเธอจะเชื่อเหมือนกันกับฉัน
รักแท้ยังมีอยู่จริง

คิมิโนะ ริโซโนะ โอโตโคะ จะไน่เคโด
คิมิโนะ โคโตโวะ มิมะโมรุ
คนนะ โบกุ เดโมะ ดะเรนิโมะ มะเคไน่
ซุตโตะ โซบะนิอิรุโย อาอิ กะ อารุคาระ

อาจไม่ดีราวกับเจ้าชาย อาจไม่คล้ายกับคนในฝัน
แต่ก็พร้อมร้อนหนาวแทนเธอได้เสมอ
จะกุมมือเวลาร้องไห้ เช็ดน้ำตานี้ให้กับเธอ
อยู่ปลอบใจไม่ยอมห่างไกลให้เธอได้รู้
รักแท้ยังมีอยู่จริง

หนึ่งดวงใจของฉันอาจดูว่าไม่เท่าไร
ถึงแม้ว่ามันไม่ยิ่งใหญ่พอก็เชื่อในรัก
หนึ่งดวงใจดวงเดียวจากฉัน ขอทำให้เธอรู้จัก
เพียงเธอจะเชื่อเหมือนกันกับฉัน
รักแท้ยังมีอยู่จริง รักแท้ยังมีอยู่จริง",bie_sukrit
7 วันที่ฉันเหงา,/music/thailyric/2930,"วันอาทิตย์เธอไปจากฉัน
วันจันทร์ดูเหมือนมันช่างว่างเปล่า
ฉันต้องนอนเหงาถึงวันอังคารจนเช้า
ใจมันร้าวเสียจนนอนไม่หลับ

เย็นวันพุธตั้งใจจะลืม
กลับจำข้ามคืนถึงพฤหัส
วันศุกร์ก็แล้วภาพเธอก็ยังคงชัด
วันเสาร์ความเหงาก็ยังเท่าเดิม

7 วันที่ต้องทนเหงา 7 วันยังเศร้าอย่างนี้
ไม่มีวี่แววจะหายไป 7 วันที่เธอลืมกัน
7 วันที่สิ้นเยื่อใย แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ

วันพรุ่งนี้หรือนานแค่ไหน
1 เดือนหรือข้ามไปจนเป็นปี
ต้องใช้กี่ความเหงาลบภาพเก่า
คราวนี้ไม่มีอะไรที่ค้างคา

7 วันที่ต้องทนเหงา 7 วันยังเศร้าอย่างนี้
ไม่มีวี่แววจะหายไป 7 วันที่เธอลืมกัน
7 วันที่สิ้นเยื่อใย แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ

วันอาทิตย์เธอไปจากฉัน
วันจันทร์ดูเหมือนมันช่างว่างเปล่า
ฉันต้องนอนเหงาถึงวันอังคารจนเช้า
ใจมันร้าวเสียจนนอนไม่หลับ

เย็นวันพุธตั้งใจจะลืม
กลับจำข้ามคืนถึงวันพฤหัส
วันศุกร์ก็แล้วภาพเธอก็ยังคงชัด
วันเสาร์ความเหงาก็ยังเท่าเดิม

สักวันคงลืมเธอได้ลง
สักวันเราคงเหมือนคนเก่า
ไม่เหงา ไม่ทรมาน

7 วันที่ต้องทนเหงา 7 วันยังเศร้าอย่างนี้
ไม่มีวี่แววจะหายไป 7 วันที่เธอลืมกัน
7 วันที่สิ้นเยื่อใย แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ

7 วันที่เธอลืมกัน 7 วันที่สิ้นเยื่อใย
จากนี้ต้องคอยบอกใจ
จำไว้ต้องลืมเธอ จำไว้ต้องลืมเธอ",bie_sukrit
ความทรงจำในลมหายใจ,/music/thailyric/2932,"มันคงเป็นโชคชะตาที่ฉันต้องเข้าใจ
ความรักเรานั้นมาไกลแค่นี้
ก็ปล่อยเธอไป ตามเส้นทางของเธอที่ดี
แต่ยังมีสิ่งนึง อยากให้เธอรู้ก่อนที่จะไป

เธอจะเป็นความทรงจำ อยู่ภายในลมหายใจ
จะจดจำเธอจนวันสุดท้าย
ใจของฉันคงต้องหมุนตามเวลา
สักวันคงมีใครผ่านเข้ามา
ตราบใดที่ยังหายใจจะไม่ลืมเธอ

ได้อยู่ดูแลเธอมา หายใจใกล้ๆ กัน
เท่านี้ใจฉันก็มีความหมาย
หากวันใดเหนื่อยล้า นึกถึงตอนฉันยิ้มให้
ไม่มีฉันจากนี้ ดูแลตัวเองให้ดีนะเธอ

เธอจะเป็นความทรงจำ อยู่ภายในลมหายใจ
จะจดจำเธอจนวันสุดท้าย
ใจของฉันคงต้องหมุนตามเวลา
สักวันคงมีใครผ่านเข้ามา
ตราบใดที่ยังหายใจจะไม่ลืมเธอ

นับจากนี้ใจฉันคงหยุดการมีเธอ
นับจากนี้คงต้องเริ่มออกเดิน
เพื่อเจอรักใหม่ เราสองคงไกลห่าง
แต่จะไม่มีทางลบภาพเธอ

เธอจะเป็นความทรงจำ อยู่ภายในลมหายใจ
จะจดจำเธอจนวันสุดท้าย
ใจของฉันคงต้องหมุนตามเวลา
สักวันคงมีใครผ่านเข้ามา
ตราบใดที่ยังหายใจจะไม่ลืมเธอ

ใจของฉันคงต้องหมุนตามเวลา
สักวันคงมีใครผ่านเข้ามา
ตราบใดมีลายหายใจก็จะมีเธอ",bie_sukrit
มากมาย,/music/thailyric/2943,"มองไม่เห็นด้วยตา ถ้าจะรับรู้ต้องด้วยใจ
ถามว่ารักเธอเท่าไหร่ จะนับยังไงดี
ต่อให้เก็บดวงดาวมาหมดฟ้า เอาน้ำมาหมดโลกนี้
คูณเม็ดทรายที่มี มันก็ยังดูน้อยไป

ไม่รู้จะต้องทำสักเท่าไร ทำให้เธอรู้
คำที่สวยที่หรู มันเทียบกับใจไม่ได้

บอกได้แค่รักมากมาย รักเธอมากมาย
ไม่มีหน่วยวัดได้ หรอกความรักนี้
ที่อยู่ในใจ มันมากมาย ล้นอกซ้ายที่ฉันมี
ถึงเมื่อไหร่ไม่รู้ รู้แต่จะรักทุกนาทีที่ยังหายใจ

มองให้ลึกเข้าไป ข้างในตาคู่นี้ทุกวัน
เธอจะเห็นรักร้อยเรียงกัน แค่ไหนนับดูสิ
ถ้าหากฉันคิดถึงเธอหนึ่งครั้ง แล้วกดโทรไปหนึ่งที
เธอคงรับไม่ไหว เพราะคงมีเป็นหมื่นมิสคอล

ไม่รู้จะต้องทำสักเท่าไร ทำให้เธอรู้
คำที่สวยที่หรู มันเทียบกับใจไม่ได้

บอกได้แค่รักมากมาย รักเธอมากมาย
ไม่มีหน่วยวัดได้ หรอกความรักนี้
ที่อยู่ในใจ มันมากมาย ล้นอกซ้ายที่ฉันมี
ถึงเมื่อไหร่ไม่รู้ รู้แต่จะรักทุกนาที

I love u, หว่ออ้ายหนี่, Ich lieber dich, Je taime
ก็จะให้พูดยังไง ให้เท่าหัวใจที่มี
Tiamo, Te quiero, ซารังแฮโย
จะบอกว่ารักกี่ภาษา ก็ฟังไม่เยอะสักที
คิมิโอ ไอชิเตรุ, จิตพาเด, บอง สรันโอน
ไม่ว่าจะพูดยังไง ก็ไม่เท่าหัวใจที่มี
Amo-te, Jag alskar dig, Ya vas liubliu
จะบอกว่ารักกี่ภาษา ไม่ได้ครึ่ง ที่อัดแน่นในนี้

บอกได้แค่รักมากมาย รักเธอมากมาย
ไม่มีหน่วยวัดได้ หรอกความรักนี้
ที่อยู่ในใจ มันมากมาย ล้นอกซ้ายที่ฉันมี
ถึงเมื่อไหร่ไม่รู้ รู้แต่จะรักทุกนาทีที่ยังหายใจ",bie_sukrit
รักบี้,/music/thailyric/2947,"Rap
รักมันแย่ ให้มันได้อย่างงี้สิ
โธ่! ใครๆก็ทิ้งขว้าง คิดแล้วมันคงเข้าท่า
ถ้าใครมาเทคแคร์ ให้ใจเข้าที่
เข้ามาน่ะ come on, come on
now! ก็อยากโดนคนมา crazy
อ่ะ! Are you ready?
One! Two! Three! ใครจะเอากับฉันบ้าง

อิจฉาๆ โอ๊ะ โอ๊ย! ดูมีค่ามากๆ
อยากให้ความรัก เป็นอย่างลูกรักบี้
ถูกเตะถูกโยน ไปไกลซักแค่ไหนดูซี่
มีแต่คนวิ่งไล่กอดกันเอาไว้

พอขว้างลูกไปทางซ้าย
ก็ไม่มีใครออกขวา แย่งกันรับแล้วพาไปเส้นชัย
ตรงข้ามกันเลยกับฉัน ที่ทุ่มรักไปทางไหน
เกี่ยงกันวุ่นวาย ใครๆ ก็ไม่รัก

มามะรับไว้รับไว้หน่อย ช่วยที
โยนความรัก ให้แล้วช่วยกอดไว้ที
มามะ Oh! Baby วันนี้ฉันจะเหวี่ยงให้ทั้งใจ

มามะรับไว้รับไว้หน่อย ละกัน
ไม่มีใครเล่นด้วยเลยฉันทุ่มรักไป
น่าช่วยเห็นใจ มาเล่นรักบี้ด้วยกัน

ถ้ามีคนคอย เอ็นดูคงจะดีแน่ๆ
เบื่อเป็นผู้แพ้ ในเกมส์ของหัวใจ
มารุมสกรัมกันเลย มากระแซะใกล้ๆ
ขนาดแค่คิดในใจ ก็มันแล้ว

พอขว้างลูกไปทางซ้าย
ก็ไม่มีใครออกขวา แย่งกันรับ แล้วพาไปเส้นชัย
ตรงข้ามกันเลยกับฉัน ที่ทุ่มรักไปทางไหน
เกี่ยงกันวุ่นวาย ใครๆ ก็ไม่รัก

มามะรับไว้รับไว้หน่อย ช่วยที
โยนความรัก ให้แล้วช่วยกอดไว้ที
มามะ Oh! Baby วันนี้ฉันจะเหวี่ยงให้ทั้งใจ

มามะรับไว้รับไว้หน่อย ละกัน
ไม่มีใครเล่นด้วยเลยฉันทุ่มรักไป
น่าช่วยเห็นใจ มาเล่นรักบี้ด้วยกัน

Rap
รักมันแย่ ให้มันได้อย่างงี้สิ
โธ่! ใครๆก็ทิ้งขว้าง คิดแล้วมันคงเข้าท่า
ถ้าใครมาเทคแคร์ ให้ใจเข้าที่
เข้ามาน่ะ come on, come on
now! ก็อยากโดนคนมา crazy
อ่ะ! Are you ready?
One! Two! Three! ใครจะเอากับฉันบ้าง

มามะรับไว้รับไว้หน่อย ช่วยที
โยนความรัก ให้แล้วช่วยกอดไว้ที
มามะ Oh! Baby วันนี้ฉันจะเหวี่ยงให้ทั้งใจ

มามะรับไว้รับไว้หน่อย ละกัน
ไม่มีใครเล่นด้วยเลยฉันทุ่มรักไป
น่าช่วยเห็นใจ มาเล่นรักบี้ด้วยกัน",bie_sukrit
เวต อะ มินิต (Wait a Minute),/music/thailyric/2949,"เห็นเธอไม่โทรมา ก็เลยไม่กล้าโทรไป
เกรงใจเดี๋ยวรบกวนเธอเปล่าๆ
เราเพิ่งพบกันเอง ไม่ทันเป็นเรื่องราว
กลัวคิดถึงเว่อร์ไปจะไม่ดี

นึกว่าไม่โทรไป เธอคงจะไม่โทรมา
มีแค่ฉันวุ่นวายทุกนาที แทบไม่เชื่อนัยน์ตา
เซอไพรซ์ อ๊ะ! ซะไม่มี
เบอร์เธอโชว์พร้อมเสียงเรียกเข้ามา

ไม่นึกฝัน ก็มันชื่นใจ
พูดคำไหน ตั้งตัวไม่ทัน
จะกดรับ ใจก็สั่น
นี่แปลว่าเธอก็คิดถึงฉันมากใช่ไหม

Wait a minute รอหน่อยๆ อยากรับมากจริงๆ
ขอเวลาหน่อย นิดนึงๆ กำลังนึกคำอยู่
Wait a minute รอก่อนๆ อย่าเพิ่งรีบวางหู
ฉันจะรีบบอกว่า I love U love U ที่เธอโทรมา

ถึงฉันยุ่งยังไง บอกไว้ว่าฉันยินดี
เคลียร์ได้เลยถ้ามีเธอโทรมา
ฉันก็พร้อมโทรไป บอกรักเธอสามเวลา
ไม่ให้เธอต้องรอฉันข้างเดียว

ไม่นึกฝัน ก็มันชื่นใจ
พูดคำไหน ตั้งตัวไม่ทัน
จะกดรับ ใจก็สั่น
นี่แปลว่าเธอก็คิดถึงฉันมากใช่ไหม

Wait a minute รอหน่อยๆ อยากรับมากจริงๆ
ขอเวลาหน่อย นิดนึงๆ กำลังนึกคำอยู่
Wait a minute รอก่อนๆ อย่าเพิ่งรีบวางหู
ฉันจะรีบบอกว่า I love U love U ที่เธอโทรมา

Wait a minute รอหน่อยๆ อยากรับมากจริงๆ
ขอเวลาหน่อย นิดนึงๆ กำลังนึกคำอยู่
Wait a minute รอก่อนๆ อย่าเพิ่งรีบวางหู
ฉันจะรีบบอกว่า I love U love U ที่เธอโทรมา

I love U",bie_sukrit
หายใจบอกรักเธอ,/music/thailyric/2954,"เป็นคนนึง มีหนึ่งลมหายใจ
ที่ไม่เคยให้ใคร หายใจทิ้งไปวันๆ
เธอมาทำให้เกิดความสร้างสรรค์
ให้ฉันทำอะไร แบบที่ใจไม่เคยชิน

รู้คงรวดเร็วเกินไป ถ้าบอกรัก
แต่มันล้นเกินเก็บไว้ พูดให้เธอได้ยิน
วันนี้เธอคงไม่อินเท่าไร ทำได้เพียง

ส่งหัวใจเข้าไปหายใจอยู่ใกล้ๆ เธอ
สื่อถึงเธอ ทุกครั้งเมื่อเธอเข้ามาใกล้กัน
ไม่รู้ว่าจะเข้าใจตัวฉัน ที่ชอบเธออยู่บ้างไหม

ลมหายใจขอไปทักทายกับเธอไว้ก่อน
ก่อนทุกคำค่อยๆ ทะยอยส่งตามให้ไป
ชอบเธอ แต่กลัวเธอจะหายไป
พอเจอทีไร เลยหายใจบอกรักเธอ

เธอเหมือนความอบอุ่นใจเมื่อเจอ
ในช่วงฤดูหนาว ที่เงียบเหงาและเศร้าซึม
เธอเหมือนฝนที่ให้ความชุ่มชื้นในช่วงฤดูร้อน
อยากบอกรักเธอเหลือเกิน

รู้คงรวดเร็วเกินไปถ้าบอกรัก
แต่มันล้นเกินเก็บไว้ พูดให้เธอได้ยิน
วันนี้เธอคงไม่อินเท่าไร ทำได้เพียง

ส่งหัวใจเข้าไปหายใจอยู่ใกล้ๆ เธอ
สื่อถึงเธอ ทุกครั้งเมื่อเธอเข้ามาใกล้กัน
ไม่รู้ว่าจะเข้าใจตัวฉัน ที่ชอบเธออยู่บ้างไหม

ลมหายใจขอไปทักทายกับเธอไว้ก่อน
ก่อนทุกคำค่อยๆ ทะยอยส่งตามให้ไป
ชอบเธอ แต่กลัวเธอจะหายไป
พอเจอทีไร เลยหายใจบอกรักเธอ

Rap
Oh Baby Girl Oh Baby Girl หัวใจมีแค่เธอ
Oh Baby Girl Oh Baby Girl หายใจบอกรักเธอ

ส่งหัวใจเข้าไปหายใจอยู่ใกล้ๆ เธอ
สื่อถึงเธอ ทุกครั้งเมื่อเธอเข้ามาใกล้กัน
ไม่รู้ว่าจะเข้าใจตัวฉัน ที่ชอบเธออยู่บ้างไหม

ลมหายใจขอไปทักทายกับเธอไว้ก่อน
ก่อนทุกคำค่อยๆ ทะยอยส่งตามให้ไป
ชอบเธอ แต่กลัวเธอจะหายไป
พอเจอทีไร เลยหายใจบอกรักเธอ",bie_sukrit
ฮัก (Hug),/music/thailyric/2961,"Love มันอยู่ไหน
มีไหมใคร มาบอก Love
Hug ทีได้ไหม
อยากได้จัง อ้อมกอดเธอ

You,You อยากให้เธอรู้
ว่าใจของ you น่ะ อยู่ๆ อยู่ที่ฉันทุกวัน
Say,Say อยากบอกเธอว่า
ตัวฉัน ต้องการจะเซๆ เข้าไปใกล้ชิด

โลกมันร้อน หัวใจฉันแปลกกลับหนาว
I want you,อะ I need you
เธออยู่ในอ้อมกอดฉันอยู่นี่ไงจ๊ะ
มาเถอะมาอยาก อยากอยากจะคอย

Hug กันจะได้ไหม
Hug กันจะได้ไหม
แล้วยังจะเป็นไหม
Hug กันแล้วเธอจะรู้ ฉันไม่ได้แหย่
ไม่ใช่แค่ยอ ก็เปิ้นฮักฮักตัวหมดหัวใจ

Hug กันจะได้ไหม

Hug Hug ฮักก็คือรัก
ฮักตัวอยู่อ่ะ ฮู้อ๊ะเปล่า
กอด กอด Hug ก็คือกอด
แต่บ่ต้องถอด เดี๋ยว You จะหนาว

Kiss Kiss ก็ขอแค่ได้คิด
เปิ้นยังไม่ need แล้วตัวว่าจะใด
ฮัก ฮัก ที่ต้องการฮัก
เพราะเปิ้นฮัก you ตัวฮู้บ้างมั๊ย

อายๆ อาจจะไม่กล้าเผยใจ
แต่ไม่ได้อายๆ หาก you มาชิดกัน
Why,Why ทำไมต้องฮัก
เพราะใจดวงใจ อาจวายๆ ด้วยความคิดถึง

โลกมันร้อน หัวใจฉันแปลก กลับหนาว
I want you,อะ I need you
เธออยู่ในอ้อมกอดฉันอยู่นี่ไงจ๊ะ
มาเถอะมาอยาก อยากอยากจะคอย

Hug กันจะได้ไหม
Hug กันจะได้ไหมไหม
แล้วยังจะเป็นไหมไหม
Hug กันแล้วเธอจะรู้ ฉันไม่ได้แหย่
ไม่ใช่แค่ยอ ก็เปิ้นฮักฮักตัวหมดหัวใจ

Love มันอยู่ไหน
มีไหมใคร มาบอก Love
Hug ทีได้ไหม
อยากได้จัง อ้อมกอดเธอ

Hug Hug ฮักก็คือรัก
ฮักตัวอยู่อ่ะ ฮู้อ๊ะเปล่า
กอด กอด Hug ก็คือกอด
แต่บ่ต้องถอด เดี๋ยว You จะหนาว

Kiss Kiss ก็ขอแค่ได้คิด
เปิ้นยังไม่ need แล้วตัวว่าจะใด
ฮัก ฮัก ที่ต้องการฮัก
เพราะเปิ้นฮัก you ตัวฮู้บ้างมั๊ย

Hug กันจะได้ไหม
Hug กันจะได้ไหมไหม
แล้วยังจะเป็นไหมไหม
Hug กันแล้วเธอจะรู้ ฉันไม่ได้แหย่
ไม่ใช่แค่ยอ ก็เปิ้นฮัก

Hug กันจะได้ไหมไหม
แล้วยังจะเป็นไหมไหม
Hug กันแล้วเธอจะรู้ ฉันไม่ได้แหย่
ไม่ใช่แค่ยอ ก็เปิ้นฮักฮักตัว หมดหัวใจ

Hug กันจะได้ไหม",bie_sukrit
จังหวะหัวใจ,/music/thailyric/2933,"One Two Three Four

(Rap) อยู่ ๆ ใจก็ตึ๊ก ตั๊ก ก็เพราะเธอนั้นน่ารัก อยู่ อยู่ ตึ๊ก ตั๊ก
ชวนให้ผมรัก รัก อยู่ อยู่ อยู่เข้ามาใกล้ คงไม่ปล่อยไปง่าย ง่าย
ส่งสัญญาณมาหน่อยสิ ได้ ได้ ป่าว

ลวดลายร้อนแรง แซงใจทุกคน ยิ้มเธอพุ่งชน เข้าทันทีที่พบเจอ
โยกทีย้ายทีเล่นเอาใจฉันสั่น อุตส่าห์ระวังก็ยังไม่วายชอบเธอ

แกล้งกันบ่อย ๆ อย่างนี้คงไม่ปล่อย คงต้องลอง ๆ ต้องคลิ๊กกันดูหน่อย
รักหรือจะหลอก เดี๋ยวรู้ไม่ต้องบอก ขอจับใจเธอหน่อยเต้นแรงแค่ไหน

มาเล่นในใจฉันเต้นแบบนี้ ฉันว่าเธอก็มีอาการใช่ไหม
ใจมันเต้น มันเต้น เป็นจังหวะรัก แล้วเธอล่ะ อ่ะ เต้นจังหวะยังไง

(Rap) ทำไมต้องมาอายล่ะ ก็แค่อยากรู้จังหวะ แต่ขอจับได้ไหมล่ะ
ก็แค่ขอจับจังหวะ Do You Know I wanna คิดเหมือนกันรึเปล่าล่ะ
ส่งสัญญาณให้รับทราบ ได้ ได้ ป่าว

ได้ใจ ได้ใจ รู้ไหมเธอได้ใจ เอาใจฉันไปแบบไม่ทันได้ตั้งตัว
ได้อีก ได้อีก ยังโดนใจได้อีก อย่าปล่อยลีลาลวดลายล่องลอยไม่ชัวร์

แกล้งกันบ่อย ๆ อย่างนี้คงไม่ปล่อย คงต้องลอง ๆ ต้องคลิ๊กกันดูหน่อย
รักหรือจะหลอก เดี๋ยวรู้ไม่ต้องบอก ขอจับใจเธอหน่อยเต้นแรงแค่ไหน

มาเล่นในใจฉันเต้นแบบนี้ ฉันว่าเธอก็มีอาการใช่ไหม
ใจมันเต้น มันเต้น เป็นจังหวะรัก แล้วเธอล่ะ อ่ะ เต้นจังหวะยังไง

มาเล่นในใจฉันเต้นแบบนี้ ฉันว่าเธอก็มีอาการใช่ไหม
ใจมันเต้น มันเต้น เป็นจังหวะรัก แล้วเธอล่ะ อ่ะ เต้นจังหวะยังไง

มาเล่นในใจฉันเต้นแบบนี้ ฉันว่าเธอก็มีอาการใช่ไหม
ใจมันเต้น มันเต้น เป็นจังหวะรัก แล้วเธอล่ะ อ่ะ เต้นจังหวะยังไง",bie_sukrit
