song_name,href,lyric,artist
ข้าน้อยสมควรตาย,/music/thailyric/2879,"โลกใบนี้ เหมือนมีคำสาปให้คน 
ทุกคนทำสิ่งต้องห้าม ก็รู้ไม่ดี 
จะผิดขนาดไหน หัวใจก็ยังดื้อรั้น 
ไม่รู้ว่าทำไมยังดื้อด้าน เลวสิ้นดี 
คิดจะไปเป็นที่สาม
มันก็ควรต้องโดนสักที

ฉันไม่ได้อยากเลว ไม่อยากทำอย่างนี้ 
มันผิดจริงๆ ก็พอรู้ตัวดี ก็ได้แต่โทษทีที่ฉันทำไป
ฉันไม่ได้อยากเลว แค่หยุดใจไม่ไหว 
ก็ผิดจริงๆ อย่างนี้สมควรตาย 
แต่จะให้ทำไง เมื่อทั้งหัวใจรักเธอ

คนเป็นล้านหัวใจทำไมไม่รัก 
เหลือคนยังโสดตั้งมาก ไปรักเขาบ้างสิ 
มันผิดเข้าใจไหม หัวใจทำไมไม่ฟัง 
ก็รู้ใจของเธอมันไม่ว่าง ดูบ้างสิ
คิดจะไปเป็นที่สาม มันก็ควรต้องโดนสักที

ฉันไม่ได้อยากเลว ไม่อยากทำอย่างนี้ 
มันผิดจริงๆ ก็พอรู้ตัวดี ก็ได้แต่โทษทีที่ฉันทำไป
ฉันไม่ได้อยากเลว แค่หยุดใจไม่ไหว 
ก็ผิดจริงๆ อย่างนี้สมควรตาย 
แต่จะให้ทำไง เมื่อทั้งหัวใจรักเธอ

คิดจะไปเป็นมือที่สาม มันก็ควรต้องโดนสักที

ฉันไม่ได้อยากเลว ไม่อยากทำอย่างนี้ 
มันผิดจริงๆ ก็พอรู้ตัวดี ก็ได้แต่โทษทีที่ฉันทำไป
ฉันไม่ได้อยากเลว แค่หยุดใจไม่ไหว 
ก็ผิดจริงๆ อย่างนี้สมควรตาย 
แต่จะให้ทำไง เมื่อทั้งหัวใจรักเธอ
ก็จะให้ทำให้ เมื่อทั้งหัวใจรักเธอ",big_ass
คนหลงทาง,/music/thailyric/2881,"ขอบคุณอีกครั้ง ขอบคุณอีกที
ขอบคุณในความหวังดี ที่มีให้คนที่มืดมัว
แต่มันคงไม่คุ้ม เข้าใจใช่ไหม
ออกจากชีวิตฉันไป ไม่อยากให้เธอถลำตัว

คนอย่างฉันไม่ดีอย่างใครใคร
หลงทางมาไกลจนน่ากลัว
ทางเดินวันนี้ไม่มีสิทธิ์กลับตัว

อย่าฝากชีวิตดีดีไว้ที่ฉัน
อย่าเอาความฝันของเธอมาเสี่ยงรู้ไหม
เก็บเอาชีวิตของเธอเดินออกไปให้ไกล
ไม่อยากทำร้ายคนดีอย่างเธอ

มีแต่ความรัก มีแต่ความฝัน
นั่นมันคงไม่สำคัญ เมื่อมันไม่ใช่ชีวิตจริง

คนอย่างฉันไม่ดีอย่างใครใคร
หลงทางมาไกลจนน่ากลัว
ทางเดินวันนี้ไม่มีสิทธิ์กลับตัว

อย่าฝากชีวิตดีดีไว้ที่ฉัน
อย่าเอาความฝันของเธอมาเสี่ยงรู้ไหม
เก็บเอาชีวิตของเธอเดินออกไปให้ไกล
ไม่อยากทำร้ายคนดีอย่างเธอ

ไม่ใช่ไม่รัก ไม่อยากทำร้ายคนดีอย่างเธอ",big_ass
ความหวังโง่ๆ,/music/thailyric/2882,"กลับมาที่เดิม ก็ทั้งที่รู้
ว่าตรงนี้ มันก็ไม่เหลือใคร
ความหวังโง่ ๆ ยังทำให้ฉันต้องรอต่อไป
ก็ทั้งที่มันแสนเลื่อนลอย

ไม่เคยพบใคร ไม่เห็นอะไรที่ตามหา
อยู่ไหนล่ะที่ฉันไขว่คว้า
ได้พบเจอก็เพียงความผิดหวัง
เหนื่อยเหลือเกิน เหนื่อยหัวใจ
แต่ตอบตัวเองไม่ได้สักครั้ง
ว่าเฝ้ารอ ไปเพื่ออะไร

กลับมาที่เดิม ก็ทั้งที่รู้
ว่าตรงนี้ มันก็ไม่เหลือใคร
ความหวังโง่ ๆ ยังทำให้ฉันต้องรอต่อไป
ก็ทั้งที่มันแสนเลื่อนลอย

ในความึดมน ความหวังเหมือนไฟที่ส่องมา
แต่ใจที่ฉันมีกับอ่อนล้า ยิ่งเฝ้ารอมันก็ยิ่งเหน็บหนาว
อีกเนิ่นนานสักเท่าไหร่
ที่ใจจะของฉันจะไม่ปวดร้าว..
ไม่ทุกข์ทน ไม่ทรมาณ

กลับมาที่เดิม ก็ทั้งที่รู้
ว่าตรงนี้ มันก็ไม่เหลือใคร
ความหวังโง่ ๆ ยังทำให้ฉันต้องรอต่อไป
ก็ทั้งที่มันแสนเลื่อนลอย

ต่อให้มันแสนเลื่อนลอย  เย...ยี้... โฮ้ว.. โฮ้ว",big_ass
จุดสูงสุด,/music/thailyric/2884,"เกิดมาแล้วต้องเก่ง เกิดมาแล้วต้องอยู่เหนือใคร
ยิ่งใหญ่เหนือคน
อยากมองฟ้ากว้างใหญ่ อยากจะคว้าเมฆที่แสนไกล
ชีวิตต้องอยู่เบื่องบน

ร้ายดียังไงต้องปีนต้องเหยียบไป
ถึงใครจะเจ็บจะตายไม่สน

แข่งกันเหมือนคนโง่
แข่งกันเหมือนคนบ้าเพื่อจุดหมาย
จุดที่เหลือที่สุด จุดที่สูงที่สุดนั้นอยู่ไหน

โลกอันแสนกว้างใหญ่ แต่ดูเหมือนมันยังไม่พอ
ฉันอยู่ร่วมกัน
แผ่นดินนี้กว้างใหญ่ แต่สุดท้ายเรายังต้องการ
จุดหมายเดียวกันทุกคน

ร้ายดียังไงต้องปีนต้องเหยียบไป
ถึงใครจะเจ็บจะตายไม่สน

แข่งกันเหมือนคนโง่
แข่งกันเหมือนคนบ้าเพื่อจุดหมาย
จุดที่เหลือที่สุด จุดที่สูงที่สุดนั้นอยู่ไหน

ร้ายดียังไงต้องปีนต้องเหยียบไป
ถึงใครจะเจ็บจะตายไม่สน

แข่งกันเหมือนคนโง่
แข่งกันเหมือนคนบ้าเพื่อจุดหมาย
จุดที่เหลือที่สุด จุดที่สูงที่สุดนั้นอยู่ไหน",big_ass
บีกินส์,/music/thailyric/2890,"ดวงคนก็เหมือนดวงดาว ใครว่ามันยืนยาว
ต้องมีซักวันร่วงหล่นลงมา
คนบางคนกลายเป็นดวงดาว มัวเมาลืมตัว
อยู่ๆไม่ทันไรก็ร่วงลงมา

ไม่มีอะไรจีรังในความเป็นคน
ไม่มีอะไรยืนยงและยืนยาว
ระวังเอาไว้ให้ดีๆ ต้องเอาไว้ให้ดีๆ
ทุกสิ่งไม่มีอะไรแน่นอน
อย่ามัวผยองว่าเป็นหนึ่ง
ที่จริงชีวิตเพิ่งนับหนึ่ง
ต้องจำกันไปจนถึงวันตาย

คำคนคือกลลวง พาให้เราตายใจ
ทุกอย่างเป็นเพียงแค่สิ่งลวงตา
พาให้มัวเมา ให้เราลืมตัว
เตลิดไปจนไกลกับภาพลวงตา

ไม่มีอะไรจีรังในความเป็นคน
ไม่มีอะไรยืนยงและยืนยาว
ระวังเอาไว้ให้ดีๆ ต้องเอาไว้ให้ดีๆ
ทุกสิ่งไม่มีอะไรแน่นอน
อย่ามัวผยองว่าเป็นหนึ่ง
ที่จริงชีวิตเพิ่งนับหนึ่ง
ต้องจำกันไปจนถึงวันตาย

เมื่อท้องฟ้าที่เคยสว่าง ก็ยังมีวันมืดลง
ในเมื่อขุนเขาที่เคยยืนยง สุดท้ายก็พังทลาย
หัวเราะตัวความเย่อหยิ่ง ความจริงไม่เคยเข้าใจ
จะใหญ่คับฟ้ามันก็เท่านั้น ชีวิตมันยังอีกไกล

ไม่มีอะไรจีรังในความเป็นคน
ไม่มีอะไรยืนยงและยืนยาว
ระวังเอาไว้ให้ดีๆ ต้องเอาไว้ให้ดีๆ
ทุกสิ่งไม่มีอะไรแน่นอน
อย่ามัวผยองว่าเป็นหนึ่ง
ที่จริงชีวิตเพิ่งนับหนึ่ง
ต้องจำกันไปจนถึงวันตาย",big_ass
ปลุกใจเสือป่า,/music/thailyric/2891,"คนเราหกล้มเรื่องธรรมดา ไม่แปลกเลย
ไอ้คนเหยียบซ้ำให้จมลงดิน อย่างนั้นน่ะแปลกคน
เราเป็นแค่คนที่เคยผิดพลั้ง ก็เหมือนกันทุกคน
กลับต้องโดนเหยียบซ้ำจนเกือบตาย

Come on! Come on!! ชีวิตมันมีไว้สู้
Come on! Come on! จะสู้จนขาดใจ

ถ้าหากชีวิตต้องพังทลาย ด้วยลมปากแค่นี้
ก็ให้มันรู้กันไป
จะหนักจะหนาเท่าไหร่จะทน ต้องผ่านต้องพ้นไป
ไม่เป็นไรเดี๋ยวก็รู้กัน

เราคือเจ้าของผู้ขีดชะตา กำหนดมัน
เป็นใครหน้าไหนก็ไม่มีวัน หากคิดจะทำลาย

Come on! Come on! ชีวิตมันมีไว้สู้
Come on! Come on! จะสู้จนขาดใจ

ถ้าหากชีวิตต้องพังทลาย ด้วยลมปากแค่นี้
ก็ให้มันรู้กันไป
จะหนักจะหนาเท่าไหร่จะทน ต้องผ่านต้องพ้นไป
ไม่เป็นไรเดี๋ยวก็รู้กัน

ถ้าหากชีวิตต้องพังทลาย ด้วยลมปากแค่นี้
ก็ให้มันรู้กันไป
จะหนักจะหนาเท่าไหร่จะทน ต้องผ่านต้องพ้นไป
ไม่เป็นไรเดี๋ยวก็รู้กัน
สักวัน",big_ass
พรหมลิขิต,/music/thailyric/2893,"เหม่อมองบนฟ้าไกล จ้องมองด้วยความสงสัย
ว่าใครกันนะใคร ที่พาให้เธอเดินหลงทางมาเจอกับฉัน

มีคนเป็นล้านคน ช่างไร้เหตุจริงๆ ที่เราเจอกัน
จากเป็นคนที่ไม่เชื่ออะไร สุดท้ายก็ได้แต่ถามตัวเองซ้ำๆ

ตกลงคือพรหมลิขิตใช่ไหม ที่เขียนให้เป็นอย่างนั้น
ตกลงให้เรารักกันใช่มั้ย  อย่างนั้นขอได้ หรือไม่
โปรดอย่าทำให้เราพลัดพราก
ให้เรารักกัน เนิ่นนานถึงจนวันตาย โอ้วโอว
ฉันขอได้ไหม

เมื่อก่อนลมหายใจ ก็คิดว่าเป็นของฉัน
แต่พอไดด้พบเธอ เพิ่งรู้จริงๆ ลมหายใจคือเธอเท่านั้น

มีคนเป็นล้านคน ช่างไร้เหตุผลจริงๆ ที่เราเจอกัน
จากเป็นคนที่ไม่เชื่ออะไร สุดท้ายก็ได้แต่ถามตัวเองอีกครั้ง

ตกลงคือพรหมลิขิตใช่ไหม ที่เขียนให้เป็นอย่างนั้น
ตกลงให้เรารักกันใช่มั้ย  อย่างนั้นขอได้ หรือไม่
โปรดอย่าทำให้เราพลัดพราก
ให้เรารักกัน เนิ่นนานถึงจนวันตาย โอ้วโอว
ฉันขอได้ไหม

ีคนมีอีกเป็นล้านคน ไม่มีเหตุผล ที่เธอต้องเลือกฉัน
จากเป็นคนที่ไม่เชื่ออะไร สุดท้ายก็ได้แต่ถามตัวเองอีกครั้ง

ตกลงคือพรหมลิขิตใช่ไหม ที่เขียนให้เป็นอย่างนั้น
ตกลงให้เรารักกันใช่มั้ย  อย่างนั้นขอได้ หรือไม่
โปรดอย่าทำให้เราพลัดพราก
ให้เรารักกัน เนิ่นนานถึงจนวันตาย โอ้วโอว
ฉันขอได้ไหม

โอ้ว โอว ฉันขอได้ไหม",big_ass
สัตว์โลกย่อมเป็นไปตามกรรม,/music/thailyric/2903,"ที่สุดชีวิตคน ทุกคนก็เหมือนกัน
ที่สุดชีวิตต้องรับกรรม อย่างที่เคยได้ก่อเอาไว้

ความผิดซ้ำๆ ที่ทำกับเธอ ให้เธอเสียใจ
ที่สุดผลลัพธ์ก็ย้อนมา.. ให้ฉันต้องเป็นไป
เมื่อน้ำตา เช็ดหัวเข่า เมื่อเธอไปกับเขาจึงเข้าใจ
เพิ่งสำนึกผิด เมื่อหัวใจสลาย

เธอคือชีวิต คือความฝัน แต่ฉันมันไม่เคยใส่ใจ
เจ็บวันนี้ คงต้องจำ ต้องรับกรรมที่ทำไป
แค่อยากขอโทษเธออีกครั้ง ฉันมันไม่เอาไหน
ฉันควรเจ็บ เพื่อชดใช้ ที่เคยได้ทำกับเธอ

เมื่อเธอค้นพบทางเดินที่ดี ให้ทำเช่นไร
จะยื้อไว้ก็สายเกิน สุดท้ายต้องทำใจ
เขาดีกว่า ฉันเลวกว่า มันช่างเป็นเหตุผลที่ง่ายดาย
มันก็สมควร ที่ฉันต้องปวดใจ

เธอคือชีวิต คือความฝัน แต่ฉันมันไม่เคยใส่ใจ
เจ็บวันนี้ คงต้องจำ ต้องรับกรรมที่ทำไป
แค่อยากขอโทษเธออีกครั้ง ฉันมันไม่เอาไหน
ฉันควรเจ็บ เพื่อชดใช้ ที่เคยได้ทำกับเธอ

เขาดีกว่า ฉันเลวกว่า มันช่างเป็นเหตุผลที่ง่ายดาย
มันก็สมควร ที่ฉันต้องปวดใจ

เธอคือชีวิต คือความฝัน แต่ฉันมันไม่เคยใส่ใจ
เจ็บวันนี้ คงต้องจำ ต้องรับกรรมที่ทำไป
แค่อยากขอโทษเธออีกครั้ง ฉันมันไม่เอาไหน
ฉันควรเจ็บ เพื่อชดใช้ ที่เคยได้ทำกับเธอ

ต้องชดต้องใช้ให้เธอ",big_ass
สิ่งกีดขวาง,/music/thailyric/2904,"หากฉัน เลือกที่จะยื้อต่อไป
ก็ยิ่งทำให้เธอสับสน
ก็รู้ ฉันกลายเป็นเพียงใครบางคน
ที่เป็นคนขวางทางเธอ

ความรัก เมื่อมันต้องเริ่มจืดจาง
คนอย่างฉัน ก็คือส่วนเกิน
วันนี้ เหลือเพียงหนึ่งทางที่จะเดิน
คือต้องเดินไปจากเธอ

ไม่เป็นไร ฉันคงไม่เป็นไร เจ็บแค่ไหน..ที่สุดจะคุ้มกว่า
ในวันนี้ฉันขอเป็นคนบอกลา ดีกว่าเป็น คนที่กีดขวาง

อยากบอกว่ารัก.. ครั้งสุดท้าย ก่อนที่ฉัน.. จำต้องบอกลา
อยากบอกว่ารัก..  รักเธอเสมอ ก่อนจะเดิน ไปทั้งน้ำตา
จบกันเสียที รักอันยิ่งใหญ่ ไม่มีอีกแล้ว.. ฝันอันยาวไกล
ชีวิตฉันต้องเริ่มใหม่ กับการไม่มีเธอ

ก่อนนั้น เธอเคยมีค่าอย่างไร ในวันนี้ยังเป็นอย่างนั้น
จากนี้ แม้มันต้องทนทรมาณ ฉันจะทนมันให้ไหว

ไม่เป็นไร ฉันคงไม่เป็นไร เจ็บแค่ไหน..ที่สุดจะคุ้มกว่า
ในวันนี้แม้ต้องลาจากด้วยน้ำตา ดีกว่าเป็นเพียงสิ่งกีดขวาง

อยากบอกว่ารัก.. ครั้งสุดท้าย ก่อนที่ฉัน.. จำต้องบอกลา
อยากบอกว่ารัก..  รักเธอเสมอ ก่อนจะเดิน ไปทั้งน้ำตา
จบกันเสียที รักอันยิ่งใหญ่ ไม่มีอีกแล้ว.. ฝันอันยาวไกล
ชีวิตฉันต้องเริ่มใหม่ กับการไม่มีเธอ

กับการไม่เหลือใคร แต่ก่อนจะจากไป
จำไว้ฉันรักเธอ",big_ass
ชีวิตฉันไม่ได้เป็นของเธอ,/music/thailyric/2885,"แล้วน้ำตาที่กลั้นเอาไว้มันก็ไหล
มันเจ็บจนเกินไป ชีวิตเหลือที่จะอดทน
ถามสักคำว่าเธอสนุกนักใช่ไหม
หลอกลวงกันเข้าไป ทำเหมือนฉันไร้ตัวตน
หัวใจเป็นตายร้ายดี
เธอไม่เคยสนใจ วันนี้มันเกินจะทน

เพราะรักเธอ จึงยอมให้เธอทุกๆ ครั้ง
ในใจมันก็หวัง สักวันเธอคงจะเข้าใจ
แล้วที่เจอ คือเธอยังทำเหมือนทุกที
หลอกลวงกันทั้งปี ตอกย้ำให้ช้ำเข้าไป
หัวใจ มันโดนทุกวันจนมันต้องถอนใจ

ชีวิตฉันไม่ได้เป็นของเธอ พอสักที
เธอนั้นไม่มีสิทธิ์ทำร้ายมัน
ชีวิตที่เธอไม่เคยสนใจ ไม่เป็นไร
ทรมานเท่าไหร่ช่างมัน
ยิ่งรักเท่าไร ยิ่งช้ำเกินทน
จะแบกชีวิตช้ำๆ แล้วไปให้พ้นคนอย่างเธอ

ถ้าไม่เอา ก็ควรจะบอกกันดีๆ
หากคนมันไม่ดี หลอกฉันให้รักเพื่ออะไร
รักแทบตาย มันเลยใกล้ตายขึ้นทุกวัน
ตัดใจเลยแล้วกัน พรุ่งนี้ขอเริ่มต้นใหม่
หัวใจ มันพังยับเยินจนเกินจะรับไหว

ชีวิตฉันไม่ได้เป็นของเธอ พอสักที
เธอนั้นไม่มีสิทธิ์ทำร้ายมัน
ชีวิตที่เธอไม่เคยสนใจ ไม่เป็นไร
ทรมานเท่าไหร่ช่างมัน
ยิ่งรักเท่าไร ยิ่งช้ำเกินทน
จะแบกชีวิตช้ำๆ แล้วไปให้พ้น

ชีวิตฉันไม่ได้เป็นของใคร จงเข้าใจ
เธอนั้นไม่มีสิทธิ์ทำร้ายมัน
ชีวิตแค่ไม่มีเธอสักคน ไม่เป็นไร
ทรมานเท่าไหร่ช่างมัน
วันนี้หัวใจจะไม่ยอมทน
จะแบกชีวิตช้ำๆ แล้วไปให้พ้นจบเสียที",big_ass
