song_name,href,lyric,artist
Okay,/music/thailyric/13588,"ไม่ว่าจะเป็นยังไง Baby it's Okay
ไม่ว่าจะเกิดอะไร I'll be missing you all day
อยากให้เธอกลับมา Come back baby
I'll be okay as always

Baby, okay Baby, okay
ไม่เป็นไร I'm good. Baby, okay
Baby, okay Baby, okay
ไม่เป็นไร I'm good Baby, okay

Baby, okay Baby, okay
ไม่เป็นไร I'm good I start my next day
ตอนที่เธอหนะไปไม่ค่อยโอเคเท่าไร
มันไม่ค่อยเหมือนเดิม I'm missing you all night
Please don't walk away เวลาที่จะเดินเข้าไปทัก
Who is that guy ช่วยแนะนำให้รู้จัก
Yeah I know, I know, you hate me to the bone
The hell is going on
Can't stop call on your phone
ทำไมเป็นอย่างงี้หละไม่เข้าใจ
Come back please cause you are just my type
Blame me everything ยอมรับในทุกๆ สิ่ง
ถูกแล้วที่ถูกเธอทิ้ง Give me another drink

ไม่ว่าจะเป็นยังไง Baby it's okay
ไม่ว่าจะเกิดอะไร I'll be missing you all day
อยากให้เธอกลับมา Come back baby
I'll be okay as always

Baby, okay. Baby, okay
ไม่เป็นไร I'm good Baby, okay
Baby, okay. Baby, okay
ไม่เป็นไร I'm good. Baby, okay

อยู่คนเดียวก็มาตั้งนานหลายปี
ตอนที่เธอหนะไปมันกินไม่ลงทุกที
มันคิดถึงเธอ too much, so much, very much
อยากให้กลับมาจะได้ไหมที่รัก
มันยังรับไม่ไหวอะไม่ไหวเลย
มันทนอยู่แทบไม่ได้เลย
Can I turn back the time
กลับไปเวลาที่เราอยู่ด้วยกัน
Let you know I'm thinking bout you all night
ละเธอจะคงยังคิดถึงคิดถึงกันบ้างไหม
ทำไมเป็นอย่างงี้หละไม่เข้าใจ
Come back please cause you are just my type
Blame me everything, ยอมรับในทุกๆ สิ่ง
ถูกแล้วที่ถูกเธอทิ้ง, Give me another drink

ไม่ว่าจะเป็นยังไง Baby it's okay
ไม่ว่าจะเกิดอะไร I'll be missing you all day
อยากให้เธอกลับมา Come back baby
I'll be okay as always

Baby, okay Baby, okay
ไม่เป็นไร I'm good Baby, okay
Baby, okay Baby, okay
ไม่เป็นไร I'm good Baby, okay",bird_thongchai
กว่าจักรวาล,/music/thailyric/13978,"จะยอมนั่งจรวด ไปตรวจดาวอังคาร
หากว่าที่แห่งนั้นมีเธออยู่ จะไปเพื่อพบเธอ

จะยอมทิ้งดาวเกิด ไปสุดขอบจักรวาล
เพื่อให้เธอและฉันได้คู่กัน จะทำทุกๆ ทาง

ไกลกว่านั้นก็จะไปให้ถึง
ฉันขอแค่เพียงอย่างหนึ่ง แค่ยังรักฉันก็พอ

ไม่เป็นไรที่รัก หากเป็นเธอฉันพร้อม
ให้รู้ว่าเพื่อเธอฉันจะยอม ฉันจะยอมให้เธอคนเดียว
ต่อให้นานเพียงไหน ต่อให้ไกลกว่านั้น ฉันจะไปให้ถึงสักวัน
เมื่อรักที่เธอให้ฉันยิ่งใหญ่ กว่าจักรวาล

กี่ปีแสงจะผ่าน จะกี่ความทรมาน จะอย่างไรก็คุ้ม
ถ้าปลายทาง ตรงนั้นฉันมีเธอ

จะรอฉันรึเปล่า ที่สุดขอบจักรวาล
หากมีเธอที่รัก ที่รออยู่ จะทำทุกๆ ทาง

ไกลกว่านั้นก็จะไปให้ถึง
ฉันขอแค่เพียงอย่างหนึ่ง แค่ยังรักฉันก็พอ

ไม่เป็นไรที่รัก หากเป็นเธอฉันพร้อม
ให้รู้ว่าเพื่อเธอฉันจะยอม ฉันจะยอมให้เธอคนเดียว
ต่อให้นานเพียงไหน ต่อให้ไกลกว่านั้น ฉันจะไปให้ถึงสักวัน
เมื่อรักที่เธอให้ฉันยิ่งใหญ่ กว่าจักรวาล

ไม่เป็นไรที่รัก หากเป็นเธอฉันพร้อม
ให้รู้ว่าเพื่อเธอฉันจะยอม ฉันจะยอมให้เธอคนเดียว
ต่อให้นานเพียงไหน ต่อให้ไกลกว่านั้น ฉันจะไปให้ถึงสักวัน
เมื่อรักที่เธอให้ฉันยิ่งใหญ่ กว่าจักรวาล",bird_thongchai
กำแพง,/music/thailyric/14111,"ถ้าเคยพบเจอ กำแพงที่ดูทั้งใหญ่และสูงชัน
เธอรู้หรือยัง ว่าคนสร้างมัน คือฉันเอง
หลบให้ใจได้พัก ฉันท้อเพราะรักที่ตามหา ไม่มีให้คว้า

และในทุกวัน ก็ฟังที่ใครเขาเตือนเขาชี้นำ
ที่ยังไม่เจอ อาจเป็นที่ยังไม่ตาม ถึงเส้นชัย
จากกำแพงตรงนี้ มีรักที่ดีอยู่ทางไหน ก็ยังสับสน

ตามมาไกล แต่มันยังคงอีกไกล ฉันนั้นควรพอดีไหม
กลัวจะเอาแรงพลังครั้งสุดท้ายที่มี ไปแลกกับความเสียใจ
ที่ว่าไม่เคย มีใคร รอฉันที่ตรงปลายทาง

ได้ฟังเสียงเพลง บอกว่าต้องพอเสียทีกับรักนี้
แต่ก็ตามด้วยเพลง อย่ากลัวจะรักถ้ายังมีหัวใจ
ผิดหรือถูกอันไหน ให้ฉันได้เชื่อกับสิ่งใด โปรดบอกกับฉัน

อ่านดูวิธี จะเอาชนะหัวใจของฉันเอง
แต่ก็เจอวิธี จะเอาชนะหัวใจคนอื่น ข้างๆ กัน
เลยไม่รู้ ต้องแพ้หรือชนะจะได้เจอ กับเธอคนนั้น

ตามมาไกล แต่มันยังคงอีกไกล ฉันนั้นควรพอดีไหม
กลัวจะเอาแรงพลังครั้งสุดท้ายที่มี ไปแลกกับความเสียใจ
ที่ว่าไม่เคย มีใคร รอฉันที่ตรงปลายทาง

ถ้าได้รู้ว่ารักแท้รอตรงนั้น ฝันไว้สักวันอยากเห็น
เอื้อมไม่ถึงขอแค่ใกล้ขึ้นอีกเพียงก้าวหนึ่ง
จะเดินเข้าไปแม้เป็นก้าวสุดท้ายก่อน
ขาดใจ ยังไงจะไม่เสียดาย

ตามมาไกล แต่มันยังคงอีกไกล ฉันนั้นควรพอดีไหม
กลัวจะเอาแรงพลังครั้งสุดท้ายที่มี ไปแลกกับความเสียใจ
ที่ว่าไม่เคย มีใคร รอฉันที่ตรงปลายทาง

ถ้าได้รู้ว่ารักแท้รอตรงนั้น ฝันไว้สักวันอยากเห็น
เอื้อมไม่ถึงขอแค่ใกล้ขึ้นอีกเพียงก้าวหนึ่ง
จะเดินเข้าไปแม้เป็นก้าวสุดท้ายก่อน
ขาดใจ ยังไงจะไม่เสียดาย

ฉันนั้นควรพอดีไหม
ฉันนั้นไม่เสียดาย",bird_thongchai
ชีวิตเดี่ยว,/music/thailyric/13796,"อยู่ตรงนี้แค่เพียงลำพัง
กับความเหงาที่เป็นดั่งเงา
ผ่านมานานแต่ยังไงก็ยังไม่ชินสักที
อยู่ตรงนี้ไปแต่ละวัน
ปล่อยเวลาให้ช่วยบรรเทา
ความอ้างว้าง แต่ยังไงก็เป็นอย่างเดิม

คือรอคอย กับคำถามที่ยังค้างคาในใจ
รอต่อไป แต่อยากรู้ว่าฉันต้องรออีกนานแค่ไหน

ความเดียวดายเมื่อไรจะหาย
เมื่อไรพรุ่งนี้จะมีความหมาย
บนทางที่ว่างเปล่า
อีกไกลแค่ไหนถึงจุดหมาย
ความเดียวดายยังคอยทำร้าย
หวังเพียงพรุ่งนี้เป็นวันสุดท้าย
มีไหมสักคนหนึ่ง เข้ามาเปลี่ยน
ชีวิตเดี่ยวให้หายไป

ผ่านมาแล้วไม่รู้กี่ครั้ง
ที่ตัวฉันต้องคอยผิดหวัง
กับความรัก ที่ยังตามหาไม่เจอสักที
แต่ว่าฉันยังไม่หมดหวัง
และก็เชื่อต้องเจอสักวัน
ใครคนนั้น ที่เกิดมาเคียงคู่ฉัน

คือรอคอย กับคำถามที่ยังค้างคาในใจ
รอต่อไป แต่อยากรู้ว่าฉันต้องรออีกนานแค่ไหน

ความเดียวดายเมื่อไรจะหาย
เมื่อไรพรุ่งนี้จะมีความหมาย
บนทางที่ว่างเปล่า
อีกไกลแค่ไหนถึงจุดหมาย
ความเดียวดายยังคอยทำร้าย
หวังเพียงพรุ่งนี้เป็นวันสุดท้าย
มีไหมสักคนหนึ่ง เข้ามาเปลี่ยน
ชีวิตเดี่ยวให้หายไป

ความเดียวดายเมื่อไรจะหาย
เมื่อไรพรุ่งนี้จะมีความหมาย
บนทางที่ว่างเปล่า
อีกไกลแค่ไหนถึงจุดหมาย
ความเดียวดายยังคอยทำร้าย
หวังเพียงพรุ่งนี้เป็นวันสุดท้าย
มีไหมสักคนหนึ่ง เข้ามาเปลี่ยน
ชีวิตเดี่ยวให้หายไป

มีไหมสักคนหนึ่ง เข้ามาเปลี่ยน
ชีวิตเดี่ยวให้หายไป

สักคนหนึ่ง",bird_thongchai
ผู้ต้องหา,/music/thailyric/13825,"แค่ตัวคนเดียวไม่ตายล่ะมั้ง
ถามใจกี่ครั้งก็ยังไม่รีบมีคนรู้ใจ
แค่เพียงอยากโสดให้นานกว่านี้
รู้ตัวเข้าอีกที ทั้งชีวิตนี้ก็ไม่เหลือใคร

มองดูเขามีความสุขกัน
เหงาจนฉันจะทนไม่ไหว

รักวันนี้ฉันเพิ่งเข้าใจ
เธออยู่ที่ไหนฉันต้องการแค่เธอ
ไม่ว่าต้องบุกน้ำลุยไฟก็ไม่หวั่น
ฉันก็พร้อมที่จะเจอ
จะขอเป็นผู้ที่ต้องตามหาเธอเรื่อยไป

คนที่ฉันนั้นมองอยู่ทุกๆ วันน่ะใช่รึป่าว
คนที่ฉันนั้นคุยอยู่ทุกๆ วันน่ะใช่รึป่าว
คนที่ยิ้มให้กันอยู่ทุกๆ วันน่ะใช่อ่ะป่าว
คนที่รักฉันอยู่ไหน

คนที่เค้าต้องการให้ฉันเข้าใจอยู่นี่รึป่าว
คนที่เค้าต้องการให้คิดถึงกันอยู่นี่รึป่าว
คนที่เค้าต้องการให้ฉันรักจริงอยู่นี่อ่ะป่าว
เป็นผู้ต้องหาต่อไป

เพราะความประมาทในคำว่ารัก
ช้ำใจยิ่งนักไม่เคยจะคิดดูแลหัวใจ
ขอเพียงโอกาสให้ฉันสักครั้ง
ไม่ทำให้ผิดหวังจะมีแค่เธอทุกลมหายใจ

มองดูเขามีความสุขกัน
เหงาจนฉันจะทนไม่ไหว

รักวันนี้ฉันเพิ่งเข้าใจ
เธออยู่ที่ไหนฉันต้องการแค่เธอ
ไม่ว่าต้องบุกน้ำลุยไฟก็ไม่หวั่น
ฉันก็พร้อมที่จะเจอ
จะขอเป็นผู้ที่ต้องตามหาเธอเรื่อยไป

คนที่ฉันนั้นมองอยู่ทุกๆ วันน่ะใช่รึป่าว
คนที่ฉันนั้นคุยอยู่ทุกๆ วันน่ะใช่รึป่าว
คนที่ยิ้มให้กันอยู่ทุกๆ วันน่ะใช่อ่ะป่าว
คนที่รักฉันอยู่ไหน

คนที่เค้าต้องการให้ฉันเข้าใจอยู่นี่รึป่าว
คนที่เค้าต้องการให้คิดถึงกันอยู่นี่รึป่าว
คนที่เค้าต้องการให้ฉันรักจริงอยู่นี่อ่ะป่าว
เป็นผู้ต้องหาต่อไป

มองดูเขามีความสุขกัน
เหงาจนฉันจะทนไม่ไหว

รักวันนี้ฉันเพิ่งเข้าใจ
เธออยู่ที่ไหนฉันต้องการแค่เธอ
ไม่ว่าต้องบุกน้ำลุยไฟก็ไม่หวั่น
ฉันก็พร้อมที่จะเจอ
จะขอเป็นผู้ที่ต้องตามหาเธอเรื่อยไป

คนที่ฉันนั้นมองอยู่ทุกๆ วันน่ะใช่รึป่าว
คนที่ฉันนั้นคุยอยู่ทุกๆ วันน่ะใช่รึป่าว
คนที่ยิ้มให้กันอยู่ทุกๆ วันน่ะใช่อ่ะป่าว
คนที่รักฉันอยู่ไหน

คนที่เค้าต้องการให้ฉันเข้าใจอยู่นี่รึป่าว
คนที่เค้าต้องการให้คิดถึงกันอยู่นี่รึป่าว
คนที่เค้าต้องการให้ฉันรักจริงอยู่นี่อ่ะป่าว
เป็นผู้ต้องหาต่อไป",bird_thongchai
พี่เปิดให้,/music/thailyric/14006,"ตาเอาแต่ปิดไว้ ไม่ยอมมอง
เราคงไม่ได้เห็น ของดีดี
หูเอาแต่ปิดไว้ ไม่ฟังดู
เราคงไม่ได้รับรู้ เรื่องดีดี

ใครๆ ก็มีกำแพง อยู่ข้างในใจทั้งนั้น
มาเลย เรามารวมกัน เรามาพังมัน ดูสักที
วันวาน มันจะเป็นไง ไม่ต้องใส่ใจทั้งนั้น
มาเริ่มกันตรงนี้

Get it out มาเลยพวกเรา
พี่เปิดให้แล้ว ไปลุยด้วยกันเลย
ทิ้งความกลัวออกมา และกล้าจะเป็นคนใหม่
Get it out แค่ให้หัวใจ เราเปิดได้แล้ว
ไปลองด้วยกันเลย เริ่มก้าวแรกออกมา
มองหาโลกใบใหม่ โลกที่กว้างใหญ่

เวลาไม่มีเหลือ ให้ลังเล
ทางเดียวคือต้องทุ่มเททั้งใจ
เวลาไม่มีเหลือ ให้งอแง
ใครที่อ่อนแอก็แพ้ ทุกคนไป

พุ่งทะยานออกไป และไม่หันกลับมามอง
ถ้าคิดที่จะมาหยุด มันคงยากไม่ต้องลอง
หนทางข้างหน้าไม่ใช่เงินและไม่ใช่ทอง
แต่มันคือความฝันที่เรานั้นอยากจะครอง
เสียงปืนแห่งความกล้า ดังลั่น
ถึงเวลา It's time to run
อุปสรรค เราจะฝ่าฝัน ความกลัวแน่จริงก็มาเด้

ล้มแล้วก็ลุก แล้วก็ลุกแล้วก็ล้ม
อาจจะเจ็บช้ำ อาจจะยอก อาจจะซ้น
แต่ว่าบาดแผลมันก็เหมือนกับยาขม
ทำให้เราแกร่งแม้ไม่หวานเหมือนขนม

Get it Get it out หมดเวลารอ
หมดเวลากลัวทิ้งออกไป right now
Get it Get it out สร้างตำนานเอาไว้
ให้เป็นเรื่องเล่า right now

Get it out มาเลยพวกเรา
พี่เปิดให้แล้ว ไปลุยด้วยกันเลย
ทิ้งความกลัวออกมา และกล้าจะเป็นคนใหม่

Get it out แค่ให้หัวใจ เราเปิดได้แล้ว
ไปลองด้วยกันเลย เริ่มก้าวแรกออกมา
มองหาโลกใบใหม่ โลกที่กว้างใหญ่

Get it out แค่ให้หัวใจ เราเปิดได้แล้ว
ไปลองด้วยกันเลย เริ่มก้าวแรกออกมา
มองหาโลกใบใหม่ โลกที่กว้างใหญ่",bird_thongchai
สิ้นสุดคือจุดเริ่มต้น,/music/thailyric/14179,"จบลงแล้วใช่ไหม เรื่องราว ที่เธอเคยได้วาดเอาไว้
เข้าใจที่เธอต้องเสียใจ ให้ทำยังไง
เมื่อฝันต้องร่วงต้องหล่น ดั่งใบไม้ ลอยคว้างลงดิน
ร่ำร้องคร่ำครวญ เหมือนคน จะเป็นจะตาย
แต่ความเป็นจริง รู้ไหมว่าเธอยังไม่ตาย

สุดท้ายความทรมาน ไม่นานต้องผ่านพ้นไป
ความฝันวันนี้ แม้สิ้นสุด แต่เธอต้องก้าวไป
ในวันนี้อาจไร้กำลัง ความหวังจะพาให้เธอไปเจอจุดหมาย
หัวใจของคน มันล้มก็เพื่อจะลุกแล้วเดินต่อไป

สิ่งหนึ่งสิ้นสุดลง ก็เพื่อให้สิ่งหนึ่งเริ่มต้นต่อไป
ยังมีอะไรอีกมากมาย บนทางยาวไกล

ใบไม้ต้องร่วงต้องหล่น อีกกี่ครั้ง เพียงฝนโปรยปราย
ความฝันก็ยังงอกงาม อยู่ภายในใจ
ก็ความเป็นจริง หัวใจของเธอ แค่ผลัดใบ

สุดท้ายความทรมาน ไม่นานต้องผ่านพ้นไป
ความฝันวันนี้ แม้สิ้นสุด แต่เธอต้องก้าวไป
ในวันนี้อาจไร้กำลัง ความหวังจะพาให้เธอไปเจอจุดหมาย
หัวใจของคน มันล้มก็เพื่อจะลุกแล้วเดินต่อไป

แม้ว่าฟ้ามันยังมืดมิด ดวงอาทิตย์ไม่นานต้องย้อนมา
เพียงแค่รอเวลา แผ่นฟ้าจะงามอย่างเดิม

สุดท้ายความทรมาน ไม่นานต้องผ่านพ้นไป
ความฝันวันนี้ แม้สิ้นสุด แต่เธอต้องก้าวไป
ในวันนี้อาจไร้กำลัง ความหวังจะพาให้เธอไปเจอจุดหมาย
ความหมายของคน เราล้มก็เพื่อจะลุกแล้วเดินต่อไป

หยัดยืนลุกขึ้นอีกครั้ง แล้วเดินต่อไป",bird_thongchai
ช่วยรับที,/music/thailyric/3108,"ก็เพราะเธอไม่ฟังสักครั้ง
เพราะเธอไม่ฟังที่ฉันจะพูดจา
ก็มีเหตุผลปนกับคำว่ารัก
ไม่งั้นเราจะเหนื่อยยิ่งนัก ไม่นานก็ล้า

แต่กดไปหา เมื่อไหร่เธอไม่รับเลย
ยิ่งเธอเฉย ฉันเองก็ยิ่งล้า
ฝากข้อความไว้ ไม่มีคำตอบเรื่อยมา
ได้แต่เพียงโทร โทรอีกทีเรื่อยไป

หากตรงนั้น มีใครใจดี ได้ยินเสียงนี้ดัง
บอกเจ้าของเครื่องนี้ให้รับมันสักครั้งได้ไหม
หรือจะปล่อยให้ดัง อยู่อีกนานเท่าไร
ช่วยทำให้เธอใจอ่อน และเข้าใจ ช่วยรับที

อย่างน้อยถ้าหากเธอไม่รัก
หรือเธอเปลี่ยนใจไปแล้ว ก็พูดหน่อย
ก็จะได้รู้ว่าต้องจบกันแล้ว
หรือว่าต้องอยู่ตรงนี้ ต้องรอเฝ้าคอย

แต่กดไปหา เมื่อไหร่เธอไม่รับเลย
ยิ่งเธอเฉย ฉันเองก็ยิ่งล้า
ฝากข้อความไว้ ไม่มีคำตอบเรื่อยมา
ได้แต่เพียงโทร โทรอีกทีเรื่อยไป

หากตรงนั้น มีใครใจดี ได้ยินเสียงนี้ดัง
บอกเจ้าของเครื่องนี้ให้รับมันสักครั้งได้ไหม
หรือจะปล่อยให้ดัง อยู่อีกนานเท่าไร
ช่วยทำให้เธอใจอ่อน และเข้าใจ

หากตรงนั้น มีใครใจดี ได้ยินเสียงนี้ดัง
บอกเจ้าของเครื่องนี้ให้รับมันสักครั้งได้ไหม
หรือจะปล่อยให้ดัง อยู่อีกนานเท่าไร
ช่วยทำให้เธอใจอ่อน และเข้าใจ
..ช่วยรับที",bird_thongchai
น้ำตา,/music/thailyric/3121,"ก็คนธรรมดาไม่ใช่เทวดา
ไม่อาจฝืนด้วงชะตากำหนดมาให้แพ้พ่าย
ต้องพบเวลาที่เหน็บหนาว
วันคืนที่แสนเศร้า อย่างหลีกเลี่ยงไม่ได้
ในคืนนี้ หากว่ากำลังเจอ
เรื่องราวใดที่เธอ ไม่อาจผ่านพ้นข้ามไป
เธอยังจะต้องเก็บรักษา หยดน้ำตาเอาไว้ทำไม

ปลดปล่อยอารมณ์ร้าวราน ผิดหวังภายในใจที่มี
ตามลำพังคืนนี้ ไม่จำเป็นต้องซ่อนไว้
คนเราจะมีน้ำตา อาจไม่ใช่คนอ่อนแอเสมอไป
ปล่อยน้ำตาให้ไหลใช้มันอยู่เป็นเพื่อนเธอ

เธอจะฝืนใจ ปิดบังไม่ให้รู้
ทำเป็นคนเข้มแข็ง ให้ใครคนอื่นดู
อาจจะตบตาใครต่อใครได้
แต่ที่จริงข้างในของเธอก็รู้ดีอยู่
ก็ปล่อยมันให้โอกาสมันสักครั้ง
อย่าให้ถึงวันนั้นที่ล้นจนมันเก็บไว้ไม่อยู่
ให้เวลาวันนี้เธอแพ้ได้ จนถึงวันต่อไปค่อยลุกขึ้นสู้

ปลดปล่อยอารมณ์ร้าวราน ผิดหวังภายในใจที่มี
ตามลำพังคืนนี้ ไม่จำเป็นต้องซ่อนไว้
คนเราจะมีน้ำตา อาจไม่ใช่คนอ่อนแอเสมอไป
ปล่อยน้ำตาให้ไหล ใช้มันอยู่เป็นเพื่อนเธอ

หากใจเจ็บช้ำอย่างนี้ ปล่อยไปก็คงไม่ดี
น้ำตามันก็มี หน้าที่เอาไว้ล้างใจ
ใช้มันชำระความทรงจำ ให้วันพรุ่งนี้ของเธอสดใส
จะเธอจะเขาจะฉัน ก็เป็นด้วยกันทั้งนั้น
เหมือนกันไม่ว่าเข้มแข็ง เพียงใด
ต้องเจอกับวันเวลา ที่ใจต้องพึ่งพา น้ำตาชำระหัวใจ

ปลดปล่อยอารมณ์ร้าวราน ผิดหวังภายในใจที่มี
ตามลำพังคืนนี้ ไม่จำเป็นต้องซ่อนไว้
คนเราจะมีน้ำตา อาจไม่ใช่คนอ่อนแอเสมอไป
ปล่อยน้ำตาให้ไหลใช้มันอยู่เป็นเพื่อนเธอ

ปลดปล่อยอารมณ์ร้าวราน ผิดหวังภายในใจที่มี
ตามลำพังคืนนี้ ไม่จำเป็นต้องซ่อนไว้
คนเราจะมีน้ำตา อาจไม่ใช่คนอ่อนแอเสมอไป
ปล่อยน้ำตาให้ไหลใช้มันอยู่เป็นเพื่อนเธอ",bird_thongchai
มีแต่คิดถึง,/music/thailyric/3132,"เหม่อมองไกล ไปถึงดาว
ที่เคยจองเป็นดาวของเรา
ก็ยังคงอยู่ที่เดิมให้พบเจอ
อยู่ตรงนี้มองเห็นดาว
และดวงดาวคงมองเห็นเธอ
อย่างน้อยเราอยู่ใต้ดาวดวงเก่าเดียวกัน

หวังว่าเธอคงสุขดี
อยู่ตรงนั้นเจอสิ่งดีดี
ฉันคงมีเพียงสิ่งเดียวทุกวัน

มีแต่คิดถึง มีแต่คิดถึง
อยู่ทุกครั้งที่มองดาว
มีแต่คิดถึง มีแต่คิดถึง
เรื่องวันวานและฝันของเรา
มีแต่คิดถึง มีแต่คิดถึง
และบ่อยครั้งก็ทำให้เหงา
คิดถึงเธอ....คิดถึงเธอ

หวังว่าเธอคงสุขดี
อยู่ตรงนั้นเจอสิ่งดีดี
ฉันคงมีเพียงสิ่งเดียวทุกวัน

มีแต่คิดถึง มีแต่คิดถึง
อยู่ทุกครั้งที่มองดาว
มีแต่คิดถึง มีแต่คิดถึง
เรื่องวันวานและฝันของเรา
มีแต่คิดถึง มีแต่คิดถึง
และบ่อยครั้งก็ทำให้เหงา
คิดถึงเธอ....คิดถึงเธอ

เฝ้าแต่คิดถึง ได้แต่คิดถึง
สิ่งที่สองเราเคยมี
เฝ้าแต่คิดถึง ได้แต่คิดถึง
นึกทีไรก็ยิ้มทุกที

มีแต่คิดถึง มีแต่คิดถึง
อยากให้เธอได้อยู่ตรงนี้
คิดถึงเธอ....คิดถึงเธอ
คิดถึงเธอ....คิดถึงเธอ",bird_thongchai
