song_name,href,lyric,artist
กอดครั้งสุดท้าย,/music/thailyric/12518,"อ้ายผิดมากใช่ไหม
จนนางต้องมาทิ้งอ้าย
อยากขอคืนใจ แล้วไปกับเขา
เฮาเลิกกันได้ไหม
คือคำที่เธอเอ่ยเว้า
อยากสิไปกับเขา
อ้ายขอจักอย่าง ให้ฮู้ว่ายังฮัก

กอดเจ้าครั้งสุดท้าย
กอดเอาไว้ ก่อนใครสิพาเจ้าหนี
เพราะใจดวงนี้ยังรักเธอมาก
มือข้างขวาลูบหลังเบา เบา
คลายกอดเจ้าแล้วหอมที่หน้าผาก
ลาก่อนที่รักอ้ายฮักน้องเด้อ

ย่อนว่าฮักหมดใจ
เกิดมาบ่เคยร้องไห้
บ่เคยเสียใจอะไรขนาดนี้
อ้ายบ่คึดบ่ฝัน นิทานสิจบจั่งซี่
อยากสิไปอีหลี ให้ฮู้ไว้เด้อนาง
อ้ายยังบ่หมดฮัก

กอดเจ้าครั้งสุดท้าย
กอดเอาไว้ ก่อนใครสิพาเจ้าหนี
เพราะใจดวงนี้ยังรักเธอมาก
มือข้างขวาลูบหลังเบา เบา
คลายกอดเจ้าแล้วหอมที่หน้าผาก
ลาก่อนที่รักอ้ายฮักน้องเด้อ
อ้ายฮักน้องเด้อ

กอดน้องครั้งสุดท้าย
กอดเอาไว้ ต่อไปให้ลืมน้องสา
ยื่นผ้าเช็ดหน้าให้อ้ายผืนหนึ่ง
อยากขอบคุณที่อ้ายกอดกัน
น้องยอมรับว่ามันสุดซึ้ง
แม้ยังคิดถึงแต่ฮักบ่ได้แล้ว

กอดน้องครั้งสุดท้าย
กอดเอาไว้ ต่อไปเบิ่งแยงเจ้าของ
ความฮักเฮาสองมันจบลงแล้ว
อ้ายอยากให้เจ้าหวนคืนมา
เบิ่งสายตาคงบ่มีแวว
มันจบลงแล้ว เหลือเพียง
กอดครั้งสุดท้าย",ble_patumrach
กู๊ดไนท์ จุ๊บ จุ๊บ,/music/thailyric/19930,"กู๊ดไนท์ กู๊ดไนท์ กู๊ดไนท์

แค่ได้ฮู้ว่ามื้อนี้อ้ายยังมีเธอ ก็พร้อมสิเจอกับทุกปัญหา
สิได้พ้ออีกกี่ความเหนื่อยล้า บ่คิดย่าน
แม้มื้อนี้สองเฮาต้องไกลกัน แต่เธอยังเป็นคนสำคัญ
ที่อยู่ในหัวใจของอ้าย ตลอดเวลา

และอ้ายยังกอดเอาไว้ทุกคำสัญญา
แม้นบ่ได้พ้อหน้า
อ้ายก็ฮู้อยู่ว่าความฮักนั้นอยู่กับไผ

กินข้าวแลงแหล่วไป่ เฮ็ดงานเมื่อยบ่
ก่อนสินอนก็ฟ่าวมาถ่าอยู่หน้าจอ
ฮู้บ่น้อว่าอ้ายคิดฮอดหลาย

หลับตาลงก็ยังคงฝันเห็นคนไกล
ก่อนสินอนกะขอแค่ได้บอกกู๊ดไนท์
จุ๊บๆ ฝันดี อ้ายก็มีแฮง

มื้อนี้เจ้าเฮ็ดงานเหนื่อยบ่
ฮู้บ่น้อว่าเลิฟยู และคิดฮอดหลาย
ก่อนสินอนก็ขอได้แค่โทรไป
กู๊ดไนท์ จุ๊บๆ ฝันดี เด้อหล่า
โอ๊ย โอ๊ยเด๊น้อ

และทุกปัญหาเวลาที่เรานั้นอยู่ไกลแสนไกล
แค่ได้ยินเสียงลมหายใจ
มันกะซ่อยให้อ้าย โอ๊ย ได้บรรเทา

และทุกรอยยิ้มของอ้ายยังเกิดจากความฮักเฮา
ที่วางอยู่ข้างใจของเจ้า แพงไว้ให้อ้ายแหน่เด้อหล่า

กินข้าวแลงแหล่วไป่ เฮ็ดงานเมื่อยบ่
ก่อนสินอนก็ฟ่าวมาถ่าอยู่หน้าจอ
ฮู้บ่น้อว่าอ้ายคิดฮอดหลาย

หลับตาลงก็ยังคงฝันเห็นคนไกล
ก่อนสินอนกะขอแค่ได้บอกกู๊ดไนท์
จุ๊บๆ ฝันดี อ้ายก็มีแฮง

มื้อนี้เจ้าเฮ็ดงานเหนื่อยบ่
ฮู้บ่น้อว่าเลิฟยู และคิดฮอดหลาย
ก่อนสินอนก็ขอได้แค่โทรไป
กู๊ดไนท์ จุ๊บๆ ฝันดี เด้อหล่า
โอ๊ย โอ๊ยเด๊น้อ

แค่ได้ฮู้ว่ามื้อนี้อ้ายยังมีเธอ โอ โอ้ โอ้ว
สิได้พ้ออีกกี่ความเหนื่อยล้า
บ่คิดย่าน คึดฮอดหลาย

หลับตาลงก็ยังคงฝันเห็นคนไกล
ก่อนสินอนกะขอแค่ได้บอกกู๊ดไนท์
จุ๊บๆ ฝันดี อ้ายก็มีแฮง

มื้อนี้เจ้าเฮ็ดงานเหนื่อยบ่
ฮู้บ่น้อว่าเลิฟยู และคิดฮอดหลาย
ก่อนสินอนก็ขอได้แค่โทรไป
กู๊ดไนท์ จุ๊บๆ ฝันดี เด้อหล่า

กู๊ดไนท์ จุ๊บๆ ฝันดี เด้อหล่า

กู๊ดไนท์ จุ๊บ จุ๊บ ฝันดีจ้า",ble_patumrach
กูลืมเขาแล้ว,/music/thailyric/17068,"เพื่อนเอ๋ย กูมีเรื่องจะปรึกษา
เรื่องมีอยู่ว่า แฟนเก่ามาขอคืนดี
เขาถามว่ากูยังรักเขาไหม
จำเรื่องของเฮาได้ไหม
แต่กูเสือกลืมไปหมดแล้ว

กูจำบ่ได๋แล้วว่ากูกับเขา
ฮักกันวันแรกเป็นวันอาทิตย์
แต่กูเลือกคนผิด เขาทำหัวใจกูพังเพ
กูจำบ่ได้แล้วว่ากูกับเขา
กะเลิกกันมา 4 เดือนแล้วเด้
กูจำหยังบ่ได้ แหวนคู่ของกูคือแหวนเงิน
กูจำบ่ได๋แล้ววันวาเลนไทน์
เคยให้ดอกไม้กุหลาบดอกนั้น
เสื้อคู่ของเฮา เป็นสีชมพูลายดอกไม้
กูจำบ่ได้แล้ว
ว่ากูกับเขาฮักกันจนว่าสิตายแทนได้
มึงเชื่อกูไหม มึงเชื่อกูใช่ไหม
กูไม่ได้รักเขา

เพื่อนเอ๋ยอย่าหลอกกันเลยหัวใจ
มึงหลอกเจ้าของบ่ได้
แววตาของมึงมันฟ้อง
กูรู้ว่ามึงก็ยังรักเขา
ปากแข็งแต่ใจแสนเศร้า
มึงควรบอกเขาตรงๆ

มึงบ่เคยลืมว่ามึงกับเขา
ฮักกันวันแรกคือวันอาทิตย์
ไม่รู้ว่าใครผิด สุดท้ายหัวใจมึงพังเพ
มึงบ่เคยลืมว่ามึงกับเขา
นั้นเลิกกันมา 4 เดือนแล้วเด้
แต่มึงดันจำได้แหวนคู่ของมึงคือแหวนเงิน
มึงบ่เคยลืมวันวาเลนไทน์
เคยให้ดอกไม้กุหลาบกับเขา
เสื้อคู่อันเก่า เป็นสีชมพูลายดอกไม้
มึงบ่เคยลืมว่ามึงกับเขา
ฮักกันจนว่าสิตายแทนได้
มึงเชื่อกูไหม มึงเชื่อกูได้ไหม
มึงเชื่อกูไหม กูเชื่อมึงแล้ว
กูควรกลับไปหาเขา",ble_patumrach
ความในใจ,/music/thailyric/15476,"หากมีใคร คนนั้น เขาทำใจนางให้เปลี่ยน
เปลี่ยนแปรไป จากใจ เพราะใจเจ้าทำให้เศร้า
บอกความจริงฝากไป ของใจใครคนหนึ่ง
คอยคะนึงรำพึงแต่เธอ

หากไปดี มีรัก รักจงมั่นคงแน่นอน
หากคลายคลอน จากลา น้ำตาเจ้าคงล้นเอ่อ
บอกความจริงเถิดหนา อ้ายมาเอาใจเพียงเธอ
คอยพบเจอละเมอเหม่อหา

หากวันนี้ เขาคงเฮ็ดเจ้าผิดหวัง
หากวันนั้น อ้ายยังมีชีวิตอยู่
สิดูแลปลอบใจ ให้เธอลืมความหลัง
ใจอ้ายยังคอยเธอไม่ห่าง

จดจำคำ (โปรดจำ) คำนี้ (คำนี้)
อ้ายมีคำเดียวที่บอก
ออกจากใจ (ฝากไป) ฝากกาย (ฝากใจ)
มิคลายดวงใจไหวหวั่น สิรอคอยแต่เธอ
รักเธอเธอคงมั่น คอยนับวันให้เธอกลับมา

สิ่งที่บอกออกไปย้อนว่าในใจมันซึมเศร้า
ทุกๆ มื้ออ้ายน้ำตาไหลย้อนความในใจคิดฮอดเจ้า
ถึงมื้อนี้สิเลือกเขาแล้วทิ่มอ้ายบ่ได้ว่า
แต่อยากให้ฮู้ว่าโดนซัมใด๋หัวใจของอ้ายยังห่วงหา

มื้อใด๋ที่เขาทิ่มและมื้อนั้นอ้ายยังบ่ตาย
และอยากให้น้องฮู้อ้ายคอยท่าเจ้าทุกมื้อไป
อ้ายน้ำตาไหล จากความในใจของลูกผู้ชาย
มันยังฮักเจ้าคือเก่าล่ะนางเอ๋ย

หากวันนี้ เขาคงเฮ็ดเจ้าผิดหวัง
หากวันนั้น อ้ายยังมีชีวิตอยู่
สิดูแลปลอบใจ ให้เธอลืมความหลัง
ใจอ้ายยังคอยเธอไม่ห่าง

จดจำคำ (โปรดจำ) คำนี้ (คำนี้)
อ้ายมีคำเดียวที่บอก
ออกจากใจ (ฝากไป) ฝากกาย (ฝากใจ)
มิคลายดวงใจไหวหวั่น จะรอคอยแต่เธอ
รักเธอเธอคงมั่น คอยนับวันให้เธอกลับมา

สิรอ คอยแต่เธอ รักเธอเธอคงมั่น
คอยนับวันให้นางกลับมา",ble_patumrach
ความฮัก,/music/thailyric/16313,"คำว่าฮักมันเกิดขึ้นอยู่ไส
เฮาต้องฝึกยอมรับว่าอาจสิมีความเสียใจ
มันบ่มีหยังได้มาง่ายๆ
ทุกๆ อย่างมันต้องมีหายไปและได้มา

โปรดใช้ชีวิตอยู่ในปัจจุบัน
อย่าไปคิดอย่าไปฝันถึงวันข้างหน้า
อนิจจังทุกขังอนัตตา
โลกนี้บ่มีอีหยังเที่ยงธรรม

สิดูแลความฮักสองเฮาให้ดีที่สุด
ตราบใดที่เฮาสองคนยังอยู่ตรงนี้

อ้ายเริ่มต้นจากคำว่าฮัก
จะสุขจะทุกข์อ้ายก็ยังฮัก
อ้ายสิฮักฮักฮักคนที่เขาฮักอ้าย คือเธอ
ได้โปรดจับมือของอ้ายเอาไว้
ถึงสิฝ่าหุบเขาดงพญาไฟ
ฝ่าอันตราย ทุกข์ยากส่ำได๋
อ้ายสิดูแล เอง

อันขึ้นว่าความฮัก มันมักสิเบิ่งว่าสดใส
บัดเทือมาคบกันแล้ว บางชีวิตคู่ กะเหลวไหล
เพราะว่า โลกนี้มันบ่มีหยังสิได้ดังใจ
มันมีสั้นมันมียาวมันมีขาวมีดำทุกอย่าง

ช่วงที่มีกันให้ดูแลกันและกัน
ให้จับมือกันไว้แล้วพากันไปให้ถึงฝัน
บ่ต้องตั้งต้นสิเป็นนรกหรือว่าสวรรค์
ขอแค่ใจสองใจดูแลตลอดกาล

คำว่าฮักมันเกิดขึ้นอยู่ไส
เฮาต้องฝึกยอมรับว่าอาจสิมีความเสียใจ
มันบ่มีหยังได้มาง่ายๆ
ทุกๆ อย่างมันต้องมีหายไปและได้มา

โปรดใช้ชีวิตอยู่ในปัจจุบัน
อย่าไปคิดอย่าไปฝันถึงวันข้างหน้า
อนิจจังทุกขังอนัตตา
โลกนี้บ่มีอีหยังเที่ยงธรรม

สิดูแลความฮักสองเฮาให้ดีที่สุด
ตราบใดที่เฮาสองคนยังอยู่ตรงนี้

อ้ายเริ่มต้นจากคำว่าฮัก
จะสุขจะทุกข์อ้ายก็ยังฮัก
อ้ายสิฮักฮักฮักคนที่เขาฮักอ้าย คือเธอ
ได้โปรดจับมือของอ้ายเอาไว้
ถึงสิฝ่าหุบเขาดงพญาไฟ
ฝ่าอันตราย ทุกข์ยากส่ำได๋
อ้ายสิดูแล เอง

อ้ายเริ่มต้นจากคำว่าฮัก
จะสุขจะทุกข์อ้ายก็ยังฮัก
อ้ายสิดูแลเธอ",ble_patumrach
คาถาดักใจ 2021,/music/thailyric/21690,"แค่เดินสวนทางเห็นนางแล้วหวั่นไหว
ใจมันสั่งการ ว่าเธอนั้นใช่
หน้าสวยหุ่นบาง เหมือนนางในนิยาย
ถ้าปล่อยไป ชาติใด๋สิเจอแบบนี้

เหมือนโชคชะตา สั่งว่าให้จัดการ
ก่อนสิมีมารแย่งเอาเจ้าไป
รวบรวมความกล้าเดินหน้า แล้ววัดใจ
สิเป็นจั่งใด๋ มื้อนี้ก็ต้องสมหวัง

สิลองใช้วิชาที่ร่ำเรียนมานาน
จากครูอาจารย์สมัยเป็นบ่าว
ต้องฟ่าวเสกคาถา

ยืนดักหน้าสบตาเจ้าไว้
โอมจงติดใจฮักกันพุทธายะ
ลองเบิ่งล่ะหวา
เวทมนต์วิชาคาถาดักใจผู้สาว

ต่อจากนี้กะจงฮักจงหลง
ให้ฮักมั่นคงยืนยงยืนยาว
สุขีจงมีแก่เฮา
ขอให้เจ้าตกเป็นของอ้าย

ฮักกัน พุทธายะ หลงฮักอ้ายซะ
ฮักกัน พุทธายะ ฮักอ้ายเถิดนะ
ฮักกัน พุทธายะ หลงฮักอ้ายซะ
ฮักกัน พุทธายะ โอ้โอมคาถาดักใจ

เหมือนโชคชะตา สั่งว่าให้จัดการ
ก่อนสิมีมารแย่งเอาเจ้าไป
รวบรวมความกล้าเดินหน้า แล้ววัดใจ
สิเป็นจั่งใด๋ มื้อนี้ก็ต้องสมหวัง

สิลองใช้วิชาที่ร่ำเรียนมานาน
จากครูอาจารย์สมัยเป็นบ่าว
ต้องฟ่าวเสกคาถา

ยืนดักหน้าสบตาเจ้าไว้
โอมจงติดใจฮักกันพุทธายะ
ลองเบิ่งล่ะหวา
เวทมนต์วิชาคาถาดักใจผู้สาว

ต่อจากนี้กะจงฮักจงหลง
ให้ฮักมั่นคงยืนยงยืนยาว
สุขีจงมีแก่เฮา
ขอให้เจ้าตกเป็นของอ้าย

ยืนดักหน้าสบตาเจ้าไว้
โอมจงติดใจฮักกันพุทธายะ
โอม วาสนาขอจงเมตตา
น้องหล่าเป็นคู่เคียงกาย

อันที่จริงบ่มีคาถา
บ่มีวิชาอิหยังมากมาย
หากน้องบ่ยังมีใผ่
ลองเปิดใจฮักอ้ายได้บ่

ฮักกัน พุทธายะ หลงฮักอ้ายซะ
ฮักกัน พุทธายะ ฮักอ้ายเถิดนะ
ฮักกัน พุทธายะ หลงฮักอ้ายซะ
ฮักกัน พุทธายะ โอ้โอมคาถาดักใจ",ble_patumrach
คิดฮอดบ้าน,/music/thailyric/21360,"เย้ ซุปบักมี้ ตำบักหุ่งเหิ่ม
หมกฮวก แกงเห็ด
แกงเห็ดเผาะ Yo

คิดฮอดบ้านเด้ คิดฮอดบ้าน

แม่โทรมาตามว่าคิดฮอดบ้านไหม
อยากสิบอกแม่ว่า อยากสิกลับไปเลี้ยงไก่
อยากสิไปเลี้ยงหมู เลี้ยงหมา
เลี้ยวงัว เลี้ยงแมว เลี้ยงหนู
ข่อยคิดฮอดเถียงนาบ้านเฮา
กินหมกปลาซิวอยู่กองขี้เถ้า ปั้นข้าวจี่

อยากสิไปดำนารับจ้าง
บอกเลยที่เว่ามามันบ่แม่นข้ออ้าง
อิพ่ออิแม่ลูกบ่มีเงิน
บอกเลยว่าตอนนี้ลูกเบิ่ดทางสิเดิน

แต่กี้แต่ก่อนฝันฮอดเหล้าสี
แต่ว่าสิ่งที่ได้มาคือ 40 ดีกรี
เช้าแลงนั่งตอกแต่เหล้าขาว
บ่ต้องตามหาดอกพวกผู้แสผู้สาว

โอ้ โอ โอ่ะ โอะ โอ่ย
คิดฮอดบ้านเด้ คิดฮอดบ้าน

หน้าหนาวผ่านมา ธันวาที่แล้ว
อยากสิไปสีข้าวกับพ่อแม่
อยากสิไปเต้นงานรถแห่
อยากสิให้เจ้าเห็นนะ
ข่อยอยากแตแล่นแต
อยากฟ้อนกลองยาว
เต้นใส่เสียงพิณ ฟ้อนใส่เสียงแคน

ลมหนาวพัดมาซูนกาย
คิดฮอดบ้านเฮาอยู่แสนไกล
อยากสิกลับไปส่อยงานพ่อแม่
อยากสิส่อยเจ้านั้น เฮ็ดนาเฮ็ดไฮ

คิดฮอดผู้สาวที่เคยอยู่นำกัน
วันออกพรรษาที่เจ้าเคยเคียงข้างกัน
อ้ายจู๊ดมั้ง อี๊ด ปั๊ง
เจ้าจุดบักกะโพก อ้ายได้ยินเสียงดังตั้ม โย่

ม่วนเด้อพี่น้องเด้อ คิดฮอดบ้าน

แม่โทรมาตามว่าคิดฮอดบ้านไหม
อยากสิบอกแม่ว่า อยากสิกลับไปเลี้ยงไก่
อยากสิไป เลี้ยงหมู เลี้ยงหมา
เลี้ยวงัว เลี้ยงแมว เลี้ยงหนู
ข่อยคิดฮอดเถียงนาบ้านเฮา
กินหมกปลาซิวอยู่กองขี้เถ้า
ปั้นข้าวจี่ กับ แจ่วบอง",ble_patumrach
ซอมทาง,/music/thailyric/22570,"สู้บ่น้อใจ ไหวบ่น้อเฮา
ความเศร้าความเหงาเข้ามาเยือน
บ้านที่เคยอยู่ อู่ที่เคยนอน
ภาพคอยหลอกหลอนย้ำเตือน

จากมาสองปี มาหางานทำ
เวรกรรมกะซ้ำแห่งซ้อน
โรงงานก็ปิด โควิดก็เข้ามา
บุญผลา โอย ยังฮำฮอน

ได้แต่แนมเบิ่งฟ้า ซอมเบิ่งทาง
เส้นที่เคยย่าง จากบ้านมาไกล
เจ้าสิอยู่จังใด๋ คึดฮอดแม่เด้

คือสิซอมทาง หาลูกหล่า
ให้คืนมา อยู่บ้านเฮา
เฮือนน้อยๆ หลังเก่าๆ
หม่องที่เจ้า นั้นเคยอยู่กิน

น้ำตาริน อยู่ในห้องเช่า
เสียงแม่เว่า ผ่านลมให้ได้ยิน
อยากสิคืน เมือสู่ดิน
ถิ่นอีสาน บ้านเคยอยู่

สู้บ่ไหว ใจเริ่มท้อ
แห่งคึดพ้อ ใจแห่งหดหู่
อยากให้ฮู้ ว่าลูก ก็ซอมทาง

ได้แต่แนมเบิ่งฟ้า ซอมเบิ่งทาง
เส้นที่เคยย่าง จากบ้านมาไกล
เจ้าสิอยู่จังใด๋ คึดฮอดแม่เด้

คือสิซอมทาง หาลูกหล่า
ให้คืนมา อยู่บ้านเฮา
เฮือนน้อยๆ หลังเก่าๆ
หม่องที่เจ้า นั้นเคยอยู่กิน

น้ำตาริน อยู่ในห้องเช่า
เสียงแม่เว่า ผ่านลมให้ได้ยิน
อยากสิคืน เมือสู่ดิน
ถิ่นอีสาน บ้านเคยอยู่

สู้บ่ไหว ใจเริ่มท้อ
แห่งคึดพ้อ ใจแห่งหดหู่
อยากให้ฮู้ ว่าลูก ก็ซอมทาง

คือสิซอมทาง หาลูกหล่า
ให้คืนมา อยู่บ้านเฮา
เฮือนน้อยๆ หลังเก่าๆ
หม่องที่เจ้า นั้นเคยอยู่กิน

น้ำตาริน อยู่ในห้องเช่า
เสียงแม่เว่า ผ่านลมให้ได้ยิน
อยากสิคืน เมือสู่ดิน
ถิ่นอีสาน บ้านเคยอยู่

สู้บ่ไหว ใจเริ่มท้อ
แห่งคึดพ้อ ใจแห่งหดหู่
อยากให้ฮู้ ว่าลูก ก็ซอมทาง",ble_patumrach
เด็กบ้านนอก,/music/thailyric/14866,"จากบ้านนอกสู่เมืองฟ้า เดินมาตามหัวใจ
จากตามความฝันที่ใฝ่ หวังว่าต้องได้ดี
บ้านวันนี้เหมือนเดิมไหม ไม่ได้ไปก็หลายปี
ห่วงบางคนที่แสนดี ตอนนี้แม่ทำอะไร

กอดตัวเองเมื่อยามเหงา อุ่นไม่เท่าแม่กอด
เหนื่อยก็ดูรูปแม่ตลอด เหมือนเป็นแรงผลักใจ
พ่อคงดื้อเหมือนเดิมหนอ น้องก็กวนแม่วุ่นวาย
ปล่อยบ้างหนาอย่าเครียดไป ผ่อนคลายซะบ้างดีกว่า

ส่งเงินให้ใช้ได้รับใช่ไหม ใช้ไม่พอบอกหนา
จะซื้อกับข้าวซื้อเสื้อผ้า เอาที่ตามใจแม่
ฝันเป็นจริงเมื่อไร คงได้กลับไปดูแล
เหนื่อยยังไงก็ตามแต่ จะทำให้แม่ภูมิใจ

เด็กบ้านนอกกลางเมืองฟ้า จะไม่เดินหลงทาง
เก็บเอาคำที่แม่ได้สั่ง สอนตัวเองขึ้นใจ
แม้ต้องล้มสักพันหน พร้อมจะทนและสู้ไป
หยิบเอาดาวที่ยิ่งใหญ่เอาไปมอบให้แม่

ส่งเงินให้ใช้ได้รับใช่ไหม ใช้ไม่พอบอกหนา
จะซื้อกับข้าวซื้อเสื้อผ้า เอาที่ตามใจแม่
ฝันเป็นจริงเมื่อไร คงได้กลับไปดูแล
เหนื่อยยังไงก็ตามแต่ จะทำให้แม่ภูมิใจ

ส่งเงินให้ใช้ได้รับใช่ไหม ใช้ไม่พอบอกหนา
จะซื้อกับข้าวซื้อเสื้อผ้า เอาที่ตามใจแม่
ฝันเป็นจริงเมื่อไร คงได้กลับไปดูแล
เหนื่อยยังไงก็ตามแต่ จะทำให้แม่ภูมิใจ

เหนื่อยส่ำได๋ก็ตามแต่ สิเฮ็ดให้แม่ภูมิใจ",ble_patumrach
ตราบนานเท่านาน,/music/thailyric/11884,"ลูกจะจดจำไว้ ลูกเกิดอยู่แผ่นดินไทย
เกิดในยุคสมัย รัชกาลที่ 9
แม้ว่าเกิดชาติไหน ลูกจะขออยู่ใต้ร่มเงา
จะเดินตามรอยเท้า ของพ่อตลอดไป

แสงสว่างบนฟ้า พ่อคงอยู่บนนั้น
อิจฉาบนสวรรค์ ได้เทวดากลับไป
แม้ว่าต่อจากนี้ พ่อจะมองอยู่บนฟ้าไกล
พ่อจะอยู่ในใจ ในใจลูกตลอดกาล

ลูกจะจดจำไว้ ตราบนี้อีกนานเท่านาน
แม้วันคืนพ้นผ่านเนิ่นนานเท่าไร
รัชกาลที่ 9 ลูกเกิดมามีลมหายใจ
เกิดชาติหน้าหนใด ขอเกิดเป็นคนไทย
เป็นลูกของพ่อ

แสงสว่างบนฟ้า พ่อคงอยู่บนนั้น
อิจฉาบนสวรรค์ ได้เทวดากลับไป
แม้ว่าต่อจากนี้ พ่อจะมองอยู่บนฟ้าไกล
พ่อจะอยู่ในใจ ในใจลูกตลอดกาล

ลูกจะจดจำไว้ ตราบนี้อีกนานเท่านาน
แม้วันคืนพ้นผ่านเนิ่นนานเท่าไร
รัชกาลที่ 9 ลูกเกิดมามีลมหายใจ
เกิดชาติหน้าหนใด ขอเกิดเป็นคนไทย
เป็นลูกของพ่อ

แม้ลูกมีน้ำตา พ่อจ๋าอย่าห่วงเลยหนอ
เกิดชาติใดลูกขอ เป็นข้ารองพระบาท
ทุกชาติไป",ble_patumrach
