song_name,href,lyric,artist
ความรักที่ดีที่สุด (The Best Love Ever),/music/thailyric/11662,"เคย อยู่ตรงนี้ด้วยกัน
ในโลกใบเก่าๆ รูปใบเก่าๆ
เดิน ผ่านตรงนั้นที่เรา เคยบอกรักกัน
ภาพวันนั้นไม่เคยจางหาย

เธอจากไปนานสักเท่าไร
แต่สุดท้ายไม่มีอะไรมาแทนเธอได้

รักใครไม่ได้เลย ทำฉันทำทุกอย่าง
แต่ไม่รู้จะลืมเธออย่างไร
แม้ แม้นานสักเท่าไร
คงไม่มีทางใช่ไหม
อยากขอเพียงให้เธอกลับ
มารักกับฉันใหม่อีกครั้งหนึ่ง

เธอ ก็มีชีวิตที่ดี อยู่ตรงนั้น อยู่กับเขา
เธอ และความรักของเรา
เป็นแค่เพียงอดีต
ต้องเก็บเอาไว้ในใจเท่านั้น

เธอจากไปนานสักเท่าไร
แต่สุดท้ายไม่มีอะไรมาแทนเธอได้

รักใครไม่ได้เลย ทำฉันทำทุกอย่าง
แต่ไม่รู้จะลืมเธออย่างไร
แม้ แม้นานสักเท่าไร
คงไม่มีทางใช่ไหม
อยากขอเพียงให้เธอกลับ
มารักกับฉันใหม่อีกครั้งหนึ่ง

กว่าจะรู้เธอมีความหมายมากมายเท่าไร
ก็ต้องเสียเธอไปสักทีอย่างนี้ใช่ไหม
กว่าจะรู้ว่าเธอมีค่าแค่ไหน
ก็ในวันที่ฉันไม่มีใคร จากนี้

รักใครไม่ได้เลย ทำฉันทำทุกอย่าง
ก็ไม่รู้จะลืมเธอได้ไหม
แม้ แม้นานสักเท่าไร
คงไม่มีทางใช่ไหม
อยากขอเพียงให้เธอกลับ
มารักกับฉันใหม่อีกครั้งหนึ่ง",blue_shade
ถ้าเรายังคิดถึงกัน (Meeting Point),/music/thailyric/10500,"ความจำเป็นที่เราต้องเดินทาง ฉันมีเหตุผล
กี่วันสุขล้น ถึงวันต้องจาก
เพิ่งรู้การเฝ้ารอ นั้นมันว่างเปล่า แค่ไหน

วันเวลาผ่านไปปฏิทินนับวันเปลี่ยนผัน
แต่ในใจฉันบอกช้าเกินไป
หลับฝันยังละเมอ ถึงวันได้เจอ

ที่ตรงนั้น เป็นเช่นไร จะเหงาหรือเปล่า
เมื่อเธอหลับตาไร้ดาวมืดมน
หนึ่งใจทุกข์ทน หนึ่งใจของคน ที่ไม่ชิน
ยังคิดถึงเพียงแค่เธอ

ฝัน เราเจอกันในนั้น แค่เราคิดถึงกัน
ก็พบความสุขเสมอ ฉันและเธอ กันและกัน
ไกล กว่าที่ตาจะเห็น กว่าความจริงที่เป็น
อย่างน้อยยังมีความฝัน
พอได้ทำให้คืนอ้างว้าง อีกคืนได้ผ่านพ้นไป

การเดินทางที่นำพาให้เราสองคนห่างไกล
ห่างกันเพียงไหน แค่ระยะทาง
ที่วัดด้วยหัวใจ ก็แค่หลับตา

ที่ตรงนั้น เป็นเช่นไร จะเหงาหรือเปล่า
เมื่อเธอหลับตาไร้ดาวมืดมน
หนึ่งใจทุกข์ทน หนึ่งใจของคน ที่ไม่ชิน
ยังคิดถึงเพียงแค่เธอ

ฝัน เราเจอกันในนั้น แค่เราคิดถึงกัน
ก็พบความสุขเสมอ ฉันและเธอ กันและกัน
ไกล กว่าที่ตาจะเห็น กว่าความจริงที่เป็น
อย่างน้อยยังมีความฝัน
พอได้ทำให้คืนอ้างว้าง อีกคืนได้ผ่านพ้นไป

ฝัน เราเจอกันในนั้น แค่เราคิดถึงกัน
ก็พบความสุขเสมอ ฉันและเธอ กันและกัน
ไกล กว่าที่ตาจะเห็น กว่าความจริงที่เป็น
อย่างน้อยยังมีความฝัน
พอได้ทำให้คืนอ้างว้าง อีกคืนได้ผ่านพ้นไป",blue_shade
ไม่เคยจากไปจริงๆ (Blue Story),/music/thailyric/10653,"วันนี้ ฉันควรจะลืมเธอไปสักที
วันนี้ เธอคงไม่มีทางจะย้อนมา
แต่ใจของฉันก็ยังคง รอเธออยู่เสมอ
ทั้งๆ ที่รู้ไม่มีทางที่เธอนั้นจะย้อนมา

อาจเป็นเพียงแค่คนที่เพ้อเจ้อ
และเป็นเพียงแค่คนที่รักเธอ

แค่อยากจะหนีไปให้ไกลห่าง
แต่ก็ไม่รู้ต้องไกลสักเท่าไร
ยิ่งอยากจะหนีความจริงเท่าไร
มันยิ่งชัดเจนขึ้นทุกที
ไม่อยากจะจำอะไรสักอย่าง
แต่ก็พบว่าเธอไม่เคยจืดจางไปจากฉันเลย
ไม่เคย สักที ฉันคิดถึงเธอ

อยากขอ ให้เธอกับฉันเป็นดังเมื่อก่อน
ให้ได้แก้ไขอะไรที่ได้ทำกับเธอวันนั้น

อาจเป็นเพียงแค่คนที่เพ้อเจ้อ
อาจเป็นเพียงแค่คนที่รักเธอ

แค่อยากจะหนีไปให้ไกลห่าง
แต่ก็ไม่รู้ต้องไกลสักเท่าไร
ยิ่งอยากจะหนีความจริงเท่าใด
มันยิ่งชัดเจนขึ้นทุกที
ไม่อยากจะจำอะไรสักอย่าง
แต่ก็พบว่าเธอไม่เคยจืดจางไปจากฉันเลย
ไม่เคย สักที ฉันคิดถึงเธอ

แค่อยากจะหนีไปให้ไกลห่าง
แต่ก็ไม่รู้ต้องไกลสักเท่าไร
ยิ่งอยากจะหนีความจริงเท่าใด
มันยิ่งชัดเจนขึ้นทุกที
ไม่อยากจะจำอะไรสักอย่าง
แต่ก็พบว่าเธอไม่เคยจืดจางไปจากฉันเลย
ไม่เคย สักที ฉันคิดถึงเธอ",blue_shade
อยากเจอ (Reason Of Loneliness),/music/thailyric/10301,"เขาว่าฝนมันทำให้คนเหงา หรือเพราะฟ้าที่มองช่างว่างเปล่า
ความอ้างว้างมันเกิดจากลมหนาว หรือดาวที่มองดูอ่อนแรง
หรือเพราะเสียงแมลงฤดูร้อน หรือเพราะฟ้ากำลังทอแสงอ่อน
ฉันว่ามันก็อาจไม่มีผล แต่ไม่มีสักคนให้เฝ้ารอ

อยากรู้หรือเปล่า ว่าฉันรู้สึกเหงาเมื่อไร
ก็ไม่ได้บ่อยครั้งมากมาย แค่ตอนที่ไม่มีเธอ

อยากเจอเหลือเกิน ยิ่งคิดถึงเธอเท่าไร
ยิ่งทำให้รู้สึก ว่าขาดเธอแล้วทำให้ฉันทนแทบไม่ไหว
และยิ่งแน่ใจ ที่ทำให้ฉันหวั่นไหว
ไม่ใช่ความเงียบงัน แต่มันคือทุกครั้งที่คิดถึงเธอ

คนที่เหงายังไงก็คงเหงา ไม่ใช่เพราะทะเลที่ว่างเปล่า
ฉันว่ามันไม่เกี่ยวกับลมฝน แต่เพราะมีสักคนให้เฝ้ารอ

อยากรู้หรือเปล่า ว่าฉันรู้สึกเหงาเมื่อไร
ก็ไม่ได้บ่อยครั้งมากมาย แค่ตอนที่ไม่มีเธอ

อยากเจอเหลือเกิน ยิ่งคิดถึงเธอเท่าไร
ยิ่งทำให้รู้สึก ว่าขาดเธอแล้วทำให้ฉันทนแทบไม่ไหว
และยิ่งแน่ใจ ที่ทำให้ฉันหวั่นไหว
ไม่ใช่ความเงียบงัน แต่มันคือทุกครั้งที่คิดถึงเธอ

อยากเจอเหลือเกิน ยิ่งคิดถึงเธอเท่าไร
ยิ่งทำให้รู้สึก ว่าขาดเธอแล้วทำให้ฉันทนแทบไม่ไหว
และยิ่งแน่ใจ ที่ทำให้ฉันหวั่นไหว
ไม่ใช่ความเงียบงัน แต่มันคือทุกครั้งที่คิดถึงเธอ

อยากเจอเหลือเกิน ยิ่งคิดถึงเธอเท่าไร
ยิ่งทำให้รู้สึก ว่าขาดเธอจะให้ฉันอยู่ได้อย่างไร
และยิ่งแน่ใจ ที่ทำให้ฉันหวั่นไหว
ไม่ใช่ความเงียบงัน แต่ฉันเหงาทุกครั้งที่คิดถึงเธอ",blue_shade
เก็บ,/music/thailyric/10615,"เก็บตรงที่เดิม เก็บคำว่าฉันรักเธอ
แต่ฉันฉีกคำว่าเราไม่เข้ากัน คำนั้นทิ้งมันไป
และยังเก็บของขวัญ ที่ไม่เขียนว่าเป็นชิ้นสุดท้าย

จดหมายของเธอ เก็บซองไว้เหมือนเดิม
แต่ฉันขีด ข้อความที่เธอบอกลาฉันทิ้งมันไป
เก็บกุญแจไว้ ซ่อนอยู่ตรงที่เดิมไม่เปลี่ยนแปลง

ฉัน เลือกจะเก็บไว้เพียง ครึ่งเดียวที่งดงาม
ครึ่งหนึ่งที่เป็นดั่งในความฝัน
นั้นยังคงสวยงาม ที่มีเธอข้างกาย ตลอดมา

อยากเก็บไว้แค่เท่านี้พอ เฝ้ารอคอยอีกครึ่งหนึ่งที่ตามหา
อีกครึ่งหนึ่งที่เราไขว่คว้า
และวินาทีนั้น จะไม่ให้จากไป จะเป็นได้ไหม
เก็บไว้เพื่อให้ฉัน ได้เจอวันเวลา ที่งดงาม
เรื่องจริงมันต่างจากฝัน เหลือเกิน
อีกครึ่งเป็นอย่างไร จะสวยงามแค่ไหน อยู่ที่เธอ

ที่เดิมของเรา ที่เราอยู่ด้วยกัน
มุมของเธอ ยังแบ่งมันเอาไว้อยู่อย่างนั้น ไม่เคยเปลี่ยน
เก็บเพียงคำนั้น ที่บอกกันว่าเธอจะกลับมา ไม่มีแล้ว

ฉัน เลือกจะเก็บไว้เพียง ครึ่งเดียวที่งดงาม
ครึ่งหนึ่งที่เป็นดั่งในความฝัน
นั้นยังคงสวยงาม ที่มีเธอข้างกายตลอดมา

อยากเก็บไว้แค่เท่านี้พอ เฝ้ารอคอยอีกครึ่งหนึ่งที่ตามหา
อีกครึ่งหนึ่งที่เราไขว่คว้า
และวินาทีนั้น จะไม่ให้จากไป จะเป็นได้ไหม
เก็บไว้เพื่อให้ฉัน ได้เจอวันเวลา ที่งดงาม
เรื่องจริงมันต่างจากฝัน เหลือเกิน
อีกครึ่งเป็นอย่างไร จะสวยงามแค่ไหน อยู่ที่เธอ

เก็บสิ่งที่เหลือแล้วทิ้งเพื่ออะไร
เรื่องจริงกับความฝัน จะแยกกันอย่างไร
ไม่มีทาง มันไม่เคยไปไหน
ไม่มีทาง เจ็บช้ำเท่าไรก็ตาม สักวันจะผ่านไป

อยากเก็บไว้แค่เท่านี้พอ เฝ้ารอคอยอีกครึ่งหนึ่งที่ตามหา
อีกครึ่งหนึ่งที่เราไขว่คว้า
และวินาทีนั้น จะไม่ให้จากไป จะเป็นได้ไหม
เก็บไว้เพื่อให้ฉัน ได้เจอวันเวลา ที่งดงาม
แต่เรื่องจริงมันต่างจากฝัน เหลือเกิน
อีกครึ่งเป็นอย่างไร จะสวยงามแค่ไหน อยู่ที่เธอ

อีกครึ่งหนึ่งที่เราไขว่คว้า
และวินาทีนั้น จะไม่ให้จากไป จะเป็นได้ไหม
เก็บไว้เพื่อให้ฉัน ได้เจอวันเวลา ที่งดงาม

อีกครึ่งหนึ่งที่เราไขว่คว้า
และวินาทีนั้น จะไม่ให้จากไป จะเป็นได้ไหม
เก็บไว้เพื่อให้ฉัน ได้เจอวันเวลา ที่งดงาม
แต่เรื่องจริงมันต่างจากฝัน เหลือเกิน
อีกครึ่งเป็นอย่างไร จะสวยงามแค่ไหน อยู่ที่เธอ",blue_shade
คนที่ฉันรอ (Changing),/music/thailyric/14134,"มันมีเหตุผลมากมายให้เรามาพบกัน
ความบังเอิญที่ทำให้เราได้เจอกันหรือเปล่า
อาจเป็นเพราะเหตุการณ์ที่ไม่ได้ตั้งใจ
หรืออาจเป็นเพราะอะไรที่เป็นโชคชะตา

มันอาจจะไม่ได้สำคัญสักเท่าไร
ว่าอะไรพาเรามาอยู่ตรงนี้
แต่มีสิ่งหนึ่งที่ในใจฉันรู้ดี
อยากให้เธอเข้าใจในสิ่งนี้

มีหนึ่งเหตุผลที่เธอกับฉัน ควรต้องรักกัน
มันคือเหตุผลที่ใจบอกฉัน ในวันที่พบกัน
ว่าเธอคือทุกสิ่ง ที่เติมเต็มทุกอย่าง
เปลี่ยนแปลงคืนวันเดียวดายที่ฉันมี
เธอทำให้ฉันได้เจอความรัก
ทำให้เข้าใจ ว่าได้มีเธอข้างกันตรงนี้
มันดีเท่าไร เธอเข้ามาเปลี่ยนแปลงชีวิตฉันใหม่
ทำให้เข้าใจ ว่าเธอคือใคร คนที่ใจฉันรอ

จะกี่เหตุผลฉันก็คงไม่สนใจ
ขอแค่ได้มีเธอไปเท่านี้

มันอาจจะไม่ได้สำคัญสักเท่าไร
ว่าอะไรพาเรามาอยู่ตรงนี้
แต่มีสิ่งหนึ่งที่ในใจฉันรู้ดี
อยากให้เธอเข้าใจในสิ่งนี้

มีหนึ่งเหตุผลที่เธอกับฉัน ควรต้องรักกัน
มันคือเหตุผลที่ใจบอกฉัน ในวันที่พบกัน
ว่าเธอคือทุกสิ่ง ที่เติมเต็มทุกอย่าง
เปลี่ยนแปลงคืนวันเดียวดายที่ฉันมี
เธอทำให้ฉันได้เจอความรัก
ทำให้เข้าใจ ว่าได้มีเธอข้างกันตรงนี้
มันดีเท่าไร เธอเข้ามาเปลี่ยนแปลงชีวิตฉันใหม่
ทำให้เข้าใจ ว่าเธอคือใครคนที่ใจฉันรอ

มีหนึ่งเหตุผลที่เธอกับฉัน ควรต้องรักกัน
มันคือเหตุผลที่ใจบอกฉัน ในวันที่พบกัน
ว่าเธอคือทุกสิ่ง ที่เติมเต็มทุกอย่าง
เปลี่ยนแปลงคืนวันเดียวดายที่ฉันมี
เธอทำให้ฉันได้เจอความรัก
ทำให้เข้าใจ ว่าได้มีเธอข้างกันตรงนี้
มันดีเท่าไร เธอเข้ามาเปลี่ยนแปลงชีวิตฉันใหม่
ทำให้เข้าใจ ว่าเธอคือใครคนที่ใจฉันรอ

เธอเข้ามาเปลี่ยนแปลงชีวิตฉันใหม่
เธอคือใครคนที่ใจฉันรอ",blue_shade
ถ้าเธอเหงา (Shall We?),/music/thailyric/17492,"ฉันอยากรู้คนเหงา เขาทำอะไรกันนะ
กินข้าวฟังเพลงคนเดียวรึเปล่า
เหมือนกันรึเปล่ากับฉัน
ฉันอยากรู้เธอนั้น เหงาเหมือนกันกับฉันไหม
แล้วเธอต้องการใครรึเปล่า อยู่คนเดียวรึเปล่า
เผื่อฉันช่วยบรรเทา

และถ้าหากตอนนี้เธอเหงา
ให้ฉันเป็นเพื่อนคุยได้รึเปล่า
ถ้าเหงาถ้าเธอไม่มีใคร ขอได้ไหม
ให้ฉัน อยู่กับเธอได้รึเปล่า

เราออกมาเจอกันดีไหม
มีหนังเรื่องไหนที่อยากดูรึเปล่า
เผื่อความเหงามันจะหายไป
แบบนี้ดีไหม จนกว่า
ใจเธอจะไม่เหงา อยู่กับฉันได้รึเปล่า

ฉันอยากรู้เธอนั้น คิดถึงใครอยู่บ้างไหม
ได้เฝ้ารอใครอยู่บ้างรึเปล่า
เธอมีรึเปล่า คนนั้น
ที่ถามเธอนั้น เพราะฉันเองแค่สงสัย
ก็คิดอะไรในใจเรื่อยไป
ไม่ได้หวังอะไร ทั้งนั้น

แต่ถ้าหากตอนนี้เธอเหงา
ให้ฉันเป็นเพื่อนคุยได้รึเปล่า
ถ้าเหงาถ้าเธอไม่มีใคร ขอได้ไหม
ให้ฉัน อยู่กับเธอได้รึเปล่า

เราออกมาเจอกันดีไหม
มีหนังเรื่องไหนที่อยากดูรึเปล่า
เผื่อความเหงามันจะหายไป
แบบนี้ดีไหม จนกว่า
ใจเธอจะไม่เหงา อยู่กับฉันได้รึเปล่า

ถ้าหากตอนนี้เธอเหงา
ให้ฉันเป็นเพื่อนคุยได้รึเปล่า
ถ้าเหงาถ้าเธอไม่มีใคร ขอได้ไหม
ให้ฉัน อยู่กับเธอได้รึเปล่า

เราออกมาเจอกันดีไหม
มีหนังเรื่องไหนที่อยากดูรึเปล่า
เผื่อความเหงามันจะหายไป
แบบนี้ดีไหม จนกว่า
ใจเธอจะไม่เหงา อยู่กับฉันได้รึเปล่า",blue_shade
ถ้าเรายังรักกัน (Us),/music/thailyric/11051,"เขาว่าความรักมันไม่ใช่เรื่องง่ายดาย
คนเรากว่าจะรักกัน ใช้เวลามากมาย
กว่าจะพบเจอ กว่าจะผูกพัน
ทุกอย่างมีความหมาย

เหมือนที่เรารักกันมันก็ไม่ง่ายดาย
ไม่มีดอกไม้โรยตลอดทางดั่งในนิยาย
เธออาจจะเสียใจ ฉันอาจร้องไห้ มีเวลาที่อ่อนล้า

แต่ตราบใด ที่เรายังรักกันอยู่
มันจะสวยงาม มันคือความหวัง
จะมีแสงสว่างอยู่ที่ตรงนั้น
จะมีรักเรา อบอุ่นในนั้น
ตราบที่ฉันรักเธอและเธอยังรักกัน

เพราะว่าความรัก จะทำได้ทุกๆ อย่าง
ผ่านคืนวัน ที่ปวดร้าว เพียงมีเราเดินร่วมทาง ด้วยกันจากนี้

มันจะสวยงาม มันคือความหวัง
จะมีแสงสว่างอยู่ที่ตรงนั้น
จะมีรักเรา อบอุ่นในนั้น
ตราบที่ฉันรักเธอและเธอยังรักกัน

โปรดจับมือของฉัน แม้วันนี้เธอต้องเจอกับอะไร
ฉันสัญญา ฉันจะรักเธอตลอดไป

ฉันจะไม่เปลี่ยน มันจะสวยงาม
มันคือความหวัง จะมีแสงสว่างอยู่ที่ตรงนั้น
จะมีรักเรา อบอุ่นในนั้น
ตราบที่ฉันรักเธอและเธอยังรักกัน

มันจะสวยงาม มันคือความหวัง
จะมีแสงสว่างอยู่ที่ตรงนั้น
จะมีรักเรา อบอุ่นในนั้น
ตราบที่ฉันรักเธอและเธอยังรักกัน",blue_shade
พอที,/music/thailyric/17318,"ต้องอยู่คนเดียวอีกแล้ว
ทำไมมันต้องเป็นฉันที่ไม่เหลือใคร
ในใจมันมีแต่แผล มีแต่ความเสียใจ
ทำไมต้องเป็นแบบนี้

ต้องเจ็บแบบนี้กี่ครั้ง
ต้องพังอีกสักกี่ที
หรือว่าที่เป็นแบบนี้
เพราะฉันไม่ควรที่จะมีใคร

เพราะเธอก็ทิ้งกันไปง่ายๆ
เพราะเธอปล่อยฉันให้เสียใจ
และเดียวดาย ต้องร้องไห้แบบนี้

ฉันคงจะพอแล้ว ควรพอสักที
อย่าได้ไปรักใครอีก
ยิ่งรักเท่าไรยิ่งเจ็บช้ำแบบนี้
ทุกๆ ที อยากจะหนีไปมันสงสารหัวใจ
ถึงเวลาที่จะรักตัวเองสักที
หากให้ไปสักเท่าไรมันไม่เคยมีค่า
พอกันทีเถอะนะ รักแท้มันแค่ความฝัน
ฉันคงไม่รักใครอีก

ต้องเจ็บต้องช้ำอีกสักเท่าไร
อีกกี่น้ำตาที่ต้องเสียไป มันไม่ไหว

พอแล้ว ควรพอสักที
อย่าได้ไปรักใครอีก
ยิ่งรักเท่าไรยิ่งเจ็บช้ำแบบนี้
ทุกๆ ที อยากจะหนีไปมันสงสารหัวใจ
ถึงเวลาที่จะรักตัวเองสักที
หากให้ไปสักเท่าไรมันไม่เคยมีค่า
พอกันทีเถอะนะ รักแท้มันแค่ความฝัน
ฉันคงไม่รักใครอีก

จะไม่รักใครอีก
ไม่รักใครอีก อือ",blue_shade
เพราะคิดถึง,/music/thailyric/15150,"ดูเมฆฝนที่กำลังมาบนท้องฟ้า
ดูเวลากับตอนเย็นๆ วันธรรมดา
โอ้ เธอจะเปียกฝนอยู่ไหนหรือเปล่า

ไม่รู้ว่าเธอทำอะไรเป็นยังไง
อยู่ที่ไหนจะไปที่ไหนกินอะไรหรือยัง
ไม่รู้ว่าเธอจะอยู่กับใครหรือเปล่า

เป็นเพราะว่าฉันยังคงเป็นห่วง
ในวันที่เราต้องไกลต้องห่าง
เป็นเพราะฉันรู้ว่าเธอไม่มีทางกลับมา

เธออยู่ตรงนั้นมีใครดูแลเธอหรือเปล่า
คนๆ นั้นเขาทำได้ดีเท่าฉันไหม
เพราะฉันคิดถึงเพียงเธอเสมอ
แม้ว่าเวลาจะนานเท่าไร
เธอยังคงอยู่ในหัวใจ

เธออยู่ตรงนั้น
เธอเคยรู้สึกเหงาบ้างหรือเปล่า
และก่อนนั้นมันทำเธอคิดถึงฉันไหม
หากไม่มีกันอีกต่อไป
ไม่รู้เธอเป็นอย่างไร
แต่รู้ไหมว่าฉันคิดถึงเธอ

บ่ายวันนั้นยังมีเธออยู่กับฉัน
บนถนนในที่ฝนโปรยปราย
โอ้ มันดูคล้ายๆ กับตอนนี้เลย

ในวันนี้ก็ไม่รู้เธออยู่ไหน
ทำอะไรเธอจะอยู่กับใครฉันนั้นก็ไม่รู้เลย
โอ้ เธอจะคิดถึงฉันบ้างไหมเธอ

เป็นเพราะว่าฉันยังคงเป็นห่วง
ในวันที่เราต้องไกลต้องห่าง
แม้ว่าในใจฉันเองก็รู้ดี
ว่าไม่มีทางที่เธอจะกลับมา

เป็นเพราะว่าฉันยังคิดถึง ใจยังคิดถึง
ยังเป็นเหมือนเดิมตั้งแต่วันที่เธอไป
แต่ว่าที่ตรงนั้นที่ๆ ไม่มีฉันเป็นอย่างไร

เธออยู่ตรงนั้นมีใครดูแลเธอหรือเปล่า
คนๆ นั้นเขาทำได้ดีเท่าฉันไหม
เพราะฉันคิดถึงเพียงเธอเสมอ
แม้ว่าเวลาจะนานเท่าไร
เธอยังคงอยู่ในหัวใจ

เธออยู่ตรงนั้น
เธอเคยรู้สึกเหงาบ้างหรือเปล่า
และก่อนนั้นมันทำเธอคิดถึงฉันไหม
หากไม่มีกันอีกต่อไป
ไม่รู้เธอเป็นอย่างไร
แต่รู้ไหมว่าฉันคิดถึงเธอ

แต่ว่าที่ตรงนั้นที่ๆ ไม่มีฉันเป็นอย่างไร

เธออยู่ตรงนั้น
มีใครดูแลเธอหรือเปล่า
อยากจะรู้ว่าเธอจะคิดถึงฉันไหม
หากไม่มีกันอีกต่อไป
ไม่รู้จะเป็นอย่างไร
แต่ฉันไม่เคยเปลี่ยนไป
แม้จะนานเท่าไร
โปรดรู้ไว้ว่าฉันคิดถึงเธอ",blue_shade
