song_name,href,lyric,artist
คนบ่เป็นก้าว,/music/thailyric/20461,"คือจั่งผี บ่สมข้าวสาก
ปานคำหมาก บ่สมใบพลู
ปานควายตู้มัน บ่สมกล้า พ้อข้าวใหม่

ปานว่าเเหลว ตื่นงูสิง
ปานว่าลิง มันบ่สมช้าง
ปานทองคำ บ่สมขี้กั่ว อันนี้กะว่าสอย

ความฮักอ้าย มันแสนเศร้า
คือกับเจ้า มาอ่านอ่วย
ปานว่าควายมันเห็นกล้า แล่นนำข้าวใหม่

เปรียบกับเจ้า เป็นทองคำ
เปรียบส่ำอ้าย มันขี้กั่ว
บุญบ่ทั่วพรรษาบ่ฮอด จอดบ่เถิงกัน
บ่สมกัน อันนี้กะว่าสอย

อ้ายบ่มีปัญญา ไปซื้อเสื้อผ้า
กระเป๋าแบรนด์เนม ให้เจ้าได้ใส่
อ้ายบ่มีปัญญา พาเจ้าไปหย่าง
อยู่เทิงฮ้างหรู กินชาบู เฟรนช์ฟรายส์
อ้ายมันทุกข์มันยาก อีหลี
กะเผาถ่านเลี้ยงไก่ พอวาดหนึ่ง

บ่มีอนาคต อีหลี
กะแค่ของขี้ธูต พอวาดหนึ่ง
แค่คนบ่เป็นก้าว
สั่นดอกหวา กะหยังว่าสอย

ความฮักอ้าย มันแสนเศร้า
คือกับเจ้า มาอ่านอ่วย
ปานว่าควายมันเห็นกล้า แล่นนำข้าวใหม่

เปรียบกับเจ้า เป็นทองคำ
เปรียบส่ำอ้าย มันขี้กั่ว
บุญบ่ทั่วพรรษาบ่ฮอด จอดบ่เถิงกัน
บ่สมกัน อันนี้กะว่าสอย

อ้ายบ่มีปัญญา ไปซื้อเสื้อผ้า
กระเป๋าแบรนด์เนม ให้เจ้าได้ใส่
อ้ายบ่มีปัญญา พาเจ้าไปหย่าง
อยู่เทิงฮ้างหรู กินชาบู เฟรนช์ฟรายส์
อ้ายมันทุกข์มันยาก อีหลี
กะเผาถ่านเลี้ยงไก่ พอวาดหนึ่ง

บ่มีอนาคต อีหลี
กะแค่ของขี้ธูต พอวาดหนึ่ง
แค่คนบ่เป็นก้าว
สั่นดอกหวา กะหยังว่าสอย",book_supakarn
บักทอง,/music/thailyric/20607,"โอ๊ยน้อ บักทองเอ้ย

บัดนี้สิเว่าถึงละนิทานก้อม
ตั้งแต่คราวพุทธกาล เป็นเรื่องจริงอิงตำนาน
อีสานเฮา ดอกพื้นบ้าน
เป็นเรื่องของบักทอง เป็นเรื่องของบักทอง
ฆ่าแม่ ซั่นแหล่ว

บักทองจูงควายตู้ไปแต่เช้า
เพิ่นสิฟ้าวไปไถนา บอกอีแม่ให้ฟ่าวมา
เอากับข้าวดอกมาส่ง ไถนาอยู่ผู้เดียว
ไถนาแดดกะฮ่อน กูหิวข้าว เพิ่นจ่ม

แม่ฟ่าวย่านลูกบ่ได้กินข้าว ผัดเอาก่องข้าวน้อยมา
ลูกเพิ่นเห็นผลัดด่าว่าเอามาน้อยแท้
เอามาน้อยตายแท้ เอามาน้อยตายแท้
สำพอ บ่คู่แข่วเพิ่น

บักทองมันจับแหกควายขึ้นมา
ฟาดใส่ขมับแม่มัน ย้อนเพิ่นหิวข้าวจนว่ามือสั่น

บักทองมันฆ่าแม่มันตาย ส่างมาใจฮ่ายแท้บักชาติซั่ว
เลี้ยงมาจนใหญ่ ฆ่าแม่ตาย จั่งแม่นซั่ว
บักทองฆ่าแม่เจ้าของตาย
กินข้าวจนอิ่ม ฮอดบ่หมดพอติบ งวกไปเบิ่งแม่
พลั้นบ่หายใจ ฮ่องไห้จนว่า บอกอีแม่ตื่นๆ ขึ้นมาใหม่
สุดท้ายสายไปแล้ว โอ้ว

บักทองมันจับแหกควายขึ้นมา
ฟาดใส่ขมับแม่มัน ย้อนเพิ่นหิวข้าวจนว่ามือสั่น

บักทองมันฆ่าแม่มันตาย ส่างมาใจฮ่ายแท้บักชาติซั่ว
เลี้ยงมาจนใหญ่ ฆ่าแม่ตาย จั่งแม่นซั่ว
บักทองฆ่าแม่เจ้าของตาย
กินข้าวจนอิ่ม ฮอดบ่หมดพอติบ งวกไปเบิ่งแม่
พลั้นบ่หายใจ ฮ่องไห้จนว่า บอกอีแม่ตื่นๆ ขึ้นมาใหม่
สุดท้ายสายไปแล้ว โอ้ว

บักทองฆ่าแม่",book_supakarn
ขี้เมา,/music/thailyric/21809,"อยู่กับตัวเอง  อยู่กับเสียงเพลงอยู่ในอารมณ์ที่มันค้างคา
ในมุมเล็กๆ กับห้วงเวลาในยามค่ำคืนที่ไม่มีผู้คน
มีเพลงเหงาๆ กับเหล้าดีๆ ขอโทษที่ผมเวลาไม่ค่อยมี
เพราะทุกๆวันก็เมาอยู่อย่างนี้ คงไม่กล้าบอก รักใคร

กลัวคุณได้กลิ่นที่มันไม่พึงประสงค์
กลัวคุณรังเกียจผู้ชายขี้เมาอย่างผม

ผมมันแค่ขี้เมาคนธรรมดา คงไม่มีเวลาไปสนทนา
ไม่มีเวลาจะไปจีบใคร เพราะผมยังเมาไม่สร่าง
คงจะดีกว่านี้ถ้ากรุณา ให้คุณเดินหยิบแก้วโซดาเข้ามา
มันคงลงตัวถ้าผม ได้รินเหล้าให้คุณดื่มเอาโชว์
คุยกันยาวๆ ทั้งเช้า และเมาถ้าคุณไม่ไหวจะได้พาไปนอน

ผมมันแค่ขี้เมาคนธรรมดา คงไม่มีเวลาไปสนทนา
ไม่มีเวลาจะไปจีบใครเพราะผมยังเมาไม่สร่าง
คงจะดีกว่านี้ถ้ากรุณา ให้คุณเดินหยิบแก้วโซดาเข้ามา
มันคงลงตัวถ้าผมได้รินเหล้า ให้คุณดื่มเอาโชว์

คุยกันยาวๆ ถ้าเช้าถ้าเมา แล้วคุณไม่ไหวผมจะได้พาไปนอน",book_supakarn
คนผ่านทาง,/music/thailyric/19743,"คนอย่างฉันมันไม่น่าจดจำ​
เธอไม่ต้องถลำ​ ตัวมาก็ได้​
ทบทวนใหม่อีกครั้ง​
ก่อนมันจะสายเกินไป​
ก่อนที่หัวใจ เธอต้องแย่ไปกว่านี้​

ไม่ใช่ว่าไม่รักเธอ​ นะคนดี​
ไม่ใข่ว่าไม่ต้องการ​

ก็แค่เลิกกันไป​ มันจะเป็น​ เหี้*​ อะไร​
หากว่าใจ ฉันมันไปหล่อเลี้ยงเธอไม่ได้​
ง่ายๆ จบกันไป มันจะเป็น เหี้*​ อะไร​
ฉันเป็นใคร​ ไม่ใช่คนที่เธอต้องการสักหน่อย​

มองตาฉัน​ มองให้ลึกลงไป
เผื่อยังไม่มั่นใจ​ ถามใจเธอดูให้ดี
เพลงของฉัน​เวลาแค่ 4​ นาที​
ใกล้จะจบลงทุกที​ กับคำถามคนผ่านทาง​

ไม่ใช่ว่าไม่รักเธอ​ นะคนดี​
ไม่ใข่ว่าไม่ต้องการ​

ก็แค่เลิกกันไป​ มันจะเป็น​ เหี้*​ อะไร​
หากว่าใจ ฉันมันไปหล่อเลี้ยงเธอไม่ได้​
ง่ายๆ จบกันไป มันจะเป็น เหี้*​ อะไร​
ฉันเป็นใคร​ ไม่ใช่คนที่เธอต้องการสักหน่อย​

คนผ่านทาง​ คนผ่านทาง​
ก็แค่ คนผ่านทาง​ ก็เท่านั้น
คนผ่านทาง​ ก็เท่านั้น
คนผ่านทาง

ก็แค่เลิกกันไป​ มันจะเป็น​ เหี้*​ อะไร​
หากว่าใจ ฉันมันไปหล่อเลี้ยงเธอไม่ได้​
ง่ายๆ จบกันไป มันจะเป็น เหี้*​ อะไร​
ฉันเป็นใคร​ ไม่ใช่คนที่เธอต้องการสักหน่อย​

ก็แค่เลิกกันไป​ มันจะเป็น​ เหี้*​ อะไร​
หากว่าใจ ฉันมันไปหล่อเลี้ยงเธอไม่ได้​
ง่ายๆ จบกันไป มันจะเป็น เหี้*​ อะไร​
ฉันเป็นใคร​ ไม่ใช่คนที่เธอต้องการสักหน่อย​

คนผ่านทาง​ คนผ่านทาง",book_supakarn
คนไม่ดี,/music/thailyric/22993,"ฉันก็ไม่ใช่คนดี ไม่ใช่คนดีอะไร
ไม่มีเรื่องน่าภูมิใจสักนิดเลย
บางทีอาจดูรุนแรง เย็นชากับเธอเกินไป
เป็นแฟนประสาอะไร โคตรแย่เลย

เอาจริงๆ ตอนนี้ฉันเป็นห่วง
เธอไม่ควรฝากชีวิตไว้ตรงนี้
เธอมีโอกาสพบคนที่ดี ดีกว่าฉัน

ฉันไม่ได้สะใจสักนิด
ที่วันนี้ทำลายความรู้สึกเธอพัง
ฉันเสียใจที่ทำให้เธอผิดหวัง อยู่ลึกๆ
แต่จะรักกับใครก็ได้แต่ไม่ใช่ฉันคนเดิม
ที่ทำให้เธอเจ็บ เสียใจตลอด ร้องไห้ตลอด
เจ็บอยู่ซ้ำๆ คนไม่ดี

เก็บเกี่ยวตักตวงวันวาน
ความสุขที่เราเคยมี
นับจากตั้งแต่วันนี้
ให้เธอออกไปจากชีวิตฉัน

เอาจริงๆ ตอนนี้ฉันเป็นห่วง
เธอไม่ควรฝากชีวิตไว้ตรงนี้
เธอมีโอกาสพบคนที่ดี ดีกว่าฉัน

ฉันไม่ได้สะใจสักนิด
ที่วันนี้ทำลายความรู้สึกเธอพัง
ฉันเสียใจที่ทำให้เธอผิดหวัง อยู่ลึกๆ
แต่จะรักกับใครก็ได้แต่ไม่ใช่ฉันคนเดิม
ที่ทำให้เธอเจ็บ เสียใจตลอด ร้องไห้ตลอด
เจ็บอยู่ซ้ำๆ คนไม่ดี

ชีวิตของเธอควรดีกว่านี้ ถ้าที่ตรงนั้นมันไม่มีฉัน

ฉันไม่ได้สะใจสักนิด
ที่วันนี้ทำลายความรู้สึกเธอพัง
ฉันเสียใจที่ทำให้เธอผิดหวัง อยู่ลึกๆ
แต่จะรักกับใครก็ได้แต่ไม่ใช่ฉันคนเดิม
ที่ทำให้เธอเจ็บ เสียใจตลอด ร้องไห้ตลอด
เจ็บอยู่ซ้ำๆ

ฉันไม่ได้สะใจสักนิด
ที่วันนี้ทำลายความรู้สึกเธอพัง
ฉันเสียใจที่ทำให้เธอผิดหวัง อยู่ลึกๆ
แต่จะรักกับใครก็ได้แต่ไม่ใช่ฉันคนเดิม
ที่ทำให้เธอเจ็บ เสียใจตลอด ร้องไห้ตลอด
เจ็บอยู่ซ้ำๆ คนไม่ดี",book_supakarn
ใครยังไม่มีผัว,/music/thailyric/19813,"จะมองไปทางไหน ก็เจอแต่คนมีแฟน
เดินจับมือเดินควงแขน เยอะแยะไปหมด
คนน่าตาไม่ดีอย่างผม มันก็คงต้องอด
ต้องซื้อกิน

จะต้องรอในชาตินี้ หรือชาติหน้าตอน บ๊ายบ่าย
ถึงจะเจอกับรักแท้ หรือต้องรอชีพมลาย
คบกับใครใครก็ทิ้ง เขาก็เทเซกู๊ดบาย พ่องตาย

โอ๊ยน้อ โอ๊ยน้อ ล่ะท่าน ผู้ฟังเอ้ย
โอ๊ยน้อ ขั้นแม่นเจ้าทันได้มีคู่ซ้อน
งามงอลให้มาเป็นของอ้ายสา
แลงมาอ้ายสิเฮ็ดสุคืน นอนตื่นมา
อ้ายสิทื้นล่ะส่ำเช้า คนงามเอ้ย

บ่มีแปะปั่นปี้นเปลี่ยนไป ด่อกเป็นอื่น
ใจประสงค์ล่ะหมายหมั้นเจ้ายอดชู้
พออยากแปลงโขงขวมด่อกไปหา
แก้มปาลาบ่เห็นใจอ้ายแหน่ คนงามเอ้ย

ยังไม่มีผัว ยกมือขึ้นที
ช่วยมองมาที่ผม แล้วคุณจะเห็นสามี
จะพาไปดินเนอร์ ล่องเรือที่กระบี่ แบบดี๊ดี

ยังไม่มีผัว ยกมือขึ้นหน่อย
จะพาไปเสม็ด กินของอร่อยอร่อย
โปรดีๆ แบบนี้มันไม่ได้มีบ่อยๆ นะแม่เนื้อกรอย

โอ๊ยน้อ โอ๊ยน้อ ล่ะท่าน ผู้ฟังเอ้ย
โอ๊ยน้อ ขั้นแม่นเจ้าทันได้มีคู่ซ้อน
งามงอลให้มาเป็นของอ้ายสา
แลงมาอ้ายสิเฮ็ดสุคืน นอนตื่นมา
อ้ายสิทื้นล่ะส่ำเช้า คนงามเอ้ย

บ่มีแปะปั่นปี้นเปลี่ยนไป ด่อกเป็นอื่น
ใจประสงค์ล่ะหมายหมั้นเจ้ายอดชู้
พออยากแปลงโขงขวมด่อกไปหา
แก้มปาลาบ่เห็นใจอ้ายแหน่ คนงามเอ้ย

ยังไม่มีผัว ยกมือขึ้นที
ช่วยมองมาที่ผม แล้วคุณจะเห็นสามี
จะพาไปดินเนอร์ ล่องเรือที่กระบี่ แบบดี๊ดี

ยังไม่มีผัว ยกมือขึ้นหน่อย
จะพาไปเสม็ด กินของอร่อยอร่อย
โปรดีๆ แบบนี้มันไม่ได้มีบ่อยๆ นะแม่เนื้อกรอย

ยังไม่มีผัว ยกมือขึ้นที
ช่วยมองมาที่ผม แล้วคุณจะเห็นสามี
จะพาไปดินเนอร์ ล่องเรือที่กระบี่ แบบดี๊ดี

ยังไม่มีผัว ยกมือขึ้นหน่อย
จะพาไปเสม็ด กินของอร่อยอร่อย
โปรดีๆ แบบนี้มันไม่ได้มีบ่อยๆ นะแม่เนื้อกรอย

คนงามเอ้ย",book_supakarn
ฆาตกร,/music/thailyric/15880,"ผิดที่ตัวฉัน ที่เป็นคนแบบนี้
เป็นคนที่สันดาน ไม่ดีสักเท่าไร
กี่หมื่นพันครั้ง ที่ฉันทำให้เธอเสียใจ
ด้วยน้ำมือ ของฉัน

มันไม่มีประโยชน์ อันใด
หากยื้อเธอไว้ ก็เห็นแก่ตัว
เอาจริงๆ ฉันเองก็กลัว หากวันหนึ่ง
ฉันทำให้เธอเสียใจ อีกครั้ง

ก็ฉันมันคนไม่ดี ฉันมันแค่สัตว์ร้าย
ฉันมันเพียงนักโทษชาย คดีทำร้ายใจเธอ
ไอ้ฆาตกรเลือดเย็น ที่เคยตกเป็นของเธอ
สิ่งสุดท้าย ที่ฉันควรได้เจอ
ก็คือภาพของเธอกับเขา
กุมมือเดินจากฉันไป

อย่าเอาอนาคต มาทิ้งไว้ที่ฉัน
อย่าเอาความฝัน ของเธอนั้นมาเสี่ยง
ได้โปรดออกจากชีวิตฉันไป
เข้าใจไหม ฉันเพียง
ฆาตกร รอวันตายในแดนประหาร

มันไม่มีประโยชน์ อันใด
หากยื้อเธอไว้ ก็เห็นแก่ตัว
เอาจริงๆ ฉันเองก็กลัว หากวันหนึ่ง
ฉันทำให้เธอเสียใจ อีกครั้ง

ก็ฉันมันคนไม่ดี ฉันมันแค่สัตว์ร้าย
ฉันมันเพียงนักโทษชาย คดีทำร้ายใจเธอ
ไอ้ฆาตกรเลือดเย็น ที่เคยตกเป็นของเธอ
สิ่งสุดท้าย ที่ฉันควรได้เจอ
ก็คือภาพของเธอกับเขา
กุมมือเดินจากฉันไป

ไม่มีประโยชน์แล้ว
ที่ฉันจะเป็นคนดี เพราะนับต่อจากนี้
เธอก็คงต้องกลายเป็นของ คนอื่น

ก็ฉันมันคนไม่ดี ฉันมันแค่สัตว์ร้าย
ฉันมันเพียงนักโทษชาย คดีทำร้ายใจเธอ
ไอ้ฆาตกรเลือดเย็น ที่เคยตกเป็นของเธอ
สิ่งสุดท้าย ที่ฉันควรได้เจอ
ก็คือภาพของเธอกับเขา

ก็ฉันมันคนไม่ดี ฉันมันแค่สัตว์ร้าย
ฉันมันเพียงนักโทษชาย คดีทำร้ายใจเธอ
ไอ้ฆาตกรเลือดเย็น ที่เคยตกเป็นของเธอ
สิ่งสุดท้าย ที่ฉันควรได้เจอ
ก็คือภาพของเธอกับเขา
กุมมือเดินจากฉันไป

ไอ้ฆาตกร",book_supakarn
เด็ดดวง (The Best),/music/thailyric/22440,"อย่าล้อเล่นได้ไหม ที่เธอยังไม่มีแฟน
สวยกว่านางสาวไทย เด็ดดวงอย่างกับมิสแกรนด์
น่ารักขนาดนี้ทำไมยังไม่มีแฟน
ก็คุณคือ The best ทำไมถึงยังขาดแคลน

ที่บอกแฟนไม่มีหรือว่าแฟนเธอนั้นยังไม่มา
เมื่อคืนผมฝันเห็นคุณเต็มในลูกกะตา
ฝันว่าคุณเป็นต้นไม้ ผมเป็นคนสวนธรรมดา
เมื่อไรที่ต้นไม้ยั่วยวน คนสวนก็ต้องฟัน

ดูเธอช่างน่ารัก ไม่ได้ล้อเล่นพูดจริงๆ นะ
เอาตรงๆ น่ะ อย่าโกรธนะ
ไม่ได้เจตนาแค่สงสัย

ที่เธอไม่มีแฟนหรือแฟนเธอไม่มา
ได้โปรดอย่ามองตาเดี๋ยวมันจะบานปลาย
ใจคอไม่ค่อยดีหัวใจมันจะวาย
เธอเดินมาทางซ้ายที่ เก้านาฬิกา

ไม่เอานะคนดีอย่าทำแบบนี้เลย
เด็ดดวงแม่คุณเอ๋ย อยากข่มขืนด้วยสายตา
ไม่เอานะคนดีเดี๋ยวแฟนเธอจะมา
ยังพอมีเวลาอยากทำอะไรก็รีบทำ

หรือเธอเป็นแม่มดที่มีเวทย์มนต์ฉันใด
ปล่อยพลังใส่ผู้คน หลงมนต์สะกดอยู่เรื่อยไป
เมื่อไหร่คุณต้องการ ตัวผมก็พร้อมจะไป
แต่อย่าบอกให้ใครรู้ ให้เป็นความลับก็พอ

ดูเธอช่างน่ารัก ไม่ได้ล้อเล่นพูดจริงๆ นะ
เอาตรงๆ น่ะ อย่าโกรธนะ
ไม่ได้เจตนาแค่สงสัย

ที่เธอไม่มีแฟนหรือแฟนเธอไม่มา
ได้โปรดอย่ามองตาเดี๋ยวมันจะบานปลาย
ใจคอไม่ค่อยดีหัวใจมันจะวาย
เธอเดินมาทางซ้ายที่ เก้านาฬิกา

ไม่เอานะคนดีอย่าทำแบบนี้เลย
เด็ดดวงแม่คุณเอ๋ย อยากข่มขืนด้วยสายตา
ไม่เอานะคนดีเดี๋ยวแฟนเธอจะมา
ยังพอมีเวลาอยากทำอะไรก็รีบทำ

ได้โปรดอย่าทำเป็นเล่นตัวเกินไป
ถ้าเธอมีแฟนแล้วฉันคงเสียใจ
มันคงจะไม่ดีถ้าปล่อยเธอไป กับใครคนนั้น

ที่เธอไม่มีแฟนหรือแฟนเธอไม่มา
ได้โปรดอย่ามองตาเดี๋ยวมันจะบานปลาย
ใจคอไม่ค่อยดีหัวใจมันจะวาย
เธอเดินมาทางซ้ายที่ เก้านาฬิกา

ไม่เอานะคนดีอย่าทำแบบนี้เลย
เด็ดดวงแม่คุณเอ๋ยอยากข่มขืนด้วยสายตา
ไม่เอานะคนดีเดี๋ยวแฟนเธอจะมา
ยังพอมีเวลาจะทำอะไรก็รีบทำ

จะทำอะไรก็รีบทำ",book_supakarn
ตับแข็งตายเพื่อลืมเธอ,/music/thailyric/17943,"แต่ก่อนฉันเป็นคนดี
เหล้าเบียร์ก็กินไม่เป็น
เพราะมึงทำกูเสียเส้น
รสชาติของเหล้ามันเลยหวาน

ตั้งแต่วันที่เราเลิกกัน
กูเมาทุกวันมึงคงไม่รู้
ติดที่ยังคิดถึงมึงอยู่
กูเลยต้องกลายเป็นขี้เมา

บอกตัวเอง
ว่าแก้วนี้ต้องยืนให้ไหว
แม่งจะฝืนยกแก้วต่อไป
ก็คงต้องเสียดายอ้วกให้หมามันกิน

บอกตัวเอง
ว่าแก้วนี้ต้องลืมมึงให้ได้
กินให้เมาให้มันตับแข็งตาย
แด่คนใจร้ายให้มันชิบหายไปจากใจ

ต้องหมดกี่แก้ว มันจึงจะลืมเธอไป
ต้องเมาแค่ไหน มันค่อยจะไม่คิดถึงเธอ
ปาดน้ำตาแก้มเหล้าบางๆ
โซดาเอาไว้ห่างๆ
เพียวๆ ให้มันชาไปทั้งใจ

ต้องหมดกี่แก้ว มันถึงจะตัดใจได้ลง
ทั้งเบลนด์ และ หงส์ ก็ลืมไม่ลงอยู่ดี
ยกแก้วสุดท้าย หวังว่าจะลืม แต่มันยิ่งจำอยู่ดี
สุดท้ายเลยไม่มีวิธี ให้ตับแข็งตายมันคงลืมได้เอง

ต้องหมดกี่แก้ว มันจึงจะลืมเธอไป
ต้องเมาแค่ไหน มันค่อยจะไม่คิดถึงเธอ
ปาดน้ำตาแก้มเหล้าบางๆ
โซดาเอาไว้ห่างๆ
เพียวๆ ให้มันชาไปทั้งใจ

ต้องหมดกี่แก้ว มันถึงจะตัดใจได้ลง
ทั้งเบลนด์ และ หงส์ ก็ลืมไม่ลงอยู่ดี
ยกแก้วสุดท้าย หวังว่าจะลืม แต่มันยิ่งจำอยู่ดี
สุดท้ายเลยไม่มีวิธี ให้ตับแข็งตายมันคงลืมได้เอง",book_supakarn
ผีสางนางไม้,/music/thailyric/18121,"ผีสางตนไหนมันดนบันดาล ให้เธอจำแลงลงมา
ทันใดที่เจอใจฉันมันเบลอ
เหมือนโดนสะกดมนต์ตรา
เธอเป็นนางฟ้าฉันใด จำแลงลงมา
สุขอุรา เมื่อเธอยิ้มมาตรงนี้

ก็ได้แต่ฝันว่าเธอกับฉันเคียงคู่ จนแก่ชรา
นี่โลกความจริง หรือโลกความฝัน
หรือฉันแม่งหลอนกัญชา
แม่อรอุมาเนื้อทอง โอ้แม่ลำดวนเอ้ย
เธอช่างงามกว่าสาวไทยในย่านนี้

อยากจะบอกเธอว่ารัก ให้เธอได้รู้
ถึงแม้ได้เป็นชู้ แค่เพียงคนคุยก็ยังดี
ไม่ใช่ตัวจริง อาจไม่ใช่สามี
จะรออยู่ตรงนี้ เผื่อวันไหนเธอต้องการ

รักแท้มีอยู่จริงไอ้ผมเองก็เขาใจ
ถึงผมไม่เคยได้ แต่ผมก็พร้อมที่จะให้
ให้คุณคนเดียว ไม่คิดจะเหลียวแลใคร
ทั้งหมดที่พูดไป ผมไม่ได้หลอนกัญชา
ผมไม่ได้หลอนกัญชา

ผมไม่ได้หลอนกัญชา ดีด่าดา

When you smile do you lovely
Beautiful oh baby
Sexy a girl I'm crazy
Falling in love I love you

อยากจะบอกเธอว่ารัก ให้เธอได้รู้
ถึงแม้ได้เป็นชู้ แค่เพียงคนคุยก็ยังดี
ไม่ใช่ตัวจริง อาจไม่ใช่สามี
จะรออยู่ตรงนี้เผื่อวันไหนเธอต้องการ

รักแท้มีอยู่จริง ไอ้ผมเองก็เขาใจ
ถึงผมไม่เคยได้ แต่ผมก็พร้อมที่จะให้
ให้คุณคนเดียว ไม่คิดจะเหลียวแลใคร
ทั้งหมดที่พูดไป ผมไม่ได้หลอนกัญชา
ผมไม่ได้หลอนกัญชา

ผมไม่ได้หลอนกัญชา ดีด่าดา",book_supakarn
