song_name,href,lyric,artist
ก่อนใคร,/music/thailyric/19128,"เธอมีใครที่เข้ามาแทนที่ฉัน
และเขาเป็นคนสำคัญ
ฉันต้องเข้าใจ
ก่อนจะรัก เธอได้บอกกับเขาไหม
ว่าเธอยังมีฉันอยู่ ก่อนหน้าใครๆ

ก็รู้ว่าใจเธอไม่เหมือนเดิม
แต่ฉันไม่มีอะไรเพิ่มเติม
ยังคงรักอยู่ถึงแม้ ใจเธอไปหาใคร

อยากหายไปโดยไม่พยายาม
แต่โลกของฉันยังคงหมุนตาม
เธอคนนี้ ยังคงหวังอยู่ แม้ไม่มีทาง

(ฝืนทนต่อ) ฉันจะรอต่อไป
(แม้จะท้อใจ) แม้ไม่มีทาง
(ฝืนทนอยู่) ก็จะลองทำความเข้าใจ และรับรู้

เธอมีใครที่เข้ามาแทนที่ฉัน
และเขาเป็นคนสำคัญ
ฉันต้องเข้าใจ
ก่อนจะรัก เธอได้บอกกับเขาไหม
ว่าเธอยังมีฉันอยู่ ก่อนหน้าใครๆ

(ฝืนทนต่อ) ฉันจะรอต่อไป
(แม้จะท้อใจ) แม้ไม่มีทาง
(ฝืนทนอยู่) ก็จะลองทำความเข้าใจ และรับรู้

เธอมีใครที่เข้ามาแทนที่ฉัน
และเขาเป็นคนสำคัญ
ฉันต้องเข้าใจ
ก่อนจะรัก เธอได้บอกกับเขาไหม
ว่าเธอยังมีฉันอยู่ ก่อนหน้าใครๆ

(บอกกับเขาไป) ว่าเธอยังมีฉันอยู่",bowkylion
เจ้าป่า (Lionheart),/music/thailyric/19127,"โปรดฟัง นี่คือเสียงข้างในหัวใจที่ดัง
หากหมดรักและสิ้นศรัทธากับความหลัง
ไม่เป็นดังใจหวัง

จากลา เป็นบทเรียนของ
การกระทำที่ผ่านมา
ที่รอให้พบเจอไม่ว่าจะเร็วช้า
ตราบน้ำในตายังคงไหล

ไม่จำเป็นต้องเข้มแข็ง (หากเธอนั้นหมดแรง)
ไม่จำเป็นต้องแข็งแกร่ง (ในทุกก้าวที่เดิน)
สิ่งที่เธอเผชิญช่างยิ่งใหญ่

ล้มลงนอนเมื่ออ่อนล้า (หากเกินเอื้อมจะคว้า)
ลุกขึ้นเมื่อปรารถนา สิ่งที่เธอได้ทำนั้นมีค่า
หากจะมีสิ่งใดที่มากกว่า

สุดแรงกายที่คอยฟันฝ่า
ใจเธอนั้นเหมือนดั่งเจ้าป่า",bowkylion
ทิวาสวัสดิ์,/music/thailyric/19130,"ถ้าเธอยังรักกัน ถ้าฉันยังสำคัญ
อย่าปล่อยให้ฉันร้องไห้คนเดียว
ปวดใจอยู่ทุกๆ วัน
แต่ว่าเธอไม่รักกัน เพราะฉันไม่สำคัญ
เธอปล่อยให้ฉันรักเธอคนเดียว
เธอปล่อยให้ฉันนับวันเฝ้ารอ

เหม่อมองท้องฟ้า ยามทิวา
ร้อนเหลือเกิน ไม่มีลมพัดมา
แสงแดดที่คอยส่อง นั่งมองระเบียงห้อง
ที่เคยมีเธอนั่งอยู่ตรงนี้

มันช่างเงียบเหงาเหลือเกิน
วันนี้ไม่มีเธอเหมือนทุกที
หัวใจได้เข้าสู่ภาวะไม่มีเธออยู่
และต่อไปนี้คงทำได้เพียง รับ
รู้ รู้ รู้ รู้

ถ้าเธอยังรักกัน ถ้าฉันยังสำคัญ
อย่าปล่อยให้ฉันร้องไห้คนเดียว
ปวดใจอยู่ทุกๆ วัน
แต่ว่าเธอไม่รักกัน เพราะฉันไม่สำคัญ
เธอปล่อยให้ฉันรักเธอคนเดียว
เธอปล่อยให้ฉันนับวันเฝ้ารอ

(ไม่ว่าจันทร์จะลาลับไป อยากให้เธอเข้าใจ
ในแสงของตะวัน ร้อนดังเงาสาดสะท้อนไฟ
จะต้องทำยังไง ถ้ารักไม่เหมือนดั่งฝัน
รู้ รู้ รู้ รู้",bowkylion
รักไปร้องไห้ไป,/music/thailyric/19129,"รักไปร้องไห้ไป ทั้งที่ใจบอกพอ
ร้องไปใจยังรอ เจ็บแต่ก็ไม่จำไว้
รักไปร้องไห้ไป ทั้งที่ใจบอกพอ
แม้ไกลยังเดินต่อ เจ็บแต่ก็จะทนไว้

เวลาที่เป็นแผลไม่นานก็คงหาย
แต่แค่ตอนที่เธอไม่แคร์มันเหมือนมีมีดกรีดฉันจนเกือบตาย
ปล่อยที่ฉันแผลสมานไม่แก้ทั้งนั้นเมื่อสบตา
เจ็บก็ทน วันต่อไปแล้วไม่เคยคิดจะบอกลา

ก็ไม่ได้เรียกร้องไม่ได้จะรื้อฟื้น
ไม่ได้หวังว่าใจของเธอที่เลือกอยู่นั้นจะกลับคืน
แค่จะลองไล่ตัวเองออกไปและไม่ต้องกลับมา
อย่าเก็บรักที่มันเลวต่อใจไม่ดูแลเอาไว้ด้วยศรัทธา

ยอมทุกอย่าง (เปลี่ยนฉันเองให้เป็นคนอื่น)
ลองทุกทาง (อยากให้รักเรานั้นยั่งยืน)
แต่ว่าสุดท้าย เธอนั้นใจร้าย ที่สุด
ยังคงทำร้าย ใจที่อ่อนล้า (ไม่หยุด)

รักไปร้องไห้ไป ทั้งที่ใจบอกพอ
ร้องไปใจยังรอ เจ็บแต่ก็ไม่จำไว้
รักไปร้องไห้ไป ทั้งที่ใจบอกพอ
แม้ไกลยังเดินต่อ เจ็บแต่ก็จะทนไว้

ยอมทุกอย่าง (เปลี่ยนฉันเองให้เป็นคนอื่น)
ลองทุกทาง (อยากให้รักเรานั้นยั่งยืน)
แต่ว่าสุดท้าย เธอนั้นใจร้าย ที่สุด
ยังคงทำร้าย ใจที่อ่อนล้า (ไม่หยุด)

จะเก็บเธอเอาไว้
ไม่ยอมให้ใครหน้าไหน
ต้องเจ็บช้ำเท่าไรฉันยอม

รักไปร้องไห้ไป ทั้งที่ใจบอกพอ
ร้องไปใจยังรอ เจ็บแต่ก็ไม่จำไว้
รักไปร้องไห้ไป ทั้งที่ใจบอกพอ
แม้ไกลยังเดินต่อ เจ็บแต่ก็จะทนไว้",bowkylion
แขนซ้าย,/music/thailyric/15179,"วันที่ได้เจอ เพียงได้ยินเสียงเธอ
ค่ำย่ำอรุณ แขนซ้ายของเธอเป็นหมอนให้หนุน
อบอุ่นในทุกครา

รอยยิ้มของเธอ ลองย้อนดูรูปเก่า
เพลงนั้นของเรา ฟังแล้วก็ยังฟังอีกช้าๆ
แต่ว่าเธออยู่ที่ใด

ทุกอย่างนั้นยังคงเดิม
ตื่นมาครั้งนี้
ต่างกันที่ไม่มีเธอ

หลับตาลงแล้วร้องไห้
นึกเอาไว้ ว่าวันนี้ไม่เหมือนเก่า
เหลือแค่เราคนเดียวเท่านั้น

บอกให้ใจหยุดร้องไห้
แต่ใจก็ไม่เคยฟัง ได้แต่มองกลับไปข้างหลัง
เหมือนเธอยังอยู่

รอให้ได้เจอ แม้ไม่มีเธออยู่
สิ่งที่จะทำ แม้ไม่มีวันจะรู้ ว่าเธออยู่ที่ไหน
ความฝันของเรา ฉันก็ยังฝันต่อ
เหมือนว่ายังรอ แต่ขอให้เจอเธออีกได้ไหม
จะกอดเธอไว้ไม่ยอมปล่อย

หลับตาลงแล้วร้องไห้
นึกเอาไว้ ว่าวันนี้ไม่เหมือนเก่า
เหลือแค่เราคนเดียวเท่านั้น

บอกให้ใจหยุดร้องไห้
แต่ใจก็ไม่เคยฟัง ได้แต่มองกลับไปข้างหลัง
เหมือนเธอยังอยู่

หลับตาลงแล้วร้องไห้
นึกเอาไว้ ว่าวันนี้ไม่เหมือนเก่า
เหลือแค่เราคนเดียวเท่านั้น

บอกให้ใจหยุดร้องไห้
แต่ใจก็ไม่เคยฟัง ได้แต่มองกลับไปข้างหลัง
เหมือนเธอยังอยู่

หลับตาลงแล้วร้องไห้
นึกเอาไว้ ว่าวันนี้ไม่เหมือนเก่า
เหลือแค่เราคนเดียวเท่านั้น

บอกให้ใจหยุดร้องไห้
แต่ใจก็ไม่เคยฟัง ได้แต่มองกลับไปข้างหลัง
เหมือนเธอ ไม่ได้ไปไหน

โอบกอดเธอไว้ เหมือนเธอยังอยู่",bowkylion
ค.ควาย (Your Ex),/music/thailyric/16360,"สุดท้ายเธอรักคนเก่า
สุดท้ายเธอก็เลือกเขา
สุดท้ายนั้นไอ้ความรักของเรา
เธอนั้นไม่เคยคิดจะเสียดาย

สุดท้ายเธอเลือกคนเก่า
สุดท้ายเธอยังรักเขา
สุดท้ายคนที่ควาย ก็คือเรา
ที่ร้องไห้ไปเท่าไรแต่น้ำตาก็ยังไหล

ใจเธอเดินกลับหลังไกล ถอยไป
โดยไม่บอกว่าเธอไม่เหลือใจ
แอบซ่อนเขาอยู่ข้างในของใจ
ยังรักอยู่และไม่เคยจางหาย

มันช่างทำให้ฉันต้องทรมาน
เธอปิดบังสัญญาณของความโหดร้าย
ทำลายความเชื่อใจให้พังทลาย เธอรู้ดี

สุดท้ายเธอรักคนเก่า
สุดท้ายเธอก็เลือกเขา
สุดท้ายนั้นไอ้ความรักของเรา
เธอนั้นไม่เคยคิดจะเสียดาย

สุดท้ายเธอเลือกคนเก่า
สุดท้ายเธอยังรักเขา
สุดท้ายคนที่ควาย ก็คือเรา
ที่ร้องไห้ไปเท่าไรแต่น้ำตาก็ยังไหล

รักที่ให้มาไม่มีค่านับจากนี้
ทั้งที่ผ่านมาคอยดูแลเธออย่างดี
รักฉันไม่เบา แต่ไม่เท่าคนเก่า
เขาทิ้งเธอไปคนปลอบใจเธอคือฉัน
เธอเดินออกมาไม่อำลาความผูกพัน
รักเธอที่สุด แต่ฉันคงต้องหยุด

สุดท้ายเธอรักคนเก่า
สุดท้ายเธอก็เลือกเขา
สุดท้ายนั้นไอ้ความรักของเรา
เธอนั้นไม่เคยคิดจะเสียดาย

สุดท้ายเธอเลือกคนเก่า
สุดท้ายเธอยังรักเขา
สุดท้ายคนที่ควาย ก็คือเรา
ที่ร้องไห้ไปเท่าไรแต่น้ำตาก็ยังไหล",bowkylion
คงคา (Still),/music/thailyric/18426,"แปลกเหลือเกินที่ใจคนเรา
เฝ้าแต่คิดถึงคนที่ทำร้าย
หยดน้ำตาที่เคยบรรเทา
ร้องเท่าไรก็ยังคงไม่หาย

ว่ายวนอยู่ในคงคา
ที่ไหลรินออกจากสองตา
แม้ร้องเท่าไรเธอคงไม่กลับมา

เธอเดินไปไกล จนสุดสายตา
ก็ยังรอเธอคืนมาอยู่ แม้นานเท่าไรก็ไม่รู้
เธอจากไปไกล และไม่ย้อนมา
รักในใจยังคงคาอยู่ ลบเลือนเท่าไรก็ยิ่งรู้
ว่ายังมีเพียงเรื่องของเธอกับฉัน ไม่เคยลืมเลย

อยากให้เจอเรื่องราวดีๆ
แม้วันนี้ข้างเธอไม่มีฉัน
ต่อให้เรานั้นลาไปไกล
เธออยากเจอเมื่อไรแค่หลับฝัน

แค่ได้มองจากตรงนี้
ก็ยินดีที่เห็นเธอเติบโต
ถึงแม้ฉันเองไม่ได้อยู่ตรงนั้น

เธอเดินไปไกล จนสุดสายตา
ก็ยังรอเธอคืนมาอยู่ แม้นานเท่าไรก็ไม่รู้
เธอจากไปไกล และไม่ย้อนมา
รักในใจยังคงคาอยู่ ลบเลือนเท่าไรก็ยิ่งรู้
ว่ายังมีเพียงเรื่องของเธอกับฉัน ไม่เคยลืมเลย

เธอเดินไปไกล จนสุดสายตา
ก็ยังรอเธอคืนมาอยู่ แม้นานเท่าไรก็ไม่รู้
เธอจากไปไกล และไม่ย้อนมา
รักในใจยังคงคาอยู่ ลบเลือนเท่าไรก็ยิ่งรู้
ว่ายังมีเพียงเรื่องของเธอกับฉัน ไม่เคยลืมเลย

ปล่อยน้ำตาให้มันได้ไหล
จากพื้นดิน จนรินรดใจ
ปล่อยน้ำตาให้มันได้ไหล
จากพื้นดิน จนรินรดใจ

และคงมีเพียงเรื่องของเธอกับฉัน
ไม่เคยลืมเธอ",bowkylion
คนไข้,/music/thailyric/15914,"เหมือนจะไม่สบาย เป็นอะไร แทบจะฝืนยืนไม่ไหว
แค่ได้ยินคำลาเธอเอ่ยมันมาว่าต้องไป
หัวใจไม่สบายทำยังไง มีแค่น้ำตาที่ไหล
เกินจะยื้อเยียวยาได้แต่มองตายอมรับการตัดสินใจ

เมื่อความรักเรานั้นสุดทาง
ทั้งที่เธอเป็นเหมือนทุกอย่าง
ใจอ่อนแรงหมดสิ้นความหมาย
ตั้งแต่เธอเดินไป

และคงมีฝนโปรยปราย ตกลงมาเมื่อย่างกราย
กอดไว้เท่าไร ยิ่งเปียกไปทั้งใจ
แค่เศษเพียงเสี้ยวหัวใจอีกครึ่งของฉันหายไป
ไม่ว่าจะรักเท่าไร แต่ตัวฉันนั้นรู้สึก

เหมือนจะไม่สบาย เป็นอะไร แทบจะฝืนยืนไม่ไหว
แค่ได้ยินคำลา เธอเอ่ยมันมาว่าต้องไป
หัวใจไม่สบายทำยังไง มีแค่น้ำตาที่ไหล
เกินจะยื้อเยียวยา ได้แต่มองตายอมรับการตัดสินใจ

เมื่อไรเธอจะโทรกลับ ได้แต่เฝ้ามองที่โทรศัพท์
จนหลับไป อยากให้ใครปลุกฉันไว้ บอกได้ไหม
ว่าไม่นานเดี๋ยวก็คงตื่น มันก็แค่ฝันข้ามคืน
แต่แล้วในความเป็นจริงทุกคำบอกลามันยากจะรื้อฟื้น

น้อมรับทุกคำลาจากแม้ว่าหัวใจนั้นจะไม่อยาก
ให้เธอไป หมดดวงใจ อยากกอดไว้ ที่รินไหลคือน้ำตา
แต่ค่ำจนฉันตื่น ดวงใจที่ช้ำข้ามคืน
พรุ่งนี้จะไม่มีเรากับรักเก่าๆ ที่เธอเคยทนฝืน

รู้ว่าเธอต้องไป (อดทนแม้ช้ำทั้งใจ)
รู้ดีมันก็รู้ดีแต่ยังรับมันไม่ไหว
ร้อนรุ่ม ลึกในใจ

เหมือนจะไม่สบาย เป็นอะไร แทบจะฝืนยืนไม่ไหว
แค่ได้ยินคำลา เธอเอ่ยมันมาว่าต้องไป
หัวใจไม่สบายทำยังไง มีแค่น้ำตาที่ไหล
เกินจะยื้อเยียวยา ได้แต่มองตายอมรับการตัดสินใจ

ไม่อาจเก็บเธอไว้ ได้แต่ข่มใจไว้ทนฝืนให้มันผ่านไป
เรื่องราวร้ายๆ ที่สักวันมันคงคลี่คลาย
ไม่ว่าเจ็บเท่าไร อาจจะปวดเกินไป ความช้ำคงจะผ่านไป
ได้แต่หวังว่าสักวัน หัวใจคงจะหายไม่สบาย",bowkylion
คำว่ารัก,/music/thailyric/21224,"หากรักคือโชคชะตา ที่เราไม่อาจจะฝืน
ฝันร้ายเมื่อคืน ตื่นมากลายเป็นว่าดี
หากฉันไม่ได้พบเธอ คงไม่เป็นอย่างวันนี้
ฉันรู้สึกดี ที่เรามีกันละกัน

ไม่มีใครคนไหน ทำให้ฉันกลายเป็นคนสำคัญ
เธอได้ทำให้มันเกิดขึ้นมา

คำว่ารัก ที่ฉันเคยฟังจากใคร
ฉันลืมมันไป และเหมือนได้ยินครั้งแรกก็จากเธอ
คำๆ นั้น ที่ฉันต้องการจดจำไว้เสมอ
คำว่ารัก ที่เป็นของเธอคนเดียวเท่านั้น

ไม่คิดว่าจะโชคดี เมื่อเคยมีแต่โชคร้าย
ฟ้าฝนผ่านไป ได้เจอสายรุ้งสักที
ไม่คิดว่ามีสักวัน ที่เธอจะอยู่ตรงนี้
ฉันรู้สึกดี ที่เรามีกันและกัน

ไม่มีใครคนไหน ทำให้ฉันกลายเป็นคนสำคัญ
เธอได้ทำให้มันเกิดขึ้นมา

คำว่ารัก ที่ฉันเคยฟังจากใคร
ฉันลืมมันไป และเหมือนได้ยินครั้งแรกก็จากเธอ
คำๆ นั้น ที่ฉันต้องการจดจำไว้เสมอ
คำว่ารัก ที่เป็นของเธอคนเดียวเท่านั้น

คำว่ารัก ที่ฉันเคยฟังจากใคร
ฉันลืมมันไป และเหมือนได้ยินครั้งแรกก็จากเธอ
คำๆ นั้น ที่ฉันต้องการจดจำไว้เสมอ
คำว่ารัก ที่เป็นของเธอคนเดียวเท่านั้น",bowkylion
คิดถึงแต่ (Untold),/music/thailyric/17614,"คิดถึงแต่ต้องทน
เพราะเราสองคน
ไม่ได้เป็นอะไรกัน

รักเธออยู่ทุกวัน แค่ไม่เคยเอ่ย
ยังไม่อยากเฉลยไว้เธอค่อยเข้าใจ

ไม่ว่าเธอจะไปไหน ฉันก็ไปกับเธอทุกที่เลย
ไม่ว่าเธอจะเจอใคร ฉันจะคอยรับฟังอยู่เฉยๆ
จะให้เป็นที่ปรึกษา มีไว้คอยแก้ปัญหา
ล้าหัวใจ แค่ซบตรงไหล่

บางครั้งเราต้องห่างไกล
กลัวว่าเธออาจสงสัย
และถามมา อย่ารู้ดีกว่า

คิดถึงแต่ต้องทน
เพราะเราสองคน
ไม่ได้เป็นอะไรกัน

รักเธออยู่ทุกวัน แค่ไม่เคยเอ่ย
ยังไม่อยากเฉลยไว้เธอค่อยเข้าใจ

แค่ในบางทีเมฆบนฟ้านั้นดูหม่น
แต่ไม่อาจปล่อยฝนลงมาให้เป็นสาย
รักแค่ในใจเก็บเอาไว้ไม่ง่ายดาย
เคียงข้างกายถึงแม้มีใครข้างๆ เธอ

คิดถึงแต่ต้องทน
เพราะเราสองคน
ไม่ได้เป็นอะไรกัน

รักเธออยู่ทุกวัน แค่ไม่เคยเอ่ย
ยังไม่อยากเฉลยไว้เธอค่อยเข้าใจ

คิดถึงแต่ต้องทน (คิดถึงเธอเหลือเกิน)
รักเธออยู่ทุกวัน (เก็บเธอในใจ)
(และไม่บอกใคร มีเธอเท่านั้น)
แต่เป็นเพียงแค่ฝันฉันคงต้องเข้าใจ",bowkylion
