song_name,href,lyric,artist
เขาไม่เกี่ยว,/music/thailyric/2732,"ก็จะไม่ถามและจะไม่อยากรู้ เรื่องเธอกับเขา
ไม่เอา ไม่เอา ไม่ต้องเล่าเลย ก็เรื่องมันผ่านไปแล้ว (ฮู....ฮู....)

ไม่ผิดใช่ไหมที่ไม่เคยอยากรู้ เรื่องที่ผ่านเลย
ฉันคงเฉยๆ หากว่าต้องฟัง เพราะไม่เคยสนใจ

มันจะเป็นยังไง มันก็เป็นแค่อดีต (ที่จบลงไปแล้วใช่รึเปล่า)
(เราอย่าไปพูดถึงได้รึเปล่า) ก็แค่วันนี้ไม่เกี่ยวกับเขา
จากนี้จะมีแต่เรา อย่าเอาเรื่องเขาเข้ามารบกวนเราเลย
ได้รึเปล่า ได้รึเปล่า อย่าเอาเขามารบกวนเราเลย
ฮู....ฮา....(ฮู....ฮู....)

ทำไมเธอถาม หรือว่าเธออยากรู้ เรื่องฉันกับเขา
ไม่เอา ไม่เอา ไม่ต้องรู้เลย ฉันไม่บอก ไม่บอก

มันจะเป็นยังไง มันก็เป็นแค่อดีต (ที่จบลงไปแล้วใช่รึเปล่า)
(เราอย่าไปพูดถึงได้รึเปล่า) ก็แค่วันนี้ไม่เกี่ยวกับเขา
จากนี้จะมีแต่เรา อย่าเอาเรื่องเขาเข้ามารบกวนเราเลย
ได้รึเปล่า ได้รึเปล่า อย่าเอาเขามารบกวนเราเลย
ฮู....ฮา....(ฮู....ฮู....)

ได้รึเปล่า ได้รึเปล่า อย่าให้เขามารบกวนเราเลย วันนี้ใจฉันรักเธอขนาดนี้
อย่างที่ไม่เคยจะมีให้ใครมาก่อน ยังไม่พอรึไง...

มันจะเป็นยังไง มันก็เป็นแค่อดีต ไม่ใช่วันนี้ของเรา
และต่อจากนี้จะไม่มีเขา จากนี้จะมีแต่เรา
อย่าเอาเรื่องเขา เข้ามารบกวนเราเลย
ได้รึเปล่า ได้รึเปล่า อย่าเอาเขามารบกวนเราเลย
ได้รึเปล่า ได้รึเปล่า อย่าเอาเขามารบกวนเราเลย
ได้รึเปล่า ได้รึเปล่า อย่าเอาเขามารบกวนเราเลย
ได้รึเปล่า ได้รึเปล่า อย่าเอาเขามารบกวนรักเราเลย",boy_trai_bhumiratna
คนใจน้อย,/music/thailyric/2733,"ทำไมทำไมนะใจฉัน ชอบเป็นอย่างนี้หรือไง
ทำไมต้องคอยคิดไปถึงใคร
ที่เขาไม่รัก ที่เขาไม่สนใจคนอย่างเรา

กระเป๋าสตางค์มีรูปเขา เปิดเอามาดูทำไม
จะโทรไปหาเขาเพื่ออะไร เพราะถ้ารักกัน
เขาคงไม่ลืมกันใช่ไหม

พอได้แล้ว ไม่เอาแล้ว จากนี้ฉันจะไม่คิดถึงเธอ
หยุดเอาไว้ บอกใจว่าอย่าเผลอ

จะคิดจะฝันจะเพ้อทำไม เขาไม่แคร์
ดูหนังคนเดียวมันแปลกเหรอ กินข้าวคนเดียวแล้วไง
ยังมีอะไรให้ทำมากมาย แค่ไม่มีเธอ
ไม่ต้องเห็นต้องเจอคนใจร้าย

พอได้แล้ว ไม่เอาแล้ว จากนี้ฉันจะไม่คิดถึงเธอ
หยุดเอาไว้ บอกใจว่าอย่าเผลอ

จะคิดถึงเขาทำไม เขาจะมีใจให้เราเหรอ
คงจะมีแต่ทำให้เราเก้อเพ้อละเมอข้างเดียว

(เป็นอย่างนี้บ่อย เพราะว่าน้อยใจ ร้องเพลงไปเพื่อเขาจะฟัง
ตบมือข้างเดียว อยากให้มันดัง แต่ไม่เคยมีเสียง",boy_trai_bhumiratna
เชื่อ,/music/thailyric/2735,"เปิดประตูกลับมา...ในห้องว่างเปล่า อยู่คนเดียวอีกแล้ว...กับความเงียบเหงา
ฉันยังมีชีวิตอยู่กับอดีตของเรา ที่เคยสร้าง ที่เคยฝัน ที่เคยสัญญาไว้...ด้วยกัน

เพิ่งซื้อการ์ตูนเล่มนึง...อยากให้เธออ่าน ดูหนังเรื่องนั้นจบไป...เธอได้ดูหรือยัง
ผ่านร้านนี้ทีไร...ต้องนึกถึงเธอทุกครั้ง ตั้งแต่วันนั้นที่เราต้องห่าง และไม่ได้อยู่ใกล้กัน

วันนี้ฉันมีคำถามมากมายที่ยังสงสัย และก็ยังไม่รู้ต้องทำอย่างไร
คือเรื่องของเธอ บางเรื่องที่ฉันยังไม่เข้าใจ

วันนี้ฉันมีคำถามมากมายที่ยังสงสัย และถึงมีใครบอกฉันให้ฟังอย่างไร
สิ่งที่เขาบอก จะไม่มีทางเปลี่ยนฉันไปได้ เพราะว่าฉันยังจำที่เธอบอกไว้
เราจะเชื่อในกันและกัน ใช่ไหม...

เมื่อเรื่องราวที่เราได้เจอผ่านไป เธอจะกลับมาหาฉันใช่ไหม
หากอะไรอะไรมันได้ผ่านไป จะมีวันที่เธอกลับมาใช่ไหม...ใช่ไหม

วันนี้ยังคงมีฉันที่รอเธออยู่...รู้ไหม ตรงนี้ วินาทีนี้ เธอได้ยินไหม
เรื่องราวที่เกิด จะไม่มีทางเปลี่ยนฉันไปได้ จะไม่ฟังอะไรอะไรจากใคร
และจะฟังจากเธอคนเดียวได้ไหม ก็เพราะเราจะเชื่อในกันและกัน ใช่ไหม..",boy_trai_bhumiratna
เผื่อว่าวันพรุ่งนี้,/music/thailyric/2737,"รู้ฉันรู้ว่าเธอนั้นดีแค่ไหน
ยิ่งรู้เท่าไรยิ่งทำให้ใจฉันหวั่น
เห็นฉันเห็นทุกๆ สิ่ง ที่เธอได้ทำให้ฉัน
และเข้าใจว่าเธอรักฉันมาก

แต่อย่าโกรธฉันเลย
เธอจะพยายามเท่าไหร่คำตอบก็เหมือนเคย
เพราะว่าใจของฉัน มีไว้ให้เขาเท่านั้น

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้
เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้
เชื่อฉันเถิดอย่าเสียเวลาอีกเลย

กี่ครั้งที่เธอบอกฉันให้ลืมเขา
ลืมความปวดร้าวในใจอย่าคิดถึงมัน
ขอบคุณที่ใจของเธอมีให้ฉัน
และรู้ว่ามันเป็นความหวังดี

แต่อย่าโกรธฉันเลย
เธอจะพยายามเท่าไหร่คำตอบก็เหมือนเคย
เพราะว่าใจของฉัน มีไว้ให้เขาเท่านั้น

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้
เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้
เชื่อฉันเถิดอย่าเสียเวลาอีกเลย

แต่อย่าโกรธฉันเลย
เธอจะพยายามเท่าไหร่คำตอบก็เหมือนเคย
เพราะว่าใจของฉัน มีไว้ให้เขาเท่านั้น

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้
เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้
เชื่อฉันเถิดอย่าเสียเวลาอีกเลย

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้
เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้
เชื่อฉันเถิดอย่าเสียเวลาอีกเลย",boy_trai_bhumiratna
เพลงเศร้า,/music/thailyric/2739,"ใครเปิดเพลงนี้กัน ไม่เอานะ    ทำไมไม่เห็นใจ กันบ้างเลย
เพราะว่าเพลงนี้เป็นเพลงที่ฉันคุ้นเคย ทั้งคำร้องและทำนอง
มันช่างโดนใจเหลือเกิน ทรมานใจเหลือเกิน ทนไม่ได้

ปิดทีได้มั๊ยไม่อยากได้ยิน เปลี่ยนเพลงได้มั๊ยได้โปรดเห็นใจ
ได้ยินเพลงนี้ทีไร มันจะละลาย (ทนไม่ไหว ฮู...)

มันจะเป็นจะตาย ได้ยินแล้วจะร้องไห้...โอ๊ย
เพราะเพลงนี้ (ฉันมีความหลัง)(เป็นเพลงเศร้าของฉัน)

เคยเป็นเพลงรักแทนใจให้กับเค้า กลายเป็นเพลงแสนเศร้าเมื่อเลิกกัน
ฟังประโยคไหนก็เหมือนแต่งมาเพื่อฉัน ทั้งคำร้องและทำนอง
มันช่างทิ่มแทงเหลือเกิน ทรมานใจเหลือเกิน ทนไม่ได้

ปิดทีได้มั๊ยไม่อยากได้ยิน เปลี่ยนเพลงได้มั๊ยได้โปรดเห็นใจ
ได้ยินเพลงนี้ทีไร มันจะละลาย (ทนไม่ไหว ฮู...)

มันจะเป็นจะตาย ได้ยินแล้วจะร้องไห้...โอ๊ย
เพราะเพลงนี้ (ฉันมีความหลัง)(เป็นเพลงเศร้าของฉัน)

ปิดทีได้มั๊ยไม่อยากได้ยิน เปลี่ยนเพลงได้มั๊ยได้โปรดเห็นใจ
ได้ยินเพลงนี้ทีไร มันจะละลาย (ทนไม่ไหว ฮู...)

ปิดทีได้มั๊ยไม่อยากได้ยิน เปลี่ยนเพลงได้มั๊ยได้โปรดเห็นใจ
ได้ยินเพลงนี้ทีไร มันจะละลาย (ทนไม่ไหว ฮู...)

มันจะเป็นจะตาย ได้ยินแล้วจะร้องไห้...โอ๊ย
เพราะเพลงนี้ (ฉันมีความหลัง)(เป็นเพลงเศร้าของฉัน)",boy_trai_bhumiratna
เมื่อไม่มีเธอ,/music/thailyric/2741,"ก่อนนั้นฉันมีเธอที่เข้าใจ
วันนั้น เหมือนความสุขที่มีช่างมากมาย
มีเราอยู่เคียงข้างกัน

แต่วันนี้ เมื่อเส้นทางของเราต่าง
และครั้งนี้ เหมือนหัวใจของเรายิ่งเหินห่าง
ทำไมต้องเป็นอย่างนี้

ฉันนั้นยังรักเธออยู่
หัวใจยังคงเหมือนเดิมทุกอย่าง
บอกฉันมาเถอะถ้ามีทาง
จะทำให้เรานั้นเป็นเหมือนเดิม

เพราะไม่มีเธอวันนี้ไม่มีเธอ
หันไปก็ไม่เจอ ไม่รู้จะยิ้มให้ใคร
เมื่อไม่มีเธอสุขไหนก็คงไม่มีความหมาย
หากมันต้องแลกกับเธอ

มองฉันด้วยดวงตาของคนเก่า
อีกสักครั้งฉันยังเชื่อว่าความรักของเรา
ไม่มีอะไรเปลี่ยนไป

เพราะว่ายังรักเธออยู่
หัวใจยังคงเหมือนเดิมทุกอย่าง
บอกฉันมาเถอะถ้ามีทาง
จะทำ จะทำให้เราเข้าใจ

เพราะไม่มีเธอวันนี้ไม่มีเธอ
หันไปก็ไม่เจอ ไม่รู้จะยิ้มให้ใคร
เมื่อไม่มีเธอสุขไหนก็คงไม่มีความหมาย
หากมันต้องแลกกับเธอ

ไม่มีเธอ ไม่มีเธอ ไม่มีเธอ...

ถ้าเรายังรักกันอยู่
และใจเรายังเหมือนเดิมทุกอย่าง
บอกฉันมาเถอะถ้ามีทาง
จะทำให้เรานั้นเป็นเหมือนเดิม

เพราะไม่มีเธอวันนี้ไม่มีเธอ
หันไปก็ไม่เจอ ไม่รู้จะยิ้มให้ใคร
เมื่อไม่มีเธอสุขไหนก็คงไม่มีความหมาย
หากมันต้องแลกกับเธอ

เพราะไม่มีเธอวันนี้ไม่มีเธอ
หันไปก็ไม่เจอ ไม่รู้จะยิ้มให้ใคร
เมื่อไม่มีเธอสุขไหนก็คงไม่มีความหมาย
หากมันต้องแลกกับเธอ

ไม่มีเธอ ไม่มีเธอ ไม่มีเธอ...",boy_trai_bhumiratna
แม่,/music/thailyric/2742,"ทุกครั้งตอนที่ฉันเสียใจ เธอใช่ไหมที่อยู่ข้างกัน
หรือแม้วันที่ฉันไหวหวั่น เธอเท่านั้นที่ไม่เคยทิ้งไป
ในคืนที่ฉันเหงาที่สุด เธอรับรู้ และกอดฉันไว้
ด้วยความรัก ที่แสนยิ่งใหญ่ ที่มีให้ฉันคนนี้จริงๆ
แล้วจะต้องการ อะไรไปกว่านี้

เพราะว่ามันเพียงพอแล้ว เพียงพอแล้ว
เมื่อรู้ว่ายังมีคนคนหนึ่ง ที่พร้อมจะเข้าใจ
มันก็คงเพียงพอแล้ว กับความหมาย
ไม่เห็นจำเป็นต้องมากมาย

ถึงใจจะแสนเหนื่อย แต่ฉันคงจะสู้ไหว
ดูเหมือนโลกนี้ก็คงยังไม่เลวร้าย เพราะฉันยังมีเธอ

บางทีฉันก็ไม่ตั้งใจ จนทำร้ายความรู้สึกของเธอ
ทิ้งรักเธอนั้นไว้จนเก้อ แต่ทุกครั้งเธอก็ยังเข้าใจ
คนเดียวที่รักฉันที่สุด คนคนนั้นคือเธอใช่ไหม
ด้วยอ้อมแขนที่แสนยิ่งใหญ่ ที่มีให้ฉันคนนี้จริงๆ",boy_trai_bhumiratna
ดวงอาทิตย์,/music/thailyric/12653,"พลั้งเผลอทุกครั้ง
ทำไมฉันฮัมเพลงแบบนี้ทั้งวัน
ดูเหมือนอาการมันชอบเป็น
ตั้งแต่เรารู้จักกัน

ฉันไม่ต้องการสิ่งใด
ขอแค่มีเธอข้างฉัน oh baby
ไม่อยากมองใครที่ไหน
ฉันขอแค่เธอเท่านั้น

สมมติว่า
ทุกเช้าได้ตื่นมาเจอกันทุกวัน
สมมติว่า
เธอนอนหลับในอ้อมแขนฉัน
เสียงหัวใจเต้นจังหวะเดียวกัน
โอ้ เธอรู้บ้างไหมสำหรับฉัน oh baby

เธอนั้นเป็นเหมือนดวงอาทิตย์
ลบความมืดมิดให้สว่าง
เธอคือความรัก
เธอคือยามเช้าของชีวิต
อบอุ่นเหลือเกินเมื่อเคียงข้าง

ถ้าฉันมีเธอในชีวิต
มันจะดีแค่ไหน
หัวใจของฉันมีความรัก
ใช่หรือไม่
ชีวิตที่มีเธอ
ตื่นได้เจอทุกวันคงสดใส

เป็นเพื่อนที่ให้คำปรึกษา
จริงจังหรือว่าเพ้อเจ้อ
เป็นคนทำให้รู้สึกเหงา
เวลาที่ไม่ได้เจอ

รู้ไหมฉันชอบตัวเอง
แบบตอนที่ฉันอยู่กับเธอ oh baby
คงเพราะว่าเธอมองเห็น
สิ่งที่ฉันเป็นเสมอ oh

สมมุติว่า
ทุกเช้าได้ตื่นมาเจอกันทุกวัน
สมมุติว่า
เธอนอนหลับในอ้อมแขนฉัน
เสียงหัวใจเต้นจังหวะเดียวกัน
มันจะดีอะไรขนาดนั้น

ถ้าฉันมีเธอในชีวิต
มันจะดีแค่ไหน
หัวใจของฉันมีความรัก
ใช่หรือไม่
ชีวิตที่มีเธอ
ตื่นได้เจอทุกวันคงสดใส oh baby

เธอนั้นเป็นเหมือนดวงอาทิตย์
ลบความมืดมดให้สว่าง
เธอคือยามเช้าของชีวิต
อบอุ่นเหลือเกินเมื่อเคียงข้าง

ถ้าฉันมีเธอในชีวิต
มันจะดีแค่ไหน
หัวใจของฉันมีความรัก
ใช่หรือไม่
ชีวิตที่มีเธอ
ตื่นได้เจอทุกวันคงสดใส

มา มาอยู่ด้วยกัน
เป็นยามเช้าของฉัน
อยากให้รอยยิ้มนั้น
เป็นของฉันทุกๆ เช้า
มา มาอยู่ด้วยกัน
เป็นยามเช้าของฉัน
อยากให้รอยยิ้มนั้น
เป็นของฉันทุกๆ เช้า

มา มาอยู่ด้วยกัน
เป็นยามเช้าของฉัน
อยากให้รอยยิ้มนั้น
เป็นของฉันทุกๆ เช้า
มา มาอยู่ด้วยกัน
เป็นยามเช้าของฉัน
อยากให้รอยยิ้มนั้น
เป็นของฉันทุกๆ เช้า",boy_trai_bhumiratna
เรื่องน่าเบื่อที่สวยงาม,/music/thailyric/11356,"เธอเบื่อกันหรือยัง กับคนที่นั่งข้างเธอคนนี้
ผ่านมานานหลายปีอาจจะหลงลืมวิธีอ่อนหวาน
มีวันที่ดีแสนดี มีวันที่น่ารำคาญ
รักเราผ่านเวลาเนิ่นนานเท่าไหร่

เบื่อกันรึเปล่า ที่ยังชอบโทรถามว่าอยู่ไหน
บางทีก็ไม่โรแมนติกเหมือนใครคงไม่ว่ากัน
เธอมีเรื่องบ่นได้เสมอ ส่วนฉันชอบลืมวันสำคัญ
มีแต่เรื่องน่าเบื่ออยู่ทุกวัน ในทุกความทรงจำ

ความรักคงจะเหมือนเพลงรักที่เรื่องมันก็ซ้ำๆ
แต่เราก็ชอบร้องมันไม่เห็นจะเคยเบื่อเลยใช่ไหม
รักเราช่างธรรมดาและคงน่าเบื่อสำหรับใคร
แต่ฉันว่ามันอบอุ่นเหลือเกิน ที่หัวใจ

เบื่อกันหรือยัง กับคนที่นั่งข้างเธอคนนี้
ผ่านมานานหลายปี ยังทำให้เธอหัวเราะได้ไหม
คงมีแต่เรื่องราวซ้ำๆ ที่เรารู้และเข้าใจ
มันคือเรื่องน่าเบื่อที่สวยงาม เธอคิดเหมือนกันบ้างไหม

ความรักคงจะเหมือนเพลงรักที่เรื่องมันก็ซ้ำๆ
แต่เราก็ชอบร้องมันไม่เห็นจะเคยเบื่อเลยใช่ไหม
รักเราช่างธรรมดาและคงน่าเบื่อสำหรับใคร
แต่ฉันว่ามันอบอุ่นเหลือเกิน ที่หัวใจ

เบื่อกันหรือยัง กับคนที่นั่งข้างเธอคนนี้
ผ่านไปอีกหลายปี จะให้เหมือนเดิมได้สักแค่ไหน
อาจจะมีเรื่องให้บ่นอีกเยอะ แต่ฟังแล้วสบายใจ
มันคือเรื่องน่าเบื่อที่สวยงาม และงดงามใช่ไหม",boy_trai_bhumiratna
ลาก่อนพิน็อคคิโอ,/music/thailyric/15191,"ผมก็แค่คนหลอกตัวเอง ไม่ได้หลอกใคร
แค่โกหกตัวเอง คงไม่ มีใครเดือดร้อน
เป็นแค่เพียงความคิดลึกๆ
เป็นความฝันอยู่ข้างใต้หมอน
เก่งแต่เล่นละครที่มัน ตรงข้ามกัน กับหัวใจ

ที่แต่หลอกตัวเองทุกครั้ง ที่ผมเจอคุณ
ว่าไม่เคยแอบชำเลืองมองคุณ ไม่เคยสนใจ
นิทานว่าคนพูดไม่จริง จมูกจะยิ่งยืดยาวใช่ไหม
ส่องกระจกดูตัวเองแล้วจะว่าไป ไม่เหมือนตัวผมเลย

หลอกตัวเองจนเป็นนิสัย
หลอกหัวใจจนเหมือนมันไร้ความรู้สึก
ปากบอกว่าไม่คิด ไม่เคยเลยสักนิด
ทั้งที่ลึกๆ มันไม่ใช่ มันเป็นเรื่องโกหกทั้งนั้น
คำโกหกกำลังกัดกิน ผมจากข้างใน
รักคุณหมดใจแล้ว ยังกล้าพูดว่าผม ไม่ได้คิดอะไร

คงต้องบอกความจริงเรื่องนี้ ให้คุณได้ฟัง
ต้องพูดเรื่องจริงเพื่อล้าง เวทมนตร์นี้ตาย
ไม่พูดยิ่งนานยิ่งขม เพราะหัวใจผมจะกลายเป็นไม้
ไม่อยากโกหกตัวเอง อีกต่อไป จะสารภาพไปให้หมด

หลอกตัวเองจนเป็นนิสัย
หลอกหัวใจจนเหมือนมันไร้ความรู้สึก
ปากบอกว่าไม่คิด ไม่เคยเลยสักนิด
ทั้งที่ลึกๆ มันไม่ใช่ มันเป็นเรื่องโกหกทั้งนั้น
คำโกหกกำลังกัดกิน ผมจากข้างใน
รักคุณหมดใจแล้ว รักคุณขนาดนี้
แต่ไม่รู้ต้องทำอย่างไร

รักคุณหมดใจแล้ว รักคุณขนาดนี้
คุณไม่รู้เลยใช่ไหม

ผมก็แค่คนหลอกตัวเอง
ไม่ได้หลอกใคร",boy_trai_bhumiratna
