song_name,href,lyric,artist
ได้ไหม,/music/thailyric/3340,"อยากบอกความรู้สึกที่ฉันมี อยากบอกเธอ
อยากให้เราสองคนนั้นเหมือนเดิม อย่างที่เราเคยเข้าใจ
อย่างที่เราเคยมีกัน เธอกับฉันวาดฝันที่ขอบฟ้าไกล
สิ่งที่เธอให้กับฉัน สิ่งนั้นฉันไม่เคยได้จากใคร
แต่ในวันนี้ สิ่งนั้นกำลังจากไป ฮา ฮา ฮา

อยากให้มันดีกว่านี้เรื่องความรักของเรา อย่าให้มันจบอย่างนี้เลยได้ไหม
มันคงไม่ยากเกินไป หากเธอมีใจเป็นเหมือนคนเดิม
นอกจากเธอ(ปิดบังอะไรไว้ในใจ) (ไม่เหมือนเดิม)

บอกจากความรู้สึกที่ฉันมี บอกให้เธอรู้
ว่าเหตุผลของเธอเหมือนกำแพง แบ่งให้เราเดินแยกไป
ก็ไหนว่าเรามีกัน แต่คำๆนั้น อยากถามว่าหมายความว่าอย่างไร
อยากนัดเจอเธอได้ไหม ก็อยากจะรู้ว่าเพราะอะไร ที่เธอเปลี่ยนไป
หากเป็นที่ฉัน ก็พร้อมจะนั่งลง อ้อนวอนกับเธอบอกว่าฉันเสียใจ

อยากให้มันดีกว่านี้เรื่องความรักของเรา อย่าให้มันจบอย่างนี้เลยได้ไหม
มันคงไม่ยากเกินไป หากเธอมีใจเป็นเหมือนคนเดิม
นอกจากเธอ(ปิดบังอะไรไว้ในใจ) (ไม่เหมือนเดิม)

อยากให้มันดีกว่านี้เรื่องความรักของเรา อย่าให้มันจบอย่างนี้เลยได้ไหม
มันคงไม่ยากเกินไป หากเธอมีใจเป็นเหมือนคนเดิม
นอกจากเธอ(ปิดบังอะไรไว้ในใจ) (ไม่เหมือนเดิม)",briohny
ฝันกลางวัน,/music/thailyric/3343,"ฉันยังคงสงสัย รู้สึกอยู่ไม่หาย ก็คิดว่าเธอคงรักกัน
และฉันก็รอฟัง รอฟัง แค่หนึ่งคำนั้น ที่เธอยังไม่เคยบอกฉันเลย

เห็นแววตาลึกซั้ง ที่เธอมีให้ฉัน มันมากเกินคำว่าเพื่อนกัน
ดูคล้ายเธอมีใจ ดูเธอช่างห่วงใยฉัน แต่กลัวที่ฉันเดามันจะไม่จริง

อย่าปล่อยให้ฉันต้องฝันกลางวัน ให้ฉันมัวคิดเอาเอง
กลัวหัวใจตัวเองงมงายกว่านี้

อย่าปล่อยให้ฉันยิ่งคิดไปไกล ให้ฉันยิ่งฝันไปใหญ่
คงต้องรบกวนเธอให้ปลุกฉันที

ถ้าไม่เคยรักฉันก็หยุดอยู่แค่นั้น อย่าให้ความหวังกันมากไป
ถ้าคิดว่ามีใจ ควรลืมฉันหน่อยได้ไหม อย่าพูดมาซักคำว่าเธอรักกัน

อย่าปล่อยให้ฉันต้องฝันกลางวัน ให้ฉันมัวคิดเอาเอง
กลัวหัวใจตัวเองงมงายกว่านี้

อย่าปล่อยให้ฉันยิ่งคิดไปไกล ให้ฉันยิ่งฝันไปใหญ่
คงต้องรบกวนเธอให้ปลุกฉันที

อย่าปล่อยให้ฉันต้องฝันกลางวัน ให้ฉันมัวคิดเอาเอง
กลัวหัวใจตัวเองงมงายกว่านี้

อย่าปล่อยให้ฉันยิ่งคิดไปไกล ให้ฉันยิ่งฝันไปใหญ่
คงต้องรบกวนเธอให้ปลุกฉันที

ถ้าไม่เคยรักฉันก็หยุดอยู่แค่นั้น อย่าให้ความหวังกันมากไป
ถ้าคิดว่ามีใจ ควรลืมฉันหน่อยได้ไหม อย่าพูดมาซักคำว่าเธอรักกัน

อย่าพูดมาซักคำ...ว่าเธอรักกัน",briohny
ขอดาว,/music/thailyric/12002,"ฝากดาวทุกดวง
ที่ฉันเคยนั่งมองทุกวัน
ด้วยหัวใจที่ฉันคิดถึงเธอ
เมื่อเราห่างกัน

หากคืนนี้ ได้มอง
เห็นดาวทอดแสงพาดผ่าน
ร่วงลงสู่ดินที่ปลายฟ้า ฉันจะหลับตา
อธิษฐานขอดาว
ถ้าทุกคำที่ขอเป็นได้จริง
สิ่งไหนที่มันมากมายฉันคงไม่ต้องการ

ขอ ขอแค่เธอคนดีอยู่ตรงนี้ข้างๆ กาย
เอื้อมมือไปเมื่อไรก็ได้เจอ
ขอ นั่งมองดาวด้วยกัน
ให้ความฝันไม่เดียวดาย
ขอให้เรามีกันตลอดไป ก็พอแล้ว

หากคืนนี้ ได้มอง
เห็นดาวทอดแสงพาดผ่าน
ร่วงลงสู่ดินที่ปลายฟ้า ฉันจะหลับตา
อธิษฐานขอดาว
ถ้าทุกคำที่ขอเป็นได้จริง
สิ่งไหนที่มันมากมายฉันคงไม่ต้องการ

ขอ ขอแค่เธอคนดีอยู่ตรงนี้ข้างๆ กาย
เอื้อมมือไปเมื่อไรก็ได้เจอ
ขอ นั่งมองดาวด้วยกัน
ให้ความฝันไม่เดียวดาย
ขอให้เรามีกันตลอดไป ก็พอแล้ว
ก็พอแล้ว",briohny
จ๊ะจ๋าหน่อยนะจ๊ะ,/music/thailyric/3337,"(ทำยังไงไม่เป็น ไม่เป็นเลยจริงจริง
ทำยังไงก็มันไม่เคย ไม่เคยซักที)

อยากบอกกันตามที่หัวใจ เธอรู้สึกว่าเป็นเช่นไร
บอกว่ารัก รักกันบ้างก็คงจะดี
ไม่เคยพูดเลย ว่าเธอน่ะคิดถึงกัน
หวานหวานสักคำ จ๊ะกันหน่อยนะจ๊ะ
ไม่เคยสักที จะส่งดอกไม้ให้กัน
ต้องรอเท่าไหร่ จะเฉาตายอยู่แล้วเธอ

(ทำยังไงไม่เป็น ไม่เป็นเลยจริงจริง
ทำยังไงก็มันไม่เคย ไม่เคยซักที)

ฝึกตอนนี้คงจะไม่นาน แล้วไม่ยากถ้าเธอจะทำ
ให้ฉันสอน สอนก็ได้ไม่คิดสตางค์

เช่นโทรหากัน บอกเลยว่าคิดถึงจัง
หวานหวานซักคำ จ๊ะกันหน่อยนะจ๊ะ
ต้องลองซักที ดอกไม้สักช่อก็พอ
เริ่มเลยแล้วกัน ฉันคงสุขหัวใจ

(ทำยังไง ยังไง ยังไงก็ไม่เป็น
ทำให้โดนให้ดีไม่ได้อย่างใจของเธอ)

ฝึกตอนนี้คงจะไม่นาน แล้วไม่ยากถ้าเธอจะทำ
ให้ฉันสอน สอนก็ได้ไม่คิดสตางค์

เช่นโทรหากัน บอกเลยว่าคิดถึงจัง
หวานหวานซักคำ จ๊ะกันหน่อยนะจ๊ะ
ต้องลองซักที ดอกไม้สักช่อก็พอ
เริ่มเลยแล้วกัน ฉันคงสุขหัวใจ

(ทำยังไงไม่เป็น ไม่เป็นเลยจริงจริง
ทำยังไงก็มันไม่เคย ไม่เคยซักที)

แค่บอกกันตรงตามที่หัวใจ เธอรู้สึกว่าเป็นเช่นไร
บอกว่ารัก รักกันบ้างก็คงจะดี",briohny
ข่าวร้าย,/music/thailyric/3334,"เธออยู่กับฉันแต่ว่ามันดูเย็นชา ไม่ค่อยยิ้มไม่พูดจาเหมือนมีอะไรในใจ
ฉันใจก็หายยิ่งนานไปหัวใจยิ่งสั่น อย่างกับฉันถูกเธอนั้นฆ่ากันให้ตายช้าๆ

มองตากันเมื่อไหร่ คำถามของใจที่ค้างคา ก็เฉลยออกมาว่าเธอแค่สงสารกัน

บอกข่าวร้ายมาสักที ว่าวันนี้เธอมีเขาคนใหม่ แล้วฉันใช่ใหม่ที่เธอไม่ต้องการ
บอกข่าวร้ายมาได้ไหม เก็บเอาไว้ทำไมฉันทรมาน แม้ว่าฉันต้องเจ็บก็พร้อมจะฟัง

เธอไม่ต้องกลัวว่าจะยื้อไม่ให้เธอไป บอกคำเดียวก็เข้าใจง่ายๆจบเพียงแค่นี้
ฉันจะได้รู้ว่าต่อไปถ้าฉันไม่มี ไม่ได้เห็นเธอคนนี้ฉันควรจะทำยังไง

มองตากันเมื่อไหร่ คำถามของใจที่ค้างคา ก็เฉลยออกมาว่าเธอแค่สงสารกัน

บอกข่าวร้ายมาสักที ว่าวันนี้เธอมีเขาคนใหม่ แล้วฉันใช่ใหม่ที่เธอไม่ต้องการ
บอกข่าวร้ายมาได้ไหม เก็บเอาไว้ทำไมฉันทรมาน แม้ว่าฉันต้องเจ็บก็พร้อมจะฟัง

มองตากันเมื่อไหร่ คำถามของใจที่ค้างคา ก็เฉลยออกมาว่าเธอแค่สงสารกัน

บอกข่าวร้ายมาสักที ว่าวันนี้เธอมีเขาคนใหม่ แล้วฉันใช่ใหม่ที่เธอไม่ต้องการ
บอกข่าวร้ายมาได้ไหม เก็บเอาไว้ทำไมฉันทรมาน แม้ว่าฉันต้องเจ็บก็พร้อมจะฟัง

แม้ว่าฉันต้องเจ็บก็พร้อมจะฟัง",briohny
คนรึเปล่า,/music/thailyric/3335,"วันจันทร์ก็ดอกไม้ อังคารก็จดหมาย พุธก็ตุ๊กตาลูกโป่งลอยมาวันพฤหัส
ศุกร์เธอก็ขอนัด เราไม่ไปก็บอกชัด

ยังตื้อทำไมเธอไม่เข้าใจ เพราะเมื่อไหร่บอกไปก็ไปหาเธอ
ก็รู้ว่าใจของเธอนั้นจริงใจ ให้กับฉันที่เธอเฝ้าทนอยู่ทุกวัน
ไม่เคยนึกหวั่น เกือบยอมมอบใจให้เธอ

คนรึเปล่า ทำไมไม่ฟังไม่รับรู้ คนรึเปล่า บอกไปไม่ฟังเธอไม่รู้
คนรึเปล่า ทำไมยังตื้อไม่ฟังเสียง คนรึเปล่า เธอทำเอาใจเราโอนเอียง

คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า
คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า

หลับตาก็ฝันร้าย หน้าเธอทั้งขวาซ้าย คอยเซ้าซี้กวนใจอยากอยู่ไกลๆกับเธอนะ
ในใจอยากเจอนัก ตัวจริงมีความรัก

ยังตื้อทำไมเธอไม่เข้าใจ เพราะเมื่อไหร่บอกไปก็ไปหาเธอ
ก็รู้ว่าใจของเธอนั้นจริงใจ ให้กับฉันที่เธอเฝ้าทนอยู่ทุกวัน
ไม่เคยนึกหวั่น เกือบยอมมอบใจให้เธอ

คนรึเปล่า ทำไมไม่ฟังไม่รับรู้ คนรึเปล่า บอกไปไม่ฟังเธอไม่รู้
คนรึเปล่า ทำไมยังตื้อไม่ฟังเสียง คนรึเปล่า เธอทำเอาใจเราโอนเอียง

คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า
คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า

ตื้อก็บ่น ไม่ตื้อก็บ่น ตื้อก็บ่น ตื้อก็บ่น ไม่ตื้อก็บ่น ตื้อก็บ่น
ทำไมเธอช่างวกวน มองเธอมานานตั้งแต่วันวานโน้น
ชอบฉันดีกว่า ก็ฉันนั้นดีกว่า รักกันดีกว่า ไปเที่ยวกันดีกว่านะ

ยังตื้อทำไมเธอไม่เข้าใจ เพราะเมื่อไหร่บอกไปก็ไปหาเธอ
ก็รู้ว่าใจของเธอนั้นจริงใจ ให้กับฉันที่เธอเฝ้าทนอยู่ทุกวัน
ไม่เคยนึกหวั่น เกือบยอมมอบใจให้เธอ

คนรึเปล่า ทำไมไม่ฟังไม่รับรู้ คนรึเปล่า บอกไปไม่ฟังเธอไม่รู้
คนรึเปล่า ทำไมยังตื้อไม่ฟังเสียง คนรึเปล่า เธอทำเอาใจเราโอนเอียง

คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า
คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า

คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า
คนรึเปล่า คุณเป็นคนรึเปล่าล่ะ คนรึเปล่า คุณเป็นคนรึเปล่า

คนรึเปล่า",briohny
โคลสต์ อัพ (Close Up),/music/thailyric/3336,"ถ้าเธอมีคำพิเศษ มีอะไรอยากบอกฉัน
เอาแต่มองจ้องตาทั้งวัน คงไม่รู้อะไรมั้ง

เธอไม่คุยจะรู้ได้ไง ใจให้กันประมาณไหน
มีอะไรก็ควรพูดไป ใจบอกใจดีกว่ามั้ง

อยู่ห่างเกินไป เขยิบเข้ามา เข้ามาฟังๆเสียงข้างในหัวใจ
อยู่ห่างเกินไป เขยิบเข้ามา ขยับให้ใจเราใกล้เข้ามาชิดกัน

ฉันไม่รู้จิตใจของเธอ เธอไม่รู้จิตใจฉัน
มีสะพานเชื่อมใจถึงกัน เธอจะเดินข้ามมาไหม

อยู่ห่างเกินไป เขยิบเข้ามา เข้ามาฟังๆเสียงข้างในหัวใจ
อยู่ห่างเกินไป เขยิบเข้ามา ขยับให้ใจเราใกล้เข้ามาชิดกัน

อยู่ห่างเกินไป เขยิบเข้ามา เข้ามาฟังๆเสียงข้างในหัวใจ
อยู่ห่างเกินไป เขยิบเข้ามา ขยับให้ใจเราใกล้เข้ามาชิดกัน

อยู่ห่างเกินไป เขยิบเข้ามา เข้ามาฟังๆเสียงข้างในหัวใจ
อยู่ห่างเกินไป เขยิบเข้ามา ขยับให้ใจเราใกล้เข้ามาชิดกัน

อยู่ห่างเกินไป เขยิบเข้ามา เข้ามาฟังๆเสียงข้างในหัวใจ
อยู่ห่างเกินไป เขยิบเข้ามา ขยับให้ใจเราใกล้เข้ามาชิดกัน

อยู่ห่างเกินไป เขยิบเข้ามา เข้ามาฟังๆเสียงข้างในหัวใจ
อยู่ห่างเกินไป เขยิบเข้ามา ขยับให้ใจเราใกล้เข้ามาชิดกัน",briohny
ผู้หญิง,/music/thailyric/3342,"วาเลนไทน์ที่เคยผ่านมา ก็ไม่รู้ว่าเธอไปไหน
ทิ้งให้ฉันนั้นเป็นดอกไม้แห่งเหี่ยว มองเข็มนาฬิกา
ฉันเองก็แต่งตัวสวยรอเธอทั้งวัน

แฮปปี้เบิร์ดเดย์ที่ผ่านมา เธอก็ติดธุระมีงาน
เธอรู้บ้างนะว่าเป็นอย่างนี้มานานแล้วเธอ
เธอมาทำให้ตาฉันเบลอ มองไม่เห็นรักแท้ที่เธอมี

ไม่อยากเป็นอย่างนี้อีกเลย ใจของผู้หญิง
เมื่อมีให้ใครแล้ว ก็ย่อมต้องการเป็นคนที่สำคัญ

ใจเคยมีเธอแล้วมันว่างเปล่า วันวาเลนไทน์ความรักก็ยังเศร้า
โอ้เรา เขารักเราไหม
เอาใจเราที่เหลือนั้นคืนมา เอาใจคืนมาถ้าเขาไม่ต้องการ
ลาก่อน ก่อนที่เขาจะทิ้งเราไป

เพราะผู้หญิงไม่ใช่ดอกไม้ และไม่ใช่เป็นตุ๊กตา
คิดจะทิ้งไว้ตามข้างทางเปื้อนฝุ่น หัวใจยังมี
ไม่ยอมอยู่แต่ในลิ้นชักหัวใจเธอ

ไม่อยากเป็นอย่างนี้อีกเลย ใจของผู้หญิง
เมื่อมีให้ใครแล้ว ก็ย่อมต้องการเป็นคนที่สำคัญ

ใจเคยมีเธอแล้วมันว่างเปล่า วันวาเลนไทน์ความรักก็ยังเศร้า
โอ้เรา เขารักเราไหม
เอาใจเราที่เหลือนั้นคืนมา เอาใจคืนมาถ้าเขาไม่ต้องการ
ลาก่อน ก่อนที่เขาจะทิ้งเราไป

ไม่อยากเป็นอย่างนี้อีกเลย ใจของผู้หญิง
เมื่อมีให้ใครแล้ว ก็ย่อมต้องการเป็นคนที่สำคัญ

ใจเคยมีเธอแล้วมันว่างเปล่า วันวาเลนไทน์ความรักก็ยังเศร้า
โอ้เรา เขารักเราไหม
เอาใจเราที่เหลือนั้นคืนมา เอาใจคืนมาถ้าเขาไม่ต้องการ
ลาก่อน ก่อนที่เขาจะทิ้งเราไป",briohny
เฮิร์ท (Hurt),/music/thailyric/3347,"ขอฉันคิดดูก่อน ก็ขอคิดใหม่อีกที
ว่าควรจะรักเธอ ดีหรือเปล่า
เพราะนิยายเรื่องเก่า มันย้ำให้เจ็บให้เหงา
ให้จำว่ารักเราเป็นอย่างไร รักฉันอยู่

รักเคยเป็นสีดำ รักทำให้เสียใจ ไม่อยากจะเจออะไรเดิมๆ

Hurt ไปแล้วมันลำบาก Hurt ไปแล้วก็ปวดใจ
ฉันก็ต้องนอนร้องไห้ ไม่อยากเป็นเหมือนเดิม
รักถ้ารักแล้วต้องเจ็บ ฉันก็ขอเก็บมันไว้
Hurt อีกครั้งคงต้องตาย ก็เลยอยากจะคิดถ้าจะรักเธอ

กล้าสัญญาหรือเปล่า ถ้าฉันนั้นตอบตกลง
ว่าเธอคนนี้ จะไม่เปลี่ยนไป

รักเคยเป็นสีดำ รักทำให้เสียใจ ไม่อยากจะเจออะไรเดิมๆ

Hurt ไปแล้วมันลำบาก Hurt ไปแล้วก็ปวดใจ
ฉันก็ต้องนอนร้องไห้ ไม่อยากเป็นเหมือนเดิม
รักถ้ารักแล้วต้องเจ็บ ฉันก็ขอเก็บมันไว้
Hurt อีกครั้งคงต้องตาย ก็เลยอยากจะคิดถ้าจะรักเธอ

รักเคยเป็นสีดำ รักทำให้เสียใจ ไม่อยากจะเจออะไรเดิมๆ

Hurt ไปแล้วมันลำบาก Hurt ไปแล้วก็ปวดใจ
ฉันก็ต้องนอนร้องไห้ ไม่อยากเป็นเหมือนเดิม
รักถ้ารักแล้วต้องเจ็บ ฉันก็ขอเก็บมันไว้
Hurt อีกครั้งคงต้องตาย ก็เลยอยากจะคิดถ้าจะรักเธอ",briohny
เทรเชอร์ เดอะ เวิร์ล,/music/thailyric/3341,"ออกไปพบดวงตะวัน ออกไปทักทายวันใหม่
ทุกหนแห่งคือบ้านเรา ใต้แผ่นฟ้าที่ยาวไกล
ส่งความหวังกำลังใจ ฝากตามสายลมบางเบา
ปันรักจากใจทุกดวง เพื่อบ้านเรา

asuno taiyo kino no hoshi
watashitachi o meguru kisetsu
toki o hoete hedateru mono
sorewa doko ni aru no

and my love flies over fields
over valleys baering grain
over rivers that travel through our lands
through the roaring of the sea
through the falling of the rain
i call out to all my friend

ร่วมกันร้องเพลงดีงาม
ให้รับรู้ด้วยใจมาร่วมห่วงบ้านของเรา
แบ่งปันฝันให้กันไป

watashi tachi wa sorano shita de
chiyu ni naru tame ni

and my love flies over fields
over valleys baering grain
over rivers that travel through our lands
through the roaring of the sea
through the falling of the rain
i call out to all my friend

let us sing out our joy to be heard everywhere
let us share all our dreams
let us watch them with care
let us live everyday and together
let us say

we're will treasure this world that we're in
we're will treasure this world that we're in",briohny
