song_name,href,lyric,artist
ไม่ใช่เพื่อนเธอ,/music/thailyric/2806,"มันทรมานที่ได้เห็น เจ็บปวดกับสิ่งที่ตาฟ้อง
เมื่อมองดูเธอจับมือเค้าคนใหม่
บังเอิญที่ผ่านเข้ามาพบ... อยากหลบและหายไป
แต่สิ่งเดียว ที่เปลี่ยนใจ คือคำพูดที่เธอบอกเขา

เจ็บที่เธอพูดได้อย่างไรว่าไม่เคยรัก
ว่าเป็นแค่เพื่อนที่รู้จัก ไม่ทักเพราะเธอไม่คุ้นเคย

คำที่เคยบอกรักกลับไม่เปิดเผย อยากพูดอะไร
เธอพูดไปเลย แต่ฟังไว้..ว่าฉันไม่ใช่เพื่อนของเธอ

ในวันที่เธออยู่กับฉัน เธอเคยบอกกันว่าเธอรัก
แต่มันคงเป็นแค่ฉันที่ฝันไป
ดูมือที่เคยกุมมือฉัน ยิ่งเจ็บที่หัวใจ
แต่ที่ร้าย..กว่าอะไร คือคำพูดที่เธอบอกเขา

เจ็บที่เธอพูดได้อย่างไรว่าไม่เคยรัก
ว่าเป็นแค่เพื่อนที่รู้จัก ไม่ทักเพราะเธอไม่คุ้นเคย

คำที่เคยบอกรักกลับไม่เปิดเผย อยากพูดอะไร
เธอพูดไปเลย แต่ฟังไว้..ว่าฉันไม่ใช่เพื่อนของเธอ

เจ็บที่เธอพูดได้อย่างไรว่าไม่เคยรัก
ว่าเป็นแค่เพื่อนที่รู้จัก ไม่ทักเพราะเธอไม่คุ้นเคย

คำที่เคยบอกรักกลับไม่เปิดเผย อยากพูดอะไร
เธอพูดไปเลย แต่ฟังไว้..ว่าฉันไม่ใช่เพื่อนของเธอ

อยากพูดอะไรเธอพูดไปเลยแต่ฟังไว้ ว่าฉันไม่ใช่เพื่อนของเธอ",buachompoo_ford
แก้วน้ำ แจกัน และอื่นๆ,/music/thailyric/2790,"คอรัส: เธอเห็นอะไรแปลกไปบ้างไหม
เห็นอะไรเปลี่ยนไปบ้าง
เหมือนกันหรือเปล่าเธอ

มองดูแก้วน้ำ แจกันที่วางไว้
ก็เหมือนว่าไม่ใช่ใบเก่า
แมวที่ง่วงเหงา ลืมตาตั้งแต่เช้า
ไปนั่งดูดวงตะวัน

เพลงที่ฟังแล้ว ได้ฟังก็ยังเพราะ
ซาบซึ้งเสียหัวใจยิ่งสั่น
แม้แต่รอยร้าวที่บนกำแพงนั้น
ก็สวยเหมือนใครมาแต่ง

อยากให้เธอนั้นมองๆ เห็นเหมือนกัน
ตื่นจากฝันก็มองๆ เห็นวันใหม่
ตื่นมาตอนเช้า ทุกอย่างก็สดใส
ได้มองเห็นมุมเดิมๆ ไม่เหมือนเก่า

เธอจะเป็นเหมือนกันๆ บ้างหรือเปล่า
คำว่าเหงาไม่มาๆ รบกวนกัน
เกิดปาฏิหาริย์ ที่ในใจของฉัน
เมื่อในใจนั้นมีเธอ เป็นเหมือนกันหรือเปล่า",buachompoo_ford
ต่อให้,/music/thailyric/2797,"ร้องคู่กับ พอล ภัทรพล
ฉันว่าซ้ายหน่ะดี ซ้ายหน่ะดี แต่ว่าเธอก็ชอบขัด
ก็ดูๆแล้วฉันว่าขวาดีกว่า
ฉันว่านกชัวร์ๆ นกชัวร์ๆ แต่เธอมองว่าเป็นไม้
เธอมองเป็นนกได้ไง ได้ไง
ก็ได้ไง เฮ้อ ไม่เข้าใจ
เธอหน่ะเถียงประจำ เถียงประจำ บอกว่าเธอไม่เคยผิด
อย่าเรียกว่าเถียงเพราะว่าฉันทำถูก
ไม่ว่าพูดอะไร คิดอะไร เธอไม่เคยจะยอมรับ
จะให้ตามเธอได้ไง

ช่วยยอมสักครั้ง
เธอขอมากเกินไป
ให้กันได้ไหม
ง่ายไปมั๊ง

ก็ฝากเอาไว้ก่อน ไว้ก่อน อย่าเพิ่งได้ใจ ก็ต่อให้นะเธอ วันหลังจะเอาคืน
อย่าฝากเอาไว้นาน เดี๋ยวลืม อยากให้รีบมา ก็ฉันหน่ะเป็นต่ออยู่แล้ว
ถ้าเจออีกครั้ง(ไม่ต้องห่วง/ระวังเถอะ)(นะ)

ฉันหน่ะพูดจริงๆ พูดจริงๆ เจอะอีกทีไม่ยอมหรอก
ยังไงก็แพ้เพราะเธอรักฉันอยู่
งั้นก็ต้องรอดู ต้องรอดู จะทำให้เธอยอมฉัน
จะทำได้จริงนะเธอ

ช่วยยอมสักครั้ง
เธอขอมากเกินไป
ให้กันได้ไหม
ง่ายไปมั๊ง

ก็ฝากเอาไว้ก่อน ไว้ก่อน อย่าเพิ่งได้ใจ ก็ต่อให้นะเธอ วันหลังจะเอาคืน
อย่าฝากเอาไว้นาน เดี๋ยวลืม อยากให้รีบมา ก็ฉันหน่ะเป็นต่ออยู่แล้ว
ถ้าเจออีกครั้ง(ไม่ต้องห่วง/ระวังเถอะ)(นะ)

ฉันหน่ะพูดจริงๆ พูดจริงๆ เจอะอีกทีไม่ยอมหรอก
ยังไงก็แพ้เพราะเธอรักฉันอยู่
งั้นก็ต้องรอดู ต้องรอดู จะทำให้เธอยอมฉัน
จะทำได้จริงนะเธอ

ก็ฝากเอาไว้ก่อน ไว้ก่อน อย่าเพิ่งได้ใจ ก็ต่อให้นะเธอ วันหลังจะเอาคืน
อย่าฝากเอาไว้นาน เดี๋ยวลืม อยากให้รีบมา ก็ฉันหน่ะเป็นต่ออยู่แล้ว
ถ้าเจออีกครั้ง(ไม่ต้องห่วง/ระวังเถอะ)(นะ)

ก็ฝากเอาไว้ก่อน ไว้ก่อน อย่าเพิ่งได้ใจ ก็ต่อให้นะเธอ วันหลังจะเอาคืน
อย่าฝากเอาไว้นาน เดี๋ยวลืม อยากให้รีบมา ก็ฉันหน่ะเป็นต่ออยู่แล้ว
ถ้าเจออีกครั้ง(ไม่ต้องห่วง/ระวังเถอะ)(นะ)",buachompoo_ford
บิวตี้ฟูล บอย (Beautiful Boy),/music/thailyric/2802,"เธอคือความงาม Oh! my beautiful boy
คือสายฝนที่โปรยปรอย You're my beautiful baby
ดาวดวงใดที่ว่าสวย ไม่เท่าดวงตา
ตาคู่นั้นของเธอ ที่แอบซ่อนใจกันทุกนาที

เธอคือความดี Oh! my beautiful boy
ทำให้ฉันใจลอยๆ You're my beautiful baby
มือที่คอยประคอง ชั้นไว้ทุกคืนวัน
มือคู่นั้นของเธอ ช่างอบอุ่นไปด้วยความหวังดี

ลาลาลา.. ได้ยินฉันไหมเธอ ลาลาลา.. อยากบอกว่ารักเธอ
ลาลาลา.. อยากอยู่ใกล้ๆเธอ ลาลาลา.. ฉันรักเธอ

เธอคือความจริง Oh! my beautiful boy
คือของขวัญที่รอคอย You're my beautiful baby
ความจริงใจที่เธอ นั้นมีไว้ยาวนาน
คือรักแท้ที่เจอ ขอหยุดอยู่ที่เธอผู้แสนดี

ลาลาลาลา... ลาลาลา...

ลาลาลา.. ได้ยินฉันไหมเธอ ลาลาลา.. อยากบอกว่ารักเธอ
ลาลาลา.. อยากอยู่ใกล้ๆเธอ ลาลาลา.. ฉันรักเธอ

เธอคือความจริง Oh! my beautiful boy
คือของขวัญที่รอคอย You're my beautiful baby
ความจริงใจที่เธอ นั้นมีไว้ยาวนาน
คือรักแท้ที่เจอ ขอหยุดอยู่ที่เธอผู้แสนดี

เธอคือความงดงาม คือคนดีของใจ ฉันรักเธอ",buachompoo_ford
ลม,/music/thailyric/2808,"เมื่อลมพัดมาทางหน้าต่าง หอบความหนาวมาเติมหัวใจ
ยิ่งลมพัดมาแรงเท่าไร ยิ่งจะคิดถึงเธอ

ในวันนี้เมื่อเธอไม่อยู่ ใจดวงนี้ก็ยังละเมอ
หนาว...ก็เพราะเธอ อยู่ที่ตรงนี้

ลมอย่าพัดแรงนะคืนนี้ เพราะฉันใจคอไม่ดี หัวใจที่มีมันหนาวสั่น

เพียงเท่านี้ใจยังเหน็บหนาว ฉันหวังว่าคงสงสารกัน
อยากขอวอนให้สายลม ให้สายลมช่วยพัด เบาๆผ่านฉันไป

ในวันนี้มีเธอข้างกาย ไม่เคยหนาวเมื่อลมพัดมา
คำว่ารักที่ในสายตา อุ่นไปถึงหัวใจ

แต่วันนี้เมื่อเธอไม่อยู่ ก็ไม่รู้จะทำเช่นไร
หนาว...ในหัวใจ อยู่ที่ตรงนี้

ลมอย่าพัดแรงนะคืนนี้ เพราะฉันใจคอไม่ดี หัวใจที่มีมันหนาวสั่น

เธออยู่ไหนในคืนเหน็บหนาว รู้ไหมมีใครคิดถึงกัน
อยากขอวอน ให้สายลม ให้สายลมช่วยพัด เบาๆผ่านฉันไป

เพียงเท่านี้ใจยังเหน็บหนาว ฉันหวังว่าคงสงสารกัน
อยากขอวอนให้สายลม ให้สายลมช่วยพัด เบาๆผ่านฉันไป",buachompoo_ford
เลิฟ แมสเสจ (Love message),/music/thailyric/2809,"ก่อนอาจจะคิด อาจจะคิด คำว่ารักคงไม่สำคัญ
เท่ากับใจ เท่ากับใจ ใจที่เรามีกันและกัน
อย่าโกรธเลย อย่าโกรธเลย ที่ตัวฉันไม่ได้บอกไป
อาจจะลืม อาจจะเลือน ทำให้เธอต้องแอบน้อยใจบ่อย
และอาจจะคิดว่าเราไม่เคยรักกัน

อยากให้รู้ ฉันเคยบอกว่ารัก กับเธอหรือยัง
ให้ฉันบอกให้ฟังได้ไหม
แค่ขอได้บอกว่าฉัน ผูกพันเพียงไหน
ก่อนจะไกลกัน อยากบอกให้เธอฟัง ว่ารักเธอ

อาจจะดูช้า อาจดูช้า แต่ว่าคงจะไม่สายไป
ที่บอกเธอ ในวันนี้ วันที่เราต้องไกลห่างกัน

อย่าห่วงเลย อย่าห่วงเลย คำว่ารักไม่กลัวเส้นทาง
หากวันไหน ที่เธอเหงา ไม่ต้องกลัวว่าไม่ได้คิดถึงกัน
จะส่งความรักที่มีให้ไปทุกวัน

อยากให้รู้ ฉันเคยบอกว่ารัก กับเธอหรือยัง
ให้ฉันบอกให้ฟังได้ไหม
แค่ขอได้บอกว่าฉัน ผูกพันเพียงไหน
ก่อนจะไกลกัน อยากบอกให้เธอฟัง ว่ารักเธอ

อาจจะดูช้า อาจดูช้า แต่ว่าคงจะไม่สายไป
ที่บอกเธอ ในวันนี้ วันที่เราต้องไกลห่างกัน

อยากให้รู้ ฉันเคยบอกว่ารัก กับเธอหรือยัง
ให้ฉันบอกให้ฟังได้ไหม
แค่ขอได้บอกว่าฉัน ผูกพันเพียงไหน
ก่อนจะไกลกัน อยากบอกให้เธอฟัง ว่ารักเธอ

อยากให้รู้ ฉันเคยบอกว่ารัก กับเธอหรือยัง
ให้ฉันบอกให้ฟังได้ไหม
แค่ขอได้บอกว่าฉัน ผูกพันเพียงไหน
ก่อนจะไกลกัน อยากบอกให้เธอฟัง ว่ารักเธอ",buachompoo_ford
หลอกกันเล่นเลย,/music/thailyric/2813,"ความจริงใจของเธอน่ะมีรึเปล่า
ของเธอจะมีรึเปล่า
กับรักครั้งนี้ก็คงจะเหมือนเก่า
เหมือนเดิมใช่ไหม

หลอกกันเล่นหรือเปล่า
หรือว่าว่างจนเกิดเหงาใจ
และพอเหงาเมื่อไหร่
ก็ใช้ให้ฉันเป็นสื่อแก้เซ็ง
ฉันก็รู้ดีว่าเธอรักใคร
แล้วทำไมเธอถึงมาแกล้ง
กลับมาให้ความหวัง
ให้ฉันจริงจัง จนเกือบเชื่อใจ

หลอกกันเล่นหรือเปล่าๆ
หรือว่าคิดเพียงประชดใคร
กลับมาซึ้งทำไมๆ
ทั้งที่หัวใจเธอไม่ซึ้งจริง
แม้ว่าครั้งนึง จะเคยรักเธอ
ชั้นนี่ไงที่ช้ำมาก่อน
และเคยถูกเธอสอน
สอนให้เจ็บให้จำ

ฉันนั้นรักเธอ เป็นอย่างที่เคย
ฉันไม่รู้เลยเธอแอบรักใคร
ฉันต้องเสียเธอให้กับเขาไป
ถึงฉันเสียใจ ก็ไม่แค้นเคือง
โปรดจงไปเสียคงจะดีกว่า
อย่าให้ฉันตรอมใจกว่านี้เลย
อยู่เฉยๆ คงดีกว่าคบกัน
หลอกกันเล่นรึเปล่า

ฉันนั้นรักเธอ เป็นอย่างที่เคย
ฉันไม่รู้เลยเธอแอบรักใคร
ฉันต้องเสียเธอให้กับเขาไป
ถึงฉันเสียใจ ก็ไม่แค้นเคือง
โปรดจงไปเสียคงจะดีกว่า
อย่าให้ฉันตรอมใจกว่านี้เลย
อยู่เฉยๆ คงดีกว่าคบกัน
หลอกกันเล่นรึเปล่า

ฉันนั้นรักเธอ เป็นอย่างที่เคย
ฉันไม่รู้เลยเธอแอบรักใคร
ฉันต้องเสียเธอให้กับเขาไป
ถึงฉันเสียใจ ก็ไม่แค้นเคือง
โปรดจงไปเสียคงจะดีกว่า
อย่าให้ฉันตรอมใจกว่านี้เลย
อยู่เฉยๆ คงดีกว่าคบกัน
หลอกกันเล่นรึเปล่า

ความจริงใจของเธอน่ะมีรึเปล่า
ของเธอจะมีรึเปล่า
กับรักครั้งนี้ก็คงจะเหมือนเก่า
เหมือนเดิมใช่ไหม",buachompoo_ford
อยากฟังเพลงรัก,/music/thailyric/2815,"เหม่อมองฝนเธอคงเหงาใจ ในความเงียบเหงา เธอมองหาใครรึเปล่า
บอกได้ไหม เธอรักใคร ในใจนั้นมีกันบ้างไหม

เมื่อเธอฝันเธอมองเห็นใคร เมื่อฟังเพลงรัก เธอคิดถึงใครที่สุด
อยากจะรู้ คิดถึงใคร อย่างที่ฉันนั้นเป็นใช่ไหม

อยากเป็นคนนั้น คนที่เธอรัก คนที่เธอใฝ่ฝันทุกคืนทุกวัน
อยากอยู่ตรงนั้น วันที่เธอเหงา วันที่เธอไม่มีใคร
อยากฟังเพลงรักกับเธอ ให้หัวใจเราพูดกัน
และฉันจะบอกเธอ ว่ารักเธอมากเพียงใด

ใจก็รู้ไกลกันเหลือเกิน ห่างกันเกินฝันเกินใจเอื้อมไปถึงกัน
ได้แต่หวัง ในฝันเธอ จะมีฉันแค่เพียงสักครั้ง

อยากเป็นคนนั้น คนที่เธอรัก คนที่เธอใฝ่ฝันทุกคืนทุกวัน
อยากอยู่ตรงนั้น วันที่เธอเหงา วันที่เธอไม่มีใคร
อยากฟังเพลงรักกับเธอ ให้หัวใจเราพูดกัน
และฉันจะบอกเธอ ว่ารักเธอมากเพียงใด",buachompoo_ford
อย่าทำให้ฉันรักเธอ,/music/thailyric/2816,"ฉันเป็น แค่เพียง
พวกอารมณ์อ่อนไหว
รักใคร ใจก็ไป
เจ็บกลับมาง่ายดาย

อย่ามองตาได้ไหม ถ้าเธอไม่แคร์
อย่าจูงมือได้ไหม ถ้าเธอไม่รัก
อย่าบอกว่าคิดถึง ถ้ามันไม่จริง
โปรดอย่าทำให้ฉันรักเธอ

เหมือนเธอ ฝืนใจ
ที่ต้องเดินกับฉัน
หรือเธอเพียงคบกัน
แค่ต้องการเพื่อนคุย

(ฮูว..โฮโฮ้โฮ..มีแต่เธอ แต่เธอ
ก็ไม่คิดมีใครที่ไหน ที่ไหน ที่ไหน
ทุกอย่างก็ทำด้วยใจ ด้วยใจ ด้วยใจ
ด้วยรักที่มีแต่เธอเท่านั้น)

อย่ามองว่าฉัน เป็นสิ่งไม่มีหัวใจ
ไม่มีน้ำตาให้ใคร อยากให้เธอรัก
เธอห่วง ด้วยความจริงใจ
ก็คงเป็นได้แค่ฝันใช่ไหมเธอ

ฉันขอ ขอเธอ
ได้โปรดมองผ่านฉัน
เมื่อเจออย่าทักกัน
ช่วยเดินเลยฉันไป

อย่ามองตาได้ไหม ถ้าเธอไม่แคร์(ไม่แคร์)
อย่าจูงมือได้ไหม ถ้าเธอไม่รัก(ไม่รัก)
อย่าบอกว่าคิดถึง ถ้ามันไม่จริง
(ไม่จริง ไม่จริง ไม่จริง)
โปรดอย่าทำให้ฉันรักเธอ

อย่ามองว่าฉัน เป็นสิ่งไม่มีหัวใจ
ไม่มีน้ำตาให้ใคร (เธออย่าร้องไห้)
อยากให้เธอรัก เธอห่วง
ด้วยความจริงใจ (ก็จริงใจ)
ก็คงเป็นได้แค่ฝันใช่ไหมเธอ

อยากให้เธอรัก...

มีแต่เธอ แต่เธอ
ก็ไม่คิดมีใครที่ไหน ที่ไหน ที่ไหน
ทุกอย่างก็ทำด้วยใจ ด้วยใจ ด้วยใจ
ด้วยรักที่มีแต่เธอผู้เดียว

อยากให้เธอรัก..

น้า นี่ น้า..

อย่ามองตาได้ไหม ถ้าเธอไม่แคร์
โปรดอย่าทำให้ฉันรักเธอ",buachompoo_ford
เกมนี้เป็นของเธอ,/music/thailyric/2789,"เหนื่อยและท้อ..ในเกมที่ฉันงมงายชีวิตไม่ง่ายดายสักที
อยากเอาชนะจนทำร้ายคนดีๆ ทั้งที่จริงไม่ได้ตั้งใจ
จนเมื่อฉันพบเธอ ก็ย้ำซ้ำเดิม ยังคิดว่าเป็นเกมหัวใจ
แต่เอาชนะความดีของเธอไม่เคยได้ ต้องมาแพ้ใจของเธอ

เกมนี้เป็นของเธอ... ฉันยอมแล้ว
เธอทำเพื่อฉันทุกอย่าง ตั้งแต่แรกเจอ
สิ่งที่งดงาม...จากใจของเธอ ช่างมากมาย
เกมนี้เป็นของเธอ... ฉันยอมแพ้
เมื่อเธอทั้งรักทั้งแคร์ ไม่เคยคิดเปลี่ยนไป
สิ่งที่ขอทดแทน ให้เธอทั้งใจ คือฉันรักเธอ

คือความรักที่เอาชนะทุกอย่างดึงฉันให้พ้นเกมวุ่นวาย
สิ่งที่ไขว่คว้ามานาน ที่ฉันเพิ่งเข้าใจ นั่นคือรักแท้ของเธอ...

เกมนี้เป็นของเธอ... ฉันยอมแล้ว
เธอทำเพื่อฉันทุกอย่าง ตั้งแต่แรกเจอ
สิ่งที่งดงาม...จากใจของเธอ ช่างมากมาย
เกมนี้เป็นของเธอ... ฉันยอมแพ้
เมื่อเธอทั้งรักทั้งแคร์ ไม่เคยคิดเปลี่ยนไป
สิ่งที่ขอทดแทน ให้เธอทั้งใจ คือฉันรักเธอ",buachompoo_ford
