song_name,href,lyric,artist
ขอให้เหมือนเดิม,/music/thailyric/15300,"ไม่ต้องรักฉันล้นฟ้า
ไม่ต้องหาถ้อยคำหวานๆ
อย่างที่เคยบอกกันก็ยังซึ้งอยู่
ขอแค่รักคำเดียวเท่านั้น
หมายถึงฉันคนเดียวเท่านี้
อยากจะฟังอีกทีว่าเธอรักฉัน

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม
ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ
ขอให้เหมือนเดิม ขอให้เหมือนเดิม

ไม่ต้องฝืนตัวเองเพื่อฉัน
ไม่ต้องฝันจะเป็นเหมือนใคร
ก่อนเคยเป็นอย่างไรก็เป็นเหมือนเก่า
รักเท่านี้ที่เคยให้ไว้ รักเท่าไหนก็ไม่สำคัญ
บอกว่ายังรักกันต้องการเท่านี้

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม
ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ
ขอให้เหมือนเดิม ขอให้เหมือนเดิม

ขอแค่รักคำเดียวเท่านั้น
หมายถึงฉันคนเดียวเท่านี้
อยากจะฟังอีกทีว่าเธอรักฉัน

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม
ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ
ขอให้เหมือนเดิม ขอให้เหมือนเดิม

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม
ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ
ขอให้เหมือนเดิม ขอให้เหมือนเดิม",budokan
กระโดด,/music/thailyric/3033,"เก็บตัวเองเอาไว้ในห้องแคบๆ ไม่ได้หรอก
ปล่อยให้เหงาหัวใจอยู่อย่างนี้
แล้วมันจะดีไหม
หัวใจอยู่ที่ไหน
ไปหาใจเธอเถอะ

เปิดประตูออกไป โดนแดดใสๆ ข้างนอกเหอะ
ให้ลมพัด...หัวใจสักหน่อยดีไหม
รักใครอย่าเก็บไว้ มั่นใจหน่อยดีไหม
ถ้าหัวใจเธอบอก

กระโดดลงน้ำ ไปรับไปรู้
ว่าน้ำมันเย็นชื่นใจ...
กระโดดไปรัก ไปรับไปรู้
ไปใช้หัวใจให้เป็น...

กระโดดลงน้ำ ไปรับไปรู้
ว่าน้ำมันเย็นชื่นใจ...
กระโดดไปรัก ไปรับไปรู้
ไปใช้หัวใจให้เป็น...

เปิดประตูออกไป โดนแดดใสๆ ข้างนอกเหอะ
ให้ลมพัด...หัวใจสักหน่อยดีไหม
รักใครอย่าเก็บไว้ มั่นใจหน่อยดีไหม
ถ้าหัวใจเธอบอก

กระโดดลงน้ำ ไปรับไปรู้
ว่าน้ำมันเย็นชื่นใจ...
กระโดดไปรัก ไปรับไปรู้
ไปใช้หัวใจให้เป็น...

กระโดดลงน้ำ ไปรับไปรู้
ว่าน้ำมันเย็นชื่นใจ...
กระโดดไปรัก ไปรับไปรู้
ไปใช้หัวใจให้เป็น...

เปิดประตูออกไป โดนแดดใสๆ ข้างนอกเหอะ
ให้ลมพัด...หัวใจสักหน่อยดีไหม
รักใครอย่าเก็บไว้ มั่นใจหน่อยดีไหม
ถ้าหัวใจเธอบอก",budokan
คิดถึงที่สุด,/music/thailyric/3035,"ดึกดื่นคืนนี้ไม่มีแสงดาว
มันเปลี่ยวมันเหงายังไงพิกล
ห่วงบางคนทางโน้น
ยิ่งคิดยิ่งทำให้หวั่นใจ

หวั่นว่าเขาจะไม่รักกัน
เขาจะหันไปมีคนใหม่
เปลี่ยนทิศทางใจ ลืมหมดแล้วใจเรา

ถ้าหากโทรไป ก็กลัวว่าเขาจะเข้านอนแล้ว ก็ดึกแล้วสิ
รอพรุ่งนี้เอาไว้ค่อยโทรไปตอนหกโมงเช้า
อยากจะโทรไป Good morning
ได้ยินเสียงก็คงบรรเทา
ในคืนเหงาๆ มันช่างหนาวในใจ

อยากบอกว่าคิดถึงเธอที่สุด
อยากบอกว่ารักเธอยิ่งกว่าใคร
กี่คน หมื่นแสนล้านที่เจอ เห็นก็ยังไม่เท่าไหร่
ก็มีเพียงเธอ มีแต่เธอในใจ คิดถึงที่สุด

ถ้าหากคืนนี้มีเธอข้างกาย ก็คงสบายไม่ทรมาน
ส่งตาหวาน นั่งเคียงข้างกันแค่นั้นก็อุ่นใจ
ยังคงนึกถึงวันร่ำลา เธอสัญญาต่อดาวลูกไก่
อย่ากังวลใจ รักจะเหมือนดังเดิม

อยากบอกว่าคิดถึงเธอที่สุด
อยากบอกว่ารักเธอยิ่งกว่าใคร
กี่คน หมื่นแสนล้านที่เจอ เห็นก็ยังไม่เท่าไหร่
ก็มีเพียงเธอ มีแต่เธอในใจ คิดถึงที่สุด

แม้จะมีใครต่อใครมาให้ได้เจอ
ไม่เคยเผลอไปมองใคร
คงไม่นานที่ตัวฉันจะกลับไปหา
ก็คงไม่ช้าเกินไป ที่เรานั้นจะได้เจอ

อยากบอกว่าคิดถึงเธอที่สุด
อยากบอกว่ารักเธอยิ่งกว่าใคร
กี่คน หมื่นแสนล้านที่เจอ เห็นก็ยังไม่เท่าไหร่
ก็มีเพียงเธอ มีแต่เธอในใจ คิดถึงที่สุด

อยากบอกว่าคิดถึงเธอที่สุด
อยากบอกว่ารักเธอยิ่งกว่าใคร
กี่คน หมื่นแสนล้านที่เจอ เห็นก็ยังไม่เท่าไหร่
ก็มีเพียงเธอ มีแต่เธอในใจ คิดถึงที่สุด

คิดถึงเธอที่สุด คิดถึงเธอเหลือเกิน...",budokan
ฉันว่าพอ,/music/thailyric/3036,"ขอแค่เรามีกัน ขอแค่ฉันมีเธอ
พอแล้วใช่ไหม ใจของเรา
ไม่ต้องการอะไรเลย
ก็ชีวิตไม่ได้ว่างเปล่า
เรามีเรา คือมีทุกอย่าง

ขอให้รู้ใจกัน ขอให้รักฉันจริง
ไม่ทอดไม่ทิ้งกันง่ายๆ
ไม่ต้องมีเหมือนอย่างเขา
เราก็ยังไปด้วยกันได้
เพราะฉันต้องการเท่านั้นเอง

เอ่ยคำว่ารักแค่เพียงเบาๆ ก็อุ่นใจแล้ว
สิ่งเล็กน้อยที่เธอให้ฉัน มันแสนยิ่งใหญ่
ใครว่ารักนั้นยังไม่พอ 
แต่ตัวฉันคิดว่าไม่ใช่
แหละฉันมั่นใจในตัวเธอเสมอ

แค่จูงมือกันไป 
แค่มีเธอคอยห่วงใย
พรุ่งนี้จะร้ายดี ก็ไม่หวั่น
รักคือความจริงใจ
สุขและทุกข์จะพร้อมเคียงข้าง
เพราะฉันต้องการเท่านั้นเอง

เอ่ยคำว่ารักแค่เพียงเบาๆ ก็อุ่นใจแล้ว
สิ่งเล็กน้อยที่เธอให้ฉัน มันแสนยิ่งใหญ่
ใครว่ารักนั้นยังไม่พอ 
แต่ตัวฉันคิดว่าไม่ใช่
แหละฉันมั่นใจในตัวเธอเสมอ

แค่จูงมือกันไป 
แค่มีเธอคอยห่วงใย
พรุ่งนี้จะร้ายดี ก็ไม่หวั่น
รักคือความจริงใจ
สุขและทุกข์จะพร้อมเคียงข้าง
เพราะฉันต้องการเท่านั้นเอง

แค่เธอรักฉันก็พอ",budokan
ต่างคนต่างเหงา,/music/thailyric/3037,"เราต่างก็มีธุระรีบไป
กับแต่ละวันต้องวุ่นวายทั้งวัน
ไม่มีเวลาให้สนใจกัน
เมื่อต่างมีสิ่งที่ต้องทำ...มากมาย

เช้าวันหนึ่ง...ตื่นมาเจอความเหงา...
พบว่าเรา...ต่างไปคนละทาง...

ต่างคนต่างเหงา... เฝ้าแต่มองหาใคร
หันไปมองคนที่อยู่ใกล้ ก็ห่างไปทุกที
ต่างคนต่างเหงา... เปล่าเปลี่ยวบนเส้นทางเส้นนี้
กี่วันเดือนปี ที่ต่างลืมคนสำคัญ...ข้างเรา

แค่อยากให้เรา ได้นึกถึงกัน
ไม่อยากให้วันที่วุ่นวาย...แยกเรา
แบ่งหนึ่งนาที ให้หัวใจ...เรา
สื่อความห่วงใยไปถึงกันและกัน

เช้าวันหนึ่ง...ตื่นมาเจอความเหงา...
พบว่าเรา...ต่างไปคนละทาง...

ต่างคนต่างเหงา... เฝ้าแต่มองหาใคร
หันไปมองคนที่อยู่ใกล้ ก็ห่างไปทุกที
ต่างคนต่างเหงา... เปล่าเปลี่ยวบนเส้นทางเส้นนี้
กี่วันเดือนปี ที่ต่างลืมคนสำคัญ...ข้างเรา

ต่างคนต่างเหงา... เฝ้าแต่มองหาใคร
หันไปมองคนที่อยู่ใกล้ ก็ห่างไปทุกที
ต่างคนต่างเหงา... เปล่าเปลี่ยวบนเส้นทางเส้นนี้
กี่วันเดือนปี ที่ต่างลืมคนสำคัญ...ข้างเรา

ต่างคนต่างเหงา...
เปล่าเปลี่ยวบนเส้นทางเส้นนี้
กี่วันเดือนปี ที่ต่างลืมคนสำคัญ...
ข้างเรา",budokan
ที่ 1 ของใจ,/music/thailyric/3038,"ใครบางคนก็บอก วันเวลาหมุนไป
มักจะมีสิ่งใหม่ รอเราไปค้นเจอ
เป็นความจริงตลอด วันเวลาหมุนไป
เคยมีคนใหม่ๆ จากวันที่ไม่มีเธอ

ไม่ว่าโลกนี้ อะไรมันเปลี่ยนแค่ไหน
แต่ใจของฉันไม่เปลี่ยนเลย

เธอยังเป็นที่ 1 ของใจ รู้ตัวไว้เลย
ความทรงจำเก่าๆ ไม่เคยลบเลือนหายไป
ผ่านไปแล้ว จบไปแล้ว จบนานแล้ว
แต่ดูเหมือนใจไม่เคยรักใครได้อย่างเธอ

ใคร ใคร ใคร ที่ผ่านเข้ามา ไม่นานก็ไป
เธอคนเดียวต่างหาก ที่ตัวฉันยังสนใจ
จะวันนี้ จะวันนั้น จะวันไหน
จะเป็นเมื่อไรไม่เคยรักใคร เธอคนเดียว

พอฟังเพลงเก่าๆ มันก็คิดถึงเธอ
ถึงเมื่อไรก็เธอ เธอ เธอ เธอเรื่อยไป
ไปในที่เก่าๆ มันยังมีภาพเธอ
ถึงเมื่อไรก็เธอ ไม่รู้ว่าเพราะอะไร

ไม่ว่าโลกนี้ อะไรมันเปลี่ยนแค่ไหน
แต่ใจของฉันไม่เปลี่ยนเลย

เธอยังเป็นที่ 1 ของใจ รู้ตัวไว้เลย
ความทรงจำเก่าๆ ไม่เคยลบเลือนหายไป
ผ่านไปแล้ว จบไปแล้ว จบนานแล้ว
แต่ดูเหมือนใจไม่เคยรักใครได้อย่างเธอ

ใคร ใคร ใคร ที่ผ่านเข้ามา ไม่นานก็ไป
เธอคนเดียวต่างหาก ที่ตัวฉันยังสนใจ
จะวันนี้ จะวันนั้น จะวันไหน
จะเป็นเมื่อไรไม่เคยรักใคร เธอคนเดียว

ใคร ใคร ใคร ที่ผ่านเข้ามา ไม่นานก็ไป
เธอคนเดียวต่างหาก ที่ตัวฉันยังสนใจ
จะวันนี้ จะวันนั้น จะวันไหน
จะเป็นเมื่อไรไม่เคยรักใคร นอกจากเธอ
นอกจากเธอ นอกจากเธอ....",budokan
ไม่มีอะไรใหม่,/music/thailyric/3040,"เปล่า ไม่มีอะไร น้ำตาที่ไหล ก็แค่น้ำตา
ไม่ได้มีเจตนา เหนี่ยวรั้งใจใคร...
ได้โปรด อย่าเป็นกังวล
กับคนที่เคยซึ้ง ที่เคยสัญญา
ใครจะรักจะลา ก็สุดแต่หัวใจ

แค่วันนี้...ไม่มีเธอ ก็เท่านั้น
คนอย่างฉันมันไม่มีอะไรใหม่
ก็แค่อยู่อย่างที่เคยอยู่
อย่างคนที่ชีวิตไม่มีใคร
กับหัวใจ...ที่ไม่มีวันเหมือนเดิม

ปล่อยให้มันเป็นไป เมื่อใจเธอคิดว่าฉันไม่พอ
ไม่ใช่อย่างที่เธอรอ ก็แล้วกันไป
ถ้าหากเธอกรุณา เมตตากับคนนี้ รีบทิ้งดีกว่า
ใครมันเจ้าน้ำตา ก็ปล่อยมันร้อง...ไป

แค่วันนี้...ไม่มีเธอ ก็เท่านั้น
คนอย่างฉันมันไม่มีอะไรใหม่
ก็แค่อยู่อย่างที่เคยอยู่
อย่างคนที่ชีวิตไม่มีใคร
กับหัวใจ...ที่ไม่มีวันเหมือนเดิม

แค่วันนี้...ไม่มีเธอ ก็เท่านั้น
คนอย่างฉันมันไม่มีอะไรใหม่
ก็แค่อยู่อย่างที่เคยอยู่
อย่างคนที่ชีวิตไม่มีใคร
กับหัวใจ...ที่ไม่มีวันเหมือนเดิม

ก็แค่อยู่อย่างที่เคยอยู่ อย่างคนที่ไม่คิดจะรักใคร
แค่ร้องไห้...เก่งกว่าเก่าเท่านั้นเอง",budokan
ไม่รักก็ไม่บอก,/music/thailyric/3041,"คนที่ไม่รัก ที่แกล้งทำเป็นเหมือนรัก มันไม่สนหรอก
( ใครเขาจริงจังหวังไปไกล )
คนที่เขารัก เขาก็เลยยังต้องรัก รักไม่มีหน่าย
( ก็เพราะไม่ได้รู้...โดนหลอก... )

คนที่ไม่รู้ มันก็คงยังไม่รู้ ไม่ได้รู้หรอก
( ว่าเข้าใจผิดมาตลอด...)
คนที่รู้ๆ ก็แกล้งคนที่ไม่รู้ ไม่ยอมเลิกหยอก
( ให้เชื่อสนิทคิดไม่ออก )

หัวใจคน หัวใจคนหนอคน (คนหนอคน)
ไม่รู้ทำไม ไม่เคยสน ว่าใครจะเจ็บช้ำใจ

ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
ไฉนจึงมาหลอก (หลอกกันเล่นเย็นหัวใจ)
ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
แค่นี้ก็ไม่บอก (ถ้าไม่รัก จะได้ไป...ไกลๆ)

คนไม่จริงใจ คนที่ใจมันไม่จริง เขาชอบเล่นเกมส์
( เล่นเกมส์... กับหัวใจคน หัวใจคน )
คนที่จริงใจ คนที่มีใจให้จริง ก็เลยปี้ป่น
( ปี้ป่น... จนไม่ได้ผุด ไม่ได้เกิด )

หัวใจคน หัวใจคนหนอคน (คนหนอคน)
ไม่รู้ทำไม ไม่เคยสน ว่าใครจะเจ็บช้ำใจ

ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
ไฉนจึงมาหลอก (หลอกกันเล่นเย็นหัวใจ)
ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
แค่นี้ก็ไม่บอก (ถ้าไม่รัก จะได้ไป...ไกลๆ)

หัวใจคน หัวใจคนหนอคน (คนหนอคน)
ไม่รู้ทำไม ไม่เคยสน ว่าใครจะเจ็บช้ำใจ

ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
ไฉนจึงมาหลอก (หลอกกันเล่นเย็นหัวใจ)
ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
แค่นี้ก็ไม่บอก (ถ้าไม่รัก จะได้ไป...ไกลๆ)

ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
ไฉนจึงมาหลอก (หลอกกันเล่นเย็นหัวใจ)
ไม่รัก (ไม่รัก) ก็ไม่บอก (ก็ไม่บอก)
แค่นี้ก็ไม่บอก (ถ้าไม่รัก จะได้ไป...ไกลๆ)

ไกลๆ... ไกลๆ... ไกลๆ....ไกลๆ....",budokan
ไม่อยากทำให้ลำบากใจ,/music/thailyric/3042,"วันที่เธอนั้นเจอกับเขา วันที่เราต้องเป็นเพื่อนกัน
รู้มั๊ยทำให้ฉันเกือบจะร้องไห้
มีแต่รอยยิ้มให้กับเธอ ยามที่เจอหน้ากันเสมอ
รู้มั๊ยใจข้างในมันเจ็บแค่ไหน

เมื่อไหร่ที่เห็นเขาและเธอสองคน
อยากจะตะโกน ว่าใจมันทนไม่ได้

ไม่อยากทำให้ลำบากใจ
อยากจะเป็นเพื่อนเธอต่อไป เหมือนเก่า
ก็ได้แต่เก็บมันเอาไว้...
คำว่ารัก ถ้าพูดออกไป
อาจจะทำให้เราห่างไกล ฉันกลัว....
เก็บไว้ในใจของฉันคนเดียวก็พอ

ยามที่ต้องอยู่ใกล้ชิดกัน ใจหนึ่งมันอยากเดินหนีไป
เพราะกลัวทำอะไรให้เธอรู้สึก
ได้แต่ฝืนยิ้มและข่มใจ พูดอะไรไม่กล้าสบตา
เพราะฉันกลัวน้ำตา มันอาจจะไหล

ไม่อยากทำให้ลำบากใจ
อยากจะเป็นเพื่อนเธอต่อไป เหมือนเก่า
ก็ได้แต่เก็บมันเอาไว้...
คำว่ารัก ถ้าพูดออกไป
อาจจะทำให้เราห่างไกล ฉันกลัว....
เก็บไว้ในใจของฉันคนเดียวก็พอ

เมื่อไหร่ที่เห็นเขาและเธอสองคน
อยากจะตะโกน ว่าใจมันทนไม่ได้

ไม่อยากทำให้ลำบากใจ
อยากจะเป็นเพื่อนเธอต่อไป เหมือนเก่า
ก็ได้แต่เก็บมันเอาไว้...
คำว่ารัก ถ้าพูดออกไป
อาจจะทำให้เราห่างไกล ฉันกลัว....
เก็บไว้ในใจของฉันคนเดียวก็พอ

ไม่อยากทำให้ลำบากใจ
อยากจะเป็นเพื่อนเธอต่อไป เหมือนเก่า
ก็ได้แต่เก็บมันเอาไว้...
คำว่ารัก ถ้าพูดออกไป
อาจจะทำให้เราห่างไกล ฉันกลัว....
เก็บไว้ในใจของฉันคนเดียวก็พอ",budokan
ยิ้มรับ,/music/thailyric/3043,"แล้วความทุกข์ก็แวะมาหา
และความข้ำก็มาทักทายอีกหน...คิดดู
ทั้งที่หนีมาไกลแสนไกล
ความเจ็บยังไม่วายแวะเวียนกลับมา...มาเคาะประตู

ทำได้เพียงเปิดรับเท่านั้น
ย้ำตัวเองบอกซ้ำในใจอยู่
คอยเตือนสิ่งนึงให้ใจรับรู้

(ก็)สิ่งเหล่านี้จะผ่านไป
อย่างวันนั้นที่เราผ่านมา
เจ็บวันนี้ไม่นานไม่ช้าก็เป็นเมื่อวาน
สิ่งเลวร้ายจะผ่านพ้น
หากว่าใจของเราอดทน
ยิ้มรับความเจ็บช้ำไว้อีกสักวัน

เพราะชีวิตมีล้มมีลุก
เพราะสุขทุกข์ปะปนด้วยกันอย่างนั้น...ทุกวัน
แม้จะหนีไปไกลแสนไกล
ความเจ็บมันก็คงแวะมาเยี่ยมกัน...มาเคาะประตู...

ทำได้เพียงเปิดรับเท่านั้น
ย้ำตัวเองบอกซ้ำในใจอยู่
คอยเตือนสิ่งนึงให้ใจรับรู้

(ก็)สิ่งเหล่านี้จะผ่านไป
อย่างวันนั้นที่เราผ่านมา
เจ็บวันนี้ไม่นานไม่ช้าก็เป็นเมื่อวาน
สิ่งเลวร้ายจะผ่านพ้น
หากว่าใจของเราอดทน
ยิ้มรับความเจ็บช้ำไว้อีกสักวัน

(ก็)สิ่งเหล่านี้จะผ่านไป
อย่างวันนั้นที่เราผ่านมา
เจ็บวันนี้ไม่นานไม่ช้าก็เป็นเมื่อวาน
สิ่งเลวร้ายจะผ่านพ้น
หากว่าใจของเราอดทน
ยิ้มรับความเจ็บช้ำไว้อีกสักวัน

ยิ้มรับวันที่เจ็บช้ำ ยิ้มรับวันที่สับสน
ยิ้มรับมันอีกหน ทนอีกสักวัน",budokan
