song_name,href,lyric,artist
เกือบ,/music/thailyric/3030,"เธอคือใครคนนั้นรึเปล่า บอกฉันทีว่าไม่ใช่
ดูเธอไปก็คล้ายทุกอย่าง แต่ยังไม่แน่ใจ
ไม่ได้เจอะเจอกันมานานแล้ว
เมื่อก่อน คุ้นๆ ว่าเคยรู้ใจ
ทำไมดูเหมือนกับเขาคนนั้นทุกอย่าง
คนที่เคยใจร้าย

เกือบลืมไปแล้ว ว่าฉันเคยรักเธอมาก่อน
ไม่อยากจะย้อนเวลาเหล่านั้นให้หวนกลับมา
เกือบลืมไปแล้วจริงๆ อย่ารื้อฟื้นมันขึ้นมาดีกว่า
ปล่อยให้น้ำตาข้างใน มันยังไหล

เธอคือใครคนนั้นรึเปล่า
ฉันมองไม่ชัดเท่าไร กลัวเธอจะเห็น
กลัวเธอจะยิ้มและทักทาย แล้วเธอก็จะรู้

เกือบลืมไปแล้ว ว่าฉันเคยรักเธอมาก่อน
ไม่อยากจะย้อนเวลาเหล่านั้นให้หวนกลับมา
เกือบลืมไปแล้วจริงๆ อย่ารื้อฟื้นมันขึ้นมาดีกว่า
ปล่อยให้น้ำตาข้างใน มันยังไหล

เกือบลืมไปแล้ว ว่าฉันเคยรักเธอมาก่อน
ไม่อยากจะย้อนเวลาเหล่านั้นให้หวนกลับมา
เกือบลืมไปแล้วจริงๆ อย่ารื้อฟื้นมันขึ้นมาดีกว่า
ปล่อยให้น้ำตาข้างใน มันยังไหล

เกือบลืมไปแล้ว ว่าฉันเคยรักเธอมาก่อน
ไม่อยากจะย้อนเวลาเหล่านั้นให้หวนกลับมา
เกือบลืมไปแล้วจริงๆ อย่ารื้อฟื้นมันขึ้นมาดีกว่า
ปล่อยให้น้ำตาข้างใน มันยังไหล",burin_boonvisut
ได้โปรดบอก (Tell Me Why),/music/thailyric/8348,"เพราะว่าความรู้สึกที่ฉันต้องเจอ
อึดอัดใจเหลือเกิน เรื่องของฉันและเธอ
ทำให้ฉันไม่ลืม คิดถึงอยู่เสมอ ต่อให้เวลาผ่าน

ฉันก็ยังคงเก็บคำถามในใจ
วันดีๆ เหล่านั้น ดูไม่มีความหมาย
มันเป็นเพราะอะไร ช่วยตอบได้ไหม ได้ไหม

เหมือนอกหัก ฉันโดนหักอก
ไม่รู้แท้จริงแล้วเธอคิดอย่างไร
แล้วกับความรักที่เกิดในใจฉัน เธอไม่รู้สึกมันใช่ไหม
ได้โปรดบอก เพราะฉันแทบทนไม่ไหว

ทำให้ฉันมีความสุขแล้วก็ไป
ทิ้งคำถามเอาไว้ ฉันไม่ดีใช่ไหม
อยากให้เธอบอก ช่วยตอบได้ไหม ได้ไหม

ผมน่ะรู้แล้ว คุณคงไม่ต้องพยายามให้มันยาก
ทำให้มันมากเรื่อง คุณก็รู้แล้ว
ผมก็รู้แล้ว คงไม่มีทาง
หอ ยอ สระอุ ดอ อ่านว่า หยุด
ขอทีอย่ามาบอก รอ ไม้หันอากาศ กอ
เพราะว่าเรื่องของเรา ผมอยากจะบอกว่าพอ

เพราะเบื่อที่จะรอ และเหนื่อยที่จะคอย
ขอทีเหอะ เกมนี้ไม่มีต่อเวลา
ก็รักของผม เมื่อคุณไม่เห็นค่าคงต้องขอลา
แบบที่เจเนตเขาบอกว่า You got to let go

บอกว่าเหมือนอกหัก คิดว่าผมนั้นสนเหรอ
บอกว่าโดนหักอก  คิดว่าผมคงสนเหรอ
เก็บน้ำตาของคุณเอาไว้เหอะ
เพราะว่ามันสายเกินที่จะเสียดาย

เหมือนอกหัก ฉันโดนหักอก
ไม่รู้แท้จริงแล้วเธอคิดอย่างไร
แล้วกับความรักที่เกิดในใจฉัน เธอไม่รู้สึกมันใช่ไหม
ได้โปรดบอก เพราะฉันแทบทนไม่ไหว

เหมือนอกหัก ฉันโดนหักอก
ไม่รู้แท้จริงแล้วเธอคิดอย่างไร
แล้วกับความรักที่เกิดในใจฉัน เธอไม่รู้สึกมันใช่ไหม

เหมือนอกหัก ฉันโดนหักอก
ไม่รู้แท้จริงแล้วเธอคิดอย่างไร
แล้วกับความรักที่เกิดในใจฉัน เธอไม่รู้สึกมันใช่ไหม
ได้โปรดบอก เพราะฉันแทบทนไม่ไหว

เหมือนอกหัก ฉันโดนหักอก
ไม่รู้แท้จริงแล้วเธอคิดอย่างไร",burin_boonvisut
ศัตรูที่รัก,/music/thailyric/3032,"เธอเป็นหมือนศัตรู อยู่เหมือนหนามยอกใจ
ใกล้กันคงไม่ได้ ต่อให้ใจนั้นจะไหวหวั่น
คงเป็นเหมือนศัตรู เป็นยอดชู้ในฝัน
ไม่มีทางรักกัน แต่ผูกพันยิ่งกว่ารักใด

แต่ก็ไม่อาจจะยอมรับ และไม่อาจจะลืมเรื่องเธอไป
ต่อให้ฉันทำยังไง แต่ความจริงที่ฉันมีคงหลุดพ้นมันไม่ได้

เปรียบดังเส้นขนาด แบ่งโลกฉันกับเธอ
ไม่มีวันได้เจอะเจอ ไม่มีวันที่จะรักกัน
ห้ามใจมากอย่างไร มันกลับยิ่งผูกผัน
เหมือนหัวใจเธอและฉัน อยู่ตรงข้ามแต่เข้าใจ

แต่ก็ไม่อาจจะยอมรับ และไม่อาจจะลืมเรื่องเธอไป
ต่อให้ฉันทำยังไง แต่ความจริงที่ฉันมีคงหลุดพ้นมันไม่ได้

ต่อให้หนีอย่างไร ไปให้แสนสุดไกล
แต่สุดท้ายเธอก็ยัง อยู่ในความคิดและหัวใจ
อยากจะหนีอย่างไร ก็คงทำไม่ได้
ต้องยอมรักเธอใช่ไหม ศัตรูที่รัก ที่รักของฉัน

แต่ก็ไม่อาจจะยอมรับ และไม่อาจจะลืมเรื่องเธอไป
ต่อให้ฉันทำยังไง แต่ความจริงที่ฉันมีคงหลุดพ้นไปไม่ได้

ต่อให้หนีอย่างไร ไปให้แสนสุดไกล
แต่สุดท้ายเธอก็ยัง อยู่ในความคิดและหัวใจ
อยากจะหนีอย่างไร ก็คงทำไม่ได้
ต้องยอมรักเธอใช่ไหม ศัตรูที่รัก ที่รักของฉัน

โอ้ว โอว ศัตรูที่รัก
ศัตรู ศัตรู ศัตรูที่รัก",burin_boonvisut
ได้โปรด,/music/thailyric/16080,"เกือบจะเที่ยงคืน อยู่ในร้านประจำ
ท่ามกลางแสงไฟ ส่องให้เห็นจางๆ
มากมายผู้คน แต่ดูเหมือนบางอย่าง
สะกดฉัน ให้มอง เขาไป

แค่เพียงสบตา ก็ได้รู้ทันที
คือคนแบบเธอ ที่มันใช่พอดี
ยิ่งมองยิ่งแพ้ เธอขึ้นทุกนาที
แบบนี้ ให้ทำ เช่นไร

Oh เธอ ก็ดึกแล้วที่ฉันยังคอย
แค่อย่างน้อย ให้เธอมองมา
Oh เธอ แค่อยากรู้ถึงความในใจ
บอกได้ไหม ว่าจะเป็นใคร

ได้โปรด
ฉันนั้นรอเพียงเธอ ในค่ำคืนนี้
ได้โปรด
ยกทั้งใจที่มี แค่นี้ให้เธอแล้วกัน

ได้โปรด
อย่าให้เป็นเขา หรือใครที่ไหน นอกจากตัวฉัน
ได้โปรด
หากเธอพร้อมให้ฉันดูแล จะไม่ทำให้เธอต้องผิดหวัง

หากใจเธอนั้น ที่ยังเหลือพอมี
ข้างกายเธอนั้น ก็ยังว่างพอดี
เป็นฉันได้ไหม ในคืนนี้ Baby
ให้ฉัน นั้นดู แลเธอ

Oh เธอ ก็ดึกแล้วที่ฉันยังคอย
แค่อย่างน้อย ให้เธอมองมา
Oh เธอ แค่อยากรู้ถึงความในใจ
บอกได้ไหม ว่าจะเป็นใคร

ได้โปรด
ฉันนั้นรอเพียงเธอ ในค่ำคืนนี้
ได้โปรด
ยกทั้งใจที่มี แค่นี้ให้เธอแล้วกัน

ได้โปรด
อย่าให้เป็นเขา หรือใครที่ไหน นอกจากตัวฉัน
ได้โปรด
หากเธอพร้อมให้ฉันดูแล จะไม่ทำให้เธอต้องผิดหวัง

ได้โปรด
ฉันนั้นรอเพียงเธอ ในค่ำคืนนี้
ได้โปรด
ยกทั้งใจที่มี แค่นี้ให้เธอแล้วกัน

ได้โปรด
อย่าให้เป็นเขา หรือใครที่ไหน นอกจากตัวฉัน
ได้โปรด
หากเธอพร้อมให้ฉันดูแล จะไม่ทำให้เธอต้องผิดหวัง

ได้โปรด
ฉันนั้นรอเพียงเธอ ในค่ำคืนนี้
ได้โปรด
ยกทั้งใจที่มี แค่นี้ให้เธอแล้วกัน

ได้โปรด
อย่าให้เป็นเขา หรือใครที่ไหน นอกจากตัวฉัน
ได้โปรด
หากเธอพร้อมให้ฉันดูแล จะไม่ทำให้เธอต้องผิดหวัง",burin_boonvisut
Shining Star,/music/thailyric/17483,"ทุกภาพที่เลือนราง กับเสียงสะท้อนที่จางหาย
ทิ้งไว้เพียงภาพทรงจำเก่าเก่า มันคงเป็นรอยแผลเป็นที่ยากจะลืมเลือน
ในคำพูดที่บอกไว้ว่า เวลาจะช่วยคุณได้
แต่มันไม่ช่วยรักษาแผลข้างในใจ ของผม ไปได้เลย

ไม่เหลือ ไม่มีอะไรสำคัญต่อไปอีกแล้ว
เมื่อฉันไม่มีเธออยู่ ได้โปรดเถอะที่รัก

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only Shining Star

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star

ตั้งแต่วันนั้น ที่ฉันพลั้งที่ทำผิดไป
ไม่ได้ขอให้เธออภัยให้ทุกอย่าง
และโปรดจงรู้ ถึงฉันนั้นไม่ดีเท่าไร
แต่ฉันรักเธอมากกว่าใคร
และไม่หวังที่เธอจากไป

ไม่เหลือ เหมือนดวงอาทิตย์
ถึงเดือนและดาวดับหาย
โลกนี้มืดมนไม่มีอากาศหายใจ
เพราะภาพมันเลือนรางจางหายไป
จากฉัน กลับมาเถิดที่รัก

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star

ฉันพร้อมจะยอมจะทำให้เธอทุกอย่าง
จะยอมให้เลยไม่มีข้อแม้
ต้องแลกมาด้วยอะไรก็ตามแต่
ขอแค่มีเธอ ขอแค่มีเธอก็พอ

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star

You are the moon you are the sun
You are my world my only one
You are my soul yes you are
You're my only shining star",burin_boonvisut
Radar,/music/thailyric/16252,"เรดาร์ของฉันมันบอกว่าในคืนนี้
ฉันจะได้พบกับอะไรที่ฉันเคยตามหา
และฉันจะต้องออกจากบ้านในคืนนี้
คงเจอคดีที่ต้องแลกด้วยน้ำตา

ดึกแล้วเธอยังไม่ยอมเข้านอน
และหลับใหล สักทีหนึ่ง
ไม่รู้อีกนานเท่าไร
ฉันจะได้ออกไป ให้ถึง

เรดาร์มันกระพริบบอกว่าให้รีบไป
ไปพบกับความฝันที่ฉันเฝ้ารอไว้
แต่เรื่องจริงชีวิตมันก็ไม่ง่ายดาย
เธอไม่ยอมหลับใหล

เข็มนาฬิกาค่อยๆ เคลื่อนทีละนิด
ขอพรายกระซิบโปรดช่วยฉันทีเถิดหนา
เพราะฉันจำเป็นต้องออกไปในคืนนี้
แม้มีคดีที่ต้องจบลงด้วยน้ำตา

ดึกแล้วเธอยังไม่ยอมเข้านอน
และหลับใหล สักทีหนึ่ง
ไม่รู้อีกนานเท่าไร
ฉันจะได้ออกไป ให้ถึง

เรดาร์มันกระพริบบอกว่าให้รีบไป
ไปพบกับความฝันที่ฉันเฝ้ารอไว้
แต่เรื่องจริงชีวิตมันก็ไม่ง่ายดาย
เธอไม่ยอมหลับใหล

เรดาร์มันกระพริบบอกว่าให้รีบไป
ไปพบกับความฝันที่ฉันเฝ้ารอไว้
แต่เรื่องจริงชีวิตมันก็ไม่ง่ายดาย
เธอไม่ยอมหลับใหล

โทรศัพท์มี Missed call
บอกว่าเพื่อนรอแต่ว่าเดี๋ยวก่อนเธอยังไม่เริ่มนอน
ไม่ตีสองแต่เริ่ม Want เครื่องมันเริ่มร้อน
พูดตรงคนอย่างผมก็แอบเกรงใจ
ทนไม่ไหวทำไงก็ดูเพื่อนน้องดิ
ไม่มีไรมากแค่อยาก Party
อยากออกจากบ้าน Enjoy ราตรี
โอบบ้างกอดบ้างอย่างอื่นไม่มี
ไม่เกินตี5 Uh ah ไม่ดี

รีบนอนเหอะที่รัก เอ้อ
แป๊บๆ อีกสักพักก็รีบกลับ
เชื่อสินะคะรีบนอน
ไม่ต้องห่วงพักผ่อนนะคะ Muah
ก็อยากจะชวนแต่ว่า You ไม่เที่ยวผับหนิ
ไม่อยากกวนเพื่อนพี่เค้าดื่มกันหนัก
อารมณ์มันไหลแล้วเค้าชวนกันไปต่อ
ไปทองหล่อกับพี่บุรินทร์ You รู้จักปะ

ดึกแล้วเธอยังไม่ยอมเข้านอน
และหลับใหล สักทีหนึ่ง
ไม่รู้อีกนานเท่าไร
ฉันจะได้ออกไป ให้ถึง

เรดาร์มันกระพริบบอกว่าให้รีบไป
ไปพบกับความฝันที่ฉันเฝ้ารอไว้
แต่เรื่องจริงชีวิตมันก็ไม่ง่ายดาย
เธอไม่ยอมหลับใหล

เรดาร์มันกระพริบบอกว่าให้รีบไป
ไปพบกับความฝันที่ฉันเฝ้ารอไว้
แต่เรื่องจริงชีวิตมันก็ไม่ง่ายดาย
เธอไม่ยอมหลับใหล

(You never gonna stop me this time baby)
(You never gonna stop me this time baby)
(You never gonna stop me this time baby)
(You never gonna stop me this time baby)",burin_boonvisut
Spotlight,/music/thailyric/13908,"ไม่ได้พบ ไม่ได้พูด ไม่ได้คุย กันมาตั้งนานแค่ไหน
ไม่ได้ใช้เวลาดีๆ ด้วยกันมานานเท่าไร
แต่วันนี้เธอไม่เหมือนเก่า ทำไรมารึเปล่า
เธอดูดีขึ้นรู้ไหม แค่เห็นก็ทำหัวใจแทบจะวาย
ฉันยังไม่เปลี่ยน เธอคนเดียวในใจ
เธอคิดถึงฉันเท่าไร กระซิบดังๆ ให้ฉันเข้าใจสักที

อู๊อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา
อีกทีสิครับ
อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา
ช่วยพูดว่ารักให้ฟังอีกทีได้ไหม
อะอะอ๊ะอา อุอูอุอู๊
ช่วยมาพูดใกล้ๆ ให้รู้ว่าทั้งหัวใจเธอมีฉันอยู่

ไม่มีใครเคยทำอย่างนี้มาก่อน
คุณคนเดียวที่ทำให้ผมใจอ่อน
อาจเป็นพรหมลิขิต จากชีวิตครั้งก่อน
ให้เราได้พบกันคืนนี้ก่อนนอน

แค่ตอนนี้อยากมีคุณอยู่ใกล้ๆ
ช่วยกระซิบให้ฟังอีกครั้งได้ไหม
ว่าคุณยังรักผมมากมายเท่าไร

อู๊อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา
ช่วยพูดว่ารักให้ฟังอีกทีได้ไหม
อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา

แสงจันทร์พุ่งตรงลงมาส่องเธอดั่ง Spotlight
หัวใจเต้นรัวดังจังหวะเพลงของ Jackson Five
เปิดดนตรีให้ดังขึ้นหน่อย ขยับเอวเธอตามค่อยๆ
ปล่อยอารมณ์ให้พาเธอไป ให้หัวใจเธอล่องลอยในดนตรี

ฉันยังไม่เปลี่ยน เธอคนเดียวรู้ไหม
เธอคิดถึงฉันเท่าไหร่ ช่วยร้องดังๆ  ให้ฉันได้ฟังสักที

อู๊อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา
ช่วยพูดว่ารักให้ฟังอีกทีได้ไหม
อะอะอ๊ะอา อุอูอุอู๊
ช่วยมาพูดใกล้ๆ ให้รู้ว่าทั้งหัวใจเธอมีฉันอยู่
อู๊อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา
ช่วยพูดว่ารักให้ฟังอีกทีได้ไหม
อะอะอ๊ะอา อุอูอุอู๊
อู๊อะอะอ๊ะอา อุอูอุ๊อู อะอะอ๊ะอา
ช่วยพูดว่ารักให้ฟังอีกทีได้ไหม
อะอะอ๊ะอา อุอูอุอู๊",burin_boonvisut
กอด,/music/thailyric/3029,"คำบางคำ จากคนบางคน ไม่อาจจะบอกเรื่องราว
คำบางคำ แค่เอ่ยเบาๆ ก็ยังว่ายากเกินไป
ใจบางใจ เก็บคำเป็นพัน ที่อยากจะสื่อถึงใจ
ก็คงต้องใช้ เวลามากมาย เอ่ยคำเป็นพันที่มี

ไม่รู้ว่าเธอรู้ไหม หัวใจของฉันในตอนนี้
ล้านคำดีๆ ไม่จำเป็นต้องมี เพียงแค่เธออยู่ตรงนี้

และเมื่อเธอกอดฉัน ไม่ต้องบอกว่ารัก ก็รู้ได้ทันที
หัวใจรู้สึก ถึงอะไรดีๆ เมื่อใจได้ใกล้ใจ
และเมื่อเธอกอดฉัน ก็ไม่มีคำไหน ให้ฉันต้องบรรยาย
แล้วเธอว่าไง แล้วเธอรู้สึกไหม เมื่อฉันกอดเธอ

ไม่รู้ว่าเธอรู้ไหม หัวใจของฉันในตอนนี้
ล้านคำดีๆ ไม่จำเป็นต้องมี เพียงแค่เธออยู่ตรงนี้

และเมื่อเธอกอดฉัน ไม่ต้องบอกว่ารัก ก็รู้ได้ทันที
หัวใจรู้สึก ถึงอะไรดีๆ เมื่อใจได้ใกล้ใจ
และเมื่อเธอกอดฉัน ก็ไม่มีคำไหน ให้ฉันต้องบรรยาย
แล้วเธอว่าไง แล้วเธอรู้สึกไหม เมื่อฉันกอดเธอ

และเมื่อเธอกอดฉัน ไม่ต้องบอกว่ารัก ก็รู้ได้ทันที
หัวใจรู้สึก ถึงอะไรดีๆ เมื่อใจได้ใกล้ใจ
และเมื่อเธอกอดฉัน ก็ไม่มีคำไหน ให้ฉันต้องบรรยาย
แล้วเธอว่าไง แล้วเธอรู้สึกไหม เมื่อฉันกอดเธอ",burin_boonvisut
ขอโทษ,/music/thailyric/14511,"ฉันยอมรับผิดที่ทำให้เธอลำบากใจ
ทุกครั้งที่เราพบกันฉันหวั่นไหว
ควบคุมหัวใจไม่เคยอยู่

เรื่องราวที่เกิดระหว่างเราช่างประทับใจ
อยากให้เธอรู้ไว้ฉันรู้สึกดี
แต่ก่อนที่จะเผลอใจ
และทำร้ายเธอไปกว่านี้
ฉันนั้นมีบางอย่างต้องบอกให้เธอเข้าใจ

อึดอัดอยู่ในหัวใจอยากบอกให้เธอรู้
ยังติดยังค้างในใจและยังรู้สึกอยู่
ยังรู้สึกผิด
ต้องขอให้เธอหยุดเพียงเท่านั้น
อย่าทำให้ฉันรักเธอ

ฉันไม่อาจแบ่งหัวใจให้ใครอีกครั้ง
ให้เรื่องเธอกับฉันคงเป็นได้เพียงฝันไป
ไม่มีสิทธิ์รักใครได้ขนาดนั้น
โปรดอย่าทำให้ฉันรักเธอ

อึดอัดอยู่ในหัวใจอยากบอกให้เธอรู้
ยังติดยังค้างในใจและยังรู้สึกอยู่
ยังรู้สึกผิด
ต้องขอให้เธอหยุดเพียงเท่านั้น
อย่าทำให้ฉันรักเธอ

ฉันไม่อาจแบ่งหัวใจให้ใครอีกครั้ง
ให้เรื่องเธอกับฉันคงเป็นได้เพียงฝันไป
ไม่มีสิทธิ์รักใครได้ขนาดนั้น
โปรดอย่าทำให้ฉันรักเธอ

ฉันไม่อาจแบ่งหัวใจให้ใครอีกครั้ง
ให้เรื่องเธอกับฉันคงเป็นได้เพียงฝันไป
ไม่มีสิทธิ์รักใครได้ขนาดนั้น
โปรดอย่าทำให้ฉันรักเธอ

ฉันไม่อาจแบ่งหัวใจให้ใครอีกครั้ง
ให้เรื่องเธอกับฉันคงเป็นได้เพียงฝันไป
ไม่มีสิทธิ์รักใครได้ขนาดนั้น
โปรดอย่าทำให้ฉันรักเธอ",burin_boonvisut
ความในใจ,/music/thailyric/10571,"หากฉันเพ่งมองตาเธอให้ลึกหน่อย
อย่างน้อยอาจทำให้ต้องเฉลียวใจ
ว่ามีความหมายใดซ่อนในดวงฤทัย
บ่งบอกความในใจที่ดวงตา

หากรู้ว่ารักเจ้ายังหลีกเร้นหลบ
ถ้าพบจะพาดวงใจเปี่ยมรักมา
แอบอารมณ์ละมุนอุ่นไอรักชักพา
ให้วิญญาสองเรารื่นสราญ

โอ้ความรักนั่นอยู่ไหน ใยจึงไม่เห็น
มองหา เช้าเย็น มิพบพาน
ใจเอ๋ยใจเรา โฉดเขลาหรือนั่น
ปล่อยรักนั้นให้เดินผ่านไป

โอ้ความรักนั่นอยู่ไหน ใยจึงไม่เห็น
มองหา เช้าเย็น มิพบพาน
ใจเอ๋ยใจเรา โฉดเขลาหรือนั่น
ปล่อยรักนั้นให้เดินผ่านไป

หากฉันเพ่งมองตาเธอให้ลึกหน่อย
อย่างน้อยอาจทำให้ต้องเฉลียวใจ
ว่ามีความรักซอน ซ่อนในดวงฤทัย
อาบอุ่นใจสองเราเรื่อยมา
อาบอุ่นใจสองเราเรื่อยมา",burin_boonvisut
