song_name,href,lyric,artist
ผู้ปิดทองหลังพระ,/music/thailyric/11322,"เมื่อมายุสิบเก้าพรรษา ทวยไทยทั่วหล้ากราบบังคมทูล
ด้วยบุญญาบารมีเป็นที่ตั้ง ถึงกระนั้นยังไม่พอ

พระราชกรณียกิจ หนักหน่วงเหน็ดเหนื่อยปานใดไม่ท้อ
ประเทศไทยมีวันนี้หนอ ก็ใครเล่าพระเจ้าแผ่นดิน

พระองค์ทรงเสียสละเพียงไหน มีใครได้เห็นได้ยิน
ก็ใครหนอใครดวงใจใฝ่ถวิลเป็นผู้ปิดทองหลังพระ
ผู้ปิดทองหลังพระ ผู้ปิดทองหลังพระ

65 ปีทำเพื่อราษฎร์ ทวยไทยทั้งชาติสมควรภาคภูมิ
มีพระมหากษัตริย์เฝ้าคอยห่วงใย
ทุ่มเทพระวรกายเพื่อเรา
ค้นคิดแนวทางพระราชดำริ
ตลอดการครองราชอันยืนยาว ในน้ำมีปลา ในนามีข้าว
ล้นเกล้าชาวไทยมีพระองค์ท่าน

พระองค์ทรงเสียสละเพียงไหน มีใครเห็นใจสงสาร
ก็ใครหนอใครค่ำเช้าเฝ้าทรงงาน
เป็นผู้ปิดทองหลังพระ ผู้ปิดทองหลังพระ ผู้ปิดทองหลังพระ

พระบาทสมเด็จพระ ปรมินทร มหาภูมิพลอดุลยเดช
มหิตลาธิเบศรรามาธิบดี จักรีนฤบดินทร
สยามินทราธิราช บรมนาถบพิตร

ทรงสถิตเหนือเกล้าชาวไทย เป็นดวงใจของแผ่นดิน
ทรงสถิตเหนือเกล้าชาวไทย ศูนย์รวมใจแผ่นดิน

พระบาทสมเด็จพระ ปรมินทร มหาภูมิพลอดุลยเดช
มหิตลาธิเบศรรามาธิบดี จักรีนฤบดินทร
สยามินทราธิราช บรมนาถบพิตร

ทรงสถิตเหนือเกล้าชาวไทย เป็นดวงใจของแผ่นดิน
ทรงสถิตเหนือเกล้าชาวไทย ศูนย์รวมใจแผ่นดิน

พระบาทสมเด็จพระ ปรมินทร มหาภูมิพลอดุลยเดช
มหิตลาธิเบศรรามาธิบดี จักรีนฤบดินทร
สยามินทราธิราช บรมนาถบพิตร

ทรงสถิตเหนือเกล้าชาวไทย เป็นดวงใจของแผ่นดิน
ทรงสถิตเหนือเกล้าชาวไทย ศูนย์รวมพลังแห่งแผ่นดิน",carabao
ดอกเบี้ย,/music/thailyric/429,"ดอกเอ๋ยดอกเบี้ยเอ๋ย
เจ้าไม่เคยเหี่ยวเฉาซักที
บานเบ่งชั่วนาตาปี
แต่ดอกทวีบานอยู่ที่ธนาคาร

ในทุ่งนากว้างใหญ่ไพศาล
เหลืองตระการดังทุ่งรวงทอง
เป็นข้าวเขียวยังไม่เกี่ยวลงมากอง
ก็ติดจํานองมาซื้อปุ๋ยซื้อยา

มาในเมืองอยากมีบ้านมีรถ
มีเงินสดไม่พอยังมีปัญญา
มีเงินดาวน์เอาไปดาวน์เขาออกมา
ที่เหลือผ่อนเรื่อยมากินเวลาจนเป็นปูน

ดอกเอ๋ยดอกเบี้ยเอ๋ย
เจ้าไม่เคยเหี่ยวเฉาซักที
บานเบ่งชั่วนาตาปี
แต่ดอกทวีบานอยู่ที่ธนาคาร


นั่นแน่ะแบงค์กรุงศรี
ตรงนี้แบงค์กสิกรไทย
ตรงโน้นฟองซิเออร์หลังใหญ่
บานอยู่ทั่วไปไม่มีวันร่วงโรย


เมื่อวานร้อยละห้าสลึง
วันนี้ร้อยละหกสลึง
พรุ่งนี้ร้อยละเจ็ดสลึง
พอถึงมะรืนกลายเป็นสิบสลึง

ดอกเอ๋ยดอกเบี้ยเอ๋ย
เจ้าไม่เคยเหี่ยวเฉาซักที
บานเบ่งชั่วนาตาปี
แต่ดอกทวีบานอยู่ที่ธนาคาร

นั่นแน่ะแบงค์กรุงศรี
ตรงนี้แบงค์กสิกรไทย
ตรงโน้นฟองซิเออร์หลังใหญ่
บานอยู่ทั่วไปไม่มีวันร่วงโรย

เมื่อวานร้อยละห้าสลึง
วันนี้ร้อยละหกสลึง
พรุ่งนี้ร้อยละเจ็ดสลึง
พอถึงมะรืนกลายเป็นสิบสลึง

ดอกเอ๋ยดอกเบี้ยเอ๋ย
เจ้าไม่เคยเหี่ยวเฉาซักที
บานเบ่งชั่วนาตาปี
แต่ดอกทวีบานอยู่ที่ธนาคาร",carabao
ถึกควายทุย,/music/thailyric/434,"โหนกเลือดชาวนา   หมั่นทํานา
บนที่นาเพียงเล็กน้อย...ของปู่ย่าตายาย
ถึกเป็นควายทุย...ลุยถากไถ
อยู่กับโหนกมานมนาน...สังขารเริ่มร่วงโรย
สองเพื่อน      พลิกผืนนามาเป็นรวง

หนืดคนมีเงินมีเงินทุน
มีโรงงานมีโรงมัน   เลี้ยงลูกน้องแทนควาย
กิจการตั้งโรงมันครั้งสําคัญ
คบคิดกันว่าควรขยาย   จะหากําไรเพิ่มพูน

หนืดจึงให้มา...ว่าโหนกจ๋า   พวกฉันมา..ขอซื้อที่
โหนกได้ฟังไม่ขอยินดี   จะอดตาย...หากขายที่
จะไม่มีที่ทางทํากิน

หนืดได้ฟังความ
ดังถ้อยคําตามลูกน้องมันชี้แจง
ว่าแจ้งนี้หมอนี่ต้องเสียใจ

แล้ววันหนึ่ง   โหนกตื่นนอนตอนรุ่งเช้า
ตระเตรียมตัวไปทํานา   มันก็ต้องตกใจ

ว่าโอ  โอ๊ย...เจ้าควายเฒ่า
เพื่อนผู้ช่วยผ่อนแรงเรา
ใครทําเจ้าถึงเพียงนี้
เจ้าถูกเบื่อจนตายคาที่
การกระทําไร้ความปรานี
แล้วจะมีใครช่วยโหนกทํานา",carabao
ปลาใหญ่ ปลาน้อย,/music/thailyric/444,"ในห้วงมหาสาครใหญ่
กว้างไกลสุดหูสุดตา
ชีวิตนานับที่เกิดมา
เวียนว่ายตายเกิดเป็นธรรมดา
ล้มหายตายจากเป็นธรรมดา
เป็นกฎเกณฑ์     เป็นกฎเกณฑ์

สัตว์หนึ่งร่างกายใหญ่กล้า
เรี่ยวแรงแกร่งมหาทั้งดุร้าย
กัดกินสัตว์เล็กให้ตายไป
เป็นกฎธรรมชาติให้เป็นไป
ปลาใหญ่กินปลาน้อย
สัตว์ใหญ่กินสัตว์น้อย
เป็นกฎเกณฑ์.....ไม่ใช่คน

เหลียวมองดูสังคมของคน
มีมือที่มากล้นด้วยคุณธรรม
ผู้คนมีสัจจะส่องนํา
แสงธรรมนําพาดังแสงทอง

เอื้อเฟื้อเผื่อแผ่เถิดพี่น้อง
เมตตาคํ้าจุนโลกนะพี่น้อง
ไม่เป็นคนรกโลกต่างเป็นเพื่อนเป็นพ้อง
หัวใจจะอิ่มเอิบเป็นสีทอง
ศรัทธาก็จะมาเป็นก่ายเป็นกอง

ปลาใหญ่เป็นเพื่อนปลาน้อย
สัตว์ใหญ่เป็นเพื่อนสัตว์น้อย
เป็นกฎเกณฑ์.....สร้างกฎเกณฑ์กันเถิดคน

ในห้วงมหาสาครใหญ่
กว้างไกลสุดหูสุดตา
ชีวิตนานับที่เกิดมา
เวียนว่ายตายเกิดเป็นธรรมดา
ล้มหายตายจากเป็นธรรมดา
เป็นกฎเกณฑ์     เป็นกฎเกณฑ์

สัตว์หนึ่งร่างกายใหญ่กล้า
เรี่ยวแรงแกร่งมหาทั้งดุร้าย
กัดกินสัตว์เล็กให้ตายไป
เป็นกฎธรรมชาติให้เป็นไป
ปลาใหญ่กินปลาน้อย
สัตว์ใหญ่กินสัตว์น้อย
เป็นกฎเกณฑ์.....ไม่ใช่คน

เหลียวมองดูสังคมของคน
มีมือที่มากล้นด้วยคุณธรรม
ผู้คนมีสัจจะส่องนํา
แสงธรรมนําพาดังแสงทอง

เอื้อเฟื้อเผื่อแผ่เถิดพี่น้อง
เมตตาคํ้าจุนโลกนะพี่น้อง
ไม่เป็นคนรกโลกต่างเป็นเพื่อนเป็นพ้อง
หัวใจจะอิ่มเอิบเป็นสีทอง
ศรัทธาก็จะมาเป็นก่ายเป็นกอง

ปลาใหญ่เป็นเพื่อนปลาน้อย
สัตว์ใหญ่เป็นเพื่อนสัตว์น้อย
เป็นกฎเกณฑ์.....สร้างกฎเกณฑ์กันเถิดคน",carabao
มนต์เพลงคาราบาว,/music/thailyric/447,"มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว

มาร้องเพลงกล่อมใจให้แข็งขัน
ให้ขยันเล่าเรียนเพียรศึกษา
ให้สายตากว้างไกลไม่เฉื่อยชา
ลีลาเคลิ้มไปในบทเพลง

ฟังเพลงรัก...รักหวานปานกลืนกิน
ฟังเพลงดิ้นพลาดเรี่ยราดไป
ฟังเพลงเศร้า   เศร้าจนนํ้าตาไหล
เคลิ้มใจอิทธิพลเสียงเพลง

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว

ฮูว์..........

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว


ดนตรีไม่มีการแข่งขัน
เป็นความจริงความฝันในดนตรี
มีบรรเลงในโลกแห่งเสรี
มีบรรเลงเพื่อชี้ชีวิตคน

ท่วงทํานองสะท้อนชีวิตแท้
เป็นสาระชี้แนะชีวิตจริง
อันความหมายงดงามอย่าข้ามทิ้ง
ลืมสิ้นดิ้นไปในกลางฟลอร์

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว

มาร่วมกันร้องบรรเลง
มาร่วมกันร้องบรรเลง
ร้อง...บรรเลงมนต์เพลงคาราบาว",carabao
ลอยลมรัก,/music/thailyric/458,"ล่องลอยตามสายลม   นํ้าค้างพรมพราวพร่างนภา
นอนนับวันเวลา   ที่จะมา...บรรจบครบปี
เติบโตขึ้นทุกวัน   เปลี่ยนแปลงผันกันอยู่ทุกปี
จนตัวฉันบัดนี้  อายุมี 20  สมบูรณ์

นางในฝันนั้นใครเล่า
ทําให้เพ้อละเมอได้
เธออยู่แห่งหนใด
ทําให้หวนชวนให้คิดคะนึง

เพียงความฝันนั้นเป็นได้
ในความหมายเมื่อยามตื่น
มีผู้ชอกชํ้ากลํ้ากลืน
จะมัวฝืนพรํ่าเพ้ออยู่ทําไม

ผ่านมาอีกหลายปี
ความรักมีอุดมสมบูรณ์
โลกสอนรักเพิ่มพูน
รักเทอดทูนที่เหนือสิ่งอื่นใด

คือรักและเมตตา   ปรารถนาดีมีจิตนํ้าใจ
แด่คนทุกข์ทนทั่วไป
รักให้อภัย   รักให้ความยุติธรรม

เพียงความฝันนั้นเป็นกิจ   ใจครวญคิดเมื่อยามตื่น
มีผู้ชอกชํ้ากล้ำกลืน   จะมัวฝืนพรํ่าเพ้ออยู่ทําไม

ผ่านมาอีกหลายปี
ความรักมีอุดมสมบูรณ์
โลกสอนรักเพิ่มพูน
รักเทอดทูนที่เหนือสิ่งอื่นใด

คือรักและเมตตา   ปรารถนาดีมีจิตนํ้าใจ
แด่คนทุกข์ทนทั่วไป
รักให้อภัย   รักให้ความยุติธรรม",carabao
ลุงขี้เมา,/music/thailyric/460,"อุทาหรณ์ของคนรุ่นเก่า
มีชายชราเป็นคนขี้เมา
งานการไม่ทําแกกินแต่เหล้า
กินตั้งแต่เช้า...ทุกวี่วัน

เหตุการณ์ผันแปรให้แบมือขอทาน
ร่อนเร่พเนจรแหล่งที่คนพลุกพล่าน
ร่างกายซูบโซผิวตัวดํากร้าน
ตัวสั่นสะท้าน...เพราะพิษสุราเรื้อรัง

เมื่อครั้งยังหนุ่มแกเคยทํานา
มุ่งเอาหลังสู้ฟ้า...ปลูกข้าวให้คนกิน
หนี้สินล้นตัวเพราะมัวแต่ทํานา
ไม่เคยเรียนรู้วิชา...ที่นาก็หลุดลอย

มาเป็นจับกังที่แบกหามวันยังคํ่า
เหน็ดเหนื่อยแทบตายได้แต่ค่าแรงตํ่าตํ่า
แกเป็นคนจน   ที่เสียเปรียบเป็นประจํา
กลํ้ากลืนความชอกชํ้า...ถ้าไม่ทําก็อดกิน

ในยามจะกินไม่เคยเต็มอิ่ม
ในยามจะนอนไม่เคยเต็มตื่น
หลับลงคราวใดฝันร้ายทุกคืน
สร้างความขมขื่น...จนจิตใจอ่อนแอ

ยามเจ็บไข้   ร่างกายสั่นสะท้าน
เพราะต้องใช้แรงงาน...ยิ่งกว่าใช้แรงวัว
คนทุกคนต้องทํางานเหมือนควาย
แต่หนี้สินยังมากมาย...เกิดเป็นควายดีกว่าคน

หมดสิ้นปัญญาของชาวนาบ้านนอก
ร่อนเร่เข้ามาเป็นจับกังในบางกอก
สูญสิ้นราคาพอแก่ชราหัวหงอก
หาทางออกสุดท้าย...ด้วยสุราเมรัย

กินเหล้าเข้าไป  ยิ่งเลวร้ายซํ้าเก่า
หาเงินมาได้ก็เอาไปกินเหล้า
มันกลุ้มก็ยิ่งกินยิ่งกินก็ยิ่งเมา
ร่างกายก็ปวดร้าว   โรคร้ายก็คุกคาม

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง   มีคนพบศพ
ขี้เมานอนตาย   อยู่ที่ใต้สะพานลอย",carabao
เวร,/music/thailyric/464,"เย็นลมโชยโบกโพยพัด
พลิ้วปลิวยอดไม้ใหญ่
ย่อมโบกพัดสะบัดกิ่งไกว
ย่อมหวั่นไหวเป็นธรรมดา

โลกกลมๆ  ก็ใบนี้
มีความหวังอยู่มากมาย
แต่เวรและกรรมคอยทําลาย
ให้ย่อท้อยอมจํานน

เขียนเพลงขึ้นบทหนึ่ง    เขียนเตือนความทรงจํา
แด่เวรและแด่กรรม    สุดดีความงมงาย

ยามลมโชยโบกโบยพลิ้ว
บนหนทางของความจริง
กระแสลมที่เคยหยุดนิ่ง
เพียงหยุดพักฤดูกาล

เกิดเป็นคนก็ควรคิด
คิดถึงธรรมชาติที่เป็นจริง
โลกสมบูรณ์ด้วยสรรพสิ่ง
สัมผัสได้ด้วยกายตน

เขียนเพลงขึ้นบทหนึ่ง    เขียนเตือนความทรงจํา
แด่เวรและแด่กรรม    สุดดีความงมงาย

เขียนเพลงขึ้นบทหนึ่ง    เขียนเตือนความทรงจํา
แด่เวรและแด่กรรม    สุดดีความงมงาย

โลกหมุนไปใช่ความฝัน
ล้วนแปรผันไปบนแกน
ธรรมชาติเมื่อยามแร้นแค้น
ดั่งสอนคนให้พากเพียร
เชื่อคารมดั่งลมพัด
ที่ผ่านมาและผ่านไป
จงทําตนดั่งต้นไม้ที่เหยียดตรงและเติบโต

เขียนเพลงขึ้นบทหนึ่ง    เขียนเตือนความทรงจํา
แด่เวรและแด่กรรม    สุดดีความงมงาย

เขียนเพลงขึ้นบทหนึ่ง    เขียนเตือนความทรงจํา
แด่เวรและแด่กรรม    สุดดีความงมงาย

เขียนเพลงขึ้นบทหนึ่ง    เขียนเตือนความทรงจํา
แด่เวรและแด่กรรม            สวัสดีความงมงาย",carabao
หนอยแน่ะ,/music/thailyric/470,"ดั้นด้นมาจากบ้านป่าแดนกันดาร
มุ่งเมืองหลวงโอฬารด้วยความหวังเต็มหัวใจ
เป็นนักเรียนฉันหมั่นเพียรการศึกษา
มีวิชาจากบ้านป่าแดนไกล
มาสอบแข่งขันเป็นนิสิต  นักศึกษา
เอาใบปริญญาออกไปหางานทํา

นักเรียนบ้านนอกที่บ่งบอกด้วยภาษา
สรรพสําเนียงหน้าตากริยาตลกดี
มีความรู้เท่าที่ครูสั่งสอน
ไม่เคยรู้ซอกซอนเพราะข่าวสารไม่ค่อยดี
มาสอบแข่งขันเป็นนิสิต   นักศึกษา
จะเอาใบปริญญาออกไปหางานทํา

หนอยแน่ะ   หนอยแน่ะ   หนอยแน่ะ
หนอยแน่ะ   มันเป็นยังไง
สอบกะเขาทีไรไม่เคยได้สักกะปี   หนอยแน่ะ
หนังสือหนังหาทุกตําราฉันก็อ่าน
แบบฝึกหัดการบ้านฉันก็ทํากันทั้งกะปี  หนอยแน่ะ

มาพบความจริงของการศึกษา
เหมือนดังเกมกีฬาชิงด้อยชิงดี
ฉันแพ้ปัญญาแต่หนังหนาเหมือนควาย
ขายความรู้ไม่ได้  ขายแรงกายให้มันรวย
จะเก็บตําราเอาไปฝังลงดิน
ฉันจะขี่เครื่องบินไปซาอุดิอาราเบีย...หนอยแน่ะ",carabao
หนุ่มลำมูล,/music/thailyric/471,"*ทิวไม้...เรียงรายริมนํ้าแม่มูล
ขุ่นสีปูนเสียงแคนเจื้อยแจ้วแว่วมา
สายนํ้า...คํ่าลงรินไหลเอื่อยช้า
เป็นสัญญาว่าลมหนาวถึงคราวย่างเยือน

โรยควันไฟ...เป็นสายคลุมไม้ปลายนา
เหลืองทาบทา...โค้งรวงรอเคียวเรียวเลือน
ลงโบก...แผ่วเบากล่าวชํ้ายํ้าเตือน
เรียกหนุ่มนาคืนเฮือน
ลับเคียวไว้เกี่ยวรวงนอน

**โอ้ว่าหนาว...ยามนี้น้องนางเนื้อนิ่ม
แก้มเต็มอิ่ม...อาบนวลแม่มูลขุ่นโคลน
แม้งานน้องหนัก   ก็ยังอบอุ่นอ่อนโยน
สวยสดกันทั้งตําบล
ด้วยแรงแห่งงานบ้านนา

กลับมาแล้ว   มาแล้วอ้ายกลับมาแล้ว
ส่งเสียงเจื้อยแจ้ว   ดังแว่ววอนเว้ามาแต่ไกล
คิดฮอดบ้าน   คิดฮอดนวลนางที่จากไป
อ้ายไม่ขอลาไกลจะเคียงกาย    ช่วยเฮ็ดไร่เฮ็ดนา

ทิวไม้...เรียงรายริมนํ้าแม่มูล
ขุ่นสีปูนเสียงแคนเจื้อยแจ้วแว่วมา
สายนํ้า...คํ่าลงรินไหลเอื่อยช้า
เป็นสัญญาว่าลมหนาวถึงคราวย่างเยือน

โอ้ว่าหนาว...ยามนี้น้องนางเนื้อนิ่ม
แก้มเต็มอิ่ม...อาบนวลแม่มูลขุ่นโคลน
แม้งานน้องหนัก   ก็ยังอบอุ่นอ่อนโยน
สวยสดกันทั้งตําบล
ด้วยแรงแห่งงานบ้านนา

บ่ไปไสศรีไพรเนื้อแพรของพี่
ข้าวกล้าคงดี...ปีนี้มีนํ้าทํานา
สองมืออ้าย...หัวใจยังปรารถนา
ด้วยศรัทธาจากหนุ่มนา    ลุ่มแม่นํ้ามูล

ด้วยศรัทธา...จากหนุ่มนา    ลุ่มแม่นํ้ามูล
ด้วยศรัทธา...จากหนุ่มนา    ลุ่มแม่นํ้ามูล
ด้วยศรัทธา...จากหนุ่มนา    ลุ่มแม่นํ้ามูล",carabao
