song_name,href,lyric,artist
เจ้าของใจ,/music/thailyric/1052,"คนแบบฉัน ก็เหมือนเลขศูนย์ มันไม่มีค่าอะไร
เหมือนฉันถูกทิ้ง ไม่มีเจ้าของ
เป็นคนที่ใครก็มองข้ามไป (ไม่มีความหมาย)

ตื่นตอนเช้า ไม่มีสักวัน ไม่มีเรื่องที่ให้ภูมิใจ
แค่อีกหนึ่งวัน แล้วก็เท่านั้น
ไม่มีอะไรให้จำมากมาย

แต่เมื่อเธอได้เดินเข้ามาหากัน
เธอมีรักและหัวใจให้กับฉัน
ทุกวันก็มีความหมาย ขึ้นมา

You , You're my heart and soul.
เหมือนเธอเป็นเจ้าของใจ
ช่วยตอบคำถาม ให้ฉันเข้าใจ
ว่ามีชีวิตเพื่อใคร

You , You're my heart and soul.
เหมือนเธอหยิบฉันขึ้นมา
จากที่ที่ฉันไม่เคยมีค่า
ให้ฉันมีเธออยู่ในใจ

คนแบบฉัน ที่เหมือนเลขศูนย์ ที่ไม่มีค่าอะไร
ที่เหมือนถูกทิ้ง ไม่มีเจ้าของ
วันนี้มีเธอมาเคียงข้างกาย (กลับความหมาย)

ตื่นแต่เช้า และในทุกวัน มีเรื่องให้น่าภูมิใจ
ไม่ใช่หนึ่งวัน ที่มันผ่านไป
และมีอะไรให้จำมากมาย

ก็เมื่อเธอได้เดินเข้ามาหากัน
เธอมีรักและหัวใจให้กับฉัน
ทุกวันก็มีความหมาย ขึ้นมา

You , You're my heart and soul.
เหมือนเธอเป็นเจ้าของใจ
ช่วยตอบคำถาม ให้ฉันเข้าใจ
ว่ามีชีวิตเพื่อใคร

You , You're my heart and soul.
เหมือนเธอหยิบฉันขึ้นมา
จากที่ที่ฉันไม่เคยมีค่า
ให้ฉันมีเธออยู่ในใจ

You , You're my heart and soul.
เหมือนเธอหยิบฉันขึ้นมา
จากที่ที่ฉันไม่เคยมีค่า
ให้ฉันมีเธออยู่ในใจ

ให้ฉันมีเธออยู่ในใจ...",chin_chinawut
ฉันจะไปกับเธอ,/music/thailyric/1053,"บอกให้เธอรู้ ว่าฉันไม่รู้
ที่เรียกว่ารักมันเป็นยังไง
ที่คิดกับเธอ
คือรักใช่ไหมไม่แน่ใจ
แต่มากกว่าแค่เพื่อนกัน

รู้อย่างเดียวเธอมั่นใจได้
ว่าฉันจะอยู่ตรงนั้น
เมื่อเวลาเธอต้องการใคร
ที่เข้าใจพร้อมดูแล

จะไปที่ไหน
ถ้าเธอไม่เหลือใคร
ฉันจะไปกับเธอ
จะเจออะไรร้ายแรงสักเพียงไหน
ฉันจะไปกับเธอ

ไม่ค่อยจะซึ้ง
ไม่ค่อยจะหวาน
ก็ทำอย่างนั้นไม่เป็นเลยเธอ
ก็เลยไม่รู้ ไม่กล้าจะพูดว่ารักเธอ
กลัวมันเว่อร์เกินไป

รู้อย่างเดียวเธอมั่นใจได้
ว่าฉันจะอยู่ตรงนั้น
เมื่อเวลาเธอต้องการใคร
ที่เข้าใจพร้อมดูแล

เจอเรื่องร้ายๆ
ที่เธอต้องสู้ไป
ฉันจะไปกับเธอ
บอกมาคำเดียว
แม้ไกลสักเพียงไหน
ฉันจะไปกับเธอ

ฉันก็ให้ได้แค่ใจที่ฉันมี
และก็ทำได้แค่นี้

จะไปที่ไหน
ถ้าเธอไม่เหลือใคร
ฉันจะไปกับเธอ
จะเจออะไรร้ายแรงสักเพียงไหน
ฉันจะไปกับเธอ
เจอเรื่องร้ายๆ
ที่เธอต้องสู้ไป
ฉันจะไปกับเธอ
บอกมาคำเดียว
แม้ไกลสักเพียงไหน
ฉันจะไปกับเธอ",chin_chinawut
เติมไม่เคยเต็ม,/music/thailyric/1054,"ก็ไม่รู้มันเป็นยังไง มันเหงาลึกลึกในใจ
ไม่มี..สาเหตุ
ออกไปพบไปเจออะไร
ทั้งทั้งที่คนมากมายก็ยัง..หวั่นไหว

ก็ได้แต่หาคำตอบ..อะไรคือสิ่งที่ขาดหาย
ที่ทำให้ฉันเหมือนคนเติมไม่เคยเต็ม
รู้สึกยังเหงาเหงา...

แต่ในวันนี้ทันทีที่เจอะที่เจอกับเธอ
ก็ตอบคำถามคาใจทุกอย่างได้เลยทั้งใจ
ก็คือคนนี้ คือเธอนี่แหละที่มันขาดหาย...
ที่ฉันค้น ที่ฉันหา มานาน
ที่ฉันเพ้อ ที่ฉันฟัน คือเธอ...

ออกไปพบไปเจอใครใคร
ไปหาอะไรมาทำก็ยัง..เหงาใจ
ไปดูหนังไปเล่นกีฬา
แต่รู้ว่ามันก็ยังไม่ใช่..อยู่ดี

ก็ได้แต่หาคำตอบ..อะไรคือสิ่งที่ขาดหาย
ที่ทำให้ฉันเหมือนคนเติมไม่เคยเต็ม
รู้สึกยังเหงาเหงา...

แต่ในวันนี้ทันทีที่เจอะที่เจอกับเธอ
ก็ตอบคำถามคาใจทุกอย่างได้เลยทั้งใจ
ก็คือคนนี้ คือเธอนี่แหละที่มันขาดหาย...
ที่ฉันค้น ที่ฉันหา มานาน
ที่ฉันเพ้อ ที่ฉันฟัน คือเธอ

เพราะเธอเท่านั้นที่จะเติม
สิ่งที่มันขาดหายให้สมบูรณ์...

แต่ในวันนี้ทันทีที่เจอะ เจอกับเธอ
ก็ตอบคำถามคาใจทุกอย่างได้เลยทั้งใจ
ก็คือคนนี้ คือเธอนี่แหละที่มันขาดหาย
ที่ฉันค้น ที่ฉันหา มานาน
ที่ฉันเพ้อ ที่ฉันฟัน คือเธอ...",chin_chinawut
ปากไม่ตรงกับใจ,/music/thailyric/1055,"เธอ...ไม่ต้องรักกัน ให้ความสำคัญ
ก็อยากให้แค่ เป็นเรื่องเล็กๆก็แค่เท่านั้น
ไม่คิดไม่ฝันเป็นคนของเธอ
ได้ทำเพื่อเธอ แค่ได้รักเธอ
ก็อยากให้เธอไปเจอกับคนดีๆ
และรักกันไปนานๆ

พูดไปงั้นเอง พูดไปงั้นเอง
พูดให้มันดูดีไปอย่างงั้น...

ฉันโกหกเธอ อันที่จิงอยากให้เธอสนใจ
ฉันโกหกเธอ อันที่จิงไม่อยากให้เธอใกล้ใคร
เห็นแล้วอิจฉา มันอิจฉา หวงเธอในใจ
ฉันโกหกเธอ อันที่จิงอยากจะยืนของเธอ
ฉันโกหกเธอ อันที่จิงไม่อยากให้ใครใกล้เธอ
ฉันได้แต่เผลอได้แต่ฝัน
ปากฉันไม่ต้องกับใจ

จำ...จากเพลงเขามา ปากก็พูดไป
จะบอกว่าขอเป็นเรื่องเล็กๆก็แค่เท่านั้นไม่คิดไม่ฝันเป็นคนของเธอ
มันทำได้ไง มันทำได้ไง
จะบอกกับเธอให้เจอกับคนดีๆ แล้วเธอก็รักกับเค้านานๆ

พูดไปงั้นเอง พูดไปงั้นเอง
พูดให้มันดูดีไปอย่างนั้น

ฉันโกหกเธอ อันที่จิงอยากให้เธอสนใจ
ฉันโกหกเธอ อันที่จิงไม่อยากให้เธอใกล้ใคร
เห็นแล้วอิจฉา มันอิจฉา
หวง....เธอในใจ
ฉันโกหกเธอ อันที่จิงอยากจะยืนข้างเธอ
ฉันโกหกเธอ อันที่จิงไม่อยากให้ใครใกล้เธอ
ฉันได้แต่เผลอได้แต่ฝัน ปากฉัน........
ฉันโกหกเธอ อันที่จิงอยากให้เธอสนใจ
ฉันโกหกเธอ อันที่จิงไม่อยากให้เธอใกล้ใคร
เห็นแล้วอิจฉา มันอิจฉา...
หวงเธอในใจ
ฉันโกหกเธอ อันที่จิงอยากจะอยู่ข้างเธอ
ฉันโกหกเธอ อันที่จิงไม่อยากให้ใครใกล้เธอ
ฉันได้แต่เผลอได้แต่ฝัน ปากฉันไม่ตรงกับใจ

อันที่จิงอยากให้เธอสนใจ
อันที่จิงไม่อยากให้เธอใกล้ใคร
เห็นแล้วอิจฉา มันอิจฉา...หวงเธอในใจ",chin_chinawut
มาย เวย์ (My way),/music/thailyric/1056,"บางคนชอบเดินนำเพื่อให้คนเดินตาม
บางคนก็เดินตามไม่ได้คิดอะไรใหม่
รู้ไหมว่าโลกนี้ไม่ได้มีมากมาย
ไม่ใช่ Winner ก็เป็น Loser มันก็แค่นี้เอง

Hey Hey Hey ก็มัวแต่ตามแต่เขา
เชิญ เชิญ เชิญ เชิญตามต่อไปถ้าไม่นำหน้าไป
Hey Hey Hey ทะเยอทะยานหน่อยไหม
ไม่อยากเดิน เดิน
เดินตามแบบใครก็ต้องเป็นตัวเอง

เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
เชื่อเดะ เชื่อเดะ เชื่อเดะ
เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
My way My way My way

บางคนชอบนำเทรนด์เพื่อให้คนตามเทรนด์
บางคนชอบตามเทรนได้แค่นั้นก็เบ่ง
ทำไมต้องเดินตาม เมื่อเรานำได้เอง
This's my song นี่คือบทเพลง ให้กับทุกทุกคน

Hey Hey Hey ก็มัวแต่ตามแต่เขา
เชิญ เชิญ เชิญ เชิญตามต่อไปถ้าไม่นำหน้าไป
Hey Hey Hey ทะเยอทะยานหน่อยไหม
ไม่อยากเดิน เดิน เดินตามแบบใครก็ต้องเป็นตัวเอง

เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
เชื่อเดะ เชื่อเดะ เชื่อเดะ
เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
My way My way My way

(Beat Box)

เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
เชื่อเดะ เชื่อเดะ เชื่อเดะ
เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
My way My way My way

เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
เชื่อเดะ เชื่อเดะ เชื่อเดะ
เดินตามใคร ใคร มันไม่เท่
เป็นตัวเราเอง It's my way.
เดินตามใคร ใคร มันไม่เท่
My way My way My way",chin_chinawut
ความตั้งใจของเพื่อนเก่า,/music/thailyric/8594,"เธอก็คงข้องใจที่เจอ คิดไม่ถึงที่ได้พบหน้า
ซึ่งในใจเธอคงหวั่น ที่ฉันมาเจออีก
ก็ไม่รู้ว่าเพราะอะไร พูดออกไปก็คงไม่เชื่อ
เพราะวันนี้ที่ฉันเป็นไป มันก็คุมอะไรไม่ได้ทั้งนั้น

เดินตามทางที่ใจบอกทาง
มีบางคำต้องการบอกเธอ
เพียงเธอลองหลับตาและฟัง สักครั้ง

แค่มาบอกรักเธอ ใจต้องการแค่เท่านี้เอง
ฉันเข้าใจว่ามาบอก ในวันที่มันสายไป
ได้มาบอกรักเธอ พูดหนึ่งคำที่ฉันข้างในใจ
ความตั้งใจก็สิ้นสุด ที่ฉันแวะมาแค่นี้ แค่เท่านั้นเอง

ใครอีกคนที่เค้ารอเธอ ถ้าหากเค้าได้ถามฉันเป็นใคร
ให้บอกไปว่าเพื่อนเก่า แค่แวะทักทายเธอ
ฉันขอบใจเธอนะที่ฟัง คำบอกรักจากคนที่คุ้นเคย
คนที่เคยทำตัวละเลย จึงถูกลงมอบมาให้เจออีกครั้ง

เดินตามทางที่ใจบอกทาง
มีบางคำต้องการบอกเธอ
เพียงเธอลองหลับตาและฟัง สักครั้ง

แค่มาบอกรักเธอ ใจต้องการแค่เท่านี้เอง
ฉันเข้าใจว่ามาบอก ในวันที่มันสายไป
ได้มาบอกรักเธอ พูดหนึ่งคำที่ฉันข้างในใจ
ความตั้งใจก็สิ้นสุด ที่ฉันแวะมาแค่นี้ แค่เท่านั้นเอง

เดินตามทางที่ใจบอกทาง
มีบางคำต้องการบอกเธอ
เพียงเธอลองหลับตาและฟัง สักครั้ง

แค่มาบอกรักเธอ ใจต้องการแค่เท่านี้เอง
ฉันเข้าใจว่ามาบอก ในวันที่มันสายไป
ได้มาบอกรักเธอ พูดหนึ่งคำที่ฉันข้างในใจ
ความตั้งใจก็สิ้นสุด ที่ฉันแวะมาแค่นี้ แค่เท่านั้นเอง

แค่มาบอกรักเธอ แค่มาบอกรักเธอ แค่มาบอกรักเธอ",chin_chinawut
คืนนี้อยากได้กี่ครั้ง,/music/thailyric/1051,"ไม่ต้องคิดอะไรทั้งนั้น เธอต้องรู้อะไรที่สำคัญกว่า
เมื่อเพลงสุดท้ายดังขึ้นมาแล้ว
ฉันไม่รู้ว่าวันพรุ่งนี้ เธอต้องพบกับใครที่เขารอเธอ
แต่ตอนนี้ฉันคงไม่รอแล้ว

เพราะเธอ เธอคือสิ่งที่สวยงาม
ที่พรุ่งนี้ฉันอาจ จะไม่มีวันได้เจอแล้ว
ฝันอยู่ หรือฉันอาจจะฝันอยู่
ก็ยังไม่รู้ แต่จะถามเธอ

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม

ไม่เรียกร้องอะไรทั้งนั้น
ฉันแค่ขอให้เธอเป็นเพื่อนคุยก่อน
Just wanna be with you all night

ถึงไม่ได้มีคืนที่สอง ฉันก็พร้อมจะทำคืนนี้ของเรา
ให้มันสำคัญ ที่สุดเลย

เพราะเธอ เธอคือสิ่งที่สวยงาม
ที่พรุ่งนี้ฉันอาจ จะไม่มีวันได้เจอแล้ว
ฝันอยู่ หรือฉันอาจจะฝันอยู่
ก็ยังไม่รู้ แต่จะถามเธอ

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม",chin_chinawut
ถ้าฉัน,/music/thailyric/8612,"จะมีดอกไม้มายื่นให้เธอกับมือทุกวัน
จะไปดูหนังฟังเพลงกับเธอทุกที่
จะเทเวลาที่มีให้เธอแค่คนเดียว

จะไม่ให้รอเธอนัดหกโมงจะไปห้าโมง
จะโทรไปมอร์นิ่งคอลถ้าต้องรีบตื่น
จะคอยห่วงใยเอาใจใส่เธอทุกเวลา

ถ้าฉันทำได้อย่างที่พูดมา
ก็อยากปรึกษานิดนึง เธอคิดว่าไง
ถ้าทั้งหัวใจ ถ้าฉันให้เธอ เธอจะอยากได้ไหม

ถ้าฉันจะพูดว่าฉันรักเธอ
ก็อยากปรึกษานิดเดียว เธอคิดยังไง
ถ้าฉันพูดจริง ถ้าฉันทำจริง
เธอจะมองฉันไหม ฝากถามหัวใจของเธอที

จะมีเซอร์ไพรซ์ให้เธอในวันเกิดเธอทุกปี
จะพาไปเที่ยวทะเลให้บ่อยที่สุด
จะดูจะแลจะแคร์แต่เธอแค่คนเดียว

จะกินอะไรจะพาไปกินไม่ว่าใกล้ไกล
จะโทรไปเซย์กู๊ดไนท์ก่อนนอนทุกคืน
จะสวีทจะหวานจะซึ้งกับเธอทุกเวลา

ถ้าฉันทำได้อย่างที่พูดมา
ก็อยากปรึกษานิดนึง เธอคิดว่าไง
ถ้าทั้งหัวใจ ถ้าฉันให้เธอ เธอจะอยากได้ไหม

ถ้าฉันจะพูดว่าฉันรักเธอ
ก็อยากปรึกษานิดเดียว เธอคิดยังไง
ถ้าฉันพูดจริง ถ้าฉันทำจริง
เธอจะมองฉันไหม ฝากถามหัวใจของเธอที",chin_chinawut
เนเวอร์ กิฟ อัป (Never Give Up),/music/thailyric/8383,"Never Never give up
Never Never give up
Never Never give up
just do it one more time

Never Never give up
Never Never give up
Never Never give up
Never given up yeshhh

เราอาจไม่ค่อยได้พูดคุยกัน
เราอาจจะหันไปคนละทาง
เราอาจ ต้องเจอกับความห่างไกล
จนกลายเป็นเหมือนเรื่องใหญ่

เราอาจ จะว่างไม่ค่อยตรงกัน
เราอาจ จะรั้นก็เป็นบางที
เราอาจ ยอมแพ้แค่เสี้ยวนาที

แต่หากว่าหัวใจ ของเรายังเรียกหากัน
ก็อยากให้หันมาเรื่องระหว่างเรา
คงยังไม่สาย

Never Never give up
Never Never give up
Never Never give up
just do it one more time

Never Never give up
Never Never give up
Never Never give up
Never given up yeshhh

เราอาจ ไม่ค่อยได้เดินจูงมือ
เราอาจ ไม่ค่อยได้โทรคุยกัน
เราอาจ ไม่ค่อยได้พูดคำนั้น
บอกกันว่ารักเหมือนเคย

เราอาจ ยอมแพ้เพราะใช้อารมณ์
เราอาจ สะสมซะมากไป
อาจหลุดคำพูดไม่ตรงกับใจ

แต่หากว่าหัวใจ ของเรายังเรียกหากัน
ก็อยากให้หันมาเรื่องระหว่างเรา
คงยังไม่สาย

Never Never give up
Never Never give up
Never Never give up
just do it one more time

Never Never give up
Never Never give up
Never Never give up
Never given up yeshhh

แต่หากว่าหัวใจ ของเรายังเรียกหากัน
ก็อยากให้หันมาเรื่องระหว่างเรา
คงยังไม่สาย

Never Never give up
Never Never give up
Never Never give up
just do it one more time

Never Never give up
Never Never give up
Never Never give up
gonna do it again again again

Never Never give up
Never Never give up
Never Never give up yeshhh

Never Never give up
Never Never give up
Never Never give up
Never given up yeshhh",chin_chinawut
มีอะไรให้ทำอีกไหม,/music/thailyric/8619,"สิ่งที่ฉันควรทำให้เธอ สิ่งที่เธอควรทำให้ฉัน
สิ่งที่สองเราควรทำให้กันเท่านั้น
แต่วันนี้เธอทำให้ใคร สิ่งที่เห็นมันบาดหัวใจ
ชัดเจนและรู้เลยว่าฉันคงต้องเสียใจ

บังเอิญได้เห็นเธอกอดกับเขา
บังเอิญได้เห็นเธอจูบกับเขา
บังเอิญได้เห็นข้อความจากเขา ยิ่งเข้าใจ

ต่อจากนี้ยังมีอะไร
ที่คนอย่างฉันต้องทำอีกไหม
ยังมีอะไร ที่เหลือให้ฉันต้องทำอีกไหม
ยังมีอะไร ที่เธอยังไม่ให้เขาอีกไหม
ยิ่งคิดยิ่งปวดใจ หรือให้เขาทั้งหมดแล้ว

สิ่งที่สัญญามันต่อกัน คำที่เธอเคยบอกรักฉัน
ต่อไปนี้ต้องลืมมันจากใจใช่ไหม
ต่อให้หัวใจยังผูกพัน
แต่ไม่เหลือที่ยืนให้ฉัน
เหมือนเป็นส่วนที่เกินที่เธอไม่ต้องการ

ต้องทนที่เห็นเธอกอดกับเขา
ต้องทนที่เห็นเธอจูบกับเขา
ต้องทนที่เห็นเธออยู่กับเขา อีกเท่าไร

ต่อจากนี้ยังมีอะไร
ที่คนอย่างฉันต้องทำอีกไหม
ยังมีอะไร ที่เหลือให้ฉันต้องทำอีกไหม
ยังมีอะไร ที่เธอยังไม่ให้เขาอีกไหม
ยิ่งคิดยิ่งปวดใจ หรือให้เขาทั้งหมดแล้ว

ก็อยากให้เรื่องทั้งหมดนี้
เป็นเพียงเรื่องที่ฉันเข้าใจผิด
ก็อยากจะคิดเข้าข้างตัวเอง
แต่ไม่รู้จะคิดในมุมไหน
สิ่งที่ฉันเห็นมันทำให้ปวดใจ
ได้แต่รับความจริงเอาไว้

ต่อจากนี้ยังมีอะไร อีกไหม
ยังมีอะไร ที่เหลือให้ฉันต้องทำอีกไหม
ยังมีอะไร ที่เธอยังไม่ให้เขาอีกไหม
ยิ่งคิดยิ่งปวดใจ หรือให้เขาทำต่อจากนี้

ยังมีอะไร ที่คนอย่างฉันต้องทำอีกไหม
ยังมีอะไร ที่เหลือให้ฉันต้องทำอีกไหม
ยังมีอะไร ที่เธอยังไม่ให้เขาอีกไหม
ยิ่งคิดยิ่งปวดใจ หรือให้เขาทั้งหมดแล้ว",chin_chinawut
