song_name,href,lyric,artist
แอน เอเวอร์ลาสติ้ง เลิฟ (An Everlasting Love),/music/thailyric/395,"An everlasting love, is it you ?
โปรดบอกฉันทีว่าใช่เธอไหม ฉันไม่รู้
An everlasting love, Is it real?
แค่เป็นนิยายที่แต่งขึ้นมา หรือมีชีวิต

เจอใครต่อใครที่รัก รักกันอยู่
ทำยังกับรักก็เหมือนเกม (เล่นเกม)
โทรคุยมือถือและคอย
send massage ได้ทุกวัน
แต่เมื่อพอเจอกับใครที่เป็นคนใหม่
ใจมันก็ไปได้เรื่อยเลย (เรื่อยเลย)
มันดูไม่จริง ไม่เหมือน น่าจะเป็น
อย่างต้องการ

เจออย่างนี้เสียจนมันเบื่อ
ไม่ไว้ใจ ไม่มั่นใจ
ฉันชักไม่สนุกในเกมนี้ อีกต่อไป
แค่อยากมีรัก ที่อยู่กับฉัน ตลอดไป

An everlasting love, is it you ?
โปรดบอกฉันทีว่าใช่เธอไหม ฉันไม่รู้
An everlasting love, Is it real?
แค่เป็นนิยายที่แต่งขึ้นมา หรือมีชีวิต

พอทีกับเกมที่ต้องล่อหลอก
พอทีกับเกมคอยระแวง (ระแวง)
มาเจอกับเธอดูเหมือนใจมันอุ่น
ไม่ร้อนแรง

เจอะกับรักที่มันน่าเบื่อ
ไม่ไว้ใจ ไม่มั่นใจ
ฉันชักไม่สนุกในเกมนี้ อีกต่อไป
แค่อยากมีรัก ที่อยู่กับฉัน ตลอดไป

An everlasting love, is it you ?
โปรดบอกฉันทีว่าใช่เธอไหม ฉันไม่รู้
An everlasting love, Is it real?
แค่เป็นนิยายที่แต่งขึ้นมา หรือมีชีวิต",christina_aguilar
วางมีดได้หรือยัง,/music/thailyric/386,"จบไปแล้วเรื่องเก่าๆเดิมๆ
ก้อแล้วทำไมไม่คิดจะลืม
ไม่ยอมให้ลบไป เก็บมันไว้ ภาพเก่าๆเดิมๆ
ฉายซ้ำในใจ ซ้ำๆเดิมๆให้มันยิ่งช้ำใจ

เจ็บที่เคยมีใครทำร้าย ทำร้ายมาครั้งนึง
แต่ว่าใจเราเอง ทำลายตัวเอง ไม่จบไม่สิ้นไป

จากความคิดเราเอง มันทิ่มแทงใจเราเอง
เจ็บก้อเพราะตัวเราเอง ไม่ใช่จากใคร
กรีดตัวเองแบบนี้ ให้มันได้อะไร
ได้เวลาวางมีดได้หรือยัง
พอได้ไหม รักตัวเองได้แล้ว

เบื่อบ้างมั๊ย เล่นแต่บทเดิมๆ
ซ้ำๆเดิมๆผู้หญิงคนเดิมที่มีแต่น้ำตา
เหนื่อยบ้างไหม ที่ต้องผ่านมันมา
รุ่มร้อนในใจ ทุกช่วงเวลา ไม่เคยไม่ทุกข์ใจ..",christina_aguilar
คิดผิด คิดใหม่,/music/thailyric/376,"มีคนเคยถามว่าทำไม ทำไมตัวฉันไม่เคยเปิดใจให้ใคร ไม่ยอมรับใคร
ความจริงเหตุผลก็มีอยู่ เธอคือเหตุผลที่ยังติดในหัวใจ ให้ยังเฝ้ารอ

อาจเป็นเหตุผลที่มันไม่มากพอ ฉันจะรออย่างนี้ทั้งที่เธอบอกให้เราเลิกกัน

เผื่อเธอจะคิดผิดอยากคิดใหม่ เปลี่ยนใจได้ซักวัน
เผื่อเธอจะรู้สึกอยากเริ่มใหม่ กับฉันที่รอเธอ

เผื่อมีวันไหนที่เธอนั้นค้นเจอ ว่าคงมีแต่ฉันที่รักเธอหมดใจ

ไม่มีวันสายจนเกินไป ถ้ามีวันไหนที่เธอต้องทนเหงาใจ และมองหาใคร
จะนานเพียงไหนฉันยังอยู่ ยังมีความรักให้เธออยู่เต็มหัวใจ และยังเฝ้ารอ

อาจเป็นเหตุผลที่มันไม่มากพอ ฉันจะรออย่างนี้ทั้งที่เธอบอกให้เราเลิกกัน

เผื่อเธอจะคิดผิดอยากคิดใหม่ เปลี่ยนใจได้ซักวัน
เผื่อเธอจะรู้สึกอยากเริ่มใหม่ กับฉันที่รอเธอ

เผื่อมีวันไหนที่เธอนั้นค้นเจอ ว่าคงมีแต่ฉันที่รักเธอหมดใจ

เผื่อมีวันไหนที่เธอนั้นค้นเจอ ว่าคงมีแต่ฉันที่รักเธอหมดใจ

เผื่อเธอจะคิดผิดอยากคิดใหม่ เปลี่ยนใจได้ซักวัน
เผื่อเธอจะรู้สึกอยากเริ่มใหม่ กับฉันที่รอเธอ

เผื่อเธอจะคิดผิดอยากคิดใหม่ เปลี่ยนใจได้ซักวัน
เผื่อเธอจะรู้สึกอยากเริ่มใหม่ กับฉันที่รอเธอ",christina_aguilar
ซูม,/music/thailyric/377,"บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา อาอียาอียา

รู้รึเปล่า ฉันชักจะเวียนหัว ที่ต้องอยู่กับเธอ
รู้รึเปล่า ทุกครั้งที่เจอะเจอ เธอมีอาการไม่เต็มใจ
รู้บ้างรึเปล่า เธอดูช่างสับสน ฉันก็ยิ่งแปลกใจ
ถามก็ไม่ตอบ งึมงำมันเรื่อยไป ใครมันจะไปเข้าใจเธอ

บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง

ฝนไม่ตก เธอยังอารมณ์เสีย ฉันก็ยิ่งกลับใจ
รู้รึเปล่า ฉันชักจะหวั่นไหว เธอมีอะไรหรือไงกัน
คิดแล้วก็เหนื่อย เธอดูจะสับสน ที่ต้องอยู่กับฉัน
รักฉันหรือเปล่า เอาไงก็บอกกัน งงๆงันๆไม่เข้าใจ

บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง

บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง

บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง

บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง

บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ
บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง

บลับๆๆ อาอียาอียา เธอมีปัญหานักหรือไง
บลับๆๆ อาอียาอียา อาอียาอียา ฮะฮ้ะ",christina_aguilar
เบื๊อ เบื่อ,/music/thailyric/379,"เจอะแต่ปัญหา ทั้งอาทิตย์ ไม่เคยคิดๆๆซะอย่างงั้น
มันไม่เห็นเคยจะหวั่น ถึงจะนานสักแค่ไหน

ตื่นตั้งแต่เช้า รถจะเยอะ ไม่เคยคิดเลอะเทอะถึงจะสาย
มันไม่เห็นมีอะไร เพราะในใจมีแค่เธอ

เบื๊อเบื่อ อยู่ที่ไหนก็มีแต่เธอมีแต่เธอ
เบื๊อเบื่อ ที่มันเผลอทีไรก็เก็บไปนอนฝัน
ไม่รู้ทำไมเป็นอย่างนั้น มันไม่เข้าใจ

เบื๊อเบื่อ อยู่ที่ไหนก็มีแต่เธอมีแต่เธอ
เบื๊อเบื่อ อยากจะรู้จริงๆว่าเธอจะเคยไหม
ไม่รู้จะทำตัวอย่างไร ใจมีแต่เธอ

หมอกจะหนา ฟ้าจะใส ไม่เคยคิดเฉไฉให้มันทุกข์
มีก็แค่ความสนุก ทุกนาทีมีแค่เธอ

เบื๊อเบื่อ อยู่ที่ไหนก็มีแต่เธอมีแต่เธอ
เบื๊อเบื่อ ที่มันเผลอทีไรก็เก็บไปนอนฝัน
ไม่รู้ทำไมเป็นอย่างนั้น มันไม่เข้าใจ

เบื๊อเบื่อ อยู่ที่ไหนก็มีแต่เธอมีแต่เธอ
เบื๊อเบื่อ อยากจะรู้จริงๆว่าเธอจะเคยไหม
ไม่รู้จะทำตัวอย่างไร ใจมีแต่เธอ

เบื๊อเบื่อ อยู่ที่ไหนก็มีแต่เธอมีแต่เธอ
เบื๊อเบื่อ ที่มันเผลอทีไรก็เก็บไปนอนฝัน
ไม่รู้ทำไมเป็นอย่างนั้น มันไม่เข้าใจ

เบื๊อเบื่อ อยู่ที่ไหนก็มีแต่เธอมีแต่เธอ
เบื๊อเบื่อ อยากจะรู้จริงๆว่าเธอจะเคยไหม
ไม่รู้จะทำตัวอย่างไร ใจมีแต่เธอ

เบื๊อ เบื่อ
เบื๊อ เบื่อ
เบื๊อ เบื่อ
เบื๊อ เบื่อ",christina_aguilar
หาไว้สักคน,/music/thailyric/390,"(ก็อยากจะ)หาไว้สักคน หาไว้สักคน สักคนที่จริงใจ ไม่ใช่ดีแต่ปากหวาน
หาไว้สักคน ขอสักคนละกัน จิตใจที่ตรงกัน พอให้ฉันไม่เปล่าเปลี่ยว

อยากมีสักคนคอยรับและคอยไปส่ง ห่างกันก็โทรมาหา
อยากเดินด้วยกันควงแขนซบลงบนบ่า สบตากี่ทีก็ใจสั่น

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน สักคนที่จริงใจ ไม่ใช่ดีแต่ปากหวาน
หาไว้สักคน ขอสักคนละกัน จิตใจที่ตรงกัน พอให้ฉันไม่เปล่าเปลี่ยว

อย่ามัวให้คอยนอนฝันหวานจนละเมอ อยากเจอกับใครคนนั้น
บอกกันให้ฟังข้างหูรักฉันทุกวัน แต่ยังไม่เจอก็จนใจ

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน สักคนที่จริงใจ ไม่ใช่ดีแต่ปากหวาน
หาไว้สักคน ขอสักคนละกัน จิตใจที่ตรงกัน พอให้ฉันไม่เปล่าเปลี่ยว

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน
หาไว้สักคน ขอสักคนละกัน

(ซ้ำ ** , * , * , *** , *)
อย่ามัวให้คอยนอนฝันหวานจนละเมอ อยากเจอกับใครคนนั้น
บอกกันให้ฟังข้างหูรักฉันทุกวัน แต่ยังไม่เจอก็จนใจ

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน สักคนที่จริงใจ ไม่ใช่ดีแต่ปากหวาน
หาไว้สักคน ขอสักคนละกัน จิตใจที่ตรงกัน พอให้ฉันไม่เปล่าเปลี่ยว

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน สักคนที่จริงใจ ไม่ใช่ดีแต่ปากหวาน
หาไว้สักคน ขอสักคนละกัน จิตใจที่ตรงกัน พอให้ฉันไม่เปล่าเปลี่ยว

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน
หาไว้สักคน ขอสักคนละกัน

(ก็อยากจะ)หาไว้สักคน หาไว้สักคน สักคนที่จริงใจ ไม่ใช่ดีแต่ปากหวาน
หาไว้สักคน ขอสักคนละกัน จิตใจที่ตรงกัน พอให้ฉันไม่เปล่าเปลี่ยว",christina_aguilar
เหตุผล...ไม่ต้องสนใจ,/music/thailyric/391,"หากเป็นความต้องการของเธอ เหตุผลไม่ต้องสนใจ
บอกกับฉันได้ไหม อยากทิ้งฉันไปใช่ไหมเธอ

ฉันก็รู้หัวใจของเธอ อ่อนโยนยังเป็นเหมือนเก่า
แต่ฉันก็รู้ว่าความเป็นเรา สิ่งใดที่มันหายไป
ฉันรู้สึกเหมือนเธอลำบาก กับการต้องทนฝืนใจ
ฉันรู้สึกเหมือนมีอะไร สั่นคลอนในใจของเธอ

ฉันไม่รู้ที่เราพบกัน กดดันเกินไปหรือเปล่า
ที่ยิ้มเหงาๆนั่นคืออาการ ที่มันไม่ค่อยคุ้นเคย
ฉันยิ่งอยู่ใกล้เธอยิ่งห่าง สบตาก็ดูเฉยเมย
เขาหรือเปล่าที่ทำให้เธอ เหม่อลอยสับสนอย่างนี้

อยากคุยกับฉันบ้างไหม ที่คิดเอาไว้อะไรก็ตาม
บอกกันได้ทุกอย่าง ฉันยอมรับฟังได้อย่างเข้าใจ

หากเป็นความต้องการของเธอ เหตุผลไม่ต้องสนใจ
บอกกับฉันได้ไหม อยากทิ้งฉันไปใช่ไหมเธอ

อยากคุยกับฉันบ้างไหม ที่คิดเอาไว้อะไรก็ตาม
บอกกันได้ทุกอย่าง ฉันยอมรับฟังได้อย่างเข้าใจ

หากเป็นความต้องการของเธอ เหตุผลไม่ต้องสนใจ
บอกกับฉันได้ไหม อยากทิ้งฉันไปใช่ไหมเธอ

อยากคุยกับฉันบ้างไหม ที่คิดเอาไว้อะไรก็ตาม
บอกกันได้ทุกอย่าง ฉันยอมรับฟังได้อย่างเข้าใจ

หากเป็นความต้องการของเธอ เหตุผลไม่ต้องสนใจ
บอกกับฉันได้ไหม อยากทิ้งฉันไปใช่ไหมเธอ",christina_aguilar
ไหน,/music/thailyric/392,"ไหนบอกกันว่าคิดถึง บอกว่าไม่ลืม ไม่นานเธอจะมาหา
ก็ไหนบอกกันว่าสัญญา บอกจะไม่หายไป
แต่แล้วทำไมทุกวันเลยผ่าน กลับไม่เห็นเงาของเธอ นี่เธออยู่ไหน

เพ้อก็คอยชะเง้อหา ก็ไม่เห็นมา ต้องถอนใจอย่างนี้
ได้แต่ท้อต้องรอกันทุกที ก็เลยไม่รู้ยังไง จะหลงจะรอ
แล้วจะเมื่อไร ที่จะได้เจอหน้ากัน อีกนานแค่ไหน

อย่าให้ฉันต้องน้อยใจไปกว่านี้ อย่าใจร้ายให้ฉันต้องคอยเธอได้ไหม
อยู่ที่ไหนก็ขอให้มาก่อน รู้ก็รู้ว่าคอยอยู่ หลงเพ้อๆนับวันรออย่างนี้
(ก็ไหนว่าจะมาหา)

ไหนต้องรอนานแค่ไหน ที่เธอสัญญา ที่เธอว่าจะมาหา
ก็ไหนบอกกันจะรีบมา อย่านานกว่านี้เลย
อยากขอให้เธอเห็นใจฉันหน่อย อย่าให้ฉันคอยเพ้ออยู่ อีกนานแค่ไหน

อย่าให้ฉันต้องน้อยใจไปกว่านี้ อย่าใจร้ายให้ฉันต้องคอยเธอได้ไหม
อยู่ที่ไหนก็ขอให้มาก่อน รู้ก็รู้ว่าคอยอยู่ หลงเพ้อๆนับวันรออย่างนี้
(ก็ไหนว่าจะมาหา)

อย่าให้ฉันต้องน้อยใจไปกว่านี้ อย่าใจร้ายให้ฉันต้องคอยเธอได้ไหม
อยู่ที่ไหนก็ขอให้มาก่อน รู้ก็รู้ว่าคอยอยู่ หลงเพ้อๆนับวันรออย่างนี้
(ก็ไหนว่าจะมาหา)",christina_aguilar
อยากดีกว่าเขา,/music/thailyric/393,"ก็อยากจะดีกว่านี้ จะดีพอที่เธอไม่จากไป
ที่เธอจะไม่ทิ้ง ที่เธอจะไม่คิดไปมีคนใหม่

ก็อยากจะดีกว่าเขา จะดีพอที่เธอไม่เปลี่ยนไป
เป็นความผิดของฉัน ที่ดีไม่เท่านั้น ฉันจึงแพ้ใคร

ไม่อยากให้เรานั้นต้องสิ้นสุด จะทนให้ถึงที่สุด ถ้ามันจะทำให้เธอเห็นใจ
ไม่มีใครแล้วที่ยอมทุกอย่าง ที่ทำเพื่อเธอทุกอย่าง
แต่มันก็ยังไม่พอที่ฉันทุ่มเทให้เธอ แค่เพราะว่าเธอรักเขามากกว่าฉัน

ก็อยากจะดีกว่าใคร ที่อยู่ในหัวใจเธอเสมอ
ที่เธอจะยังรัก ที่เธอจะรับรู้ว่าฉันรักเธอ

ไม่อยากให้เรานั้นต้องสิ้นสุด จะทนให้ถึงที่สุด ถ้ามันจะทำให้เธอเห็นใจ
ไม่มีใครแล้วที่ยอมทุกอย่าง ที่ทำเพื่อเธอทุกอย่าง
แต่มันก็ยังไม่พอที่ฉันทุ่มเทให้เธอ แค่เพราะว่าเธอรักเขามากกว่าฉัน

แค่ฉันจะยังรักเธอไม่เปลี่ยนใจ
ให้รู้ว่าฉันรักเธอมากกว่าใคร",christina_aguilar
พูดอีกที,/music/thailyric/383,"ก็ชอบมากที่เธอบอกว่ารัก
ก็ชอบมากไม่ได้ฟังตั้งนาน
มันพูดยากยากที่สุดเลยเหรอ
ก็แค่พูดพูดว่ายังรักกัน

รู้ว่าเธอน่ะรักกันจริง
รู้ว่าเธอน่ะยังมีใจ
รู้ว่าคงไม่ยากเกินไป
กับบางคำที่เก่าเก่า อยากได้ยินเธอพูดใหม่
อย่างที่เคยเคยแค่นั้นจะเป็นไร

พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ฉันไม่ได้ฟังที่อยากจะฟังมาตั้งนาน
พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ย้ำว่าเธอน่ะยังรักกันอยู่

มันวูบวาบที่เธอบอกคำนั้น
มันซาบซ่านที่ได้ยินทุกที มันพูดยากพูดลำบากตรงไหน
ถ้าพูดได้พูดให้ฟังก็ดี

รู้ว่าเธอน่ะรักกันจริง
รู้ว่าเธอน่ะยังมีใจ
รู้ว่าคงไม่ยากเกินไป
กับบางคำที่เก่าเก่า อยากได้ยินเธอพูดใหม่
อย่างที่เคยเคยแค่นั้นจะเป็นไร

พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ฉันไม่ได้ฟังที่อยากจะฟังมาตั้งนาน
พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ย้ำว่าเธอน่ะยังรักกันอยู่

รู้ว่าเธอน่ะรักกันจริง
รู้ว่าเธอน่ะยังมีใจ
รู้ว่าคงไม่ยากเกินไป
กับบางคำที่เก่าเก่า อยากได้ยินเธอพูดใหม่
อย่างที่เคยเคยแค่นั้นจะเป็นไร

พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ฉันไม่ได้ฟังที่อยากจะฟังมาตั้งนาน
พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ย้ำว่าเธอน่ะยังรักกันอยู่

ฉันไม่ได้ฟังที่อยากจะฟังมาตั้งนาน
พูดอีกทีพูดอีกทีพูดอีกทีได้หรือเปล่า
ย้ำว่าเธอน่ะยังรักกันอยู่",christina_aguilar
