song_name,href,lyric,artist
คิดถึงฉันหรือเปล่า,/music/thailyric/411,"คิดถึงฉันหรือเปล่า
เนื้อร้อง/ทำนอง ปัณฑพล ประสารราชกิจ
เรียบเรียง ค็อกเทล
สังกัด Genie Records

คิดถึงฉันหรือเปล่า เมื่อยามเธอเหงาเศร้าตรมในใจ
ก็ไม่ได้มีอะไรมากมาย ฉันแค่อยากจะรู้
นึกถึงฉันหรือเปล่าเมื่อยามที่ดาวนะเต็มฟ้าไกล
ก็ไม่ได้ถามไปเพื่ออะไร ก็เพื่อว่าฉันแค่อยากจะรู้

คำตอบนั้นคือ เธอเปล่า คิดถึงฉันจริงหรือเปล่า
เผื่อว่าเธอจะลืมเอาฉันไปไว้ตรงไหน

กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางยังคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม
ก็อยากให้คิดหนัก คิดหน่อย
คิดถึงฉันบ่อยๆ ก็แล้วกัน

คิดถึงฉันหรือเปล่า เมื่อยามเธอเหงาเธอไม่มีใคร
เมื่อเธอไม่มีใครมาสนใจ เธอนะคิดถึงใคร โอ้
นึกถึงฉันหรือเปล่า เมื่อยามที่ฟ้าน่ะ มัวหมองไป
อะไรก็ดูจะไม่เป็นใจ ฉันแค่อยากจะรู้

คำตอบนั้นคือ เธอเปล่า คิดถึงฉันจริงหรือเปล่า
เผื่อว่าเธอจะลืมเอาฉันไปไว้ตรงไหน

กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางยังคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม
ก็อยากให้คิดหนัก คิดหน่อย
คิดถึงฉันบ่อยๆ ก็แล้วกัน โอ้ เอ

คำตอบนั้นคือ เธอเปล่า คิดถึงฉันจริงหรือเปล่า
เผื่อว่าเธอจะลืมเอาฉันไปไว้ตรงไหน

กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางยังคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม

กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางยังคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม
ก็อยากให้คิดหนัก คิดหน่อย
คิดถึงฉันบ่อยๆ 
ก็อยากให้คิดหนัก คิดหน่อย
คิดถึงฉันบ่อยๆ
ก็อยากให้คิดหนัก คิดหน่อย
คิดถึงฉันบ่อยๆ ก็แล้วกัน",cocktail
ซ้ำซ้อน,/music/thailyric/10782,"หัวใจ มันยังเจ็บ เมื่อรักจาง กลับกลายเป็นอื่นไป
ฉันเอง เพิ่งจะมารู้ตัว ว่าใจมันหายชาจากแผลที่เธอได้ให้มา
และมันจะยิ่งทรมานมากขึ้นทุกที
เมื่อเธอคนนี้ไม่ใช่คนดีของฉันอีกต่อไป

ใจ หัวใจเจ็บช้ำ เมื่อรักมันซ้ำมันซ้อนกับใครคนใหม่ของเธอ
ใจเจ้าเคยบ้างไหม จะหยุดไม่ไปรักใครอื่นใด
ยากนักใช่ไหม ให้รักฉันเพียงคนเดียว

ยากเย็น เข็ญใจนักหรือ ถ้าจะให้รักฉันเพียงคนเดียว
ไม่ต้องไปเหลียวมองใครๆ ฉันเอง ให้รักไปหมดทั้งใจ
ถ้าเธอคิดอยากจะไป ก็ทิ้งฉันไว้
ทิ้งใจของฉันให้มันยิ่งทรมานมากขึ้นทุกทีๆ
เมื่อเธอคนนี้ไม่ใช่คนดีของฉันอีกต่อไป

ใจ หัวใจเจ็บช้ำ เมื่อรักมันซ้ำมันซ้อนกับใครคนใหม่ของเธอ
ใจเจ้าเคยบ้างไหม จะหยุดไม่ไปรักใครอื่นใด
ยากนักใช่ไหม ให้รักฉันหมดทั้งใจ
จะทำได้ไหม ได้โปรด แต่ก็พอจะรู้ว่าเธอคงทำไม่ไหว ไม่ไหว

และมันจะยิ่งทรมานมากขึ้นทุกทีๆ
เมื่อเธอคนนี้ไม่ใช่คนดีของฉันอีกต่อไป

ใจ หัวใจเจ็บช้ำ เมื่อรักมันซ้ำมันซ้อนกับใครคนใหม่ของเธอ
ใจเจ้าเคยบ้างไหม จะหยุดไม่ไปรักใครอื่นใด
ยากนักใช่ไหม ให้รักฉันเพียงคนเดียว

ใจ หัวใจเจ็บช้ำ เมื่อรักมันซ้ำมันซ้อนกับใครคนใหม่ของเธอ
ใจเจ้าเคยบ้างไหม จะหยุดไม่ไปรักใคร
ยากนักใช่ไหม ให้รักฉันเพียงคนเดียว",cocktail
เพลงรักเพลงสุดท้าย,/music/thailyric/413,"แล้วมันก็ผ่าน ผ่านเข้ามาให้ฉันได้เข้าใจ
ว่าความรักมันคืออะไร
ว่าชีวิตควรเป็นเช่นไร
และแล้วมันก็จบจบก่อนฉันจะทำใจรับมันเอาไว้
ก่อนที่ฉันจะยอมให้เธอเหอออไป
จบลงก่อนที่ฉันจะทำใจให้มันได้ลืม

ฉันติดอยู่กับความรักจมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอ
ฉันติดอยู่กับความรัก จมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอไป

และฉันก็ยังอยู่ อยู่กับความทรงจำที่ยัง
มันคงไม่เปลี่ยน
แม้เวลาจะผ่านเลยไป
ซักแค่ไหนแต่ฉันก็ยังรักเธออยู่
อยู่กับดวงตาที่น้ำตายังคงรินไหล

ฉันติดอยู่กับความรักจมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอ
ฉันติดอยู่กับความรัก จมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอไป

ติดอยู่กับคำถามที่ฉันไม่รู้คำตอบ
ว่าชีวิตฉันนั้นมันจะอยู่ไปเพื่ออะไร
อยู่กับการรอคอยที่ดูจะไร้ความหมาย
ติดกับแววตา ติดกับหัวใจ
ติดกับรอยยิ้ม...ของเธอ...

ฉันติดอยู่กับความรักจมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอ
ฉันติดอยู่กับความรัก จมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอไป

ฉันติดอยู่กับความรักจมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอ
ฉันติดอยู่กับความรัก จมอยู่กับความทุกข์
ติดอยู่กับความคิด จมอยู่กับชีวิต
อยู่กับความทรงจำที่คอยตอกย้ำ
ให้รู้ว่าฉันได้เสียเธอไป",cocktail
ไม่ได้มาจากฟากฟ้า,/music/thailyric/414,"ฉันเป็นเพียงชายคนหนึ่งมองฟ้าไกล
อยากจะเอื้อมมือไปคว้าไขว่ เธอที่อยู่บนนั้น
ติดอยู่เพียงแค่เท้าฉันยังคงยืนอยู่บนพื้นดิน
คงจะไม่มีทางรั้งเธอมาไว้ในอ้อมกอด

อยากจะมีแค่เพียงใจรักอยู่
และจะมีหัวใจที่ยังคงมั่นคงรอเธอ
ฉันยังคงหลับตาและฝันถึงเพียงเธอ

ไม่ได้มาจากฟ้าไกล
เหมือนดังสิ่งที่เธอนั้นต้องการ
คงมีหวังถ้าดึงเธอเอามาไว้ในอ้อมกอด
ไม่ได้มาจากฟ้าดังเหมือนดัง
สิ่งที่เธอหวังมาครองก็จะมีแค่เพียงใจถึงเธอ

ฉันเป็นเพียงชายคนหนึ่งมีหัวใจ
อยากจะให้เธอทั้งใจแต่คงทำไม่ไหว
ก็ฉันมีเพียงมือที่ไม่อาจปกป้องใคร
มีแค่เพียงหัวใจที่ไม่เคยให้ใคร
ให้เพียงได้แต่เธอ

อยากจะมีแค่เพียงใจรักอยู่
และจะมีหัวใจที่ยังคงมั่นคงรอเธอ
ฉันยังคงหลับตาและฝันถึงเพียงเธอ

ไม่ได้มาจากฟ้าไกล
เหมือนดังสิ่งที่เธอนั้นต้องการ
คงมีหวังถ้าดึงเธอเอามาไว้ในอ้อมกอด
ไม่ได้มาจากฟ้าดังเหมือนดัง
สิ่งที่เธอหวังมาครองก็จะมีแค่เพียงใจถึงเธอ

เอื้อมมือเพื่อไขว่คว้าเธอ
ฉันยังคงมองมาเมื่อเธอนั้นมองมา
และคงจะไม่มีสิ่งใดเลิศเลอและสูงค่า
สูงเกินกว่ารักที่ให้เธอ

อยากจะมีแค่เพียงใจรักอยู่
และจะมีหัวใจที่ยังคงมั่นคงรอเธอ
ฉันยังคงหลับตาและฝันถึงเพียงเธอ

ไม่ได้มาจากฟ้าไกล
เหมือนดังสิ่งที่เธอนั้นต้องการ
คงมีหวังถ้าดึงเธอเอามาไว้ในอ้อมกอด
ไม่ได้มาจากฟ้าดังเหมือนดัง
สิ่งที่เธอหวังมาครองก็จะมีแค่เพียงใจถึงเธอ",cocktail
วูบเดียว,/music/thailyric/415,"ฉันไม่อยากจะรับ
ฉันไม่อยากจะรู้ อะไรอีก
คนที่ผ่านเข้ามา
มันก็เพียงแค่ผ่านเข้ามาแล้วผ่านไป
ฉันไม่อยากจะรู้ ฉันไม่อยากจะคิด
ไม่อยากสนใจ
รักที่มันได้ผ่าน มันก็เพียงแค่ผ่านมาทำร้าย

แต่ผ่านมาเพียงวูบเดียว
มาแค่เพียงชั่วคราว
ผ่านเข้ามาแล้วทำฉันต้องเสียใจ
มาแค่เพียงวูบเดียวมาวูบเดียวแค่จาก
ผ่านเข้ามาแล้วทำให้น้ำตารินไหล
ไม่รู้ว่านานเท่าไหร่ที่จะหลุดพ้น
กับความรักที่ทำให้หมองหม่น เหลือเกิน

ฉันไม่อยากจะรับ
ฉันไม่อยากจะรู้ อะไรอีก
คนที่ผ่านเข้า
มันก็เพียงแค่ผ่านมาแล้วผ่านไป
ฉันไม่อยากจะรู้
ฉันไม่อยากจะคิด ไม่อยากสนใจ
จะคอยทำร้ายหัวใจกันนานถึงเมื่อไหร่

แต่ผ่านมาเพียงวูบเดียว
มาแค่เพียงชั่วคราว
ผ่านเข้ามาแล้วทำฉันต้องเสียใจ
มาแค่เพียงวูบเดียวมาวูบเดียวแค่จาก
ผ่านเข้ามาแล้วทำให้น้ำตารินไหล
ไม่รู้ว่านานเท่าไหร่ที่จะหลุดพ้น
กับความรักที่ทำให้หมองหม่น เหลือเกิน

และจะอีกนานแค่ไหน
ที่ฉันต้องทนเจ็บปวด
อยู่กับความรักที่มันทรมาน
และจะอีกนานเท่าไหร่
ต้องเจ็บอีกซักเท่าไหร่

แต่ผ่านมาเพียงวูบเดียว
มาแค่เพียงชั่วคราว
ผ่านเข้ามาแล้วทำฉันต้องเสียใจ
มาแค่เพียงวูบเดียวมาวูบเดียวแค่จาก
ผ่านเข้ามาแล้วทำให้น้ำตารินไหล
ไม่รู้ว่านานเท่าไหร่ที่จะหลุดพ้น
กับความรักที่ทำให้หมองหม่น เหลือเกิน

แต่ผ่านมาเพียงวูบเดียว
มาแค่เพียงชั่วคราว
ผ่านเข้ามาแล้วทำฉันต้องเสียใจ
มาแค่เพียงวูบเดียวมาวูบเดียวแค่จาก
ผ่านเข้ามาแล้วทำให้น้ำตารินไหล
ไม่รู้ว่านานเท่าไหร่ที่จะหลุดพ้น
กับความรักที่ทำให้หมองหม่น เหลือเกิน

แต่ผ่านมาเพียงวูบเดียว
มาแค่เพียงชั่วคราว
ผ่านเข้ามาแล้วทำฉันต้องเสียใจ
มาแค่เพียงวูบเดียวมาวูบเดียวแค่จาก
ผ่านเข้ามาแล้วทำให้น้ำตารินไหล
ไม่รู้ว่านานเท่าไหร่ที่จะหลุดพ้น
กับความรักที่ทำให้หมองหม่น เหลือเกิน",cocktail
ดนตรีกาล,/music/thailyric/17371,"ก่อนนั้นเมื่อครั้งฉันเยาว์วัย
ฉันเคยได้รู้ความนัย
ว่าหัวใจหากคนไร้ดนตรีกาล
ในสันดานเป็นคนชอบกล

จากนั้นฉันจึงได้เข้าใจ
ดนตรีประโลมโลกไว้อย่างไร
กล่อมหัวใจให้คนหายจากทุกข์โศก
ขับกล่อมโลกให้หลับไหลด้วยนิทรา

ยามเพลงดังใจฉันยินดี
เหมือนมีมนต์สะกดให้ฟัง
ทุกข์ใด สลายหมดสิ้นพลัน
ด้วยเวทมนตร์แห่งดนตรีกาล

จวบจนถึงวันที่เวลาเลยล่วงไป
จิตวิญญาณพลันหายไกล เสียงดนตรีไปอยู่ไหน
ราวกับดนตรีตาย จิตวิญญาณพลันสลาย
ไม่มีแล้วจากนี้ไม่มี ดนตรีอีกต่อไป

กลับมาเถิดดนตรี กลับมาเถิดดนตรี
กลับมาเถอะมาร่ำมาร้องพลงกัน
กลับมาเถิดดนตรี กลับมาเถิดดนตรี
กลับมาเถอะให้เราได้ร่ายรำกัน
กลับมาเถิดดนตรี กลับมาเถิดดนตรี
กลับมาเถอะมาร่ำมาร้องพลงกัน
กลับมาเถิดดนตรี กลับมาเถิดดนตรี
กลับมาเถอะให้เราได้ร่ายรำกัน

จะกู่จะร้องอย่างเสรี ไม่มีผู้ใดมาขัดขวาง
ให้เสียงดนตรีนำหนทางหัวใจ
จะสุขจะทุกข์จะร้องรำ จะเริงระบำรอบกองไฟ
ให้เสียงดนตรีพาหัวใจได้เบิกบาน
จะขีดจะเขียนเล่าเรื่องราว ให้คนรุ่นเยาว์ได้เรียนรู้
ว่าครั้งหนึ่งเราเคยเป็นอยู่เช่นไร
ให้ทุกบทเพลงที่เร่งดัง เหมือนเสียงระฆังสว่างใส
ให้ทุกความเศร้าในจิตใจได้ผ่อนคลาย

จะกู่จะร้องอย่างเสรี ไม่มีผู้ใดมาขัดขวาง
ให้เสียงดนตรีอยู่ท่ามกลางฝูงชน
ทุกความผิดพลั้งที่ฉันทำ ทุกกรรมที่ฉันเคยก่อไว้
ให้เสียงดนตรีชำระใจให้เบิกบาน

มาร้องเพลงให้มันก้องดัง
แม้ในวันที่ฉันทุกข์ทน
เพราะใจคนมืดมนสักเท่าไร
ให้ดนตรีชำระล้างวิญญาณ
ให้ดนตรีชำระล้างวิญญาณ",cocktail
พบพาน,/music/thailyric/17207,"ใจฉัน มันยังเจ็บ ยังคงยับเยินอยู่
ไม่รู้อีกนานเท่าไรกว่าจะลบเลือนจากใจ
อยู่อย่างเดียวดาย อยู่อย่างเคว้งคว้าง
ยังคงต้องการจะพบเจอใคร
ใครสักคนที่จะฝันใฝ่สิ่งเดียวกัน

ความหลังมันยังคงหลอกหลอนไม่เคยจบ
อยากลบให้รอยอดีตมันจืดจางหายไป
ราตรียาวนาน อยู่อย่างเดียวดาย
ใจยังไม่คลายจากความหมองหม่น
ใครสักคน ฉันขอเพียงใครสักคน
ช่วยฉันหลุดพ้น

ใจยังต้องการ รอวันจะพบพาน
ใครบางคนที่ไม่ผันผ่าน
ใครที่จะทำให้ใจที่ร้าวราน
หยุดความทรมานเสียที

ความหวัง มันยังคงหล่อเลี้ยงให้เดินต่อ
เฝ้ารอ ให้ใครสักคนมาต่อลมหายใจ
ราตรียาวนาน อยู่อย่างเดียวดาย
ใจยังไม่คลายจากความหมองหม่น
ใครสักคน ฉันขอเพียงใครสักคน
ช่วยฉันหลุดพ้น

ใจยังต้องการ รอวันจะพบพาน
ใครบางคนที่ไม่ผันผ่าน
ใครที่จะทำให้ใจที่ร้าวราน
หยุดความ ทรมานเสียที

รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน
รอคอยวันที่จะพบพาน

ความรักเอยอยู่ที่ใด
อยู่ใกล้หรือจะอยู่ไกล
แดนร้างหรือแดนใด
ฉันใฝ่หา ใฝ่ฝัน
ความรักใยยังเลืองลาง
โปรดเป็นแสงสว่าง
ส่องทางให้พบพาน
ให้พบพาน ให้พบพาน ให้พบเธอ

ใจยังต้องการ รอวันจะพบพาน
ใครบางคนที่ไม่ผันผ่าน
ใครที่จะทำให้ใจที่ร้าวราน
หยุดความทรมานเสียที

ใจยังต้องการ รอวันจะพบพาน
ใครบางคนที่ไม่ผันผ่าน
ใครที่จะทำให้ใจที่ร้าวราน
หยุดความทรมานเสียที

ใจยังต้องการ รอวันจะพบพาน
ใครบางคนที่ไม่ผันผ่าน
ใครที่จะทำให้ใจที่ร้าวราน
หยุดความทรมานเสียที

ใจยังต้องการ รอวันจะพบพาน
ใครบางคนที่ไม่ผันผ่าน
ใครที่จะทำให้ใจที่ร้าวราน
หยุดความทรมานเสียที",cocktail
จม,/music/thailyric/412,"มองไปเห็นแสงรำไร สาดส่องเป็นประกายอยู่บนน้ำ
มือเธอช่างดูเลือนลาง เริ่มจางหาย ไกลออกไป

ฉันเหน็บหนาวเหลือเกิน วังเวงเปล่าเปลี่ยวในหัวใจ
ดูคล้ายต้องจากเธอไป ต้องห่างไกล ไกลกันมากเลย

เส้นเลือดใหญ่กำลังจะอุดตัน
ในท้องก็ยังป่วนปั่นทรมานขึ้นทุกที
และทุกระบบประสาทเริ่มสั่งการไม่ค่อยดี
มือเริ่มแข็งและสาก ใจเริ่มล้าและอ่อน

ฉันกำลังจมดิ่งสู้ท้องทะเล
กำลังจะตายไปจากใจของเธอ
ความรักที่เคยมีมามันช่างล้นเอ่อ
มันมาถึงวัน ที่เราต้อง ต้องจาก...กันไป

เส้นเลือดใหญ่กำลังจะอุดตัน
ในท้องก็ยังป่วนปั่นทรมานขึ้นทุกที
และทุกระบบประสาทเริ่มสั่งการไม่ค่อยดี
มือเริ่มแข็งและสาก ใจเริ่มล้าและอ่อน

ฉันกำลังจมดิ่งสู้ท้องทะเล
กำลังจะตายไปจากใจของเธอ
ความรักที่เคยมีมามันช่างล้นเอ่อ
มันมาถึงวัน ที่เราต้อง ต้องจาก...กันไป

ฉันกำลังจมดิ่งสู้ท้องทะเล
กำลังจะตายไปจากใจของเธอ
ความรักที่เคยมีมามันช่างล้นเอ่อ
มันมาถึงวัน ที่เราต้อง ต้องจาก...กันไป

กันไป..",cocktail
คุกเข่า,/music/thailyric/9072,"เพราะอะไรเธอจึงทิ้งฉันไป ฉันทำให้เธอผิดหวัง
ฉันทำให้เธอเจ็บช้ำมากมายขนาดไหน
ฉันรักเธอ มากมายเท่าไร เธอเองก็รู้ใช้ไหม
ว่าเธอน่ะมีความหมายกับฉันขนาดไหน
มากเท่าไร

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย

ฉันผิดไป แต่ไม่ได้ตั้งใจ
ต้นเหตุที่ฉันผิดพลั้ง มันจะไม่มีอีกครั้ง
ให้เธอโปรดมั่นใจ ฉันขอได้ไหม

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย

หากว่าเธอยังรัก ยังห่วงใย
หากว่าเธอยังมีน้ำใจให้ฉันหน่อย
อย่าปล่อยให้ฉันใจน้อยคอยเรื่อยไป
และหากว่าฉันยังดีไม่พอ
ก็จะขอทำดีให้เธอได้เข้าใจ
ได้โปรดอย่าทำร้ายกันเลย

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย",cocktail
คู่ชีวิต,/music/thailyric/10231,"เธอคือทุกสิ่ง ในความจริงในความฝัน
คือทุกอย่างเหมือนใจต้องการ
เธอเป็นนิทาน ที่ฉันอ่าน ก่อนหลับตาและนอนฝัน

เธอคือหัวใจ ไม่ว่าใครไม่อาจเทียมเทียบเท่าเธอ
ช่างโชคดีที่เจอ ได้ตกหลุมรักเธอ
ได้มีเธอ เคียงข้างกัน

คงจะมีเพียงเธอทำให้โลกนั้นหยุดหมุน เพียงเธอสบตาฉัน
คงจะมีเพียงเธอที่หยุดหัวใจของฉันไว้ตรงนี้ ตรงที่เธอ

เธอเพียงคนเดียวและเพียงเธอที่ต้องการ
ฉันจะทำทุกๆ ทางด้วยวิญญาณและหัวใจ
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียงคนเดียว

เธอคือรักจริง ฉันยอมทิ้งทุกๆ อย่างเพียงเพื่อเธอ
ดั่งฟ้าให้มาเจอ ให้เธอคู่กับฉัน
ให้เราได้เดินเคียงข้างกันนับจากนี้

คงจะมีเพียงเธอทำให้โลกนั้นหยุดหมุน เพียงเธอสบตาฉัน
คงจะมีเพียงเธอที่หยุดหัวใจของฉันไว้ตรงนี้ ตรงที่เธอ

เธอเพียงคนเดียวและเพียงเธอที่ต้องการ
ฉันจะทำทุกๆ ทางด้วยวิญญาณและหัวใจ
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียง

เธอเพียงคนเดียวและเพียงเธอที่เฝ้ารอ
ฉันจะขอภาวนา ต่อหน้าฟ้าอันแสนไกล
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียงคนเดียว

จะทุกข์หรือยามที่เธอนั้นสุขใจ
ยามป่วยไข้หรือสุขกายสบายดี
ฉันอยู่ตรงนี้และจะมีเพียงเธอทุกวินาที
จะอยู่ใกล้ไม่ห่างไกล จะเคียงชิดไม่ห่างไป ไม่ไปไหน

เธอเพียงคนเดียวและเพียงเธอที่ต้องการ
ฉันจะทำทุกๆ ทางด้วยวิญญาณและหัวใจ
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียง

เธอเพียงคนเดียวและเพียงเธอ เพียงเธอที่รอ
ฉันขอภาวนาต่อหน้าฟ้าอันแสนไกล
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
เกิดชาติไหนฉันมีเธอ มีเธอเพียง คนเดียว",cocktail
