song_name,href,lyric,artist
งมเข็มในทะเล,/music/thailyric/1649,"ทำไปเท่าไร มันก็ว่างเปล่า
ไม่มีเลย ไม่เห็น เธอจะรู้
สิ่งที่ฉันให้ ไม่มีเหลืออยู่
มันนาน จนท้อใจ

หรือ จะต้องยอมแพ้ เดินจากไป
เหนื่อยหัวใจ เพราะทำ ทุกอย่างแล้ว

ต่อให้งมเข็ม ในทะเล
ยากเย็นสักเท่าไร ยังไงก็ต้องเจอ
แต่ตามหา หา รัก ในเธอ
คงไม่มีวันเจอ เพราะมันไม่มี ไม่มี (จริง) (เลย)

เธอรู้หรือเปล่า ว่าทรมาน
ที่ต้องทำ ให้ ได้ ใจเธอมา (ได้ใจเธอมา)
ก็ใจของเธอ มันลึกยิ่งกว่า
มันเกินจะค้นเจอ

หรือ จะต้องยอมแพ้ เดินจากไป
เหนื่อยหัวใจ เพราะทำ ทุกอย่างแล้ว

ต่อให้งมเข็ม ในทะเล
ยากเย็นสักเท่าไร ยังไงก็ต้องเจอ
แต่ตามหา หา รัก ในเธอ
คงไม่มีวันเจอ เพราะมันไม่มี ไม่มี (จริง) (เลย)

ต่อให้งมเข็ม ในทะเล
ยากเย็นสักเท่าไร ยังไงก็ต้องเจอ
แต่ตามหา หา รัก ในเธอ
คงไม่มีวันเจอ เพราะมันไม่มี ไม่มี (จริง) (เลย)

ต่อให้งมเข็ม ในทะเล
ยากเย็นสักเท่าไร ยังไงก็ต้องเจอ
แต่ตามหา หา รัก ในเธอ
คงไม่มีวันเจอ เพราะมันไม่มี ไม่มี (จริง) (เลย)",d2b
ฉันจะจับมือเธอเอาไว้,/music/thailyric/1651,"กาลเวลาที่เวียนเปลี่ยนและหมุนไป
เรื่องราวมากมาย ผ่านเข้ามาในชีวิต
อาจจะทำให้เธอเหนื่อยล้า และอ่อนไหวในบางครา
หลับเถอะนะที่รัก เก็บแรงเอาไว้ในวันต่อไป

ฉันจะจับมือเธอเอาไว้ 
ให้เธอได้รู้สึก ว่าเราไม่เคยห่างกัน
แม้ในความฝันให้เธอรู้ว่ามีฉันจะอยู่ตรงนี้
เพื่อรอวันที่เธอ...กลับมา
ในคืนนี้แม้มันจะเหน็บหนาว ไม่มีแสงดาว
แต่เธอยังคงจะมีฉัน อดทนนะ
อีกไม่นานวันสดใสยังรอเธอ
หลับเถอะนะที่..รัก เก็บเเรงเอาไว้ในวันต่อไป

ฉันจะจับมือเธอเอาไว้
ให้เธอได้รู้สึก ว่าเราไม่เคยห่างกัน
แม้ในความฝันให้เธอรู้ว่ามีฉันจะอยู่ตรงนี้
เพื่อรอวันที่เธอ...ตื่นมาเจอ กับวันที่สวยงาม
ภาพความทรงจำเหล่านั้นจะกลับมา...

และฉันจะจับมือเธอเอาไว้...
ให้เธอได้รู้สึก ว่าเราไม่เคยห่างกัน
แม้ในความฝัน...ให้เธอรู้ว่ามีฉัน..จะอยู่ตรงนี้
เพื่อรอวันที่เธอ...กลับมา",d2b
ถ้าเทียบกับใจฉัน,/music/thailyric/1654,"บางครั้ง ฉันอาจละเลยเธอไป
ไม่ดูแลไส่ใจเหมือนคนอื่น
อาจดูเหมือนว่าสิ่งที่ทำมันฝืนหัวใจ
แต่ก็กลายเป็นตรงข้ามกัน

อยากให้เธอลองมองเข้าไปในหัวใจ
เธอะได้รู้ว่าฉันนั้นคิดยังไง  ยังไงกับเธอ
คำคำนั้นใช่จะพูดกันง่ายๆ
ต้องกลั่นกรองออกจากใจใช่หรือเปล่า
ไม่นุ่มนวลอ่อนไหวอย่างไครเขา
แต่เราก็ทำไปด้วยใจ

อยากให้เธอลองมองเข้าไปในหัวใจ
เธอะได้รู้ว่าฉันนั้นคิดยังไง  ยังไงกับเธอ

จะไม่บอกรัก  ซ้ำซ้ำ  ให้เธอต้องรำคาญ
ไม่มีคำหวาน  ซึ้งซึ้ง  คำพูดที่กินใจ
ถ้าหากเธอรู้ว่าฉันรักเธอมากแค่ไหน
นั้นมันอาจจะน้อยไป
ถ้าเทียบกับใจฉัน

อยากให้เธอลองมองเข้าไปในหัวใจ
เธอะได้รู้ว่าฉันนั้นคิดยังไง  ยังไงกับเธอ

จะไม่บอกรัก  ซ้ำซ้ำ  ให้เธอต้องรำคาญ
ไม่มีคำหวาน  ซึ้งซึ้ง  คำพูดที่กินใจ
ถ้าหากเธอรู้ว่าฉันรักเธอมากแค่ไหน
นั้นมันอาจจะน้อยไป
ถ้าเทียบกับใจฉัน

จะอยู่ที่ไหนหัวใจไม่เคยจะเหงา
เมื่อเรามีเราใกล้กันไม่ว่าที่ใด
เธออาจไม่รู้สึกแต่ฉันรู้สึก
ว่ารักเธอมากมาย
เธอมรีความหมาย
ที่สุดในใจฉัน

จะไม่บอกรัก  ซ้ำซ้ำ  ให้เธอต้องรำคาญ
ไม่มีคำหวาน  ซึ้งซึ้ง  คำพูดที่กินใจ
ถ้าหากเธอรู้ว่าฉันรักเธอมากแค่ไหน
นั้นมันอาจจะน้อยไป
ถ้าเทียบกับใจฉัน",d2b
เธอคือผู้หญิงคนนั้น,/music/thailyric/1656,"หากจะมีใคร อยู่ในใจฉัน
คนหนึ่งคนนั้นต้องเป็นเธอ
หากจะมีคน ที่ใจฉันจะพร่ำเพ้อ
และจะรักเสมอไม่แปรเปลี่ยนไป

ต้อง(เธอ)เป็นคนที่มีจิตใจงดงาม
และมีรักให้ฉันด้วยความบริสุทธิ์ใจ

เธอคือผู้หญิงคนนั้น ที่ทำให้ชีวิตฉันมีความหมาย
คือฟากฟ้า แห่งความรัก ที่โอบกอดฉัน
เธอคือผู้หญิงคนนั้น คนที่ฉันรักจนหมดใจ
จักรวาลของฉันคือห้วงความรักจากเธอ

จะติดตามเธอ ด้วยความห่วงหวง
ไกลซักเพียงไหนไม่ไหวหวั่น
ให้เธอคืนมา เพื่อรับรู้ว่าใจฉัน
มีแต่เธอเท่านั้นนับตั้งแต่นี้

เธอคือผู้หญิงคนนั้น ที่ทำให้ชีวิตฉันมีความหมาย
คือฟากฟ้า แห่งความรัก ที่โอบกอดฉัน
เธอคือผู้หญิงคนนั้น คนที่ฉันรักจนหมดใจ
จักรวาลของฉันคือห้วงความรักจากเธอ

ต้อง(เธอ)เป็นคนที่มีจิตใจงดงาม
และมีรักให้ฉันด้วยความบริสุทธิ์ใจ

เธอคือผู้หญิงคนนั้น ที่ทำให้ชีวิตฉันมีความหมาย
คือฟากฟ้า แห่งความรัก ที่โอบกอดฉัน
เธอคือผู้หญิงคนนั้น คนที่ฉันรักจนหมดใจ
จักรวาลของฉันคือห้วงความรักจากเธอ

เธอคือผู้หญิงคนนั้น
เธอคือฟากฟ้า คือความรักที่กอดฉัน
เธอคือผู้หญิงคนนั้น (โฮ๊)",d2b
นับตั้งแต่วันที่ฉันรักเธอ,/music/thailyric/1658,"แดนร้อง :: หลับตาลงช้าๆ
ยื่นมือมาสัมผัสกัน
ปล่อยให้ใจของฉัน
พูดทุกคำข้างใน
ส่งผ่านความลึกซึ้ง
ด้วยใจหนึ่งถึงอีกใจ
เธอได้ยินมั้ย?

บิ๊ก :: โลกที่ดูเวิ้งว้าง
ท่ามกลางคนนับหมื่นพัน
แต่คนเดียวเท่านั้น
ทำให้ใจเต้นแรง
สบตาเธอครั้งนั้น
โลกทุกวันก้อเปลี่ยนแปลง
เปลี่ยนเป็นความสดใส

พี่บีม :: มีแต่ใจที่รู้ว่าดูไม่ผิด
จากวันนี้ชีวิตจะวางไว้
คนที่รักตัวเอง อย่างไม่เหลือให้ใคร
แต่นี้ไปจะรักเธอ คน(เท่า) นั้น

ตั้งแต่วันนั้นถึงวันนี้
ตั้งแต่วันที่ชั้นรักเธอ
ตั้งแต่นั้นหัวใจได้อบอุ่นเสมอ. .
เมื่อมีเธอทุกอย่างมีความหมาย

ตั้งแต่วันที่เธอเข้ามา
เปลี่ยนท้องฟ้าให้คนอ่อนไหว
ก็ได้รู้ว่าชั้นต้องรักใคร อยู่เพื่อใคร
นับจากวันนั้น (อยู่เพื่อเธอนับจากวันนี้)",d2b
นายเจ็บ ฉันเจ็บ,/music/thailyric/1659,"อยู่แห่งไหน นายจะมีฉันผูกพัน
จะไม่ลืมกัน 
จะไม่ลืม ไม่ลืม หากเดือนจะจาง
จะไม่มีทางให้นายได้ไกลห่าง
เราจะร่วมเดินทาง
ไปสู่ฝันด้วยกันตลอดไป

หากว่านายเจ็บ ฉันก็เจ็บ
เพื่อนเจ็บ ฉันก็เจ็บเหมือนกัน
เพื่อนต้องอยู่ด้วยกัน จะทิ้งกันได้ไง
หากวันไหนสนุก ฉันยังสุข...
เพื่อนเจ็บ ฉันก็เจ็บเหมือนกัน

นายจะมีฉันอยู่ 
อยู่ข้างกัน นายจะมีฉันอยู่ 
อยู่ด้วยกัน นายจะมีฉัน เราจะมีกัน 
ไม่ว่าเวลาจะผ่านไปนานแค่ไหน

ไม่ว่าทุกข์จะสุขจะอยู่ช่วยกันฟันฝ่า
จะเจอช่วงเวลาที่ไม่ค่อยดีเท่าไหร่
กอดคอกันไว้ จะไม่มีใครทิ้งใคร

หากว่านายเจ็บ ฉันก็เจ็บ
เพื่อนเจ็บ ฉันก็เจ็บเหมือนกัน
เพื่อนต้องอยู่ด้วยกัน จะทิ้งกันได้ไง
หากวันไหนสนุก ฉันยังสุข... 
เพื่อนเจ็บ ฉันก็เจ็บเหมือนกัน

หากว่านายเจ็บ ฉันก็เจ็บ
เพื่อนเจ็บ ฉันก็เจ็บเหมือนกัน
เพื่อนต้องอยู่ด้วยกัน จะทิ้งกันได้ไง
หากวันไหนสนุก ฉันยังสุข... 
เพื่อนเจ็บ ฉันก็เจ็บเหมือนกัน",d2b
เรื่องจริงๆ ที่ผู้หญิง(ก็)ไม่รู้,/music/thailyric/1665,"หากไม่รักจะไม่สน
ไม่รักไม่ทนหรอกเชื่อสิ
มานั่งระวังกันทุกนาที
ไม่ใช่แค่เธอที่เหนื่อยใจ

สิ่งที่เธอไม่รู้เหมือนกัน
มุมที่ฉันไม่เคยพูดไป
เธอบอกผู้ชาย ไม่เคยเข้าใจ
ผู้หญิงเลยสักครั้ง
ที่พูดจาประชดประชัน
คอยเจ้ากี้เจ้าการทุกอย่าง
ก็ทำเพราะรัก ให้รู้ซะบ้าง
ให้รับฟังเธอได้ไหม

แค่ผู้ชายคนนี้ของเธอ
คนที่เธอว่าเธอเข้าใจ
เธอกลับไม่เคย ไม่เคยเข้าใจ
ไม่ไว้ใจ อย่างนั้น

ว่าเจ้าชู้ ว่าฉันหลายใจ
แอบมีใครให้เธอไหวหวั่น
ต้องโทรต้องถาม
ต้องตามทั้งวัน
ไม่เชื่อใจกันสักที

ถ้าเธอสงสัย ทำไมฉันยอมทน
ขอตอบเธอด้วยเหตุผล คำหนึ่งตรงนี้

หากไม่รักจะไม่สน
ไม่รักไม่ทนหรอกเชื่อสิ
มานั่งระวังกันทุกนาที
ไม่ใช่แค่เธอที่เหนื่อยใจ

ผู้หญิงคนหนึ่งไม่มีเหตุผล
แต่ผู้ชายก็ทนรับมันด้วยใจ
ความรักอยู่เหนื่อยคำว่าทำไม
นี่ก็เป็นแค่เรื่องง่ายๆ
ที่ผู้หญิงไม่เคยรู้เลย

สิ่งที่เธอไม่รู้เหมือนกัน
มุมที่ฉันไม่เคยพูดไป
เธอบอกผู้ชาย ไม่เคยเข้าใจ
ผู้หญิงเลยสักครั้ง

แต่อย่างน้อยคนรักของเธอ
คนที่ยอมให้เธอทุกอย่าง
ก็ไม่ทำร้าย ไม่เคยทิ้งขว้าง
และรักเธอหมดหัวใจ

ถ้าเธอสงสัย ทำไมฉันยอมทน
ขอตอบเธอด้วยเหตุผล คำหนึ่งตรงนี้

หากไม่รักจะไม่สน
ไม่รักไม่ทนหรอกเชื่อสิ
มานั่งระวังกันทุกนาที
ไม่ใช่แค่เธอที่เหนื่อยใจ

ฉันรักเธอ ไม่เคยรักใคร
แต่ทำไมไม่เชื่อฉันเลย",d2b
หายใจอีกครั้ง,/music/thailyric/1666,"ขอได้มั้ย  ฉันขอได้มั้ย
มีให้เท่าไหนก็ขอเท่านั้น
แบ่งใจเธอให้กัน
มากหรือน้อยไม่เป็นไร

ไม่ต้องคิดว่าคบกับฉัน
อย่าทิ้งเวลาที่ฉันไม่ไหว
อยู่กุมมือฉันไว้
ก็เท่านี้ต้องการ

แค่ได้มองเธอ
ได้คิดถึงเธอแบบนั้น
อยากมีคนในใจ
ให้หัวใจได้ผูกพัน
ไม่ต้องบอกว่ารักกัน
ไม่เคยฝันเลยคำนั้น ยิ่งใหญ่ไป

ซักคำว่าห่วงใย
โลกทั้งใบก็ไม่เฉา
เปลี่ยนเวลาตรงนี้ที่มืดและหนาว
กลายเป็นเช้าที่สว่าง
แล้วคนจะขาดใจ
คงหายใจได้อีกครั้ง
ให้พอมองเห็นทาง
ต่อชีวิตที่อ้างว้างด้วยมือเธอ
เหตุผลที่ฉันยังหายใจ
เหตุผลของฉันมีแต่เธอ

ขอได้มั้ย  ฉันขอได้มั้ย
มีให้เท่าไหนก็ขอเท่านั้น
แบ่งใจเธอให้กัน
มากหรือน้อยไม่เป็นไร

แค่ได้มองเธอ
ได้คิดถึงเธอแบบนั้น
อยากมีคนในใจ
ให้หัวใจได้ผูกพัน
ไม่ต้องบอกว่ารักกัน
ไม่เคยฝันเลยคำนั้น ยิ่งใหญ่ไป

ซักคำว่าห่วงใย
โลกทั้งใบก็ไม่เฉา
เปลี่ยนเวลาตรงนี้ที่มืดและหนาว
กลายเป็นเช้าที่สว่าง
แล้วคนจะขาดใจ
คงหายใจได้อีกครั้ง
ให้พอมองเห็นทาง
ต่อชีวิตที่อ้างว้างด้วยมือเธอ
เหตุผลที่ฉันยังหายใจ
เหตุผลของฉันมีแต่เธอ

ซักคำว่าห่วงใย
โลกทั้งใบก็ไม่เฉา
เปลี่ยนเวลาตรงนี้ที่มืดและหนาว
กลายเป็นเช้าที่สว่าง
แล้วคนจะขาดใจ
คงหายใจได้อีกครั้ง
ให้พอมองเห็นทาง
ต่อชีวิตที่อ้างว้างด้วยมือเธอ
เหตุผลที่ฉันยังหายใจ
เหตุผลของฉันมีแต่เธอ

เหตุผลที่ฉันยังหายใจ
เหตุผลของฉันมีแต่เธอ",d2b
ของขวัญในวันแพ้,/music/thailyric/1645,"เหมือนไม่ค่อยได้สน เหมือนไม่ค่อยได้มาใส่ใจ
ไม่แคร์เท่าไหร่นะ นายจะทำอะไร
ในวันนี้เราทำอะไร ก็ทำซะ

แต่ (ใน) วันที่แพ้ อ่อนแอไม่มีแรงใจ
บนทางเดินที่กว้างไกล อาจมองไม่เห็น
แต่เรารับรู้ด้วยใจ ไกลแค่ไหนจะมาหา

(เมื่อมือจับมือ) แม้ว่านานแค่ไหนก็ไม่เคยทิ้ง
(เมื่อเรากอดคอ) เพราะว่าเราเป็นเพื่อนจริงใช่ไหม
(เมื่อมือจับมือ) ขออยู่เป็นของขวัญเนื่องในวันแพ้
(เมื่อเรากอดคอ) เพราะว่านายคือเพื่อนแท้...เพื่อนตาย
เพราะทุกๆ ชีวิต มีอะไรให้เราต้องเจอ ทั้งเราทั้งนายนะ
วันเวลาผ่านเลย คำว่าเพื่อนไม่เคยผ่านไป เข้าใจไหม

แต่ (ใน) วันที่แพ้ อ่อนแอไม่มีแรงใจ
บนทางเดินที่กว้างไกล อาจมองไม่เห็น
แต่เรารับรู้ด้วยใจ ไกลแค่ไหนจะมาหา

(เมื่อมือจับมือ) แม้ว่านานแค่ไหนก็ไม่เคยทิ้ง
(เมื่อเรากอดคอ) เพราะว่าเราเป็นเพื่อนจริงใช่ไหม
(เมื่อมือจับมือ) ขออยู่เป็นของขวัญเนื่องในวันแพ้
(เมื่อเรากอดคอ) เพราะว่านายคือเพื่อนแท้...เพื่อนตาย
เพราะทุกๆ ชีวิต มีอะไรให้เราต้องเจอ ทั้งเราทั้งนายนะ
วันเวลาผ่านเลย คำว่าเพื่อนไม่เคยผ่านไป เข้าใจไหม

(เมื่อมือจับมือ) แม้ว่านานแค่ไหนก็ไม่เคยทิ้ง
(เมื่อเรากอดคอ) เพราะว่าเราเป็นเพื่อนจริงใช่ไหม
(เมื่อมือจับมือ) ขออยู่เป็นของขวัญเนื่องในวันแพ้
(เมื่อเรากอดคอ) เพราะว่านายคือเพื่อนแท้...เพื่อนตาย
เพราะทุกๆ ชีวิต มีอะไรให้เราต้องเจอ ทั้งเราทั้งนายนะ
วันเวลาผ่านเลย คำว่าเพื่อนไม่เคยผ่านไป เข้าใจไหม

(เมื่อมือจับมือ) แม้ว่านานแค่ไหนก็ไม่เคยทิ้ง
(เมื่อเรากอดคอ) เพราะว่าเราเป็นเพื่อนจริงใช่ไหม
(เมื่อมือจับมือ) ขออยู่เป็นของขวัญเนื่องในวันแพ้
(เมื่อเรากอดคอ) เพราะว่านายคือเพื่อนแท้...เพื่อนตาย
เพราะทุกๆ ชีวิต มีอะไรให้เราต้องเจอ ทั้งเราทั้งนายนะ
วันเวลาผ่านเลย คำว่าเพื่อนไม่เคยผ่านไป เข้าใจไหม",d2b
แค่เพื่อนเก่า,/music/thailyric/1647,"คงไม่รำคาญหรอกใช่ไหม 
ฉันโทรกวนใจรึเปล่า 
ไม่ได้ทำไมหรอกมันเหงา 
คิดถึงเพื่อนเก่าขึ้นมา
ตั้งแต่เลิกกันไป ก็ไม่ได้โทรมาหา 
ไม่กล้าโทรเดี๋ยวเธอเคืองกับเขา

คงไม่มีใครบอกเธอมั้ง 
ฉันยังอ้างว้างทุกวัน 
ยังไม่มีใครหรอกอย่างฉัน 
คนไหนเขาอยากจะเอา
ไม่ได้พบโชคดี อย่างกับที่เธอมีเขา
ก็เรื่อยเปื่อยเหมือนอย่างเก่าและฉัน

ฉันไม่รู้ว่าเธออึดอัดไหม 
ก็แค่หวังว่าเพื่อนสักคนจะเต็มใจรับฟัง

ไม่รู้ทำไมเหมือนกัน 
ยังฝันถึงเธอทุกคืน 
ฝันถึงแฟนคนอื่นตลกดีไหม
บางวันนั่งดูรูปเรา 
คิดเรื่องเก่าๆแล้วร้องไห้ 
เธอคงไม่เข้าใจ 
ที่โทรมาไม่มีอะไรแค่เล่าให้ฟัง

คงไม่มีใครบอกเธอมั้ง 
ฉันยังอ้างว้างทุกวัน 
ยังไม่มีใครหรอกอย่างฉัน 
คนไหนเขาอยากจะเอา
ไม่ได้พบโชคดี อย่างกับที่เธอมีเขา 
ก็เรื่อยเปื่อยเหมือนอย่างเก่าและฉัน

ฉันไม่รู้ว่าเธออึดอัดไหม 
ก็แค่หวังว่าเพื่อนสักคนจะเต็มใจรับฟัง

ไม่รู้ทำไมเหมือนกัน 
ยังฝันถึงเธอทุกคืน 
ฝันถึงแฟนคนอื่นตลกดีไหม
บางวันนั่งดูรูปเรา 
คิดเรื่องเก่าๆแล้วร้องไห้ 
เธอคงไม่เข้าใจ 
ที่โทรมาไม่มีอะไรแค่เล่าให้ฟัง

ไม่รู้ทำไมเหมือนกัน 
ยังฝันถึงเธอทุกคืน 
ฝันถึงแฟนคนอื่นตลกดีไหม
บางวันนั่งดูรูปเรา 
คิดเรื่องเก่าๆแล้วร้องไห้ 
เธอคงไม่เข้าใจ 
ที่โทรมาไม่มีอะไรแค่เล่าให้ฟัง

ก็อยากให้เธอเข้าใจ 
ที่โทรมาไม่มีอะไร แค่เล่าให้ฟัง",d2b
