song_name,href,lyric,artist
คืนนี้มีสักคนไหมที่ไม่เมา,/music/thailyric/16456,"คืนนี้มีสักคนไหมที่ไม่เมา
และไม่กินเหล้า ในผับบาร์
คืนนี้มีสักคนไหม ที่ต้องเมา
เพราะว่าแฟนเก่าบอกลา

เที่ยงคืนยังยืนโซเซ
ในค่ำในคืนหว่าเหว่เมฆหมอกหนา
ค่ำคืนที่ผมโดนเท มันเหงา
จนผมต้องนั่งเมา อย่างหมา

ไม่ได้เจอหน้าเลยตั้งแต่เธอทิ้งไป
ไม่ได้คบไม่ได้คุยกับใครเลย
ไม่ได้ทำเพลงมา เพื่อให้คุณเมตตา
ไม่เรียกร้องให้กลับมาเป็นเหมือนเคย

มีมอเตอร์ไซค์วิ่งผ่านทุ่งนา
รู้สึกน้อยใจ ในโชคชะตา
อยากโดดน้ำตาย แต่กลัวขายหน้า
รู้สึกเหมือนควาย อยู่โดยไร้นา

ไม่กลัวมึงแล้วความตาย
จนกูต้องยอมเป็นควาย
มันด่ากูว่าไอ้ควาย
ยังดีกว่าหักหลังกู

ไม่ได้เมาอย่างนี้เพื่อให้เธอกลับมา
ไม่ได้เมาอย่างหมาเพื่อให้มีเธออยู่

คืนนี้มีสักคนไหมที่ไม่เมา
และไม่กินเหล้า ในผับบาร์
คืนนี้มีสักคนไหม ที่ต้องเมา
เพราะว่าแฟนเก่าบอกลา

เที่ยงคืนยังยืนโซเซ
ในค่ำในคืนหว่าเหว่เมฆหมอกหนา
ค่ำคืนที่ผมโดนเท มันเหงา
จนผมต้องนั่งเมา อย่างหมา

ไม่ได้เจอหน้าเลยตั้งแต่เธอทิ้งไป
ไม่ได้คบไม่ได้คุยกับใครเลย
ไม่ได้ทำเพลงมาเพื่อให้คุณเมตตา
ไม่เรียกร้องให้กลับมาเป็นเหมือนเคย

ไม่ได้อยากเห็นเขาอยู่กับใคร ที่ไม่ใช่เรา
ได้เป็นแค่เงาที่แม้ใกล้ชิด แค่นี้เขา ก็ยังไม่เอา
ขอบคุณที่อยู่ด้วยกัน จนทำให้รู้จักกับความรัก
ขอบคุณที่บอกกันตรงๆ จนทำหัวใจกูเจ็บนัก

เหมือนอยู่ในโลกที่หมุน
ทุกวันอย่างไร้ความหมาย
กูอยู่คนเดียวไม่ได้ ทั้งที่เมื่อก่อนกูอยู่ได้
กูจะกระดกแก้วนี้ให้หมด
ยกชดจนเมาสลบก่อนภาพเธอหายไป
ชูนิ้วกลางขึ้นมาถ้าพึ่งเคยถูกทิ้ง
ให้กับพวกผู้หญิงที่ทิ้งไป

ไม่ได้เมาอย่างนี้เพื่อให้เธอกลับมา
ไม่ได้เมาอย่างหมาเพื่อให้มีเธออยู่

คืนนี้มีสักคนไหมที่ไม่เมา
และไม่กินเหล้า ในผับบาร์
คืนนี้มีสักคนไหม ที่ต้องเมา
เพราะว่าแฟนเก่าบอกลา

เที่ยงคืนยังยืนโซเซ
ในค่ำในคืนหว่าเหว่เมฆหมอกหนา
ค่ำคืนที่ผมโดนเท มันเหงา
จนผมต้องนั่งเมา อย่างหมา

ไม่ได้เจอหน้าเลยตั้งแต่เธอทิ้งไป
ไม่ได้คบไม่ได้คุยกับใครเลย
ไม่ได้ทำเพลงมาเพื่อให้คุณเมตตา
ไม่เรียกร้องให้กลับมาเป็นเหมือนเคย

ไม่ได้เมาอย่างนี้เพื่อให้เธอกลับมา
ไม่ได้เมาอย่างหมาเพื่อให้มีเธออยู่",dek_liang_kwai
ทักษิณ (Tony Woodsome),/music/thailyric/21744,"Oh โห้ พี่ทักษิณ จงกลับมา กลับมาไม่ว่าอยู่แห่งไหน
Oh โห้ พี่ทักษิณ จงกลับมา กลับมาเป็นขวัญใจคนไทย
Oh โห้ พี่ทักษิณ จงกลับมา กลับมาหน่อยกลับมาหน่อยได้ไหม
Oh โห้ พี่ทักษิณ กลับเหอะ ยังอยากเจอไม่ว่าเธออยู่ไหน

มันคงจะดีถ้าน้ำสะอาดไหลมาจากก็อก
มันคงจะดีถ้าผลการเรียนไม่ไหลลงมาจาก Top
มันคงจะดีถ้ารถไฟฟรีมีทั่วประเทศไทย
มันคงจะดีถ้าผู้ใหญ่ไม่ไล่เด็กออกจากประเทศไป

มันคงจะดีถ้ามี Sex แล้วไม่ต้องไปเตะบอล
ถ้าโจนขึ้นบ้านแค่ 5 นาทีตำรวจก็มา
มันคงจะดีถ้าใกล้จะตายแล้วมีเตียงให้นอน
เพราะเสียงของประชาชนก็สำคัญไม่แพ้ดารา

กูอยากจะให้เด็กไทยได้เรียนในสิ่งที่มันได้ใช้จริง
และกูก็อยากให้ป้าข้างบ้านมีเงินหมื่นต่อเดือนเอาไว้กิน
และอยากให้คนที่ออกมาแสดงออกไม่โดนจับ
เพราะคำว่าไทย มันแปลว่าอิสระ หรือมึงว่าไม่จริง

Oh โห้ พี่ทักษิณ จงกลับมา กลับมาไม่ว่าอยู่แห่งไหน
Oh โห้ พี่ทักษิณ จงกลับมา กลับมาเป็นขวัญใจคนไทย
Oh โห้ พี่ทักษิณ จงกลับมา กลับมาหน่อยกลับมาหน่อยได้ไหม
Oh โห้ พี่ทักษิณ กลับเหอะ ยังอยากเจอไม่ว่าเธออยู่ไหน

(แต่ก็ มาเลือกตั้งกันใหม่นะพี่)

Oh โห้ พี่ทักษิณ จงกลับมา กลับมาไม่ว่าอยู่แห่งไหน
Oh โห้ พี่ทักษิณ จงกลับมา กลับมาเป็นขวัญใจคนไทย
Oh โห้ พี่ทักษิณ จงกลับมา กลับมาหน่อยกลับมาหน่อยได้ไหม
Oh โห้ พี่ทักษิณ กลับเหอะ ยังอยากเจอไม่ว่าเธออยู่ไหน

Oh โห้ พี่ทักษิณ
Oh โห้ พี่ทักษิณ
Oh โห้ พี่ทักษิณ
ทะ ทะ ทะ ทะ ทักษิณ

(แต่ก็ มาเลือกตั้งกันใหม่นะพี่)",dek_liang_kwai
นม,/music/thailyric/19139,"พี่เคยมองสาวที่นม ที่หน้าตา
แต่พอได้เจอกับน้อง ก็บอกตรงๆ ว่าเข้าตา
เคยหลงไปมึนไปเมา กับเหล้ายา
แต่พอได้คบกับน้อง ก็เหมือนนางฟ้าบินเข้ามา

เธอเป็นคนที่มีสเน่ห์ ฉันเป็นคนที่มันขี้เหร่
เธอก็ยังจะอยู่ ทั้งที่ฉันไม่เคยจะเปย์
บริสุทธิ์ เธอเป็นคนที่บริสุทธิ์ ใจเธอกว้างกว่าบริษัท
เพลงที่เขียนให้เธอไม่พอจะอัด

ตอนเธอหลับ ก่อนจะกลับ
เธอเป็นคนที่ขอจะจัด
เอาไม่อยู่ เธอไม่เคยหยุด
เธอเป็นแฟนที่ดีที่สุดเลย

พี่เคยมองสาวที่นม ที่หน้าตา
แต่พอได้เจอกับน้อง ก็บอกตรงๆ ว่าเข้าตา
เคยหลงไปมึนไปเมา กับเหล้ายา
แต่พอได้คบกับน้อง ก็เหมือนนางฟ้าบินเข้ามา

รู้ว่าเธอไม่หยุดโต สักเราคงต้องห่างไกลกัน
แม้จะมีดีกว่าหนูอีกเป็นพันๆ
แต่ขอให้รู้ว่าพี่จะมอง ด้วยสายตาแบบนี้กับหนูเท่านั้นน่ะ

Call ได้ไหม Call ได้ไหม Call ได้ Call ได้ไหม
Call ได้ไหม Call ได้ไหม Call ได้ Call ได้ไหม
Call ได้ไหม Call ได้ไหม Call ได้ Call ได้ไหม
ถ้าคืนนี้ไม่ได้คอล แล้วหนูจะนอนหลับไหม

พี่เคยมองสาวที่นม ที่หน้าตา
แต่พอได้เจอกับน้อง ก็บอกตรงๆ ว่าเข้าตา
เคยหลงไปมึนไปเมา กับเหล้ายา
แต่พอได้คบกับน้อง ก็เหมือนนางฟ้าบินเข้ามา

ขอบคุณพ่อแม่น้องที่ทำให้น้องได้เกิดมา
เป็นเพื่อนเป็นพี่เป็นน้องเป็นแฟนที่ดีตลอดมา
เป็นหูเป็นตาเป็นหมาเป็นแมวเป็นหมอเป็นหลอดยา
เป็นตัวตัวเองไม่ Fake เป็นคนๆ เดิมไม่หลอกตา

จะดูแลเธอในเวลาที่เธอนั้นไม่สบาย
เพราะวันที่ฉันอ่อนแอ จะตาย เธอไม่เคยจะอาย
เราผ่านกันมาตั้งเยอะ เราก็ยังไม่ตาย
จะทำให้ลูกเราเป็นคุณหนู ส่วน You นั้นเป็นคุณนาย

พี่เคยมองสาวที่นม ที่หน้าตา
แต่พอได้เจอกับน้อง ก็บอกตรงๆ ว่าเข้าตา
เคยหลงไปมึนไปเมา กับเหล้ายา
แต่พอได้คบกับน้อง ก็เหมือนนางฟ้าบินเข้ามา",dek_liang_kwai
นอนนอนนอน,/music/thailyric/15471,"นอนเสียเถิดน้องนอน เจ้าจะอ้อนเอียงอาย
นอนเสียเถิดน้องนอน พี่จะนอนแนบกาย
นอนเสียเถิดน้องนอน พี่ไม่หนีแหนงหน่าย
นอนเสียเถิดน้องนอน พี่อยากนอนแทบตาย

เจอหน้าเธอในวันที่เธอนั้นเริ่มจะเมา
นอนด้วยกันผมไม่ยอมเธอยังจะเอา
มองหน้าเธอจูบเธอละเลงเบาๆ
นอนฟังเพลงครื้นเครงด้วยเพลงเก่าๆ

เราพบกันคืนนั้นที่สารคาม
นอนข้ามวันจากวันจันทร์ถึงวันอังคาร
นอนเสียงดังเขาได้ฟังกันทั้งอาคาร
แต่ว่าพอข้ามวันเธอกับฉันก็คนละทาง

นอนเสียเถิดน้องนอน เจ้าจะอ้อนเอียงอาย
นอนเสียเถิดน้องนอน พี่จะนอนแนบกาย
นอนเสียเถิดน้องนอน พี่ไม่หนีแหนงหน่าย
นอนเสียเถิดน้องนอน พี่อยากนอนแทบตาย

คุณสงสัยว่าทำไมผมไม่ค่อยดื่ม
ผมรู้ดีว่าคงต้องไปเมื่อตอนคุณตื่น
คุณสนใจเพราะว่าผมไม่เหมือนคนอื่น
ยังไม่เคยลืมหน้าคุณได้เลยสักคืน

มองท้องนาแล้วพี่ไม่มองสาวใด
แหละถึงจะแค่ชั่วคราวก็ไม่ได้มีร่ำไป
ถึงน้องเมาแต่ไม่ต้องการล่วงเกิน
แค่อยากจะเดินร่วมทาง กับคนอย่างเธอเรื่อยไป

เธอจ๋าเธอ เธอคงกำลังนอนหลับใหล
เธอฝันถึงใคร ฝันถึงฉันเปล่าเธอ

นอนเสียเถิดน้องนอน เจ้าจะอ้อนเอียงอาย
นอนเสียเถิดน้องนอน พี่จะนอนแนบกาย
นอนเสียเถิดน้องนอน พี่ไม่หนีแหนงหน่าย
นอนเสียเถิดน้องนอน พี่อยากนอนแทบตาย",dek_liang_kwai
แบก,/music/thailyric/17985,"แบกกระเป๋าเข้าเมืองมานานเกินพอ
คิดถึงหน้าพ่อและแม่ที่อยู่บ้านนอก
I know you were proud of me
แต่ฉันก็ยังคิดถึงทุกที
ถึงผมได้ออกทีวี แต่เงินติดตัวไม่มี

คิดถึงหมาแมวที่เคยเล่นด้วยกัน
คิดถึงสายธารที่เคยนั่งมองดู
คิดถึงปลาทูวางเอาไว้ในจาน
คิดถึงวันวานที่มันยังไม่ลืมเลือน
คิดถึงชุดนักเรียนตอนที่โดนครูตี
คิดถึงครูจังในวันที่ผมได้ดี
สิ่งที่กระผมบรรเลง
มันมาจากกลอนที่ครูสอนให้เขียน
เอามาผสมเป็นเพลง

ยังคงคิดถึงบ้านเรา
ยังคิดถึงเหมือนเก่า
แม้ว่าเราไม่ได้เจอกันมาตั้งเนิ่นนาน
ยังคิดถึงเหมือนวันก่อน
ยืนทะเลาะที่หน้าต่าง
เธอเคยด่าฉัน เธอเคยกอดฉัน
แล้วสุดท้ายก็มาจูบที่หน้าผาก
อยากกลับไปนอนที่บ้านนา
แต่ก็ทำได้เพียงจินตนาการ
กว่าจะมีเงินพอ เอาไปกราบตีนพ่อ
มันก็คงกินเวลานาน

แบกกระเป๋าเข้าเมืองมานานเกินพอ
คิดถึงหน้าพ่อและแม่ที่อยู่บ้านนอก
I know you were proud of me
แต่ฉันก็ยังคิดถึงทุกที
ถึงผมได้ออกทีวี แต่เงินติดตัวไม่มี

แบกกระเป๋าเข้าเมืองมานานเกินพอ
คิดถึงหน้าพ่อและแม่ที่อยู่บ้านนอก
I know you were proud of me
แต่ฉันก็ยังคิดถึงทุกที
ถึงผมได้ออกทีวี แต่เงินติดตัวไม่มี

(มันยังแบกกระเป๋า)
(มันทั้งเหนื่อยทั้งหนาว)
(มันยังปวดยังร้าว)

(แบกกระเป๋า มันยังแบกกระเป๋า)
(มันทั้งเหนื่อยทั้งเหงา)
(มันยังปวดยังร้าว)

แบกกระเป๋าเข้าเมืองมานานเกินพอ
คิดถึงหน้าพ่อและแม่ที่อยู่บ้านนอก
I know you were proud of me
แต่ฉันก็ยังคิดถึงทุกที
ถึงผมได้ออกทีวี แต่เงินติดตัวไม่มี

(แบก แบก)",dek_liang_kwai
เมา,/music/thailyric/21851,"เมา เมากูเมาอย่างงี้กูคิดถึงมึงได้หรือเปล่า
เมา เมากูโคตรเมา กูคิดถึงมึงได้หรือเปล่า
คิดถึงตำรวจตอนนี้ มันคงไม่มีกูไม่ได้ข่าว
คิดถึงมึงแทบตายไอ้ควายกูป็นได้แค่แฟนเก่า

เมา เมากูเมาอย่างงี้กูคิดถึงมึงได้หรือเปล่า
เมา เมากูโคตรเมา กูคิดถึงมึงได้หรือเปล่า
คิดถึงตำรวจตอนนี้ มันคงไม่มีกูไม่ได้ข่าว
คิดถึงมึงแทบตายไอ้ควายมึงเป็นได้แค่แฟนเก่า

ถึงมึงเป็นแฟนคนอื่นแต่มึงก็ยังโคตรน่ารัก
กูโคตรอยากคุยกับมึงแต่กูก็ยังไม่กล้าทัก
มึงเดินมากับตำรวจกูคงต้องหนีไปก่อนนะ
เพราะกูขโมยหัวใจของมึงมาหมดละ

มึงขโมยหัวใจแต่กูขโมยบ้องมึงมา
กูไม่รู้ว่าบ้องอะไรกูนึกในใจบ้องกัญชา
มันคงจะพากูลอยแต่มึงทำได้แค่ภาวนา
ให้กูเอาบ้องมึงไปคืนแต่มึงต้องคืนหัวใจกูมา

เมา เมากูเมาอย่างงี้กูคิดถึงมึงได้หรือเปล่า
เมา เมากูโคตรเมา กูคิดถึงมึงได้หรือเปล่า
คิดถึงตำรวจตอนนี้ มันคงไม่มีกูไม่ได้ข่าว
คิดถึงมึงแทบตายไอ้ควายกูป็นได้แค่แฟนเก่า

เมา เมากูเมาอย่างงี้กูคิดถึงมึงได้หรือเปล่า
เมา เมากูโคตรเมา กูคิดถึงมึงได้หรือเปล่า
คิดถึงตำรวจตอนนี้ มันคงไม่มีกูไม่ได้ข่าว
คิดถึงมึงแทบตายไอ้ควายมึงเป็นได้แค่แฟนเก่า

กูโคตรเมาเลยไอ้สาด

รำคาญตัวเองชิบหาย เสือกหล่อแต่ไม่มีตังค์
อยากเกิดมาเป็นเจ้าชาย กูอยากได้ไม้บ้องพันลำ
อยากจะเอาเงินล้านไปฟาดหน้าป้าข้างบ้าน
วันๆ เสือกแต่เรื่องกูแต่ลูกตัวเองไม่ดูมั่ง

หมอกจางๆ กูพ่นควันอย่าง Cool
เรื่องของกูไปหนักหัวใครก็ไม่รู้
หนักบนหัวมึงแต่มันเป็นเรื่องของกู
กูไม่อยากจะพูดยาวเลยว่ะไอ้หน้าหลี่หู

เมากูเมาอย่างงี้กูคิดถึงมึงได้ไหม เมากูโคตรเมาเลยว่ะ

เมา เมากูเมาอย่างงี้กูคิดถึงมึงได้หรือเปล่า
เมา เมากูโคตรเมา กูคิดถึงมึงได้หรือเปล่า
คิดถึงตำรวจตอนนี้ มันคงไม่มีกูไม่ได้ข่าว
คิดถึงมึงแทบตายไอ้ควายมึงเป็นได้แค่แฟนเก่า

เมา เมากูเมาอย่างงี้กูคิดถึงมึงได้หรือเปล่า
เมา เมากูโคตรเมา กูคิดถึงมึงได้หรือเปล่า
คิดถึงตำรวจตอนนี้ มันคงไม่มีกูไม่ได้ข่าว
คิดถึงมึงแทบตายไอ้ควายกูป็นได้แค่แฟนเก่า

กูโคตรเมาเลยไอ้สาด

โคตคิดถึงเลย

เมา เมา เมา เมา เมา",dek_liang_kwai
ไม่อยากเมา แค่อยากลืม,/music/thailyric/14729,"เธอนั้นก็คงเจ็บช้ำ
แล้วเผอิญว่าเธอเดิน
เข้ามาเจอคนอย่างฉัน
เราก็แค่หันเข้ามาคุย

เพราะผู้ชาย
ไม่ได้เหมือนกันทุกคน
อย่าไปคิดกังวล
อย่างได้กลัวคนอย่างฉัน
เธออย่าไปคิดเรื่องเดิม
ขอให้ลืม อย่าไปฝืน
เพราะว่าเขาจากไป
แล้วไม่คืน แล้วไม่เจอ
เขาจะกลับมาหาเธอ
คงได้เจอแค่ในฝัน

เธอนั้นเป็นคนสวย
เธอนั้นมีเสน่ห์
เธอน่ะเป็นผู้หญิงเท่
ดูแล้วเหมือนผู้หญิงร้าย
ฉันนั้นเป็นผู้ชาย
คนง่ายๆ ห่วยๆ
แต่ฉันก็อยากจะอยู่ด้วย
ถ้าเธอไม่เหลือใคร

เธอนั้นคงเจ็บช้ำถึงได้เข้ามาดื่ม
เธอนั้นคงจะอยากลืม
เธอนั้นคงจะอยากเมา
ถ้าเขานั้นดีอย่าลืม แต่ถ้าเขามันเลว
ทิ้งให้ตัวเธอแหลกเหลว
เธอควรจะลืมเขา
นานแค่ไม่กี่ปีมันก็คงบรรเทา
นานแค่ไหนเมื่อเธอเหงา
จะอยู่เป็นเพื่อนเธอ

เธอบังคับให้เขามารักไม่ได้
สุดท้ายเขาไปด้วยกัน
เธอคงต้องตาย

ยามเย็นเป็นเวลาของแสงไฟ
ที่เขาเปิดไว้เต็มถนน
ไว้ให้คนเสียใจ
สุราเมรัยไม่ใช่ของดี
แต่ก็ไม่ใช่ของฟรี
เมาจะทำไม เราก็แค่ร่ำร้องไป
ตามทำนองของหัวใจ
เดินกลางถนน
มองไปไม่มีคน
น้ำตามันก็ไหล
ชีวิตที่ไม่มีฉัน
เธอจะอยู่ต่อไม่ไหว
แล้วทำไม เธอยังไม่ตาย
แล้วที่บอก คืออะไร
แล้วที่บอก คืออะไร

เธอนั้นคงเจ็บช้ำ
แต่อยากให้เธอเลิกดื่ม
เธอนั้นคงจะอยากลืม
เธอนั้นคงจะอยากเมา
ถ้าเขานั้นดีอย่าลืม แต่ถ้าเขามันเลว
ทิ้งให้ตัวเธอแหลกเหลว
เธอควรจะลืมเขา
นานแค่ไม่กี่ปีมันก็คงบรรเทา
นานแค่ไหนเมื่อเธอเหงา
จะอยู่เป็นเพื่อนเธอ

เธอบังคับให้เขามารักไม่ได้
สุดท้ายเขาไปด้วยกัน
เธอคงต้องตาย
แต่เดินอยู่กลางถนน
ผู้คนมากมาย
นอนร้องไห้เสียใจ
ก็ไม่ได้อะไร

เธอบังคับให้เขามารักไม่ได้
สุดท้ายเขาไปด้วยกัน
เธอคงต้องตาย

ฉันบังคับให้เธอมารักไม่ได้
สุดท้ายเธอไปกับเขา
ฉันคงต้องตาย",dek_liang_kwai
รักแล้วจ้า,/music/thailyric/17694,"เธอ เธอไม่เคยจะรู้บ้างเลย
ว่าคนที่รักเธอในวันเก่า แอบมองเธออยู่ทุกวัน
เธอ เธอไม่เคยจะรู้บ้างเลย
ว่าคนที่รักเธอในวันเก่า แอบมองเธออยู่ทุกวัน

การลืมตาตื่นมาแล้วได้พบเธอ
เป็นเรื่องที่ดีที่สุดของฉันคนนี้ที่พี่ได้พบเจอ
ถึงทำกับเธอไม่ค่อยจะดีแต่ บี๋ ก็ยังเหมือนเดิม
ไอ้คนที่ดีกว่านี้ก็มี แต่ก็ยังไม่มีสักคนจะดีเหมือนเธอ

เอาแต่ใจ เห็นแก่ตัว  เรื่องดีดี  เอาแต่กลัว
ไม่เคยรู้ เลยสักวัน ว่าน้ำตา ที่รินไหล มาจากกู
ไม่เคยดูแล เลยสักวัน เธอต้องช้ำ
สักกี่หน ตั้งแต่คบคนอย่างฉัน

ไม่ได้เกิดมา มีดีอะไร ฉันก็เป็นแค่คนธรรมดา
ที่ไม่เคยรู้เลย ว่าไอ้วันเวลาที่มี เนี่ยมันจะหมดวันไหน
ฉันไม่เคยต้องการจะเป็นดารา
ก็แค่อยากจะเป็น ผู้ชายที่ดี กับเขาซะที
บางทีอาจเผลอทำตัวไม่ดี ก็เตือนสติฉันที

อาจเมา อาจหลง อาจล้ม อยู่ตรงที่เก่า
อาจเผลอ อาจลืม  But I know it now
และผม ไม่อยาก จะมีผู้ใด อยากจะมีแค่เรา
ไม่หล่อ ไม่รวย แต่ไม่ปล่อยให้เธอต้องเหงา

เธอ เธอไม่เคยจะรู้บ้างเลย
ว่าคนที่รักเธอในวันเก่า แอบมองเธออยู่ทุกวัน
เธอ เธอไม่เคยจะรู้บ้างเลย
ว่าคนที่รักเธอในวันเก่า แอบมองเธออยู่ทุกวัน

ฉันยังคงแอบมองอยู่ตรงนี้
ฉันก็ยังแอบมองเธออยู่ตรงนี้
ยังคงแอบมองอยู่ตรงนี้
ฉันก็ยังแอบมองเธออยู่ตรงนี้

I want you to dance with me
I want you to set me free
I want you to dance with me
Dance with me

เธอ เธอไม่เคยจะรู้บ้างเลย
ว่าคนที่รักเธอในวันเก่า แอบมองเธออยู่ทุกวัน
เธอ เธอไม่เคยจะรู้บ้างเลย
ว่าคนที่รักเธอในวันเก่า แอบมองเธออยู่ทุกวัน",dek_liang_kwai
สมฤดี,/music/thailyric/16872,"ในค่ำคืนที่เธอนอนฝันดี
ยังมีอีกคนที่ยังไม่ได้นอน
เดินถือไมค์บนเวที
เพราะนี่คือความฝันที่ฉันเฝ้าตามหา

คนเข้ามาไม่มีสักคนรักจริง
มีเพียงแต่ลวงลับหลังก็บอกลา
หญิงหรือชายไม่มีหรอกความสำคัญ
หวังเพียงแค่ความสัมพันธ์แค่ชั่วคราว

เธอก็เป็นแค่คนๆ หนึ่งที่เดินเข้ามา
ใช้หน้าตาซ่อนความตระหนี่ให้มีราคา
บอกกับฉันว่าเธอจะนอน แต่ก็ยังต้องเห็นเธอออน
ฉันต้องเป็นพระเอกละครโดยไม่เจตนา

เวทนาที่ต้องเห็นเธอมาเดินกับเขา
ในคืนที่ฉันทำงาน ทนดักดานตั้งนานก็คิดว่าเธอจะดี
หลงคบเป็นปี พอได้แล้วคนดี ขอให้สมฤดี

ในค่ำคืนที่เธอนอนฝันดี
ยังมีอีกคนที่ยังไม่ได้นอน
เดินถือไมค์บนเวที
เพราะนี่คือความฝันที่ฉันเฝ้าตามหา

คนเข้ามาไม่มีสักคนรักจริง
มีเพียงแต่ลวงลับหลังก็บอกลา
หญิงหรือชายไม่มีหรอกความสำคัญ
หวังเพียงแค่ความสัมพันธ์แค่ชั่วคราว

ถึงแม้จะ คิด คิด คิดถึงเธอสักเท่าไร
ถึงแม้ในใจมีแต่เหงา
แต่ฉันคงไม่คิดหันหลังไป
เพราะว่าทั้งใจคงจะยังมีแต่เขา
อย่าคิดว่าเธอเป็นของดี
ฉันไม่ได้เขียนเพลงนี้ให้เธอ
I'll write this song cause I just wanna sing
เพลงนี้ไม่ดัง เธอก็คงไม่ได้ยิน

เธอก็เป็นแค่คนๆ หนึ่งที่เดินเข้ามา
ใช้หน้าตาซ่อนความตระหนี่ให้มีราคา
บอกกับฉันว่าเธอจะนอน แต่ก็ยังต้องเห็นเธอออน
ฉันต้องเป็นพระเอกละครโดยไม่เจตนา

เวทนาที่ต้องเห็นเธอมาเดินกับเขา
ในคืนที่ฉันทำงาน ทนดักดานตั้งนานก็คิดว่าเธอจะดี
หลงคบเป็นปี พอได้แล้วคนดี ขอให้สมฤดี",dek_liang_kwai
หนาวใจออโต้จูน,/music/thailyric/22900,"คิดถึงเธออยู่เป็นประจำ เป็นสิ่งที่เธอไม่เคยจะทำ
เดินผ่านไปเลยไม่เคยจะหันมา เป็นเรื่องราวที่เธอไม่ฝัน
เป็นเพื่อนคนเดิมไม่เคยเปลี่ยนผัน
แต่มันเจ็บที่ต้องมาฟังเรื่องเธอกับมัน
ไม่เคยได้กอดนางฟ้าทั้งที่อยู่บนสวรรค์
อยู่ๆ ก็มีน้ำตามันไหลลงมาที่หน้าของฉัน

อยากกอดเธอจังแต่ไม่เคยได้สัมผัส
มีโอกาสได้กันแต่ไม่ทำเพราะคำสัตย์
เธอดูดีกว่าทุกคนในจังหวัด
ความเงียบเหงามันทำให้กลางคืนแม่งหนาว Sus

หนาวกลางคืนมันหนาว
ท้องฟ้ามีดาว ดวงดาวคงสุกสกาวได้เพียงแค่บางคืน
ดวงดาวดวงนั้นช่างดูสดใส แล้วเธอเล่าอยู่ที่ไหน
ดวงดาวของฉันอยู่ใกล้แต่เธอไม่เคยมอง

คงลืมไม่ลงผู้หญิงอย่างคุณ
ที่เคยเข้ามาทัก ที่เคยรัก ที่เคยกอด
คนที่บอกรักทั้งครั้งเมื่อก่อนนอน
คนที่เคยบอกว่าจะไม่ยอมเลิกกัน

คงลืมไม่ลงผู้ชายอย่างเธอ
ที่เคยเดินจับมือด้วยกันเมื่อวันก่อน
คนที่อยากเจอจนต้องร้องไห้ก่อนนอน
คิดถึงเมื่อก่อนตอนที่อยู่ด้วยกัน

อยากจะนอนกับเธอจนเช้าไปเลย
แต่เธอไม่เคยจะเห็นค่าเลย
ว่าคนที่อยู่ทางนี้
คิดถึงแต่เธอแต่ทำได้เพียงแต่เพ้อและฝันไป

หนาวกลางคืนมันหนาว
ท้องฟ้ามีดาว ดวงดาวคงสุกสกาวได้เพียงแค่บางคืน
ดวงดาวดวงนั้นช่างดูสดใส แล้วเธอเล่าอยู่ที่ไหน
ดวงดาวของฉันอยู่ใกล้แต่เธอไม่เคยมอง

หนาวกลางคืนมันหนาว
ท้องฟ้ามีดาว ดวงดาวคงสุกสกาวได้เพียงแค่บางคืน
ดวงดาวดวงนั้นช่างดูสดใส แล้วเธอเล่าอยู่ที่ไหน
ดวงดาวของฉันอยู่ใกล้แต่เธอไม่เคยมอง

หนาวกลางคืนมันหนาว
ท้องฟ้ามีดาว ดวงดาวคงสุกสกาวได้เพียงแค่บางคืน
ดวงดาวดวงนั้นช่างดูสดใส แล้วเธอเล่าอยู่ที่ไหน
ดวงดาวของฉันอยู่ใกล้แต่เธอไม่เคยมอง

หนาวกลางคืนมันหนาว
ท้องฟ้ามีดาว ดวงดาวคงสุกสกาวได้เพียงแค่บางคืน
ดวงดาวดวงนั้นช่างดูสดใส แล้วเธอเล่าอยู่ที่ไหน
ดวงดาวของฉันอยู่ใกล้แต่เธอไม่เคยมอง",dek_liang_kwai
