song_name,href,lyric,artist
คู่ชีวิต,/music/thailyric/1534,"หากชีวิตต้องมีถ้อยคำว่ารัก
และใครก็อยากรู้จัก จะมีสักกี่คนที่โชคดี
รักที่ใครเฝ้าคอยตามหา
ถ้าเจอสักคนที่โชคชะตาบันดาลให้มาเป็นคู่กัน

และวันนี้ฉันมีเธอจับมือเคียงข้างกัน
ถึงชั่วนิรันทร์ ไม่มีสักวันต้องแยกทาง

เธอใช่ไหมกำหนดไว้เป็นใครคนนั้น
ที่วันนี้เราได้พบกันได้รักกัน
ช่างเป็นของขวัญที่แสนดี
เธอได้ไหม อยากจะให้เป็นคู่ชีวิต
อยากจะรักกันเนิ่นนานเรื่อยไป
โปรดอย่าพรากหัวใจให้เลิกรา

หนึ่งชีวิตอยากมีสักคนแค่นี้ จะเสียน้ำตากี่ที
ก็พร้อมยินดีให้ได้มา รักต้องการได้เจอกับรัก
ต้องการสักคนไว้รับฝาก ชีวิตจวบวันที่สิ้นใจ

และวันนี้ฉันมีเธอจับมือเคียงข้างกัน
ถึงชั่วนิรันทร์ ไม่มีสักวันต้องแยกทาง

เธอใช่ไหมกำหนดไว้เป็นใครคนนั้น
ที่วันนี้เราได้พบกันได้รักกัน
ช่างเป็นของขวัญที่แสนดี
เธอได้ไหม อยากจะให้เป็นคู่ชีวิต
อยากจะรักกันเนิ่นนานเรื่อยไป
โปรดอย่าพรากหัวใจให้เลิกรา

เธอใช่ไหมกำหนดไว้เป็นใครคนนั้น
ที่วันนี้เราได้พบกันได้รักกัน
ช่างเป็นของขวัญที่แสนดี
เธอได้ไหม อยากจะให้เป็นคู่ชีวิต
อยากจะรักกันเนิ่นนานเรื่อยไป
โปรดอย่าพรากหัวใจให้เลิกรา

เธอใช่ไหมกำหนดไว้เป็นใครคนนั้น
ที่วันนี้เราได้พบกันได้รักกัน
ช่างเป็นของขวัญที่แสนดี
เธอได้ไหม อยากจะให้เป็นคู่ชีวิต
อยากจะรักกันเนิ่นนานเรื่อยไป
โปรดอย่าพรากหัวใจให้เลิกรา",dr_fuu
ใจเหลือเหลือ,/music/thailyric/1536,"ลำพังรักเธอคนเดียว ทำให้ลำบากใจมากอยู่แล้ว
ยังมีเขาเข้ามาแข่ง เข้ามาแบ่งแย่งเธอจากฉันไป
และเหมือนจะรู้ชะตาว่าไม่มีปัญญาสู้เขาได้
และเหมือนต้องถอยทางไป และควรตัดใจ
ก่อนจะต้องนอนร้องไห้มากกว่าที่เคย

เมื่อเกมรักยังไม่จบยังไม่อยากจะนับหยดน้ำตา
ก่อนนอนฉันภาวนาให้เขามาด้วยใจไม่จริงจัง
แม้รู้ฉันไม่ดีพอ แต่จะขอบอกรักให้เธอฟัง
แม้รู้ว่าเกินกำลังที่จะแบกหวัง แต่ใจก็สั่งให้รักไป

เศษใจเหลือเหลือ ถ้าเธอยังคงเผื่อเอาไว้
ถ้าเธอยังไม่แน่ใจ เก็บไว้ให้ฉันได้รึเปล่า
ให้ฉันมีความหวังสักนิด ได้มีสิทธิ์เท่านี้ก็เอา
แม้ว่าเธอจะชอบเขา
แต่อย่าเพิ่งยอมให้เขาเอาไปหมดหัวใจ

รักสามฉันเศร้าคนเดียว ได้แต่รอขอเธอช่วยเห็นใจ
อยากไล่เขาไปไกลๆ เธอคงมองใจฉันดีกว่านี้
แค่เพียงเห็นเธอเคียงกัน ทำให้ฉันน้ำตาแทบล้นปลี่
เธอหลงเขาแล้วคนดี แต่ว่าทางนี้อย่าลืมว่ามีฉันอีกคน

เศษใจเหลือเหลือ ถ้าเธอยังคงเผื่อเอาไว้
ถ้าเธอยังไม่แน่ใจ เก็บไว้ให้ฉันได้รึเปล่า
ให้ฉันมีความหวังสักนิด ได้มีสิทธิ์เท่านี้ก็เอา
แม้ว่าเธอจะชอบเขา
แต่อย่าเพิ่งยอมให้เขาเอาไปหมดหัวใจ

ฉันไปไหนไม่รอด กว่าจะรักใครซักคนไม่ง่ายเลย
ฉันไม่กล้าลืม ไม่กล้าทิ้งรักไปเลย
เพราะรู้ว่าใจคงเจ็บมากกว่านี้

เศษใจเหลือเหลือ ถ้าเธอยังคงเผื่อเอาไว้
ถ้าเธอยังไม่แน่ใจ เก็บไว้ให้ฉันได้รึเปล่า
ให้ฉันมีความหวังสักนิด ได้มีสิทธิ์เท่านี้ก็เอา
แม้ว่าเธอจะชอบเขา
แต่อย่าเพิ่งยอมให้เขาเอาไปหมดหัวใจ

แม้ว่าเธอจะชอบเขา
แต่อย่าเพิ่งยอมให้เขาเอาไปหมดหัวใจ",dr_fuu
เธอไม่เคยเป็นแฟนเก่า,/music/thailyric/1538,"ถ้าเธอนั้นเข้าใจสายตา ก็คงเห็นว่าฉันเสียใจ
เธอก็คงเปลี่ยนคำทักทาย สบายดีใช่ไหม
ความบังเอิญจึงได้พบกัน
ข้างเธอนั้นคงเป็นเพื่อนใจเธอคนใหม่
คนที่เธอทิ้งฉันไปเลือกเขา

จับมือเขาแล้วดูมั่นใจ ไม่น่าอายเหมือนตอนมีฉัน
เห็นอย่างนั้นตัวฉันวันนี้ก็ยินดี

ต้องขอบใจที่ยังทักทาย ได้แต่ยิ้มให้เธออย่างนี้
แต่ความจริงในใจที่มี มันอยากให้เธอรู้

เธอไม่เคยเป็นแฟนเก่า เพราะฉันไม่เคยมีแฟนใหม่
จะอยากให้รู้ทำไม พูดไปเธอคงไม่อยากฟัง
เมื่อเธอเองมีคนของเธอ มีใจมีที่หวัง
แต่ว่าฉันมีเพียงหัวใจลงเอยกับความหลัง
ที่ยังรักเธอ คิดถึงเธอด้วยความเจ็บ

ผิดก็รู้ที่ยังบ้าบอ ไม่ได้รอให้เธอหวนคืน
แต่จะฝืนเปลี่ยนใจรักใครเขาทำกันอย่างไร
เมื่อชีวิตเคยเป็นของเธอ
มันก็เหมือนยังเป็นของเธอเรื่อยไป
แม้ว่าเป็นอะไรที่ใช้แล้วทิ้งก็ตาม

ต้องขอบใจที่ยังทักทาย ได้แต่ยิ้มให้เธออย่างนี้
แต่ความจริงในใจที่มี มันอยากให้เธอรู้

เธอไม่เคยเป็นแฟนเก่า เพราะฉันไม่เคยมีแฟนใหม่
จะอยากให้รู้ทำไม พูดไปเธอคงไม่อยากฟัง
เมื่อเธอเองมีคนของเธอ มีใจมีที่หวัง
แต่ว่าฉันมีเพียงหัวใจลงเอยกับความหลัง
ที่ยังรักเธอ คิดถึงเธอด้วยความเจ็บ

ไม่อยากรักเธอ ต้องคิดถึงเธอด้วยความเจ็บ",dr_fuu
แพ้คนห่างไกล,/music/thailyric/1541,"เจ็บปวดเสมอเมื่อเห็นว่าเธอห่วงใยแต่เขา
ใส่ใจทุกเรื่องราวของคนไกล
แล้วคนใกล้ตัวอย่างฉัน ที่คอยเฝ้าเอาใจ
ต้องเก็บอาการอยู่ร่ำไป
เจียมหัวใจคบไปอย่างเพื่อนเธอ

เธอคงคิดถึงแต่เขาคนไกล จึงไม่เผื่อใจให้ฉัน
เธอเอาแต่คิดถึงเขาทุกคืนวัน
ไอ้ฉันมันเลยต้องทนเหงาใจ
ถึงแม้จะอยู่ใกล้เธอแค่นี้
แต่ใจรักแท้ก็แพ้คนห่างไกล ไม่อาจชนะใจเธอ

เจ็บปวดเสมอเมื่อเห็นว่าเธอห่วงใยแต่เขา
ใส่ใจทุกเรื่องราวของคนไกล
แล้วคนใกล้ตัวอย่างฉัน ที่คอยเฝ้าเอาใจ
ต้องเก็บอาการอยู่ร่ำไป
เจียมหัวใจคบไปอย่างเพื่อนเธอ

อยากบอกกับเธอว่ารักซักคำ
ก็บอกได้เพียงแววตา
ได้ยินเธอพูดถึงเขาทุกครา
น้ำตามฉันมันตกในทุกที

เริ่มเหนื่อยกับการรักเธอทั้งใจ
แต่เหนื่อยยังไงจะขอใกล้เธออย่างนี้
ไม่รู้ทำไงดี หึงเธอ

เจ็บปวดเสมอเมื่อเห็นว่าเธอห่วงใยแต่เขา
ใส่ใจทุกเรื่องราวของคนไกล
แล้วคนใกล้ตัวอย่างฉัน ที่คอยเฝ้าเอาใจ
ต้องเก็บอาการอยู่ร่ำไป
เจียมหัวใจคบไปอย่างเพื่อนเธอ

เหน็ดเหนื่อยจากการรักเธอทั้งใจ
แต่เหนื่อยยังไงจะขอใกล้เธออย่างนี้
ดูและและหวังดี เธอ

เจ็บปวดเสมอเมื่อเห็นว่าเธอห่วงใยแต่เขา
ใส่ใจทุกเรื่องราวของคนไกล
แล้วคนใกล้ตัวอย่างฉัน ที่คอยเฝ้าเอาใจ
ต้องเก็บอาการอยู่ร่ำไป
เจียมหัวใจคบไปอย่างเพื่อนเธอ

ต้องเก็บอาการอยู่ร่ำไป เจียมหัวใจที่มันรักเธอ",dr_fuu
เมื่อไรจะรัก,/music/thailyric/1542,"คำว่ารักที่ฉันเฝ้ารอและขอเธอ
ก็เหมือนต้องรอเก้อ เมื่อเธอไม่ซึ้งใจฉัน
ฉันคงต้องยอมถอดใจ หากว่ารักมันถึงทางตัน
เป็นสัญญาณที่ฉันจะฝันเรื่อยไป
คำว่ารัก จะขอใช้มันเพื่อร่ำลา
กับคนไม่มีค่า สบตาสักครั้งได้ไหม
น้ำตาที่มันหลั่งริน อยากให้รู้ ฉันนั้นเสียใจ
ที่รอเธอไม่ไหวอดทนไม่ได้นาน

เมื่อไหร่จะรัก เธอคงไม่คิดหาคำตอบ
เมื่อเธอไม่อยากชอบ จะดื้อด้านอยู่ไปเพื่ออะไร
เมื่อไหร่จะรัก จากนี้จะไม่ถามเธอให้ลำบากหัวใจ
ขอโทษที่วุ่นวายรักเธอจนหมดหัวใจแล้วยังไม่ดีพอ

โกหกฉัน แกล้งพูดได้ไหมว่ารักกัน
ให้ฉันได้จำมันกับสิ่งที่ฉันฝันหา
ยังหวังให้เธอเห็นใจ หากเธอนั้นบังเอิญเวทนา
คนที่ไม่มีค่าให้เดินข้างกัน

เมื่อไหร่จะรัก เธอคงไม่คิดหาคำตอบ
เมื่อเธอไม่อยากชอบ จะดื้อด้านอยู่ไปเพื่ออะไร
เมื่อไหร่จะรัก จากนี้จะไม่ถามเธอให้ลำบากหัวใจ
ขอโทษที่วุ่นวายรักเธอจนหมดหัวใจแล้วยังไม่ดีพอ

เมื่อไหร่จะรัก เธอคงไม่คิดหาคำตอบ
เมื่อเธอไม่อยากชอบ จะดื้อด้านอยู่ไปเพื่ออะไร
เมื่อไหร่จะรัก จากนี้จะไม่ถามเธอให้ลำบากหัวใจ
ขอโทษที่วุ่นวายรักเธอจนหมดหัวใจแล้วยังไม่ดีพอ

เมื่อไหร่จะรัก เธอคงไม่คิดหาคำตอบ
เมื่อเธอไม่อยากชอบ จะดื้อด้านอยู่ไปเพื่ออะไร
เมื่อไหร่จะรัก จากนี้จะไม่ถามเธอให้ลำบากหัวใจ
ขอโทษที่วุ่นวายรักเธอจนหมดหัวใจแล้วยังไม่ดีพอ
ขอร้องไห้ให้มันตาย ก็เกิดมาไม่เคยรักใครมากเท่านี้เลย",dr_fuu
ไม่ใช่เทวดา,/music/thailyric/1543,"คงจะดีถ้ามีวิชา มีคาถา เสกใครให้หายไป
ใครบางคนไม่เคยเข้าใจ ว่าทรมานเท่าไหร่
กับการที่ต้องจดจำ

เธอ เธอใช้วิชาอะไร ลืมฉันไป ง่ายดาย
อยากทำได้อย่างเธอ
สุดท้าย ฉันไม่มีวิธี
ไม่อาจจะหนี เรื่องราวที่เคยผ่านมา
อยากจะลืมกลับจำ กลับทำให้ย้อนมา
ยังมีเธออยู่ในสายตา อยากให้เธอได้รู้ว่า
ฉันคงต้องยอมเธอ

(ยอมให้เธอก่อน ชั้นคงต้องยอมเธอก่อน
ฉันคงจะไม่วิงวอนให้เธอนั้นหายไป
ยอมให้เธอเป็นนางฟ้า ส่วนเทวดา
เป็นเทวดาเมื่อไหร่ จะเสกให้เธอเป็นคิงคอง)

ความเป็นจริงต้องยอมรับมัน
ที่คนอย่างฉัน มันไม่ใช่เทวดา
ยอมให้เธอได้เป็นนางฟ้า
ที่มีคาถา เสกชั้นให้หายไป

เธอ เธอใช้วิชาอะไร ลืมฉันไป ง่ายดาย
อยากทำได้อย่างเธอ
สุดท้าย ฉันไม่มีวิธี
ไม่อาจจะหนี เรื่องราวที่เคยผ่านมา
อยากจะลืมกลับจำ กลับทำให้ย้อนมา
ยังมีเธออยู่ในสายตา อยากให้เธอได้รู้ว่า
ฉันคงต้องยอมเธอ

เธอ เธอใช้วิชาอะไร ลืมฉันไป ง่ายดาย
อยากทำได้อย่างเธอ
สุดท้าย ฉันไม่มีวิธี
ไม่อาจจะหนี เรื่องราวที่เคยผ่านมา
อยากจะลืมกลับจำ กลับทำให้ย้อนมา
ยังมีเธออยู่ในสายตา อยากให้เธอได้รู้ว่า
ฉันคงต้องยอมเธอ

(ยอมให้เธอก่อน ชั้นคงต้องยอมเธอก่อน
ฉันคงจะไม่วิงวอนให้เธอนั้นหายไป
ยอมให้เธอเป็นนางฟ้า ส่วนเทวดา
เป็นเทวดาเมื่อไหร่ จะเสกให้เธอเป็นคิงคอง
เธออาจจะมองว่าเพ้อเจ้อ แต่อยากให้เธอได้รู้ว่า
พอถึงเวลาแล้วฉันจะเสกให้เธอนั้นพุงป่อง
เสกให้เธอเป็นฝาหม้อ เสกเป็นสามล้อแถวมาบุญครอง
เสกหนังควายเข้าท้องให้เธอนั้นถึงตาย)

ต้องยอมเธอที่เป็นนางฟ้า
แต่เมื่อไหร่ชั้นเป็นเทวดา แล้วเธอจะเห็นดี",dr_fuu
เลียนแบบเธอ,/music/thailyric/1544,"ฉันยอมเป็นคนผิด ที่ฉันคิดมีคนใหม่
ที่แอบปันหัวใจ รักใครอีกคน
และคิดว่าเราควรจบ รักที่เราเคยร่วมทาง
ขอบคุณทุกๆ อย่าง ฉันต้องบอกลา

ต่อว่าฉัน..สักคำ..ทำได้เลย
บอกซิว่าฉัน มันคนใจร้าย

ปากคอยบอกว่ารักเธอคนเดียว
จะมีแค่เธอในใจ
แต่แล้วก็คิดนอกใจ...เลวใช่ไหม
โกหกหลอกลวงช่างง่ายจริงๆ
ว่าฉันได้ตามสบาย เสียใจที่ต้องใจร้าย
ฉันเลียนแบบเธอ..เท่านั้นเอง

เธอซ่อนใครมานมนาน
ยอมแกล้งโง่มันเรื่อยไป
เธอก็เหมือนได้ใจ ไม่เคยสงสาร
นอนฉันนอนน้ำตาตก จนหัวใจมันเริ่มชา
จนต้องผิดคำสัญญา คบใครอีกคน

ต่อว่าฉัน..สักคำ..ทำได้เลย
บอกซิว่าฉัน มันคนใจร้าย

ปากคอยบอกว่ารักเธอคนเดียว
จะมีแค่เธอในใจ
แต่แล้วก็คิดนอกใจ เลวใช่ไหม
โกหกหลอกลวงช่างง่ายจริงๆ
ว่าฉันได้ตามสบาย เสียใจที่ต้องใจร้าย
ฉันเลียนแบบเธอ..เท่านั้นเอง

รู้ไหม ว่าฉันเคยรักเธอแค่ไหน
ทั้งชีวิตจะทุ่มเทใจ เพียงเพื่อเธอเท่านั้น
แต่วันนี้ กลับต้องมาบอกคำว่าเลิกกัน
สาบานได้เลย ฉันไม่เคยคิด..

ต่อว่าฉัน..สักคำ..ทำได้เลย
บอกซิว่าฉัน มันคนใจร้าย

ปากคอยบอกว่ารักเธอคนเดียว
จะมีแค่เธอในใจ
แต่แล้วก็คิดนอกใจ เลวใช่ไหม
โกหกหลอกลวงช่างง่ายจริงๆ
ว่าฉันได้ตามสบาย เสียใจที่ต้องใจร้าย
ฉันเลียนแบบเธอ..เท่านั้นเอง",dr_fuu
อยากเป็นคนคุ้นเคย,/music/thailyric/1545,"ได้ผ่านมาพบ ได้ผ่านมาเจอ
ได้มองดูเธอก็รู้ว่าเธอมีปัญหา
แต่ฉันก็เป็นแค่คนแปลกหน้า
แค่คนผ่านมาคงทำได้เพียงห่วงใย

อยากเข้าไปพบไปพูดคุย
อยากทำให้เธอสบายใจ
แต่เธอไม่คุ้นคงไม่วางใจ
ได้แต่เฝ้ามองดูเธอไกลๆ อย่างนี้

จะมีใครคอยถามเธอหรือเปล่ามีบ้างไหม
เธอเป็นอย่างไรมีใครเข้าใจไหมเวลานี้
กับความห่วงใยแปลกหน้าที่ตัวฉันมี
เป็นแค่ความรู้สึกดีๆ ที่ห่างไกล

อยากเห็นเธอยิ้ม ฉันคงอุ่นใจ
ไม่อยากจากไปด้วยความรู้สึกเป็นกังวล
กับเวลานี้ที่เธอสับสน
ถ้าหากฉันเป็นใครซักคน
ที่เธอคุ้นเคย...ก็คงดี

อยากเข้าไปพบไปพูดคุย
อยากทำให้เธอสบายใจ
แต่เธอไม่คุ้นคงไม่วางใจ
ได้แต่เฝ้ามองดูเธอไกลๆ อย่างนี้

จะมีใครคอยถามเธอหรือเปล่ามีบ้างไหม
เธอเป็นอย่างไรมีใครเข้าใจไหมเวลานี้
กับความห่วงใยแปลกหน้าที่ตัวฉันมี
เป็นแค่ความรู้สึกดีๆ ที่ห่างไกล

จะมีใครคอยถามเธอหรือเปล่ามีบ้างไหม
เธอเป็นอย่างไรมีใครเข้าใจไหมเวลานี้
กับความห่วงใยแปลกหน้าที่ตัวฉันมี
เป็นแค่ความรู้สึกดีๆ ที่ห่างไกล

อยากเห็นเธอยิ้ม ฉันคงอุ่นใจ
ไม่อยากจากไปด้วยความรู้สึกเป็นกังวล
กับเวลานี้ที่เธอสับสน
ถ้าหากฉันเป็นใครซักคน
ที่เธอคุ้นเคย...ก็คงดี

กับเวลานี้ที่เธอสับสน
ถ้าหากฉันเป็นใครซักคน
ที่เธอคุ้นเคย...ก็คงดี",dr_fuu
ขึ้นคาน,/music/thailyric/1533,"ลมเย็นๆ ใจชาๆ ไม่มีเธอมาอยู่ข้างกาย
เวลาเลิกร้างผ่านไปแล้วหนอ
แต่ฉันยังเฝ้ารอเธอทุกวัน

อยู่มาเดียวๆกับใจช้ำๆ
ก็เพราะตัวเองทำให้เธอจากไป
แต่มาตอนนี้รู้สึกเสียดาย
ไม่มีเธอข้างกายให้คลายเหงาใจ

นึกถึงวันเก่าๆ ที่เรายังคบกัน
อยู่ด้วยครองคู่ อยู่อย่างสุขสม
วอนให้เธอช่วยบอก
เข้ามาฟันธง บอกตรงๆ
ว่าเธอ มีใจให้กับฉัน

อยากจะขอวอนเธอให้กลับมา
ขอเวลาให้ฉันได้แก่ตัว
อยากจะขอวิงวอน นา อย่าเล่นตัว
ฉันก็กลัวว่าเธอจะขึ้นคาน

(รู้รึเปล่า) ดวงใจฉันมีแค่เธอเพียงคนเดียว
(รู้รึเปล่า) ความรักที่มอบให้มีแต่เธอ
ต่อจากนี้ทุกๆวันจะมีแค่เธอกับฉัน
เท่านั้นพอ ไม่ขออะไร

นึกถึงวันเก่าๆ ที่เรายังคบกัน
อยู่ด้วยครองคู่ อยู่อย่างสุขสม
วอนให้เธอช่วยบอก
เข้ามาฟันธง บอกตรงๆ
ว่าเธอ มีใจให้กับฉัน

อยากจะขอวอนเธอให้กลับมา
ขอเวลาให้ฉันได้แก่ตัว
อยากจะขอวิงวอน นา อย่าเล่นตัว
ฉันก็กลัวว่าเธอจะขึ้นคาน

อยากจะขอวอนเธอให้กลับมา
ขอเวลาให้ฉันได้แก่ตัว
อยากจะขอวิงวอน นา อย่าเล่นตัว
ฉันก็กลัวว่าเธอจะขึ้นคาน

(รู้รึเปล่า)ดวงใจฉันมีแค่เธอเพียงคนเดียว
(รู้รึเปล่า)ความรักที่มอบให้มีแต่เธอ
ต่อจากนี้ทุกๆวันจะมีแค่เธอกับฉัน
เท่านั้นพอ  ไม่ขออะไร

นา นา นา ไม่ขออะไร ไม่ขออะไร
ฉันกลัวเธอจะขึ้นคาน
ขึ้นคาน ขึ้นคาน",dr_fuu
ครางชื่อพี่หน่อย,/music/thailyric/14382,"เหงาจริงเหงาจังพี่ได้แต่นั่งเหี่ยว
ก็มันโดนก็มันเดี่ยวได้แต่เที่ยวมองหา
สักคนมาคอยห่วงใย สักใจมาคอยใกล้ชิด
ทุกวันก็ได้แต่คิด อยากมีแฟนกับเขาสักที
แล้วพี่ก็ได้เจอน้อง ขอจองใช่เลยคนนี้
งานดีเหลือเกิน

ครางชื่อพี่หน่อย ครางชื่อพี่หน่อย
พี่จะดีใจมากเลย
ครางชื่อพี่ก่อน อะครางชื่อพี่ก่อน
อยากได้อะไรยอมเปย์ให้หมดเลย

น้องทำให้พี่อยากมีชีวิตอยู่
ให้ได้รู้ว่าจากนี้จะต้องทำเพื่อใคร
พี่กลายเป็นทาสเจ้าแล้ว พร้อมยอมยินดีรับใช้
ให้ละสายตาได้ไง ดีต่อใจไปเสียทุกอย่าง
นี่แหละที่โลกต้องการ ช่วยทำให้พี่สมหวัง
อยากฟังจังเลย

ครางชื่อพี่หน่อย ครางชื่อพี่หน่อย
พี่จะดีใจมากเลย
ครางชื่อพี่ก่อน อะครางชื่อพี่ก่อน
อยากได้อะไรยอมเปย์ให้หมดเลย

น่าสงสารจัง ฟังแล้วก็เห็นใจ
ไม่มีแฟนมานานเท่าไร
เที่ยวหาใครให้ครางอย่างนี้
หรือพี่ไปโดนตัวไหนมา
อาการน่าเป็นห่วงนะนี่
อ้อนๆ น้องดูสักที
ถ้าอารมณ์ดี จะครางชื่อพี่ให้ฟัง

น้องทำให้พี่ต้องมาดูดนมกล่อง
เพียงแค่มองใจก็ร้องว่าจะเอาแบบนี้
ชอบกันขนานนั้นเชียว  เอาที่สบายใจเลย
นี่เพียงแค่มองเฉยๆ ก็ละลายไปแล้วทั้งใจ
ยินดีที่พี่สดชื่น
งั้นน้องก็ควรตามใจ
แบบนี้ก็ได้เหรอ

ครางชื่อพี่หน่อย ครางชื่อพี่หน่อย
พี่จะดีใจมากเลย
ครางชื่อพี่ก่อน อะครางชื่อพี่ก่อน
อยากได้อะไรยอมเปย์ให้หมดเลย

น่าสงสารจัง ฟังแล้วก็เห็นใจ
ไม่มีแฟนมานานเท่าไร
เที่ยวหาใครให้ครางอย่างนี้
หรือพี่ไปโดนตัวไหนมา
อาการน่าเป็นห่วงนะนี่
อ้อนๆ น้องดูสักที
ถ้าอารมณ์ดี จะครางชื่อพี่ให้ฟัง

ครางชื่อพี่หน่อยอย่าให้คอยน้อยใจ
น่าสงสารจังเลย
ครางชื่อพี่ก่อนพี่คงนอนฝันดี
ใจอ่อนดีหรือเปล่า

ครางชื่อพี่หน่อย ครางชื่อพี่หน่อย
ครางชื่อพี่ก่อน ครางชื่อพี่ก่อน
เดี๋ยวครางให้นะ",dr_fuu
