song_name,href,lyric,artist
นางสาวไทยกับไฝข้างขวา,/music/thailyric/10299,"ฉันเคย เคยถูกทิ้งไม่รู้กี่ครั้ง
ต้องผิดหวังซ้ำๆ มากี่หน
หรือฉันเป็นคนไม่มีดวงหรือไง

ฉันเลยเข้าไปหาคนมีความรู้
เข้าไปถามหมอดูเพราะอยากรู้
ว่าคนที่เป็นเนื้อคู่กับฉันเป็นเช่นไร

ในวันเดือนที่สามยามสี่โมง
จะเจอคนคิ้วขวาวาดวงโค้ง
ตากลมโตและสูงโปร่งยาวขาว
นั่นคือเนื้อคู่คนถัดไป

แหละนั่นคือเธอใช่ไหม คนที่มีไฝข้างขวา
ตาก็โตและสวยอย่างกับนางสาวไทย โว้ โอว

และต้องเป็นเธอเชื่อนะ ถ้าไม่เชื่อลอง รักกันไหม
ฉันว่าเธออย่าเพิ่งหงุดหงิด เดี๋ยวสิ่งศักดิ์สิทธิ์น้อยใจ

แน่ใจเธอต้องใช่คนที่กล่าวมา
อาจไม่เหมือนไม่ตรงกับตำรา
แต่โหงวเฮ้งเธอนั้นเข้าตาฉันดี

ในวันเดือนที่สามยามสี่โมง
จะเจอคนคิ้วขวาวาดวงโค้ง
ตากลมโตและสูงโปร่งยาวขาว
นั่นคือเนื้อคู่คนถัดไป

แหละนั่นคือเธอใช่ไหม คนที่มีไฝข้างขวา
ตาก็โตและสวยอย่างกับนางสาวไทย โว้ โอว

และต้องเป็นเธอเชื่อนะ ถ้าไม่เชื่อลอง รักกันไหม
ฉันว่าเธออย่าเพิ่งหงุดหงิด เดี๋ยวสิ่งศักดิ์สิทธิ์น้อยใจ

แหละนั่นคือเธอใช่ไหม เธอที่มีไฝข้างขวา
ตาก็โตและ สวยอย่างกับนางสาวไทย โว้ โอว

อยากขอให้เธอเปิดใจ รับฉันเข้าไปได้ไหม
รักไม่มีอะไรถูกผิด ขอเธออย่าปิดหัวใจ

ก็ไม่ได้เชื่อหรอกนะ คำที่ทำนาย เอาไว้
ฉันแค่เชื่อเสียงในใจของฉันที่มันบอกใช่เธอ
ที่มันบอกต้องเธอ ไม่ได้เชื่อมันหรอกนะคำทำนาย
เสียงหัวใจของฉันมันบอกใช่เธอ",dunk_phunkorn
แพ้ตั้งแต่บนเตียง,/music/thailyric/10522,"คนหนึ่งนอนกอดกัน คนหนึ่งเพิ่งจะเจอ
ต้องใช้สมอง ต้องคิดด้วยเหรอ ว่าควรเลือกฝั่งไหน
คนที่เป็นเจ้าของ กลับต้องมานอนร้องไห้
จะให้ยอมเป็นคนเข้าใจ เข้าใจไม่ได้หรอกเรื่องนี้

เธอจะให้ฉัน ยินดีที่มีคนอื่นเข้ามา
ให้ฉันทำเหมือนว่าไม่เสียใจ

แค่เธอรักเขาเท่ากับฉัน มันก็ทรมานเจียนตาย
หากบนเตียงมีคนที่สามมานอนอยู่ ไม่รู้จะทำตัวเช่นไร
คำว่ารักที่ต้องแย่งกันเชยชม จะมีอารมณ์อยู่ไหม
และวันหนึ่งถ้าเขาได้ใจเธอไป คงขาดใจตาย ข้างเตียง

วันหนึ่งเคยครอบครอง วันหนึ่งต้องแบ่งใคร
คนที่ยังรัก ผิดมากใช่ไหม ถึงทำกันอย่างนี้
คนที่เคยผูกพัน โอบไหล่กันได้ทุกที่
หมดราคาลงไปทุกทีๆ เป็นเธอจะเจ็บไหม

เธอจะให้ฉัน ยินดีที่มีคนอื่นเข้ามา
หน้าฉันดูเหมือนลามากหรือไง

แค่เธอรักเขาเท่ากับฉัน มันก็ทรมานเจียนตาย
หากบนเตียงมีคนที่สามมานอนอยู่ ไม่รู้จะทำตัวเช่นไร
คำว่ารักที่ต้องแย่งกันเชยชม จะมีอารมณ์อยู่ไหม
และวันหนึ่งถ้าเขาได้ใจเธอไป คงขาดใจตาย ข้างเตียง

แค่เธอรักเขาเท่ากับฉัน มันก็ทรมานเจียนตาย
หากบนเตียงมีคนที่สามมานอนอยู่ ไม่รู้จะทำตัวเช่นไร
คำว่ารักที่ต้องแย่งกันเชยชม จะมีอารมณ์อยู่ไหม
และวันหนึ่งถ้าเขาได้ใจเธอไป คงขาดใจตาย ข้างเตียง

แค่เธอรักเขาเท่ากับฉัน มันก็ทรมานเจียนตาย
หากบนเตียงมีคนที่สามมานอนอยู่ ไม่รู้จะทำตัวเช่นไร
คำว่ารักที่ต้องแย่งกันเชยชม จะมีอารมณ์อยู่ไหม
และวันหนึ่งถ้าเขาได้ใจเธอไป คงขาดใจตาย ข้างเตียง",dunk_phunkorn
ไม่อยู่ในสายตา,/music/thailyric/10067,"ก็เธอมีแต่เขา เธอมีแต่เขาในแววตา
แค่ได้มองก็รู้ ว่าเธอต้องเลือกใคร
แล้วนี่เห็นฉันเป็นอะไร แล้วนี่ตัวฉันเป็นอะไร
หรือแค่มีไว้ หรือแค่มีไว้แค่ยืมมือ

กี่ทีที่เขาเข้ามา ทักทาย
เธอทำเหมือนไม่ใส่ใจเขาเลย
ทำเป็นเฉยๆ
เหมือนจะไม่มองด้วยซ้ำไป

แต่แปลกที่ฉันกลับยิ่ง รู้สึก
ที่จริงลึกๆ แล้วเธอนั้นคิดอะไร
ถ้าเธอไม่คิด
ก็คงไม่ทำ เหมือนร้อนตัว

ที่ทำเป็นไม่แคร์ ยิ้มพูดคุยกับใคร
แต่พอเขาไปก็ไหวหวั่น
ที่ทำเป็นใกล้ชิด มาจับมือกับฉัน
ประชดใครเหรอเธอ

ไม่อยู่ในสายตา แต่ว่าในหัวใจ
มีแต่เขาใช่ไหมที่เธออยากมอง
คนที่เธอนะคิดแค่เพียง ขอยืมมากอด
คนนี้มันแอบน้อยใจ
ไม่อยู่ในสายตา แต่อาการที่มี
อยากจะถามแค่นี้ เธอรักเขาไหม
เพราะความจริงที่เธอ มองเลยผ่านไป
มีแค่ฉันคนเดียว

ก็เธอมีแต่เขา เธอมีแต่เขาในแววตา
แค่ได้มองก็รู้ ว่าเธอต้องเลือกใคร
แล้วนี่เห็นฉันเป็นอะไร แล้วนี่ตัวฉันเป็นอะไร
หรือแค่มีไว้ หรือแค่มีไว้แค่ยืมมือ

ถ้ายังมีเขาอยู่เต็มหัวใจ
และแค่มีฉันเอาไว้เพื่อลืม
เมื่อมันต้องฝืน
ฉันก็ไม่อยาก แทนที่ใคร

อยากกลับไปคบกับเขาหรือเปล่า
ถ้าอยากจบเรื่องของเรา ก็ไม่เป็นไร
ถ้ายังรักเขา
แล้วต้องการไป ก็ได้เลย

ที่ทำเป็นไม่แคร์ ยิ้มพูดคุยกับใคร
แต่พอเขาไปก็ไหวหวั่น
ที่ทำเป็นใกล้ชิด มาจับมือกับฉัน
ประชดใครเหรอเธอ

ไม่อยู่ในสายตา แต่ว่าในหัวใจ
มีแต่เขาใช่ไหม ที่เธออยากมอง
คนที่เธอนะคิดแค่เพียง ขอยืมมากอด
คนนี้มันแอบน้อยใจ
ไม่อยู่ในสายตา แต่อาการที่มี
อยากจะถามแค่นี้ เธอรักเขาไหม
เพราะความจริงที่เธอ มองเลยผ่านไป
มีแค่ฉันคนเดียว

ไม่อยู่ในสายตา แต่ว่าในหัวใจ

ไม่อยู่ในสายตา แต่อาการที่มี
อยากจะถามแค่นี้ เธอรักเขาไหม

ก็เป็นเพราะว่าคนที่เธอ มองเลยผ่านไป
มีแค่ฉันคนเดียว

หรือแค่มีไว้ หรือแค่มีไว้แค่ยืมมือ

หรือแค่มีไว้ หรือแค่มีไว้แค่ยืมมือ",dunk_phunkorn
ขอให้เขารักเธอ,/music/thailyric/1547,"ถูกแล้วที่ฉันต้องเป็นอย่างนี้ ถูกแล้วให้เขาเป็นคนที่ได้เธอไป
ในวันที่ฉันมีเธอ ไม่เคยเห็นค่าอะไร ปล่อยเธอวุ่นวายใจว่าคิดยังไงกับเธอ

เมื่อเขาให้รักเธอมากอย่างนั้น ต่อฝันให้ใจที่เคยอ้างว้างเดียวดาย
ใจเธอที่แล้งมานาน เมื่อมีรักโปรยลงไป ต่อให้รักยังไงเป็นใครก็คงไม่ทน

ได้แต่หวังให้เขาคนนั้นมีรักที่จริงใจ ห่วงใยและรักหวังดีให้เธอเรื่อยไป
อย่าให้เป็นเหมือนฉันคนนี้ ที่มองความดีของเธอไม่เคยเห็นเลย
(คิดจะเปลี่ยนอะไรก็สายไป/จึงต้องเสียเธอไป)

จบแล้วเรื่องรักของเธอกับฉัน ฉากสำคัญฉากนี้เธอคงให้เขาแสดง
จะไปโทษใครยังไง ทำเองก็รับมันเอง ฉากที่เหงาวังเวงให้ฉันแสดงต่อไป

ได้แต่หวังให้เขาคนนั้นมีรักที่จริงใจ ห่วงใยและรักหวังดีให้เธอเรื่อยไป
อย่าให้เป็นเหมือนฉันคนนี้ ที่มองความดีของเธอไม่เคยเห็นเลย
(คิดจะเปลี่ยนอะไรก็สายไป/จึงต้องเสียเธอไป)

ได้แต่หวังให้เขาคนนั้นมีรักที่จริงใจ ห่วงใยและรักหวังดีให้เธอเรื่อยไป
อย่าให้เป็นเหมือนฉันคนนี้ ที่มองความดีของเธอไม่เคยเห็นเลย
(คิดจะเปลี่ยนอะไรก็สายไป/จึงต้องเสียเธอไป)

จบแล้วเรื่องรักของเธอกับฉัน ฉากสำคัญฉากนี้เธอคงให้เขาแสดง
จะไปโทษใครยังไง ทำเองก็รับมันเอง ฉากที่เหงาวังเวงให้ฉันแสดงต่อไป
ฉากที่เหงาวังเวงให้ฉันแสดงคนเดียว",dunk_phunkorn
ไม่รักเธอ,/music/thailyric/1568,"ไม่ ไม่ ไม่ ฉันไม่รักเธอ ไม่รักเธอ ไม่รักเธอ

ต้องคิดอะไรอีก ยังไงก็เหมือนกัน วันนี้พรุ่งนี้ก็ต้องไป
เพราะฉันก็รู้อยู่ และเธอก็รู้ดี ว่าเขาเป็นใคร ฉันเป็นใครเป็นใครเป็นใคร

วันนี้ที่เธอยังลังเลและรออยู่ เพียงเพราะเธอยังอยากฟังคำนี้ใช่ไหม

ไม่ ไม่ ไม่ ฉันไม่รักเธอ ไม่และไม่และไม่ ไม่ต้องการเธอ
จะอยู่หรือไป ไม่มีความหมายอะไรกับฉัน

ถึงฉันจะรักเธอ ถึงเราจะรักกัน มันก็ไม่มีทางจะไป
ถึงฉันมีน้ำตา ไม่ต้องมาสนใจ ไปดีก็ไป ไปเถอะไปเถอะไปเถอะไป

วันนี้ที่เธอยังลังเลและรออยู่ เพียงเพราะเธอยังอยากฟังคำนี้ใช่ไหม

ไม่ ไม่ ไม่ ฉันไม่รักเธอ ไม่และไม่และไม่ ไม่ต้องการเธอ
จะอยู่หรือไป ไม่มีความหมายอะไรกับฉัน


วันนี้ที่เธอยังลังเลและรออยู่ เพียงเพราะเธอยังอยากฟังคำนี้ใช่ไหม

ไม่ ไม่ ไม่ ฉันไม่รักเธอ ไม่และไม่และไม่ ไม่ต้องการเธอ
จะอยู่หรือไป ไม่มีความหมายอะไรกับฉัน

(ไม่ ไม่ ไม่ ฉันไม่รักเธอ) ไม่รักเธอ ไม่รักเธอ
(ไม่และไม่และไม่ ไม่ต้องการเธอ) ไม่ต้องการ ไม่ต้องการ
(จะอยู่หรือไป) ไม่มีความหมายอะไรกับฉัน",dunk_phunkorn
รักเข้าไป,/music/thailyric/1574,"ยังจะรักเขาอีก ยังจะคิดถึงเขาอีก
ยังต้องการเขาอีก เจ็บไม่พอหรือยังไง
ปล่อยให้เขาได้ทำ เหยียบและย่ำทั้งไวใจ
ถูกทำร้อายเท่าไร มากแค่ไหน ถึงจะพอ

คนๆนี้เขามีค่ามากหรือยังไง
ถึงได้ยอมให้เขาหมด ทั้งหัวใจ

(รักเข้าไป)(รัก รัก) รักเข้าไป งมงายให้สาใจ
รักให้ตาย ไม่ต้องลืมหู ลืมตา
ถ้าเจ็บไม่จำ อยาสกจะทนก็ตามใจ
ทั้งวิญญาณ ก็ให้ไป ไม่ต้องเหลืออะไรไว้เลย

ก็ทำแลวทุกอย่าง ให้ไปแล้วทุกๆอย่าง
มีอะไรเหลือมาบ้าง นอกจากคนร้ายคนเดิม

คนๆนี้เขามีค่ามากหรือยังไง
ถึงได้ยอมให้เขาหมด ทั้งหัวใจ

(รักเข้าไป)(รัก รัก) รักเข้าไป งมงายให้สาใจ
รักให้ตาย ไม่ต้องลืมหู ลืมตา
ถ้าเจ็บไม่จำ อยาสกจะทนก็ตามใจ
ทั้งวิญญาณ ก็ให้ไป ไม่ต้องเหลืออะไรไว้เลย

คนๆนี้เขามีค่ามากหรือยังไง
ถึงได้ยอมให้เขาหมด ทั้งหัวใจ

(รักเข้าไป)(รัก รัก) รักเข้าไป งมงายให้สาใจ
รักให้ตาย ไม่ต้องลืมหู ลืมตา
ถ้าเจ็บไม่จำ อยาสกจะทนก็ตามใจ
ทั้งวิญญาณ ก็ให้ไป ไม่ต้องเหลืออะไรไว้เลย",dunk_phunkorn
ส่องไฟขึ้นฟ้า,/music/thailyric/1582,"มีเพียงเธอทุกลมหายใจ ทำอะไรก็ทำเพื่อเธอ
ถึงแม้เหน็ดเหนื่อย ความตั้งใจยังเหมือนเดิม
ทำมานานก็นานเกินไป ควรทำใจและควรจะรู้ตัว
ทั้งเหงาและเจ็บ เพราะว่าเธอไม่รักเลย

ก็มันรักมากมาย แต่ได้กลับมาแค่เสียใจ
ต่อให้รักแทบตาย แต่รักกลับไปไม่ถึงเธอ

เหมือนส่องไฟขึ้นฟ้า ฟ้าไกลเกินไป ส่องไปเท่าไรมันก็สูญเปล่า
ทุ่มเทให้เธอ ยิ่งทำยิ่งหาย รักเธอแค่ไหนมันก็เสียเปล่า ไม่เห็นอะไรเลย

ใจเราคงเหมือนไฟใกล้ดับ ทำยังไงไม่อาจส่งถึงเลย
หวังนั่นว่างเปล่า ไม่มีความหมายใด

ก็มันรักมากมาย แต่ได้กลับมาแค่เสียใจ
ต่อให้รักแทบตาย แต่รักกลับไปไม่ถึงเธอ

เหมือนส่องไฟขึ้นฟ้า ฟ้าไกลเกินไป ส่องไปเท่าไรมันก็สูญเปล่า
ทุ่มเทให้เธอ ยิ่งทำยิ่งหาย รักเธอแค่ไหนมันก็เสียเปล่า ไม่เห็นอะไรเลย

เหมือนส่องไฟขึ้นฟ้า ฟ้าไกลเกินไป ส่องไปเท่าไรมันก็สูญเปล่า
ทุ่มเทให้เธอ ยิ่งทำยิ่งหาย รักเธอแค่ไหนมันก็เสียเปล่า ไม่เห็นอะไรเลย
เหมือนส่องไฟขึ้นฟ้า ฟ้าไกลเกินไป ส่องไปเท่าไรมันก็สูญเปล่า
ทุ่มเทให้เธอ ยิ่งทำยิ่งหาย รักเธอแค่ไหนมันก็เสียเปล่า ไม่เห็นอะไรเลย",dunk_phunkorn
เอาซอมา,/music/thailyric/1590,"พูดดีๆ แต่ฟังว่าไม่ดี ไม่รู้ว่าเป็นอะไร
พูดชัดเจน ก็ฟังไม่เข้าใจ
อย่างนี้ต้องทำอย่างไร

คนเราบางคน พูดอะไรธรรมดากันไม่ได้
เอ้าไม่เป็นไร เอาอย่างนี้
ฟังดนตรีหน่อยดีไหม ได้ไหม ได้ไหม...

เอาซอมา เอาซอมา
มันจะซึ้ง จะซึม ไปในใจบ้างไหม
เอาซอมา เอาซอมาเข้าใจอะไรยากๆอย่างนี้
(ต้องเอามาสีให้ฟัง)(ต้องเอามาสีให้ฟัง ให้ฟัง)
(ต้องเอามาสี ให้เธอฟัง...)

ฉันรักเธอ ได้ยินไหมรักเธอ
แค่นีไม่ยอมเข้าใจ
ฉันรักเธอยังหาว่ารักใคร
หรือพูดภาษาไทย เธอไม่ฟัง

คนเราบางคน พูดอะไรธรรมดากันไม่ได้
เอ้าไม่เป็นไร เอาอย่างนี้
ฟังดนตรีหน่อยดีไหม ได้ไหม ได้ไหม...

เอาซอมา เอาซอมา
มันจะซึ้ง จะซึม ไปในใจบ้างไหม
เอาซอมา เอาซอมาเข้าใจอะไรยากๆอย่างนี้
(ต้องเอามาสีให้ฟัง)(ต้องเอามาสีให้ฟัง ให้ฟัง)
(ต้องเอามาสี ให้เธอฟัง...)

คนเราบางคน พูดอะไรธรรมดากันไม่ได้
เอ้าไม่เป็นไร เอาอย่างนี้
ฟังดนตรีหน่อยดีไหม ได้ไหม ได้ไหม...

เอาซอมา เอาซอมา
มันจะซึ้ง จะซึม ไปในใจบ้างไหม
เอาซอมา เอาซอมาเข้าใจอะไรยากๆอย่างนี้
(ต้องเอามาสีให้ฟัง)(ต้องเอามาสีให้ฟัง ให้ฟัง)
(ต้องเอามาสี ให้เธอฟัง...)

เอาซอมา เอาซอมา
มันจะซึ้ง จะซึม ไปในใจบ้างไหม
เอาซอมา เอาซอมาเข้าใจอะไรยากๆอย่างนี้
(ต้องเอามาสีให้ฟัง)(ต้องเอามาสีให้ฟัง ให้ฟัง)
(ต้องเอามาสี ให้เธอฟัง...)

(นา...นะ นา นา นา...)
(นะ นา นา นา...นะ นา นา นา...)
(นา...นะ นา นา นา...)
(นะ นา นา นา...นะ นา นา นา...)",dunk_phunkorn
พันมือ,/music/thailyric/1563,"รักจะตายไม่ยอมให้ไปหรอก
จะยื้อเธอไว้ อย่าไปกับเขา
แต่ยื้อเท่าไหร่ สุดท้ายก็ว่างเปล่า
เมื่อเจตนา เธอเจตนาทิ้งฉัน
หมดปัญญา หมดปัญญา
ยอมแล้ว ยอมแล้วพอ

ต่อให้มีสักพันมือ ก็ดึงเธอไว้ไม่อยู่
เพิ่งรู้ว่ามันเหนื่อย สักแค่ไหน
ให้เอามือแค่สองมือ หยุดใจทั้งพันใจ
เธอไว้ให้หยุดอยู่เพียงแค่ฉัน ..
เป็นไปไม่ได้เลย

เพราะว่าใจที่คอยรั้งมัน เหนื่อย
ไม่เหมือนกับใจที่คอยจะไป
เหลืออะไรที่ตัวฉันทำได้
เมื่อเจตนา เธอเจตนาทิ้งฉัน
หมดปัญญา หมดปัญญา
ยอมแล้ว ยอมแล้วพอ

ต่อให้มีสักพันมือ ก็ดึงเธอไว้ไม่อยู่
เพิ่งรู้ว่ามันเหนื่อย สักแค่ไหน
ให้เอามือแค่สองมือ หยุดใจทั้งพันใจ
เธอไว้ให้หยุดอยู่เพียงแค่ฉัน ..
เป็นไปไม่ได้เลย

ต่อให้มีสักพันมือ ก็ดึงเธอไว้ไม่อยู่
เพิ่งรู้ว่ามันเหนื่อย สักแค่ไหน
ให้เอามือแค่สองมือ หยุดใจทั้งพันใจ
เธอไว้ให้หยุดอยู่เพียงแค่ฉัน ..
เป็นไปไม่ได้เลย

ฉันดึงเธอไว้ไม่อยู่
เพิ่งรู้ว่ามันเหนื่อย  สักแค่ไหน
ให้เอามือแค่สองมือ หยุดใจทั้งพันใจ
เธอไว้ให้หยุดอยู่เพียงแค่ฉัน ..
เป็นไปไม่ได้เลย

คำร้อง ธนา ชัยวรภัทร์
ทำนอง/เรียบเรียงฯ จักรกฤษณ์ มัฆนาโส",dunk_phunkorn
รักคนอื่นไม่เป็น,/music/thailyric/1576,"สิ่งที่เธอให้ฉันมานาน
นั่นคือการไม่รักกันเลย
ไม่เคยสักครั้งที่เธอจะหวั่นไหว

สิ่งที่ฉันมุ่งมั่นคือรอ
อาจจะท้อลึกๆในใจ
แต่ยังอยากขอร้องเรื่องเดียว เธอพอจะทำได้ไหม

อย่าเลยเธอ อย่าให้ฉันเปลี่ยนใจจากเธอไปไหน
เพราะรักเธอไปหมดทั้งใจ จนรักคนอื่นไม่เป็น

ปล่อยให้ฉันได้รักเธอไป
อย่าผลักไสให้รักใครเลย
แค่เธอไม่รักก็ทำ ให้เจ็บจนเกินพอแล้ว

อย่าเลยเธอ อย่าให้ฉันเปลี่ยนใจจากเธอไปไหน
เพราะรักเธอไปหมดทั้งใจ จนรักคนอื่นไม่เป็น

เคยเป็นอย่างไร ขอให้เธอจงเป็นเหมือนเก่า
อย่ามาสนใจเลย กับชีวิตคนหนึ่ง ที่มันหวังมีเธอ .. อยู่อย่างนี้

อย่าเลยเธอ อย่าให้ฉันเปลี่ยนใจจากเธอไปไหน
เพราะรักเธอไปหมดทั้งใจ จนรักคนอื่นไม่เป็น

คำร้อง Before two
ทำนอง/เรียบเรียงฯ จักรกฤษณ์ มัฆนาโส",dunk_phunkorn
