song_name,href,lyric,artist
ฉุดฉันขึ้นไป,/music/thailyric/6289,"บนที่แห่งนั้นมีไหมใครสักคน
ได้ยินเสียงตะโกนของใจ
บนที่แห่งนั้นผู้คนนับร้อยพัน
แต่ฉันช่างแสนเดียวดาย

ตกอยู่ในความทุกข์ทน แค่เพียงลำพัง
ในหลุมของความโชคร้าย
มีแต่ความว่างเปล่า เหน็บหนาวในหัวใจ

ฉุดฉันขึ้นไปสักที ให้พ้นความทรมาน
ปลุกฉันให้ตื่นจากฝัน ฝันที่มันมืดมน
อยากขอแค่คนเข้าใจ มีไหมล่ะใครสักคน
ก้มลงจากเบื้องบน ฉุดชีวิตของฉันขึ้นไป

เมื่อความผิดพลั้งที่ฉันไม่ตั้งใจ ทำชีวิตฉันพังทลาย
ความดีกี่ครั้งที่ฉันนั้นได้ทำ ก็ไม่เห็นใครให้อภัย

ตกอยู่ในความทุกข์ทน แค่เพียงลำพัง
ในหลุมของความโชคร้าย
มีแต่ความว่างเปล่า เหน็บหนาวในหัวใจ

ฉุดฉันขึ้นไปสักที ให้พ้นความทรมาน
ปลุกฉันให้ตื่นจากฝัน ฝันที่มันมืดมน
อยากขอแค่คนเข้าใจ มีไหมล่ะใครสักคน
ก้มลงจากเบื้องบน ฉุดชีวิตของฉันขึ้นไป

โอกาสของคน ตะโกนอ้อนวอนร่ำร้องสักเท่าไร
ได้ยินบ้างไหม อยู่ไหนใครสักคน
อยากขอแค่คนเข้าใจ ฉุดฉันขึ้นไปสักที

ฉุดฉันขึ้นไปสักที ให้พ้นความทรมาน
ปลุกฉันให้ตื่นจากฝัน ฝันที่มันมืดมน
อยากขอแค่คนเข้าใจ มีไหมล่ะใครสักคน
ให้โอกาสฉันที ให้ชีวิตได้เริ่มต้นใหม่

ฉุดฉันขึ้นไปสักที ให้พ้นความทรมาน
ปลุกฉันให้ตื่นจากฝัน ฝันที่มันมืดมน
อยากขอแค่คนเข้าใจ มีไหมล่ะใครสักคน
ก้มลงจากเบื้องบน ฉุดชีวิตของฉันขึ้นไป

ขอแค่ใครสักคน ได้ยินฉันหรือเปล่า",ebola
บทเพลงจากฟ้า,/music/thailyric/6295,"โลกของเธอไม่มีแสงไฟ ไม่เจอผู้ใดอยู่กับน้ำตา
ได้แต่ร้องคร่ำครวญ อยากจะย้อนเวลา
ให้เขาคืนมา มีชีวิตจมกับความทรมาน

ปลอบให้ตายเท่าไร มันก็คงไร้ค่า
แต่ว่าชีวิตเรา มันยังคงมีค่า
เสี้ยวของความเลวร้าย ทำให้เรารู้ว่า
ร้ายดีแค่ไหนมันธรรมดา

เมื่อท้องฟ้ายังเหมือนเดิม
แสงอาทิตย์ยังขึ้นจากตรงที่เก่า
โลกนี้ก็หมุนต่อไป และแม้ว่ารักไม่เหมือนเดิม
ฟ้าที่เห็นก็ยังไม่เปลี่ยนแปลงไป ชีวิตงดงามดังเดิม

ปิดตัวเองเท่าไหร่ มันยิ่งดูไร้ค่า
เปิดตัวเองสักที ทำให้มันมีค่า
แล้วมันต้องผ่านพ้น เพียงแค่เช็ดน้ำตา
ทุกคนก็เคยเรื่องธรรมดา

เมื่อท้องฟ้ายังเหมือนเดิม
แสงอาทิตย์ยังขึ้นจากตรงที่เก่า
โลกนี้ก็หมุนต่อไป และแม้ว่ารักไม่เหมือนเดิม
ฟ้าที่เห็นก็ยังไม่เปลี่ยนแปลงไป ชีวิตงดงามดังเดิม

นับดูดีๆ นับเวลาที่เหลือ
ชีวิตของเธอยังเหลือเวลา
ฟ้ายังคงเดิม ทุกอย่างเหมือนเดิม
ชีวิตทุกคนเป็นไปตามกาลเวลา

โลกของเธอไม่มีแสงไฟ ไม่เจอผู้ใดอยู่กับน้ำตา
ได้แต่ร้องคร่ำครวญ อยากจะย้อนเวลา
ให้เขาคืนมา แต่สุดท้ายก็เท่านั้น

เมื่อท้องฟ้ายังเหมือนเดิม
แสงอาทิตย์ยังขึ้นจากตรงที่เก่า
โลกนี้ก็หมุนต่อไป และแม้ว่ารักไม่เหมือนเดิม
ฟ้าที่เห็นก็ยังไม่เปลี่ยนแปลงไป ชีวิตงดงามดังเดิม

ฟ้าทั้งฟ้ายังเหมือนเดิม
แสงอาทิตย์ก็ยังคงทอแสงมาอย่างเคย
แม้ว่ารักไม่เหมือนเดิม แม้มันเจ็บปวดเพียงใด
ชีวิตต้องเดินต่อไป",ebola
วันที่ไม่มีจริง,/music/thailyric/6298,"และแล้วขอบฟ้าก็เริ่มจะมืดมิด
และแล้วชีวิตก็วนกลับไปดังเดิม
ยังคงเหน็บหนาวเดียวดายอยู่ลำพัง
ยิ่งไขว่คว้าเท่าไร ก็ยิ่งเลือนรางยิ่งทรมาน

ได้แต่เพ้อว่าเธอจะกลับคืนมา
ยังภาวนาแม้รู้ว่า มันไม่มีจริงมันไม่มีจริง
มันไม่มีอะไรจะเหมือนเดิม

ได้แต่หวังโง่ๆ ลมๆ แล้งๆ
รอไปทั้งๆ ที่รู้ว่ามันไม่มีจริง มันไม่มีจริง
แม้ว่าฉันจะทำยังไง แต่เธอคงไม่กลับมา

ใครกันจะย้อนเวลาแห่งชีวิต
ใครกันจะคิดว่ามันจะเจ็บเจียนตาย
ก็เธอคือความหวังของคนที่สิ้นหวัง
แต่ยิ่งหวังเท่าไรยิ่งไม่มีทาง เจ็บปวดเหลือเกิน

ได้แต่เพ้อว่าเธอจะกลับคืนมา
ยังภาวนาแม้รู้ว่า มันไม่มีจริงมันไม่มีจริง
มันไม่มีอะไรจะเหมือนเดิม

ได้แต่หวังโง่ๆ ลมๆ แล้งๆ
รอไปทั้งๆ ที่รู้ว่ามันไม่มีจริง มันไม่มีจริง
แม้ว่าฉันจะทำยังไง แต่เธอคงไม่กลับมา

ชีวิตที่เหลือ แม้มันต้องเดินต่อไป
แต่ฉันไม่รู้จะเดินไปทางไหน เมื่อไม่มีใคร

ได้แต่เพ้อว่าเธอจะกลับคืนมา
ยังภาวนาแม้รู้ว่า มันไม่มีจริงมันไม่มีจริง
มันไม่มีอะไรจะเหมือนเดิม

ได้แต่หวังโง่ๆ อยู่ในหัวใจ
รอไปทั้งๆ ที่รู้ว่ามันไม่มีจริง มันไม่มีจริง
แม้ว่าฉันจะรอจนตาย แต่เธอคงไม่กลับมา
ไม่มีวันกลับมา",ebola
หนีไม่พ้น,/music/thailyric/6304,"ยังทรมาน และยังทุกข์ทน
ติดอยู่ในความสับสน ไม่มีทางไป
เมื่อเวรและกรรม ที่เคยได้ทำ
ยังตามมาหลอกมาหลอนข้างในจิตใจ

ยังเวียนและวน ในความมืดมน
ดำดิ่งลงสู่หุบเหวของความหลอกลวง
ปากก็พูดไป แต่ในหัวใจ
มันยังตะโกนร่ำร้องฟ้องใจตัวเอง

ก็เสียงหัวใจมันบอกซ้ำๆ
ว่าความจริงเป็นสิ่งเดียวที่ไม่ตาย
จะหวาดระแวงไปอีกเท่าไหร่

จะหลบหนีมันไปยังไง หนีมันไปจนตาย
ความเป็นจริงในใจ หนีเท่าไหร่ก็ไม่พ้น
ชีวิตโดนลิขิตกันทุกคน หนีไม่พ้นโชคชะตา

เมื่อยังหายใจ ก็ต้องรับไป
ไม่ว่าจะเจ็บแค่ไหน ต้องโดนอยู่ดี
ก็ชีวิตคน ก็ทุกๆ คน
มีถูกและผิดอยู่ในทุกก้าวที่มี

ก็เสียงหัวใจมันบอกซ้ำๆ
ว่าความจริงเป็นสิ่งเดียวที่ไม่ตาย
จะหวาดระแวงไปอีกเท่าไหร่

จะหลบหนีมันไปยังไง หนีมันไปจนตาย
ความเป็นจริงในใจ หนีเท่าไหร่ก็ไม่พ้น
ชีวิตโดนลิขิตกันทุกคน หนีไม่พ้นโชคชะตา

ความทรมาน ที่ยังทุกข์ทน
ติดอยู่ในความสับสน ไม่มีทางไป
เมื่อเวรและกรรมที่เคยได้ทำ
ยังตามมาหลอกมาหลอน หนีมันให้ตายยังไง

หนีมันไปจนตาย ความเป็นจริงในใจ
หนีเท่าไหร่ก็ไม่พ้น ชีวิตโดนลิขิตให้มืดมน
สุดท้ายก็ได้แต่หลอกตัวเอง

หนีไปจนวันตาย ความเป็นจริงในใจ
หนีเท่าไหร่ก็ไม่พ้น ชีวิตโดนลิขิตกันทุกคน
หนีเท่าไหร่ก็ไม่พ้นโชคชะตา

ความทรมานที่ยังทุกข์ทน
มันต้องเจอมันต้องโดนอยู่แล้ว
ความจริงของใจจะหนียังไง
สุดท้ายคือโชคชะตา",ebola
เอาให้ตาย,/music/thailyric/6305,"เกิดเป็นคน มันจำเป็นต้องอดทนกันไปอีกสักแค่ไหน
จะกี่คน มันก็เอาแต่รุมแต่ยำทำกันจนช้ำปางตาย

ทำดีไม่ได้ดีก็หนักหนา ล้าเกินทน
ทำไมยังเหยียบซ้ำ คอยทำร้ายจนปี้ป่น
รังแกกันอย่างนั้นสนุกนัก หรือไงคน
มันเกินจะอดทน คนพันธุ์นี้

จะเอากันให้ตาย ตรงนี้หรือยังไง
เอาเข้าไป ช่างโหดร้ายเหลือเกิน
มาเข้ามา ถ้าคิดว่าแน่ก็เชิญ
เอาอีกครั้ง เอาอีกทีเอาให้ตาย

ก็ลองดู มีปัญญาก็เอาเลยเชิญเลยจะสักแค่ไหน
เกิดเป็นคน มีทางเดียว
ก็คือต้องชนมันไปจนถึงที่หมาย

ทำดีไม่ได้ดีก็หนักหนา ล้าเกินทน
ทำไมยังเหยียบซ้ำ คอยทำร้ายจนปี้ป่น
รังแกกันอย่างนั้นสนุกนัก หรือไงคน
มันเกินจะอดทน คนพันธุ์นี้

จะเอากันให้ตาย ตรงนี้หรือยังไง
เอาเข้าไป ช่างโหดร้ายเหลือเกิน
มาเข้ามา ถ้าคิดว่าแน่ก็เชิญ
เหยียบอีกครั้ง ย่ำอีกที

จะเอากันให้ตาย ตรงนี้หรือยังไง
เอาเข้าไป ช่างโหดร้ายเหลือเกิน
มาเข้ามา ถ้าคิดว่าแน่ก็เชิญ
เอาอีกครั้ง เอาอีกทีเอาให้ตาย

wanna fight wanna fuck me?
Gonna fight gonna fuck u!
Nothing there gonna crush me!
Wanna try wanna die!

ถ้าคิดว่าทำได้ก็ลองสิ ถ้าคิดว่ามันง่ายก็เอาดิ
ถ้าคิดว่าทำได้ก็ลองสิ ถ้าคิดว่ามันง่ายก็เอาดิ
ถ้าคิดว่ามึงแน่ก็มานี่ ถ้าคิดว่ามึงแน่เข้ามาดิ

จะเอากันให้ตาย ตรงนี้หรือยังไง
เอาเข้าไป ช่างโหดร้ายเหลือเกิน
มาเข้ามา ถ้าคิดว่าแน่ก็เชิญ
เหยียอีกครั้ง ย้ำอีกที

จะเอากันให้ตาย ตรงนี้หรือยังไง
เอาเข้าไป ช่างโหดร้ายกันจริง
มาเข้ามา ถ้าคิดว่ามึงแน่จริง
จะอีกครั้ง จะกี่ทีก็ไม่ตาย",ebola
กลับสู่จุดเริ่มต้น,/music/thailyric/6284,"แล้วฉันก็ล้มลง ที่สุดชีวิตต้องเริ่มใหม่
ต้องกลับไปที่จุดเดิมอีกครั้ง

เป็นเกมที่ฉันพ่ายแพ้ เป็นเกมชีวิตที่ฉันต้องเจอ
เหมือนเดิมเรื่อยไป
มันเป็นเกมที่คนบนฟ้ากำหนดลงมาให้เรา
ต้องเจอ ต้องเล่นกันไป

เหมือนว่าฉันต้องแพ้ทุกที ฉันไม่เคยชนะซักที
เหมือนชีวิตของฉันได้เกิดมาเพื่อแพ้

ทำไมฟ้า สนุกอะไรหนักหนา เจ็บปวดเท่าไรรู้บ้างรึเปล่า
โชคชะตา แต่อย่าเพิ่งดีใจ จะบอกฟ้า ได้โปรดจงจำเอาไว้
ไม่ว่าชีวิตต้องเริ่มต้นใหม่ซักเท่าไร
แต่ซักวันคงรู้กัน
(แต่ซักวันต้องเป็นของฉัน วันพรุ่งนี้ ต้องมีที่เป็นของเราขอเพียงแค่เริ่มต้นใหม่)

คนเวลาพ่ายแพ้ ไม่เคยจะเดินกลับไปจุดนั้น
เริ่มต้นอีกครั้ง
ไม่ว่าใครก๊อเคยพ่ายแพ้ แค่เดินกลับไปที่ตรงจุดนั้น
เริ่มมันอีกครั้ง

แม้ว่ามันต้องแพ้ทุกที แม้ไม่เคยชนะซักที
แม้ชีวิตวันนี้ได้เกิดมาเพื่อแพ้

ทำไมฟ้า สนุกอะไรหนักหนา เจ็บปวดเท่าไรรู้บ้างรึเปล่า
โชคชะตา แต่อย่าเพิ่งดีจัย จะบอกฟ้า ได้โปรดจงจำเอาไว้
ไม่ว่าชีวิตต้องเริ่มต้นใหม่ซักเท่าไร
แต่ซักวันคงรู้กัน
(แต่ซักวันต้องเป็นของฉัน วันพรุ่งนี้ ต้องมีที่เป็นของเราขอเพียงแค่เริ่มต้นใหม่)",ebola
เชื่อมั่น,/music/thailyric/6290,"อย่าไปกลัวในสิ่งที่ยังไม่ได้เกิด
อยากให้มองในสิ่งที่กว้างกว่านั้น
มีสักวันที่เราต้องทำได้ดังใจ

ขอ.....เพียง.....ลอง.....
เปิดใจ...... ลอง..คิด..ใหม่
เพื่อก้าวไป

เชื่อในสิ่งหวัง เชื่อในสิ่งที่ทำ
ลองกันดูสักครั้ง แค่เชื่อมั่น
สิ่งที่มันปิดกัน ลองพิสูจน์สิ่งนั้น แค่เชื่อมั่น

ลองทำดูให้เราได้รู้สักครั้ง
ด้วยพลังด้วยความมุ่งมั่นของตัวเอง
สิ่งที่คิดมันอาจไม่ใช่ความฝัน
ข้ามกำแพงไปสู่จุดนั้นด้วยความจริง

ขอ.....เพียง.....ลอง.....
อย่ามัวจมไปกับความคิดแบบนั้น
เปิดใจ...... ลอง..คิด..ใหม่
เพื่อก้าวไป

เชื่อในสิ่งหวัง เชื่อในสิ่งที่ทำ
ลองกันดูสักครั้ง แค่เชื่อมั่น
สิ่งที่มันปิดกัน ลองพิสูจน์สิ่งนั้น แค่เชื่อมั่น

เชื่อในสิ่งหวัง เชื่อในสิ่งที่ทำ
ลองกันดูสักครั้ง แค่เชื่อมั่น
สิ่งที่มันปิดกัน ลองพิสูจน์สิ่งนั้น แค่เชื่อมั่น

เปิดใจ....ลองคิด....ใหม่  เพื่อก้าวไป

เชื่อในสิ่งหวัง เชื่อในสิ่งที่ทำ
ลองกันดูสักครั้ง แค่เชื่อมั่น
สิ่งที่มันปิดกัน ลองพิสูจน์สิ่งนั้น แค่เชื่อมั่น

เชื่อในสิ่งหวัง เชื่อในสิ่งที่ทำ
ลองกันดูสักครั้ง แค่เชื่อมั่น
สิ่งที่มันปิดกัน ลองพิสูจน์สิ่งนั้น แค่เชื่อมั่น",ebola
ติดปีก,/music/thailyric/6294,"คิดอะไร ทำลงไป กล้าคิด กล้าทำ
เอาเลย มีฝันท้งที เอาเลย ทำมันให้ดี

ตายครั้งเดียว เกิดครั้งเดียว ลองดู ลองทำ
อย่ากลัว จะร้ายจะดี ขอแค่เพียงวันนี้เรากล้าจะทำ


ฟ้ายังคงกว้างใหญ่ ฝันยังคงแสนไกล
ถ้าแม้ว่าเรายังหวั่นยังกลัว คงไม่มีทางได้ดั่งใจ
ฟ้าคงไม่กว้างเกิน ฝันคงไม่ยากเกิน
แค่ขอให้ใจได้มีความกล้า ติดปีกแล้วมองบนฟ้า บินไป
(ติดปีกแล้วบินไปหา)

คิดว่าใช่ มันต้องเชื่อ มั่นคง มั่นใจ
ลุกขึ้น เดินไปข้างหน้า ลุกขึ้น ทำมันให้ได้

มีความกล้า อยู่ในใจ เหมือนได้ มีปีก
บินไป จะสูงเท่าไร มันก็คงไม่ยากที่เราจะไป
(ฝันอยู่ไหน ตามไป สูงแค่ไหน บินไป)

ฟ้ายังคงกว้างใหญ่ ฝันยังคงแสนไกล
ถ้าแม้ว่าเรายังหวั่นยังกลัว คงไม่มีทางได้ดั่งใจ
ฟ้าคงไม่กว้างเกิน ฝันคงไม่ยากเกิน
แค่ขอให้ใจได้มีความกล้า ติดปีกแล้วมองบนฟ้า บินไป
(ติดปีกแล้วบินไปหา)

อีกไกลเท่าไร จะไม่ท้อใจ ไม่ท้อใจ
ยากเย็นเท่าไร จะไม่ถอยไป ไม่ถอยไป

ฟ้ายังคงกว้างใหญ่ ฝันยังคงแสนไกล
ถ้าแม้ว่าเรายังหวั่นยังกลัว คงไม่มีทางได้ดั่งใจ
ฟ้าคงไม่กว้างเกิน ฝันคงไม่ยากเกิน
แค่ขอให้ใจได้มีความกล้า ติดปีกแล้วมองบนฟ้า บินไป
(ติดปีกแล้วบินไปหา)

ฟ้ายังคงกว้างใหญ่ ฝันยังคงแสนไกล
ถ้าแม้ว่าเรายังหวั่นยังกลัว คงไม่มีทางได้ดั่งใจ
ฟ้าคงไม่กว้างเกิน ฝันคงไม่ยากเกิน
แค่ขอให้ใจได้มีความกล้า ติดปีกแล้วมองบนฟ้า บินไป
(ติดปีกแล้วบินไปหา)",ebola
ฝันใหม่,/music/thailyric/6296,"หนึ่งใจ หนึ่งฝัน
ก้าวผ่านเส้นทางหัวใจที่หมองหม่น
เจ็บลึก จบแล้ว
ไปกับฝันพังทลายและทุกข์ทน
ทิ้งหมด สิ้นพลัง เหลือตัวไม่เหลือใจ
เหลวแหลก ลับหลับใหล ร่วงโรยลับลา

แม้ไม่เคยละเลย ความจริงต่อชีวิต
ที่คิดฝัน บนโลกใบใหญ่
ใครเป็นคนเคยล้ม ไม่ลุกสุดที่ใจ
อยู่ที่ใจ ไม่มีใครรู้ใจเท่าใจเราเอง

เดินบนทางความจริง คือสิ่งต่อชีวิต
ให้คิดฝัน บนโลกใบใหม่
เพียงเราเติมความจริงชีวิต และจิตใจ
สุดแต่ใครจะได้ฝัน นั้นไปครอง

ตื่นแล้วจากฝัน ที่ผ่านพ้นมานั้น คือให้มั่นใจ
ที่ฝันนั้นไม่จริง ทุกสิ่งไม่เกินตัวเอง อย่าแพ้ใจ
ไม่หยุด แม้ไม่มีหัวใจให้ฝันต่อ
ก้าวต่อ ทิ้งความฝันที่จางหายไป

แม้ไม่เคยละเลย ความจริงต่อชีวิต
ที่คิดฝัน บนโลกใบใหญ่
ใครเป็นคนเคยล้ม ไม่ลุกสุดที่ใจ
อยู่ที่ใจ ไม่มีใครรู้ใจเท่าใจเราเอง

เดินบนทางความจริง คือสิ่งต่อชีวิต
ให้คิดฝัน บนโลกใบใหม่
เพียงเราเติมความจริงชีวิต และจิตใจ
สุดแต่ใครจะได้ฝัน นั้นไปครอง

สุดแต่ฟ้าที่อยากฝัน จะไปคว้ามัน ไปเลย
ไปเลย หยิบฝันที่มี (ไปเลย ให้ฝันที่มี)
ไปเลย เพื่อฝันที่มี ไปเลย (แค่)(แด่)ฝันที่มี

แม้ไม่เคยละเลย ความจริงต่อชีวิต
ที่คิดฝัน บนโลกใบใหญ่
ใครเป็นคนเคยล้ม ไม่ลุกสุดที่ใจ
อยู่ที่ใจ ไม่มีใครรู้ใจเท่าใจเราเอง

เดินบนทางความจริง คือสิ่งต่อชีวิต
ให้คิดฝัน บนโลกใบใหม่
เพียงเราเติมความจริงชีวิต และจิตใจ
สุดแต่ใครจะได้ฝัน นั้นไปครอง

สุดแต่ฟ้าที่อยากฝัน จะไปคว้ามัน ไปเลย
ไปเลย หยิบฝันที่มี (ไปเลย ให้ฝันที่มี)
ไปเลย เพื่อฝันที่มี ไปเลย (แค่)(แด่)ฝันที่มี",ebola
สิ่งที่ฉันเป็น,/music/thailyric/6300,"เป็นแค่หนึ่งคนนี้
ที่รู้ดีกับหนทางของใจ
เป็นแค่หนึ่งคนนี้
ที่รู้ตัวว่าไม่ดีเหมือนใคร

อยู่กับความเป็นจริงกับสิ่งที่เป็นไป

เธอก็หนึ่งคนนั้น
ที่หวีงดีให้ชั้นเป็นเหมือนใคร
เธอก็อยู่ตรงนี้
แต่ว่าเราช่างเหมือนไกลแสนไกล

ที่สุดต้องลากัน เจ็บปวดแจ่จำใจ

ขอบคุณที่ครั้งหนึ่งเคยผูกพันได้ร่วมทางกัน จนสุดหนทาง
จากกันวันนี้เธอคงผิดหวังแต่ดีกว่าต้องทรมานกับสิ่งที่ฉันเป็น

ที่สุดต้องลากัน เจ็บปวดแจ่จำใจ

ขอบคุณที่ครั้งหนึ่งเคยผูกพันได้ร่วมทางกัน จนสุดหนทาง
จากกันวันนี้เธอคงผิดหวังแต่ดีกว่าต้องทรมานกับสิ่งที่ฉันเป็น

แล้วจะเข้าใจ",ebola
