song_name,href,lyric,artist
ก็คนมันคิดถึง,/music/thailyric/21762,"อยากตะโกนดังๆ ให้เธอเห็นใจ
เธอจะได้ยินหม้าย ฉันคิดถึงเธอ
ก็คนมันเหงาเดียวดาย มันอยากโทรไปหาเธอ
มันคิดถึงเธอ ไม่รู้อิทำพรือดี

ต้องทนเหงาเดียวดายอีกนานเท่าไร
เธอถึงจะเห็นใจผู้ชายคนนี้
ก็เธอมาเงียบหายไป รู้หม้ายว่าคนทางนี้
ใจคอไม่ดี หวังเหวิดทุกคืนทุกวัน

จากกันไปแสนไกล ไกลสุดตา
ได้แต่พึ่งลมฟ้าให้พาไป
ช่วยพาความคิดถึง ความห่วงใย
อยู่หนใดให้เธอได้รู้

ว่ายังมีคนคิดถึง ยังมีคนห่วงใย
และยังมีความจริงใจให้เธอนะ
กลับมาหากันสักครั้ง ฉันยังคอยและห่วงหา
ฉันสัญญาจะรักและภักดี

จากกันไปแสนไกล ไกลสุดตา
ได้แต่พึ่งลมฟ้าให้พาไป
ช่วยพาความคิดถึง ความห่วงใย
อยู่หนใดให้เธอได้รู้

ว่ายังมีคนคิดถึง ยังมีคนห่วงใย
และยังมีความจริงใจให้เธอนะ
กลับมาหากันสักครั้ง ฉันยังคอยและห่วงหา
ฉันสัญญาจะรักและภักดี

ว่ายังมีคนคิดถึง ยังมีคนห่วงใย
และยังมีความจริงใจให้เธอนะ
กลับมาหากันสักครั้ง ฉันยังคอยและห่วงหา
ฉันสัญญาจะรักและภักดี

ขอสัญญาจะมีแค่เธอคนเดียว",fin
เกลียดแฟนเก่าเธอ,/music/thailyric/12098,"ฉันรู้ ว่าฉันไม่มีเหตุผล
ที่ไปเกลียดใครหนึ่งคน ที่เธอเคยรักกัน
ฉันรู้ ว่าเธอรักฉัน
ขอโทษที่ทำให้เธอนั้น น้อยใจ

ก็รู้ว่ามาที่หลัง แต่เจ็บทุกครั้งที่คิดไปไกล
ก็รู้เขามาก่อนฉัน ไม่ใช่ว่าฉันจะรับไม่ได้
แต่มันเจ็บที่รู้ว่าใจ เธอเคยเสร็จเขาไปแล้ว

มันเกลียดแฟนเก่าของเธอ ที่เขาได้ใจเธอก่อนฉัน
ไม่เข้าใจตัวเองเหมือนกัน รู้ว่าเขาไม่ผิดอะไร
มันเกลียดไม่มีเหตุผล หยุดพูดถึงเขาสักทีได้ไหม
รู้ว่าเธอไม่คิดอะไร แต่ไม่อยากรู้ว่าใคร เคยได้ใจเธอ

ฉันรู้ ว่าฉันไม่ควรทะเลาะ
ไอ้ฉันมันคนบ้าบอ ขอโทษเธอแล้วกัน
ฉันรู้ว่าไม่ควรทำอย่างนั้น
แต่เจ็บเมื่อใครบอกฉัน ว่านั้นคือแฟนเก่าเธอ

ก็รู้ว่ามาที่หลัง แต่เจ็บทุกครั้งที่คิดไปไกล
ก็รู้เขามาก่อนฉัน ไม่ใช่ว่าฉันจะรับไม่ได้
แต่มันเจ็บที่รู้ว่าใจ เธอเคยเสร็จเขาไปแล้ว

มันเกลียดแฟนเก่าของเธอ ที่เขาได้ใจเธอก่อนฉัน
ไม่เข้าใจตัวเองเหมือนกัน รู้ว่าเขาไม่ผิดอะไร
มันเกลียดไม่มีเหตุผล หยุดพูดถึงเขาสักทีได้ไหม
รู้ว่าเธอไม่คิดอะไร แต่ไม่อยากรู้ว่าใคร เคยได้ใจเธอ

ถึงจะไม่ใช่คนแรก แต่ก็ไม่รองเป็นสองใคร
I know I see your eyes เธอมันไม่ใช่คนสองใจ
บางครั้งมันน้อยใจ ที่เธอนั้นเคยเป็นของใคร
เลยเจ็บที่มันต้องคิด พร่ำเพ้อว่าเจอเธอหลังใคร

โอเค ก็บอกว่าโอเค แต่พอเห็นแชทมันเด้ง
มาห่วงมาใย ก็บอกว่าไม่ ฉันโนเวย์
อาจจะดูเป็นแบดบอย ที่ชอบหาเรื่องกับอดีต
ฉันเลยเกลียด และไม่ชอบคนเก่า และไม่อยากให้มันกลับมาอีก

มันเกลียดแฟนเก่าของเธอ ที่เขาได้ใจเธอก่อนฉัน
ไม่เข้าใจตัวเองเหมือนกัน รู้ว่าเขาไม่ผิดอะไร
มันเกลียดไม่มีเหตุผล หยุดพูดถึงเขาสักทีได้ไหม
รู้ว่าเธอไม่คิดอะไร แต่ไม่อยากรู้ว่าใคร เคยได้ใจเธอ

รู้ว่าเธอไม่คิดอะไร แต่ไม่อยากรู้ว่าใคร
เคยเป็นแฟนเธอ",fin
แค่เพียง,/music/thailyric/14814,"แค่เพียงรับรู้ ว่าเธอนั้น
มีใครคนนั้นเข้ามาแทนฉัน
ก็ทำให้ฉัน นั้นมีน้ำตา
ความรักนั้นที่เคยให้ฉัน
เธอแบ่งปันให้เขาคนนั้น ฉันคงต้องลา
ฉันคงไม่ทน ฉันคงไม่ยอมให้เธอทำร้ายใจ
เมื่อเธอมีเขา ก็เอาความรัก
รักที่ฉันเคยให้ไป เอากลับมา

หากเธอหมดรัก หากเหนื่อยนักก็พอแค่นี้
จะเก็บความช้ำเอาไว้ตรงนี้ ที่หยดน้ำตา
ขอให้เธอได้รักกับเขา
และจงลืมความรักของเรา แค่นี้ดีกว่า
ฉันคงไม่ทน ฉันคงไม่ยอมให้เธอทำร้ายใจ
เมื่อเธอมีเขา ก็เอาความรัก
รักที่ฉันเคยให้ไป เอากลับมา

แค่เพียงยอมรับความจริง ว่าเธอต้องทิ้งกันไป
เมื่อเธอหมดใจ เธอก็ไป แล้วจะให้รั้งยังไง
เกิดมาได้พบกัน เกิดมาได้รักกัน
เพียงเท่านี้ โชคดีแค่ไหน
เมื่อเดินมาถึงเวลา ที่เราต้องพรากกัน
จบกันแค่นี้ คงต้องทำใจ
เก็บความรักที่ผ่านมา
เก็บรอยยิ้ม รอยน้ำตา ไว้ตรงนี้
และยอมให้จบกันไป

แค่เพียงทำความเข้าใจ กับรักที่ได้ผ่านพ้นไป
เพียงแค่ได้รัก เพียงแค่ได้รู้จัก
คบกันสักพัก ถ้าไม่รักก็เลิกไป
All you need is love
หากว่าคุณยังมีความลับ
คุณก็กลับไปเถอะครับ
หากคุณไม่เคยรัก ก็อย่ามาพัก
อย่ามาบอกว่ารักหมดใจ ก็ไป
จะไปกับใครก็เชิญ ก็เอาความรักกลับมา
แล้วต่างคนก็ต่างเดิน กันให้เพลิน
ไม่ต้องมาเดินเคียง
เพราะความรัก ไม่ใช่แค่เรื่องบนเตียง
ถ้าหากมันเสี่ยงก็เลิกกันไป
ยอมรับว่าเสียใจ แต่ทำได้แค่เพียง

แค่เพียงยอมรับความจริง ว่าเธอต้องทิ้งกันไป
เมื่อเธอหมดใจ เธอก็ไป แล้วจะให้รั้งยังไง
เกิดมาได้พบกัน เกิดมาได้รักกัน
เพียงเท่านี้ โชคดีแค่ไหน
เมื่อเดินมาถึงเวลา ที่เราต้องพรากกัน
จบกันแค่นี้ คงต้องทำใจ
เก็บความรักที่ผ่านมา
เก็บรอยยิ้ม รอยน้ำตา ไว้ตรงนี้
และยอมให้จบ

แค่เพียงยอมรับความจริง ว่าเธอต้องทิ้งกันไป
เมื่อเธอหมดใจ เธอก็ไป แล้วจะให้รั้งยังไง
เกิดมาได้พบกัน เกิดมาได้รักกัน
เพียงเท่านี้ โชคดีแค่ไหน
เมื่อเดินมาถึงเวลา ที่เราต้องพรากกัน
จบกันแค่นี้ คงต้องทำใจ
เก็บความรักที่ผ่านมา
เก็บรอยยิ้ม รอยน้ำตา ไว้ตรงนี้
และยอมให้จบกันไป

เก็บความรักที่ผ่านมา
เก็บรอยยิ้ม รอยน้ำตา ไว้ตรงนี้
และยอมให้จบกันไป",fin
เชิญ,/music/thailyric/13787,"เรื่องคนเก่า ที่เธอเล่ามา
ว่าดีหนักหนา อย่างโน้นอย่างนี้
ถ้าเขาดีจริง ก็กลับไปหาเขาสิ
ไม่ต้องมีแล้วคำว่าเรา
ฉันเป็นคนใหม่ ปวดใจแทบตาย
ได้แค่กายแต่ใจเธออยู่กับเขา
แค่ที่พักใจ เพียงชั่วคราว
บางเบาไม่มีตัวตน

ก็เธอเคยมีคนที่พร้อมดูแลทุกอย่าง
คนที่เดินร่วมทาง ที่เธอนั้นเคยเลือกไว้
สำหรับฉันเธอนั้นคือลมหายใจ
แต่เธอไม่เคยลบเขาจากใจเธอได้เลย

ถ้าหากว่าเธอไม่ลืมคนเก่าของเธอ
ก็ขอให้เธอกลับไป เอาร่างกายของเธอ
ตามหัวใจ เธอไป
คำตอกย้ำ ยิ่งฟังก็ยิ่งเจ็บ
เธอบอกว่ารัก นั้นกินไม่ได้
ก็กลับไปหาเขาคนนั้น
คนที่เธอนั้นมั่นใจ ว่าเขารักเธอมากกว่าฉัน

ก็เธอเคยมีคนที่พร้อมดูแลทุกอย่าง
คนที่เดินร่วมทาง ที่เธอนั้นเคยเลือกไว้
สำหรับฉันเธอนั้นคือลมหายใจ
แต่เธอไม่เคยลบเขาจากใจเธอได้เลย

ถ้าหากว่าเธอไม่ลืมคนเก่าของเธอ
ก็ขอให้เธอกลับไป เอาร่างกายของเธอ
ตามหัวใจ เธอไป
คำตอกย้ำ ยิ่งฟังก็ยิ่งเจ็บ
เธอบอกว่ารัก นั้นกินไม่ได้
ก็กลับไปหาเขาคนนั้น
คนที่เธอนั้นมั่นใจ ว่าเขารักเธอมากกว่าฉัน

คำหนึ่งคำที่เธอพูดมาทำร้ายกัน
ที่บอกว่าเขานั้นดีกว่าฉัน
เธอพูดอย่างนั้นได้ยังไง
ไอ้คนที่พูดไม่จำหรอก
แต่คนที่ฟังมันจำจนฝัง ใจ

ก็เธอเคยมีคนที่พร้อมดูแลทุกอย่าง
คนที่เดินร่วมทาง ที่เธอนั้นเคยเลือกไว้
สำหรับฉันเธอนั้นคือลมหายใจ
แต่เธอไม่เคยลบเขาจากใจเธอได้เลย

ถ้าหากว่าเธอไม่ลืมคนเก่าของเธอ
ก็ขอให้เธอกลับไป เอาร่างกายของเธอ
ตามหัวใจ เธอไป
คำตอกย้ำ ยิ่งฟังก็ยิ่งเจ็บ
เธอบอกว่ารัก นั้นกินไม่ได้
ก็กลับไปหาเขาคนนั้น
คนที่เธอนั้นมั่นใจ ว่าเขารักเธอมากกว่าฉัน

ถ้าหากว่าเธอไม่ลืมคนเก่าของเธอ
ก็ขอให้เธอกลับไป เอาร่างกายของเธอ
ตามหัวใจ เธอไป
คำตอกย้ำ ยิ่งฟังก็ยิ่งเจ็บ
เธอบอกว่ารัก นั้นกินไม่ได้
ก็กลับไปหาเขาคนนั้น
คนที่เธอนั้นมั่นใจ ว่าเขารักเธอมากกว่าฉัน
เชิญ",fin
นรกก็แค่ชื่อน้ำพริก,/music/thailyric/18973,"ต้องหลบต้องซ่อนแบบนี้
ต้องแอบคุยกันแบบนี้
ต้องคอยระแวงแบบนี้ อีกนานแค่ไหน

เมื่อไรจะเลิกกับเขา เมื่อไรจะมีแค่เรา
ไม่อยากจะทนกับความเหงา
คนเหงามันทรมาน

รู้ก็รู้ว่ารักครั้งนี้มันผิดศีลธรรม
แต่ฉันไม่กลัวบาปกรรมอะไรทั้งนั้น

อยากให้เธอกับเขา พบกับความปวดร้าว
แล้วก็มีแค่เรา ไม่มีเขาที่เธอผูกพัน
ให้เธอเลิกกับเขา แล้วมาเอากับฉัน
ตกนรกช่างมัน ให้ใจมันขึ้นสวรรค์ก็พอ
ขอยมบาลได้โปรดเข้าใจ

ผิดเต็มๆ ก็รู้ แต่ไม่อยากเป็นชู้
อยากให้โลกได้รู้ ไอ้คนเป็นชู้มันทรมาน

รู้ก็รู้ว่ารักครั้งนี้มันผิดศีลธรรม
แต่ฉันไม่กลัวบาปกรรมอะไรทั้งนั้น

อยากให้เธอกับเขา พบกับความปวดร้าว
แล้วก็มีแค่เรา ไม่มีเขาที่เธอผูกพัน
ให้เธอเลิกกับเขา แล้วมาเอากับฉัน
ตกนรกช่างมัน ให้ใจมันขึ้นสวรรค์ก็พอ
ขอยมบาลได้โปรดเข้าใจ

แม้จะปีนต้นงิ้ว ก็ไม่เป็นไร
ใครจะมองว่ามันไม่ดี
แต่ฉันจะขอทำตามหัวใจ
ไม่ผิดใช่ไหม

รู้ก็รู้ว่ารักครั้งนี้มันผิดศีลธรรม
แต่ฉันไม่กลัวบาปกรรมอะไรทั้งนั้น

อยากให้เธอกับเขา พบกับความปวดร้าว
แล้วก็มีแค่เรา ไม่มีเขาที่เธอผูกพัน
ให้เธอเลิกกับเขา แล้วมาเอากับฉัน
ตกนรกช่างมัน ให้ใจมันขึ้นสวรรค์ก็พอ

อยากให้เธอกับเขา พบกับความปวดร้าว
แล้วก็มีแค่เรา ไม่มีเขาที่เธอผูกพัน
ให้เธอเลิกกับเขา แล้วมาเอากับฉัน
ตกนรกช่างมัน ให้ใจมันขึ้นสวรรค์ก็พอ
ขอยมบาลได้โปรดเข้าใจ",fin
นางฟ้าไม่สาไหร,/music/thailyric/21535,"แลคนอย่าแลที่หน้าตา คนสวยใช้ว่าจะจริงใจ
รูปลักษณ์ภายนอกน้องอยู่สวยเกือบตาย
แต่ข้างในใครเล่าจะรู้

ตั้งแต่วันที่เธอเดินเข้ามา คิดว่าใช่สุดท้ายก็ลงคู
เธอทํากับฉันเหมือนหมาเหมือนหมู
นั่งคิดดูแล้วมันเจ็บใจ

ไปรักได้พรือผู้หญิงเหมือนเธอ ฉันมันเบลอโง่อยู่ตั้งนาน
ใครก็เตือนแต่ฉันยังดื้อดัน จนมาถึงวันที่ฉันต้องเจ็บหัวใจ

เธอเหมืองนางฟ้าแต่เธอไม่สาไหร อยู่กันไปใจก็ทรมาน
คบกันไปเธอก็ไม่เห็นหัวฉัน ทําเหมือนฉันไม่มีตัวตน
เธอคิดว่าสวยแล้วเลือกได้ใช่ม่าย ไปตะไป ไปเลือกใครสักคน
ฉันอยากรู้ว่าใครเขาอิทน ทนกับคนเหมือนเธอ

ไปรักได้พรือผู้หญิงเหมือนเธอ ฉันมันเบลอโง่อยู่ตั้งนาน
ใครก็เตือนแต่ฉันยังดื้อดัน จนมาถึงวันที่ฉันต้องเจ็บหัวใจ

เธอเหมืองนางฟ้าแต่เธอไม่สาไหร อยู่กันไปใจก็ทรมาน
คบกันไปเธอก็ไม่เห็นหัวฉัน ทําเหมือนฉันไม่มีตัวตน
เธอคิดว่าสวยแล้วเลือกได้ใช่ม่าย ไปตะไป ไปเลือกใครสักคน
ฉันอยากรู้ว่าใครเขาอิทน ทนกับคนเหมือนเธอ

เธอเหมืองนางฟ้าแต่เธอไม่สาไหร อยู่กันไปใจก็ทรมาน
คบกันไปเธอก็ไม่เห็นหัวฉัน ทําเหมือนฉันไม่มีตัวตน
เธอคิดว่าสวยแล้วเลือกได้ใช่ม่าย ไปตะไป ไปเลือกใครสักคน
ฉันอยากรู้ว่าใครเขาอิทน ทนกับคนเหมือนเธอ

ฉันอยากรู้ว่าใครเขาอิทน แต่คนเหมือนฉันไม่เอาแล้ว",fin
นางอะไร,/music/thailyric/21499,"ใครกันเล่ามาทำให้ฉันรัก ใครกันเล่ามาทำให้ฉันหลง
ถ้าไม่ใช่เธอตัวฉันก็คงไม่เป็นแบบนี้
หลอกกันมานานแล้วใช่หม้าย เธอมีใครคนนั้นที่มาก่อนฉัน
ตบตากันมาได้ตั้งนานช่างแนบเนียนเหลือเกิน

ยกให้เธอนั้นเป็นนางฟ้า แล้วเธอเห็นค่ามันเป็นอย่างไร
ถึงคิดจะทำอะไรกับฉันก็ได้ฉันมีหัวใจนะเธอ
เคยฟังแต่ในนิยาย ไม่เคยคิดว่ามันจะมีอยู่จริง
จนได้มาเจอกับเธอแม่หญิง สองใจ

หลอกกันไซร้ หกกันไซร้ ว่าเธอนั้นไม่มีใคร
มารู้ตอนนี้มันสายเกินไป เมื่อฉันต้องกลายเป็นผู้แพ้
หลอกกันไซร้ หกฉันไซร้ ถ้าใจเธอนั้นไม่แคร์
มารู้ตอนนี้มันรู้สึกแย่ เมื่อรู้ว่าเธอมาตอแหลมาหลอกกัน โอ๊ย

นางวันทองสองใจ นางโมราฆ่าผัว
นางกากีที่เขาว่าชั่วต้องหลีกทางให้เธอ
อยู่กับฉันมาตั้งนาน มาหลอกกันให้ฉันเสียใจ
ที่ฉันเรียกเธอว่านางอะไร ช่วยตอบฉันที

หลอกกันไซร้ หกกันไซร้ ว่าเธอนั้นไม่มีใคร
มารู้ตอนนี้มันสายเกินไป เมื่อฉันต้องกลายเป็นผู้แพ้
หลอกกันไซร้ หกฉันไซร้ ถ้าใจเธอนั้นไม่แคร์
มารู้ตอนนี้มันรู้สึกแย่ เมื่อรู้ว่าเธอมาตอแหลมาหลอกกัน โอ๊ย

นางวันทองสองใจ นางโมราฆ่าผัว
นางกากีที่เขาว่าชั่วต้องหลีกทางให้เธอ
อยู่กับฉันมาตั้งนาน มาหลอกกันให้ฉันเสียใจ
ที่ฉันเรียกเธอว่านางอะไร ช่วยตอบฉันที

ให้เรียกนางวันทองสองใจ นางโมราฆ่าผัว
นางกากีที่เขาว่าชั่วต้องหลีกทางให้เธอ
อยู่กับฉันมาตั้งนาน มาหลอกกันให้ฉันเสียใจ
ที่ฉันเรียกเธอว่านางอะไร ช่วยตอบฉันที

ให้ฉันเรียกเธอว่านางอะไร ใครก็ได้ช่วยตอบฉันที",fin
แฟนหยบๆ,/music/thailyric/21525,"หวั่นไหวทุกครั้งที่เจอหน้ากัน
บ่งบอกว่าฉันคนนี้ไม่มีความหมาย
หลงใหลแค่เพียงอารมณ์ เสพสมแค่เพียงร่างกาย
รอให้เธอหยิบยื่นมาให้ เพราะฉันไม่ใช่ตัวจริง

เป็นแฟนแค่ชั่วคราว
ไม่อาจจะเอาอะไรให้มากกว่านั้น
รู้ดีว่าตัวฉันเป็นเพียงส่วนเกินของหัวใจ

เป็นแฟนหยบๆ ที่เธอแอบคบไว้คลายเหงา
ไม่อาจเทียบเท่าตัวจริงของเธอหรอกหนา
เป็นแฟนหยบๆ ที่เธอแอบคบสนองตัณหา
เสร็จสมคงไร้ค่า เป็นแค่แฟนชั่วคราวของเธอ
ตอนเขาเผลอแล้วเธอมาเจอฉัน

หวั่นไหวทุกครั้งที่เจอหน้ากัน
บ่งบอกว่าฉันคนนี้ไม่มีความหมาย
หลงใหลแค่เสี้ยวอารมณ์ เสร็จสมเธอก็จากไป
มีค่าตอนเธอเหงาใจเท่านั้นเอง

เป็นแฟนแค่ชั่วคราว
ไม่อาจจะเอาอะไรให้มากกว่านั้น
รู้ดีว่าตัวฉันเป็นเพียงส่วนเกินของหัวใจ

เป็นแฟนหยบๆ ที่เธอแอบคบไว้คลายเหงา
ไม่อาจเทียบเท่าตัวจริงของเธอหรอกหนา
เป็นแฟนหยบๆ ที่เธอแอบคบสนองตัณหา
เสร็จสมคงไร้ค่า เป็นแค่แฟนชั่วคราวของเธอ

เป็นแฟนหยบๆ ที่เธอแอบคบไว้คลายเหงา
ไม่อาจเทียบเท่าตัวจริงของเธอหรอกหนา
เป็นแฟนหยบๆ ที่เธอแอบคบสนองตัณหา
เสร็จสมคงไร้ค่า เป็นแค่แฟนชั่วคราวของเธอ
ตอนเขาเผลอแล้วเธอมาเจอฉัน",fin
ไม่นานก็ชิน,/music/thailyric/20704,"บอกตัวเองไม่ต้องเสียใจ
กับคนที่มันไม่เคยจะห่วงใย
ว่าเราจะเป็นจะตายไม่เคยสน

เก็บอาการเอาไว้ข้างใน
ไม่ให้ใครรู้ว่าใจมันร้อนรน
เหมือนคนไม่มีวิญญาณ

แม้ว่าความเจ็บช้ำ จะกัดกินฉัน
ความเจ็บเหล่านั้น ไม่เคยจาง
ฉันต้องอยู่ให้ไหว ต้องเดินต่อไป
แม้ไม่มีเธอ

แผลในใจ จะลึกเพียงใด
เจ็บแต่ไม่ถึงตาย อีกไม่นานก็ชิน
น้ำในตา หยุดไหลวันใด
บอกตัวเองให้จำ อย่าไปรักกับใคร
ถ้าใจของเราไม่เข้มแข็งพอ

บอก ตัวเองต้องอยู่ให้ไหว
แม้ต้องเดินคนเดียวตลอดไป
ไม่เป็นไร ก็แค่รักตัวเอง

แม้ว่าความเจ็บช้ำ จะกัดกินฉัน
ความเจ็บเหล่านั้น ไม่เคยจาง
ฉันต้องอยู่ให้ไหว ต้องเดินต่อไป
แม้ไม่มีเธอ

แผลในใจ จะลึกเพียงใด
เจ็บแต่ไม่ถึงตาย อีกไม่นานก็ชิน
น้ำในตา หยุดไหลวันใด
บอกตัวเองให้จำ อย่าไปรักกับใคร
ถ้าใจของเราไม่เข้มแข็งพอ

แม้ว่าความเจ็บช้ำ จะกัดกินฉัน
ความเจ็บเหล่านั้น ไม่เคยจาง
ฉันต้องอยู่ให้ไหว ต้องเดินต่อไป
แม้ไม่มีเธอ

แผลในใจ จะลึกเพียงใด
เจ็บแต่ไม่ถึงตาย อีกไม่นานก็ชิน
น้ำในตา หยุดไหลวันใด
บอกตัวเองให้จำ อย่าไปรักกับใคร
ถ้าใจของเราไม่เข้มแข็งพอ

แผลในใจ จะลึกเพียงใด
เจ็บแต่ไม่ถึงตาย อีกไม่นานก็ชิน
น้ำในตา หยุดไหลวันใด
บอกตัวเองให้จำ อย่าไปรักกับใคร
ถ้าใจของเราไม่เข้มแข็งพอ",fin
เศร้า,/music/thailyric/21315,"ภาพเธอจับมือเขาแล้วเธอเดินจากไป
มันยังติดตาฉันไม่ลบเลือนจากใจ
ค่ำคืนที่เหน็บหนาวแล้วเธอนอนกอดใคร
คิดไปไกลเหลือเกิน

คนที่เคยคิดว่าหวังดี
กลายเป็นคนที่ไม่รักดี
คบกันมานานตั้งหลายปี
ได้มาแค่คำว่าโชคดี
ฉันยังไม่เข้าใจ ทำแบบนี้ได้ไงหะเธอ

มีเหตุผลมากมาย ที่อยากจะรั้งเธอไว้
แต่เธอก็มีเหตุผลมากมาย
ที่เธอนั้นอยากจะไป ฉันมันไม่มีอนาคต
มีแต่ความจริงใจ เลยไม่มีใครคบ
ก็เป็นธรรมดาที่เธอบอกบัดซบ
ก็เลยเดินจากไป ทั้งที่ไม่ครบยก

ภาพเธอจับมือเขาแล้วเธอเดินจากไป
มันยังติดตาฉันไม่ลบเลือนจากใจ
ค่ำคืนที่เหน็บหนาวแล้วเธอนอนกอดใคร
คิดไปไกลเหลือเกิน

อยากสบตาอีกครั้งเหมือนดังที่ผ่านมา
อยากกอดเธอเอาไว้ทั้งคืนจนตื่นมา
แต่สุดจะดึงจะรั้งให้เธอย้อนกลับมา
ทำได้เพียงร้องไห้

ภาพเธอจับมือเขาแล้วเธอเดินจากไป
มันยังติดตาฉันไม่ลบเลือนจากใจ
ค่ำคืนที่เหน็บหนาวแล้วเธอนอนกอดใคร
คิดไปไกลเหลือเกิน

อยากสบตาอีกครั้งเหมือนดังที่ผ่านมา
อยากกอดเธอเอาไว้ทั้งคืนจนตื่นมา
แต่สุดจะดึงจะรั้งให้เธอย้อนกลับมา
ทำได้เพียงร้องไห้

แม้นในบางครา ฉันจะร้ายดุจพญายักษ์
แต่รักเธอคนเดียวให้ความจริงเป็นพยานรัก
เธอไปบอกใครต่อใครว่าฉันทำตัวไม่น่ารัก
โอ้ที่รัก มันเจ็บนัก เมื่อรักมาจากไป

คนที่เคยคิดว่าหวังดี
กลายเป็นคนที่ไม่รักดี
คบกันมานานตั้งหลายปี
ได้มาแค่คำว่าโชคดี
ฉันยังไม่เข้าใจ ทำแบบนี้ได้ไงหะเธอ

ภาพเธอจับมือเขาแล้วเธอเดินจากไป
มันยังติดตาฉันไม่ลบเลือนจากใจ
ค่ำคืนที่เหน็บหนาวแล้วเธอนอนกอดใคร
คิดไปไกลเหลือเกิน

อยากสบตาอีกครั้งเหมือนดังที่ผ่านมา
อยากกอดเธอเอาไว้ทั้งคืนจนตื่นมา
แต่สุดจะดึงจะรั้งให้เธอย้อนกลับมา
ทำได้เพียงร้องไห้

ถึงแม้ว่าฉันมันหน้าตาไม่ดีนัก
แต่ก็รักเธอคนเดียวไม่เคยพัก
ไม่เคยคิดนอกใจเธอไม่เคยเผลอเลยสักครั้ง
นี่ก็ยังไม่เข้าใจว่าทำไมเธอไม่รัก

และก็ไม่ได้มาทักและมาทวงคำสัญญา
แค่อยากรู้ ว่าเธอรักฉันบ้างไหมที่ผ่านมา
ให้ความรักเธอทั้งใจเธอไม่เคยปรารถนา
หรือที่เธอนั้นต้องการ คือรถบ้านและเงินตรา

คนที่เคยคิดว่าหวังดี
กลายเป็นคนที่ไม่รักดี
คบกันมานานตั้งหลายปี
ได้มาแค่คำว่าโชคดี
ฉันยังไม่เข้าใจ ทำแบบนี้ได้ไงหะเธอ

ภาพเธอจับมือเขาแล้วเธอเดินจากไป
มันยังติดตาฉันไม่ลบเลือนจากใจ
ค่ำคืนที่เหน็บหนาวแล้วเธอนอนกอดใคร
คิดไปไกลเหลือเกิน

อยากสบตาอีกครั้งเหมือนดังที่ผ่านมา
อยากกอดเธอเอาไว้ทั้งคืนจนตื่นมา
แต่สุดจะดึงจะรั้งให้เธอย้อนกลับมา
ทำได้เพียงร้องไห้",fin
