song_name,href,lyric,artist
ได้ยินไหมคำว่ารัก,/music/thailyric/9967,"ไม่ว่าวันเวลาหมุนเปลี่ยนแค่ไหน
ไม่ว่าเจอเรื่องร้ายดีสักเท่าไร
เธอคือคนเดียวที่ไม่เคยหายไป
เธอได้ทำให้ฉันรู้สึกเสมอ

ว่ามีเธอก็เหมือนมีพร้อมทุกสิ่ง
ขอบคุณจริงจริงที่อยู่ตรงนี้ข้างใจ
คำบางคำอาจพูดไม่บ่อย
หรือฉันอาจดูเฉยชา แต่อยากให้รู้ให้ฟังเอาไว้

ได้ยินไหมว่าฉันรักเธอ
ได้ยินไหมหนึ่งคำว่ารัก รักเธอที่สุด
เธอเปรียบเหมือนดังลมหายใจ
เธอรู้ไหมว่าทุกวัน ทุกนาทีที่มีเธอนั้นสำคัญแค่ไหน
เธอทำให้คนคนนี้มีความสุขจนล้นใจ เมื่อได้มีเธอ

ไม่ว่าวันเวลาหมุนเปลี่ยนยังไง
ใจของฉันจะรักเธอไม่มีเปลี่ยน
เพราะเธอได้เขียน คำว่ารักบนหัวใจ

คำบางคำอาจพูดไม่บ่อย
หรือฉันอาจดูเฉยชา
แต่อยากให้รู้ให้ฟังเอาไว้

ได้ยินไหมว่าฉันรักเธอ
ได้ยินไหมหนึ่งคำว่ารัก รักเธอที่สุด
เธอเปรียบเหมือนดังลมหายใจ
เธอรู้ไหมว่าทุกวัน ทุกนาทีที่มีเธอนั้นสำคัญแค่ไหน
เธอทำให้คนคนนี้ มีความสุขจนล้นใจ เมื่อได้มีเธอ

ได้ยินไหมว่าฉันรักเธอ
ได้ยินไหมหนึ่งคำว่ารัก รักเธอที่สุด
เธอเปรียบเหมือนดังลมหายใจ
(ได้ยินไหมว่าฉันรักเธอ
ได้ยินไหมหนึ่งคำว่ารัก รักเธอที่สุด
เธอเปรียบเหมือนดังลมหายใจ)
เธอรู้ไหมว่าทุกวัน ทุกนาทีที่มีเธอนั้นสำคัญแค่ไหน
เธอทำให้คนคนนี้ มีความสุขจนล้นใจ เมื่อได้มีเธอ",gam_wichayanee
มีแค่หัวใจ,/music/thailyric/313,"ฉันคงไม่กล้า ที่จะไขว่คว้าให้ได้เธอมา
เพราะรู้ตัวดี ฉันไม่มีค่าเพียงพอ
ขอแค่เฝ้าดู โดยไม่อาจหวังจะให้เธอมอง
แค่รักในใจก็มากเกินพอ ไม่ขอมากไป

เก็บอาการเอาไว้ เมื่อพบเธอ
ท่องจำอยู่เสมอ ทุกเวลา
แม้จะปวดใจแค่ไหนก็ตาม
ต้องทนให้ไหว

มีแค่หัวใจ มันจะมีค่าอะไร
ไม่มีสิ่งไหนจะเทียบจะเทียมเท่ากับใครเขาได้
อยากบอกว่ารักเหลือเกิน
ก็คงต้องทนเก็บไว้ เก็บไว้ให้ไกลทั้งที่ใจก็รักเธอ

เสียใจทุกที ที่ไม่อาจพูดความจริงในใจ
แต่ไม่เป็นไร ยอมแพ้ใครๆ ดีกว่า
เพราะเท่าที่มี มีแต่ใจนี้ที่ไร้ราคา
แลกได้แค่เพียงคำว่าทำใจ กับคำว่าลืมเธอ

เก็บอาการเอาไว้ เมื่อพบเธอ
ท่องจำอยู่เสมอ ทุกเวลา
แม้จะปวดใจแค่ไหนก็ตาม
ต้องทนให้ไหว

มีแค่หัวใจ มันจะมีค่าอะไร
ไม่มีสิ่งไหนจะเทียบจะเทียมเท่ากับใครเขาได้
อยากบอกว่ารักเหลือเกิน
ก็คงต้องทนเก็บไว้ เก็บไว้ให้ไกลทั้งที่ใจก็รักเธอ

มีแค่หัวใจ มันจะมีค่าอะไร
ไม่มีสิ่งไหนจะเทียบจะเทียมเท่ากับใครเขาได้
อยากบอกว่ารักเหลือเกิน
ก็คงต้องทนเก็บไว้ เก็บไว้ให้ไกลทั้งที่ใจก็รักเธอ",gam_wichayanee
แล้วฉันจะรักเธอได้อย่างไร,/music/thailyric/318,"เราเจอกันเพราะคู่กัน หรือกรรมแต่ชาติไหน
มาเจอคนที่ฝันไว้ แต่ใยกลับเกินเอื้อมมือ
มาเจอเธอให้ชื่นใจ แล้วช้ำกลับไปนะหรือ
ทางที่ดีก็คือ เราต้องเจียมหัวใจ

เหมือนดังแก้วกับหิน
ดินกับดาว ไม่มีวันจะเท่าทัน
ฉันคงเป็นอะไรที่ต้อยต่ำ
ย้ำตัวเองให้ฟังเหตุผลและความจริง

ว่าฉันจะรักเธอได้อย่างไร เมื่อใจรู้ดีว่าดีไม่พอ
ไม่อาจขอ แม้เพียงให้เธอสนใจ

แล้วฉันจะรักเธอได้อย่างไร
ยิ่งคอยถามใจ ก็ยิ่งว่างเปล่าเรื่อยไป
ฉันควรจะหยุดใช่ไหม
หรือควรจะเก็บเธอไว้ รักเพียงในใจ

เหมือนดังแก้วกับหิน
ดินกับดาว ไม่มีวันจะเท่าทัน
ฉันคงเป็นอะไรที่ต้อยต่ำ
ย้ำตัวเองให้ฟังเหตุผลและความจริง

ว่าฉันจะรักเธอได้อย่างไร เมื่อใจรู้ดีว่าดีไม่พอ
ไม่อาจขอ แม้เพียงให้เธอสนใจ

แล้วฉันจะรักเธอได้อย่างไร
ยิ่งคอยถามใจ ก็ยิ่งว่างเปล่าเรื่อยไป
ฉันควรจะหยุดใช่ไหม
หรือควรจะเก็บเธอไว้ รักเพียงในใจ

เธอเป็นคนแรกที่สอนให้ฉันรู้จักรัก
เธอเป็นคนแรกที่ทำให้ฉันได้เข้าใจ
เธอเป็นคนแรกที่ทำให้รู้ว่า
การรักใครข้างเดียวมันเจ็บเพียงไหน

ก็ฉันจะรักเธอได้อย่างไร เมื่อใจรู้ดีว่าดีไม่พอ
ไม่อาจขอ แม้เพียงให้เธอสนใจ

แล้วฉันจะรักเธอได้อย่างไร
ยิ่งคอยถามใจ ก็ยิ่งว่างเปล่าเรื่อยไป
ฉันควรจะหยุดใช่ไหม
หรือควรจะเก็บเธอไว้ รักเพียงในใจ",gam_wichayanee
คนที่ใช่ก็ไม่รัก คนที่รักก็ไม่ใช่,/music/thailyric/307,"ฉันมีเธอที่ฉันรักมาก แต่เธอไม่เคยใส่ใจ
ทำไมฉันเลิกรักเธอไม่ได้เลย
และเมื่อพบคนที่รักฉันมาก ห่วงใยและคอยเข้าใจ
ทำไมฉันจึงไม่อาจรักเขาได้เลย

ทำอย่างไร เมื่อรักมันเป็นอย่างนี้
มีสองทางต้องตัดสินใจ

คนที่ใช่เขาก็ไม่รักเรา คนที่รักเขาก็ไม่ใช่
บอกหน่อย คนกลางอย่างฉันต้องทำยังไง
จะช้าเร็วต้องเจอกับวันนั้น
ฉันคือคนตัดสินใจ แต่แล้วจะเลือกใคร
สุดท้ายคนปวดใจก็คือฉัน

ถ้าทุกคนเลือกความรักได้
เราคงเลือกคนที่รัก
ให้เขารักเราก็จบอย่างสวยงาม

แต่เพราะทุกคนเลือกรักไม่ได้
สุดท้ายรักจึงเลือกเรา
แกล้งคนให้เศร้าให้เจ็บทรมาน

ทำอย่างไร เมื่อรักมันเป็นอย่างนี้
มีสองทางต้องตัดสินใจ

คนที่ใช่เขาก็ไม่รักเรา คนที่รักเขาก็ไม่ใช่
บอกหน่อย คนกลางอย่างฉันต้องทำยังไง
จะช้าเร็วต้องเจอกับวันนั้น
ฉันคือคนตัดสินใจ แต่แล้วจะเลือกใคร
สุดท้ายคนปวดใจก็คือฉัน

คนที่ใช่เขาก็ไม่รักเรา คนที่รักเขาก็ไม่ใช่
บอกหน่อย คนกลางอย่างฉันต้องทำยังไง
จะช้าเร็วต้องเจอกับวันนั้น
ฉันคือคนตัดสินใจ แต่แล้วจะเลือกใคร
สุดท้ายคนปวดใจก็คือฉัน",gam_wichayanee
ใช่ที่สุด หยุดที่เธอ,/music/thailyric/8434,"ถ้าเราหาคนที่ดีที่สุด
ก็คงไม่รู้จะต้องหยุดเมื่อไหร่
ต่างคงเจอคนดีกว่าเรื่อยไป
เมื่อไหร่ใจจะได้พบเจอปลายทาง

ใครจะหาคนที่ดีมากพอ
ฉันว่าเรารอคนพอดีมากกว่า
เมื่อเราเจอกัน รู้จักพูดจา
ก็เติมเต็มคำว่ารักในช่องว่าง

เธอทำให้ตอนเช้านั้นน่าตื่น
และทำให้กลางคืนนั้นน่านอน
ช่วงเวลาที่มีต่อจากนี้ทุกๆ ตอน
อยากฝากชีวิตไว้กับเธอ

เพราะเธอใช่ที่สุด หยุดตรงนี้ที่เธอ
เพราะเธอช่วยให้เจอ ว่ารักสวยงามแค่ไหน
ไม่ต้องดีที่สุด ใช่ก็หยุดทั้งหัวใจ
ถ้าหากว่าความรักฉันคือคำถาม
เธอเท่านั้นคือคำตอบ

เธอดีเกินกว่าที่เคยฝันใฝ่
เพียงแค่มีเธอก็อุ่นใจมากพอ
นี่แหละคือคนที่ใจเฝ้ารอ
ได้เจอแล้วเงาอีกครึ่งที่หายไป

เธอทำให้ตอนเช้านั้นน่าตื่น
และทำให้กลางคืนนั้นน่านอน
ช่วงเวลาที่มีต่อจากนี้ทุกๆ ตอน
อยากฝากชีวิตไว้กับเธอ

เพราะเธอใช่ที่สุด หยุดตรงนี้ที่เธอ
เพราะเธอช่วยให้เจอ ว่ารักสวยงามแค่ไหน
ไม่ต้องดีที่สุด ใช่ก็หยุดทั้งหัวใจ
ถ้าหากว่าความรักฉันคือคำถาม
เธอเท่านั้นคือคำตอบ

เพราะเธอใช่ที่สุด หยุดตรงนี้ที่เธอ
เพราะเธอช่วยให้เจอ ว่ารักสวยงามแค่ไหน
ไม่ต้องดีที่สุด ใช่ ก็หยุดทั้งหัวใจ
เธอเท่านั้นคือคำตอบ เธอคือคำตอบ",gam_wichayanee
เบบี อิตส์ ยู (Baby It's You),/music/thailyric/8351,"ใครจะเข้ามาเติมหัวใจให้เต็ม
มาเป็นอีกครึ่งนึงของลมหายใจ
วาดภาพเอาไว้ เฝ้ารอสบตา

ใครจะมอบรักแท้ไม่ทิ้งกันไป
ให้กำลังใจฉันทุกวันเวลา
เพ้อคอยเรื่อยมา เนิ่นนานเท่าไร

รอคนในฝันจนมองผ่านคนในความจริง
มัวมองแต่รักไกลๆ จนลืมดูใกล้ตัว
นาทีนี้ ฉันหันไปและเห็นเธออยู่
อยู่ตรงนี้โดยไม่มีข้อแม้

Baby, its you รู้แล้วเธอคือคนนั้น
คนเดียวที่ห่วงใยฉัน
คนใกล้ที่เป็นรักแท้

Baby, its you ขอบคุณนะที่คอยดูแล
วันนี้ฉันขอบอกเธอว่าแคร์
เธอตอบโจทย์ของใจ ฉันหมดทุกคำ

รอคนในฝันจนมองผ่านคนในความจริง
มัวมองแต่รักไกลๆ จนลืมดูใกล้ตัว
นาทีนี้ฉันหันไปและเห็นเธออยู่
อยู่ตรงนี้โดยไม่มีข้อแม้

Baby, its you รู้แล้วเธอคือคนนั้น
คนเดียวที่ห่วงใยฉัน
คนใกล้ที่เป็นรักแท้

Baby, its you ขอบคุณนะที่คอยดูแล
วันนี้ฉันขอบอกเธอว่าแคร์
เธอตอบโจทย์ของใจ ฉันหมดทุกคำ
รู้แล้วเธอคือคนนั้น
คนนั้น คนเดียวในใจของฉัน

ขอบคุณนะที่คอยดูแล
วันนี้ฉันขอบอกเธอว่าแคร์
เธอตอบโจทย์ของใจ ฉันหมดทุกคำ",gam_wichayanee
มหันตภัย,/music/thailyric/8470,"ไม่รู้เมื่อไร ไม่รู้เมื่อไรที่ชีวิตฉันจะดีสักที
ไม่ต้องเงียบเหงาอย่างนี้
ไม่รู้เมื่อไร ไม่รู้ว่ามรสุมนี้มันจะผ่านพ้นไปเสียที
เจ็บปวดรวดร้าวเหลือเกิน

ไม่โทษใคร ไม่ได้โทษฟ้าดิน
ที่ฉันเดียวดายอ้างว้าง
โทษตัวเอง ต้องโทษตัวเอง
ที่ทําผิด จนต้องทําให้เธอจากไปครั้งนี้

จะมีชีวิตยังไง เมื่อไม่มีใครตรงนี้สักคน
จะเดินไปยังไง อยู่ไปยังไง เมื่อไม่มีเธอ
นี่คือการเดินทางสู่อันตราย
สู่มหันตภัยเลวร้าย

ฉันจะมีชีวิตต่อไปยังไง
ฉันจะมีชีวิตนี้ไปเพื่อใคร

ไม่รู้เมื่อไร ไม่รู้เมื่อไรที่ฉันจะลุกขึ้นได้สักที
มันเหมือนคนใจสลาย
ไม่รู้เมื่อไร ไม่รู้ว่านานแค่ไหนนํ้าตาฉันมันจะแห้งหายไป
โดดเดี่ยวเดียวดายเหลือเกิน

อยากให้รู้ อยากให้รู้เหลือเกิน
ว่าฉันเสียใจแค่ไหน
โทษตัวเอง ต้องโทษตัวเอง
ที่ทําผิด จนต้องทําให้เธอจากไปครั้งนี้

จะมีชีวิตยังไง เมื่อไม่มีใครตรงนี้สักคน
จะเดินไปยังไง อยู่ไปยังไง เมื่อไม่มีเธอ
นี่คือการเดินทางสู่อันตราย
สู่มหันตภัยเลวร้าย

ฉันจะมีชีวิตต่อไปยังไง
ฉันจะมีชีวิตนี้ไปเพื่อใคร

ฉันจะมีลมหายใจ
หายใจไปทําไม",gam_wichayanee
รักคือการให้,/music/thailyric/316,"เพราะเชื่อในนิยาม รักแท้จริงคือการให้กัน
จึงทุ่มเททำให้เธอทั้งใจ พร้อมให้เธอทุกอย่าง
เพราะคิดเองว่าเธอเข้าใจ คำว่ารักนี้ตรงกัน

ให้คนรักได้ทุกสิ่ง พูดความจริงหมดทุกอย่าง
แต่มันยิ่งกว่าความผิดหวัง ที่เธอมอบให้มา

(รักคือการให้) ให้คำว่ารักไป
(รักคือการให้) เธอกลับให้คำว่าเจ็บ
ให้คำพูดให้ฉันเชื่อใจ แต่ไปกับใครทุกวัน

(รักคือการให้) ให้เธอมากมายเท่าไร
(รักคือการให้) ให้เธอหลอกฉัน
รักฉันให้ใจจริงกับเธอ ขอแค่ความจริงใจกับฉัน
ยังให้กันไม่ได้เลย

ไม่คิดโทษเธอหรอก เพราะฉันเองที่มองพลาดไป
วันนี้จะให้เธออีกสักอย่าง ให้ช่วยไปสักที
ขอให้มีเส้นทางสวยงาม และอย่าทำร้ายใครเขาอีก

ทำให้เขามีความสุข พูดความจริงหมดทุกอย่าง
ส่วนฉันขอแค่ความผิดหวัง ที่เธอมอบให้มา

(รักคือการให้) ให้คำว่ารักไป
(รักคือการให้) เธอกลับให้คำว่าเจ็บ
ให้คำพูดให้ฉันเชื่อใจ แต่ไปกับใครทุกวัน

(รักคือการให้) ให้เธอมากมายเท่าไร
(รักคือการให้) ให้เธอหลอกฉัน
รักฉันให้ใจจริงกับเธอ ขอแค่ความจริงใจกับฉัน
ยังให้กันไม่ได้เลย

ก็ไม่รู้จะเชื่อนิยามความรักได้อีกไหม
และไม่รู้จะกลัวรักไปอีกนานแค่ไหน

(รักคือการให้) ให้คำว่ารักไป
(รักคือการให้) เธอกลับให้คำว่าเจ็บ
ให้คำพูดให้ฉันเชื่อใจ แต่ไปกับใครทุกวัน

(รักคือการให้) ให้เธอมากมายเท่าไร
(รักคือการให้) ให้เธอหลอกฉัน
รักฉันให้ใจจริงกับเธอ ขอแค่ความจริงใจกับฉัน
ยังให้กันไม่ได้เลย",gam_wichayanee
หน้า 113,/music/thailyric/8442,"ชีวิตถ้าเหมือนนิยายเล่มหนึ่ง
เปิดอ่านมาถึงตอนเราพบกัน
หน้าร้อยสิบสามที่เรารักกัน
ไม่อยากจะพลิกมันไปไหนเลย

อยากหยุดไว้แค่นี้
อยากหยุดเอาไว้ตรงหน้าที่สองเราผูกพัน
เรื่องราวในตอนที่เหลือเป็นไง
จะดีหรือร้ายยังไงก็ช่างมัน

อยากหยุดไว้ที่หน้านี้
ให้เธอกับฉันรักกันอย่างนี้ตลอดไป
เรื่องราวในตอนสุดท้ายเป็นไง
ไม่อยากรู้

ชีวิตถ้าเหมือนนิยายเล่มหนึ่ง
ก็กลัวจะถึงตอนที่เสียใจ
คั่นไว้หน้านี้ที่ประทับใจ
ไม่อยากจะพลิกมันไปไหนเลย

อยากหยุดไว้แค่นี้
อยากหยุดเอาไว้ตรงหน้าที่สองเราผูกพัน
เรื่องราวในตอนที่เหลือเป็นไง
จะดีหรือร้ายยังไงก็ช่างมัน

อยากหยุดไว้ที่หน้านี้
ให้เธอกับฉันรักกันอย่างนี้ตลอดไป
เรื่องราวในตอนสุดท้ายเป็นไง ไม่อยากรู้

อยากหยุดไว้ที่หน้านี้
ให้เธอกับฉันรักกันอย่างนี้ตลอดไป
เรื่องราวในตอนสุดท้ายเป็นไง ไม่อยากรู้",gam_wichayanee
อย่าให้เขารู้,/music/thailyric/8441,"ความจริงก็รู้กันอยู่ ว่าเธอรักคนใหม่
มันจึงไม่ค่อยเข้าใจ ที่เธอยังเหมือนเคย
ยังคงให้ความสนิท ที่ดูเหมือนเกินเลย
และยังทำตัวคุ้นเคยตลอดเวลา

ใจจริงๆ ก็ซึ้งอยู่ที่เธอยังดีกับฉัน
แต่ก็หวั่นกลัวเธอมีปัญหา จึงเตือนเอาไว้

ว่าอย่าให้เขารับรู้ว่าฉันเคยเป็นใคร
อย่าให้เขาสงสัยเรื่องที่ผ่านมา
เพราะเขาอาจหวาดหวั่นไม่ไว้ใจในที่สุด
แล้วจะพาลหมดรักและจากลา

คนเราถ้าคิดจะตัดก็ควรให้มันขาด
วันหนึ่งฉันคงจะชินกับการไม่เหลือใคร
ดูแลเขาให้ดีๆ ถ้าเธอนั้นทำได้
จะคอยเอาใจช่วยเธอตลอดเวลา

ใจจริงๆ ก็ซึ้งอยู่ที่เธอยังดีกับฉัน
แต่ก็หวั่นกลัวเธอมีปัญหา จึงเตือนเอาไว้

ว่าอย่าให้เขารับรู้ว่าฉันเคยเป็นใคร
อย่าให้เขาสงสัยเรื่องที่ผ่านมา
เพราะเขาอาจหวาดหวั่นไม่ไว้ใจในที่สุด
แล้วจะพาลหมดรักและจากลา

และเธอจะเสียใจ หากว่าเขามาแปรเปลี่ยนไป
รู้ไว้นะ ทิ้งฉันซะ เราควรจะจบแล้ว

อย่าให้เขารับรู้ว่าฉันเคยเป็นใคร
อย่าให้เขาสงสัยเรื่องที่ผ่านมา
เพราะเขาอาจหวาดหวั่นไม่ไว้ใจในที่สุด
แล้วจะพาลหมดรักและจากลา",gam_wichayanee
