song_name,href,lyric,artist
คนเดิมที่ไม่เหมือนเดิม (Who Are You),/music/thailyric/18173,"อยู่ๆ ตื่นขึ้นมาก็เหมือนเธอเปลี่ยนไป
คล้ายคนอื่นไม่รู้เป็นใคร
จากคนที่รู้ใจกลับกลายเป็นห่าง ไกล

อยู่ๆ รักของเราที่เคยมีความหมาย
สำหรับเธอกลับเหมือนจางหาย
ในระหว่างสองเราตอนนี้มันเกิด อะไร

ฉันอยากรู้ โปรดเธอพูดตรงๆ ออกมาให้ฟัง
เลยอยากถาม ความเป็นจริง
ที่เธอได้เก็บเอาไว้ข้างใน

ตอนนี้ใจเธอ นั้นเป็นเหมือนเดิมรึเปล่า
รักกันเหมือนเดิมรึเปล่า ช่วยบอกกับฉันที
ว่าในตอนนี้ ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
ยังรักกันอยู่บ้างไหม เพราะฉันรู้สึก
เหมือนว่าเธอคนเดิม วันนี้ไม่เป็นเหมือนเดิม

เหมือนว่าเธอคนเดิม วันนี้ไม่เป็นเหมือนเดิม

พอจะมีสักทางบ้างไหมวิธี
ที่จะเปลี่ยนเธอคืนกลับมา
กลับเป็นคนคุ้นเคยที่ฉันคุ้นเคย อีกครั้ง

ยังอยากรู้โปรดเธอพูดตรงๆ ออกมาให้ฟัง
ยังอยากถามความเป็นจริง
ที่เธอได้เก็บเอาไว้ข้างใน

ตอนนี้ใจเธอ นั้นเป็นเหมือนเดิมรึเปล่า
รักกันเหมือนเดิมรึเปล่า ช่วยบอกกับฉันที
ว่าในตอนนี้ ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
ยังรักกันอยู่บ้างไหม เพราะฉันรู้สึก
เหมือนว่าเธอคนเดิม วันนี้ไม่เป็นเหมือนเดิม

เหมือนว่าเธอคนเดิม วันนี้ไม่เป็นเหมือนเดิม

ตอนนี้ใจเธอ นั้นเป็นเหมือนเดิมรึเปล่า
รักกันเหมือนเดิมรึเปล่า ช่วยบอกกับฉันที
ว่าในตอนนี้ ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
ยังรักกันอยู่บ้างไหม เพราะฉันรู้สึก
เหมือนว่าเธอคนเดิม วันนี้ไม่เป็นเหมือนเดิม

เหมือนว่าเธอคนเดิม วันนี้ไม่เป็นเหมือนเดิม

ไม่เป็นเหมือนเดิม ไม่เป็นเหมือนเดิม",getsunova
จุดแวะพัก (.5),/music/thailyric/19445,"เมื่อไรที่เธอเหนื่อยล้า
เจ็บปวดหรือเสียน้ำตา
เพียงเธอเอ่ยมา ฉันพร้อมจะไปหา
เมื่อใดที่เธอหมดแรง ไม่มีใครสักคนดูแล
โปรดอย่าระแวง เธอยังคงมีฉัน

ที่พร้อมจะทำทุกอย่าง
ให้รอยยิ้มของเธอกลับมา
และก็พร้อมจะไปจากสายตา
เมื่อเธอต้องการ แค่บอกมา

เพราะฉันไม่ได้เป็นคนที่เธอรัก
เป็นแค่จุดแวะพัก ในยามที่เหงา
หากรู้สึกอ่อนล้าเมื่อไรแค่ทัก
ฉันจะอยู่ตรงนั้น
ดูแลก่อนเธอไปต่อ
เฝ้ามองดูเธอเดินสู่จุดหมาย

ก็เพราะว่าฉันรู้ดี ว่าเราต่างมีหนทาง
ที่ไม่มีทาง จะมาบรรจบกัน
เธอมีปลายทางเป็นใคร
ที่ฉันไม่อาจไปทดแทน
ยินดีถึงแม้ได้เป็นแค่คนนี้

ที่พร้อมจะทำทุกอย่าง
ให้รอยยิ้มของเธอกลับมา
และก็พร้อมจะไปจากสายตา
เมื่อเธอต้องการ แค่บอกมา

เพราะฉันไม่ได้เป็นคนที่เธอรัก
เป็นแค่จุดแวะพัก ในยามที่เหงา
หากรู้สึกอ่อนล้าเมื่อไรแค่ทัก
ฉันจะอยู่ตรงนั้น
ดูแลก่อนเธอไปต่อ
เฝ้ามองดูเธอเดินสู่จุดหมาย

เพราะฉันไม่ได้เป็นคนที่เธอรัก
เป็นแค่จุดแวะพัก ในยามที่เหงา
หากรู้สึกอ่อนล้าเมื่อไรแค่ทัก
ฉันจะอยู่ตรงนั้น
ดูแลก่อนเธอไปต่อ
เฝ้ามองดูเธอเดินสู่จุดหมาย",getsunova
ลืมว่าต้องลืม (Forgot To Forget),/music/thailyric/18028,"เธอและฉันเราโอบกอดกัน
ในคืนวันอันแสนสำคัญ
กับคำสัญญาที่เอ่ยกันไว้
จะอยู่เคียงข้างกันตลอดไป

รอยยิ้มเธอช่างดูงดงาม
ราวกับทำทุกดอกไม้บาน
ไม่ว่าสองเราจะอยู่แห่งไหน
ไม่ว่าสองเรานั้นอยู่แสนไกล

จนวันที่เธอนั้นจากฉันไป

ทำไมยังไม่ลืมเธอไปจากหัวใจ
ทำไมยังไม่ลืมทุกอย่างที่เก็บไว้
ยังลืมว่าต้องลืมต้องฝืนข่มใจ
(ทั้งที่เธอนั้นจากฉันไป)

ทำไมยังไม่ลืมเธอไปจากหัวใจ
ทำไมยังไม่ลืมเรื่องราวที่เก็บไว้
ยังลืมว่าต้องลืมต้องฝืนข่มใจ
(ทั้งที่เธอนั้นจากฉันไป)

พยายามจะลบทุกเรื่องราว
พยายามจะก้าวต่อไป
ต้องหยุดคิดถึงเธอจากวันนี้
ต้องหยุดคิดถึงเธออยู่ทุกวินาที

แต่ว่าเหมือนยิ่งทำฉันกลับยิ่งจำ
แต่ว่าเหมือนยิ่งทำฉันกลับยิ่งจำ

ทำไมยังไม่ลืมเธอไปจากหัวใจ
ทำไมยังไม่ลืมทุกอย่างที่เก็บไว้
ยังลืมว่าต้องลืมต้องฝืนข่มใจ
(ทั้งที่เธอนั้นจากฉันไป)

ทำไมยังไม่ลืมเธอไปจากหัวใจ
ทำไมยังไม่ลืมเรื่องราวที่เก็บไว้
ยังลืมว่าต้องลืมต้องฝืนข่มใจ
(ทั้งที่เธอนั้นจากฉันไป)

ทำไมยังไม่ลืมเธอไปจากหัวใจ
ทำไมยังไม่ลืมทุกอย่างที่เก็บไว้
ยังลืมว่าต้องลืมต้องฝืนข่มใจ
(ทั้งที่เธอนั้นจากฉันไป)

ทำไมยังไม่ลืมเธอไปจากหัวใจ
ทำไมยังไม่ลืมเรื่องราวที่เก็บไว้
ยังลืมว่าต้องลืม ยังลืมว่าต้องลืม
(ทั้งที่เธอนั้นจากฉันไป)

ยังลืมว่าต้องลืม ยังลืมว่าต้องลืม",getsunova
หน้ากาก (Mask),/music/thailyric/18665,"จะมีบ้างไหมสักคน รักในตัวตนของฉัน
มีบ้างไหมสักหน สนใจกันแบบที่เป็น
ไม่ต้องคอยกังวล
ไม่ต้องใส่หน้ากากสังคม เพื่อเอาใจใคร
ไม่ต้องใส่หน้ากากสังคม ให้ใครถูกใจ

ก็อยากเป็นตัวของตัวเอง
เลือกเดินบนทางที่เลือกเอง
ไม่ต้องปิดบังความคิดที่ฉันมีอยู่ข้างใน
แต่กลับต้องโดนคนรอบกาย
ชี้นำต้องทำตัวเช่นไร
ต้องแกล้งต้องแสร้งเป็นคนอื่น
ให้สังคมเขาพอใจ

ไม่เข้าใจ ไม่เข้าใจ ทำไมไม่มีใครเข้าใจฉัน
ไม่เข้าใจ ไม่เข้าใจ ยังสงสัย

จะมีบ้างไหมสักคน รักในตัวตนของฉัน
มีบ้างไหมสักหน สนใจกันแบบที่เป็น
ไม่ต้องคอยกังวล
ไม่ต้องใส่หน้ากากสังคม เพื่อเอาใจใคร
ไม่ต้องใส่หน้ากากสังคม ให้ใครถูกใจ

เพราะฉันเองกลับรู้สึกผิด
เวลาที่ทำสิ่งที่ถูก
เมื่อการทำตามใจคนอื่น
มันกลับฝืนใจของตัวเอง

แต่แล้วก็ต้องคอยอดทน
อยู่ในสังคมที่มืดมน
ต้องแกล้งต้องแสร้งเป็นตัวปลอม
ให้สังคมเขายอมรับ

ไม่เข้าใจ ไม่เข้าใจ ทำไมไม่มีใครเข้าใจฉัน
ไม่เข้าใจ ไม่เข้าใจ ยังสงสัย

จะมีบ้างไหมสักคน รักในตัวตนของฉัน
มีบ้างไหมสักหน สนใจกันแบบที่เป็น
ไม่ต้องคอยกังวล
ไม่ต้องใส่หน้ากากสังคม เพื่อเอาใจใคร
ไม่ต้องใส่หน้ากากสังคม ให้ใครถูกใจ

จะมีบ้างไหมสักคน รักในตัวตนของฉัน
มีบ้างไหมสักหน สนใจกันแบบที่เป็น
ไม่ต้องคอยกังวล
ไม่ต้องใส่หน้ากากสังคม เพื่อเอาใจใคร
ไม่ต้องใส่หน้ากากสังคม ให้ใครถูกใจ
ไม่ต้องใส่หน้ากากสังคม ให้ใครถูกใจ",getsunova
รูปภาพ,/music/thailyric/248,"ในคืนที่ฟ้าไม่มีแสงดาว ช่างเงียบเหงาเหลือเกิน
ใจฉันนั้นคิดถึงแต่เธอ แต่เธออยู่ที่ไหน
สุดฟ้าไกลแสนไกล ได้แต่คอยเฝ้ารอ
หวังที่ได้พบเจอ เมื่อไหร่จะผ่านคืนนี้

เธออาจเป็นแค่ฝัน เธออาจเป็นรูปภาพ
ที่ฉันเองได้วาดขึ้นมา เธออาจไม่มีอยู่จริง
เธออาจไม่มีตัวตน แต่ฉันคงยังมีเธอ
แม้ไม่ได้สัมผัส และแม้จะนานเท่าไหร่ (ยังมีเธอ)

มีคนมากมายที่ฉันพบเจอ ผ่านไปแต่ละวัน
ยังไม่เจอกับเธอที่ฝัน อยากบอกคำว่ารักเธอ
คำนี้ให้เธอคนเดียว จะเนิ่นนานซักเท่าไหร่
เมื่อไหร่ก็ตามแต่เธอ จะรอแค่เธอเท่านั้น

เธออาจเป็นแค่ฝัน เธออาจเป็นรูปภาพ
ที่ฉันเองได้วาดขึ้นมา เธออาจไม่มีอยู่จริง
เธออาจไม่มีตัวตน แต่ฉันคงยังมีเธอ
แม้ไม่ได้สัมผัส และแม้จะนานเท่าไหร่ (ยังมีเธอ)

เธออาจเป็นแค่ฝัน เธออาจเป็นรูปภาพ
ที่ฉันเองได้วาดขึ้นมา เธออาจไม่มีอยู่จริง
เธออาจไม่มีตัวตน แต่ฉันคงยังมีเธอ
แม้ไม่ได้สัมผัส และแม้จะนานเท่าไหร่ (ยังมีเธอ)

เธออาจเป็นแค่ฝัน เธออาจเป็นรูปภาพ
ที่ฉันเองได้วาดขึ้นมา เธออาจไม่มีอยู่จริง
เธออาจไม่มีตัวตน แต่ฉันคงยังมีเธอ
มีแต่เธอฉันยังมีแต่ เธออาจเป็นแค่ฝันไม่เคยเปลี่ยน

จะรอต่อไป จากนี้ตลอดไป
จะขอแค่เธอ วันนี้เธออยู่ไหน
จะรอต่อไป จากนี้ตลอดไป
จะขอแค่เธอ วันนี้เธออยู่ไหน",getsunova
เศษส่วน,/music/thailyric/249,"เพียงได้มีเธอ ไม่สนใครคนอื่นแล้ว
ขอแค่มีเธอ อยู่ในใจก็พอแล้ว

ก็เพราะทุกความรู้สึกของฉันมีแค่เพียงเธอ
ไม่ว่ายังไงฉันก็ยอม ถึงแม้ยังไงไม่ต่อรอง
ก็เพราะทำได้ทุกอย่าง จะต้องทนซักเท่าไหร่
ไม่ว่ายังไงฉันก็ยอม ถึงผลตอบแทนเป็นแค่

เศษส่วนแห่งความรัก ที่เธอแบ่งมาให้ฉัน
ยังคงคิดดีใจ ถึงรู้ว่าไม่เต็ม
เศษส่วนแห่งความรัก ที่เธอมอบมาให้ฉัน
แม้เธอไม่คิดไกล ก็รักเธออยู่ดี
เท่านี้ฉันพอใจ อยู่กับรักที่ไม่เต็ม

รู้ว่าฉันเอง ไม่สำคัญขนาดนั้น
ฉันขอแค่เพียง เป็นหนึ่งในนั้นก็พอแล้ว

ก็เพราะทุกความรู้สึกของฉันมีแค่เพียงเธอ
ไม่ว่ายังไงฉันก็ยอม ถึงผลตอบแทนเป็นแค่

เศษส่วนแห่งความรัก ที่เธอแบ่งมาให้ฉัน
ยังคงคิดดีใจ ถึงรู้ว่าไม่เต็ม
เศษส่วนแห่งความรัก ที่เธอมอบมาให้ฉัน
แม้เธอไม่คิดไกล ก็รักเธออยู่ดี
เท่านี้ฉันพอใจ อยู่กับรักที่ไม่เต็ม

ก็เพราะทุกความรู้สึกของฉันมีแค่เพียงเธอ
ไม่ว่ายังไงฉันก็ยอม ถึงแม้ยังไงไม่ต่อรอง
ก็เพราะทำได้ทุกอย่าง จะต้องทนซักเท่าไหร่
ไม่ว่ายังไงฉันก็ยอม ถึงผลตอบแทนเป็นแค่

เศษส่วนแห่งความรัก ที่เธอแบ่งมาให้ฉัน
ยังคงคิดดีใจ ถึงรู้ว่าไม่เต็ม
เศษส่วนแห่งความรัก ที่เธอมอบมาให้ฉัน
แม้เธอไม่คิดไกล ก็รักเธออยู่ดี
เท่านี้ฉันพอใจ อยู่กับรักที่ไม่เต็ม

เศษส่วนแห่งความรัก ที่เธอแบ่งมาให้ฉัน
ยังคงคิดดีใจ ที่รู้ว่าไม่เต็ม
เศษส่วนแห่งความรัก ที่เธอมอบมาให้ฉัน
แม้เธอไม่คิดไกล ก็รักเธออยู่ดี
เท่านี้ฉันพอใจ อยู่กับรักที่ไม่เต็ม

เท่านี้ฉันพอใจ เท่านี้ฉันพอใจ
อยู่กับรักที่ไม่เต็ม",getsunova
กาลครั้งหนึ่ง ตลอดกาล,/music/thailyric/11320,"เรา ในวันนี้ ต้องจากกันแล้ว เราไกลสุดแสนไกล
มีเพียงแค่ฉันลำพัง กับความเงียบเหงา ทุกๆ วัน
จบ ลงไปแล้ว ยังดีที่สองเราเคยเคียงคู่กัน
และฉันก็รู้ทุกสิ่ง ว่าคงไม่ย้อน หวนคืนมา

แต่คืนและวันที่ผ่านไม่ลบเรื่องราวเก่าๆ
นานแค่ไหนในใจฉันมีแต่เธอ ไม่เคยลืม

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป

เธออยู่แห่งไหน จะเป็นแบบไหนในวันที่เราห่าง
เธอเคยคิดถึงกันไหม ในคราวที่เธอ ไม่เหลือใคร

แต่คืนและวันที่ผ่านไม่ลบเรื่องราวเก่าๆ
นานแค่ไหนในใจฉันมีแต่เธอ ไม่เคยลืม

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป

แต่คืนและวันที่ผ่านไม่ลบเรื่องราวเก่าๆ
นานแค่ไหนในใจฉันมีแต่เธอ ไม่เคยลืม

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป

ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป",getsunova
ไกลแค่ไหนคือใกล้,/music/thailyric/9006,"พยายามจะทำวิธีต่างๆ ให้เธอนั้นรักฉัน
พยายามทุกวัน มอบให้ทุกอย่างที่เธอต้องการ
เหมือนเดินบนสะพานที่มีปลายทางคือใจของเธอ
ยังคงคิดและหวังจะนำเอารักแท้นี้ไปให้

แต่ทำไม เดินมาเนิ่นนานไม่ถึงซักที
แต่ทำไม มองดูเส้นทางเหมือนยาวออกไป
อยากรู้ว่าฉันต้องทำตัวอย่างไร

อีกไกลแค่ไหน จนกว่าฉันจะใกล้ บอกที
อีกไกลแค่ไหนจนกว่าเธอจะรักฉัน เสียที
มีทางใดที่อาจทำให้เธอสนใจ ได้โปรด
บอกกับฉันให้รู้ที ว่าสุดท้ายแล้วฉันยังมีความหมาย

ยังไม่คิดยอมแพ้ ฉันเพียงแต่อ้อนล้าก็เท่านั้น
ภายในใจยังคงรักเธอเหมือนเดิม ไม่เคยเปลี่ยน
คงจะดีไม่น้อย ถ้าเธอบอกให้ฉันได้รับรู้
ความในใจของเธอ เหตุผลต่างต่างที่ยังซ่อนไว้

ว่าทำไมเดินมาเนิ่นนานไม่ถึงซักที
แต่ทำไม มองดูเส้นทางเหมือนยาวออกไป
อยากรู้ว่าฉันต้องทำตัวอย่างไร

อีกไกลแค่ไหน จนกว่าฉันจะใกล้ บอกที
อีกไกลแค่ไหนจนกว่าเธอจะรักฉัน เสียที
มีทางใดที่อาจทำให้เธอสนใจ ได้โปรด
บอกกับฉันให้รู้ที
ว่าสุดท้ายแล้วฉันยังมีความหมาย มีความหมาย

อีกไกลแค่ไหน จนกว่าฉันจะใกล้ บอกที
อีกไกลแค่ไหนจนกว่าเธอจะรักฉัน เสียที
มีทางใดที่อาจทำให้เธอสนใจ ได้โปรด
บอกกับฉันให้รู้ที ว่าสุดท้ายแล้วฉันยังมีความหมาย

อีกไกลแค่ไหน จนกว่าฉันจะใกล้ บอกที
อีกไกลแค่ไหนจนกว่าเธอจะรักฉัน
มีทางใดที่อาจทำให้เธอสนใจ ได้โปรด
บอกกับฉันให้รู้ที ว่าสุดท้ายแล้วฉันยังมีความหมาย",getsunova
คนไม่จำเป็น,/music/thailyric/10957,"อยู่ตรงนี้อยากเป็นคนที่เธอต้องการ
พยายามเปลี่ยนแปลงตัวให้ดีขึ้นมา
อยากให้เธอรู้ ความจริงข้างใน
ว่าฉันรัก เธอมากเพียงใด

แต่สุดท้าย ผ่านมานานแสนนานเท่าไร
ยังคงรอ ยังลองทุกวิธีทุกทาง
เธอไม่เคยเห็น ฉันในสายตา
เป็นเพียงลม ไม่มีตัวตน

ทำให้รู้ว่าทำอะไร เธอนั้นไม่เคยสนใจ
ทำให้รู้อยู่ไปก็ไม่มีความหมาย

เพราะคนไม่จำเป็น ก็ต้องเดินจากไป
ถึงแม้ว่าภายในใจจะรักเธอแค่ไหน
เพราะคนไม่จำเป็น ก็ไม่ควรอยู่ตรงนี้
ก็ฉันนั้นเข้าใจดีว่าเธอไม่ต้องการ (เธอไม่ต้องการ)
ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น

ก็พอรู้ว่าฉันนั้นไม่ดีเลิศเลอ
เทียบกับเธอ ยังไงแล้วก็ไม่คู่ควร
สิ่งที่ยังเหลือ จะทำได้คือคงต้องหาย จากชีวิตเธอ

ทำให้รู้ว่าทำอะไร เธอนั้นไม่เคยสนใจ
ทำให้รู้อยู่ไปก็ไม่มีความหมาย

เพราะคนไม่จำเป็น ก็ต้องเดินจากไป
ถึงแม้ว่าภายในใจจะรักเธอแค่ไหน
เพราะคนไม่จำเป็น ก็ไม่ควรอยู่ตรงนี้
ก็ฉันนั้นเข้าใจดีว่าเธอไม่ต้องการ (เธอไม่ต้องการ)
ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น

เพราะคนไม่จำเป็น ก็ต้องเดินจากไป
ถึงแม้ว่าภายในใจจะรักเธอแค่ไหน
เพราะคนไม่จำเป็น ก็ไม่ควรอยู่ตรงนี้
ก็ฉันนั้นเข้าใจดีว่าเธอไม่ต้องการ (เธอไม่ต้องการ)
ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น

ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น",getsunova
ความมืดสีขาว,/music/thailyric/9289,"โลกนี้อาจสวยในสายตา
แต่เบื้องหลังคือน้ำตา
ความรักจะสวยงามเท่าใด
ต้องเก็บไว้ในหัวใจ

ไม่อาจจะเผยตัวที่แท้จริงที่ฉันเป็น
โลกนี้อาจไม่สวยงาม ไม่เหมือนอย่างที่เห็น

มืดมิดสักเท่าใดก็ถอยไม่ได้ เพื่อวันพรุ่งนี้ที่สดใส
เพื่อศรัทธาในหัวใจ และแม้นานเพียงใด
ความรักที่มีจะอยู่ตรงนี้ไปจนตาย
ในความมืดสีขาว

ความฝันอาจสวยดังนิยาย
บนทางฝันช่างยากเย็น

ไม่อาจจะเผยตัวที่แท้จริงที่ฉันเป็น
โลกนี้อาจไม่สวยงาม ไม่เหมือนอย่างที่เห็น

มืดมิดสักเท่าใดก็ถอยไม่ได้ เพื่อวันพรุ่งนี้ที่สดใส
เพื่อศรัทธาในหัวใจและแม้นานเพียงใด
ความรักที่มีจะอยู่ตรงนี้ไปจนตาย
ในความมืดสีขาว

อาจไม่ใช่คนที่ดีเลิศเลอ
แต่ฉันจะดูแลเธอตลอดไป
จะไม่ยอมให้ใครมาทำร้ายเธอ (ฉันสัญญา)

มืดมิดสักเท่าใดก็ถอยไม่ได้ เพื่อวันพรุ่งนี้ที่สดใส
เพื่อศรัทธาในหัวใจ และแม้นานเพียงใด
ความรักที่มีจะอยู่ตรงนี้ไปจนตาย
ในความมืดสีขาว",getsunova
