song_name,href,lyric,artist
ฉันผิดที่คิดว่าเรารักกัน,/music/thailyric/8521,"เธอไม่ผิดหรอก ที่บอกว่าทนไม่ไหว
เธอไม่ผิดนะ ที่คิดว่าเราเข้ากันไม่ได้
เธอไม่ผิดจริงๆ ถ้าเธอจะทิ้งฉันไป
ไม่ผิดอะไร ไม่มีใครว่า อย่าห่วงกัน

ฉันไม่กล้าโกรธ ไม่กล้าโทษเธอสักนิด
ถ้าจะมีคนผิด ฉันคิดว่าน่าจะเป็นฉัน

ฉันผิดที่เข้าใจผิด ผิดที่คิดว่าเรารักกัน
คิดว่าเธอนิสัยเหมือนฉัน อะไรก็ยอมกันไป
ฉันผิดที่รักคนผิด ผิดที่คิดว่าเธอจะรักฉันได้
ฉันคงมองโลกดีเกินไป ก็ลืมระวังนิสัยหัวใจของเธอ

เดี๋ยวก็คงดี ที่เจ็บก็คงจะหาย
เดี๋ยวก็หยุดแล้ว จะเสียน้ำตาทำไมมากมาย
เดี๋ยวฉันก็คงชิน กับการไม่เหลืออะไร
แค่ไม่มีใคร คงทำใจได้ในสักวัน

ฉันไม่กล้าโกรธ ไม่กล้าโทษเธอสักนิด
ถ้าจะมีคนผิด ฉันคิดว่าน่าจะเป็นฉัน

ฉันผิดที่เข้าใจผิด ผิดที่คิดว่าเรารักกัน
คิดว่าเธอนิสัยเหมือนฉัน อะไรก็ยอมกันไป
ฉันผิดที่รักคนผิด ผิดที่คิดว่าเธอจะรักฉันได้
ฉันคงมองโลกดีเกินไป ก็ลืมระวังนิสัยหัวใจของเธอ

ฉันผิดที่เข้าใจผิด ผิดที่คิดว่าเรารักกัน
คิดว่าเธอนิสัยเหมือนฉัน อะไรก็ยอมกันไป
ฉันผิดที่รักคนผิด ผิดที่คิดว่าเธอจะรักฉันได้
ฉันคงมองโลกดีเกินไป ก็ลืมระวังนิสัยหัวใจของเธอ

ก็ลืมระวังนิสัย หัวใจของเธอ",ging_muanpair
ฉันว่างงาน หรือเธอเหงา,/music/thailyric/8361,"ตื่นแต่เช้าก็โทรมา
จนเธอเป็นเหมือนนาฬิกาที่คอยปลุก
พอตกบ่ายสองก็โทรมา
ดูหนังเรื่องไหนก็ยังมาเล่าให้ฟัง

ฉันก็รับสาย ฉันก็คุยไปชั่วโมงกว่า
ก็ไม่รู้ที่คุยนาน
มันเป็นเพราะฉันนั้นว่างงานหรือเธอเหงา

เจอะอะไรก็โทรมา
มีเรื่องกับใคร ก็โทรมาให้ฉันห่วง
จะลมจะฝนก็โทรมา
เดือนดาวบนฟ้า ก็ยังมาเรียกให้ดู

ฉันก็มองเห็นท้องฟ้าที่เธอเห็นเหมือนกันอยู่
แล้วก็คุยนาน ตกลงนี่ฉันนั้นว่างงานหรือเธอเหงา
เราเป็นอะไรกันนะ เธอคิดยังไงช่วยบอก
อย่าปล่อยให้ฉันเดา

ถ้าหากว่าเธอมีใจยังไง ช่วยบอกคำว่ารัก
ก็ถ้าเธอใจตรงกัน จะเป็นไรแค่บอกให้ฉันรู้
ส่วนฉันถ้าเธอไม่โทรมา ก็ต้องเหงาไป
ถ้าไม่ให้คิดถึงเธอ จะคิดถึงใครก็บอกเลย
พรุ่งนี้ถ้าเธอนั้นกล้าพอ อยากฟังคำนั้นนะฉันจะรอ

ให้เธอน่ะโทรมา
ให้โทรมาได้ทุกเวลาฉันรออยู่
และเธอก็รู้ว่าเต็มใจ
ช่วยบอกกับฉันมาไวไว คิดยังไงกับฉัน

ก็คงจะรับสาย
และคงจะคุยเกินชั่วโมงกว่า
จะคุยกับเธอทุกเวลา
แค่ให้เธอนั้นพูดมาว่ารักฉัน

ถ้าหากว่าเธอมีใจยังไง ช่วยบอกคำว่ารัก
ก็ถ้าเธอใจตรงกัน จะเป็นไรแค่บอกให้ฉันรู้
ส่วนฉันถ้าเธอไม่โทรมา ก็ต้องเหงาไป
ถ้าไม่ให้คิดถึงเธอ จะคิดถึงใครก็บอกเลย
พรุ่งนี้ถ้าเธอนั้นกล้าพอ อยากฟังคำนั้นนะฉันรออยู่

ถ้าหากว่าเธอมีใจยังไง ช่วยบอกคำว่ารัก
ก็ถ้าเธอใจตรงกัน จะเป็นไรแค่บอกให้ฉันรู้
ส่วนฉันถ้าเธอไม่โทรมา ก็ต้องเหงาไป
ถ้าไม่ให้คิดถึงเธอ จะคิดถึงใครก็บอกเลย
พรุ่งนี้ถ้าเธอนั้นกล้าพอ อยากฟังคำนั้นนะฉันรออยู่

วันไหนถ้าเธอนั้นกล้าพอ อยากฟังคำนั้นฉันเฝ้ารออยู่
ที่คุยกันมาได้ตั้งนาน
ตกลงเพราะฉันนั้นว่างงาน หรือเธอเหงา",ging_muanpair
แฟนหาย,/music/thailyric/8413,"เช้าก็แล้ว ตกเย็นก็แล้ว
ค่ำก็แล้ว เธอหายไปทั้งวัน
แค่อยากรู้ ว่าเธออยู่ไหน
ทำอะไร แต่ฉันคงไม่โทรไป

ถามเธอ ก็ฉันมันน้อยใจ
ที่เธอละเลย ไม่ค่อยจะใส่ใจ
เธอไม่สนใจ ทิ้งฉันไว้ให้อยู่คนเดียว หายไป
ปล่อยฉันให้เสียใจ จนบางครั้งก็มีน้ำตา

แค่อยากให้ดูแลกันให้มากหน่อย
ฉันคงไม่ได้เรียกร้องอะไรเกินไปใช่ไหม
แค่ขอให้ใส่ใจมากกว่านี้

แค่อยากให้เธอรักฉันให้มากหน่อย
แค่อยากให้เธอน่ารักเหมือนวันเก่าที่ผ่านมา
ไม่งั้นฉันคงต้องน้อยใจ

นั่งก็แล้ว จะนอนก็แล้ว
ก็ไม่แคล้วกังวลคิดเรื่องเธอ
แค่อยากรู้ ว่าเธอยังรัก
แค่อยากฟังแต่ฉันก็คงจะไม่

ถามเธอ ก็ฉันมันน้อยใจ
ที่เธอละเลย ไม่ค่อยจะใส่ใจ
เธอไม่สนใจ ทิ้งฉันไว้ให้อยู่คนเดียว หายไป
ปล่อยฉันให้เสียใจ จนบางครั้งก็มีน้ำตา

แค่อยากให้ดูแลกันให้มากหน่อย
ฉันคงไม่ได้เรียกร้องอะไรเกินไปใช่ไหม
แค่ขอให้ใส่ใจมากกว่านี้

แค่อยากให้เธอรักฉันให้มากหน่อย
แค่อยากให้เธอน่ารักเหมือนวันเก่าที่ผ่านมา
ไม่งั้นฉันคงต้องน้อยใจ

แค่อยากให้ดูแลกันให้มากหน่อย
ฉันคงไม่ได้เรียกร้องอะไรเกินไปใช่ไหม
แค่ขอให้ใส่ใจมากกว่านี้

แค่อยากให้เธอรักฉันให้มากหน่อย
แค่อยากให้เธอน่ารักเหมือนวันเก่าที่ผ่านมา
ไม่งั้นแฟนเธอจะหายไป",ging_muanpair
ละไว้ในฐานที่ไม่เข้าใจ,/music/thailyric/8522,"ฉันเองก็ไม่รู้ ฉันเองก็ไม่เห็น
ฉันเองแค่อยากเป็น อย่างที่ฉันเป็นก็แค่นั้น

โทรเข้ามาหา คิดว่าเธอก็เหงา
นั่งคุยจนเกือบเช้า มันก็เร้าใจไปแบบนึง

ฉันเองก็ไม่มีใคร เธอก็ไม่มี
คุยกันแล้วใจเต้นถี่ ไม่ดีหรือไง
ตั้งใจหรือไม่ตั้งใจ ก็ไม่เห็นจะผิดเลย

มันก็ไม่เห็นจะแปลก ก็คนคุ้นเคย
ไม่มีสักคำจะเอ่ย ไม่เลยไม่มี
อย่าๆ เลยนะพอดี ไม่ชอบให้ใครมาแปล

ละไว้ในฐานที่ไม่ต้องเข้าใจ
ไม่ต้องเข้าใจ ฉันว่าก็ดีนะ
แค่รู้สึกได้ในใจก็พอนะ
แค่รู้สึกนะ ฉันว่าเธอเข้าใจ

มองขึ้นบนฟ้า เห็นดาวเป็นหน้าเธอ
ฉันชอบอารมณ์เพ้อ และเธอนั้นเป็นเหมือนกันไหม

ฉันเองก็ไม่มีใคร เธอก็ไม่มี
คุยกันแล้วใจเต้นถี่ ไม่ดีหรือไง
ตั้งใจหรือไม่ตั้งใจ ก็ไม่เห็นจะผิดเลย

มันก็ไม่เห็นจะแปลก ก็คนคุ้นเคย
ไม่มีสักคำจะเอ่ย ไม่เลยไม่มี
อย่าอย่าเลยนะพอดี ไม่ชอบให้ใครมาแปล

ละไว้ในฐานที่ไม่ต้องเข้าใจ
ไม่ต้องเข้าใจ ฉันว่าก็ดีนะ
แค่รู้สึกได้ในใจก็พอนะ
แค่รู้สึกนะ ฉันว่าเธอเข้าใจ",ging_muanpair
อยากบอกเขาหรืออยากบอกฉัน,/music/thailyric/8477,"เธอบอกว่าเธอรักฉันคนเดียว
คงบอกกับเขา อย่างนั้นเหมือนกัน
ฉันว่าเขาคงไม่ต่างจากฉัน
คงเจ็บไม่น้อย ถ้ารู้ว่ารักคนสองใจ

ไม่เห็นแก่ฉัน ก็นึกซะว่าเห็นแก่ความรัก
ฉันขอ ฉันขอไม่มากแค่เธอ ช่วยตัดสินใจ

อยากบอกเขาว่าเรารักกัน
หรืออยากบอกฉัน ว่าเธอรักใคร
ถ้ารักเขา เธอก็กลับไป ถ้าไม่ใช่ก็อยู่กับฉัน
อยากบอกเขาว่าเธอขอลา
หรืออยากบอกฉันว่าเราเลิกกัน
ฉันรับได้ ถ้าไม่เลือกฉัน
แค่อย่าบอกว่าเลือกทั้งสองคน

ความสุขจากการที่ได้รักใคร
คงไม่จำเป็นต้องอยู่ด้วยกัน
อยู่แล้วหัวใจไม่อยู่กับฉัน
ก็อย่าเลยนะ ฉันว่าเธอน่าจะเข้าใจ

ไม่เห็นแก่ฉัน ก็นึกซะ ว่าเห็นแก่ความรัก
ฉันขอ ฉันขอไม่มากแค่เธอ ช่วยตัดสินใจ

อยากบอกเขาว่าเรารักกัน
หรืออยากบอกฉัน ว่าเธอรักใคร
ถ้ารักเขา เธอก็กลับไป ถ้าไม่ใช่ก็อยู่กับฉัน
อยากบอกเขาว่าเธอขอลา
หรืออยากบอกฉันว่าเราเลิกกัน
ฉันรับได้ ถ้าไม่เลือกฉัน
แค่อย่าบอกว่าเลือกทั้งสองคน

อยากบอกเขาว่าเรารักกัน
หรืออยากบอกฉัน ว่าเธอรักใคร
ถ้ารักเขา เธอก็กลับไป ถ้าไม่ใช่ก็อยู่กับฉัน
อยากบอกเขาว่าเธอขอลา
หรืออยากบอกฉันว่าเราเลิกกัน
ฉันรับได้ ถ้าไม่เลือกฉัน
แม้เธอไม่รักฉัน ฉันรักเธอ",ging_muanpair
ขอโทษแล้วมันหายเจ็บไหม,/music/thailyric/206,"แต่ละนาทีที่ฉันต้องอยู่
เธอคงไม่รู้มันยากเหลือเกิน เมื่อเธอไปมีรักใหม่
ต้องบอกตัวเองให้ฝืนหายใจ
กอดเก็บความช้ำเอาไว้ทุกวัน
จนชินกับความเดียวดาย

แค่เธอย้อนมากับคำว่าเสียใจ
มันพอหรือไง ลบล้างที่ฉันต้องเจอ
สิ่งที่เธอถามกันมา ยกโทษให้เธอได้ไหม
อยากตอบเธอกลับด้วยหนึ่งคำถาม

ขอโทษแล้วมันหายเจ็บไหม
ตอบฉันหน่อยหายเจ็บไหม
กี่หยดน้ำตา เมื่อวานที่มันต้องไหล
หัวใจฉันมันร้าวหมดแล้ว
แหลกจนไม่เหลือให้เริ่มใหม่
แก้วที่มันร้าวต่อคงไม่ไหว
ไม่ผิดใช่ไหมถ้าฉันเจ็บแล้วจำ

ต่อให้แววตาคู่นั้นของเธอ
ที่เจอวันนี้จะเหมือนรับผิด และดูจริงใจทุกอย่าง
แต่อดนึกถึงไม่ได้จริงๆ ภาพเธอวันนั้นที่ทิ้งกันไป
ไม่มองกลับมาสักครั้ง

แค่เธอย้อนมากับคำว่าเสียใจ
มันพอหรือไง ลบล้างที่ฉันต้องเจอ
สิ่งที่เธอถามกันมา ยกโทษให้เธอได้ไหม
อยากตอบเธอกลับด้วยหนึ่งคำถาม

ขอโทษแล้วมันหายเจ็บไหม
ตอบฉันหน่อยหายเจ็บไหม
กี่หยดน้ำตา เมื่อวานที่มันต้องไหล
หัวใจฉันมันร้าวหมดแล้ว
แหลกจนไม่เหลือให้เริ่มใหม่
แก้วที่มันร้าวต่อคงไม่ไหว
ไม่ผิดใช่ไหมถ้าฉันเจ็บแล้วจำ

ขอโทษแล้วมันหายเจ็บไหม
ตอบฉันหน่อยหายเจ็บไหม
กี่หยดน้ำตา เมื่อวานที่มันต้องไหล
หัวใจฉันมันร้าวหมดแล้ว
แหลกจนไม่เหลือให้เริ่มใหม่
แก้วที่มันร้าวต่อคงไม่ไหว
ไม่ผิดใช่ไหมถ้าฉันเจ็บแล้วจำ

เข้าใจไหมเธอ คนมันเจ็บแล้วจำ",ging_muanpair
ผิดเพราะรัก,/music/thailyric/208,"เคยได้ยินว่าความรักคือสิ่งที่มีพลังมากมาย
ใครได้พบเจอจำต้องยอม และไม่มีทางต้านทานได้
ตัวของฉันเองพอรักมา ใจก็พลอยเปลี่ยนไปมากมาย
ยอมทำทุกทาง แค่ได้มีเธอ

ผิดสิ่งที่ฉันทําทําลงไป สายตาใครยังไง
ฉันไม่มองไม่เห็น ไม่รับรู้อะไร

รู้เพียงว่าทำเพราะรัก ทำเพื่อเธอที่รักก็พอ
เธอคือรักแท้คือใจดวงเดียวที่รอ
ไม่อาจยอมเสียเธอไป แม้รู้ว่าทำเพราะรัก
สิ่งที่ทำจะร้ายหรือผิดแค่ไหน ฉันอยู่โดยขาดรักไม่ได้
ให้ทำผิดเท่าไรฉันคงต้องยอม

รู้เพียงว่าทำเพราะรัก ทำเพื่อเธอที่รักก็พอ
เธอคือรักแท้คือใจดวงเดียวที่รอ
ไม่อาจยอมเสียเธอไป แม้รู้ว่าทำเพราะรัก
สิ่งที่ทำจะร้ายหรือผิดแค่ไหน ฉันอยู่โดยขาดรักไม่ได้
ให้ทำผิดเท่าไรฉันคงต้องยอม

รู้เพียงว่าทำเพราะรัก ทำเพื่อเธอที่รักก็พอ
เธอคือรักแท้คือใจดวงเดียวที่รอ
ไม่อาจยอมเสียเธอไป แม้รู้ว่าทำเพราะรัก
สิ่งที่ทำจะร้ายหรือผิดแค่ไหน ฉันอยู่โดยขาดรักไม่ได้
ให้ทำผิดเท่าไรฉันคงต้องยอม

ฉันอยู่โดยขาดรักไม่ได้
ให้ทำผิดเท่าไรฉันคงต้องยอม",ging_muanpair
คนไม่ใช่ทำอะไรก็ผิด,/music/thailyric/207,"ไม่ว่ารักเธอแค่ไหน ก็คงไม่ได้คำว่ารัก
เมื่อเธอมองว่าฉันไม่ใช่คนที่ต้องการในใจ
ส่วนเขาไม่ทำอะไร
ก็ได้ความดีแค่เพราะวันนี้เขามาใหม่
คนที่ไม่ใช่อย่างฉัน มีแต่ผิดคำเดียว

อยากหยุดตัวเองไว้ ให้ลืมเธอเสียที
เมื่อใจเธอวันนี้ เห็นฉันไม่เหมือนเก่า
ทุกอย่างเป็นเรื่องน่าเบื่อ ไม่มีเหลือเรื่องของเรา
ผู้หญิงซึมเซา เข้าใจและพอรู้ตัว

คนที่เธอเบื่อแล้วทุกอย่าง
จะมีทางดูดีขึ้นไหม ทำอะไรคงได้แค่คำว่ารบกวน
คนที่ให้เธอแล้วทุกสิ่ง คงไม่เหลือความน่าค้นหา
เมื่อเธอพูดออกมาว่าฉันไม่ใช่ อีกต่อไป

ไม่ว่ารักเธอแค่ไหน ก็คงไม่ได้คำว่ารัก
เมื่อเธอมองว่าฉันไม่ใช่คนที่ต้องการในใจ
ส่วนเขาไม่ทำอะไร
ก็ได้ความดีแค่เพราะวันนี้เขามาใหม่
คนที่ไม่ใช่อย่างฉัน มีแต่ผิดคำเดียว

คงผิดที่ใจฉันไม่เคยลืมได้ลง
ยังคงไปคาดหวัง คิดรั้งความผูกพัน
ไม่ยอมไม่คิดเข้าใจ ว่าเธอเจอแล้วคนที่ฝัน
คนที่สำคัญ กว่าฉันที่ไม่คู่ควร

คนที่เธอเบื่อแล้วทุกอย่าง
จะมีทางดูดีขึ้นไหม ทำอะไรคงได้แค่คำว่ารบกวน
คนที่ให้เธอแล้วทุกสิ่ง คงไม่เหลือความน่าค้นหา
เมื่อเธอพูดออกมาว่าฉันไม่ใช่ อีกต่อไป

ไม่ว่ารักเธอแค่ไหน ก็คงไม่ได้คำว่ารัก
เมื่อเธอมองว่าฉันไม่ใช่คนที่ต้องการในใจ
ส่วนเขาไม่ทำอะไร
ก็ได้ความดีแค่เพราะวันนี้เขามาใหม่
คนที่ไม่ใช่อย่างฉัน มีแต่ผิดคำเดียว
คนที่ไม่ใช่ มีแต่ผิดคำเดียว",ging_muanpair
กวีบทเก่า,/music/thailyric/11784,"แต่ก่อนทุกครั้งทีไร
ได้อ่านได้เห็นในบทกวี
แค่อ่านแล้วทิ้งมันไป
ไม่เคยใยดี ไม่ซึ้งชวนฝัน

ใจความนั้นก็มีแต่เรื่องเก่า
คือความรักที่กลายเป็นเศร้า

อ่านไปก็งั้นๆ เรื่องราวก็ซ้ำๆ
อ่านไปยังขำ ซ้ำเติมเรื่องเก่า
ต้องมีคนสมหวัง ต้องมีคนชอกช้ำ
ไม่จำ ไม่ซึ้ง ไม่เกี่ยวกับเรา

จนวันที่เขาลืมเรา
จู่ๆ ความเหงาก็เกิดมี
กลับเกิดลึกซึ้ง ในบทกวี
ได้อ่านอีกที น้ำตาจะไหล

ใจความนั้นคงมี แต่เรื่องเก่า
คือความรักที่กลายเป็นเศร้า

อ่านไปอย่างช้าๆ เรื่องราวคนช้ำๆ
แต่มันไม่ขำเพราะเป็นตัวเรา
ไม่เคยจะนึกฝัน ต้องเจอเองสักครั้ง
กับความผิดหวัง ต้องเจ็บต้องเหงา

เก็บความหมายทุกตอน
เก็บอักษรทุกตัว อยู่ในหัวใจเรา เข้าไปข้างใน
ให้มันช้ำไปอีก ให้มันช้ำเข้าไป
ให้มันสาแก่ใจ ให้ช้ำกว่านี้

อ่านไปอย่างช้าๆ เรื่องราวคนช้ำๆ
ให้มันตอกย้ำ ซ้ำตรงใจเรา
ไม่เคยจะนึกฝัน จะเจอเองสักครั้ง
กับความผิดหวัง ต้องเจ็บต้องเหงา

ต้องเจ็บต้องช้ำ เป็นอย่างตัวเรา",ging_muanpair
เกลียด,/music/thailyric/11197,"มองเธอกับเขา เดินจับมือด้วยกัน
พร้อมคำพูดที่ฉัน เคยได้ฟัง
มองดูเธอยิ้ม ยิ้มให้กันทุกครั้ง
กลับยิ่งตอกยิ่งย้ำ ยิ่งทรมาน

อยากขอได้ไหม อยากขอสักครั้ง
อย่าทำให้ฉันต้องทนต่อไปได้ไหม
จบกันเท่านี้ ให้เธอจากไป
ไปไกลๆ ไม่ต้องมาให้เห็น

เกลียดความจริงที่มันต้องเป็น เกลียดที่เห็นว่าเธอมีใคร
เกลียดบางคนที่เธอพอใจ กว่าฉัน
เกลียดตัวเองที่ยังมองเธอ เกลียดที่เพ้อถึงเธอมานาน
เกลียดตัวเองที่ใจยังสั่น เมื่อมาเจอเธอ

มองดูทุกครั้ง ฉันก็มีน้ำตา
ทุกครั้งที่เธอนั้น มากับเขา
ดูเธอหัวเราะ ล้อเล่นอยู่กับเขา
กลับยิ่งปวดยิ่งร้าว ยิ่งทรมาน

อยากขอได้ไหม อยากขอสักครั้ง
อย่าทำให้ฉันต้องทนต่อไปได้ไหม
จบกันเท่านี้ ให้เธอจากไป
ไปไกลๆ ไม่ต้องมาให้เห็น

เกลียดความจริงที่มันต้องเป็น เกลียดที่เห็นว่าเธอมีใคร
เกลียดบางคนที่เธอพอใจ กว่าฉัน
เกลียดตัวเองที่ยังมองเธอ เกลียดที่เพ้อถึงเธอมานาน
เกลียดตัวเองที่ใจยังสั่น เมื่อมาเจอเธอ",ging_muanpair
