song_name,href,lyric,artist
ขอบคุณยังน้อยไป,/music/thailyric/103,"จากเมื่อวานที่ไม่มีสักครึ่งที่ใคร
หันมามองที่ฉันก้อแค่คนไร้ค่าคนหนึ่ง
แต่มีเธอเท่านั้นที่มาดูแลหัวใจ บอกว่าฉันสำคัญ

อยากขอบคุณเธอสักครั้ง และอยากตอบแทนหัวใจ
ที่เธอให้มาจากคนตัวเล็กๆ ที่บังเอิญเธอถ่อมตัวมาสนใจ

อยากขอบคุณเธอสักครั้ง แม้อาจจะเป็นถ่อยคำที่ดูน้อยไป
ไม่เพียงพอกับใจที่ฉันต้องการบอกเธอ

หากฉันมีสิ่งดีๆ สักนิดที่พอให้ความสุขกับเธอ
อยากจะยอมยกให้ทุกอย่าง
ตอบแทนความใจดีที่เธอเผื่อมีให้กันมีให้ฉันเรื่อยมา

อยากขอบคุณเธอสักครั้ง และอยากตอบแทนหัวใจ
ที่เธอให้มาจากคนตัวเล็กๆ ที่บังเอิญเธอถ่อมตัวมาสนใจ

อยากขอบคุณเธอสักครั้ง แม้อาจจะเป็นถ่อยคำที่ดูน้อยไป
ไม่เพียงพอกับใจที่ฉันต้องการบอกเธอ

บอกกับเธอได้เพียงว่าฉันยังไม่เคยรู้สึกอย่างนี้
เมื่อเจอใครๆ ฉันจะมีเธอเท่านั้น
ฉันจะมีเธอเท่านั้นอยู่ภายในใจ....... อู้

อยากขอบคุณเธอสักครั้ง และอยากตอบแทนหัวใจ
ที่เธอให้มาจากคนตัวเล็กๆ ที่บังเอิญเธอถ่อมตัวมาสนใจ

อยากขอบคุณเธอสักครั้ง แม้อาจจะเป็นถ่อยคำที่ดูน้อยไป
ไม่เพียงพอกับใจที่ฉันต้องการบอกเธอ

บอกเธอ",golf_mike
คนคนเดียวกัน,/music/thailyric/105,"ไม่ต้องมองตาก็เข้าใจ
ไม่ต้องพูดอะไรก็ยังพอรู้
ไม่ต้องแสดง...ท่าทางให้ดู
ก็รับรู้อะไรข้างในใจ...

คนหนึ่งเหงา...โฮ้โฮ อีกคนก็เหงา... โฮ้...
อย่างกับเรา...คือคนคนเดียวกัน

เกิดจากความรัก รัก รัก ความผูกพันในใจ
ไม่มีใคร...คนใดทดแทนได้เหมือนเธอ
หากขาดกันไปวันใด หัวใจมันคงละเมอ...
ก็เพราะว่าเรานั้นเป็นคู่กัน

ทั้งๆที่ใจก็ต่างใจ
นิสัยใจคอเราก็ต่างกัน
ทั้งที่มีใคร...เข้ามาผูกพัน
ก็ไม่สำคัญไปมากกว่าเธอ...

คนหนึ่งเหงา...โฮ้โฮ อีกคนก็เหงา... โฮ้...
อย่างกับเรา...คือคนคนเดียวกัน

เกิดจากความรัก รัก รัก ความผูกพันในใจ
ไม่มีใคร...คนใดทดแทนได้เหมือนเธอ
หากขาดกันไปวันใด หัวใจมันคงละเมอ...
ก็เพราะว่าเรานั้นเป็นคู่กัน

(Rap)

เกิดจากความรัก รัก รัก ความผูกพันในใจ
ไม่มีใคร...คนใดทดแทนได้เหมือนเธอ
หากขาดกันไปวันใด หัวใจมันคงละเมอ...
ก็เพราะว่าเรานั้นเป็นคู่กัน

เกิดจากความรัก รัก รัก ความผูกพันในใจ
ไม่มีใคร...คนใดทดแทนได้เหมือนเธอ
หากขาดกันไปวันใด หัวใจมันคงละเมอ...
ก็เพราะว่าเรานั้นเป็นคู่กัน

หากขาดกันไปวันใด หัวใจมันคงละเมอ...
ก็เพราะว่าเรานั้นเป็นคู่กัน...",golf_mike
เต้นกันไหม,/music/thailyric/112,"เต้นกันไหมมี You and I
เรานั้นอยากจะ Dance With You
แค่จะเต้นอยากจะมัน เข้ามาลองให้รู้เอาละ
Yeah Right Let's Go!

เต้นกันไหมมี You and I
เรานั้นอยากจะ Dance With You
แค่จะเต้นอยากจะมัน เข้ามาลองให้รู้เอาละ
Yeah Right Let's Go!

Let's Move Ii Twist
It On The Dance Floor
Now Everybody Wanna Move It, Shake It Don Don!
Spin It Like That, I Like That, Ma New Style
With Da Cap,You Can Catch, Make It Fly High

ก็ลองขยับ
ไปจังหวะบีทเพลง
อะไรคือความมัน
เธอนั้นจะรู้เอง
ปล่อยใจไปตามเพลงนี้
จังหวะแบบนี้ เดี๋ยวก็คุ้นเคย
ถ้าเธอไม่รู้ยังไงก็บอกมา

Baby Don't Ya Hide
Your Self Now Let's Show
เปิดใจล่องลอย
กับความสนุกแบบนี้ดูสักที

หากหงุดหงิด
แค่อยากสะกิดบอกเธอ
ใครที่เธอเจอมาเลยช้ำใจ
ดูเธออารมณ์ไม่ดี
มาDance ให้หมดความช้ำ
โยนมันทิ้งไป

กระฉับกระเฉง
มาเต้นดีกว่าเธอ
I Wanna Be To Want Let's Show Now
รับประกันได้เลย
จะลืมเรื่องนี้ไม่เกิน To Night

เต้นกันไหมมี You and I
เรานั้นอยากจะ Dance With You
แค่จะเต้นอยากจะมัน เข้ามาลองให้รู้เอาละ
Yeah Right Let's Go!

Let's Move Ii Twist
It On The Dance Floor
Now Everybody Wanna Move It, Shake It Don Don!
Spin It Like That, I Like That, Ma New Style
With Da Cap,You Can Catch, Make It Fly High

Let's Move Ii Twist
It On The Dance Floor
Now Everybody Wanna Move It, Shake It Don Don!
Spin It Like That, I Like That, Ma New Style
With Da Cap,You Can Catch, Make It Fly High

เต้นกันไหมกันไหมกันไหม
เต้นกันไหมกันไหมกันไหม
Come On Everybody Dance

เต้นกันไหมมี You and I
เรานั้นอยากจะ Dance With You
แค่จะเต้นอยากจะมัน เข้ามาลองให้รู้เอาละ
Yeah Right Let's Go!

Let's Move Ii Twist
It On The Dance Floor
Now Everybody Wanna Move It, Shake It Don Don!
Spin It Like That, I Like That, Ma New Style
With Da Cap,You Can Catch, Make It Fly High

Let's Move Ii Twist
It On The Dance Floor
Now Everybody Wanna Move It, Shake It Don Don!
Spin It Like That, I Like That, Ma New Style
With Da Cap,You Can Catch, Make It Fly High

โปรดฟังเพลงนี้
แล้วลืมทุกสิ่ง
พวกเรื่องราวเลวร้าย
เต้นกันไหมมี You And I
เรานั้นอยากจะ Dance With You
แค่จะเต้นอยากจะมัน เข้ามาลองให้รู้เอาละ

Yeah Right Let's Go!
เต้นกันไหมมี You and I
เรานั้นอยากจะ Dance With You
Yeah Right Let's Go!",golf_mike
มาย ซูปเปอร์ สตาร์ (My Super Star),/music/thailyric/120,"I don't really know where you are
Are u in your car? In your room ?
I just wanna be there for you Oh Baby!
แต่ไม่รู้เธออยู่ที่ใด ทําอะไรไปกับใคร
ฉันอยากจะรู้ แต่มันยากจะไขว่คว้า

และฉันก็รู้ว่าเอื้อมไม่ถึง
เพราะเธอนั้นมีผู้คนรอบกาย
แต่ใจไม่เปลี่ยนแปลง
และตัวเรานั้นก็ห่างกันไกล
แต่ยังไงใจเรายังอยู่ใกล้กัน ไม่ไปไหน

ให้เธอที่หนึ่งในใจฉันเพียงคนเดียว เธอจะรู้ไหม
อยากให้รู้ อยากให้รู้ อยากให้รู้ว่ารักเธอ
ขอให้ช่วยเซ็นคำว่ารักกลางใจ อยากมีเจ้าของ
อยากให้รู้ อยากให้รู้ เธอคือ My Super Star

เธอคือคนที่ฉันเฝ้ามองหา
เธอจะเห็นหรือเปล่า รู้หรือเปล่า
That u make me smile
Every minutes of everyday
และหัวใจของฉันมันเต้นเป็นจังหวะดังว่า
รักเธอที่สุดเลย รักเธอที่สุดเลย

และฉันก็รู้ว่าเอื้อมไม่ถึง
เพราะเธอนั้นมีผู้คนรอบกาย แต่ใจไม่เปลี่ยนแปลง
และตัวเรานั้นก็ห่างกันไกล
แต่ยังไงใจเรายังอยู่ใกล้กัน ไม่ไปไหน

ให้เธอที่หนึ่งในใจฉันเพียงคนเดียว เธอจะรู้ไหม
อยากให้รู้ อยากให้รู้ อยากให้รู้ว่ารักเธอ
ขอให้ช่วยเซ็นคำว่ารักกลางใจ อยากมีเจ้าของ
อยากให้รู้ อยากให้รู้ เธอคือ My Super Star

My Super Star Where ever You
Go I Will Be Where You Are
My Super Star Where ever You
Go I Will Be Where You Are
My Super Star Where ever You
Go I Will Be Where You Are

ให้เธอที่หนึ่งในใจฉันเพียงคนเดียว เธอจะรู้ไหม
อยากให้รู้ อยากให้รู้ อยากให้รู้ว่า รักเธอ
ขอให้ช่วยเซ็นคำว่ารักกลางใจ อยากมีเจ้าของ
อยากให้รู้ อยากให้รู้ My Super Star

เธอที่หนึ่งในใจฉันเพียงคนเดียว เธอจะรู้ไหม
อยากให้รู้ อยากให้รู้ อยากให้รู้ว่า รักเธอ
ขอให้ช่วยเซ็นคำว่ารักกลางใจ อยากมีเจ้าของ
อยากให้รู้ อยากให้รู้ My Super Star",golf_mike
ไม่พอดีไม่ดีพอ,/music/thailyric/125,"ใกล้เกินไป ก็เลยถูกมองเลยไป
จะทำยังไงก็ไม่ดีพอสักทีในสายตา
มากเกินไปก็ทำให้เธอรำคาญ
จะทำอะไรก็ไม่พอดีกับใจเธอสักครั้ง

เนิ่นนานเพียงใดไม่เคยสำคัญอยู่ไปวันๆ
เหมือนฉันเป็นเพียงแค่คนคนนึงที่ไม่เคยโดนใจ
ไม่เห็นค่าอะไรกับสิ่งที่ทำ

แค่เพียงเพราะเธอไม่รัก ก็เลยไม่ดีใช่ไหม
จะทำอะไรก็ไม่เคยพอใจ นี่ใช่ไหมคือเหตุผล
ผิดตรงที่เธอไม่รัก ก็มันจะไปโทษใคร
ไม่เหมือนบางคน คนที่เธอมีใจ
จะทำอะไรยังไงเธอก็ว่าดี

ไม่พอดีและไม่เคยดีเพียงพอ
ทุ่มเทลงไปไม่ได้อะไรกลับคืนให้ชื่นใจ
ไม่มีทาง ไม่มีสิทธิ์ถามใช่ไหม
จะได้ตั้งใจไม่หวังอะไรต่อไปให้ยิ่งช้ำ

เนิ่นนานเพียงใดไม่เคยสำคัญอยู่ไปวันๆ
เหมือนฉันเป็นเพียงแค่คนคนนึงที่ไม่เคยโดนใจ
ไม่เห็นค่าอะไรกับสิ่งที่ทำ

แค่เพียงเพราะเธอไม่รัก ก็เลยไม่ดีใช่ไหม
จะทำอะไรก็ไม่เคยพอใจ นี่ใช่ไหมคือเหตุผล
ผิดตรงที่เธอไม่รัก ก็มันจะไปโทษใคร
ไม่เหมือนบางคน คนที่เธอมีใจ
จะทำอะไรยังไงเธอก็ว่าดี

เพียงคำเดียวแค่เธอยืนยัน
ถ้าเธอรำคาญฉันก็จะไป
เพียงคำเดียวว่าไม่มีใจ
ฉันจะไม่ดึงดัน
กับเธออีกแล้ว ไม่มีอีกแล้ว

แค่เพียงเพราะเธอไม่รัก ก็เลยไม่ดีใช่ไหม
จะทำอะไรก็ไม่เคยพอใจ นี่ใช่ไหมคือเหตุผล
ผิดตรงที่เธอไม่รัก ก็มันจะไปโทษใคร
ไม่เหมือนบางคน คนที่เธอมีใจ
จะทำอะไรยังไงเธอก็ว่าดี",golf_mike
ยิ่งรักยิ่งเจ็บ,/music/thailyric/127,"พยายามทำใจ ท่องเอาไว้เลย
เธอไม่รัก เธอไม่รัก
เธอมีใครในใจ บอกมาได้เลย
ดีกว่าเฉย ไม่มองไม่มาสนใจ

ทำต่อกันเหมือนฉันไม่ดีไม่มีค่าอะไร
เหมือนกับคนไม่มีประโยชน์ิอะไร

บอกกับฉันว่าเธอไม่รักก็จบ
เธอไม่อยากจะพบจะผูกจะพัน
ไม่ต้องสงสารแค่นั้นฉันก็เข้าใจ

บอกกับฉันว่าเธอไม่รักก็พอ
ไม่ได้ขอให้เธอมาเปลี่ยนใจ
ฉันเองก็ท้อเจ็บปวดใจ
ยิ่งรักเท่าไรยิ่งเจ็บ

มองดูปฏิทินเปลี่ยนไปทุกวัน
เหมือนกับเธอที่เปลี่ยนไป
พยายามลืมเธอให้หมดจากหัวใจ
ทั้งที่รู้ว่ามันฝืนใจตัวเอง

ทำต่อกันเหมือนฉันไม่ดีไม่มีค่าอะไร
เหมือนกับคนไม่มีประโยชน์ิอะไร

บอกกับฉันว่าเธอไม่รักก็จบ
เธอไม่อยากจะพบจะผูกจะพัน
ไม่ต้องสงสารแค่นั้นฉันก็เข้าใจ

บอกกับฉันว่าเธอไม่รักก็พอ
ไม่ได้ขอให้เธอมาเปลี่ยนใจ
ฉันเองก็ท้อเจ็บปวดใจ
ยิ่งรักเท่าไรยิ่งเจ็บ

บอกกับฉันว่าเธอไม่รักก็จบ
เธอไม่อยากจะพบจะผูกจะพัน
ไม่ต้องสงสารแค่นั้นฉันก็เข้าใจ

บอกกับฉันว่าเธอไม่รักก็พอ
ไม่ได้ขอให้เธอมาเปลี่ยนใจ
ฉันเองก็ท้อเจ็บปวดใจ
ยิ่งรักเท่าไรยิ่งเจ็บ",golf_mike
ยู (You),/music/thailyric/128,"What do you see เมื่อเธอมองมาที่ฉัน
Do you see forever
Everything ที่เราได้ทำมา
Does it make you feel good เมื่อฉันต้องไป

And I wonder ทุกๆ ครั้งที่เราแยกกัน
Baby does your heart
cry out the way mine does for you girl
ทุกๆ ครั้งที่เราแยกกัน ฉันไดัแต่คิดถึงเธอ
I try not to but I just cant stop thinking

Its only you coz no one else will do
ทั้งใจนั้นมีแค่ You คนเดียวที่ฉันนั้นคอยคิดถึง
Oh baby you no matter what I do
My love is you ไม่มีวันเปลี่ยนแปลง

We used to be ได้แค่คนที่รักกัน
Girl come back to my door
Everytime ที่ทำให้เสียใจ
Baby please forgive me อย่าจากฉันไป

And I wonder ทุกๆ ครั้งที่เราแยกกัน
Baby does your heart
cry out the way mine does for you girl
ทุกๆ ครั้งที่เราแยกกัน ฉันไดัแต่คิดถึงเธอ
I try not to but I just cant stop thinking

Its only you coz no one else will do
ทั้งใจนั้นมีแค่ You คนเดียวที่ฉันนั้นคอยคิดถึง
Oh baby you no matter what I do
My love is you ไม่มีวันเปลี่ยนแปลง

Coz girl its hard to sing without you
You are my song You are my song
If I had the chance to make things right
Ill make it so u stay coz baby

Its only you coz no one else will do
ทั้งใจนั้นมีแค่ You คนเดียวที่ฉันนั้นคอยคิดถึง
Oh baby you no matter what I do
My love is you ไม่มีวันเปลี่ยนแปลง

Its only you coz no one else will do
ทั้งใจนั้นมีแค่ You คนเดียวที่ฉันนั้นคอยคิดถึง
Oh baby you no matter what I do
My love is you ไม่มีวันเปลี่ยนแปลง",golf_mike
เลตส์ เก็ต ดาวน์ (Let's Get Down),/music/thailyric/130,"เนื้อรอง ขันเงิน เนื้อนวล, Suberbian
ทำนอง/เรียบเรียง จิตรกร มงคลธรรม
ร่วมร้องโดย ขัน ไทยเทเนี่ยม

เรามา get down get down on the floor
เรามา get down get down on the floor
เรามา get down get down on the floor
Down ดิ๊กกี้ดิ๊กกี้ down
down ดิ๊กกี้ดิ๊กกี้ down come on

เรามา get down get down on the floor
เรามา get down get down on the floor
เรามา get down get down on the floor
Down ดิ๊กกี้ดิ๊กกี้ down
down ดิ๊กกี้ดิ๊กกี้ down come on

Come on Come on มาเต้นกันบน floor now
get down get down ลงมาเต้นบน floor now

Come on Come on มาเต้นกันบน floor now
get down get down ลงมาเต้นบน floor now

มีบางสิ่งที่อยากให้เธอรู้ สิ่งที่ไม่เคยที่จะให้ใครรู้
Baby I think you kinda know it too
ก็อยากให้เธอมาลองกับฉันดู

Baby u got me going crezy
ก็อยากให้เธอมาเป็น my baby
So we can get it popping lady
เขยิบเข้ามาผมอยากจะ touch เขยิบเข้ามา OH!

Do u wanna get down wanna get down
Do u wanna get down
Do u wanna wanna wanna

Do u wanna get down wanna get down
Do u wanna get down
Do u wanna wanna wanna

เรามา get down get down on the floor
เรามา get down get down on the floor
เรามา get down get down on the floor
Down ดิ๊กกี้ดิ๊กกี้ down
down ดิ๊กกี้ดิ๊กกี้ down come on

Come on Come on มาเต้นกันบน floor now
get down get down ลงมาเต้นบน floor now

Come on Come on มาเต้นกันบน floor now
get down get down ลงมาเต้นบน floor now

อย่าคิดว่าผมเป็นคนเช้าชู้
say hallo ก็เพราะว่าผมนั้นรู้
คนที่ผมเฝ้ารอคุณอยู่
ถ้าไม่เชื่อก็ลองมาคบกันดู

Baby u got me going crezy
ก็อยากให้เธอมาเป็น my baby
So we can get it popping lady
เขยิบเข้ามาผมอยากจะ touch เขยิบเข้ามา

get down get down get down get down
get down get down get down OH!

อู A work it 2 da right
Let me get to u Ima give it up ทั้งใจ
อู A work it 2 da right
One for da money &amp; Two for da mic

get down get down get down get down
get down get down get down OH!

(Rap)

เรามา get down down diggy
KH สาวๆ ต้องเข้าใจไม่ใช้ใคร
it's golf mike with me
สาวๆ ต้อง scream loud ถ้า you pretty
สร้อยคอ swing bling blaow อยู่ใจ city
อยากจะ shake go head mama
เอาให้ไว้อย่าให้ late ก็ feel da bass mama
i rip and trip on the microphone
และส่งเสียงดังเพื่อออกลำโพง
เรื่องปฎิบัติการณ์ไม่ต้องผมน่ะ pro let's go

get down get down get down
get down get down get down
get down get down get down
get down get down get down",golf_mike
อินสไปเรชัน (Inspiration),/music/thailyric/135,"แค่เพียงเธอเดิน เธอทำอะไร
จะ Move ข้างซ้ายหรือข้างขวา ไม่ธรรมดา
เธอพาให้ฉัน นั้นคอยนั่งคิดถึงแค่เธอ
แค่เพียงเธอฮัม ขึ้นมาเป็นเพลง
แต่งเองฮัมเองก็ตามที แต่เธอก็ทำให้ใจคนนี้
เต้นดังเป็นเสียงนั้นของเธอ

เสียงที่ฟังและภาพที่เห็นจากเธอมันเป็น Inspiration
เธอเป็นคนเข้ามาบันดาลสิ่งอัศจรรย์ เกิดขึ้นในใจ

Baby you make me so hot.
You drive me crazy รู้ไหม
เธอเป็นแรงบันดาลใจ ให้ฉันเจอกับสีสันใหม่ๆ
Baby you make me so hot.
อะไรก็ห้ามฉันไม่ไหว เธอเป็นแรงบันดาลใจ
ให้ฉันเจอและเห็นโลกใหม่ๆ

แค่ยิ้มนิดนิด แค่ยิ้มน้อยน้อย
จากความที่เธอสบายใจ จะรู้บ้างไหม
ใจคนคนนี้ ยากเกินจะไม่ให้ยิ้มตาม
แค่เสียงเล็กเล็ก แค่เสียงเพราะเพราะ
กับคำบางคำที่เธอมี ให้รู้ไว้ซะ
ว่าคนคนนี้ ยากเกินจะไม่ให้คล้อยตาม

เสียงที่ฟังและภาพที่เห็นจากเธอมันเป็น Inspiration
เธอเป็นคนเข้ามาบันดาลสิ่งอัศจรรย์ เกิดขึ้นในใจ

Baby you make me so hot.
You drive me crazy รู้ไหม
เธอเป็นแรงบันดาลใจ ให้ฉันเจอกับสีสันใหม่ๆ
Baby you make me so hot.
อะไรก็ห้ามฉันไม่ไหว เธอเป็นแรงบันดาลใจ
ให้ฉันเจอและเห็นโลกใหม่ๆ

เสียงที่ฟังและภาพที่เห็นจากเธอมันเป็น Inspiration
เธอเป็นคนเข้ามาบันดาลสิ่งอัศจรรย์ เกิดขึ้นในใจ

Baby you make me so hot.
You drive me crazy รู้ไหม
เธอเป็นแรงบันดาลใจ ให้ฉันเจอกับสีสันใหม่ๆ
Baby you make me so hot.
อะไรก็ห้ามฉันไม่ไหว เธอเป็นแรงบันดาลใจ
ให้ฉันเจอและเห็นโลกใหม่ๆ

Baby you make me so hot.
You drive me crazy รู้ไหม
เธอเป็นแรงบันดาลใจ ให้ฉันเจอกับสีสันใหม่ๆ
Baby you make me so hot.
อะไรก็ห้ามฉันไม่ไหว เธอเป็นแรงบันดาลใจ
ให้ฉันเจอและเห็นโลกใหม่ๆ",golf_mike
เซ็กซี่ เกิร์ล (Sexy Girl),/music/thailyric/108,"ไม่เคยเจอะใครเท่าเธอ ไม่เคยมองใครเท่าเธอ
Oh Sexy Girl เธอทำให้ใจมันหวั่นไหว
แค่เธอมองด้วยสายตา ก็ทำให้ฉันเข้าใจ
ว่าตัวเธอนั้น ไม่เคยรักกันเลยใช่ไหม

แค่อยากให้เธอได้รู้ว่าคนอย่างฉัน ก็มีดีไม่น้อย

Hey Sexy Girl เธอทำให้ใจสั่นไหว
ยิ่งอยู่ใกล้เท่าไร เธอทำให้ฉันลุกเป็นไฟ
Hey Sexy Girl Com'on. Get close to me.
อยากโชว์ให้รู้ ว่าฉันรักเธอ รักเธอกว่าใคร

ยิ่งมองก็ยิ่งเข้าตา เพราะเธอไม่ค่อยเหมือนใคร
Just want say คำว่ารัก คำเดียวได้ไหม
ถ้าเธอมีคนรอบกาย เข้ามาให้เลือกมากมาย
และคนอย่างฉัน ก็ต้องช้ำใจไปอย่างนี้

แค่อยากให้เธอได้รู้ว่าคนอย่างฉัน ก็มีดีไม่น้อย

Hey Sexy Girl เธอทำให้ใจสั่นไหว
ยิ่งอยู่ใกล้เท่าไร เธอทำให้ฉันลุกเป็นไฟ
Hey Sexy Girl Com'on. Get close to me.
อยากโชว์ให้รู้ ว่าฉันรักเธอ รักเธอกว่าใคร

(rap)

แค่อยากให้เธอได้รู้... ว่ามีดีไม่น้อย

Hey Sexy Girl เธอทำให้ใจสั่นไหว
ยิ่งอยู่ใกล้เท่าไร เธอทำให้ฉันลุกเป็นไฟ
Hey Sexy Girl Com'on. Get close to me.
อยากโชว์ให้รู้ ว่าฉันรักเธอ รักเธอกว่าใคร

Hey Sexy Girl เธอทำให้ใจสั่นไหว
ยิ่งอยู่ใกล้เท่าไร เธอทำให้ฉันลุกเป็นไฟ
Hey Sexy Girl Com'on. Get close to me.
อยากโชว์ให้รู้ ว่าฉันรักเธอ รักเธอกว่าใคร",golf_mike
