song_name,href,lyric,artist
กาลเวลา,/music/thailyric/9835,"เธอยังจำวันเหล่านั้นได้หรือเปล่า
วันที่เราร้องเพลงด้วยกัน
เธอยังจำเพลงเพลงนั้นได้หรือไม่
เพลงที่ผูกใจเราไว้

แต่วันเวลาอาจทำให้เราเหินห่าง
อาจลืมมันไปในบางครั้ง
แต่กาลเวลาก็ไม่ชนะทุกอย่าง
ยังแพ้ความผูกพันที่เรามี

อยากให้เพลงนี้มันลอยล่องไป อยู่ในกาลเวลา
วันเวลาจะเปลี่ยนหมุนไป
ให้ทุกทุกครั้งที่เธอได้ยินเพลงนี้เมื่อใด
ให้รู้ว่ายังมีใครอีกคน

ที่ห่วงเธอทุกทุกเรื่องราว
ทุกทุกความเป็น ไปไม่ว่าจะร้ายหรือดี
ได้ยินเพลงนี้ดังขึ้นเมื่อใด ให้รู้ฉันอยู่ข้างข้างเสมอ

ฉันยังจำวันเหล่านั้นได้ดี จำเพลงที่เราร้องด้วยกัน
ไม่ว่าเดือนปีกี่หนาวพัดผ่าน ฉันยังคงเก็บมันไว้

แต่บางเวลาอาจมีที่เราต้องเหินห่าง
อาจลืมมันไปในบางครั้ง
แต่กาลเวลา ก็ไม่ชนะทุกอย่าง
ยังแพ้ความผูกพันที่เรามี

อยากให้เพลงนี้มันลอยล่องไป อยู่ในกาลเวลา
วันเวลาจะเปลี่ยนหมุนไป
ให้ทุกทุกครั้งที่เธอได้ยินเพลงนี้เมื่อใด
ให้รู้ว่ายังมีใครอีกคน

ที่ห่วงเธอทุกทุกเรื่องราว
ทุกทุกความเป็น ไปไม่ว่าจะร้ายหรือดี
ได้ยินเพลงนี้ดังขึ้นเมื่อใด ให้รู้ฉันอยู่ข้างข้างเสมอ
ฉันอยู่ข้างข้างเสมอ

อยากให้เพลงนี้มันลอยล่องไป อยู่ในกาลเวลา
วันเวลาจะเปลี่ยนหมุนไป
ให้ทุกทุกครั้งที่เธอได้ยินเพลงนี้เมื่อใด
ให้รู้ว่ายังมีใครอีกคน

ทุกทีที่เธอเหงา ทุกทีที่เธอเหงา จะมีฉันอยู่ตรงนี้

ได้ยินเพลงนี้ดังขึ้นเมื่อใด ให้รู้ฉันอยู่ข้างข้าง
เพลงนี้ดังขึ้นเมื่อใด ให้รู้ยังมีฉันอยู่เสมอ
เธอมีฉันอยู่เสมอ",gun_napat
ฉันรักไม่พอหรือเธอขอมากไป,/music/thailyric/8923,"กว่าฟ้าจะพาให้เรามาพบกัน
กว่าเรานั้นจะรักกัน
กว่าจะกลายเป็นความผูกพันและความมั่นใจ
มันไม่ใช่เรื่องง่ายดาย เธอจึงมีค่ามากมาย
ที่ฉันจะหยุดชีวิตไว้ เแค่พียงเธอ

ฉันหยุดที่เธอ แต่เธอนั้นหยุดที่ใคร
ยิ่งรักเธอมากเท่าไร
ก็ยิ่งพบว่าในหัวใจฉันยิ่งอ้างว้าง
อึดอัดกับความสงสัย รักเธอไม่เคยเต็มหัวใจ
เธอยังต้องการ ส่วนฉันต้องทำอย่างไร

ยังรักเธอไม่พอใช่มั้ย
หรือเธอขอมันมากไป ถ้ารู้รักยังน้อยไป
ฉันก็พร้อมจะทำเพื่อเธอ แต่ตอนนี้สิ่งที่ทุกข์ใจ
คือไม่รู้จะเติมเต็มความรักให้เธออย่างไร

ต้องรักเธอรักมากแค่ไหน ต้องทุ่มเทสักเท่าไหร่
ยอมรับ ฉันหมดเรี่ยวแรง
กับรักที่ไร้จุดหมาย และตอนนี้ยิ่งรักยิ่งท้อ
การรักเธอต่อรู้ดีต้องจบอย่างไร

ฉันหยุดที่เธอ แต่เธอนั้นหยุดที่ใคร
ยิ่งรักเธอมากเท่าไร ก็ยิ่งพบว่าในหัวใจฉันยิ่งอ้างว้าง
อึดอัดกับความสงสัย รักเธอไม่เคยเต็มหัวใจ
เธอยังต้องการ ส่วนฉันต้องทำอย่างไร

ยังรักเธอไม่พอใช่มั้ย
หรือเธอขอมันมากไป ถ้ารู้รักยังน้อยไป
ฉันก็พร้อมจะทำเพื่อเธอ แต่ตอนนี้สิ่งที่ทุกข์ใจ
คือไม่รู้จะเติมเต็มความรักให้เธออย่างไร

ต้องรักเธอรักมากแค่ไหน ต้องทุ่มเทสักเท่าไหร่
ยอมรับ ฉันหมดเรี่ยวแรง
กับรักที่ไร้จุดหมาย และตอนนี้ยิ่งรักยิ่งท้อ
การรักเธอต่อรู้ดีต้องจบอย่างไร

เมื่อรักแท้ต้องมาพ่ายแพ้ซึ่งความต้องการ
ที่ไม่สิ้นสุดของเธอ",gun_napat
ระยะทำใจ,/music/thailyric/182,"เจ็บและจริงๆ ก็พร้อมจะไป
แต่วันนี้เธอเป็นคนที่ขอให้รอ
อีกครั้งที่จะยอมเธอ แม้ใจมันจะท้อ
กับการต้องรอ ให้เธอนั้นเคลียร์เรื่องเขา

หลบอยู่ลำพังเพราะหวังลมๆ
กับเหตุผลที่เธอเป็นคนพูดให้ดีใจ
กับเขาที่คบทุกวัน มันเหมือนทนกันไป
อยู่ในระยะทำใจในการเลิกรา

อีกนานไหม เธอจะทำใจได้หรือเปล่า
หากว่ามันยืดยาว แล้วฉันต้องทำเช่นไร
ที่มันท้อไม่ใช่ต้องรอถึงเมื่อไร แต่กลัวเธอไม่ตัดใจ
สุดท้ายคนรอไม่เหลืออะไร
ยิ่งซ้ำเติมความเสียใจ ให้คนที่มันรักเธอ

เสี่ยงอยู่กับรักที่ต้องทนรอ แต่เธอขอ
ก็พร้อมจะรอ แม้นานเพียงไร
ก็รู้ลึกๆ แล้วเธอยังรักเขาเต็มใจ
ความหวังที่รอในใจ มันอาจไม่มี

อีกนานไหม เธอจะทำใจได้หรือเปล่า
หากว่ามันยืดยาว แล้วฉันต้องทำเช่นไร
ที่มันท้อไม่ใช่ต้องรอถึงเมื่อไร แต่กลัวเธอไม่ตัดใจ
สุดท้ายคนรอไม่เหลืออะไร
ยิ่งซ้ำเติมความเสียใจ ให้คนที่มันรักเธอ

สุดท้ายคนรอไม่เหลืออะไร
ยิ่งซ้ำเติมความเสียใจ ให้คนที่มันรักเธอ",gun_napat
กันและกัน,/music/thailyric/179,"คำว่ารักคำนี้ที่เรามีให้กัน
วันและคืนดีๆ เหล่านั้น นั่นคือสัญญา
จะไม่ลืมกัน แม้จะต้องลา
ฟ้าแยกเราห่างกัน

ต่อให้ไกลแค่ไหน ฉันจะไม่กังวล
จะไม่ยอมให้ใจสับสนเพราะระยะทาง
ไม่ให้เวลาพารักเราให้จาง
เพราะว่าทุกๆ อย่าง นั่นคือความผูกพัน

หากว่ารักแล้ว ก็ต้องเชื่อใจ
จะไม่ฟังใคร ฉันเชื่อเธอเท่านั้น
ขอสัญญา ว่าไม่ไหวหวั่น
รู้แค่เรามีกันและกันเท่านั้นพอ

ต่อให้นานแค่ไหน ฉันก็ไม่เคยหวั่น
ต่อให้เราไม่ได้เจอกัน ฉันก็เข้าใจ
ให้ต้องรอเธอ นานแสนนานเท่าไร
แต่ฉันก็ยังมั่นใจ ไม่มีไหวหวาดกลัว

ต่อให้ไกลแค่ไหน ฉันจะไม่กังวล
จะไม่ยอมให้ใจสับสนเพราะระยะทาง
ไม่ให้เวลาพารักเราให้จาง
เพราะว่าทุกๆ อย่าง นั่นคือความผูกพัน

หากว่ารักแล้ว ก็ต้องเชื่อใจ
จะไม่ฟังใคร ฉันเชื่อเธอเท่านั้น
ขอสัญญา ว่าไม่ไหวหวั่น
รู้แค่เรามีกันและกันเท่านั้นพอ

ต่อให้นานแค่ไหน ฉันก็ไม่เคยหวั่น
ต่อให้เราไม่ได้เจอกัน ฉันก็เข้าใจ
ต่อให้ต้องรอเธอ นานแสนนานเท่าไร
แต่ฉันก็ยังมั่นใจ ไม่มีไหวหวาดกลัว

ให้ต้องรอเธอ นานแสนนานเท่าไร
แต่ฉันก็ยังมั่นใจไม่มีไหวหวาดกลัว",gun_napat
กันเอง,/music/thailyric/180,"เธออยากรักกัน ทำไมไม่บอก
มัวหยอกฉันมา มัวแหย่ฉันไป
อ้อมไปไหนก็ไม่รู้ ทำไมล่ะทำไม
ไม่พูดกันตรงๆ หละ

เธอแอบคิดไกล ทำไมไม่บอก
มาหลอกให้คนใกล้ๆ ต้องงง
กล้าหน่อยสิ ถ้ามั่นใจว่าเธอจะมั่นคง
เผยความจริงมาเถอะน่า

เรากันเองอยู่แล้ว
โธ่! เรื่องแค่นี้ไม่เห็นต้องปิด
คนเราจะรัก ไม่ใช่เรื่องผิด
บอกมาเถอะเธอคิดยังไง

คบกันมานานแล้ว
อยากเปลี่ยนจากเพื่อนเป็นคนรู้ใจ
แค่กระซิบมาเบาๆ ได้ไหม
จะมอบใจ ให้เธอทันที

ใกล้กันได้อีกนิดนะ
ชิดกันได้อีกหน่อยน่า

เธออยากชิดกันทำไมไม่บอก
ง่ายออกพูดมาจะได้รึเปล่า
อยากกระแซะให้กระแซะ
ไม่ต้องมัวกระเซ้า ขอแค่เธอนั้นเอ่ย

ถ้าอยากหอมกันเพียงเธอนั้นบอก
จะยื่นแก้มซ้ายให้เธอหอมเลย
เลิกทำเฉไฉแบบนั้น
ให้คลุมเครือเหมือนเคย ชัดเจนเลยดีกว่าน่า

เรากันเองอยู่แล้ว
โธ่! เรื่องแค่นี้ไม่เห็นต้องปิด
คนเราจะรัก ไม่ใช่เรื่องผิด
บอกมาเถอะเธอคิดยังไง

คบกันมานานแล้ว
อยากเปลี่ยนจากเพื่อนเป็นคนรู้ใจ
แค่กระซิบมาเบาๆ ได้ไหม
จะมอบใจ ให้เธอทันที

รักได้แน่นะ อ๊ะ! คุณช่วยบอก
อย่าลวงอย่าหลอกให้ฉันดีใจ
หากฉันยื่นรักไป คุณต้องรับไว้นะคุณ

รักได้แน่นะ อ๊ะ! คุณช่วยบอก
อย่าลวงอย่าหลอกให้ฉันดีใจนะ
หากฉันยื่นรักไป คุณต้องรับไว้นะคุณ

เรากันเองอยู่แล้ว
โธ่! เรื่องแค่นี้ไม่เห็นต้องปิด
คนเราจะรัก ไม่ใช่เรื่องผิด
บอกมาเถอะเธอคิดยังไง

คบกันมานานแล้ว
อยากเปลี่ยนจากเพื่อนเป็นคนรู้ใจ
แค่กระซิบมาเบาๆ ได้ไหม
จะมอบใจ ให้เธอทันที
จะมอบใจ ให้เธอทันทีเลย",gun_napat
ปลุกฉันได้ไหม,/music/thailyric/181,"รอ เธอโทรมาคุยทุกๆคืน
ทั้งที่เธอมีคนอื่น
และคงลืม ลืมเบอร์ฉันแล้ว
ด้วยซ้ำไป

ฟัง ซีดีเพลงเดิมนั้นทีไร
ก็คิดถึงวันที่สดใส
คิดไป ยิ้มไป
ยังจมอยู่ในฝันดี

ยังคอยละเมอ ยังเพ้อถึงกันอยู่ทุกที
ถ้าเราเจอะ ขอเถอะ
อย่าทิ้งฉันไว้อย่างนี้
ถ้าเธอหวังดี วานสะกิดให้ฉันได้รู้ตัว

ช่วยปลุกฉันได้ไหม
ให้ตื่นขึ้นมา รับรู้ความจริง
ว่าวันนี้ทุกสิ่ง ที่มีได้พังทลาย

บอกกับฉันว่ารักเราจบ
ว่าเธอคบเขา ไม่รู้หรือไง
ใช้คำรุนแรงเพียงใด
จะไม่ว่าเธอเลยสักคำ ช่วยทำให้ที

เบื่องมงายอย่างนี้ เฝ้าฝืนใจ
แต่เป็นเหมือนคนที่หลับใหล
ฝืนลุกยังไง ถูกดึงด้วยความรักเธอ

ยังคอยละเมอ ยังเพ้อถึงกันอยู่ทุกที
ถ้าเราเจอะ ขอเถอะ
อย่าทิ้งฉันไว้อย่างนี้
ถ้าเธอหวังดี วานสะกิดให้ฉันได้รู้ตัว

ช่วยปลุกฉันได้ไหม
ให้ตื่นขึ้นมา รับรู้ความจริง
ว่าวันนี้ทุกสิ่ง ที่มีได้พังทลาย

บอกกับฉันว่ารักเราจบ
ว่าเธอคบเขา ไม่รู้หรือไง
ใช้คำรุนแรงเพียงใด
จะไม่ว่าเธอเลยสักคำ ช่วยทำให้ที

ช่วยปลุกฉันได้ไหม
ให้ตื่นขึ้นมา รับรู้ความจริง
ว่าวันนี้ทุกสิ่ง ที่มีได้พังทลาย

บอกกับฉันว่ารักเราจบ
ว่าเธอคบเขา ไม่รู้หรือไง
ใช้คำรุนแรงเพียงใด
จะไม่ว่าเธอเลยสักคำ ช่วยทำให้ที",gun_napat
เฮ้อ,/music/thailyric/183,"ดวงดาวจะสวยเท่าไร ไม่สวยเท่าดวงตาเธอ
คงทำได้แค่นั่งเหม่อ เมื่อไม่มีเธอให้มอง
ใครเดินเคียงคู่กันไป เห็นแล้วจิตใจร่ำร้อง
ไม่น่าทำให้เธองอน อยากพูดว่าฉันขอโทษ

โทรเข้าไปอยากฟังเสียงเธอ
ได้เจอแค่เสียงรอสาย
ฉันได้เพียงทอดถอนใจผู้เดียว เฮ้อ

ทำไงเธอถึงจะยอมคืนดี (เฮ้อ)
ง้อเสียจนมันเหนื่อยใจเต็มที (เฮ้อ)
สำนึกแล้วว่าทำตัวไม่ดี อยากขอเธออภัย
ให้ฉันแก้ตัวอีกที

(เฮ้อ) เพิ่งรู้เมื่อไม่มีเธอกุมมือ
ความเหงามันคืออย่างนี้
ใจเพ้อรำพันคิดถึงเธอ ดีกันเถอะ
สงสารหัวใจฉันที

ใจอ่อนสักนิดได้โปรด ช่วยหายโกรธเคืองได้ไหม
เฝ้าอธิษฐานเบื้องบน ช่วยดลใจเธอให้เปลี่ยน
ไม่อาจลืมหน้าเธอลง เรื่องเรายังคงหมุนเวียน
ยังไงก็ได้ขอเพียง แต่เธอคืนมาเหมือนเก่า

โทรเข้าไปอยากฟังเสียงเธอ
ได้เจอแค่เสียงรอสาย
ฉันได้เพียงทอดถอนใจผู้เดียว เฮ้อ

ทำไงเธอถึงจะยอมคืนดี (เฮ้อ)
ง้อเสียจนมันเหนื่อยใจเต็มที (เฮ้อ)
สำนึกแล้วว่าทำตัวไม่ดี อยากขอเธออภัย
ให้ฉันแก้ตัวอีกที

(เฮ้อ) เพิ่งรู้เมื่อไม่มีเธอกุมมือ
ความเหงามันคืออย่างนี้
ใจเพ้อรำพันคิดถึงเธอ ดีกันเถอะ
สงสารหัวใจฉันที

(เฮ้อ เฮ้อ เฮ้อ)

เฮ้อ ทำไงเธอถึงจะยอมคืนดี (เฮ้อ)
ง้อเสียจนมันเหนื่อยใจเต็มที (เฮ้อ)
สำนึกแล้วว่าทำตัวไม่ดี อยากขอเธออภัย
ให้ฉันแก้ตัวอีกที

(เฮ้อ) เพิ่งรู้เมื่อไม่มีเธอกุมมือ
ความเหงามันคืออย่างนี้
ใจเพ้อรำพันคิดถึงเธอ ดีกันเถอะ
สงสารหัวใจฉันที เฮ้อ",gun_napat
รักแท้อยู่เหนือกาลเวลา,/music/thailyric/9449,"เวลาที่ล่วงเลยนั้นทำให้คนเปลี่ยนไป
สิ่งหนึ่งในใจยังไงก็ไม่เปลี่ยน
ก็คือความรักที่มีต่อเธอ
จะมั่นคงอย่างนี้เหนือกาลเวลา มากยิ่งกว่าอะไร

ต่อให้นานเพียงใด รักแท้ก็ยังคงเป็นรักแท้
ไม่มีวันจะแปรหรือน้อยลงไปตามเวลา
ถึงแม้บางครั้งชีวิตต้องเจออะไรกระหน่ำ
แต่ก็ไม่เคยทำให้รักเราเปลี่ยนแปลงไป

คนเราถ้าคู่กันไม่ว่าอะไรเปลี่ยนไป
สิ่งหนึ่งในใจยังไงก็ไม่เปลี่ยน
ก็คือความรักที่มีต่อเธอ
จะมั่นคงอย่างนี้เหนือกาลเวลา มากยิ่งกว่าอะไร

ต่อให้นานเพียงใด รักแท้ก็ยังคงเป็นรักแท้
ไม่มีวันจะแปรหรือน้อยลงไปตามเวลา
ถึงแม้บางครั้งชีวิตต้องเจออะไรกระหน่ำ
แต่ก็ไม่เคยทำให้รักเราเปลี่ยนแปลงไป

แม้จะต้องรอ ไม่รู้ว่านานเพียงใดก็จะไม่ท้อ
เพียงมีเธอก็พร้อมสู้ต่อไป
ทางจะไกลแค่ไหนก็อดทน
เพื่อให้ถึงในวันหนึ่งที่มันเป็นของเรา

ต่อให้นานเพียงใด รักแท้ก็ยังคงเป็นรักแท้
ไม่มีวันจะแปรหรือน้อยลงไปถ้ารักกันจริง
ถึงแม้บางครั้งชีวิตต้องเจออะไรกระหน่ำ
แต่ก็ไม่เคยทำให้รักเราเปลี่ยนแปลงไป

ฉันรักเธออย่างไร ก็รักไม่เปลี่ยนใจเลย
จะหยุดใจลงเอยที่เธอคนเดียวจนตาย",gun_napat
อาจเคยเป็นคนไม่ดี,/music/thailyric/8624,"ฉันเคยกลัว คอยกลัวจะมีสักวัน
ความหลังของฉันจะหวนมาทำให้เธอเสียใจ
ความลับที่บอกกับใครก็รับความจริงไม่ได้
แต่สุดท้ายความหลังเลวร้ายมันก็ติดตามฉันทัน

ถามว่าฉันเป็นเธอจะทำอย่างไร
ฉันก็คงทำใจยากเย็นอยู่เหมือนเหมือนกัน
ความลับที่เคยมีใครคือเรื่องวันวานของฉัน
แต่ว่าเธอเท่านั้นคือวันนี้ของฉันตลอดไป

อยากวอนขอให้อยู่ อยากวอนให้เธออภัย
สบตาฉันสักหน่อย อย่างคนที่เคยมีใจ
อาจเคยเป็นคนไม่ดี แต่มีเธอฉันเป็นคนใหม่
มีเธอตรงนี้ มีความหมายเพียงไร

แค่อยากวอนขอให้อยู่ ให้ฉันได้ดูแลเธอ
ต่อไปนี้จะไม่ทำร้ายให้เธอเสียใจ
ฉันสัญญา จะขอสัญญาด้วยรักจากใจ
ฉันพร้อมจะเป็นคนใหม่ คนดีที่รักแค่เพียงเธอ

แล้วถ้าเธอเป็นฉันจะทำอย่างไร
เพราะถ้าเสียเธอไปฉันคงขาดใจถึงตาย
ความหลังที่อยากจะลืมอาจลบมันไปไม่ได้
แต่ว่าเธอเท่านั้นเธอคือรักสุดท้ายตลอดไป

อยากวอนขอให้อยู่ อยากวอนให้เธออภัย
สบตาฉันสักหน่อย อย่างคนที่เคยมีใจ
อาจเคยเป็นคนไม่ดี แต่มีเธอฉันเป็นคนใหม่
มีเธอตรงนี้ มีความหมายเพียงไร

อยากวอนขอให้อยู่ได้ไหม
สบตาฉันสักหน่อย อย่างคนที่เคยมีใจ
เชื่อฉันจะได้ไหม มีเธอฉันเป็นคนใหม่
มีเธอตรงนี้ มีความหมายเพียงไร

แค่อยากวอนขอให้อยู่ให้ฉันได้กอดเธอเหมือนเคย
ฉันสัญญา จะขอสัญญาด้วยรักจากใจ
ฉันพร้อมจะเป็นคนใหม่ คนดีที่รักแค่เพียงเธอ",gun_napat
Sticker,/music/thailyric/14871,"เธอไลน์มาเป็นสติ๊กเกอร์รูปใหม่
ที่ฉันไม่เข้าใจ ว่าพยายามสื่อสารเรื่องอะไร
แต่เธอคุยมา ดีกรีก็เหมือนทั่วๆ ไป
แต่สติ๊กเกอร์รูปใหม่
มันทำให้ใจฉันนั้นเริ่มหวั่นไหว

หรือเธอจะเริ่มมีใจให้ฉันมากเกินกว่า
แค่เพื่อนที่มา แค่เพียงพูดและคุยทักทายเท่านั้น
แต่ว่าพอลองส่ง สติ๊กเกอร์ที่เกินกว่าเป็นเพื่อนกัน
แต่เธอนั้นกลับไม่ตอบสัญญาณอะไรกลับมาสักคำ

ตกลงเธอต้องการอะไรถึงส่งมา
ในเวลาที่ฉันกำลังไม่ว่าง
มันมองได้สองทาง
อย่างหนึ่งก็เป็นแค่เพียงเพื่อนกัน
แต่อีกทางนั้น ก็ทำให้ฉันแอบคิด
ว่าฉันกำลังมีสิทธิ์ใช่ไหม

จะส่งอะไรที่ทำให้ดูไม่คิดมาก (ไป)
และดูไม่เหมือนอยาก ที่จะรีบไปเร่งเธอ
ต้องใช้คำแบบไหน ถึงจะดูไม่สะเหล่อ
แต่ก็แรงพอให้เธอ ได้รู้สึกอะไรนิดๆ เหมือนกัน

เพราะว่าเหมือนเธอจะเริ่มมีใจให้ฉันมากเกินกว่า
แค่เพื่อนที่มา พูดและคุยทักทายเท่านั้น
แต่ว่าฉันลองส่ง สติ๊กเกอร์ที่เกินกว่าเป็นเพื่อนกัน
แต่เธอนั้นกลับไม่ตอบสัญญาณอะไรกลับมาสักคำ

ตกลงเธอต้องการอะไรถึงส่งมา
ในเวลาที่ฉันกำลังไม่ว่าง
มันมองได้สองทาง
อย่างหนึ่งก็เป็นแค่เพียงเพื่อนกัน
แต่อีกทางนั้น เธอทำให้ฉันแอบคิด
ว่าฉันกำลังมีสิทธิ์ใช่ไหม

ตกลงเธอต้องการอะไรถึงส่งมา
ในเวลาที่ฉันกำลังไม่ว่าง
มันมองได้สองทาง
อย่างหนึ่งก็เป็นแค่เพียงเพื่อนกัน
แต่อีกทางนั้น เธอทำให้ฉันแอบคิด
ว่าฉันกำลังมีสิทธิ์ใช่ไหม

ตกลงเธอต้องการอะไรถึงส่งมา
ในเวลาที่ฉันกำลังไม่ว่าง
มันมองได้สองทาง
อย่างหนึ่งก็เป็นแค่เพียงเพื่อนกัน
แต่อีกทางนั้น เธอทำให้ฉันแอบคิด
ว่าฉันกำลังมีสิทธิ์ใช่ไหม

(ใช่ไหม ใช่ไหม)

มันมองได้สองทาง
อย่างหนึ่งก็เป็นแค่เพียงเพื่อนกัน
แต่อีกทางนั้น เธอทำให้ฉันแอบคิด
ว่าฉันกำลังมีสิทธิ์ใช่ไหม",gun_napat
