song_name,href,lyric,artist
เพื่อเธอ,/music/thailyric/6809,"สวยงามอยู่เสมอเรื่องเธอกับฉัน
แม้จะไม่ได้พบกันนานเท่าไหร่
ฉันก็ยังเฝ้าฝันเฝ้ารอวันนี้
คิดถึงเธอคนนี้ทุกลมหายใจ คิดถึงเธอ

ฉันก็ไม่รู้จะเป็นแบบไหน
โว้วๆๆๆ จะอยู่ได้ไหมถ้าโลกไร้เธอ
รู้แต่ชีวิตที่มีที่เหลือ
โว้วๆๆๆ จะอยู่เพื่อฝันจะทำเพื่อเธอ
(เพื่อเธอ/ฉันรักเธอ)

ซึ้งใจอยู่เสมอที่เธอว่ารัก
รักเธออยู่เสมอไม่ว่านานเท่าไหร่
ฉันจะยังเฝ้าฝันถึงวันพรุ่งนี้
จะคิดถึงแต่คนนี้ทุกลมหายใจ
ทุกลมหายใจ คิดถึงเธอ

ฉันก็ไม่รู้จะเป็นแบบไหน
โว้วๆๆๆ จะอยู่ได้ไหมถ้าโลกไร้เธอ
รู้แต่ชีวิตที่มีที่เหลือ
โว้วๆๆๆ จะอยู่เพื่อฝันจะทำเพื่อเธอ
(เพื่อเธอ/ฉันรักเธอ)

สวยงามเสมอเรื่องเธอกับฉัน
โว้วๆๆๆ รักเธอเสมอไม่ว่านานเท่าไหร่

ฉันก็ไม่รู้จะเป็นแบบไหน
โว้วๆๆๆ จะอยู่ได้ไหมถ้าโลกไร้เธอ
รู้แต่ชีวิตที่มีที่เหลือ
โว้วๆๆๆ จะอยู่เพื่อฝันจะทำเพื่อเธอ
(เพื่อเธอ/ฉันรักเธอ)",i_zax
สุดที่รักของคนอื่น,/music/thailyric/6810,"เราไม่ควรพบกัน จากวันนั้นชีวิตไม่ง่ายดาย
เธอผิดใจกับเขามา ผ่านเข้ามาในวันที่ฉันเหงาใจ
ต่างก็เติมความต้องการ บางอย่างที่ขาดหาย
ฉันและเธอคล้ายๆจะผูกพันธ์
ยิ่งพบเจอยิ่งสนใจยิ่งใกล้ขึ้นทุกวัน
ยิ่งทำฉันทรมานและคิดถึง

สุดที่รักของคนอื่น ที่รักของคนอื่น
อย่าไปฝืนให้มันเกินฝัน โว้ โฮ
เมื่อเธอต้องรักเขา และเราต้องเลิกกัน
ก่อนที่ฉันจะทำเกินเลย

ใครต้องมีใครสักคน หยุดเรื่องราวผิดๆเรื่องนี้สักที
ก่อนที่มันจะลุกลาม เกินกว่าจะห้ามไหว
ฉันและเธอคล้ายๆต้องจบกัน
ไม่พบเจอให้เผลอใจไปมากกว่าทุกวัน
ก่อนที่ฉันจะลืมตัวบอกว่ารัก

แต่สุดที่รักของคนอื่น จำไว้ของคนอื่น
อย่าไปฝืนให้มันเกินฝัน โว้ โฮ
เมื่อเธอต้องรักเขา และเราต้องเลิกกัน
ก่อนที่ฉันจะเป็นคนเลว

สุดที่รักของคนอื่น ที่รักของคนอื่น
อย่าไปฝืนให้มันเกินฝัน โว้ โฮ
เมื่อเธอต้องรักเขา และเราต้องเลิกกัน
ก่อนที่ฉันจะทำเกินเลย

เมื่อเธอต้องรักเขา และเราต้องเลิกกัน
ก่อนที่ฉันจะเป็นคนเลว",i_zax
ตามสั่ง,/music/thailyric/6802,"ทำดีก็ไม่ได้ดี คนดีกลับกลายเป็นผู้ร้าย
ซะงั้นไป กลับกลายเป็นงั้นไป
จะทำอะไรก็ผิด บอกเลยว่ายังมึนไม่หาย
มากไป ไม่ทนแล้ว

บอกเลยถ้าไม่รักไม่เอาแล้ว
สั่งมาเลย จะเอายังไง

ได้เลยได้เลย ว่ามาได้เลย
พูดให้เคลียร์หน่อย ให้มันรู้กันไป
เลิกกัน รักต่อ ถึงแม้ให้ไปตายที่ไหน
สั่งมาได้เลย (ว่ามาเลย)

ถ้ารักกับฉันไม่ดี บอกเลยว่ามันติดที่ไหน
อึ้งทำไม ปากมีก็พูดไป
ไม่มีอะไรที่ผิด ความจริงคงไม่ผิดกฎหมาย
ฝืนไป ยิ่งเจ็บช้ำ

บอกเลยถ้าไม่รักไม่เอาแล้ว
สั่งมาเลย จะเอายังไง

ได้เลยได้เลย ว่ามาได้เลย
พูดให้เคลียร์หน่อย ให้มันรู้กันไป
เลิกกัน รักต่อ ถึงแม้ให้ไปตายที่ไหน
สั่งมาได้เลย (ว่ามาเลย)

ได้เลยได้เลย ว่ามาได้เลย
พูดให้เคลียร์หน่อย ให้มันรู้กันไป
เลิกกัน รักต่อ ถึงแม้ให้ไปตายที่ไหน
สั่งมาได้เลย (ว่ามาเลย)

บอกเลยถ้าไม่รักไม่เอาแล้ว
สั่งมาเลย จะเอายังไง

ได้เลยได้เลย ว่ามาได้เลย
พูดให้เคลียร์หน่อย ให้มันรู้กันไป
เลิกกัน รักต่อ ถึงแม้ให้ไปตายที่ไหน
สั่งมาได้เลย ได้อยู่แล้ว",i_zax
ถ้าไม่ใช่เธอ,/music/thailyric/6803,"ถ้าไม่ใช่เธอ
เสียเธอไปแล้ว ทดแทนไม่ได้
ใจมันยังคิด ดึงประตูปิด
ไม่คิดรักใครๆ ที่ไหน

ฉันไม่ต้องการ  ฉันไม่ต้องการ
ก็ฉันไม่ต้องการ  ถ้าไม่ใช่เธอ

ต่อให้คนไหน  ต่อให้ใครทั้งโลก
ต่อให้รุมรัก  แต่ฉันไม่เอา
ต่อให้คนนั้น  ต่อให้ดีกับฉัน
แต่ฉันก็ไม่สนใจ
(ถ้าไม่ใช่เธอ  ถ้าไม่ใช่เธอ)
(ก็ไม่เอา  ถ้าไม่ใช่เธอไม่เอา)

นกบินเต็มฟ้า  หาใหม่ก็ได้
ใครบางคนบอก
ใครบางคนกล่าว
แต่เพราะเขายังไม่เข้าใจ

ฉันไม่ต้องการ  ฉันไม่ต้องการ
ก็ฉันไม่ต้องการ  ถ้าไม่ใช่เธอ

ต่อให้คนไหน  ต่อให้ใครทั้งโลก
ต่อให้รุมรัก  แต่ฉันไม่เอา
ต่อให้คนนั้น  ต่อให้ดีกับฉัน
แต่ฉันก็ไม่สนใจ
(ถ้าไม่ใช่เธอ  ถ้าไม่ใช่เธอ)
(ก็ไม่เอา  ถ้าไม่ใช่เธอไม่เอา)

ต่อให้คนไหน  ต่อให้ใครทั้งโลก
ต่อให้รุมรัก  แต่ฉันไม่เอา
ต่อให้คนนั้น  ต่อให้ดีกับฉัน
แต่ฉันก็ไม่สนใจ
(ถ้าไม่ใช่เธอ  ถ้าไม่ใช่เธอ)
(ก็ไม่เอา  ถ้าไม่ใช่เธอไม่เอา)

ต่อให้คนไหน  ต่อให้ใครทั้งโลก
ต่อให้รุมรัก  แต่ฉันไม่เอา
ต่อให้คนนั้น  ต่อให้ดีกับฉัน
แต่ฉันก็ไม่สนใจ
(ถ้าไม่ใช่เธอ  ถ้าไม่ใช่เธอ)
(ก็ไม่เอา  ถ้าไม่ใช่เธอไม่เอา)

ถ้าไม่ใช่เธอ",i_zax
ผมไม่อยากแพ้,/music/thailyric/6806,"คุณมีวิธี ช่วยบอกผมสักหน่อย อยากมีวิธี
ที่จะลืมความฝันไป
มันอยู่สูงเหลือเกิน เหนื่อยใจทุกที

ยังคอยไขว่คว้า จนเกินอ่อนล้า

แต่มัน..เลิกไม่ได้หรอก
ลบไม่ได้หรอก ผมว่าคุณเข้าใจ
ตัดใจทิ้งไม่ได้หรอก
ท้อไม่ได้หรอก ฝันมันทำด้วยใจ
ผมไม่อยากแพ้ ผมไม่ควรจะแพ้
(ถึงจะอ่อนล้า ก็ต้องไขว่คว้า)

คุณคงไม่ยอม คนอย่างผมไม่ยอม ก็คงไม่ยอม
หากจะปล่อยความฝันไป แม้มันยากเท่าไหร่ ก็คงไม่ยอม

ยังคอยไขว่คว้า จนเกินอ่อนล้า

แต่มัน..เลิกไม่ได้หรอก
ลบไม่ได้หรอก ผมว่าคุณเข้าใจ
ตัดใจทิ้งไม่ได้หรอก
ท้อไม่ได้หรอก ฝันมันทำด้วยใจ
ผมไม่อยากแพ้ ผมไม่ควรจะแพ้
(ถึงจะอ่อนล้า ก็ต้องไขว่คว้า)

แต่มัน..เลิกไม่ได้หรอก
ลบไม่ได้หรอก ผมว่าคุณเข้าใจ
ตัดใจทิ้งไม่ได้หรอก
ท้อไม่ได้หรอก ฝันมันทำด้วยใจ
ผมไม่อยากแพ้ ผมไม่ควรจะแพ้
(ถึงจะอ่อนล้า ก็ต้องไขว่คว้า)

ก็มันเลิกไม่ได้ เลิกไม่ได้ ผมว่าคุณเข้าใจ
ก็มันทิ้งไม่ได้ ทิ้งไม่ได้ ฝันมันทำด้วยใจ
ก็มันแพ้ไม่ได้ แพ้ไม่ได้ แพ้ไม่ได้
แพ้ไม่ได้ หากยังหายใจ จะไม่ยอม ไม่ยอม

แต่มัน..เลิกไม่ได้หรอก
ลบไม่ได้หรอก ผมว่าคุณเข้าใจ
ตัดใจทิ้งไม่ได้หรอก
ท้อไม่ได้หรอก ฝันมันทำด้วยใจ
ผมไม่อยากแพ้ ผมไม่ควรจะแพ้
(ถึงจะอ่อนล้า ก็ต้องไขว่คว้า)

แต่มัน..เลิกไม่ได้หรอก
ลบไม่ได้หรอก ผมว่าคุณเข้าใจ
ตัดใจทิ้งไม่ได้หรอก
ท้อไม่ได้หรอก ฝันมันทำด้วยใจ
ผมไม่อยากแพ้ ผมไม่ควรจะแพ้
(ถึงจะอ่อนล้า ก็ต้องไขว่คว้า)

ไม่อยากแพ้ ไม่ยอม",i_zax
เพราะอะไร,/music/thailyric/6808,"คนเราตัดใจเดินจากกันไปได้ไง
คนเคยรักกันแล้วกลับเลิกร้างได้อย่างไร
ทุกๆ ครั้งที่บอกกัน มันไม่จริงเลยใช่มั้ย
แล้วสัญญากันเพื่ออะไร

คนเราเกิดมีแค่ใจเดียวเท่านั้นเอง
ใจเดียวนั้นสรางคนมากมายไว้ได้อย่างไร
ทุกๆ คำที่พูดมา ทำให้เสียใจ
ฉันไม่ควรจะจดจำไว้

คืออะไรเป็นเพราะใคร คือคำถามที่ต้องคิด
เพราะอะไรใครที่ทำผิด ฉันยังไม่เข้าใจ

ฉันเปลี่ยนไปหรือเธอปันใจ
ฉันหมดใจหรือว่าเธอนอกใจ
หรือฉันเป็นคนที่อ่อนแอ เป็นคนอ่อนไหวเกินไป
ถึงทำให้เธอถึงกับถอดใจ (ทิ้งกันไป)

ฉันเปลี่ยนไปหรือเธอปันใจ
ฉันหมดใจหรือว่าเธอนอกใจ
หรือฉันเป็นคนที่อ่อนแอ เป็นคนอ่อนไหวเกินไป
ถึงทำให้เธอถึงกับถอดใจ (ทิ้งกันไป)

คืออะไรเป็นเพราะใคร คือคำถามที่ต้องคิด
เพราะอะไรใครที่ทำผิด ฉันยังไม่เข้าใจ

ฉันเปลี่ยนไปหรือเธอปันใจ
ฉันหมดใจหรือว่าเธอนอกใจ
หรือฉันเป็นคนที่อ่อนแอ เป็นคนอ่อนไหวเกินไป
ถึงทำให้เธอถึงกับถอดใจ (ทิ้งกันไป)

ฉันเปลี่ยนไปหรือเธอปันใจ
ฉันหมดใจหรือว่าเธอนอกใจ
หรือฉันเป็นคนที่อ่อนแอ เป็นคนอ่อนไหวเกินไป
ถึงทำให้เธอถึงกับถอดใจ (ทิ้งกันไป)",i_zax
คนรักกัน,/music/thailyric/6799,"กี่วัน กี่วันมาแล้วที่ไม่เจอ
กี่คืน ที่รอแต่เธอ แต่เธออยู่ไหน
นี่เหรอ ที่เธอว่ารัก
แล้วมันยังไง เกิดอะไร มันเกิดอะไร

คล้ายๆไม่รักกันจริง หรือฉันมันคิดไปเอง
ไม่เข้าใจ ไม่มีวันเข้าใจ

ก็คนที่รักกัน เขาไม่ทำแบบนี้
ไม่หนีหน้าไป ไม่ทำให้ใครต้องรอเก้อ

คนที่เขารักกัน เขาต้องคิดถึงกันเสมอ
ต้องไม่ทิ้งอีกคน (ให้เพ้อคอย)

คล้ายๆจะทิ้งกันไป หรือฉันมันคิดไปเอง
เจ็บไปเอง เจ็บไปหมดทั้งหัวใจ

ก็คนที่รักกัน เขาไม่ทำแบบนี้
ไม่หนีหน้าไป ไม่ทำให้ใครต้องรอเก้อ

คนที่เขารักกัน เขาต้องคิดถึงกันเสมอ
ต้องไม่ทิ้งอีกคน (ให้เพ้อคอย)

ก็คนที่รักกัน เขาไม่ทำแบบนี้
ไม่หนีหน้าไป ไม่ทำให้ใครต้องรอเก้อ

คนที่เขารักกัน เขาต้องคิดถึงกันเสมอ
ต้องไม่ทิ้งอีกคน (ให้เพ้อคอย)

ต้องไม่ทำร้ายหัวใจ คนรักกัน",i_zax
ดอกไม้กับหัวใจ,/music/thailyric/6801,"ก็คนมันอยากเจอ ก็เลยมาเฝ้ารอตามคำขอ ของหัวใจ
มีมาแต่ตัว แค่ตัวกับหัวใจและดอกไม้ เก็บมาให้เธอ

แต่คนมันบ้านไกล กว่าจะได้พบเจอ
กว่าดอกไม้จะถึงมือเธอ ก็เลยดูเฉาๆลงไป
ช่างดอกไม้มัน ฉันรักเธอ

ต่อให้ตะวันลบเลือน ดาวและเดือนลับลา
คำที่ว่าฉันรักเธอ ไม่มีวันลดลง
ต่อให้ดอกไม้ร่วงโรยหล่นไป
แต่ว่าหัวใจไม่มีร้างลา

ที่มือมีดอกไม้ ที่ใจมีรักจริงยิ่งกว่าใคร ให้เธอ
ไม่เคยจะให้ใคร เก็บมันเอาไว้เลยทั้งดอกไม้ ทั้งหัวใจ

แต่คนมันบ้านไกล กว่าจะได้พบเจอ
กว่าดอกไม้จะถึงมือเธอ ก็เลยดูเฉาๆลงไป
ช่างดอกไม้มัน ฉันรักเธอ

ต่อให้ตะวันลบเลือน ดาวและเดือนลับลา
คำที่ว่าฉันรักเธอ ไม่มีวันลดลง
ต่อให้ดอกไม้ร่วงโรยหล่นไป
แต่ว่าหัวใจไม่มีร้างลา

ต่อให้ตะวันลบเลือน ดาวและเดือนลับลา
คำที่ว่าฉันรักเธอ จะไม่มีวันลดลง
ต่อให้ดอกไม้ร่วงโรยหล่นไป ก็ไม่สำคัญ
ต่อให้ตะวันลบเลือน ดาวและเดือนลับลา
คำที่ว่าฉันรักเธอ จะไม่มีวันลดลง
ต่อให้ดอกไม้ร่วงโรยหล่นไป
แต่ว่าหัวใจเมื่อไหร่ก็รักเธอ",i_zax
ปวดใจ,/music/thailyric/6804,"อยู่ๆกันไปไม่มีความหมาย ฉันก็เบื่อเธอก็หน่าย แล้วจะทนบีบคั้นกันไปทำไม
แรกๆก็ดูว่าคงจะสดใส ท้ายก็แอบปันหัวใจ ต่างใช้อารมณ์ส่วนตัวจนเกิดปัญหา

รักเราเก่าไป หัวใจของฉันและเธอคงชินและชา แต่วันนี้ไม่มีน้ำตา
รักเราจบเอง เหมือนเพลงที่มันอ่อนหวานตามกาลเวลา จะเหนี่ยวรั้งสองเรากลับมาก็คงป่วยการ

ปวดใจ ความรักไม่คืนกลับมา อยู่ไปก็เสียเวลา ไม่ต้องทนไปเพื่อใคร
หากฝืน ก็มีแต่ทำร้ายใจ ต่างคนก็มีคนใหม่ พอเถอะพอ(จากนี้มีคนละเส้นทาง)

อยู่ๆกันไปก็มีแต่เจ็บช้ำ ท้ายที่สุดคงต้องต่าง หัวใจมันต้องไปเรื่องใดไม่ต้องจำ
เบื่อๆที่ฝืนต้องตอบคำถาม รักยังอยู่ดีทุกอย่าง แต่ทั้งหัวใจไม่เหลือความรักอยู่เหลือ

ไม่มีสิ่งใดให้ต้องจำ ใจจริงก็รู้ว่าต้องลืม แต่คนอย่างฉันมันทำไม่ไหว

รักเราเก่าไป หัวใจของฉันและเธอคงชินและชา แต่วันนี้ไม่มีน้ำตา
รักเราจบเอง เหมือนเพลงที่มันอ่อนหวานตามกาลเวลา จะเหนี่ยวรั้งสองเรากลับมาก็คงป่วยการ

ปวดใจ ความรักไม่คืนกลับมา อยู่ไปก็เสียเวลา ไม่ต้องทนไปเพื่อใคร
หากฝืน ก็มีแต่ทำร้ายใจ ต่างคนก็มีคนใหม่ พอเถอะพอ(จากนี้มีคนละเส้นทาง)

ปวดใจ ความรักไม่คืนกลับมา อยู่ไปก็เสียเวลา ไม่ต้องทนไปเพื่อใคร
หากฝืน ก็มีแต่ทำร้ายใจ ต่างคนก็มีคนใหม่ พอเถอะพอ(จากนี้มีคนละเส้นทาง)

พอเถอะพอจากนี้มีคนละเส้นทาง",i_zax
ปัญหาเฉพาะหน้า,/music/thailyric/6805,"ผมเองก็รู้ตัวดี ว่าคนอย่างคุณคงไม่มองมาที่คนอย่างผม
ผมมองแค่คนโทรมๆก็รู้ดี เธอคงไม่ถูกใจ

ถ้าหากว่าคุณมองเพียงแค่หน้าตา ผมคงดูไม่ดีเท่าไหร่
ไอ้คนอย่างผมมันคงไม่หล่อไม่ถูกใจคุณ

แต่ผมก็รู้ตัวดี ว่าในจิตใจมันก็มีเพียงแต่คุณเท่านั้น
ผมมีแต่คุณคนเดียวอยู่ทุกวัน ไม่เคยจะเปลี่ยนใจ
ถ้าหากว่าคุณลองมองผ่านหน้าตา มองตรงเข้ามาในหัวใจ
คุณอาจจะพบว่ามีบางอย่างที่ถูกใจคุณ

ผมมีปัญหาเฉพาะหน้าเท่านั้น หน้าของผมมันไม่ค่อยจะหล่อเท่าไร
แต่ถ้าถามถึงเรื่องในหัวใจ ให้คุณได้ทั้งใจ
ผมมีปัญหาเฉพาะหน้าเท่านั้น หน้าของผมมันไม่ค่อยจะหล่อเท่าไร
แต่ถ้าถามถึงเรื่องในหัวใจ ให้คุณได้ทั้งใจ ผมไม่มีปัญหา

แต่ผมก็รู้ตัวดี ว่าในจิตใจมันก็มีเพียงแต่คุณเท่านั้น
ผมมีแต่คุณคนเดียวอยู่ทุกวัน ไม่เคยจะเปลี่ยนใจ
ถ้าหากว่าคุณลองมองผ่านหน้าตา มองตรงเข้ามาในหัวใจ
คุณอาจจะพบว่ามีบางอย่างที่ถูกใจคุณ

ผมมีปัญหาเฉพาะหน้าเท่านั้น หน้าของผมมันไม่ค่อยจะหล่อเท่าไร
แต่ถ้าถามถึงเรื่องในหัวใจ ให้คุณได้ทั้งใจ
ผมมีปัญหาเฉพาะหน้าเท่านั้น หน้าของผมมันไม่ค่อยจะหล่อเท่าไร
แต่ถ้าถามถึงเรื่องในหัวใจ ให้คุณได้ทั้งใจ ผมไม่มีปัญหา

ผมมีปัญหาเฉพาะหน้าเท่านั้น หน้าของผมมันไม่ค่อยจะหล่อเท่าไร
แต่ถ้าถามถึงเรื่องในหัวใจ ให้คุณได้ทั้งใจ
ผมมีปัญหาเฉพาะหน้าเท่านั้น หน้าของผมมันไม่ค่อยจะหล่อเท่าไร
แต่ถ้าถามถึงเรื่องในหัวใจ ให้คุณได้ทั้งใจ ผมไม่มีปัญหา",i_zax
