song_name,href,lyric,artist
คนมันรัก,/music/thailyric/6772,"เธอไม่รักฉันไม่รู้ ที่เธอไม่รักฉันไม่รู้
แต่ที่รู้ฉันนั้นรักเธอมาตั้งนาน
เธอไม่คิดฉันจะคิด ว่าเธอคนนี้ใช่ในฝัน
เข้ากันได้นะเท่าไหร่

เธอจะร้อนฉันก็รัก จะยังเป็นน้ำฉันก็รัก
เธอจะรั้งฉันจะรักเธอไว้ด้วยใจ
ถ้าเธอหนีฉันจะตาม จะดำลงน้ำข้ามไปไหน
จะไปให้ถึงใจเธอ

ก็คนมันรอเธอมาตั้งนานข้างเดียว
แค่อยากจะเกี่ยวเธอมาไว้
กอดทั้งตัวและใจ
ไม่ให้รักฉันจะรักไม่ให้สน
ฉันจะสนก็เป็นเหตุผลของใจ

ก็อย่าลำบากกับใจฉันเลยนะเธอ
แค่อยากให้เธอเผื่อใจให้ฉันได้ไหม
คนมันรักห้ามได้ไหม
ใจมันรักห้ามไม่ไหวเปิดใจได้ไหมคนดี

ถ้าไม่รักคงไม่ตื้อ ก็เธออย่าถือฉันเลยนะ
เธอชนะฉันอยู่แล้วหมดทั้งหัวใจ
ถ้าเธอพร้อมฉันก็พร้อม
จะยอมอ่อนใจให้วันไหน
จะไปคล้องแขนเลยเธอ

ก็คนมันรอเธอมาตั้งนานข้างเดียว
แค่อยากจะเกี่ยวเธอมาไว้
กอดทั้งตัวและใจ
ไม่ให้รักฉันจะรักไม่ให้สน
ฉันจะสนก็เป็นเหตุผลของใจ

ก็อย่าลำบากกับใจฉันเลยนะเธอ
แค่อยากให้เธอเผื่อใจให้ฉันได้ไหม
คนมันรักห้ามได้ไหม
ใจมันรักห้ามไม่ไหวเปิดใจได้ไหมคนดี

ก็คนมันรอเธอมาตั้งนานข้างเดียว
แค่อยากจะเกี่ยวเธอมาไว้
กอดทั้งตัวและใจ
ไม่ให้รักฉันจะรักไม่ให้สน
ฉันจะสนก็เป็นเหตุผลของใจ

ก็อย่าลำบากกับใจฉันเลยนะเธอ
แค่อยากให้เธอเผื่อใจให้ฉันได้ไหม
คนมันรักห้ามได้ไหม
ใจมันรักห้ามไม่ไหวเปิดใจได้ไหมคนดี",ice_sarunyu
บอกได้ไหม,/music/thailyric/6778,"ดินกำลังเเห้งเเล้ง ร้อนรุนเเรงอยู่ทุกนาที
ฟ้ากำลังเปลี่ยนสี เหมือนมีสัญญาณอันตราย

นกกำลังหยุดร้อง ท้องทะเลก็เงียบสนิท
ลมกำลังเปลี่ยนทิศ เหมือนชีวิตกำลังเปลี่ยนไป

ทุกๆอย่างมันเป็นเหมือนลางร้าย ที่จะต้องเผชิญจากนี้

บอกได้ไหม ฉันมีเวลาที่เหลือสักเท่าไหร่
ที่จะเเก้ไขไม่ให้เธอ ต้องเดินจากฉันไป
จะมีทางไหน ที่พอจะทำให้เธอนั้นเปลี่ยนใจ
จะยอมเเละทำทุกอย่าง เเค่เพียงขอให้เธอเเละฉันเป็นเหมือนเดิม

ในเเววตาคู่นั้น ฟ้องว่าใจเธอนั้นเย็นชา
คำที่เธอพูดจา ฟ้องว่าเธอกำลังเปลี่ยนไป

บางอาการบอกฉัน ฟ้องว่าเธอกำลังรำคาญ
การกระทำเหล่านั้น ฟ้องว่าเธอกำลังหมดใจ

ทุกๆอย่างมันเป็นเหมือนลางร้าย ที่จะต้องเผชิญจากนี้

บอกได้ไหม ฉันมีเวลาที่เหลือสักเท่าไหร่
ที่จะเเก้ไขไม่ให้เธอ ต้องเดินจากฉันไป
จะมีทางไหน ที่พอจะทำให้เธอนั้นเปลี่ยนใจ
จะยอมเเละทำทุกอย่าง เเค่เพียงขอให้เธอเเละฉันเป็นเหมือนเดิม

ทุกๆอย่างมันเป็นเหมือนลางร้าย ที่จะต้องเผชิญจากนี้

บอกได้ไหม ฉันมีเวลาที่เหลือสักเท่าไหร่
ที่จะเเก้ไขไม่ให้เธอ ต้องเดินจากฉันไป
จะมีทางไหน ที่พอจะทำให้เธอนั้นเปลี่ยนใจ
จะยอมเเละทำทุกอย่าง เเค่เพียงขอให้เธอเเละฉันเป็นเหมือนเดิม",ice_sarunyu
แพ้แล้วพาล,/music/thailyric/6781,"อยากจะยิ้มให้เธอทุกทีที่เจอกัน อยากจะสั่งให้มือไม่สั่น
เมื่อต้องเห็นภาพเธอกับคนข้างกาย
ไม่อยากให้ใครว่าพาล ทำตัวระรานเป็นผู้ร้าย
แต่ว่าถึงยังไง ฉันก็มนุษย์คนหนึ่ง

โกรธเขาเสมอ เกลียดเธอที่ทิ้งแค้นทุกสิ่งที่เป็นวันนี้
มันทำใจไม่ไหวสักที กับความรู้สึกเจ็บลึกที่อยู่ในใจ

อ้อมกอดนั้นมันเคยเป็นของฉัน แต่เขากำลังจะหยิบมันไป
ให้ยอมรับรับได้ยังไง ใครอยากจะทรมาน
หลับตาลงทีไร ก็เจอภาพของเธอที่กอดกับฉัน
ถ้าต้องทนเห็นเขาทำอย่างนั้น
สู้ยอมให้ด่าว่าฉัน มันแพ้แล้วพาลอย่างไม่อาย

เธอจะหวังให้ใครแสนดีไม่มีทาง คนที่มันสูญเสียทุกอย่าง
ให้ลบให้ล้างมันออกคงไม่ง่ายดาย
จะให้เข้าไปคลุกคลีเป็นเพื่อนที่ดีของเธอและคนใหม่
อย่าคิดไปไกล ฉันแค่มนุษย์คนหนึ่ง

โกรธเขาเสมอ เกลียดเธอที่ทิ้งแค้นทุกสิ่งที่เป็นวันนี้
มันทำใจไม่ไหวสักที กับความรู้สึกเจ็บลึกที่อยู่ในใจ

อ้อมกอดนั้นมันเคยเป็นของฉัน แต่เขากำลังจะหยิบมันไป
ให้ยอมรับรับได้ยังไง ใครอยากจะทรมาน
หลับตาลงทีไร ก็เจอภาพของเธอที่กอดกับฉัน
ถ้าต้องทนเห็นเขาทำอย่างนั้น
สู้ยอมให้ด่าว่าฉัน มันแพ้แล้วพาลอย่างไม่อาย

เธอขอให้เราเลิกกัน มันเจ็บฉันยังพอทนได้
แต่อย่าขอให้เป็นเพื่อนกันไป ฉันไม่เป็นอะไรกับใครทั้งนั้น

อ้อมกอดนั้นมันเคยเป็นของฉัน แต่เขากำลังจะหยิบมันไป
จะให้ยอมรับรับบ้าอะไร ใครอยากจะทรมาน
หลับตาลงทีไร ก็เจอภาพของเธอที่กอดกับฉัน
จากคนๆ นี้เปลี่ยนเป็นคนนั้น
ถามว่าใครจะเก็บอาการ ไม่ให้ฉันพาลก็ยากไป

อย่ามาถามทำไมว่าไม่ทน เธอไม่ใช่คนที่เสียใจ",ice_sarunyu
ไม่ลองไม่รู้,/music/thailyric/6782,"ดู ดู ดู ดู เธอน่ะร้าย
ใคร ใคร ใคร ใคร เขาก็รู้
ดู ดู ดู ดู เธอเจ้าชู้
ใคร ใคร ใคร ใครเขาก็รู้

คนก็ชอบเอาไปเมาท์
ที่เขาเล่าอย่าไปเชื่อนะเออ
เผลอไปเชื่อกับคำเขา หูเบา Babe

แล้วที่พูดน่ะจริงไหม
เที่ยวมาพูดว่าจะให้ทั้งใจ
เชื่อกันเถอะ จะเซอร์ไพรซ์
เข้ามาลองให้รู้ Hey

Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ลอง เธอควรจะลอง เธอควรจะลอง ลองรักดู
Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
Hoo เธอจะได้รู้

Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ลอง เธอควรจะลอง เธอควรจะลอง ลองรักดู
Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ถ้าเธอไม่ลองก็ไม่รู้

ดู ดู ดู ดู เธอน่ะร้าย
ใคร ใคร ใคร ใคร เขาก็รู้
ดู ดู ดู ดู เธอเจ้าชู้
ใคร ใคร ใคร ใครเขาก็รู้

ใจก็อยากจะชวนน้อง
อยากให้ลอง เข้ามาลองคบดู
พี่ไม่ใช่คนเจ้าชู้ Yoo Hoo Babe

ใจก็อยากจะลองนะ
แต่ไม่กล้ากลัวไม่ Love ชัวร์
พี่ไม่มั่วกับความรัก เข้ามาลองให้รู้ Hey

Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ลอง เธอควรจะลอง เธอควรจะลอง ลองรักดู
Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
Hoo เธอจะได้รู้

Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ลอง เธอควรจะลอง เธอควรจะลอง ลองรักดู
Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ถ้าเธอไม่ลองก็ไม่รู้

Hey Hey Hey ดูเธอสวีทมากๆ เห็นท่าจะยาก
ถ้าอยากจะชวนมา Yo
น่ามันก็ไม่แน่ถ้าเธอไม่แย่ ไม่แย่มากๆ

ดู ดู ดู ดู เธอน่ะร้าย
ใคร ใคร ใคร ใคร เขาก็รู้
ดู ดู ดู ดู เธอเจ้าชู้
ใคร ใคร ใคร ใครเขาก็รู้

ใจก็อยากจะลองนะ
แต่ไม่กล้ากลัวไม่ Love ชัวร์
พี่ไม่มั่วกับความรัก เข้ามาลองให้รู้ Hey

Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ลอง เธอควรจะลอง เธอควรจะลอง ลองรักดู
Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
Hoo เธอจะได้รู้

Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ลอง เธอควรจะลอง เธอควรจะลอง ลองรักดู
Yup Pi Yup Pi Yup Pi Yup Pi Yup Pi Doo
ถ้าเธอไม่ลองก็ไม่รู้",ice_sarunyu
ไม่เสียน้ำตา,/music/thailyric/6783,"เคยคิดว่าชีวิต จะขาดเธอไม่ได้
เคยคิดว่าโชคร้าย ที่ต้องเสียเธอไป
เคยคิดว่าตัวฉันเอง ทำให้เธอต้องจากไป
แต่สุดท้ายมันไม่ใช่อย่างที่คิดเลย

เพราะใจเธอเองที่เปลี่ยน เปลี่ยนไปไม่รักกัน
เขาเข้ามาเธอก็ไหวหวั่น ให้ยื้อกันฉันทำไม่ไหว
ฉันรู้ดีเรื่องที่ผิด โอกาสแก้ตัวเธอเคยให้ไหม
หรือเธอเองที่นอกใจ อยากเริ่มต้นใหม่
อยากไปกับเขาใช่ไหมเธอ

จบแล้ว รักที่เคยต้องทนกันมา
อ่อนล้า เพราะรักที่เธอให้มามันไม่จริง
จบเลย เมื่อคนๆ หนึ่งต้องโดนเธอทอดทิ้ง
ในเมื่อเธอไม่รักกันจริง การที่ฉันเป็นฝ่ายถูกทิ้ง
ฉันไม่ควรเสียน้ำตา

วันนี้ไม่มีเธอ จะไม่เผลอร้องไห้
วันนี้แค่โชคร้ายที่ต้องเสียใจ
วันนี้เธอลืมฉันลง เราก็คงต้องจบไป
ไม่อยากมัวเสียใจให้คนไม่รักกัน

เพราะใจเธอเองที่เปลี่ยน เปลี่ยนไปไม่รักกัน
เขาเข้ามาเธอก็ไหวหวั่น ให้ยื้อกันฉันทำไม่ไหว
ฉันรู้ดีเรื่องที่ผิด โอกาสแก้ตัวเธอเคยให้ไหม
หรือเธอเองที่นอกใจ อยากเริ่มต้นใหม่
อยากไปกับเขาใช่ไหมเธอ

จบแล้ว รักที่เคยต้องทนกันมา
อ่อนล้า เพราะรักที่เธอให้มามันไม่จริง
จบเลย เมื่อคนๆ หนึ่งต้องโดนเธอทอดทิ้ง
ในเมื่อเธอไม่รักกันจริง การที่ฉันเป็นฝ่ายถูกทิ้ง
ฉันไม่ควรเสียน้ำตา

ในเมื่อเธอไม่รักฉันจริง การที่ฉันเป็นฝ่ายถูกทิ้ง
ฉันไม่ควรเสียน้ำตา",ice_sarunyu
หน้าที่ของคนรอ,/music/thailyric/6785,"ฉันแค่ต้องการบอกเธอว่าเข้าใจ
เรื่องราวที่เธอผ่านพ้นมา
รักในวันวานที่มีแต่น้ำตา
รู้ดีเธอยังเหนื่อยหัวใจ

ก็จะทำให้ดีพอ
ให้เห็นรักแท้เป็นอย่างไร
ฉันไม่ท้อใจ ที่เธอนั้นให้รอ

บอกให้รอก็จะเฝ้ารอ รอเธอไปอย่างนี้
รอจนรู้สึกดี ที่จะตอบรัก
ต่อให้นานก็จะเฝ้ารอ
ไม่ว่าเธอมีคำตอบไหน จะคอยดูแล
จะอยู่เคียงข้างไป และทำหน้าที่รอ

ไม่ต้องกังวล กดดันในหัวใจ
แข็งแรงเมื่อไรค่อยว่ากัน
หวังเพียงให้เธอได้ลืมได้ลบมัน
รักเดิมที่ทำให้ช้ำใจ

ก็จะทำให้ดีพอ
ให้เห็นรักแท้เป็นอย่างไร
ฉันไม่ท้อใจ ที่เธอนั้นให้รอ

บอกให้รอก็จะเฝ้ารอ รอเธอไปอย่างนี้
รอจนรู้สึกดี ที่จะตอบรัก
ต่อให้นานก็จะเฝ้ารอ
ไม่ว่าเธอมีคำตอบไหน จะคอยดูแล
จะอยู่เคียงข้างไป และทำหน้าที่รอ

บอกให้รอก็จะเฝ้ารอ รอเธอไปอย่างนี้
รอจนรู้สึกดี ที่จะตอบรัก
ต่อให้นานก็จะเฝ้ารอ
ไม่ว่าเธอมีคำตอบไหน จะคอยดูแล
จะอยู่เคียงข้างไป และทำหน้าที่รอ",ice_sarunyu
หอม,/music/thailyric/6788,"เธอไม่ใช่ดอกไม้หรอก แต่ไม่ใช่ก็เหมือนอยู่
เป็นอะไรไม่รู้ ฉันอยากเป็นแมลง
บินมาอยู่ตรงหน้าเธอ อยากจะอยู่ใกล้ๆ เธอ
คนอะไรไม่รู้เย้ายวนใจอย่างแรง

ใครจะมาตอม ใครจะดอมดม
ฉันไม่สนขอชมให้ชื่นใจ
มันจะเป็นไง มันก็เป็นกัน
ฉันจะขอบินเข้าใส่

เธอหอม แบบไม่ต้องใส่น้ำหอม
ใจฉันมันยังต้องยอม
ก็หอมกระจายได้อีก อยากได้กลิ่นอีก

หอม สดชื่นจนอยากจะหอม
อยากได้เธอมาไว้ครอง
ถนอมเธอทั้งเนื้อตัวและหัวใจเลย

ฉันไม่ใช่ช่อมาลี ฉันไม่ใช่แค่ราตรี
ฉันไม่ใช่ดอกไม้ จะได้ยอมจะได้ยอม
ฉันไม่ใช่เล็บมือนาง ฉันไม่ใช่แค่กุหลาบ
ฉันไม่ใช่ดอกไม้ คงไม่ยอมคงไม่ยอม

ตัวเธอมันก็หอมอยู่ มือเธอคงยิ่งหอมกว่า
มันก็อยากจะรู้แก้มเธอขนาดไหน
อยู่ห่างๆ ก็ได้กลิ่น มันรัญจวนจนได้ใจ
ก็มันอยากจะขอใกล้เธอมากกว่านี้

ใครจะมาตอม ใครจะดอมดม
ฉันไม่สนขอชมให้ชื่นใจ
มันจะเป็นไง มันก็เป็นกัน
ฉันจะขอบินเข้าใส่

เธอหอม แบบไม่ต้องใส่น้ำหอม
ใจฉันมันยังต้องยอม
ก็หอมกระจายได้อีก อยากได้กลิ่นอีก

หอม สดชื่นจนอยากจะหอม
อยากได้เธอมาไว้ครอง
ถนอมเธอทั้งเนื้อตัวและหัวใจเลย

ฉันไม่ใช่ช่อมาลี ฉันไม่ใช่แค่ราตรี
ฉันไม่ใช่ดอกไม้ จะได้ยอมจะได้ยอม
ฉันไม่ใช่เล็บมือนาง ฉันไม่ใช่แค่กุหลาบ
ฉันไม่ใช่ดอกไม้ คงไม่ยอมคงไม่ยอม

เธอหอม แบบไม่ต้องใส่น้ำหอม
ใจฉันมันยังต้องยอม
ก็หอมกระจายได้อีก อยากได้กลิ่นอีก

หอม สดชื่นจนอยากจะหอม
อยากได้เธอมาไว้ครอง
ถนอมเธอทั้งเนื้อตัวและหัวใจเลย

ฉันไม่ใช่ช่อมาลี ฉันไม่ใช่แค่ราตรี
ฉันไม่ใช่ดอกไม้ จะได้ยอมจะได้ยอม
ฉันไม่ใช่เล็บมือนาง ฉันไม่ใช่แค่กุหลาบ
ฉันไม่ใช่ดอกไม้ คงไม่ยอมคงไม่ยอม",ice_sarunyu
คนน่าสงสาร,/music/thailyric/6771,"คนธรรมดาที่ดูไม่ดี
แหละก็ไม่มีอะไรไปเทียมทัดคนอื่น
มองหัวจนจรดเท้า ก็ไม่เห็นมีส่วนไหนเข้าตา
แอบมองใครๆ ที่จูงมือกัน ที่เดินด้วยกัน
แอบเก็บเอามาน้อยใจ อยากรักใครสักหนก็ไม่เห็นมี

คำว่ารักต้องพูดคนเดียว ก็เพราะไม่มีใครให้ฟัง
คำว่ารักต้องพูดคนเดียว อย่างนี้ซักนานเท่าไร

แต่จะมีบ้างไหม คนขี้สงสารช่วยมารักกันหน่อย
อย่าทิ้งให้ฉันต้องคอย ได้โปรดเห็นใจคนที่ไม่มีใคร
แต่จะมีบ้างไหม คนขี้สงสารช่วยมารักกันหน่อย
หัวใจฉันมันเฝ้าคอย คนน่าสงสารคนหนึ่ง
อยากมีสักคนจริงๆ

คนธรรมดาที่ดูไม่มี หน้าตาไม่ดี
แต่ก็ยังมีหัวใจ อยากรักใครสักหนก็ไม่เห็นมี

คำว่ารักต้องพูดคนเดียว ก็เพราะไม่มีใครให้ฟัง
คำว่ารักต้องพูดคนเดียว อย่างนี้ซักนานเท่าไร

แต่จะมีบ้างไหม คนขี้สงสารช่วยมารักกันหน่อย
อย่าทิ้งให้ฉันต้องคอย ได้โปรดเห็นใจคนที่ไม่มีใคร
แต่จะมีบ้างไหม คนขี้สงสารช่วยมารักกันหน่อย
หัวใจฉันมันเฝ้าคอย คนน่าสงสารคนหนึ่ง
อยากมีสักคนจริงๆ

แต่จะมีบ้างไหม คนขี้สงสารช่วยมารักกันหน่อย
อย่าทิ้งให้ฉันต้องคอย ได้โปรดเห็นใจคนที่ไม่มีใคร
แต่จะมีบ้างไหม คนขี้สงสารช่วยมารักกันหน่อย
หัวใจฉันมันเฝ้าคอย คนน่าสงสารคนหนึ่ง
อยากมีสักคนจริงๆ สักคน ที่เป็นของฉันจริงๆ

แค่คนที่ยังสงสาร",ice_sarunyu
เธอยิ่งเหงาฉันยิ่งเจ็บ,/music/thailyric/6776,"ฉันทำได้เท่านี้ เฝ้ามองเธอตรงนี้
ทุกครั้งที่เขาทอดทิ้งให้เธอต้องมีน้ำตา
ฉันมีสิทธิ์แค่นี้ แค่ห่วงเธอเสมอมา
ไม่กล้าเข้าไปช่วยเช็ดน้ำตาเธอ

แววตาที่เหงาเหงา ท่าทางที่ดูเศร้าซึม
จะต้องทนเห็นอย่างนี้อีกเท่าไร

ขาดความรักอยู่ใช่ไหม เหงาหัวใจมากไหมเธอ
อยากกอดเธอเพียงเพื่อทำให้เธออุ่นที่ใจ
แต่ว่าฉันไม่ใช่เขา ทดแทนความเหงาไม่ได้
ฉันรู้ตัวดีเป็นแค่คนอื่นไกล ที่ได้แค่รักเธอ

มองตาก็รับรู้ เข้าใจเธอทุกอย่าง
ฉันเองก็เคว้งคว้าง เจ็บช้ำและเฝ้ารอ
รักเธอมากแค่ไหน แต่ก็คงไม่มากพอ
ความรักจากฉันช่วยเธอไม่ได้เลย

แววตาที่เหงาเหงา ท่าทางที่ดูเศร้าซึม
จะต้องทนเห็นอย่างนี้อีกเท่าไร

ขาดความรักอยู่ใช่ไหม เหงาหัวใจมากไหมเธอ
อยากกอดเธอเพียงเพื่อทำให้เธออุ่นที่ใจ
แต่ว่าฉันไม่ใช่เขา ทดแทนความเหงาไม่ได้
ฉันรู้ตัวดีเป็นแค่คนอื่นไกล ที่ได้แค่รักเธอ

ก็รู้ว่าไม่มีทาง จะเข้าไปอยู่ข้างเธอแทนที่เขา
อ้อมแขนของฉันคงไม่อุ่น ไม่คลายเหงา
เมื่อใจของเธอนั้นเป็นของใคร

ขาดความรักอยู่ใช่ไหม เหงาหัวใจมากไหมเธอ
อยากกอดเธอเพียงเพื่อทำให้เธออุ่นที่ใจ
แต่ว่าฉันไม่ใช่เขา ทดแทนความเหงาไม่ได้
ฉันรู้ตัวดีเป็นแค่คนอื่นไกล ที่ได้แค่รักเธอ

ไม่รู้จะทนได้เท่าไหร่ ได้แค่นี้ทำได้แค่เฝ้ามอง
แค่ได้รักเธอ ก็ฉันมันเป็นแค่คนอื่น",ice_sarunyu
ไอ ซี ยู (I See U),/music/thailyric/6794,"ดุ่ม ด่า ดี ด้า ดี ด้า ดี ดุ่ม ด่า ดี้ ด้า ดี ดุ่ม
ดุ่ม ด่า ดี ด้า ดี ด้า ดี ดุ่ม ด่า ดี้ ด้า ดี ดุ่ม

อกหักอีกแล้วหักอีกแล้ว ก็ถูกทิ้งให้เจ็บอีกแล้ว
ไม่มีแววจะรุ่งเลย เรื่องของหัวใจ
ใครก็ไม่รัก ก็ไม่รัก เธอจะสนหรือเปล่าที่รัก
อยากให้เธอเทคแคร์ คนป่วยที่ใจ

มันเจ็บที่ตรงเนี้ย มันปวดที่ตรงเนี้ย
รู้สึกจี๊ดๆ ที่ตรงอกข้างซ้าย
ถ้าหากว่าปล่อยไว้ เดี๋ยวเกิดอาการยิ่งช็อกทำไง

มามะคนดี มาช่วยดูตรงหัวใจ
ไม่รู้ว่าใครนะใครชอบมาทำให้รักแล้วมาหักอกกัน
โดนกลางหัวใจ กลางหัวใจ
ให้เธอช่วยมารับไปเธอคงไม่ใจร้าย
มาทำอย่างคนนั้น ก็ใจมันเป็นแผล
วานเธอช่วยคอยมาพยาบาล
อาการอย่างนี้มันต้อง I See U

ดุ่ม ด่า ดี ด้า ดี ด้า ดี ดุ่ม ด่า ดี้ ด้า ดี ดุ่ม
ดุ่ม ด่า ดี ด้า ดี ด้า ดี ดุ่ม ด่า ดี้ ด้า ดี ดุ่ม

เธอไม่ใช่หมอแต่อยากขอ
ให้เธอแกล้งช่วยทำเป็นหมอมารักษาให้หายขาด
ให้ยาที่ใจ คนอยากได้รักอยากถูกรัก
แต่ไม่เห็นมีคนมารัก เลยยังไม่พ้นขีดที่อันตราย

มันเจ็บที่ตรงเนี้ย มันปวดที่ตรงเนี้ย
รู้สึกจี๊ดๆ ที่ตรงอกข้างซ้าย
ถ้าหากว่าปล่อยไว้ เดี๋ยวเกิดอาการยิ่งช็อกทำไง

มามะคนดี มาช่วยดูตรงหัวใจ
ไม่รู้ว่าใครนะใครชอบมาทำให้รักแล้วมาหักอกกัน
โดนกลางหัวใจ กลางหัวใจ
ให้เธอช่วยมารับไปเธอคงไม่ใจร้าย
มาทำอย่างคนนั้น ก็ใจมันเป็นแผล
วานเธอช่วยคอยมาพยาบาล
อาการอย่างนี้มันต้อง I See U

มามะคนดี มาช่วยดูตรงหัวใจ
ไม่รู้ว่าใครนะใครชอบมาทำให้รักแล้วมาหักอกกัน
โดนกลางหัวใจ กลางหัวใจ
ให้เธอช่วยมารับไปเธอคงไม่ใจร้าย
มาทำอย่างคนนั้น ก็ใจมันเป็นแผล
วานเธอช่วยคอยมาพยาบาล
อาการอย่างนี้มันต้อง I See U

มามะคนดี มาช่วยดูตรงหัวใจ
ไม่รู้ว่าใครนะใครชอบมาทำให้รักแล้วมาหักอกกัน
โดนกลางหัวใจ กลางหัวใจ
ให้เธอช่วยมารับไปเธอคงไม่ใจร้าย
มาทำอย่างคนนั้น ก็ใจมันเป็นแผล
วานเธอช่วยคอยมาพยาบาล
อาการอย่างนี้มันต้อง I See U

ดุ่ม ด่า ดี ด้า ดี ด้า ดี ดุ่ม ด่า ดี้ ด้า ดี ดุ่ม
ดุ่ม ด่า ดี ด้า ดี ด้า ดี ดุ่ม ด่า ดี้ ด้า ดี",ice_sarunyu
