song_name,href,lyric,artist
จะเปย์ให้ยับ,/music/thailyric/23067,"ถ้าจะให้เลือก ระหว่างบีเอ็มกับเบนซ์
หรือแม่เนื้อเย็น สนใจรถซุปเปอร์คาร์
แล้วถ้าบ้านเดี่ยว กับคอนโดละจ๊ะ
โอ้แม่ขวัญตา เธอจะเลือกอะไร

ก็อยากให้เตรียมไว้ก่อน คิดเผื่อๆ ไว้
ถ้าหากพี่มีเมื่อไร ขอมาได้เลย
ถ้าหากว่าพิมพ์แบงค์ได้ หรือพี่ถูกหวย
ถ้าหากพี่รวย พี่จะไม่ขัดใจ

จะเปย์ให้ยับ ยับ ยับ
โอนไวนะครับ ครับ ครับ
ถ้าน้องยอมรับ รับ รับ
มาม๊ะ ขอเบอร์บัญชี

จะเปย์ให้ยับ ยับ ยับ
จ่ายไม่ต้องนับ นับ นับ
รักพี่เถอะครับ ครับ ครับ
มาเป็นขวัญใจสายเปย์

ใครอยากเป็นเศรษฐี (ฉันน่ะสิ ฉันน่ะสิ)
ใครอยากมีเงินล้าน (ฉันน่ะสิ ฉันน่ะสิ)
อยากมีรถมีบ้าน (ฉันน่ะสิ ฉันน่ะสิ)
และที่สำคัญต้องมีเธอ (รักน่ะสิ ก็รักน่ะสิ)

ถ้าจะให้เลือก ระหว่างรองเท้ากระเป๋า
หรือจะให้เหมา ทั้งคอลเลคชั่นก็ได้
สร้อยเงินเส้นเก่า เปลี่ยนเป็นเพชรดีไหม
แล้วเราก็ไป เที่ยวรอบโลกด้วยกัน

ก็อยากให้เตรียมไว้ก่อน คิดเผื่อๆ ไว้
ถ้าหากพี่มีเมื่อไร ขอมาได้เลย
ถ้าหากว่าพิมพ์แบงค์ได้ หรือพี่ถูกหวย
ถ้าหากพี่รวย พี่จะไม่ขัดใจ

จะเปย์ให้ยับ ยับ ยับ
โอนไวนะครับ ครับ ครับ
ถ้าน้องยอมรับ รับ รับ
มาม๊ะ ขอเบอร์บัญชี

จะเปย์ให้ยับ ยับ ยับ
จ่ายไม่ต้องนับ นับ นับ
รักพี่เถอะครับ ครับ ครับ
มาเป็นขวัญใจสายเปย์

จะเปย์ให้ยับ ยับ ยับ
โอนไวนะครับ ครับ ครับ
ถ้าน้องยอมรับ รับ รับ
มาม๊ะ ขอเบอร์บัญชี

จะเปย์ให้ยับ ยับ ยับ
จ่ายไม่ต้องนับ นับ นับ
รักพี่เถอะครับ ครับ ครับ
มาเป็นขวัญใจสายเปย์

จะเปย์ให้ยับ ยับ ยับ
โอนไวนะครับ ครับ ครับ
ถ้าน้องยอมรับ รับ รับ
มาม๊ะ ขอเบอร์บัญชี

จะเปย์ให้ยับ ยับ ยับ
จ่ายไม่ต้องนับ นับ นับ
รักพี่เถอะครับ ครับ ครับ
มาเป็นขวัญใจสายเปย์",id_issarapong
ตัวเพื่อชาติ หัวใจเพื่อเธอ,/music/thailyric/23588,"ไม่มีเวลา ไม่ได้แปลว่าจะไม่รัก
ไม่ใช่ว่าอยาก ปล่อยเธอให้รอนานๆ
ทั้งหน้าที่แฟน ตอนนี้ที่แสนสำคัญ
หน้าที่ข้าราชการ พี่ก็ต้องทำเพื่อราษฎร

เข้าเวรเต็มเดือน ต้องผิดนัดเลื่อนอยู่ประจำ
เจ้านายโทรตาม ก็ดูรู้ว่าเธองอน
ขอร้องได้ไหมให้เธอเข้าใจพี่ก่อน
พูดจริงด้วยเกียรติแน่นอน ด้วยชุดสีกากีที่พี่สวมใส่

ตัวทำเพื่อชาติ หัวใจพี่ทำเพื่อเธอ
ทุ่มเทเต็มเบอร์ ก็อยากให้เธอภูมิใจ
คิดถึงตลอด แล้วจะรีบไปกอดไวๆ
ข้าราชการรับใช้คนไทย แต่หัวใจรับใช้เพียงเธอ

ถ้ามีเวลา พี่จะโทรหาแบบไม่เว้น
เฟสถ้าจะเล่น จะโพสท์รูปเราเสมอ
ก็รู้เธอรัก ไม่งั้นไม่งอนขอเจอ
เดี๋ยวก็วันหยุดแล้วเออ พี่จะแว้นพาเธอไปเที่ยวดีไหม

ตัวทำเพื่อชาติ หัวใจพี่ทำเพื่อเธอ
ทุ่มเทเต็มเบอร์ ก็อยากให้เธอภูมิใจ
คิดถึงตลอด แล้วจะรีบไปกอดไวๆ
ข้าราชการรับใช้คนไทย แต่หัวใจรับใช้เพียงเธอ

ถ้ามีเวลา พี่จะโทรหาแบบไม่เว้น
เฟสถ้าจะเล่น จะโพสท์รูปเราเสมอ
ก็รู้เธอรัก ไม่งั้นไม่งอนขอเจอ
เดี๋ยวก็วันหยุดแล้วเออ พี่จะแว้นพาเธอไปเที่ยวดีไหม

ไม่นานก็หยุดแล้วเออ เดี๋ยวพี่พาเธอไปเที่ยวปลอบใจ",id_issarapong
ยอดรักประจำปี,/music/thailyric/23589,"สู้งานปีนี้ พอมีข่าวดี ตอบฝันได้บ้าง
ยอดขายก็ปัง ตำแหน่งที่หวัง นายก็ปรับให้
โบนัสปีนี้ เจ้านายก็เพิ่ม เติมกำลังใจ
สมกับทุ่มเทแรงกาย ในสิ่งที่ทำที่หวัง

แต่ใจปีนี้ ไม่รู้คนดี ปรับให้หรือเปล่า
ถูกย้ายไปเหงา หรือถูกปลดทิ้ง ไปแล้วหรือยัง
อัพเดทโครงการ หุ้นส่วนหัวใจ ได้ไหมเอวบาง
ยอดจีบที่เสนอค้าง อนุมัติหรือยัง ผ่านไหมปีนี้

โบนัสปีนี้ ให้รักพี่เท่าไร
ให้คะแนนรักพี่เท่าไร ตัดเกรดหัวใจ ขั้นไหนคนดี
ปรับตำแหน่งแฟน มีอยู่ในแผน บ้างไหมยาหยี
เพิ่มค่าคอมเป็นหอมสักที ยอดรักประจำปี คงดีไม่น้อย

ความหวังปีนี้ ถ้าหัวใจพี่ ได้เลื่อนตำแหน่ง
เป็นแฟนแก้มแดง โปรเจ็กต์สู่ขอ เข้าเลยเนื้อกลอย
ไม่อยากรอนาน ต้องรีบปิดจ๊อบ กันคนอื่นสอย
ได้โปรดเห็นใจคนคอย เซ็นรับรักหน่อย ได้ไหมสิ้นปี

โบนัสปีนี้ ให้รักพี่เท่าไร
ให้คะแนนรักพี่เท่าไร ตัดเกรดหัวใจ ขั้นไหนคนดี
ปรับตำแหน่งแฟน มีอยู่ในแผน บ้างไหมยาหยี
เพิ่มค่าคอมเป็นหอมสักที ยอดรักประจำปี คงดีไม่น้อย

ความหวังปีนี้ ถ้าหัวใจพี่ ได้เลื่อนตำแหน่ง
เป็นแฟนแก้มแดง โปรเจ็กต์สู่ขอ เข้าเลยเนื้อกลอย
ไม่อยากรอนาน ต้องรีบปิดจ๊อบ กันคนอื่นสอย
ได้โปรดเห็นใจคนคอย เซ็นรับรักหน่อย ได้ไหมสิ้นปี

โอเคใช่ไหมคนดี ยอดรักประจำปี ให้พี่เป็นแฟนได้ไหม",id_issarapong
รัก พัก ผ่อน,/music/thailyric/23573,"สิ้นเดือนเมื่อไร ก็เหมือนสิ้นใจเลยพี่ กู้นั่นยืมนี่
เพราะอยากจะมีอย่างคนอื่นเขา บ้านรถโน๊ตบุ๊ตทีวี
มือถือไม่มีก็ดาวน์ ผ่อนแบบยาวๆ ไม่รู้จะหมดตอนไหน

ก็เงินเดือนน้อย เลยต้องทยอยคอยผ่อน
แม่ขนตางอน  อย่าเพิ่งตัดรอนพี่เลยได้ไหม
มีอยู่เรื่องเดียวบอกเลย ไม่เคยคิดหยุดผ่อนได้
ก็คือหัวใจ ที่พี่นั้นมีให้เธอ

ความคิดถึงไม่เคยหยุดพัก
ความรักไม่ผ่อนนะเธอ
ใจมีให้เต็มร้อยเสมอ
พี่อยากบอกเธอ บอกเธอ ว่ารักพักผ่อน

ถ้ารวยเมื่อไร จะหอบเงินไปแต่งเธอ
ไม่ให้รอเก้อ เชื่อเถอะนะแม่งามงอน
เรื่องผ่อนเรื่องกู้พี่อยากพัก
แต่ว่าเรื่องรักไม่ขอผ่อน
จะหลับจะนอน ยังฝันว่าบอกรักเธอ

ความคิดถึงไม่เคยหยุดพัก
ความรักไม่ผ่อนนะเธอ
ใจมีให้เต็มร้อยเสมอ
พี่อยากบอกเธอ บอกเธอ ว่ารักพักผ่อน

ความคิดถึงไม่เคยหยุดพัก
ความรักไม่ผ่อนนะเธอ
ใจมีให้เต็มร้อยเสมอ
พี่อยากบอกเธอ บอกเธอ ว่ารักพักผ่อน

พี่อยากบอกเธอ บอกเธอ ว่ารักพักผ่อน
พี่อยากบอกเธอ บอกเธอ ว่ารักพักผ่อน
พี่อยากบอกเธอ บอกเธอ ว่ารักพักผ่อน",id_issarapong
รักทันใจ,/music/thailyric/23574,"ทำไมคุณควรรักผม ก็เพราะผมรักคุณ
อันนี้ข้อแรก (อันนี้แค่ข้อแรก)
ข้อต่อมาคือผมมั่นใจ ว่าพร้อมรับใช้คุณ
24 ชั่วโมง (ไม่เว้นวันราชการ)

อยากกินคุณต้องได้กิน
อยากเที่ยวคุณต้องได้เที่ยว
ได้ทุกสิ่ง ที่ต้องการ

จะสร้างสวรรค์บนดิน โดยมีนางฟ้าคือคุณ
จะหาความสุข มาประเคนคุณทุกวัน
แค่คุณปล่อยใจให้ผมหน่อย ผมรับประกัน
จะพาคุณขึ้นสวรรค์ ในทันทีด้วยรัก รักทันใจ

ถ้ามันเป็นเรื่องของคุณ ไม่ว่าจะเรื่องใด
คือเรื่องเร่งด่วน (อันนี้สำคัญมาก)
ยืนยันอีกทีว่ามั่นใจ ที่ผมพูดพูดไป
ทำได้ทันที (ทันทีที่ได้รักกัน)

อยากกินคุณต้องได้กิน
อยากเที่ยวคุณต้องได้เที่ยว
ได้ทุกสิ่ง ที่ต้องการ

จะสร้างสวรรค์บนดิน โดยมีนางฟ้าคือคุณ
จะหาความสุข มาประเคนคุณทุกวัน
แค่คุณปล่อยใจให้ผมหน่อย ผมรับประกัน
จะพาคุณขึ้นสวรรค์ ในทันทีด้วยรัก รักทันใจ

(รักทันใจ รักทั้งใจ ได้ทันที รักทันใจ)

จะสร้างสวรรค์บนดิน โดยมีนางฟ้าคือคุณ
จะหาความสุข มาประเคนคุณทุกวัน
แค่คุณปล่อยใจให้ผมหน่อย ผมรับประกัน
จะพาคุณขึ้นสวรรค์ ในทันทีด้วยรัก รักทันใจ",id_issarapong
ก็ว่าจะไม่,/music/thailyric/21896,"คุณดีกับผม เสียจนผมงงไปหมดแล้ว
ใครๆ เขาก็แซว ก็บอกว่าคุณชอบผม
ตรงตรงไม่ได้แอ๊ค ผมคิดว่าผมไม่เหมาะสม
แต่แววตา ที่คุณมองผม ฮื้ย พูดไม่ถูก

ก็คุณมันสวย ชะมัด ไม่ตัดแต้มเลย
โดนหมดเลย ไม่ว่าส่วนไหนของคุณ

ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่แล้วเชียว
ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่ยุ่งเกี่ยว
ก็ยุ่งจนได้ ยุ่งจนได้ ยุ่งแน่แน่แล้วเชียว
ก็ยุ่งก็ได้ ยุ่งก็ได้ ก็ถ้าคุณให้ยุ่ง
จะยุ่งไม่เลิกเลยทีเดียว

คุณรู้ใจผม เสียจนใจผมยังตกใจ
กาแฟเย็น ขนม ผมชอบแบบไหนรู้หมด
ไอ้ผมก็เกรงใจ ไม่กล้าคิดไกลหรอกครับผม
อย่างดีก็แค่เก็บไปฝัน

ก็คุณมันสวย ชะมัด ไม่ตัดแต้มเลย
โดนหมดเลย ไม่ว่าส่วนไหนของคุณ

ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่แล้วเชียว
ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่ยุ่งเกี่ยว
ก็ยุ่งจนได้ ยุ่งจนได้ ยุ่งแน่แน่แล้วเชียว
ก็ยุ่งก็ได้ ยุ่งก็ได้ ก็ถ้าคุณให้ยุ่ง
จะยุ่งไม่เลิกเลยทีเดียว

คุณรู้ตัวบ้างไหม คุณเป็นคนตรงๆ ดีนะ
คือตรงแบบตรงไหนก็น่ารักอะ

ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่แล้วเชียว
ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่ยุ่งเกี่ยว
ก็ยุ่งจนได้ ยุ่งจนได้ ยุ่งแน่แน่แล้วเชียว
ก็ยุ่งก็ได้ ยุ่งก็ได้ ก็ถ้าคุณให้ยุ่ง

ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่แล้วเชียว
ก็ว่าจะไม่ ว่าจะไม่ ว่าจะไม่ยุ่งเกี่ยว
ก็ยุ่งจนได้ ยุ่งจนได้ ยุ่งแน่แน่แล้วเชียว
ก็ยุ่งก็ได้ ยุ่งก็ได้ ก็ถ้าคุณให้ยุ่ง

จะยุ่งไม่เลิกเลยทีเดียว",id_issarapong
เงินเดือนยังน้อยเธอคอยได้ไหม,/music/thailyric/21893,"เงินเดือนยังน้อย เธอคอยได้ไหม
รักไปหวั่นไป กลัวทำให้เธอลำบาก
เธอไม่บ่นขอ แต่ฉันเองที่คิดมาก
เพราะเคยรับปาก จะดูแลเธออย่างดี

เงินเดือนยังน้อย รอคอยความหวัง
ทุ่มเทจริงจัง เพิ่มเงินในยอดบัญชี
งานราษฏร์งานหลวง พ่วงต่อกันด้วยโอที
ทำงานเต็มที่ เจ้านายไม่เห็น ฟ้าคงเข้าใจ

ไม่มีวันไหน ที่ฉันไม่อยากเจอหน้า
ไม่มีวันไหน ที่ฉันไม่อยากอยู่ใกล้
ไม่มีเวลา แต่ว่าคิดถึงแทบขาดใจ
ให้เธอรู้ไว้ ที่ทำลงไป ทุกอย่างเพื่อเธอ

เงินเดือนยังน้อย เธอคอยได้ไหม
สู้งานต่อไป มองเส้นชัยเป็นเธอ
ถึงเดือนชนเดือน ยังมีเหลือให้ออมเสมอ
รออีกนิดนะเออ ฉันจะพาเธอไปถึงฝั่งฝัน

ไม่มีวันไหน ที่ฉันไม่อยากเจอหน้า
ไม่มีวันไหน ที่ฉันไม่อยากอยู่ใกล้
ไม่มีเวลา แต่ว่าคิดถึงแทบขาดใจ
ให้เธอรู้ไว้ ที่ทำลงไป ทุกอย่างเพื่อเธอ

เงินเดือนยังน้อย เธอคอยได้ไหม
สู้งานต่อไป มองเส้นชัยเป็นเธอ
ถึงเดือนชนเดือน ยังมีเหลือให้ออมเสมอ
รออีกนิดนะเออ ฉันจะพาเธอไปถึงฝั่งฝัน

รออีกนิดนะเออ ฉันจะพาเธอไปถึงฝั่งฝัน",id_issarapong
เจ็บซ้ำๆ กับคำเดิมๆ,/music/thailyric/14068,"เจ็บไหม ไอ้ผู้ชายแสนดี ขอด่าตัวเองสักที
เผื่อว่าจะหายงมงายสักครั้ง ครั้งที่เท่าไร
ที่เธอแวะมาให้ความหวัง สุดท้ายก็ไม่จริงจัง
กี่ครั้งที่เธอทิ้งไป

เจ็บไหม ไอ้ผู้ชายใจงาม
ทำไมหัวใจไม่จำ ทั้งที่เคยเห็นว่าเป็นยังไง
เธอแค่อยากพัก เธอเลยเอารักจ่ายค่าพักใจ
ฉันผิดที่หวังไปไกล อยากเป็นคนสุดท้ายของเธอ

เจ็บซ้ำๆ กับคำเดิมๆ รอยแผลเดิมๆ
ถูกซ้ำเติม แบบเดิมเสมอ เจ็บซ้ำๆ กับคำว่ารักของเธอ
ก็อยากถามเธอ สนุกนักเหรอ ที่มาหลอกกัน

เจ็บไหม ไอ้ผู้ชายแสนดี
กี่ครั้งที่เป็นอย่างนี้ ทำไมเชื่อใจเธอง่ายอย่างนั้น
เป็นไปได้ไหม ไม่ว่าวันไหนอย่ามาเจอกัน
ไม่อยากเป็นคนสำคัญ แค่ในวันที่เธอไม่มีใคร

เจ็บซ้ำๆ กับคำเดิมๆ รอยแผลเดิมๆ
ถูกซ้ำเติม แบบเดิมเสมอ เจ็บซ้ำๆ กับคำว่ารักของเธอ
ก็อยากถามเธอ สนุกนักเหรอ ที่มาหลอกกัน

เจ็บไหม ไอ้ผู้ชายแสนดี
กี่ครั้งที่เป็นอย่างนี้ ทำไมเชื่อใจเธอง่ายอย่างนั้น
เป็นไปได้ไหม ไม่ว่าวันไหนอย่ามาเจอกัน
ไม่อยากเป็นคนสำคัญ แค่ในวันที่เธอไม่มีใคร",id_issarapong
ที่ว่างในใจเธอ,/music/thailyric/13334,"จะให้พูดจา ในฐานะอะไร
เพื่อนก็ไม่ใช่ สนิทกันก็ไม่เชิง
แม้เธอมีใคร ก็ยังหลงใหล
ในความร่าเริง และใจก็แอบยุ่งเหยิง
ทุกครั้งที่เจอหน้าเธอ

ฉันอยากเอาใจทั้งใจ
แลกเศษเสี้ยวใจของเธอ
ความรักงดงามเสมอ
แม้เป็นแค่เผลอ แอบหวัง
หากเธอยังมี ที่ว่างข้างในหัวใจ
แบ่งให้ฉันบ้างได้ไหม
ในวันที่เขาไกลห่าง
ไม่ต้องมากมาย
แค่เหงาก็ลองคิดถึงกันบ้าง
เติมใจที่มันอ้างว้าง
แค่นี้ฉันก็ซึ้งใจ

ตั้งแต่ได้ไลน์
อยากส่งข้อความถึงเธอ
พิมพ์ไปลบไปเสมอ
เพราะข้อความตรงใจเกินไป
เหลือเพียงสั้นๆ
ว่าคิดถึงและห่วงใย
มากกว่านี้คงไม่กล้าใช้
ทั้งที่ใจฉันรักแต่เธอ

ฉันอยากเอาใจทั้งใจ
แลกเศษเสี้ยวใจของเธอ
ความรักงดงามเสมอ
แม้เป็นแค่เผลอ แอบหวัง
หากเธอยังมีที่ว่างข้างในหัวใจ
แบ่งให้ฉันบ้างได้ไหม
ในวันที่เขาไกลห่าง
ไม่ต้องมากมาย
แค่เหงาก็ลองคิดถึงกันบ้าง
เติมใจที่มันอ้างว้าง
แค่นี้ฉันก็ซึ้งใจ

ตั้งแต่ได้ไลน์
อยากส่งข้อความถึงเธอ
พิมพ์ไปลบไปเสมอ
เพราะข้อความตรงใจเกินไป
เหลือเพียงสั้นๆ
ว่าคิดถึงและห่วงใย
มากกว่านี้คงไม่กล้าใช้
ทั้งที่ใจฉันรักแต่เธอ",id_issarapong
รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้มากกว่า,/music/thailyric/19785,"เป็นเธอได้ไหมเข้ามาดามใจฉันที
ก็เจ็บอย่างนี้ปล่อยไว้คงรอดลำบาก
ใจเป็นแผลอ่อนแอต้องการคนช่วยมาก มาก
อยากมีคนรัก อยากมีสักคนเข้าใจ

หากเธอยอมรับคนอย่างฉัน
ช่วยสมานแผลใจให้หาย
เคียงข้างกันไป อยากขอให้เธอเชื่อกัน

รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้มากกว่า
จะไม่มีข้อแม้ และให้สัญญา ว่าจะมีแค่เธอเท่านั้น
รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้นาน นาน
คนสุดท้ายของฉัน สุดชีวิตของฉัน ให้เธอทั้งใจ

ใครก็บอกฉันเรื่องอกหักมันไม่แปลก
ครั้งแรกอย่างนี้รู้ดีว่ามันไม่ง่าย
อยากจะขอ ให้เธอเข้ามาเป็นรักครั้งใหม่
ผิดพลาดตรงไหน จะไม่ผิดซ้ำรับรอง

หากเธอยอมรับคนอย่างฉัน
ช่วยสมานแผลใจให้หาย
เคียงข้างกันไป อยากขอให้เธอเชื่อกัน

รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้มากกว่า
จะไม่มีข้อแม้ และให้สัญญา ว่าจะมีแค่เธอเท่านั้น
รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้นาน นาน
คนสุดท้ายของฉัน สุดชีวิตของฉัน ให้เธอทั้งใจ

รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้มากกว่า
จะไม่มีข้อแม้ และให้สัญญา ว่าจะมีแค่เธอเท่านั้น
รักแฟนเก่ามากเท่าไร จะรักแฟนใหม่ให้นาน นาน
คนสุดท้ายของฉัน สุดชีวิตของฉัน ให้เธอทั้งใจ

ก็คือเธอเท่านั้น สุดชีวิตของฉัน ให้เธอทั้งใจ",id_issarapong
