song_name,href,lyric,artist
แค่เราไม่ได้รักกัน,/music/thailyric/14578,"แค่ไม่ตั้งใจในวันนั้น
แค่เป็นน้ำมันที่ลุกติดไฟ
เมื่อเชื้อมันอยู่ใกล้
แค่ช่วงอารมณ์เผลอใจ
ไม่ได้คิดอะไรไปมากมาย

แค่คนสองคนที่เหงา
แค่คนรักกันชั่วคราว
ในช่วงเวลาสั้นๆ
แค่เมื่อลืมตาขึ้นมา
กลายเป็นฝันเธอก็ไป

ควรจะลืมได้แล้ว
แต่ยังคิดถึงเหลือเกิน
เธอคงลืมไปแล้ว
ได้แต่บอกตัวเองซ้ำๆ อยู่เหมือนเดิม

แค่เราไม่ได้รักกัน
แค่มันเป็นเพียงความสัมพันธ์ที่ชั่วคราว
แค่ผ่านมาให้รู้สึก
และจากกันด้วยความว่างเปล่า
แค่เราไม่ได้รักกันแค่นั้นเอง

อยากกอดให้นานกว่านี้
อยากมีวิธีที่ฉันบอกเธอ
ว่ายังรักมากเท่าไร
ไม่ใช่แค่อารมณ์เผลอใจ
เพราะฉันคิดอะไรไปมากมาย

ควรจะลืมได้แล้ว
แต่ยังคิดถึงเหลือเกิน
เธอคงลืมไปแล้ว
ได้แต่บอกตัวเองซ้ำๆ อยู่เหมือนเดิม

แค่เราไม่ได้รักกัน
แค่มันเป็นเพียงความสัมพันธ์ที่ชั่วคราว
แค่ผ่านมาให้รู้สึก
และจากกันด้วยความว่างเปล่า
แค่เราไม่ได้รักกันแค่นั้นเอง

แค่เราไม่ได้รักกัน
แค่มันเป็นเพียงความสัมพันธ์ที่ชั่วคราว
แค่ผ่านมาให้รู้สึก
และจากกันด้วยความว่างเปล่า

แค่เราไม่ได้รักกัน
แค่มันเป็นเพียงความสัมพันธ์ที่ชั่วคราว
แค่ผ่านมาให้รู้สึก
และจากกันด้วยความว่างเปล่า
แค่เราไม่ได้รักกันแค่นั้นเอง",indigo
เจ็บยังเป็นของฉัน,/music/thailyric/15535,"เจ็บในครั้งนั้นฉันยังเคยฝังจำ
สิ่งที่เธอนั้นทำเกินจะเข้าใจ
จบกันได้แล้วให้เธอจากฉันไป
ไม่ว่าจะเป็นวันไหนก็ไม่ต้องพบเจอ

อาจเป็นคนใจร้าย ที่ต้องทำให้เธอรู้สึก
แต่ที่จริงข้างในลึกๆ ความเจ็บยังเป็นของฉัน

กลับกลายเป็นฉันแพ้
เป็นฝ่ายที่คิดถึงแค่เธออยู่อย่างนั้น
ที่แล้วมาความเจ็บ
ก็ไม่เทียบเท่ากับการที่ฉันไม่มีเธอ ในวันนี้

เธอจะรู้ไหมคนที่บอกให้เธอไป
ก็รู้แล้วว่าในวันนี้มันไม่มีเธอไม่ได้
อาจเป็นคนใจร้ายที่เคยทำให้เธอรู้สึก
แต่ที่จริงข้างในลึกๆ
ยังอยากกลับเป็นเหมือนเดิม

กลับกลายเป็นฉันแพ้
เป็นฝ่ายที่คิดถึงแค่เธออยู่อย่างนั้น
ที่แล้วมาความเจ็บ
ก็ไม่เทียบเท่ากับการที่ฉันไม่มีเธอ ในวันนี้

กลับกลายเป็นฉันแพ้
เป็นฝ่ายที่คิดถึงแค่เธออยู่อย่างนั้น
ที่แล้วมาความเจ็บ
ก็ไม่เทียบเท่ากับการที่ฉันไม่มีเธอ

กลับกลายเป็นฉันแพ้
เป็นฝ่ายที่คิดถึงแค่เธออยู่อย่างนั้น
ที่แล้วมาความเจ็บ
ก็ไม่เทียบเท่ากับการที่ฉันไม่มีเธอ ในวันนี้",indigo
ถ้าฉันเป็นเขา,/music/thailyric/16435,"มองดูแววตาเธอที่ล่องลอยเหม่อ
กี่คราวที่เจอ เธอก็มีรอยน้ำตา
ใจที่เธอต้องเจ็บเพราะรักเขาเรื่อยมา
มันคงอ่อนล้าจนเธอแทบจะล้มลง

ดูก็รู้ว่าเธอคงให้เขาทั้งใจ
ไม่ว่าอะไรก็เต็มใจให้เขาทำ
ฉันก็ทำได้เพียงแค่เตือนย้ำในใจ
เจ็บช้ำแค่ไหนก็มีสิทธิ์ทำได้แค่มอง

แต่เธอยังรักอยู่เรื่อยมาช้ำอยู่เรื่อยมา
กับโลกที่เขาให้เธอแค่น้ำตา
กับฉันที่เห็นเธอมีค่ารักเธอมากกว่า
กลับทำอะไรให้เธอไม่ได้เลย

ถ้าหากว่าเปลี่ยนให้ฉันเป็นเขา
คนที่ยืนข้างเธอ
จะทำให้เธอได้เจอกับรัก
ที่ไม่มีวันเสียใจ
สลับให้คนที่คอยทำร้าย
ให้กลายเป็นคนไม่มีใคร
ให้ฉันกลายเป็นคนเดียวที่รักเธอทั้งใจ

ยิ่งต้องมองดูเธอเจ็บซ้ำๆ เท่าไร
ยิ่งทำให้ใจฉันมันยิ่งทรมาน
ในความเป็นจริงเธอมีเขาทั้งใจ
และมีแต่เขาที่มีสิทธิ์ได้ครอบครอง

แต่เธอยังรักอยู่เรื่อยมาช้ำอยู่เรื่อยมา
กับโลกที่เขาให้เธอแค่น้ำตา
กับฉันที่เห็นเธอมีค่ารักเธอมากกว่า
กลับทำอะไรให้เธอไม่ได้เลย

ถ้าหากว่าเปลี่ยนให้ฉันเป็นเขา
คนที่ยืนข้างเธอ
จะทำให้เธอได้เจอกับรัก
ที่ไม่มีวันเสียใจ
สลับให้คนที่คอยทำร้าย
ให้กลายเป็นคนไม่มีใคร
ให้ฉันกลายเป็นคนเดียวที่รักเธอทั้งใจ

ถ้าหากว่าเปลี่ยนให้ฉันเป็นเขา
คนที่ยืนข้างเธอ
จะทำให้เธอได้เจอกับรัก
ที่ไม่มีวันเสียใจ
สลับให้คนที่คอยทำร้าย
ให้กลายเป็นคนไม่มีใคร
ให้ฉันกลายเป็นคนเดียวที่รักเธอทั้งใจ",indigo
เธอเข้ามาเพื่อพังมันลง,/music/thailyric/22920,"เป็นฝุ่นที่ไร้หัวใจ ที่มีแค่ความว่างเปล่า
จนเธอเข้ามาทำเหมือนว่ารักมากมาย
จากเป็นเหมือนคนใกล้ตาย
เธอปลุกหัวใจขึ้นใหม่ ให้ดีขึ้นมาเพื่อพังมันเหมือนเดิม

คำที่เธอบอกรัก (มันเคยจริงไหม)
การแสดงว่ารัก ทำให้หลงงมงาย
เจอกับคำว่ารัก ทำให้ฉันต้องใจสลาย

รู้ทั้งรู้ ว่าไม่จริงสักครั้ง กับคำที่เธอนั้นเผลอพูดหลุดปาก
ร้อยทั้งร้อย ทั้งชีวิตของฉัน ก็ยกให้เธอแล้ว
รักทั้งรัก เพราะไอ้คำว่ารัก แหละสุดท้ายก็เลยถูกทิ้งให้ต้องเจ็บซ้ำ
โดนคนที่เป็นทั้งหัวใจ ฆ่าให้ตาย

เจ็บมาทุกครั้งจนเข็ด เจ็บจนไม่คิดหายใจ
จนเธอเข้ามา ทำให้ฉันรักทั้งใจ
จากเป็นเหมือนคนใกล้ตาย เธอปลุกหัวใจขึ้นใหม่
ให้ดีขึ้นมาเพื่อพังมันเหมือนเดิม

คำที่เธอบอกรัก (มันเคยจริงไหม)
การแสดงว่ารัก ทำให้หลงงมงาย
เจอกับคำว่ารัก ทำให้ฉันต้องใจสลาย

รู้ทั้งรู้ ว่าไม่จริงสักครั้ง กับคำที่เธอนั้นเผลอพูดหลุดปาก
ร้อยทั้งร้อย ทั้งชีวิตของฉัน ก็ยกให้เธอแล้ว
รักทั้งรัก เพราะไอ้คำว่ารัก แหละสุดท้ายก็เลยถูกทิ้งให้ต้องเจ็บซ้ำ
โดนคนที่เป็นทั้งหัวใจ ฆ่าให้ตาย

รู้ทั้งรู้ ว่าไม่จริงสักครั้ง กับคำที่เธอนั้นเผลอพูดหลุดปาก
ร้อยทั้งร้อย ทั้งชีวิตของฉัน ก็ยกให้เธอแล้ว
รักทั้งรัก เพราะไอ้คำว่ารัก แหละสุดท้ายก็เลยถูกทิ้งให้ต้องเจ็บซ้ำ
โดนคนที่เป็นทั้งหัวใจ ฆ่าให้ตาย

รู้ทั้งรู้ ว่าไม่จริงสักครั้ง กับคำที่เธอนั้นเผลอพูดหลุดปาก
ร้อยทั้งร้อย ทั้งชีวิตของฉัน ก็ยกให้เธอแล้ว
รักทั้งรัก เพราะไอ้คำว่ารัก แหละสุดท้ายก็เลยถูกทิ้งให้ต้องเจ็บซ้ำ
โดนคนที่เป็นทั้งหัวใจ ฆ่าให้ตาย",indigo
ผิดที่เป็นฉัน,/music/thailyric/21089,"ทำไมมันยากเย็นเหลือเกิน
การเป็นคนที่เธอนั้นต้องการ
อยากจะเป็นเหมือนคนสำคัญ
แต่ยิ่งรักยิ่งเหมือนสร้างความรำคาญ

ทำไมมันง่ายดายเหลือเกิน
กับคนอย่างเขา ที่เธอหลับหูและหลับตารัก
เธอยอมให้เขาหมดทุกๆ อย่าง
ทำให้เขาทั้งทั้งที่เขาไม่เคยแคร์

ทั้งที่ใจก็รู้ รู้ รู้ ว่าไม่มีทาง
แต่ไม่เข้าใจ ไม่เข้าใจ ว่าทำไม
Oh ทุ่มเท เท เท เทให้เธอเท่าไร
No ถึงไม่ได้อยู่ข้างในใจเธอ

ผิดที่มันเป็นฉัน เพราะแค่ว่าเป็นฉัน
ให้ไปทุกอย่าง ดีแค่ไหนเธอก็โยนทิ้ง
ถูกที่มันเป็นเขา ที่เป็นตัวจริง
แค่เป็นเขา เธอก็รักโดยที่เขานั้นไม่เคยต้องพยายาม

มันก็อิจฉาอยู่ ทุกที
เวลาเห็นแววตาที่เธอนั้นมองเขา
มันก็ปวดร้าวอยู่ ทุกๆ คราว
เวลาเห็นภาพเขาที่กุมมือเธอไว้

ทั้งที่ใจก็รู้ รู้ รู้ ว่าไม่มีทาง
แต่ไม่เข้าใจ ไม่เข้าใจ ว่าทำไม
Oh ทุ่มเท เท เท เทให้เธอเท่าไร
No ถึงไม่ได้อยู่ข้างในใจเธอ

ผิดที่มันเป็นฉัน เพราะแค่ว่าเป็นฉัน
ให้ไปทุกอย่าง ดีแค่ไหนเธอก็โยนทิ้ง
ถูกที่มันเป็นเขา ที่เป็นตัวจริง
แค่เป็นเขา เธอก็รักโดยที่เขานั้นไม่เคยต้องพยายาม

ผิดที่มันเป็นฉัน เพราะแค่ว่าเป็นฉัน
ให้ไปทุกอย่าง ดีแค่ไหนเธอก็โยนทิ้ง
ถูกที่มันเป็นเขา ที่เป็นตัวจริง
แค่เป็นเขา เธอก็รักโดยที่เขานั้นไม่เคยต้องพยายาม

ผิดที่มันเป็นฉัน เพราะแค่ว่าเป็นฉัน
ให้ไปทุกอย่าง ดีแค่ไหนเธอก็โยนทิ้ง
ถูกที่มันเป็นเขา ที่เป็นตัวจริง
แค่เป็นเขา เธอก็รักโดยที่เขานั้นไม่เคยต้องพยายาม",indigo
แผล,/music/thailyric/17557,"ไม่รู้ว่าฉันต้องอ้อนวอนอีกแค่ไหน
มันถึงจะทำให้หัวใจเธอกลับมา
ไม่รู้ว่าฉันทำอะไรผิดนักหนา
มันเลยทำให้หัวใจเธอเปลี่ยนไป

ทั้งรู้ก็ว่าเธอคงไม่เอาแล้ว
ทั้งยื้อและรั้งเพื่อให้เธอไม่ไป
แต่ก็ไม่เคยคิดว่ามันจะง่ายดาย
ทั้งยื้อและรั้งเพื่อให้เธอไม่ไป
สุดท้ายแล้วเธอกึงไม่ต้องการ

ฉันทำแล้วฉันทำทุกอย่างแล้ว
แต่ก็ไม่เรี่ยวแรงพอจะรั้ง
ต้องทนรับความจริงว่าเธอไม่รักกัน

ต่อให้ทำแค่ไหน คนจะไปก็ต้องไป
แม้จะเจ็บเท่าไร ยังไม่ตายก็ต้องไว้
มันก็เหมือนเป็นแผลเตือนให้รู้ว่าหัวใจ
ฉันนั้นเคยมีไว้รักเธอ

ที่คิดที่นึกที่ฝันกันในตอนนั้น
มันคงไม่มีความสำคัญสำหรับเธอ
ที่พูดว่ารักกันทุกครั้งที่ได้เจอ
แค่พูดไปไม่ได้คิดว่าเป็นจริง

ฉันทำแล้วฉันทำทุกอย่างแล้ว
แต่ก็ไม่เรี่ยวแรงพอจะรั้ง
ต้องทนรับความจริงว่าเธอไม่รักกัน

ต่อให้ทำแค่ไหน คนจะไปก็ต้องไป
แม้จะเจ็บเท่าไร ยังไม่ตายก็ต้องไว้
มันก็เหมือนเป็นแผลเตือนให้รู้ว่าหัวใจ
ฉันนั้นเคยมีไว้รักเธอ

ต่อให้ทำแค่ไหน คนจะไปก็ต้องไป
แม้จะเจ็บเท่าไร ยังไม่ตายก็ต้องไว้
มันก็เหมือนเป็นแผลเตือนให้รู้ว่าหัวใจ
ฉันนั้นเคยมีไว้รักเธอ

ต่อให้ทำแค่ไหน คนจะไปก็ต้องไป
แม้จะเจ็บเท่าไร ยังไม่ตายก็ต้องไว้
มันก็เหมือนเป็นแผลเตือนให้รู้ว่าหัวใจ
ฉันนั้นเคยมีไว้รักเธอ",indigo
พัง,/music/thailyric/17226,"คงจะมีเป็นล้านเหตุผล
ที่ทำให้ฉันควรต้องไป
บอกกับเธอว่ารักแค่ไหน
เหมือนเธอไม่ได้ยิน

อยู่กันไปก็เหมือนถูกทิ้ง
เหมือนกับคนไม่มีความหมาย
ในแววตาที่ว่างเปล่านั้น
เก็บฉันไว้ที่ใด

ก็รู้ควรต้องไป
ยิ่งฝืนเท่าไรก็ยิ่งเหนื่อยใจ
ตัวฉันต้องทำอย่างไร
เมื่อเธอมายื้อฉันไว้ด้วยคำเดิม

เพียงเธอนั้นใช้แค่คำหนึ่งคำรั้งไม่ให้ฉันไป
ในใจก็รู้แค่คำหลอกลวงแต่ก็ยังไม่ไปไหน
เจอคำว่ารักคำเดียวก็พังทำอะไรไม่ได้
เธอทำให้ฉันยิ่งหนีเท่าไรก็ยังวนที่เดิม

เกลียดตัวเองที่ฝืนไม่ไหว
ทั้งที่ใจนั้นแทบสลาย
แต่จะให้ต้องฝืนจากไป
ก็ทำไม่ได้

ก็รู้ควรต้องไป
ยิ่งฝืนเท่าไรก็ยิ่งเหนื่อยใจ
ตัวฉันต้องทำอย่างไร
เมื่อเธอมายื้อฉันไว้ด้วยคำเดิม

เพียงเธอนั้นใช้แค่คำหนึ่งคำรั้งไม่ให้ฉันไป
ในใจก็รู้แค่คำหลอกลวงแต่ก็ยังไม่ไปไหน
เจอคำว่ารักคำเดียวก็พังทำอะไรไม่ได้
เธอทำให้ฉันยิ่งหนีเท่าไรก็ยังวนที่เดิม

เพียงเธอนั้นใช้แค่คำหนึ่งคำรั้งไม่ให้ฉันไป
ในใจก็รู้แค่คำหลอกลวงแต่ก็ยังไม่ไปไหน
เจอคำว่ารักคำเดียวก็พังทำอะไรไม่ได้
เธอทำให้ฉันยิ่งหนีเท่าไรก็ยังวนที่เดิม

เพียงเธอนั้นใช้แค่คำหนึ่งคำรั้งไม่ให้ฉันไป
ในใจก็รู้แค่คำหลอกลวงแต่ก็ยังไม่ไปไหน
เจอคำว่ารักคำเดียวก็พังทำอะไรไม่ได้
เธอทำให้ฉันยิ่งหนีเท่าไรก็ยังวนมาที่เดิม",indigo
ไม่มีไม่ไหว,/music/thailyric/18699,"ขอบฟ้า ยิ่งอยู่ยิ่งไกลเท่าไร
ยิ่งมองยิ่งเหมือนยิ่งท้าทาย
เหน็บหนาว หมอกฝนเทลงมาเท่าไร
จะบุกจะลุยเข้าไป

ไม่ให้ดาวที่บนฟ้ามันร่วงได้
ไม่ว่าอะไรที่เข้ามาต้องแพ้พ่าย
แม้จะล้มก็จะลุกขึ้น
ไม่ทิ้งไม่หายไป

แม้ความฝันที่ไขว่คว้าจะไม่ง่าย
แม้ว่าแผลจะถูกซ้ำเท่าไร
ก็ไม่มีหวั่นไหว

ตะโกนบอกฟ้า ไม่ว่าหน้าไหน
ต่อให้เล็กหรือว่าใหญ่ ไม่ท้อแท้ ไม่มีไม่ไหว
ตะโกนบอกฟ้า ให้ฟังเอาไว้
ต่อให้นานเท่าไร ไม่มีทางที่จะยอมแพ้

ขวากหนาม บนทางที่เวียนวกวน
กอดคอกันก้าวให้พ้นไป
จุดหมาย ฝั่งฝันตรงนั้นคือเส้นชัย
จะฝ่าไปด้วยหัวใจ

ไม่ให้ดาวที่บนฟ้ามันร่วงได้
ไม่ว่าอะไรที่เข้ามาต้องแพ้พ่าย
แม้จะล้มก็จะลุกขึ้น
ไม่ทิ้งไม่หายไป

แม้ความฝันที่ไขว่คว้าจะไม่ง่าย
แม้ว่าแผลจะถูกซ้ำเท่าไร
ก็ไม่มีหวั่นไหว

ตะโกนบอกฟ้า ไม่ว่าหน้าไหน
ต่อให้เล็กหรือว่าใหญ่ ไม่ท้อแท้ ไม่มีไม่ไหว
ตะโกนบอกฟ้า ให้ฟังเอาไว้
ต่อให้นานเท่าไร ไม่มีทางที่จะยอมแพ้

ตะโกนบอกฟ้า ไม่ว่าหน้าไหน
ต่อให้เล็กหรือว่าใหญ่ ไม่ท้อแท้ ไม่มีไม่ไหว
ตะโกนบอกฟ้า ให้ฟังเอาไว้
ต่อให้นานเท่าไร ไม่มีทางที่จะยอมแพ้

ตะโกนบอกฟ้า ไม่ว่าหน้าไหน
ต่อให้เล็กหรือว่าใหญ่ ไม่ท้อแท้ ไม่มีไม่ไหว
ตะโกนบอกฟ้า ให้ฟังเอาไว้
ต่อให้นานเท่าไร ไม่มีทางที่จะยอมแพ้",indigo
ยอม,/music/thailyric/19609,"เพราะตัว ฉันเอง
ไม่อาจทำตามใจ เธอทุกอย่าง
เหมือนคมมีด กรีดกลาง
ใจเป็นรอยแผล ให้เราเจ็บช้ำ

เพราะตัว ฉันเอง
ให้เหตุการณ์ เลวร้ายลงทุกที
ฉันทำได้เท่านี้ แต่ไม่ดีพอที่เธอต้องการ

ไม่อยากให้เธอร้อง
ไม่อยากให้เธอเจ็บ
ไม่อยากให้เธอทุกข์ใจ มากไปกว่านี้

ฝืนทนไปเสียเวลาเปล่า
ช้าหรือเร็วก็ปวดร้าว
ฝืนทนไปเสียเวลาเปล่า
เจ็บเพียงครั้งเดียว ทิ้งฉันไปดีกว่า
ส่วนตัวฉันยอมทรมาน

เพราะตัว ฉันเอง
ไม่อาจเป็น อย่างใจเธอต้องการ
ชั่วและดีประสาน
นานจนเป็นฉันเกินจะเปลี่ยนแปลง

ไม่อยากให้เธอร้อง
ไม่อยากให้เธอเจ็บ
ไม่อยากให้เธอทุกข์ใจ มากไปกว่านี้

ฝืนทนไปเสียเวลาเปล่า
ช้าหรือเร็วก็ปวดร้าว
ฝืนทนไปเสียเวลาเปล่า
เจ็บเพียงครั้งเดียว ทิ้งฉันไปดีกว่า
ส่วนตัวฉันยอมทรมาน

ฝืนทนไปเสียเวลาเปล่า
ช้าหรือเร็วก็ปวดร้าว
ฝืนทนไปเสียเวลาเปล่า
เจ็บเพียงครั้งเดียว ทิ้งฉันไปดีกว่า
ส่วนตัวฉันยอมทรมาน

ส่วนตัวฉันยอมทรมาน
ส่วนตัวฉันยอม",indigo
ยังคง (Kept),/music/thailyric/13522,"อยู่กับความว่างเปล่า
กอดกับความเงียบเหงา
ไม่มีใคร ผ่านไปแล้วทุกอย่าง
จบความฝันไป ไม่มีเธอ

แต่ความรัก ยังคงอยู่ ยังคงรู้สึก
ยังคงคิดถึงเธอเหลือเกิน
ฉันยัง เหมือนเดิม
อยู่ตรงนี้ ให้เธอได้รู้ว่า

หมดทั้งชีวิตก็มีเพียงเธอ
ความรักที่ฉันให้ไป หมดทั้งใจ
จะเป็นอย่างนั้นเสมอไป
ไม่เคยลืมภาพนั้นที่สองเราเคยมีกัน
จะจดจำไม่เคยเปลี่ยนไป
ว่าเรารักกันแค่ไหน

เก็บสิ่งดีๆ ทุกอย่าง
ช่วงเวลาครั้งนั้น ที่ฉันมีเธอ
เพราะความรัก ยังคงอยู่

ยังคงรู้สึก ยังคงคิดถึงเธอเหลือเกิน
ฉันยัง เหมือนเดิม อยู่ตรงนี้ ให้เธอได้รู้ว่า

หมดทั้งชีวิตก็มีเพียงเธอ
ความรักที่ฉันให้ไป หมดทั้งใจ
จะเป็นอย่างนั้นเสมอไป
ไม่เคยลืมภาพนั้นที่สองเราเคยมีกัน
จะจดจำไม่เคยเปลี่ยนไป
ว่าเรารักกันแค่ไหน

หมดทั้งชีวิตก็มีเพียงเธอ
ความรักที่ฉันให้ไป หมดทั้งใจ
จะเป็นอย่างนั้นเสมอไป
ไม่เคยลืมภาพนั้นที่สองเราเคยมีกัน
จะจดจำไม่เคยเปลี่ยนไป
ว่าเรารักกันแค่ไหน

อยู่กับความว่างเปล่า
กอดกับความเงียบเหงา
ไม่มีเธออีกแล้ว",indigo
