song_name,href,lyric,artist
ก็ใครมันจะไปรู้ล่ะ,/music/thailyric/839,"รู้ไหม ว่าใครแอบคิดถึง อ๊ะอันนี้ ก็ไม่ทราบเป็นใครนะ
รู้ไหม ว่าใครที่คอยห่วง อืมม..เท่าที่รู้มันคงไม่มีนะ
รู้ไหม ว่าใครที่คอยหวง หา? หา? หา? หา?
เขาฝันถึงเธอมา ตั้งนาน มันคงไม่มี มันคงไม่จริง มันคงไม่มีน่า

ทำไมไม่รู้ก็ทำไมไม่เห็น ว่าใคร ที่เป็นขนาดนั้น
รู้ไหม เขารออยู่นานแล้ว ไม่รู้ ไม่รู้ ไม่รู้
รู้ไหมเขาคอยเธอคนเดียว เธออย่ามาล้อเล่น ล้อเล่นน่า
รู้ไหมเขารอให้แลเหลียว โอ้ย ไม่จริง มันคงไม่มีหรอก
เขาหลง รักเธอมาตั้งนาน ไหนล่ะ ไหนล่ะ ไหนล่ะ คนไหนล่ะ
ทำไมไม่รู้ ก็ทำไมไม่เห็น ว่าใคร คนนั้นน่ะเป็นฉัน

ก็ใครมันจะไปรู้ล่ะ ก็ใครมันจะไปเข้าใจ
ไอ้เรามันคงไม่รู้หรอก ไม่บอกก็คงไม่รู้ใจ

รู้ไหมกับเธอแล้วเราไม่กล้าคิด ฮืม..ก็ลองคิด
เพราะคิดแล้ว มันคงจะเป็นไปไม่ได้ ฮืม..เป็นไปได้
รู้ก็รู้อยู่ว่าเราไม่เอาไหน ฮืม..ไม่จริงมั๊ง ไม่เลย
ไม่คิดว่าเราจะโชคดี ฮืม. ลองมองก็รู้ ลองดูก็เห็น
ว่าใคร คนนั้นน่ะเป็นฉัน
แล้วเธอเองคิดอย่างไร ถ้าเธอได้รู้ว่าใครชอบเธอ
แล้วเธอเองพูดอย่างไร ถ้าคิดจะบอกว่าใจตรงกัน",j_jetrin
คาใจ,/music/thailyric/847,"กลับมาหาเธอ โดยรู้ดี ว่าวันนี้ต้องเจอ เธอมีคนใหม่
เจอะ เขาและเธอ อยุ่เคียงข้างกาย แต่ยังไงก็คงต้องมา

ก็ยังคาใจ ข้างในลึก ๆ ที่เธอลืมกัน ไม่ทันพูดคำลา
จืดจางกันไป ไม่ทันพบหน้า จึงต้องมา ๆ หาเธอ

บอกกับเค้า ได้ไหม ว่าให้หันไปก่อน อ้อนวอนขอให้เขา เห็นใจกันบ้าง
ที่ต้องการเพียงจะลา มองหน้าเธออีกครั้ง อย่างลำพัง โดยไม่มีคนอื่น

บอกคนของเธอ ให้เข้าใจ ว่าทำไม ฉันจึงจงใจมา
แค่เพียงไม่นาน คงไม่ว่า ให้เวลาได้ลา ซักคำ (ลาซักคำ)

ก็ยังคาใจ ข้างในลึก ๆ ที่เธอลืมกัน ไม่ทันพูดคำลา
จืดจางกันไป ไม่ทันพบหน้า จึงต้องมา ๆ หาเธอ

บอกกับเค้า ได้ไหม ว่าให้หันไปก่อน อ้อนวอนขอให้เขา เห็นใจกันบ้าง
ที่ต้องการเพียงจะลา มองหน้าเธออีกครั้ง อย่างลำพัง โดยไม่มีคนอื่น

บอกกับเค้า ได้ไหม ว่าให้หันไปก่อน อ้อนวอนขอให้เขา เห็นใจกันบ้าง
ที่ต้องการเพียงจะลา มองหน้าเธออีกครั้ง อย่างลำพัง โดยไม่มีคนอื่น

ที่ต้องการ เพียงจะลา มองหน้าเธออีกครั้ง อย่างลำพังโดยไม่มีคนอื่น

ที่ต้องการเพียงจะลา มองหน้าเธออีกครั้ง เอยคำลา คำที่มัน คาใจ",j_jetrin
ได้จังหวะ,/music/thailyric/858,"เอ้าเริ่มต้นที่นี่ ใครจะทำอะไรอะไรก็เต็มที่
อยากให้เรามาเคลื่อนไหวกันหน่อยไหม
ไม่อยากให้เฉย ได้ไหม ได้ไหม
อยากให้หัวใจเราเต้นด้วยกันได้
มีจังหวะที่ไปด้วยกันได้ อย่างนี้แหละ แบบนี้แหละ
ใช่ จังหวะที่เราทุกคนเข้าใจได้

มาแล้ว มาแล้ว มาจนถึงที่นี่ ที่นี่
ที่หัวใจเรามันเต้น เต้น เต้น ด้วยกัน
จังหวะที่ไปด้วยกันได้
แล้วใครยังจะนั่งอยู่นิ่งนิ่งกันได้บ้าง
เมื่อหัวใจเต้นเท่าเท่าคนข้างข้าง
เอ้า มาเด๊ะ มาเด๊ะ มาลองกันดูเด๊ะ

แล้วจังหวะก็พาเรามาถึงที่นี่
พาให้หัวใจเรามันเต้นกับเพื่อน เพื่อน
เพิ่งมาเจอเราก็เรียกว่าเป็นเพื่อนได้
เพราะเรารู้ว่าเราเข้ากันได้
เพราะจังหวะทำให้เราเข้ากันได้
ให้เราทำอะไรได้มาก
เชื่อในจังหวะแล้วทำอะไรมันก็ไม่ยาก
เข้ามาเลย เข้ามาเลย แล้วมาออกแรงกันซักหน่อย
เข้ามาเลย เข้ามาเลย แล้วมันจะดีไปเอง",j_jetrin
ประมาณนี้ (รึเปล่า),/music/thailyric/872,"แต่ก่อนไม่เคยเอาใจใคร ไม่อยากจะมีคนพิเศษ
ไปเจอะกับใครยังไม่เคยหยุด แต่เจอะกับเธอมันจังงัง
เกิดอยากเอาใจเธอที่สุด แต่ทำอย่างไรมันไม่เคยรู้
ต้องโทรไปหาทุกวันเลย ไปไหนต้องคอยตาม
ต้องหาเรื่องคุยอยู่เสมอ ถ้าแต่งตัวสวยต้องคอยชม
ต้องยิ้มเมื่อเจอเธอ ต้องมีดอกไม้ให้ทุกวัน

ประมาณนี้หรือเปล่า ทำนองนี้หรือเปล่า
อย่างที่เขา ทำทำกันให้มีรัก
ราวๆ นี้ หรือเปล่า แนวๆ นี้ หรือเปล่า
อย่างที่เขา ทำทำกันให้ถึงใจ

ไปหยิบตำราเอามาดู ต่างๆ นานาตั้งร้อยแปด ต่างๆ กันไป
มันไม่มีหมด ไอ้อย่างที่ใครว่าดีดี บอกบอกกันมาก็ขอจด
แต่ถูกใจเธอน่ะมันอย่างไหน ต้องส่งต้องรับทุกวันเลย
คำพูดต้องดูดี ต้องช่วยดูแลอยู่เสมอ
ถ้าแต่งตัวสวยต้องคอยชม ต้องยิ้มเมื่อเจอเธอ ต้องมีดอกไม้ให้ทุกวัน

(RAP)
เธอจะชอบยังไงล่ะเนี่ย จะเลือกอะไรไปให้เธอล่ะ
เลือกยาก เลือกยาก ก็แค่ดอกไม้น่ะ
สีที่เธอชอบ จะเหลือง เอ๊ะ รึจะม่วง สีที่เธอชอบ คิดคิดว่าม่วงน่า
ยิ้มยังไงจะเท่ มันจะเท่ ควรจะเท่มั้ยเนี่ย
พูดโน่น พูดนี่ เธอจะชอบมั๊ยเนี่ย
ไปรับเธอถึงที่บ้าน เธอจะชอบ เธอจะมามั๊ยล่ะ
พูดดีดีเข้าไว้ เธอคงชอบน่า",j_jetrin
เพิ่งเข้าใจ,/music/thailyric/876,"ไม่คิดเลยสักครั้ง จะรักใครก็ยังไม่เคย ปล่อยวันให้ล่วงเลยทำตัว อย่างที่พอใจ
ไม่รู้ในเหตุผล เมื่อเห็นคนที่รักใคร ต้องเปลี่ยนชีวิตไป ดูไปมันไม่คุ้นเคย

(ได้รู้ในบัดนี้/แต่แล้วมาบัดนี้)ในวันที่ได้พบเธอ กลับได้พบเจอความจริงจึงได้เข้าใจ
ว่าทำไมคนจึงต้องยอม เปลี่ยนตัวเองไปเมื่อรักใคร เพื่อขอให้ในใจ มีคนที่ได้รักจริง

เพิ่งเข้าใจนะ เพิ่งเข้าใจ วันนี้เพิ่งเข้าใจ ว่ารักนั้นทำให้ใจอิ่มเอม
เพิ่งเข้าใจนะ เพิ่งเข้าใจ วันนี้เพิ่งเข้าใจ เมื่อฉันได้เจอเธอ คือคำตอบและความหมาย

(ขอบคุณที่เธอทำให้ทุกๆวันมีความสุข ขอบคุณที่ทำให้ฉันพบกับวันใหม่
และขอบคุณสำหรับทุกๆสิ่ง ทุกๆอย่าง)

ได้พบความอ่อนไหว สดใสเกินกว่าเคยได้เจอ จากวันที่พบเธอ ฉันเหมือนมองเห็นโลกใหม่
หากรักเป็นอย่างนี้ จะขอยอมทุ่มเทหัวใจเปลี่ยนแปลงชีวิตไป เต็มใจหากว่ามีเธอ

(ได้รู้ในบัดนี้/แต่แล้วมาบัดนี้)ในวันที่ได้พบเธอ กลับได้พบเจอความจริงจึงได้เข้าใจ
ว่าทำไมคนจึงต้องยอม เปลี่ยนตัวเองไปเมื่อรักใคร เพื่อขอให้ในใจ มีคนที่ได้รักจริง

เพิ่งเข้าใจนะ เพิ่งเข้าใจ วันนี้เพิ่งเข้าใจ ว่ารักนั้นทำให้ใจอิ่มเอม
เพิ่งเข้าใจนะ เพิ่งเข้าใจ วันนี้เพิ่งเข้าใจ เมื่อฉันได้เจอเธอ คือคำตอบและความหมาย",j_jetrin
ยุ่งน่า,/music/thailyric/883,"ปล่อยไปอย่างนี้จะดีหรือ อยู่ไปอย่างนี้มันจะดีไหม
ปล่อยไปก็ใครจะทนไหว จะง่ายไปรึเปล่า

ยุ่งน่า ไม่ต้องมายุ่งน่า ไอ้เพื่อนบ้าๆ ก็ชอบมาว่า
ก็ชอบมาว่า มาว่า มาว่า มาว่า ว่าเราชุ่ย มาว่าว่ามักง่าย
เราว่าไม่ใช่ ไม่ใช่ ไม่ใช่ แค่ชอบง่ายๆ อะไรก็ได้
ก็ไม่เรียกว่าชุ่ยน่า ก็แค่ไม่ชอบยาก
ก็ต้องให้เรื่องยุ่งยาก ให้มากเรื่อง ให้เสียเวลาทำไมล่ะ
ง่ายๆ ก็ได้นี่ ก็ชอบให้ง่าย ก็ชอบ ชอบ ชอบ ชอบ เอาน่า
(ก็ช่วยไม่ได้ ก็ช่วยไม่ได้)

เรื่องมาก ก็เพื่อนมันเรื่องมาก
ก็ชอบให้ยุ่ง ชอบยากให้มากเรื่อง ให้ง่ายไม่ได้
เสื้อผ้า ก็ต้องให้เข้าท่า ต้องเข้ากะหน้า ต้องรีดให้เรียบ
ไม่เรียบก็ไปไม่ได้ อีแค่ไปเที่ยวเล่น ก็แต่งซะเต็มที่
ก็ไม่เข้าเรื่องก็ไม่ใช่ที่จะว่าก็ไม่ได้ ก็เรื่องของมัน
ก็ไม่ใช่เรื่องของเรานี่ ถ้าชอบให้เรื่องมาก
ถ้าชอบให้ยาก ก็ช่าง ช่าง ช่าง ช่าง ช่างมัน
(ก็ช่วยไม่ได้ ก็ช่วยไม่ได้)

ง่ายมาก ก็ง่ายจนยุ่งยาก ไปเจอเค้าเข้า ไปชอบเค้าเข้า
ก็คิดง่ายๆ คนนี้ต้องใช่ ต้องใช่ ต้องใช่แน่ คนนี้ไม่พลาดแน่
ก็ใจมันง่ายเลยชอบจนได้ ก็ชอบไปเลยปัญหาอะไร
ไว้ค่อยไปแก้เอาก็เลยเป็นเรื่องยุ่ง ก็ตรงเค้าชอบ เรื่องมาก ให้ยุ่งยาก
นิสัยเหมือนเหมือนกับเพื่อนเนี่ย เค้าว่าว่า เราชุ่ย
เราว่าไม่ใช่ ไม่ใช่ ไม่ใช่ เค้าบอกว่า ใช่ใช่ใช่ใช่ใช่ใช่ ชุ่ยแน่

ก็เสื้อไม่รีดให้เรียบ ไอ้เราก็อึ้ง อึ้ง อึ้ง ก็อึ้ง อึ้ง
ก็ท่าจะต้องให้ช่วยด้วย ก็ต้องให้เพื่อนช่วย
ก็ต้องให้ช่วย ให้ช่วย ช่วย ช่วย ช่วย ช่วยด้วย
เราจะทำยังไง ทำยังไงให้เค้ามีใจล่ะ
เรามันควรจะไปทำตัวยังไง ให้ดูดีล่ะ
เอากางเกงอะไรจะเป็นทรงอะไร ให้ดูดีล่ะ
เชื่อจะเชื่อ เชื่อเชื่อเชื่อ เชื่อแล้ว
(ก็ช่วยกันบ้าง ก็ช่วยกันบ้าง ก็ช่วยกันบ้าง ก็ช่วยกันบ้าง)",j_jetrin
รักเธอให้ผูก (หรือเปล่า),/music/thailyric/887,"รักยาว ให้บั่น ถ้ารักสั้น ก็ให้ต่อ ทฤษฎีแนวทาง
วางเป็นหัวข้อ ถ้ารักกันละ ก็ต้องอย่างนี้
รักวัวให้ผูก ถ้ารักลูก ก็ให้ตี เขารู้กันมานมนานเป็นร้อยปี
ก็เขาว่าดี ว่าแน่นอน แล้วรักของเธอล่ะ ต้องบั่น ต้องทอนไหม
รักของเธอล่ะ จะตี หรือจะผูก รักของเธอล่ะ ต้องต่อกันยาวไหม
ถ้ารักเธอ แล้วจะยังไง แล้วรักของเธอล่ะ จะตีกันตรงไหน
รักของเธอล่ะ จะผูก ไว้ที่ใด

รักของเธอล่ะ จะต่อ กันตรงไหน ถ้ามี ใครรู้ ก็ช่วยที
จะยังไง ตัดตรงไหน ต่อตรงไหน รู้ไหมใครบอกฉันที
ต้องตีไหม ผูกตรงไหน ไม่เคยเข้าใจ ไหนใคร บอกฉันที
ก็รักเธอจริงจัง แล้วรักไม่ได้ ดังใจ
ไม่รู้จริงๆ จะวางตัว เป็นเช่นไร ความรู้ เรื่องใจ มันไม่มี",j_jetrin
รีบรีบง่วงง่วง,/music/thailyric/888,"เกือบชินหรือยัง กับปัญหาอะไรไม่รู้ตั้งมากมาย
ก่อกวนหัวใจอึดอัดเหลือเกิน เกือบชินหรือยัง
กับปัญหาอะไรไม่รู้ตั้งเป็นกอง ต้องเจอทุกวันหลีกกันไม่พ้น
ค่อยข้างจะวุ่น ต้องวุ่นกันตั้งแต่ตอนเช้าแน่ะ
ไม่วุ่นไม่ได้ ไม่รีบไม่ได้ มันจะไปไม่ทันแน่

ต้องรีบอาบน้าแล้วแต่น้ามันก็ดันมาไหลเอื่อย
รีบรีบง่วงง่วง อารมณ์ก็เสีย ก็เลยกลายเป็นเหนื่อยไปซิ
นอนดึกตื่นเช้า อย่างนี้สุขภาพไม่ดีหรอก
เจ็ดแปดชั่วโมง ถึงจะนอนเพียงพอ แต่ก็ทำไม่ได้หรอก
เดี๋ยวจะสาย ที่ไหนก็จะมีแต่รถติด

รีบรีบง่วงง่วง ยิ่งง่วงก็ยิ่งหงุดหงิด
ออกมานอกบ้านพลุกพล่านกันตั้งแต่ตีห้าครึ่ง
รถราเพ่นพ่าน ผู้คนงุ่นง่านไปไม่ทันก็หน้าบึ้ง
แซงซ้ายแซงขวา ยื้อแย่งกันเหลือเกิน อย่างนี้น่ะสิ

มันเกินไปยังไงมันก็เกินไป จนเกินใจจะคุ้นเคย
มันเกินไป ยังไงมันก็เกินเลย ยังไงดีเราจะแก้ยังไง
ถนนก็แย่ ฝุ่นควันมันก็ชวนให้อึดอัด
ไอ้โน่นก็ซ่อม ไอ้นี่ก็เสีย ทำอะไรก็ติดขัด
เช้านะเนี่ย ทำไมถึงได้วุ่นจนแทบบ้า

รีบรีบง่วงง่วง เบลอเบลอจนเกินจะบ้าอยู่แล้ว
ถ้าช่วยกันหน่อย ตามกฎกติกามารยาทบ้าง
จะผ่อนหนักเป็นเบา คงจะดีขึ้นได้บ้าง
แค่รถไม่ติดอย่างเดียวก็ขอบคุณมาก",j_jetrin
สมน้ำหน้า,/music/thailyric/895,"แล้วยังจะมาบ่น อะไรอีกล่ะ ยังมาบ่น จะมาพูดอะไรอีกล่ะ
ยังจะมาบ่นอะไรอีกล่ะ (สมน้ำหน้า)
ห้ามก็ไม่เชื่อ ยิ่งห้ามก็ยิ่งไม่เชื่อ บอกว่าอย่าไปถาม อย่าไปถาม
ก็ไม่เชื่อ รู้ก็รู้นี่ ว่าทำไมเธอจะเลิก ก็รู้คำตอบอยู่แล้ว ก็อยู่เงียบๆ

ก็หมดเรื่องก็บอกว่าไม่ ไม่แต่ใจมันดื้อแพ่ง
แล้วมันสั่งให้ปากถามอยากได้ยินให้จะแจ้ง
เธอก็เลยพูด พูดว่าที่ต้องเลิก เป็นเพราะฉันมันแย่ ก็เพราะว่าแย่
ก็เลยต้องเลิก เธอไปแล้ว ก็เริ่มจะฟุ้งซ่าน
กลุ้มอยู่คนเดียวจนมืดไปแปดด้าน ใจมันว้าวุ่น
ก็เพราะรักเธอมากๆ จะให้ฉันตัดใจ ก็คงเป็นไปได้ยาก
ก็เลยมากลุ้มกลุ้ม แล้วก็คิดสั้น โทรไปอ้อนวอน ขอร้องเธอถึงบ้าน
แย่ แย่ ยิ่งแย่ เข้าไปใหญ่ ก็เธอไม่พูดด้วย ฉันก็เลยมานั่งใบ้

ความจริงก็รู้ อยู่เฉยเฉยดีกว่าเยอะให้แล้วแล้วไปก็แล้วกัน
ความจริงก็รู้ แต่ไม่เห็นทำอย่างนั้น ต้องจ๋อยจ๋อยไป
ก็ควรแล้ว แล้วไม่ยอมเข็ด ก็เอาอีกจนได้ รนไปหาที่ ไปเจอดีเข้า
ให้ใจมันร้อนรุ่ม ก็ลุยไปถึงบ้าน ไปเจอคนใหม่ของเธออยู่ที่นั่น

มันชักจะเริ่ม มันเริ่มกระจ่างแจ้ง แต่ว่า มันก็แย่มาก
ที่ไปรู้ว่าเธอแกล้ง โธ่โธ่ไม่รู้ซะดีกว่า
ก็ไปแส่หาเรื่องก็เป็นอย่างนี้ก็สมน้ำหน้า แล้วยังจะมาบ่นอะไรอีกละ
ยังจะมาพูดอะไรอีกล่ะ ยังจะมาบ่นอะไรอีกล่ะ (สมน้ำหน้า)",j_jetrin
สะพาน,/music/thailyric/896,"โลกเราใบนี้ ช่างงดช่างงามหนักหนา
พื้นน้ำพื้นดินแผ่นฟ้า กว้างไกล พื้นดินป่าเขา
ทั้งเขาทั้งเราแบ่งใช้ เส้นรุ้งเส้นแวงแบ่งไว้ ชัดเจน
ผู้คนวันนี้ นับร้อยนับพันหมื่นล้าน
ทั้งเขาทั้งเราเผ่าพันธุ์ มากมาย ร้อยพันภาษา

รูปร่างหน้าตาต่างไป ทั้งโลกก็เลย สั่นไหว ไม่สร่าง
อยู่ที่จิตใจของเราที่ต่างกันตรงไหน ยังไง
อยู่ที่ปรับจูนหัวใจ สร้างสื่อหัวใจ ให้ตรงกัน
ถ้าเราถ้าเขามีสะพาน สะพานเชื่อมใจไปสู่ใจ
(ทำเป็นทางเดินไปหากันกันตรงกลาง)

แบ่งปันความรักคอยส่งไป ให้เราเข้าใจกันและกัน
(ทำเป็นทางเดินไปหากันสบาย)
หัวใจเรานี้ ก็ไม่ได้มีเขตแคว้น ก็ไม่ได้มีเขตแดนในใจ
ขาวดำไม่สน ให้รักรักกันเข้าไว้ ให้โลกของเราสดใสทุกแห่ง",j_jetrin
