song_name,href,lyric,artist
เก็บไว้ทำไมไม่รัก,/music/thailyric/991,"คบฉันไว้เป็นตัวจริง มันคงไม่ใช่
ไม่ใช่ มันก็คงไม่ใช่มั้ง
เรื่องเขาเธอยังไม่เคลียร์ ก็ปล่อยให้เรื้อรัง

เห็นฉันเป็นตัวอะไร เธอมีใครต่อใคร
เธอยังมาให้ความหวัง
และแล้วพอฉันจะไป ก็มาฉุดรั้ง

เพราะทุกๆ ครั้งที่จูงมือ
เพราะทุกๆ ครั้งที่เจอกัน
ฉันก็ไม่รู้ว่านี่มัน สถานะอะไร
เพราะคบกับฉันไปนานนาน ยิ่งทำให้เธอทรมาน

เก็บไว้ทำไมไม่รัก นี่มันใช่แฟนกันหรือเปล่า
เก็บไว้ทำไมไม่รัก หรือรอให้แน่ใจกับเขา
เก็บไว้ทำไมไม่รัก แค่ตัวประกัน
เธอมีฉันไว้ชั่วคราว ที่ยังเจ็บ
เพราะเธอยังเก็บฉันไว้ แล้วมีใครอีกคน

คบฉันไว้เป็นตัวจริง มันคงไม่ใช่
ไม่ใช่ มันก็คงไม่ใช่มั้ง
เรื่องเขาเธอยังไม่เคลียร์ ก็ปล่อยให้เรื้อรัง

เห็นฉันเป็นตัวอะไร เธอมีใครต่อใคร
เธอยังมาให้ความหวัง
และแล้วพอฉันจะไป ก็มาฉุดรั้ง

เพราะทุกๆ ครั้งที่จูงมือ
เพราะทุกๆ ครั้งที่เจอกัน
ฉันก็ไม่รู้ว่านี่มัน สถานะอะไร
เพราะคบกับฉันไปนานนาน ยิ่งทำให้เธอทรมาน

เก็บไว้ทำไมไม่รัก นี่มันใช่แฟนกันหรือเปล่า
เก็บไว้ทำไมไม่รัก หรือรอให้แน่ใจกับเขา
เก็บไว้ทำไมไม่รัก แค่ตัวประกัน
เธอมีฉันไว้ชั่วคราว ที่ยังเจ็บ
เพราะเธอยังเก็บฉันไว้ แล้วมีใครอีกคน

The curse that you cast on me.
Damn, it hurts down deep inside of me.
Now, you've made my life screwed,
like it never gonna pass.
To be the last one to be knewed,
you've cheated on me at last.

เก็บไว้ทำไมไม่รัก นี่มันใช่แฟนกันหรือเปล่า
เก็บไว้ทำไมไม่รัก หรือรอให้แน่ใจกับเขา
เก็บไว้ทำไมไม่รัก แค่ตัวประกัน
เธอมีฉันไว้ชั่วคราว ที่ยังเจ็บ
เพราะเธอยังเก็บฉันไว้ แล้วมีใครอีกคน",jack_jarupong
ดิ้นรน,/music/thailyric/992,"เธอไม่เคยเป็นฝ่ายที่โทรมาหา
เธอไม่เคยจะแอบสบตาสักวัน
เธอนะเพื่อนคนหนึ่ง เท่าที่ให้กัน
แต่ดันคิดลึกไปไกล

เธอแค่คุยเวลาทะเลาะกับเขา
เธอให้เราเป็นแค่ตัวคั่นเวลา
ฉันนี่ไงที่เจ็บ มันสมน้ำหน้า
ที่แอบมาเข้าข้างตัวเอง

เซ็ง จะหลอกตัวเองอย่างนี้อีกนานเท่าไร
ก็ยังไปฝืนดันทุรัง ยังไปคิดจริงจัง
ไม่คิดยับยั้งชั่งใจ

สั่งใจอย่าไปดิ้นรนให้คนไม่รักกัน
ทำเท่าไรเธอก็ไม่รักกัน
เติมเท่าไรไม่เต็ม รักเท่าไรไม่พอ
ได้แต่รอจนมันท้อใจ

ยังดิ้นรนให้คนไม่รักกัน
มีแค่เจ็บอยู่อย่างนั้น
มันเหมือนยิ่งพยายาม ก็ยิ่งทรมาน
จะดิ้นรนได้นานเท่าไร ยังไม่รู้เลย

เขาไม่รัก ไม่เก็บไม่จำใส่หัว
เขาไม่รัก ยังแอบไปฝันกลางวัน
มันชอบไปงมงาย คิดว่ารักกัน
ไม่ทัน ได้ห้ามตัวเอง

เซ็ง จะหลอกตัวเองอย่างนี้อีกนานเท่าไร
ก็ยังไปฝืนดันทุรัง ยังไปคิดจริงจัง
ไม่คิดยับยั้งชั่งใจ

สั่งใจอย่าไปดิ้นรนให้คนไม่รักกัน
ทำเท่าไรเธอก็ไม่รักกัน
เติมเท่าไรไม่เต็ม รักเท่าไรไม่พอ
ได้แต่รอจนมันท้อใจ

ยังดิ้นรนให้คนไม่รักกัน มีแค่เจ็บอยู่อย่างนั้น
มันเหมือนยิ่งพยายาม ก็ยิ่งทรมาน
จะดิ้นรนได้นานเท่าไร

มองเธอแอบอิงเขาข้างกาย
หัวใจละลายจะตายอยู่ตรงนี้
ไม่เคยเจียมตัวเองได้สักวัน
ก็ใจมันยังคงดื้อรั้นทุกที

หายใจยังเป็นเธอ
แต่เธอหายใจยังเป็นใคร
ยิ่งคิด ยิ่งเจ็บ

สั่งใจอย่าไปดิ้นรนให้คนไม่รักกัน
ทำเท่าไรเธอก็ไม่รักกัน
เติมเท่าไรไม่เต็ม รักเท่าไรไม่พอ
ได้แต่รอจนมันท้อใจ

ยังดิ้นรนให้คนไม่รักกัน
มีแค่เจ็บอยู่อย่างนั้น
มันเหมือนยิ่งพยายาม ก็ยิ่งทรมาน
จะดิ้นรนได้นานเท่าไร ยังไม่รู้เลย

อย่าไปดิ้นรนให้คนไม่รักกัน
ทำเท่าไรเธอก็ไม่รักกัน
เติมเท่าไรไม่เต็ม รักเท่าไรไม่พอ
ได้แต่รอจนมันท้อใจ

ยังดิ้นรนให้คนไม่รักกัน
มีแค่เจ็บอยู่อย่างนั้น
มันเหมือนยิ่งพยายาม ก็ยิ่งทรมาน
จะดิ้นรนได้นานเท่าไร ยังไม่รู้เลย",jack_jarupong
บันทึกช่วยลืม,/music/thailyric/993,"กล่องความทรงจำฉันมีแค่เธอเก็บไว้
และความรักที่มีข้างใน เกิดขึ้นด้วยความบังเอิญ
จากความเผลอใจ จนไกลมากเกิน
ปล่อยใจให้ฝันจนเพลิน ว่าเธอมีใจให้กัน

ขอบคุณที่เธอช่วยปลุกให้ตื่นจากฝัน
ว่าเธอคิดอะไรกับฉัน แค่คนที่คุ้นและเคย
ไม่เคยรักกัน มากกว่านั้นเลย
ขอบคุณที่เธอเฉลย ช่วยทำให้รู้ความจริง

บอกตัวเองทุกครั้ง ไม่ว่าใจยังรักเธอสักเท่าไร
คงได้เวลาตัดใจให้ลืมโดยดี
จะเอาคำที่เธอนั้นบอก ไม่เคยรักฉันแค่คำนี้
เอามันเขียนไว้ข้างในใจลึกๆ
ให้เป็นบันทึกช่วยลืม ลืมเธอเสียที

ขอบคุณที่เธอช่วยปลุกให้ตื่นจากฝัน
ว่าเธอคิดอะไรกับฉัน แค่คนที่คุ้นและเคย
ไม่เคยรักกัน มากกว่านั้นเลย
ขอบคุณที่เธอเฉลย ช่วยทำให้รู้ความจริง

บอกตัวเองทุกครั้ง ไม่ว่าใจยังรักเธอสักเท่าไร
คงได้เวลาตัดใจให้ลืมโดยดี
จะเอาคำที่เธอนั้นบอก ไม่เคยรักฉันแค่คำนี้
เอามันเขียนไว้ข้างในใจลึกๆ
ให้เป็นบันทึกช่วยลืม ลืมเธอเสียที

ข้อความที่เขียนในใจ ยังขีดเส้นใต้ลงไป
เป็นคำหนึ่งคำที่สำคัญ
ให้มันคอยมาย้ำเตือนความเป็นจริง ว่าต้องหยุด
เลิกงมงายกับความฝันที่ไม่มีวันเกิดขึ้นจริง

บอกตัวเองทุกครั้ง ไม่ว่าใจยังรักเธอสักเท่าไร
คงได้เวลาตัดใจให้ลืมโดยดี
จะเอาคำที่เธอนั้นบอก ไม่เคยรักฉันแค่คำนี้
เอามันเขียนไว้ข้างในใจลึกๆ
ให้เป็นบันทึกช่วยลืม

บอกตัวเองทุกครั้ง ไม่ว่าใจยังรักเธอสักเท่าไร
คงได้เวลาตัดใจให้ลืมโดยดี
จะเอาคำที่เธอนั้นบอก ไม่เคยรักฉันแค่คำนี้
เอามันเขียนไว้ข้างในใจลึกๆ
ให้เป็นบันทึกช่วยลืม ลืมเธอเสียที",jack_jarupong
ลืมตัว,/music/thailyric/994,"กับการวางตัวอย่างนั้น
ฉันรู้ว่ามันไม่ดีใช่ไหม
ต้องเป็นเพื่อนกัน ยังไม่เคยจำมาใส่ใจ
แสดงท่าที มีอาการว่ามีเยื้อใย

บอกเธอตามตรง ที่เจอกันทุกครั้ง
แค่เพียงมองตากันก็หวั่นไหว
ฐานะที่ควรเปลี่ยน ยังไม่ยอมเปลี่ยน
สั่งใจยังไงก็ไม่จำ

ก็มันลืมตัว ว่าเราจบกัน
ถ้าบังเอิญฉัน ล่วงเกินตัวเธอ
ด้วยสายตามองไป บอกว่ารักเป็นนัยๆ
ก็อย่าใส่ใจเลยนะเธอ

ก็ยังลืมตัว ถ้าบังเอิญเผลอ
พลั้งสัมผัสเธอ ให้เธอช่วยเตือน
และย้ำการกระทำ ของฉันในทุกสิ่ง
ที่ยังไม่ยอมรับความจริง ว่าเรานั้นเลิกกัน

อย่าเจอกันเลยได้ไหม ขอเวลาไปทำใจสักพัก
ให้มันลบเลือน ลืมว่าเธอเคยเป็นคนรัก
เมื่อวันนี้ใจยังไม่อาจจะหยุดรักเธอ

บอกเธอตามตรง ที่เจอกันทุกครั้ง
แค่เพียงมองตากันก็หวั่นไหว
ฐานะที่ควรเปลี่ยน ยังไม่ยอมเปลี่ยน
สั่งใจยังไงก็ไม่จำ

ก็มันลืมตัว ว่าเราจบกัน
ถ้าบังเอิญฉัน ล่วงเกินตัวเธอ
ด้วยสายตามองไป บอกว่ารักเป็นนัยๆ
ก็อย่าใส่ใจเลยนะเธอ

ก็ยังลืมตัว ถ้าบังเอิญเผลอ
พลั้งสัมผัสเธอ ให้เธอช่วยเตือน
และย้ำการกระทำ ของฉันในทุกสิ่ง
ที่ยังไม่ยอมรับความจริง ว่าเรานั้นเลิกกัน

ช่วยปลุกฉันให้ตื่นทีได้ไหม
ช่วยบอกให้รู้ว่า ไม่มีหนทางไหน
ทำให้เรากลับมารักกัน

บอกเธอตามตรง ที่เจอกันทุกครั้ง
แค่เพียงมองตากันก็หวั่นไหว
ฐานะที่ควรเปลี่ยน ยังไม่ยอมเปลี่ยน
สั่งใจยังไงก็ไม่จำ

ก็ยังลืมตัว ว่าเราจบกัน
ถ้าบังเอิญฉัน ล่วงเกินตัวเธอ
ด้วยสายตามองไป บอกว่ารักเป็นนัยๆ
ก็อย่าใส่ใจเลยนะเธอ

ก็ยังลืมตัว ถ้าบังเอิญเผลอ
พลั้งสัมผัสเธอ ให้เธอช่วยเตือน
และย้ำการกระทำ ของฉันในทุกสิ่ง
ที่ยังไม่ยอมรับความจริง ว่าเรานั้นเลิกกัน

เราต้องไม่รักกัน",jack_jarupong
เลอะเลือน,/music/thailyric/995,"หากฉันเป็นคนฟั่นเฟือน อาจจะลืมเลือนเรื่องนั้น
ภาพวันที่เราเคยรักกัน ภาพวันนั้นยังคงติดตา
ยิ่งจำว่าเคยรักใคร เท่ากับตายลงไปช้าๆ
หมดไปแล้วเท่าไหร่น้ำตา
สิ่งที่ได้คืนมาคือเจ็บทั้งนั้น

ร้อยพันเรื่องร้าย ใจของฉันไม่เคยจะเก็บ
เจ็บอยู่กับภาพเดิมๆ เรื่องดีๆ ที่ยังไม่เลือนลบไป

อยากลืมเธอให้หมดใจ โดยที่ใช้เวลาไม่นาน
ไม่ต้องเจ็บต้องทรมาน กับการลืมภาพเธอ
ให้ความช้ำโดนทำร้าย ให้สมองกระทบกระเทือน
ให้กลายเป็นคนเลอะเลือน
ลืมความทรงจำ ที่เตือนว่าเคยรักเธอ

สมองของฉันคอยสั่ง ว่าต้องลืมเธอให้ไหว
แต่ยังไม่มีทางสั่งใจ ให้ลืมเธอง่ายดายอย่างนั้น

ร้อยพันเรื่องร้าย ใจของฉันไม่เคยจะเก็บ
เจ็บอยู่กับภาพเดิมๆ เรื่องดีๆ ที่ยังไม่เลือนลบไป

อยากลืมเธอให้หมดใจ โดยที่ใช้เวลาไม่นาน
ไม่ต้องเจ็บ ต้องทรมานกับการลืมภาพเธอ
ให้ความช้ำโดนทำร้าย ให้สมองกระทบกระเทือน
ให้กลายเป็นคนเลอะเลือน
ลืมความทรงจำ ที่เตือนว่าเคยรักเธอ

ให้วันเวลาดีๆ กับเธอที่มีละลายลงไป
ภาพความจำครั้งนั้นจะลบยังไง
ต้องเป็นแบบนี้ อีกนานไหม

อยากลืมเธอให้หมดใจ โดยที่ใช้เวลาไม่นาน
ไม่ต้องเจ็บ ต้องทรมานกับการลืมภาพเธอ
ให้ความช้ำโดนทำร้าย ให้สมองกระทบกระเทือน
ให้กลายเป็นคนเลอะเลือน
ลืมความทรงจำ ที่เตือนว่าเคยรักเธอ

ให้กลายเป็นคนเลอะเลือน
ลืมความทรงจำ ที่เตือนว่าเคย",jack_jarupong
เลิฟ มี อีฟ ยู แคน (Love Me If You Can),/music/thailyric/996,"ถ้าบังเอิญว่าเธอนั้นเดินผ่านมา
รับประกันล่ะว่าจะเห็นฉันสบตา
เธอก็คงจะสงสัยใครกันนะ

ถ้าบังเอิญมีคนเผลอใจไปนิด
มีอาการอยากจะเข้าไปใกล้ชิด
มีอะไรอยากจะรบกวนให้ช่วยคิด

ถ้าหากฉันมันฝันเกิน จะขอล่วงเกินเธอที่หัวใจ
ถ้าหากฉันใจเริ่มสั่น มันเริ่มไหวหวั่น
แอบรักเธอจะผิดไหม

ก็คนมันรั้นเลยห้ามไม่ฟัง ใจมันรักเลยห้ามไม่ฟัง
ตกหลุมรักเธอมากี่ครั้ง (คนมันรักมันก็ช่วยไม่ได้)
วานให้เธอมาช่วยที พูดไอ้คำๆ นั้นที
Please love me if you can

ก็คนมันรั้นเลยห้ามไม่ฟัง ใจมันรักเลยห้ามไม่ฟัง
ตกหลุมรักเธอมากี่ครั้ง (คนมันรักมันก็ช่วยไม่ได้)
วานให้เธอมาช่วยที พูดไอ้คำๆ นั้นที
Love me if you can

Rap

ถ้าบังเอิญมีคนเผลอใจไปนิด
มีอาการอยากจะเข้าไปใกล้ชิด
มีอะไรอยากจะรบกวนให้ช่วยคิด

ถ้าหากฉันมันฝันเกิน จะขอล่วงเกินเธอที่หัวใจ
ถ้าหากฉันใจเริ่มสั่น มันเริ่มไหวหวั่น
แอบรักเธอจะผิดไหม

ก็คนมันรั้นเลยห้ามไม่ฟัง ใจมันรักเลยห้ามไม่ฟัง
ตกหลุมรักเธอมากี่ครั้ง (คนมันรักมันก็ช่วยไม่ได้)
วานให้เธอมาช่วยที พูดไอ้คำๆ นั้นที
Please love me if you can

ก็คนมันรั้นเลยห้ามไม่ฟัง ใจมันรักเลยห้ามไม่ฟัง
ตกหลุมรักเธอมากี่ครั้ง (คนมันรักมันก็ช่วยไม่ได้)
วานให้เธอมาช่วยที พูดไอ้คำๆ นั้นที
Love me if you can

Rap

ก็คนมันรั้นเลยห้ามไม่ฟัง ใจมันรักเลยห้ามไม่ฟัง
ตกหลุมรักเธอมากี่ครั้ง (คนมันรักมันก็ช่วยไม่ได้)
วานให้เธอมาช่วยที พูดไอ้คำๆ นั้นที
Please love me if you can

ก็คนมันรั้นเลยห้ามไม่ฟัง ใจมันรักเลยห้ามไม่ฟัง
ตกหลุมรักเธอมากี่ครั้ง (คนมันรักมันก็ช่วยไม่ได้)
วานให้เธอมาช่วยที พูดไอ้คำๆ นั้นที
Love me if you can",jack_jarupong
All Night,/music/thailyric/16598,"ก็บังเอิญได้พบเธออีกคืน
มีรอยยิ้มที่ฉันไม่อาจลืม
อยากให้รู้แค่เธอคือหนึ่ง
ฉันฝืนให้ใจดวงหนึ่ง หยุดคิดถึงเธอไม่ไหว

I won't I won't just let you know
Kiss me longer before you go
I swear baby I'll make it slow
อยากให้รู้ Be there for you
Tell me baby if you want too
I wanna do best thing with you
ทนไม่ได้แล้ว

เพราะว่าใจ คนที่เดียวดาย
มันรู้ตัวเองว่าต้องการใคร
ถามตัวเองเท่าไร I know it's you you you you
ถ้าเธอเองพอมีเวลา ตัวฉันเองแค่อยากจะไป
ลูบไล้เธอด้วยสายตา อยู่กับเธอทั้งคืน

อยากอยู่ใกล้เธอ All Night การันตีว่า Alright
In the night I need you still chill with my side
คิดเหมือนกันใช่ไหม If you want me too
Can I give you all night because I love you

พอมีเวลาใช่ไหม ยิ้มให้ฉันได้ไหม ถ้าเธอรัก
หากเธอนั้นยังไหว คืนนี้ฉันอยากให้เธอหยุดพัก
อยู่ด้วยกันได้ไหม คืนนี้เธอนั้นอย่าเพิ่งไปไหน
ไอ้ฉันนั้นติดใจเธอตั้งแต่คืนนั้น เธอน่ะรู้ไหม

I won't I won't just let you know
Kiss me longer before you go
I swear baby I'll make it slow
อยากให้รู้ Be there for you
Tell me baby if you want too
I wanna do best thing with you
ทนไม่ได้แล้ว

เพราะว่าใจ คนที่เดียวดาย
มันรู้ตัวเองว่าต้องการใคร
ถามตัวเองเท่าไร I know it's you you you you
ถ้าเธอเองพอมีเวลา ตัวฉันเองแค่อยากจะไป
ลูบไล้เธอด้วยสายตา อยู่กับเธอทั้งคืน

เพราะว่าใจ คนที่เดียวดาย
มันรู้ตัวเองว่าต้องการใคร
ถามตัวเองเท่าไร I know it's you
ถ้าเธอเองพอมีเวลา ตัวฉันเองแค่อยากจะไป
ลูบไล้เธอด้วยสายตา อยู่กับเธอทั้งคืน",jack_jarupong
กิฟ มี ไฟต์ (Give Me Fight),/music/thailyric/8416,"ยังไงวันนี้ต้องขอจัดหนัก
เป็นไงเป็นกันต้องขอแตกหัก
วัดใจ ให้มันรู้ไปสักที ว่าตัวฉันก็มีดี

ยังไงวันนี้ต้องขอบุ่มบ่าม
เป็นไงเป็นกันก็ฉันอยากห่าม
โทษที ยิ่งเธอถอยฉันยิ่งตาม ยิ่งเธอห้ามฉันยิ่งไป

ก็ไม่ได้มีเคล็ดลับวิชา ในตำราอะไร
Cause it from my Heart ก็มันออกมาจากหัวใจ
Yeah ถ้าเธอไม่ว่าอะไรก็อยากจะสู้ให้มันได้รู้ไป

Give Me Fight (come on come on)
Fight (come on come on)
อยากเอา เอาชนะใจ อยากลองให้มันรู้ไป

Give Me Fight (come on come on)
Fight (come on come on)
อยากลองเชิงสักวัน เจ็บตัวยังไงก็ช่างมัน
แค่ได้ Fight

ทำอะไรก็ไม่เคยชอบปอด
มีแต่ใจที่ไม่เคยชอบถอด
Beby give me your heart right now
ถ้าไม่ Fight ฉันก็คงต้อง ฟาว

เจอกับใครก็ไม่เคยไหวหวั่น
เจอกับเธอทำไมใจต้องสั่น
ลองมาลองมาลอง เธอมาลองมาดูสิ
ใจไม่ใจไม่ใจ เธอมาลองมาดูสิ

ก็ไม่ได้มีเคล็ดลับวิชา ในตำราอะไร
Cause it from my Heart ก็มันออกมาจากหัวใจ
Yeah ถ้าเธอไม่ว่าอะไรก็อยากจะสู้ให้มันได้รู้ไป

Give Me Fight (come on come on)
Fight (come on come on)
อยากเอา เอาชนะใจ อยากลองให้มันรู้ไป

Give Me Fight (come on come on)
Fight (come on come on)
อยากลองเชิงสักวัน เจ็บตัวยังไงก็ช่างมัน
แค่ได้ Fight

In the bkk come and fight every day
จะแพ้หรือว่าชนะอย่างดีก็แค่นอนเปล
สู้ตายแต่เราไม่เคยเกเร
ถ้าใครว่าแน่ก็เข้ามาเข้ามาลองดูสิ

Ahh A Ahh มาตัวต่อตัวมาเจอกันตาต่อตา
Hu Ha Hu Ha Haa
Ahh A Ahh จะลองวัดใจเธอก็ลองเข้ามา
Hu Ha Hu Ha Haa

Give Me Fight (come on come on)
Fight (come on come on)
อยากเอา เอาชนะใจ อยากลองให้มันรู้ไป

Give Me Fight (come on come on)
Fight(come on come on)
อยากลองเชิงสักวัน เจ็บตัวยังไงก็ช่างมัน
แค่ได้ Fight",jack_jarupong
ขอบคุณ (Thank You),/music/thailyric/23414,"ความรักจากฉันไปแสนไกล แต่ใจฉันยังไม่ลืม
ยังจดจำรอยยิ้มเธอ ได้คิดถึงก็สุขเหลือเกิน
ยังคงโอบกอดเธอในใจทุกวัน

ขอบคุณความรัก ที่เธอให้ฉัน
สุขทุกข์ที่เรามีด้วยกัน ฉันจะเก็บอยู่ในหัวใจ
เพียงอยากรู้ เธอจะคิดถึงฉันบ้างไหม
คนอยู่ไกลแค่อยากจะรู้

ไม่ว่านานเเสนนานเท่าไร เมื่อไรที่เธอทุกข์ทน
แค่เพียงเธอนั้นหันมา จะมีฉันยืนอยู่ทั้งคน
คอยป้องแดดลมฝนให้เธอเรื่อยไป

ขอบคุณความรัก ที่เธอให้ฉัน
สุขทุกข์ที่เรามีด้วยกัน ฉันจะเก็บอยู่ในหัวใจ
เพียงอยากรู้ เธอจะคิดถึงฉันบ้างไหม
คนอยู่ไกลแค่อยากจะรู้

ทุกๆ นาทียังคงคิดถึง ตัวเธอเหมือนเดิม
เเละฉันคนเดิมยังรอคอยเธอที่เดิมตรงนี้

ขอบคุณความรัก ที่เคยร่วมฝัน
สุขทุกข์ที่เรามีด้วยกัน ฉันจะเก็บอยู่ในหัวใจ
เพียงอยากรู้ เธอจะคิดถึงฉันบ้างไหม
คนอยู่ไกลแค่อยากจะรู้",jack_jarupong
คนงมงาย,/music/thailyric/8976,"รู้เพียงเรื่องเดียวว่าเธอ
คือเหตุผลที่ฉันนั้นยังไม่หยุดหายใจ
แต่ว่าฉันกำลังต้องเจ็บเหมือนตาย
เมื่อรู้ว่าเธอมีใคร ข้างกัน

จบแล้ว ทั้งที่ควรห้ามใจ
แต่กาลเวลาไม่ทำให้ฉันแปรเปลี่ยน ไปไหน
และการได้รักเธอ เท่ากับได้หายใจ

ปล่อยให้ฉันงมงายรักเธออยู่อย่างนั้น
แม้ความจริงเธอเป็นได้แค่ฝัน
อยากหลับตาแล้วมีเธอในนั้น ทุกค่ำคืน
ของมงายรักเธอเมื่อใจฉัน ยังไม่อาจจะฝืน
อยากนอนฝันไปไม่ต้องตื่น
ฟื้นมาเจอความจริงว่าเธอไม่รักกัน

ถึงฉันเป็นคนเพ้อเจ้อ
ก็ยังเว้นที่ว่างให้เธอไม่เคยให้ใคร
ผ่านไปแสนล้านนาที ทุกลมหายใจ
จะใช้มันไปกับฝัน ที่มีเธอ

จบแล้ว ทั้งที่ควรห้ามใจ
แต่กาลเวลาไม่ทำให้ฉันแปรเปลี่ยน ไปไหน
และการได้รักเธอ เท่ากับได้หายใจ

ปล่อยให้ฉันงมงายรักเธออยู่อย่างนั้น
แม้ความจริงเธอเป็นได้แค่ฝัน
อยากหลับตาแล้วมีเธอในนั้น ทุกค่ำคืน
ของมงายรักเธอเมื่อใจฉัน ยังไม่อาจจะฝืน

อยากนอนฝันไปไม่ต้องตื่น
ฟื้นมาเจอความจริงว่าเธอไม่รักกัน
และสิ่งที่ฉันจะจำคือเธอคนเดียว เก็บไว้ในใจ

ปล่อยให้ฉันงมงายรักเธออยู่อย่างนั้น
แม้ความจริงเธอเป็นได้แค่ฝัน
อยากหลับตาแล้วมีเธอในนั้น ทุกค่ำคืน

ของมงายรักเธอเมื่อใจฉัน ยังไม่อาจจะฝืน
กับใครที่ทำให้ต้องเจ็บ ยังเก็บไปฝันทุกค่ำคืน
อยากนอนฝันไปไม่ต้องตื่น
ฟื้นมาเจอความจริงว่าเธอไม่รักกัน
อย่างน้อยก็ยังได้เฝ้ารอ ขอเป็นคนงมงายที่ได้รัก",jack_jarupong
