song_name,href,lyric,artist
มิสด์ คอลล์ (Missed Call),/music/thailyric/9459,"เสียงที่เธอตั้งเป็นเพลงรอสาย อาจจะฟังเพราะดี
แต่คงดีกว่าถ้าหากได้ยินเสียงเธอ
ถือเครื่องเอาไว้ใกล้ตัวอยู่ไหม อยากให้เธอเห็นใจ
อย่าปล่อยไว้นานให้มันกลายเป็น Missed Call

ในคืนที่เงียบเหงาอย่างนี้ เธอคนดีคิดถึงใคร
เธอจะเคยรู้บ้างไหมว่าฉัน เหงาและคิดถึงเธอ

ไม่ใช่คนที่เธอนั้นรอ แต่ขอให้รับสายที
ช่วยให้ฉันเป็นคนโชคดี ไม่เหงาสักวันได้ไหม
แค่รับสายได้ยินเสียง คุยกันเพียงซักนาที
โปรดเถอะนะได้โปรดรับสายฉันที
คืนนี้ฉันเหงาเหลือเกิน

ไม่ขอให้รักขอแค่ให้รับ โทรศัพท์ที่ดัง
ถ้าเธอได้ฟัง ให้รู้มีคนเหงาใจ

ในคืนที่เงียบเหงาอย่างนี้ ถามว่าเธอคิดถึงใคร
แต่หากจะถามว่าฉันนั้นคิดถึงใคร ตอบว่าคิดถึงเธอ

ไม่ใช่คนที่เธอนั้นรอ แต่ขอให้รับสายที
ช่วยให้ฉันเป็นคนโชคดี ไม่เหงาสักวันได้ไหม
แค่รับสายได้ยินเสียง คุยกันเพียงซักนาที
โปรดเถอะนะได้โปรดรับสายฉันที
คืนนี้ฉันเหงาเหลือเกิน

ในคืนที่เงียบเหงาอย่างนี้ ถามว่าคิดถึงใคร
แต่หากจะถามว่าฉันนั้นคิดถึงใคร ตอบว่าคิดถึงเธอ

ไม่ใช่คนที่เธอนั้นรอ แต่ขอให้รับสายที
ช่วยให้ฉันเป็นคนโชคดี ไม่เหงาสักวันได้ไหม
แค่รับสายได้ยินเสียง คุยกันเพียงซักนาที
โปรดเถอะนะได้โปรดรับสายฉันที
คืนนี้ฉันเหงาเหลือเกิน",jak_chawin
จบแล้วจริงๆ,/music/thailyric/740,"ไม่คิดซักครั้งว่ารักที่เราเคยทุ่มเทใจ จบกันไปทุกอย่าง
จุดหมายที่หวังวาดไว้มันกลายเป็นสิ่งเลือนลาง เมื่อเธอลากันไป

ปวดร้าวเคว้งคว้างสับสนและยังไม่เชื่อตัวเอง เมื่อไม่มีเธออยู่
อาจเหลือแค่นี้เท่านั้นที่ใจมันอยากรับรู้ จากตัวเธอคนเดียว

เธอหมดใจฉันพอเข้าใจ หัวใจเรามันแตกต่าง
มีสิ่งเดียวที่ใจต้องการ ก็เพียงแค่อยากจะถามเธอ

จบแล้วจริงๆใช่ไหม ช่วยพูดยืนยันได้ไหมเธอ
เพื่อทำให้ใจที่ร้าวมันกลายเป็นแตกสลาย
ตอกย้ำให้ฟังอีกที จบแล้วจริงๆใช่ไหม
ช่วยทำให้ฉันเลิกค้างคาใจและยอมรับเรื่องจริง

จากนี้ฉันรู้ว่าต้องเผชิญโลกแห่งความจริง ไม่ใช่เพียงฝันไป
และฉันต้องเริ่มเรียนรู้ว่าจะทนอยู่ยังไง อย่างเดียวดายลำพัง

เธอหมดใจฉันพอเข้าใจ หัวใจเรามันแตกต่าง
มีสิ่งเดียวที่ใจต้องการ ก็เพียงแค่อยากจะถามเธอ

จบแล้วจริงๆใช่ไหม ช่วยพูดยืนยันได้ไหมเธอ
เพื่อทำให้ใจที่ร้าวมันกลายเป็นแตกสลาย
ตอกย้ำให้ฟังอีกที จบแล้วจริงๆใช่ไหม
ช่วยทำให้ฉันเลิกค้างคาใจและยอมรับเรื่องจริง

ทรมานแค่ไหนต้องยอม จบแล้วจริงๆ",jak_chawin
ทิ้งไม่ลง,/music/thailyric/743,"ก็ฉันนั้นรักเธอ ก็ฉันต้องการเธอ และฉันก็มีเธอเป็นคู่ใจ
แต่ฉันก็รักมัน ให้ทิ้งจะได้ไง ก็นั่นน่ะเพื่อนใจฉันเหมือนกัน
ทิ้งไม่ลง ทิ้งไม่ลงจริงๆ

อย่าคิดให้วุ่นวาย อย่าคิดให้น้อยใจ ที่ฉันพามันไปในทุกวัน
ก่อนหน้าฉันพบเธอ เหงาๆก็มีมัน ไปไหนก็ไปกันได้ทุกที
ทิ้งไม่ลง ทิ้งไม่ลงจริงๆ

จะกอดเธอไว้ด้วยมือข้างซ้ายละกัน ส่วนมือขวาฉันถือมันเอาไว้ข้างกาย
ก็ชีวิตฉันมีเพียงแค่เธอ และเจ้ากีตาร์เพื่อนใจ ฉันขอเพียงเท่านี้เข้าใจฉันนะเธอ

ไม่ได้มีสองใจ แค่ไม่อยากทิ้งใคร ทั้งคู่ใจเพื่อนใจ ทิ้งไม่ลงขาดไม่ได้เลย

เธอนั้นก็แสนดี กีตาร์ก็สำคัญ และฉันก็ดูแลกันเรื่อยไป
เพลงรักที่ฉันมี จะเล่นด้วยหัวใจ จะร้องให้เธอฟังเพียงผู้เดียว
ทิ้งไม่ลง ทิ้งไม่ลงจริงๆ

จะกอดเธอไว้ด้วยมือข้างซ้ายละกัน ส่วนมือขวาฉันถือมันเอาไว้ข้างกาย
ก็ชีวิตฉันมีเพียงแค่เธอ และเจ้ากีตาร์เพื่อนใจ ฉันขอเพียงเท่านี้เข้าใจฉันนะเธอ",jak_chawin
หนี,/music/thailyric/747,"เมื่อไหร่ที่ไขกุญแจ ก็เปิดไปพบห้องเดิมๆ
ที่เตือนถึงวัน ที่ฉันและเธออยู่ใกล้กัน
เมื่อไหร่ที่ล้มลงนอน อ้อมกอดที่เคยคุ้นมานาน
ก็คอยเฝ้าเตือน ตอกย้ำทุกวัน ไม่หายไป

ทั้งๆ ที่ฉันทำทุกอย่าง เพื่อลบเธอจากใจ
ฉันทิ้งทุกๆ อย่างที่ฉันควรเก็บไว้
และแม้ฉันจะหลบ ไม่พบเธออีกต่อไป ก็ยังไม่วาย

หนีเธอไม่พ้น วกวนอยู่ที่ใจ
แม้นานสักเท่าไร มันก็ยังต้องเจอ
หนีใจไม่พ้น วกวนอยู่ที่เธอ
หัวใจที่รักเธอ มันติดตาม ทุกวัน
เปิดเพลงให้ก้องกังวาน ให้เปิดดังสุดเสียงเท่าไร
ก็ยังได้ยิน แต่เสียงของเธอ อยู่ในหัวใจ

ทั้งๆ ที่ฉันทำทุกอย่าง เพื่อลบเธอจากใจ
ฉันทิ้งทุกๆ อย่างที่ฉันควรเก็บไว้
และแม้ฉันจะหลบ ไม่พบเธออีกต่อไป ก็ยังไม่วาย

หนีเธอไม่พ้น วกวนอยู่ที่ใจ
แม้นานสักเท่าไร มันก็ยังต้องเจอ
หนีใจไม่พ้น วกวนอยู่ที่เธอ
หัวใจที่รักเธอ มันติดตาม ทุกวัน
เปิดเพลงให้ก้องกังวาน ให้เปิดดังสุดเสียงเท่าไร
ก็ยังได้ยิน แต่เสียงของเธอ อยู่ในหัวใจ",jak_chawin
อยู่อย่างทำใจ,/music/thailyric/748,"ทำทุกอย่าง ทุ่มเทไปทุกอย่างจนหมดแล้ว
ยอมทุกอย่างแต่มันคงไม่อาจจะเหนี่ยวรั้ง

เมื่อเธอนั้น ค้นพบหนทางที่ไม่มีฉัน
จากนี้คงถึงวันต้องเริ่มใหม่

ต้องอยู่อย่างทำใจ อยู่ตัวคนเดียวให้ได้
อยู่กับความเหงาที่มันกัดกิน
ต้องทำเป็นฝืนยิ้ม ที่จริงแทบยืนไม่ไหว

ต้องอยู่อย่างทำใจ อยู่ตัวคนเดียวให้ได้
อยู่กับความจริง ที่ไม่มีวัน
แต่ในชีวิตฉันต้องยอมรับมันเอาไว้
อีกเดี๋ยวก็คงชิน

รวมเรื่องราว ที่เคยมีร่วมกันมาเก็บไว้
จากวันที่เราพบกัน จวบจนเรารักกันจนสุดท้าย

เมื่อเธอนั้น ค้นพบหนทางที่ไม่มีฉัน
จากนี้คงถึงวันต้องเริ่มใหม่

ต้องอยู่อย่างทำใจ อยู่ตัวคนเดียวให้ได้
อยู่กับความเหงาที่มันกัดกิน
ต้องทำเป็นฝืนยิ้ม ที่จริงแทบยืนไม่ไหว

ต้องอยู่อย่างทำใจ อยู่ตัวคนเดียวให้ได้
อยู่กับความจริง ที่ไม่มีวัน
แต่ในชีวิตฉันต้องยอมรับมันเอาไว้
อีกเดี๋ยวก็คงชิน

ต้องอยู่อย่างทำใจ อยู่ตัวคนเดียวให้ได้
อยู่กับความจริง ที่ไม่มีวัน
แต่ในชีวิตฉันต้องยอมรับมันเอาไว้
อีกเดี๋ยวก็คงชิน",jak_chawin
จากไปลอนดอน,/music/thailyric/741,"ร้องโดย ตุ้ย ธีรภัทร์
ต้องจากเธอไกล เพื่อไปลอนดอน อย่าทำแสนงอน เมื่อตอนพี่ไป
เธอต้องทำใจ ไว้ให้หนักหน่วง อย่ามาคิดลวง หยุดดวงพี่เลย

ก่อนออกเดินทาง คิดพลางหดหู่ โอ้แม่โฉมตรู ยิ่งดูเศ้ราใจ
เธอบอกทำไม ถึงไปไกลนาน ก็เคยสาบาน กลับพาลเปลี่ยนใจ

เธอ จงเห็นใจ      พี่ไป เพื่อเรียนวิชา
หากกลับมา แล้วพี่จะหา แหวนมาหมั้นเธอ

ก่อนไปลอนดอน ขอวอนวาจา โปรดจงสัญญา ว่าจะเห็นใจ
พี่ฝากดวงฤทัย ไว้เป็นประกัน ดุจความสัมพันธ์ มอบไว้ให้เธอ

เธอ จงเห็นใจ      พี่ไป เพื่อเรียนวิชา
หากกลับมา แล้วพี่จะหา แหวนมาหมั้นเธอ

หากกลับมา แล้วพี่จะหา แหวนมาหมั้นเธอ..",jak_chawin
จูบ,/music/thailyric/742,"จูบบนมือเธอเบาๆ เงยขึ้นทำคอยเอียงอาย
จูบแบบผู้ชาย จูบแบบทักทายผู้หญิง
จูบลงไปตรงซอกคอ พอให้เธอมีอารมณ์
จูบแบบนิยม จูบแบบชิดชมเล้าโลม

มาหาคำตอบ จูบเป็นไฉน
ลิ้มรสทดลองกันไป ความรักคงใสซาบซ่าน

จูบตรงๆของดวงใจ เสียงหัวใจเต้นตูมตาม
จูบแบบชายงาม จูบแบบพระรามจูบสีดา
จูบลงไปตรงแก้มหอม กลิ่นพระยอมยังดอมดม
จูบแบบสายลม จูบแบบมัธยมตอนปลาย

มาหาคำตอบ จูบเป็นไฉน
ลิ้มรสทดลองกันไป ความรักคงใสซาบซ่าน

จูบตรงๆของดวงใจ เสียงหัวใจเต้นตูมตาม
จูบแบบชายงาม จูบแบบพระรามจูบสีดา
จูบลงไปตรงแก้มหอม กลิ่นพระยอมยังดอมดม
จูบแบบสายลม จูบแบบมัธยมตอนปลาย

มาหาคำตอบ จูบเป็นไฉน
ลิ้มรสทดลองกันไป ความรักคงใสซาบซ่าน

มาหาคำตอบ จูบเป็นไฉน
ลิ้มรสทดลองกันไป ความรักคงใสซาบซ่าน

จูบเป็นไฉน จูบเป็นไฉน จูบเป็นไฉน",jak_chawin
ยากยิ่งนัก,/music/thailyric/744,"ยากยิ่งนัก ที่จะบ่นเพ้อ อยากบอกเธอ ทุกคำจากใจ
ไกลสุดไกล ที่แห่งใดไร้ค่า      เปลี่ยวเหงาใจ ไม่มีเธอ

เอ่ยคำลา ว่าจะกลับมาเร็ววัน เพื่อพบกัน ใจมั่นสัญญา

ความจริงใจที่มี ดั่งราตรีมีเพียงแสงจันทร์ มีดังแสงตะวันมั่นขอบฟ้า
มอบร่างกาย จิตใจเป็นประกัน ด้วยชีวัน ของฉันเพื่อเธอ

วันสุดท้าย ที่เราได้พบ ไม่เคยลบ หรือเลือนจากลา
ตาสบตา บอกความหมายล้นค่า ทั้งน้ำตา ของเธอที่หลั่งริน

ตัวอักษร จำได้เสมอ ขอบใจเธอ ที่ยังห่วงใย
คำว่ารัก อักษรา ค่ายิ่งใหญ่ โปรดเห็นใจ ฉันเช่นกัน

เอ่ยคำลา ว่าจะกลับมาเร็ววัน เพื่อพบกัน ใจมั่นสัญญา

ความจริงใจที่มี ดั่งราตรีมีเพียงแสงจันทร์ มีดังแสงตะวันมั่นขอบฟ้า
มอบร่างกาย จิตใจเป็นประกัน ด้วยชีวัน ของฉันเพื่อเธอ

คิดถึงฉัน สักวันละนิด อย่างฉันคิด ถึงเธอเรื่อยมา
ไม่เคยลืม สิ่งสุดท้าย ให้สัญญา รีบกลับมา พบเธอ อย่างคำ",jak_chawin
สัญญาใจ,/music/thailyric/746,"ไปหาดใหญ่คราวนั้น ฉันยังจดจำ คำที่เคยสัญญา ให้ไว้สองเรา
ยามนี้เราไกลกัน        ใจฉันยังคอยเฝ้า       ว่าเมื่อไรสองเรา เคล้าเคลียคู่กัน

เฝ้าคร่ำครวญคิดถึง ทุกลมหายใจ นานอีกสักเท่าไร จะขอรอดู
ถึงแม้โลกมลาย     กายฉันยังคงอยู่            จิตรัญจวนหาคู่ เพียงเธอผู้เดียว

ถ้า เธอเป็น          ดั่งเช่นเมฆน้อย ลอยเลื่อนในท้อง นภา
ฉันจะเป็นฟ้า คุ่มครองผองภัยให้เธอ สุขเสมอ ทั้งวันและคืน

ใจอยากเอ่ยว่าฉันรักเธอ เท่าฟ้า เกรงวาจาที่ให้ ไม่ซึ้งใจเธอ
รักของฉันคงมั่น นานวันรักยิ่งล้นเอ่อ        มอบดวงใจให้เธอ ไม่เผลอรักใคร

ถ้า เธอเป็น          ดั่งเช่นเมฆน้อย ลอยเลื่อนในท้อง นภา
ฉันจะเป็นฟ้า คุ่มครองผองภัยให้เธอ สุขเสมอ ทั้งวันและคืน

ภาพความหลังยังฝัง ซึ้งใจไม่เลือน เมฆคอยเป็นเพื่อนใจ ในท้องนภา
เสียงรถไฟสายใต้      มันคล้ายคำบัญชา          อีกไม่นานแล้วหนา ฉันต้องกลับไป
อีกไม่นานแล้วหนา ฉันต้องกลับไป          อีกไม่นานแล้วหนา ฉันต้องกลับไป
อีกไม่นานแล้วหนา ฉันต้องกลับไป",jak_chawin
รักครั้งแรก,/music/thailyric/745,"แอบมองไปเจอฉับพลันนั้นเธอก็เหม่อมองสบสายตา
เธอต้องอุราให้ฉันคิดรักเมื่อแรกเราพบกัน
ใจตรงกับใจ สายตาที่บอก
คิดยืนยันแรกรักเมื่อวันก่อน

เกิดเป็นความรัก ความรักเมื่อแรกเจอ
จิตใจละเมอติดจำฝังตรึง
ความรักมันเรียกร้องทุกเวลาให้ฝันถึงวันก่อน
อยากบอกเธอรักครั้งแรก

จากวันเป็นเดือนจิตยังฝังเตือนให้แอบผวงถึงเธอ
ไม่กล้าเสนอว่ารักคราเปี่ยมล้นจนเต็มหัวใจ
วันคืนผ่านไปหัวใจจะบอกรักจำนัลแต่ฉันไม่กล้าเอ่ย
เกิดเป็นความรัก ความรักเมื่อแรกเจอ
จิตใจละเมอติดจำฝังตรึง
ความรักมันเรียกร้องทุกเวลาให้ฝันถึงวันก่อน
อยากบอกเธอรักครั้งแรก

หวั่นใจเพียงใดไม่กล้าเผยคำพร่ำเอ่ยสุนทรวจี
อัดอั้นเต็มที จึงรอถามนิดว่าเธอรักใครหรือยัง
คำเดียวที่คอย รักเช่นกันแต่รักเมื่อวันก่อน
เกิดเป็นความรัก ความรักเมื่อแรกเจอ
จิตใจละเมอติดจำฝังตรึง
ความรักมันเรียกร้องทุกเวลาให้ฝันถึงวันก่อน
อยากบอกเธอรักครั้งแรก",jak_chawin
