song_name,href,lyric,artist
ใจร้าย,/music/thailyric/955,"มันก็แค่นั้น  แค่เราไม่ได้รักกัน
แค่ความสัมพันธ์ที่เราก็ต่างไม่ตั้งใจ
เธอสั่งให้ฉัน   ลบมันจากหัวใจ
ห้ามคิดอะไร  ที่ไกลกว่านั้น

คนเมื่อคืนนี้ที่คุยถูกคอมากมาย
สบตาซึ้งใจ  กุมมือโอบไหล่ใกล้ชิดกัน
กลับให้ทำเฉย ไม่เคยรู้จักกัน
ฉันรับไม่ทัน  เธอน่ะใจร้าย

ความอบอุ่นยังลอยนวล
กลิ่นหอมยังอบอวนในใจ
มันสงสัย  ทำไมต้องให้ฉันลืม

ติดตรึงอย่างนั้น  ฉัน..คงลืมมัน..ไม่ไหว
ก็คนเราเคยมีอะไรในคืนนึงด้วยกัน
เธอไม่สน  ฉันสนก็แล้วกัน
เธอแคร์ไหม  ไม่สำคัญ

เธออาจแค่เหงา  และเราไม่ได้รักกัน
แต่ความสัมพันธ์ที่มีต่อกันฉันตั้งใจ
อยากให้คืนนี้ เหมือนคืนที่ผ่านไป
รักฉันได้ไหม  เธออย่าใจดำ

ความอบอุ่นยังลอยนวล
กลิ่นหอมยังอบอวนในใจ
มันสงสัย  ทำไมต้องให้ฉันลืม

ติดตรึงอย่างนั้น  ฉัน..คงลืมมัน..ไม่ไหว
ก็คนเราเคยมีอะไรในคืนนึงด้วยกัน
เธอไม่สน  ฉันสนก็แล้วกัน
เธอแคร์ไหม  ไม่สำคัญ

ติดตรึงอย่างนั้น  ฉัน..คงลืมมัน..ไม่ไหว
ก็คนเราเคยมีอะไรในคืนนึงด้วยกัน
เธอไม่สน  ฉันสนก็แล้วกัน
เธอแคร์ไหม  ไม่สำคัญ

แต่ฉันต้องการเธอ",james_ruangsak
เธอรู้ตัวดี,/music/thailyric/959,"ขาดคนที่คอยช่วยคิด ขาดคนที่คอยไว้ใจ
ขาดคนให้กำลังใจ ขาดใครที่ใจต้องการ
กับคืนที่ยังเศร้าท้อ ได้แต่ขอให้ใครเข้ามา
โดยไม่รู้คืนวันเวลา ที่จะพาให้เราพบกัน

อาจจะมีบางทีที่ใจเจ็บ
ที่ใจข้างในเจ็บ ก็คงเก็บเอาได้
เพราะที่ๆยังเว้นว่างในใจ ก็รอแต่เธอเรื่อยมา

รู้ตัวดีว่าเธอนั้นแสนห่าง
รู้ตัวดีว่าไม่อาจอยู่ใกล้
และเธอเองก็คงจะมีใครๆ ยังไงก็ยังเฝ้ารอ

รู้ว่าเธอไม่มีใจให้กัน
รู้ว่าไม่มีวันมีความหมาย
รู้ตัวดีว่าเธอไม่เคยมีใจ ยังไงก็ยังรักเธอ

เธอเองก็รู้ตัวดี
เธอเองก็รู้ตัวดี

อาจจะมีบางทีที่ใจเจ็บ
ที่ใจข้างในเจ็บ ก็คงเก็บเอาได้
เพราะที่ๆยังเว้นว่างในใจ ก็รอแต่เธอเรื่อยมา

รู้ตัวดีว่าเธอนั้นแสนห่าง
รู้ตัวดีว่าไม่อาจอยู่ใกล้
และเธอเองก็คงจะมีใครๆ ยังไงก็ยังเฝ้ารอ

หากจะมีวันใดที่ฉันได้ใกล้เธอ ฉันรู้ว่าได้แค่ฝัน
ก้อจะรอวันนั้นที่ฉันได้พร่ำบอก ให้เธอได้รู้

รู้ว่าเธอไม่มีใจให้กัน
รู้ว่าไม่มีวันมีความหมาย
รู้ตัวดีว่าเธอไม่เคยมีใจ ยังไงก็ยังรักเธอ

ถึงยังไงก็ยังรักเธอ",james_ruangsak
ในทุกๆ วันที่ฉันยังหายใจ,/music/thailyric/960,"อยากจะพบ อยากไปหา
อยากจะเห็น หน้าเธอทุกๆวัน
แม้ตอนนี้ เธอและฉัน
จะไม่เหมือน เมื่อวันที่รักกัน

ก็ตัวฉันนั้นยังคิดถึงเธอ
อยู่ในทุกวันที่ฉันยังหายใจอยู่

อยากขอถาม อีกสักครั้ง
อยากบอกรัก ให้เธอได้ฟัง
อยากจะหมุน นาฬิกา
ให้เวลา ของเราย้อนกลับหลัง

เพราะตัวฉันนั้นยังคิดถึงเธออยู่
ในทุกๆ วันที่ฉันยังหายใจอยู่

แล้วเธอคิดถึงฉันบ้างไหม
คิดถึงฉันบ้างหรือเปล่า
ส่วนฉันคิดถึงแทบทนไม่ไหว
แล้วเธอเคยคิดที่จะเปลี่ยนใจ
กลับมาบ้างมั้ย กลับมาให้ฉันกอดอีกครั้ง

เพราะตัวฉันนั้นยังคิดถึงเธออยู่
ในทุกๆ วันที่ฉันยังหายใจอยู่

แล้วเธอคิดถึงฉันบ้างไหม
คิดถึงฉันบ้างหรือเปล่า
ส่วนฉันคิดถึงแทบทนไม่ไหว
แล้วเธอเคยคิดที่จะเปลี่ยนใจ
กลับมาบ้างมั้ย กลับมาให้ฉันกอดอีกครั้ง

แล้วเธอคิดถึงชั้นบ้างไหม
คิดถึงฉันบ้างหรือเปล่า
ฉันคิดถึงแทบทนไม่ไหว
แล้วเธอคิดที่จะเปลี่ยนหัวใจ
กลับมาบ้างมั้ย
กลับมาให้ฉันกอด อีกครั้ง",james_ruangsak
อากาศดีดี,/music/thailyric/973,"อาจจะเป็นเพราะคืนนี้ อากาศมันดีมากกว่าทุกวัน
เลยทำให้ผมควบคุม ตัวเองไว้ไม่ทัน

อาจจะเป็นเพราะดาวบนฟ้า พากันออกมาลอยเกลื่อนมากมาย
เลยทำให้ผมนั้นพลั้งพูดคำของหัวใจ ว่าผมคิดอะไร

ที่เผลอพูดออกไป คือผมไม่ตั้งใจ อย่าโกรธได้ไหม ข้างในมันสั่ง
แค่เผลอพูดจากใจ ไม่รักไม่ว่ากัน แต่ถ้าคุณเผลอเหมือนกัน
ผมคงขึ้นสวรรค์ ไม่กล้าเฉลยให้คุณรู้ ขนาดตอนนี้ยังต้องกลุ้มใจ
ก็หลุดไปแล้วให้ทำไง กลัวคุณพูดว่าไม uh uh...ไม่น่าเลย

ที่เผลอพูดออกไป คือผมไม่ตั้งใจ อย่าโกรธได้ไหม ข้างในมันสั่ง
แค่เผลอพูดจากใจ ไม่รักไม่ว่ากัน แต่ถ้าคุณเผลอเหมือนกัน
ผมคงขึ้นสวรรค์ ไม่กล้าเฉลยให้คุณรู้ ขนาดตอนนี้ยังต้องกลุ้มใจ
ก็หลุดไปแล้วให้ทำไง กลัวคุณพูดว่าไม uh uh...ไม่น่าเลย

ถ้าได้ยินแล้ว ไม่รู้ว่าคุณ จะคิดเหมือนกันไหม
ที่เผลอพูดออกไป คือผมไม่ตั้งใจ อย่าโกรธได้ไหม ข้างในมันสั่ง
แค่เผลอพูดจากใจ ไม่รักไม่ว่ากัน แต่ถ้าคุณเผลอเหมือนกัน
ผมคงขึ้นสวรรค์ ไม่กล้าเฉลยให้คุณรู้ ขนาดตอนนี้ยังต้องกลุ้มใจ
ก็หลุดไปแล้วให้ทำไง กลัวคุณพูดว่าไม uh uh...ไม่น่าเลย

ที่เผลอพูดออกไป คือผมไม่ตั้งใจ อย่าโกรธได้ไหม ข้างในมันสั่ง
แค่เผลอพูดจากใจ ไม่รักไม่ว่ากัน แต่ถ้าคุณเผลอเหมือนกัน
ผมคงขึ้นสวรรค์ ไม่กล้าเฉลยให้คุณรู้ ขนาดตอนนี้ยังต้องกลุ้มใจ
ก็หลุดไปแล้วให้ทำไง กลัวคุณพูดว่าไม uh uh...ไม่น่าเลย

ที่เผลอพูดออกมา บอกฉันสิ ตั้งใจ อากาศอย่างนั้น หัวใจมันสั่น
อยากหาคนอุ่นใจ ก็ขอให้บอกกัน เอ่ยคำว่ารักสักคำ ฉันก็ขึ้นสวรรค์
(อยากเจอนางฟ้า) ฉันก็ขึ้นสวรรค์",james_ruangsak
คนมันรัก,/music/thailyric/948,"ฉันลองถามตัวเองในเหตุผลที่ยังรักเธอ ฉันยังหาไม่เจอว่าทำไม
มันเกิดจากอะไรฉันยังตอบไม่ได้ รู้แค่เพียงว่าฉันรักเธอ

ก็คนมันรักจะทำยังไงก็รัก จะเจ็บยังไงก็รัก ไม่รู้เหมือนกันว่าทำไม
แต่เธอไม่รักจะทำยังไงไม่รู้ ให้เธอมามองเหลียวดู ดูแลความรักฉันบ้าง

เธอจะหันมองใครจะปล่อยทิ้งให้ฉันเดียวดาย แค่เธอนั้นพอใจไม่เป็นไร
เธอไม่มีเหตุผลฉันก็ทนรับได้ เพียงอย่าจากไปไหนฉันยอม

ก็คนมันรักจะทำยังไงก็รัก จะเจ็บยังไงก็รัก ไม่รู้เหมือนกันว่าทำไม
แต่เธอไม่รักจะทำยังไงไม่รู้ ให้เธอมามองเหลียวดู ดูแลความรักฉันบ้าง

ยอมทำทุกอย่างที่โง่งมยอมทำทุกความผิด เพื่อให้ชีวิตวันนี้ยังมีเธอต่อไป

ก็คนมันรักจะทำยังไงก็รัก จะเจ็บยังไงก็รัก ไม่รู้เหมือนกันว่าทำไม
แต่เธอไม่รักจะทำยังไงไม่รู้ ให้เธอมามองเหลียวดู ดูแลความรักฉันบ้าง",james_ruangsak
ความลับยังมีในโลก,/music/thailyric/950,"มีความรักในใจมากมาย มันเป็นความรักที่มีแต่ฉันที่รู้
รักเงียบๆคนเดียว ที่ไม่เคยให้เธอมาดู เพราะฉันคิดว่ามันไม่มีค่าอะไร

นี่แหละความลับ นี่แหละที่ใครว่ามันไม่มี ฉันเท่านั้นรู้ดีมันอัดเต็มในใจ
นี่แหละความรัก ที่ฉันไม่เคยได้บอกเธอออกไป ความลับยังคงมีอยู่ในโลกนี้จริงๆ

จนเธอนั้นได้เจอกับเขา ก็ไม่เหลือเวลาให้บอกอะไร
นั่งเงียบๆคนเดียว เก็บความรักนั้นไว้ในใจ ถึงอีกนานเท่าไหร่เธอก็คงไม่รู้

นี่แหละความลับ นี่แหละที่ใครว่ามันไม่มี ฉันเท่านั้นรู้ดีมันอัดเต็มในใจ
นี่แหละความรัก ที่ฉันไม่เคยได้บอกเธอออกไป ความลับยังคงมีอยู่ในโลกนี้จริงๆ

นี่แหละความลับ นี่แหละที่ใครว่ามันไม่มี ฉันเท่านั้นรู้ดีมันอัดเต็มในใจ
นี่แหละความรัก ที่ฉันไม่เคยได้บอกเธอออกไป ความลับยังคงมีอยู่ในโลกนี้จริงๆ

เป็นความลับที่ต้องเก็บไว้ ในหัวใจจนตาย",james_ruangsak
ความหวังครั้งใหม่,/music/thailyric/951,"ใจที่เกือบตายไปแล้ว จากรักที่ผิดหวัง มันได้เกิดใหม่อีกครั้งเหมือนฝัน
ชีวิตใหม่ในวันนี้ เธอได้เติมต่อมัน ด้วยหัวใจที่ห่วงใยแท้จริง

ไม่เคยรู้มาก่อน ไม่เคยคิดจริงๆ ว่าความรักจะเปลี่ยนแปลงทุกสิ่งในชีวิต

เธอเป็นความหวังครั้งใหม่ ให้ชีวิตคนอย่างฉัน
เปลี่ยนความฝัน ให้ฉันได้พบความจริง
เป็นความรักครั้งสุดท้าย ให้หัวใจฉันแอบอิง
เป็นผู้หญิงคนดี ที่ทำให้ฉันเข้าใจความหมายของคำว่ารัก

คำที่บอกขอบคุณนั้น คงเทียบกันไม่พอ กับทุกอย่างที่เธอทำให้ฉัน
ชีวิตหนึ่งที่ยังเหลือ ขอให้มีสักวัน ให้หัวใจคนอย่างฉันได้ทดแทน

ไม่เคยรู้มาก่อน ไม่เคยคิดจริงๆ ว่าความรักจะเปลี่ยนแปลงทุกสิ่งในชีวิต

เธอเป็นความหวังครั้งใหม่ ให้ชีวิตคนอย่างฉัน
เปลี่ยนความฝัน ให้ฉันได้พบความจริง
เป็นความรักครั้งสุดท้าย ให้หัวใจฉันแอบอิง
เป็นผู้หญิงคนดี ที่ทำให้ฉันเข้าใจความหมายของคำว่ารัก

ในวันที่เหนื่อยและอ่อนแอ ท้อแท้ทุกอย่าง เกือบจะสุดทางจึงได้พบเธอ

เธอเป็นความหวังครั้งใหม่ ให้ชีวิตคนอย่างฉัน
เปลี่ยนความฝัน ให้ฉันได้พบความจริง
เป็นความรักครั้งสุดท้าย ให้หัวใจฉันแอบอิง
เป็นผู้หญิงคนดี ที่ทำให้ฉันเข้าใจความหมายของคำว่ารัก

เข้าใจในคำว่ารัก
และคงจะมีแต่เธอแต่เธอเท่านั้น
เราต่างเข้าใจในคำว่ารัก",james_ruangsak
จนกว่าเราจะพบกัน,/music/thailyric/953,"แม้วันนี้ไม่มีเธออยู่ ขอให้รู้เธออยู่ในใจฉัน
ถึงพรุ่งนี้เราไม่พบกัน อยากบอกว่าฉันยังห่วงใย
รู้ใช่ไหมว่าฉันรักเธอ เข้าใจเสมอว่าเธอคงต้องไป
ที่ตรงนี้เหนื่อยหามากเกินไป ไม่เป็นไรให้ใจเราใกล้กัน

จะฝากความรัก ไปกับอณูในอากาศ เป็นพลังให้เธอเมื่อยามที่อ่อนล้า
จะอยู่ที่ไหน อยากให้เธอได้รู้ว่า วันหนึ่งเราต้องเจอกันฉันสัญญา
จนกว่าเราจะพบกันอีกครั้ง ฉันจะยังมีเธอ อยู่ในใจเสมอ ทุกๆเสี้ยวเวลา
ที่ผ่านไปรอยยิ้มของเธอและเรื่องราวของเรา
จะจดจำและชัดเจนอยู่อย่างนี้ตลอดไป ฉันจะไม่ลืม

จะฝากความรัก ไปกับอณูในอากาศ เป็นพลังให้เธอเมื่อยามที่อ่อนล้า
จะอยู่ที่ไหน อยากให้เธอได้รู้ว่า วันหนึ่งเราต้องเจอกันฉันสัญญา
จนกว่าเราจะพบกันอีกครั้ง ฉันจะยังมีเธอ อยู่ในใจเสมอ ทุกๆเสี้ยวเวลา
ที่ผ่านไปรอยยิ้มของเธอและเรื่องราวของเรา
จะจดจำและชัดเจนอยู่อย่างนี้ตลอดไป ฉันจะไม่ลืม

รู้ใช่ไหมว่าฉันรักเธอ",james_ruangsak
ดีลิเวอรี่ (Delivery),/music/thailyric/956,"รถไฟรถเมล์ลิเกตู้เย็นไม่มีนะครับ ของดังไม่ดังของแพงไม่แพงไม่มีนะครับ
ทุเรียนทุรังทุรนทุรายไม่มีนะครับ ช้ำใจทุกข์ใจเสียใจเศร้าใจไม่มีนะครับ

กริ๊งเดียวเลย Delivery มาเลย เรียกมาได้เลยรวดเร็วถึงใจก็มีนะครับ

ต้องการเพื่อนคุยหาคนเข้าใจก็มีนะครับ ต้องการเสียงเพลงร่าเริงครื้นเครงก็มีนะครับ
หัวใจไม่ดีผมทำให้ดีก็ได้นะครับ ถ้าคุณเชื่อใจเทคแคร์ให้ฟรียินดีนะครับ

กริ๊งเดียวเลย Delivery มาเลย เรียกมาได้เลยรวดเร็วถึงใจก็มีนะครับ

ส่งให้ถึงบ้านเลยส่งให้ถึงบ้านคุณ ความสุขนี้ให้คุณไว้อุ่นใจ
ส่งให้ถึงบ้านเลย ไม่ว่าจะใกล้หรือไกล อยู่ที่ไหนก็ไปไปส่งคุณ

ต้องการเพื่อนคุยหาคนเข้าใจก็มีนะครับ ต้องการเสียงเพลงร่าเริงครื้นเครงก็มีนะครับ
หัวใจไม่ดีผมทำให้ดีก็ได้นะครับ ถ้าคุณเชื่อใจเทคแคร์ให้ฟรียินดีนะครับ

ส่งให้ถึงบ้านเลยส่งให้ถึงบ้านคุณ ความสุขนี้ให้คุณไว้อุ่นใจ
ส่งให้ถึงบ้านเลย ไม่ว่าจะใกล้หรือไกล อยู่ที่ไหนก็ไปไปส่งคุณ

ส่งให้ถึงบ้านเลยส่งให้ถึงบ้านคุณ ความสุขนี้ให้คุณไว้อุ่นใจ
ส่งให้ถึงบ้านเลย ไม่ว่าจะใกล้หรือไกล อยู่ที่ไหนก็ไปไปส่งคุณ

ส่งให้ถึงบ้านเลยส่งให้ถึงบ้านคุณ ความสุขนี้ให้คุณไว้อุ่นใจ
ส่งให้ถึงบ้านเลย ไม่ว่าจะใกล้หรือไกล อยู่ที่ไหนก็ไปไปส่งคุณ",james_ruangsak
ไร้ตัวตน (Invisible),/music/thailyric/967,"เธอ เจอฉันในวันที่เหงาใจ เข้ามาใกล้ เข้ามาชิด ให้ความสำคัญ
จนใจฉันรักเธอแล้ว จึงรู้ยังมีคนนั้น อยู่กับเธอ มานานเท่าไร

เจ็บ แต่ฉันก็ทนเพราะรักเธอ เธอให้รอ ฉันก็รอ อย่างมีความหวัง
เธอกับเขาจะจบกัน แต่แล้วฉันก็รู้ได้ ว่าได้แค่อยู่ ในมุมของตัวเอง

ต้องอยู่อย่างไร้ตัวตน ต้องคอยหลบคนของเธอ กลายเป็นคนผิดที่เธอต้องซ่อนไว้
ตลอดชีวิตคือเธอ ต้องคอยเพราะไม่มีใคร ไม่รู้เมื่อไร ที่เธอจะมาหา

เหนื่อยอย่างนี้ ได้นานสักเท่าไหร่ หรือจะท้อจนหมดใจก่อนเธอจะมา
บอกกับฉันให้แน่ใจ วันนี้หัวใจอ่อนล้า อย่าให้ฉันเป็นคนที่โง่หลงคอย

ต้องอยู่อย่างไร้ตัวตน ต้องคอยหลบคนของเธอ กลายเป็นคนผิดที่เธอต้องซ่อนไว้
ตลอดชีวิตคือเธอ ต้องคอยเพราะไม่มีใคร ไม่รู้เมื่อไร ที่เธอจะมาหา

เหนื่อยอย่างนี้ ได้นานสักเท่าไหร่ หรือจะท้อจนหมดใจก่อนเธอจะมา
บอกกับฉันให้แน่ใจ วันนี้หัวใจอ่อนล้า อย่าให้ฉันเป็นคนที่โง่หลงคอย

โปรดให้ฉันมีตัวตนได้ไหมเธอ",james_ruangsak
