song_name,href,lyric,artist
กฎคนมาหลัง,/music/thailyric/21930,"กฎคนมาหลังต้องหย่างก้าวไป
แม้ใจสิยังฮักอ้ายปานหน่วยตา
วางเรื่องราวสองเฮาลงบ่า
ถึงแม้ต้องเสียน้ำตา บ่ว่าฟ้าดินกลั่นแกล้ง

คนบ่ได้แต่งควรแงงเงาโต
เซาโผล่ เซาออกสื่อ ซื่อบื้อหิวแสง
เซาโพสต์เศร้าตะเว็นตกแลง
เซาไปชิงใจอ้ายแข่ง กับโตจริงที่นอนอยู่เฮือน

สิจำเรื่องราวสองเฮาดีๆ เอาไว้
ว่าเทื่อหนึ่งเคยกอดอ้าย จนฮอดมื้อตายบ่เคยลบเลือน
คิดฮอดสิฝากลมมากับฟ้ากับเดือน
เทื่อหนึ่งเฮาเคยเป็นเฮือน นอนเตียงเดียวกันถือเป็นฝันไป

กฎคนมาหลังต้องหย่างถอยออก
ช้ำชอกน้ำตาย้อยป๊อก สิบ่โทษไผ
แม้สิลืมบ่ได้ง่ายๆ สิพยายามเฮ็ดใจ
น้องมาช้าไป บ่ควรต้องอยู่

สิจำเรื่องราวสองเฮาดีๆ เอาไว้
ว่าเทื่อหนึ่งเคยกอดอ้าย จนฮอดมื้อตายบ่เคยลบเลือน
คิดฮอดสิฝากลมมากับฟ้ากับเดือน
เทื่อหนึ่งเฮาเคยเป็นเฮือน นอนเตียงเดียวกันถือเป็นฝันไป

กฎคนมาหลังต้องหย่างถอยออก
ช้ำชอกน้ำตาย้อยป๊อก สิบ่โทษไผ
แม้สิลืมบ่ได้ง่ายๆ สิพยายามเฮ็ดใจ
น้องมาช้าไป บ่ควรต้องอยู่

แม้สิลืมบ่ได้ง่ายๆ สิพยายามเฮ็ดใจ
น้องมาช้าไป บ่ควรต้องอยู่",jintara_poonlarb
กะเทยห่าว,/music/thailyric/15684,"ตุ๊ด ตุ๊ดซี่อีสาน ตุ๊ดซี่อีสาน
ตุ๊ดซี่อีสาน ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด
ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ด ตุ๊ด ตุ๊ด ซี่

สวยนัวแซบเว่อร์เลิศเลอในปฐพี
เซ็กซี่ไฉไล แลนไม้เฮฮาออกลีลายวนยี
คาบาเร่ต์ ไทบ้าน หน้าฮ้านงานบุญต้องมี
ใจงามเรือนสามน้ำสี่
มามะคุณพี่ มาควง ตุ๊ดซี่อีสาน

ตุ๊ด ตุ๊ดซี่อีสาน ตุ๊ดซี่อีสาน
ตุ๊ดซี่อีสาน ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด
ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ด ตุ๊ด ตุ๊ด ซี่

ปล่อยความหมองมัว พาตัวเบิกบาน
บ่ ย้านผู้ได๋ เรื่องความวิลัยไผ๋เห็นกล่าวขาน
ถึงงานต่ำต้อย ซุมข่อยบ่เชยกะเทยอีสาน
รวมพลขนกันขึ้นฮ้าน
ประกวดความหวานให้สะท้านโลกีย์

วอน วอนใจผู้ชาย
อย่าคิดทำร้าย หมายเพียงย่ำยี
ความรักสีม่วงให้โชติช่วงสุขขี
มาเชียร์ตุ๊ดซี่ให้ได้เทพีเด้ออ้าย

สาย สาย สาย สะพาย
อยากได้อยากคล้องหมายปองมากหมาย
เกิดมาชาตินี้ถึงสรีระเป็นชาย
เกิดมาชาตินี้มีแต่ร้อง ว๊ายตาย
ก้อนเนื้อข้างซ้าย อยากได้ตำแหน่งเทพี

ตุ๊ด ตุ๊ดซี่อีสาน ตุ๊ดซี่อีสาน
ตุ๊ดซี่อีสาน ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด
ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ด ตุ๊ด ตุ๊ด ซี่

สวยนัวแซบเว่อร์เลิศเลอเรือนกาย
สายเบี่ยงสวยดี ชะนีถอยไปอย่าได้เทียบลาย
กะสวยกะหยัง คนซังคนฮักกะหลาย
มื้อนี้ขอน้ำใจอ้าย เชียร์นางให้ได้
สายสะพาย เด้อพี่

วอน วอนใจผู้ชาย
อย่าคิดทำร้าย หมายเพียงย่ำยี
ความรักสีม่วงให้โชติช่วงสุขขี
มาเชียร์ตุ๊ดซี่ให้ได้เทพีเด้ออ้าย

สาย สาย สาย สะพาย
อยากได้อยากคล้องหมายปองมากหมาย
เกิดมาชาตินี้ถึงสรีระเป็นชาย
เกิดมาชาตินี้มีแต่ร้อง ว๊ายตาย
ก้อนเนื้อข้างซ้าย อยากได้ตำแหน่งเทพี

ตุ๊ด ตุ๊ดซี่อีสาน ตุ๊ดซี่อีสาน
ตุ๊ดซี่อีสาน ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด ตุ๊ด
ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ดซี่ ตุ๊ด ตุ๊ด ตุ๊ด ซี่

สวยนัวแซบเว่อร์เลิศเลอเรือนกาย
สายเบี่ยงสวยดี ชะนีถอยไปอย่าได้เทียบลาย
กะสวยกะหยัง คนซังคนฮักกะหลาย
มื้อนี้ขอน้ำใจอ้าย เชียร์นางให้ได้
สายสะพาย เด้อพี่",jintara_poonlarb
ขอโทษสวรรค์,/music/thailyric/21579,"อ้ายขี่มอไซค์ มารับน้องไปดูหนัง
ไปได้ครึ่งทางก็มีรถวิ่งมาชน
สองเราโดนหามส่งโรงบาลทั้งสองคน
น้องเจ็บกายเกินจะทน แต่ยังอุ่นใจอ้ายคอยสบตา

นอนโทษสวรรค์ คอยแกล้งสัมพันธ์เฮาสอง
อ้ายเทียวจีบน้องก็โดนคนจ้องนินทา
ว่าอ้ายเจ้าชู้ ว่าน้องหลงอ้ายบ่ลืมตา
บ่สนคำคนอิจฉา สวรรค์เลยพารถตามมาชน

บ่นให้สวรรค์ ไม่ทันจะข้ามคืน
เตียงอ้ายมีสาวมายืน ถามอาการด้วยความกังวล
แล้วก้มกอดอ้าย บ่อายสายตาผู้คน
น้องเลยฮ้องไห่ ภาพบาดใจเกินจะทน
จนพยาบาลกังวล คิดว่าน้องทนเจ็บแผลบ่ไหว

น้ำตายังไหล ตอนขอหมอออกโรงบาล
เจ็บเหลือจะทาน เมื่อมีแผลสดกลางใจ
ขอโทษสวรรค์ที่ลูกนั้นได้เห็นผิดไป
หากรถบ่ชนมอไซค์ ลูกอาจเสียใจกว่านี้หลายเท่า

บ่นให้สวรรค์ ไม่ทันจะข้ามคืน
เตียงอ้ายมีสาวมายืน ถามอาการด้วยความกังวล
แล้วก้มกอดอ้าย บ่อายสายตาผู้คน
น้องเลยฮ้องไห่ ภาพบาดใจเกินจะทน
จนพยาบาลกังวล คิดว่าน้องทนเจ็บแผลบ่ไหว

น้ำตายังไหล ตอนขอหมอออกโรงบาล
เจ็บเหลือจะทาน เมื่อมีแผลสดกลางใจ
ขอโทษสวรรค์ที่ลูกนั้นได้เห็นผิดไป
หากรถบ่ชนมอไซค์ ลูกอาจเสียใจกว่านี้หลายเท่า

ขอบคุณสวรรค์ที่บันดาลให้ลูกเข้าใจ
หากรถบ่ชนมอไซค์ ลูกอาจเสียใจไปชั่วชีวี",jintara_poonlarb
คำสาบานเขยแม่มูล,/music/thailyric/20314,"โอ้แม่มูลเอ๋ย คนบอกเป็นเขยลืมแม่แน่แล้ว
จากไปไม่มีวี่แวว เรือกลับมาแล้วใยพี่ไม่มา
ลืมโขงสีปูน เหลืองดอกคูนริมมูลเมษา
ลืมรับเรือเคยเทียบท่า ส้มตำปลาร้าแจ่วผักกระโดน

แก้มนวลผ่องใส เคยเคียงผู้บ่าวคืนดาวไกลโพ้น
มัดจำให้หอมแก้มนวล อวดใจเลือดสาวย้อมแก้มเปลี่ยนสี
หนุ่มเรือดูดทราย ไปจอดท่าไหนนานแล้วเป็นปี
หรือสัมปทานตรงนี้ ยกเลิกทีมพี่ย้ายหนีลืมคำ

ทรายแก้วดูดไป เหมือนดั่งดูดใจสาวลูกแม่มูล
น้ำตาหล่นร่วงเหมือนดั่งดอกคูน
ไหลลงผสมขุ่นปูนสีแม่
เขาเอาหัวใจลูกสาวแม่ไป แม่จ๋าลูกแย่
คนที่สาบานบอกเป็นเขยแม่
แม่จ๋าได้โปรดยกโทษ ให้เขา

ถอนคำสาบาน ที่เคยมัดจำให้หอมแก้มนวล
ลูกแม่คงไม่คู่ควร เขาจึงไม่หวนชวนใจให้มา
มาถอนคำแก้ อย่าลงโทษทัณฑ์เขาเลยแม่จ๋า
ลูกช้ำเสียยังดีกว่า ให้ใครต่อว่าแม่มูลใจดำ

ทรายแก้วดูดไป เหมือนดั่งดูดใจสาวลูกแม่มูล
น้ำตาหล่นร่วงเหมือนดั่งดอกคูน
ไหลลงผสมขุ่นปูนสีแม่
เขาเอาหัวใจลูกสาวแม่ไป แม่จ๋าลูกแย่
คนที่สาบานบอกเป็นเขยแม่
แม่จ๋าได้โปรดยกโทษ ให้เขา

ถอนคำสาบาน ที่เคยมัดจำให้หอมแก้มนวล
ลูกแม่คงไม่คู่ควร เขาจึงไม่หวนชวนใจให้มา
มาถอนคำแก้ อย่าลงโทษทัณฑ์เขาเลยแม่จ๋า
ลูกช้ำเสียยังดีกว่า ให้ใครต่อว่าแม่มูลใจดำ",jintara_poonlarb
คิดฮอดสิบาปบ่,/music/thailyric/22631,"หลวมโตเซือใจ ย้อนคำว่าฮักของอ้าย
ตั้งต่อไว้หลาย ว่าอ้ายสิฮักจริง
บ่ได้คิดเผื่อใจ ว่าจะโดนทิ้ง
สุดท้ายเขามีโตจริงข้างกาย

บ่มีเจตนาสิไปแย่งไผ
แต่หัวใจถืกตั๋วให้ฮัก
ขั่นสิให้เลิกตอนนี้คงยาก

ยังฮักได้บ่ คุยได้บ่ คึดฮอดได้บ่
บ่แม่นคำขอแต่เป็นคำถามจากคนผู้มาที่หลัง
ไร้สถานะมีสิทธิ์หยัง คนที่มาหลังมีหยังให้บ้าง
นอกจากความฮักจางๆ ขอสิทธิ์คึดฮอดสิบาปบ่

ไปต่อกะเจ็บ เลิกตอนนี้แฮงเจ็บกว่าเก่า
เขาตั๋วบอกว่ามีแค่เฮา จักสิเฮ็ดจั่งได๋

บ่มีเจตนาสิไปแย่งไผ
แต่หัวใจถืกตั๋วให้ฮัก
ขั่นสิให้เลิกตอนนี้คงยาก

ยังฮักได้บ่ คุยได้บ่ คึดฮอดได้บ่
บ่แม่นคำขอแต่เป็นคำถามจากคนผู้มาที่หลัง
ไร้สถานะมีสิทธิ์หยัง คนที่มาหลังมีหยังให้บ้าง
นอกจากความฮักจางๆ ขอสิทธิ์คึดฮอดสิบาปบ่

ยังฮักได้บ่ คุยได้บ่ คึดฮอดได้บ่
บ่แม่นคำขอแต่เป็นคำถามจากคนผู้มาที่หลัง
ไร้สถานะมีสิทธิ์หยัง คนที่มาหลังมีหยังให้บ้าง
นอกจากความฮักจางๆ ขอสิทธิ์คึดฮอดสิบาปบ่

นอกจากความฮักจางๆ ขอสิทธิ์คึดฮอดสิบาปบ่",jintara_poonlarb
คืนนี้พี่นอนกับใคร,/music/thailyric/13317,"คืนก่อนน้องนอนกับพี่
แต่คืนนี้พี่นอนกับใคร
ความเหงาเข้ามากุมใจ
แสตนบายเปิดไลน์เฝ้ารอ

คำขอลืมแล้วสินอสัญญาคืนนั่น
เกี่ยวก้อยร้อยใจแน่นหนัก
จะมาเติมรักอาทิตย์ละวัน
นี่มันหนึ่งเดือนเลื่อนผ่าน
ลอยแพใจฉันไว้กลางอ่างเหงา

เฝ้าหวัง
คล้ายดังกับแมวแหง่วรอปลาย่าง
มองทางแม้หวังริบหรี่
ทนอยู่อย่างนี้รอสามีเขา
บ้านน้อยเลื่อนลอยอย่างเรา
ตัวช่วยแก้เหงาวันเขาเมามา

ปรับทุกข์กับตุ๊กตา
ที่เขาซื้อมาไว้นอนเป็นเพื่อน
นี่ครบขวบเดือน
ไม่ไลน์ไม่โทรไม่แทงโก้หา
หรือว่าบ้านใหญ่
คาดโทษไว้ห้ามไม่ให้มา
คิดไปต่างๆ นาๆ
ค่ารถค่าเช่าเขาส่งบิลทวง

เมียหลวง
เขาตามมาทวงของคืนจนเกลี้ยง
เหลือเพียงความช้ำคำด่า
ข่มขู่จะฆ่าหน้าบึ้งหึงหวง
มึนชาน้ำตาไหลร่วง
เมื่อถูกเมียหลวงเขาทวงสิทธิคืน

ปรับทุกข์กับตุ๊กตา
ที่เขาซื้อมาไว้นอนเป็นเพื่อน
นี่ครบขวบเดือน
ไม่ไลน์ไม่โทรไม่แทงโก้หา
หรือว่าบ้านใหญ่
คาดโทษไว้ห้ามไม่ให้มา
คิดไปต่างๆ นาๆ
ค่ารถค่าเช่าเขาส่งบิลทวง

เมียหลวง
เขาตามมาทวงของคืนจนเกลี้ยง
เหลือเพียงความช้ำคำด่า
ข่มขู่จะฆ่าหน้าบึ้งหึงหวง
มึนชาน้ำตาไหลร่วง
เมื่อถูกเมียหลวงเขาทวงสิทธิคืน",jintara_poonlarb
คุยเล่นๆ,/music/thailyric/17480,"ห้ามใจบ่ได้จักเที่อ คิดไกลเกินความเป็นจริง
ทั้งที่ฮู้ว่าทุกสิ่ง ยังบ่ไปฮอดไส
ทักหาคุยกันสุมื้อ คุยแล้วจั่งได๋
สิ่งที่เป็นกับสิ่งที่คิด ยืนอยู่คนละฝั่ง

หวังว่าสิดีกว่านี้ แต่ก็ยังบ่มีหยังเลย
หวังว่าสิเป็นคนคุ้นเคย หวังว่าเขาสิคิดคือเฮา
ย้อนคำว่าคิดฮอดอยู่เด้ กะเลยเทหัวใจให้เขา
ทักมาตอบไปทุกแลงเช้า บางมื้อแชทจนดึกดื่น

คือจั่งสิสำคัญ คือจั่งสิได้ใจ
แล้วไผสิฮู้ ว่าสุดท้าย เขาคุยกับเฮาเล่นๆ

กะเป็นเเค่แชทคุยคั่นเวลา
ยามบ่มีไผ มาเว้าจานำ
กะเขาบ่ได้จริงใจยังซ้ำ
แต่เป็นเฮาเองที่สำคัญเจ้าของ

บ่แปลกดอกหนายามพ้อหน้ากัน
พยายามสบตา เขายังบ่มอง
ใช้แต่ใจ บ่ใช้สมอง
คิดเอาว่าหยังเป็นหยัง
เขาจั่งคุยกับเฮาเล่นๆ

หวังว่าสิดีกว่านี้ แต่ก็ยังบ่มีหยังเลย
หวังว่าสิเป็นคนคุ้นเคย หวังว่าเขาสิคิดคือเฮา
ย้อนคำว่าคิดฮอดอยู่เด้ กะเลยเทหัวใจให้เขา
ทักมาตอบไปทุกแลงเช้า บางมื้อแชทจนดึกดื่น

คือจั่งสิสำคัญ คือจั่งสิได้ใจ
แล้วไผสิฮู้ ว่าสุดท้าย เขาคุยกับเฮาเล่นๆ

เฮาเป็นเเค่แชทคุยคั่นเวลา
ยามบ่มีไผ มาเว้าจานำ
กะเขาบ่ได้จริงใจยังซ้ำ
แต่เป็นเฮาเองที่สำคัญเจ้าของ

บ่แปลกดอกหนายามพ้อหน้ากัน
พยายามสบตา เขายังบ่มอง
มีแต่ใจบ่มีสมอง
คิดเอาว่าหยังเป็นหยัง
เขาจั่งคุยกับเฮาเล่นๆ",jintara_poonlarb
แค่ออกมาถอน,/music/thailyric/20152,"บ่มีดอกค่ะ บ่มีอีหยังดอกค่ะ
บ่มีปัญหาค้างคาอุกอั่งจักเทือ
กะจั่กสิตั๋ว สิตั๋ว สิตั๋วไปเพื่อ
ขี้คร้านสิเคลียร์ เซื่อบ่เซื่ออีหล่าบ่ว่า

อย่าคิดหยังหลาย อย่าคิด อย่าคิดหยังหลาย
บ่ได้เสียหาย เลวร้ายปานนั้นดอกน๊า
อย่าฟ่าวนินทา บ่ดี บ่ดีแมะละ
ตัดสินอีหล่าด้วยสายตาเห็นว่านั้นแหม

แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน

ย้อนฮ้อน ย้อนฮน ย้อนรน
ย้อนทนบ่ไหว ใจอ้อน
เลยมาผ่อนคลายระเบิดระบาย
ให้หายก่อน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน

ถอนหงอย ถอนเหงา
ถอนเศร้า ถอนความวังเวง
เซ็ง เซ็ง เซ็ง เซ็ง เซ็ง
เซ็ง เซ็ง เซ็ง เซ็ง เซ็ง
เซ็ง เซ็ง เซ็ง เซ็ง เซ็ง

ฟ้อนใส่เสียงเพลงมันๆ ฟ้อนใส่เสียงเพลงมันๆ
โยกความโศกศัลย์ให้มันปลิวว่อน
เด้งเด้าเอ้าฮ่อน ฮ่อน ฮ่อน
เด้งเด้าเอ้าฮ่อน ฮ่อน ฮ่อน
เอ้าถอดเอ้าถอนให้หลุดลอยไป
เอ้าถอดเอ้าถอนให้หลุดลอยไป

บ่มีดอกจ้า บ่มีอีหยังดอกจ้ะ
บ่มีปัญหา นั้นหนาจักเรื่องคาใจ
บ่ได้จอยหลอย จอบลัก อักลี้ผู้ใด๋
รู้ไว้แหน่แหมหนูก็แค่ แค่ออกมาถอน

แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน

ย้อนฮ้อน ย้อนฮน ย้อนรน
ย้อนทนบ่ไหว ใจอ้อน
เลยมาผ่อนคลายระเบิดระบาย
ให้หายก่อน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน

ถอนหงอย ถอนเหงา
ถอนเศร้า ถอนความวังเวง
เซ็ง เซ็ง เซ็ง เซ็ง เซ็ง
เซ็ง เซ็ง เซ็ง เซ็ง เซ็ง
เซ็ง เซ็ง เซ็ง เซ็ง เซ็ง

ฟ้อนใส่เสียงเพลงมันๆ ฟ้อนใส่เสียงเพลงมันๆ
โยกความโศกศัลย์ให้มันปลิวว่อน
เด้งเด้าเอ้าฮ่อน ฮ่อน ฮ่อน
เด้งเด้าเอ้าฮ่อน ฮ่อน ฮ่อน
เอ้าถอดเอ้าถอนให้หลุดลอยไป
เอ้าถอดเอ้าถอนให้หลุดลอยไป

บ่มีดอกค่า บ่มีอีหยังดอกค่ะ
บ่มีปัญหา นั้นหนาจักเรื่องคาใจ
บ่ได้จอยหลอย จอบลัก อักลี้ผู้ใด๋
รู้ไว้แหน่แหมหนูก็แค่ แค่ออกมาถอน

แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน

แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน
แค่ออกมาถอน แค่ๆ แค่ออกมาถอน",jintara_poonlarb
โควิดมาน้ำตาไหล,/music/thailyric/17684,"พุทธังมัดจิต ธัมมังมัดใจ
ศัตรูทั้งหลายวินาศสันติ พุทธังมัดจิต
ธัมมังมัดใจ โรคภัยทั้งหลาย วินาศสันติ

คาถาหลวงปู่ ฤษีลิงดำๆ
คาถาหลวงปู่ ฤษีลิงดำๆ
ไล่โควิดท่องจำจะแคล้วคลาดปลอดภัย

เศร้าใจนอนคิด โรคโควิดมันระบาดทั่วไทย
ขอเป็นกำลังใจให้ทุกคน จงเข้มแข็ง
สวมหน้ากากทุกคนสวมกันทุกแห่ง
โรคภัยไม่แทรกแซง หมั่นล้างมือบ่อยๆ กัน

ห่วงแต่คนที่ติดโรคโควิด
ต้องพลัดพรากห่างกัน
โดนกักตัวตั้งหลายวัน
โควิดมาน้ำตาไหล

รักษาตัวหลายครอบครัวนั่งซึมร้องไห้
ขอเป็นกำลังใจ ให้ทุกคน จงหายดี

โควิด 19 เป็นร้อนหนาวกลัวกันอีหลี
รัฐบาลไม่หวั่น รีบป้องกัน ประชาชนเต็มที่
สั่งยาฆ่าไวรัสเต็มพิกัดจากจีนทันที
แพทย์หมอรักษาดี ทุ่มเทให้หายทุกคน

กลุ้มใจนอนคิด โรคโควิดจนน้ำตามันไหล
วิงวอนให้หายไว ให้หายดีเป็นห่วงจัง

ดูทีวีทุกวันมีติดกันหลายคน
ทรมานต้องอดทน ให้ทุกคนจงปลอดภัย
วิงวอนอย่าตกใจให้หายไวกันทุกคน
วิงวอนอย่าตกใจให้หายไวกันทุกคน

โควิด 19 เป็นร้อนหนาวกลัวกันอีหลี
รัฐบาลไม่หวั่น รีบป้องกัน ประชาชนเต็มที่
สั่งยาฆ่าไวรัสเต็มพิกัดจากจีนทันที
แพทย์หมอรักษาดี ทุ่มเทให้หายทุกคน

กลุ้มใจนอนคิด โรคโควิดจนน้ำตามันไหล
วิงวอนให้หายไว ให้หายดีเป็นห่วงจัง

ดูทีวีทุกวันมีติดกันหลายคน
ทรมานต้องอดทน ให้ทุกคนจงปลอดภัย
วิงวอนอย่าตกใจให้หายไวกันทุกคน
วิงวอนอย่าตกใจให้หายไวกันทุกคน",jintara_poonlarb
เจ็บบ่มีเสียง,/music/thailyric/23427,"กว่าสิฮักคนหนึ่ง ได้เกินครึ่งหัวใจ
ใช้เวลาท่อได๋ ฮู้บ่
จนได้ฝากชีวิต คิดมั่นใจคักแหน่
บ่เคยแคร์ แม่นไผเว่าหยัง

พอสิฮอดฝั่งฝัน เลยมาเกินครึ่งทาง
ก็มีคนอาการ เรรวน
เสียงหายใจกะว่าบ่ม่วน ฮือ

เหมือนพลัดตกสวรรค์ เริ่มผุพังทุกวัน
คำว่าฮัก ที่เหลือข้างเดียว
ตกเป็นตัวสำรอง เพราะมีคนสำคัญ
อยู่ในใจ แทนที่กันแล้ว

ตั้งใจออกจากแถว
ทางความฮักของเฮา
เพื่อให้เขา เข้ามาดูแล
คำว่าแคร์ เลยหา บ่พ้อ

ความเจ็บมันบ่มีเสียง กะเลยเห็นเพียงน้ำตา
เพื่อแสดงให้อ้ายฮู้ว่า ให้หลูโตนใจกันจักหน่อย
ให้สมที่ตั้งใจมาฮัก พ่อแม่กะหวังนำบ่ค่อย
โอ๊ย ใจ คือเฮ็ดกันได้น้ออ้าย

กว่าสิฮักคนหนึ่ง ได้เกินครึ่งหัวใจ
ใช้เวลาท่อได๋ ฮู้บ่
จนได้ฝากชีวิต คิดมั่นใจคักแหน่
บ่เคยแคร์ แม่นไผเว่าหยัง

พอสิฮอดฝั่งฝัน เลยมาเกินครึ่งทาง
ก็มีคนอาการ เรรวน
เสียงหายใจกะว่าบ่ม่วน ฮือ

เหมือนพลัดตกสวรรค์ เริ่มผุพังทุกวัน
คำว่าฮัก ที่เหลือข้างเดียว
ตกเป็นตัวสำรอง เพราะมีคนสำคัญ
อยู่ในใจ แทนที่กันแล้ว

ตั้งใจออกจากแถว
ทางความฮักของเฮา
เพื่อให้เขา เข้ามาดูแล
คำว่าแคร์ เลยหา บ่พ้อ

ความเจ็บมันบ่มีเสียง กะเลยเห็นเพียงน้ำตา
เพื่อแสดงให้อ้ายฮู้ว่า ให้หลูโตนใจกันจักหน่อย
ให้สมที่ตั้งใจมาฮัก พ่อแม่กะหวังนำบ่ค่อย
โอ๊ย ใจ คือเฮ็ดกันได้น้ออ้าย

ความเจ็บมันบ่มีเสียง กะเลยเห็นเพียงน้ำตา
เพื่อแสดงให้อ้ายฮู้ว่า ให้หลูโตนใจกันจักหน่อย
ให้สมที่ตั้งใจมาฮัก พ่อแม่กะหวังนำบ่ค่อย
โอ๊ย ใจ คือเฮ็ดกันได้น้ออ้าย

โอ๊ย ใจ คือเฮ็ดกันได้น้ออ้าย",jintara_poonlarb
