song_name,href,lyric,artist
กะหล่ำปลี (Chou Chou),/music/thailyric/1017,"ท่องไปในยามราตรี สะดวกสบายสิ้นดี
ขาดไปเพียงอย่างไม่มี คือขาดคู่ชมสมฤดี

ก็ใครต่อใครน่ะเขาคู่กัน บอกรักสัมพันธ์ทุกที
ส่วนฉันต้องอยู่เพียงคนเดียว
ไม่มีตัวเธอมาเจ๊าเจี๊ยว เงียบเหงาสิ้นดี

โธ่ เธอเดินมาแล้วเดินจากไป
กี่ทีกี่หนไม่เคยสนใจ จะให้ทำใจ
ยังไง เดินมาแล้วก็เดินจากไป
แค่อยากมีใครที่ใจ ไปเที่ยวกันไหม

ถ้าเธอ ..โอเค.. ฉันก็ดี
ถ้าเธอว่าไม่คงชีช้ำกะหล่ำปลี
ท่องไปในยามราตรี บรรยากาศแสนดี
หากมีหน้ามล ยิ่งดี จะพาไปกินเกี๊ยมอี๋

ก็ใครต่อใครน่ะเขาคู่กัน บอกรักสัมพันธ์ทุกที
ส่วนฉันต้องอยู่เพียงคนเดียว
ไม่มีตัวเธอมาเจ๊าเจี๊ยว เงียบเหงาสิ้นดี

โธ่ เธอเดินมาแล้วเดินจากไป
กี่ทีกี่หนไม่เคยสนใจ จะให้ทำใจ
ยังไง เดินมาแล้วก็เดินจากไป
แค่อยากมีใครที่ใจ ไปเที่ยวกันไหม

โธ่ เธอเดินมาแล้วเดินจากไป
กี่ทีกี่หนไม่เคยสนใจ จะให้ทำใจ
ยังไง เดินมาแล้วก็เดินจากไป
แค่อยากมีใครที่ใจ ไปเที่ยวกันไหม",joey_boy
เมียไม่มี,/music/thailyric/9564,"มีเงินทองชื่อเสียงและเกียรติยศ
แต่ขาดสาวที่ถูกสเปก ก็เหมือนน้ำตาลที่ขาดมด
เอาเป็นว่าเธอโดนใจจังจัง
ถ้าไม่รังเกียจก็อยากจะเชิญเธอมาช่วยใช้ตังค์

จะพาเธอไปช็อปปิ้ง
พาเธอไปนั่งรถซิ่ง แล้วให้เธอเรียกว่าป่าป๊า
ถ้าเรามีลูกด้วยกันเมื่อไหร่
ผมจะไม่ขอมองใคร แล้วเรียกเธอว่าหม่าม๊า
แต่ว่า รบกวนตอนนี้แค่ขอเบอร์โทร
ไว้ชวนไปดิสโก้สร้างความสัมพันธ์
ถ้าเธอรังเกียจก็เอานามบัตรผมไป
ผมชื่อนายรักคุณยิ่งกว่าใคร ก็โทรหาผมแล้วกัน

เมียพี่ มีรึเปล่า มีรึเปล่า (ไม่มี)
เมียพี่ มีรึเปล่า มีรึเปล่า (ไม่มี)

เมียมีเมียพี่ต้องมา นี่เมียไม่มีมาก็เพราะว่าเมียไม่มี
เมียมีเมียพี่ต้องมา นี่เมียไม่มีมาก็เพราะว่าเมียไม่มี
ก็บอกว่าเมียไม่มี

You so สเปก man อยากจะ Shake Hand
เธอโดนใจจังจัง man
Me So สเปกเหรอ อยากจะเช็คเหรอ
Make sure เธอยังไม่ได้มีแฟน

You so สเปก man อยากจะ Shake Hand
เธอโดนใจจังจัง man
Me So สเปกเหรอ อยากจะเช็คเหรอ
Make sure เธอยังไม่ได้มีแฟน

ก็น้องลองตรองดูสิครับ แค่ลองสดับฟังดูอย่างตั้งใจ
ให้น้องตรึกน้องตรองฟังนิด แล้วคิดดูถ้าเมียมีแล้วพี่จะมาทำไม
ก็เพลงมันเต้นกันมั้ยครับ อย่าเพิ่งกลับคืนนี้พี่เปิดใจ
จะเปิดขวดสองขวดสามขวดสี่ขวด
Chandon พี่ก็เปิดให้ (เอาไหมเอาไหม)
หากไม่มีใครไปส่งนะ ติดรถกับพี่เอาไหมล่ะ
รังสิต เพลินจิต หรือพัฒนาการพี่ก็ผ่านทั้งนั้นล่ะ

เมียพี่ มีรึเปล่า มีรึเปล่า (ไม่มี)
เมียพี่ มีรึเปล่า มีรึเปล่า (ไม่มี)

เมียมีเมียพี่ต้องมา นี่เมียไม่มีมาก็เพราะว่าเมียไม่มี
เมียมีเมียพี่ต้องมา นี่เมียไม่มีมาก็เพราะว่าเมียไม่มี
ก็บอกว่าเมียไม่มี

You so สเปก man อยากจะ Shake Hand
เธอโดนใจจังจัง man
Me So สเปกเหรอ อยากจะเช็คเหรอ
Make sure เธอยังไม่ได้มีแฟน

You so สเปก man อยากจะ Shake Hand
เธอโดนใจจังจัง man
Me So สเปกเหรอ อยากจะเช็คเหรอ
Make sure เธอยังไม่ได้มีแฟน

เบอร์อะไร เบอร์อะไร
เบอร์อะไร เบอร์อะไร
เบอร์อะไร เบอร์อะไร
เบอร์อะไร เบอร์อะไร

เมียมีเมียพี่ต้องมา...(เมียมีเมียพี่ต้องมา...)
เมียพี่ มีรึเปล่า มีรึเปล่า (ก็เพราะว่าเมียไม่มี)

เมียมีเมียพี่ต้องมา นี่เมียไม่มีมาก็เพราะว่าเมียไม่มี
เมียมีเมียพี่ต้องมา นี่เมียไม่มีมาก็เพราะว่าเมียไม่มี",joey_boy
ยกมือขึ้น,/music/thailyric/1019,"ประชาธิปไตยคือการออกเสียงของคนส่วนใหญ่
พวกเราต่างเป็นคนไทย มีสิทธิ์มีเสียงในการตัดสินใจ
ขอแรงชาวไทยทุกท่านช่วยร่วมแรงกันผลักดันชาติไป
Throw your hands into the sky
มาเถิดชาวไทย เรามายกมือกัน

ครับสวัสดีครับพ่อแม่พี่น้อง ผมนายสันดร นอนดึก
พรรคก้านคอคลับ วันนี้นโยบายของเรา
ใครที่เห็นด้วยกับก้านคอคลับ กับ feel ชัดๆ
ขอให้ยกมือขึ้น ยกมือขึ้น ยกมือขึ้น one two

อยากสวยอยากใสอยากเด่น แต่ดันเรียนไม่เก่ง ก็ขอให้ยกมือขึ้น
อยากรวยอยากเท่ห์อยากหล่อ แต่ยังขอเงินพ่อ ก็ขอให้ยกมือขึ้น
แก่จะตายแต่อยากได้แฟนเด็ก เอาที่ใส่ฟันเหล็ก ก็ขอให้ยกมือขึ้น
แฟนไม่หล่อแต่ก็ไม่เป็นไร แต่ขอให้รวยก็แล้วไป ก็ขอให้ยกมือขึ้น
เสียดายแทบตายเอ็นไม่ติด แต่ก็ยังมีชีวิต ขอให้ยกมือขึ้น
ร้องไห้แฟนหายไปมีกิ๊ก แต่ตัวเองก็มีกิ๊ก ก็ขอให้ยกมือขึ้น
ให้เบอร์โทรเค้าแล้วไม่โทรมา แต่ก็ยังเฮฮา ก็ขอให้ยกมือขึ้น
ขอเบอร์เค้าแล้วไม่โทรไป เพราะไปเจอคนใหม่ ก็ขอให้ยกมือขึ้น
เพื่อนกันนั่งกันเป็นตับ ต่างคนต่างคุยโทรศัพท์อีกยกมือขึ้น
การบ้านที่ทำก็ยังไม่เสร็จแม่งเล่นแต่อินเตอร์เน็ต หนะขอให้ยกมือขึ้น
อินเตอร์เน็ตความรู้มีเป็นกิโล นั่งดูแต่รูปโป๊ ขอให้ยกมือขึ้น
แอบเก่งแต่ไม่มีความรู้ เพราะว่าศาสตร์ในกระทู้ ก็ขอให้ยกมือขึ้น

เรียนไม่จบ ปริญญาตรี หนะเรียนมาตั้งหกปี หนะขอให้ยกมือขึ้น
เรียนจบแต่ไม่มีงานทำ เที่ยวเล่นไปวัน ๆ หนะขอให้ยกมือขึ้น
เรียนจบทำงานไม่ตรงสาย แล้วจะเรียนไปทำไมวะ ยกมือขึ้น
ทำงาน ขยันหมั่นเพียร ไม่สนค่าเล่าเรียนอยากได้เงินเดือนขึ้น
ไม่หล่อ แทบไม่มีความรู้ แต่ว่าผมเจ้าชู้ หละขอให้ยกมือขึ้น
สาว ๆ ในสต็อกมีเป็นเข่ง แถมยังกินเหล้าเก่ง ก็ขอให้ยกมือขึ้น
แอบมองสาวโต๊ะข้าง ๆ มีผู้ชายยืนเป็นก้าง หละขอให้ยกมือขึ้น
ผับปิดแล้วไม่อยากกลับ นอนคนเดียวไม่ค่อยหลับ หละขอให้ยกมือขึ้น
ทั้งสวย ทั้งเซ็กทั้งซี่ แต่แฟนยังไม่มี หนะขอให้ยกมือขึ้น
แอบมองชั้นรู้ไม่ต้องบอก ไม่ได้แอ้มชั้นหรอ หละขอให้ยกมือขึ้น
วันนี้ฉันมาคนเดียว แอบหนีแฟนเที่ยว ก็ขอให้ยกมือขึ้น
ผับปิดแล้วยังนอนไม่หลับ ก็รอเธอชวนกลับ หนะขอให้ยกมือขึ้น

โชคดีเกิดเป็นคนไทย หนะประชาธิปไตย หนะขอให้ยกมือขึ้น
รักกษัตริย์รักชาติศาสนา พอเพลงชาติมา ก็ขอให้ยืนขึ้น
เดี๋ยวเอดส ์เดี๋ยวซาร ์เดี๋ยวไก่ แล้วเราจะทำยังไง หละขอให้ยกมือขึ้น
พวกเราพุทธคริสอิสลาม เราไม่เอาสงคราม หนะขอให้ยกมือขึ้น
18เค้าให้เลือกตั้ง หนูก็อยากเที่ยวมั่ง หนะขอให้ยกมือขึ้น
เลือกตั้งคนดีเข้าไปหลับ แถมยังอดเที่ยวผับ ขอให้ยกมือขึ้น
บัตรประชาชนจะตรวจไปทำไม สมุดพกเอาไหม หละขอให้ยกมือขึ้น

เอาอย่างงี้ก็แล้วกัน ผมนายสันดร นอนดึก
ขอเสนอว่าคัยเรียนเกิน 2.5 ขอให้เที่ยวกันตามสบาย
ส่วนใครเกรดต่ำกว่านั้นถือว่าโง่... อยู่บ้านนอนก็แล้วกัน ขอให้ยกมือขึ้น",joey_boy
อย่ามายุ่งกับกู๋,/music/thailyric/9049,"เข้าใจกู๋บ้างมั้ย รับฟังกู๋บ้างมั้ย

อากาศมันร้อน ลมมันแรง
ไม่ได้แกล้งให้เธอข้องใจ
แต่ตอนนี้ไม่อยากคุยกับใคร
กู๋แค่โลกส่วนตัวสูง

อย่ามายุ่งกับกู๋ เข้าใจกันหน่อยนะ
อย่ามายุ่งกับกู๋ วันหน้าค่อยมาใหม่

อย่ามาใกล้ได้มั้ย จะไปไหนก็ไป
อากาศมันร้อน ลมมันแรง
ไม่ได้แกล้งให้เธอข้องใจ
แต่ตอนนี้ไม่อยากจะคุยกับใคร
กู๋มีโลกส่วนตัวสูง

อย่ามายุ่งกับกู๋ เข้าใจกันหน่อยนะ
อย่ามายุ่งกับกู๋ วันหน้าค่อยมาใหม่

ม่าชวนกินข้าว กู๋ไม่อยากไป
กงให้ล้างจาน กู๋ไม่อยากไป
ตี๋ชวนดูหนัง กู๋ไม่อยากไป
หมวยชวนช๊อบปิ้ง กู๋ไม่อยากไป

เฮ้ยอย่ามาเปรี้ยว เดี๋ยวจะโดนกู๋
อย่ามาปีนเกลียว เดี๋ยวจะโดนกู๋
เพื่อนกู๋เยอะแยะ เดี๋ยวจะโดนกู๋
ช่วยอยู่เฉยๆ อย่ามายุ่งกับกู๋

อากาศมันร้อน ลมมันแรง
ไม่ได้แกล้งให้เธอข้องใจ
แต่ตอนนี้ไม่อยากจะคุยกับใคร
กู๋มีโลกส่วนตัวสูง

อย่ามายุ่งกับกู๋ เข้าใจกันหน่อยนะ
อย่ามายุ่งกับกู๋ เข้าใจกันบ้างไหม
อย่ามายุ่งกับกู๋ เข้าใจกันบ้างไหม
อย่ามายุ่งกับกู๋ เข้าใจกันบ้างไหม
อย่ามายุ่งกับกู๋ อย่ามายุ่งกับกู๋",joey_boy
โกหก,/music/thailyric/1018,"แล้วแต่แล้วกัน ก็ตามแต่จะเข้าใจ
สิ่งที่ฉันพูดไป ฉันตั้งใจ เธอจะฟังมันยังไงเรื่องของเธอ
ก็พูดจนหมดแล้ว พูดจนหมดใจแล้ว
ถ้ายังสงสัย ก็ไม่รู้พูดยังไงแล้ว

ทุกๆถ้อยคำ เป็นความจริงที่ออกมาจากข้างใน (ออกจากข้างใน)
ถ้าเธอไม่ต้องการ ให้ฉันลองโกหกเธอดูเอาไหม

ฉันไม่ได้รักเธอ ฉันไม่ได้ชอบเธอ
ไม่เคยคิด ไม่เคยฝัน ไม่เคยเผลอ ไม่เคยมีเธออยู่ข้างใน
และจะไม่รักเธอ ไม่ว่าจะเมื่อไร
จะวันนี้หรือวันไหน จะพรุ่งนี้หรือเมื่อไร
จะไม่มีใจไปรักเธอ (พอใจหรือยัง)

ทุกๆถ้อยคำ เป็นความจริงที่ออกมาจากข้างใน (ออกจากข้างใน)
ถ้าเธอไม่ต้องการ ให้ฉันลองโกหกเธอดูเอาไหม

ฉันไม่ได้รักเธอ ฉันไม่ได้ชอบเธอ
ไม่เคยคิด ไม่เคยฝัน ไม่เคยเผลอ ไม่เคยมีเธออยู่ข้างใน
และจะไม่รักเธอ ไม่ว่าจะเมื่อไร
จะวันนี้หรือวันไหน จะพรุ่งนี้หรือเมื่อไร
จะไม่มีใจไปรักเธอ (พอใจหรือยัง)

ฉันไม่ได้รักเธอ ฉันไม่ได้ชอบเธอ
ไม่เคยคิด ไม่เคยฝัน ไม่เคยเผลอ ไม่เคยมีเธออยู่ข้างใน
และจะไม่รักเธอ ไม่ว่าจะเมื่อไร
จะวันนี้หรือวันไหน จะพรุ่งนี้หรือเมื่อไร
จะไม่มีใจไปรักเธอ (พอใจหรือยัง)

โกหกฉัน โกหกฉัน โกรธกับฉันทำไมไม่มาบอก
เธอนิสัยไม่ดีชอบมาหลอก โกหกฉัน โกหกฉัน
บอกเธอก็ไม่เคยฟัง ขอกี่ครั้ง",joey_boy
ร้ายก็รัก,/music/thailyric/1020,"ทุกๆครั้งที่เปิดดูละคร มีบางตอนที่ฉันเองไม่อาจมี
ในละครมีผู้ชายดี๊ดี คงเป็นใครคนที่เธอนั้นใฝ่ฝัน

แต่กลับมาสู้ชีวิตจริงไม่มีให้อิงอะไร
ใครๆ ก็มองเราไม่ดี

งั้นผู้ชายดีๆ คงมีแต่ในนิยาย
งั้นผู้ชายอย่างฉันก็ต้องเจ็บใจไปทุกราย
เพราะผู้ชายดีๆ นั้นมีแค่ในนิยาย
ฉันก็แค่ผู้ร้ายถึงรักแค่ไหนคงต้องตาย
สุดท้ายเค้าได้เธอไปครอง

ใครว่าชีวิตเหมือนในละคร
ชีวิตน่ะมันยิ่งกว่าละครอีก ฟังกันนะ ฟังละวะ
ถึงร้ายก็รักนะ เกเรยังไงก็รักนะ
หน้าตาเป็นตัวกำหนดเทวดาเขียนบทยังไงกันวะ
อยากเกิดเป็นตัวพระ แต่เค้าลิขิตให้เป็นตัวร้าย
ใครจะรู้ว่าทศกัณฑ์รักนางสีดามากกว่าเท่าไหร่
ถึงร้ายก็รักจริงไม่ใช้สลิงไม่ใช้สตั้น
เหนื่อยใจก็เล่นโผนางเอกร้องโฮสั่งงานศพครั้น
อกหักมาทีไม่มีคนดูเห็นใจ
จะเปิดศึกชิงนางก็คงต้องแพ้เรื่อยไป
จะมองทางซ้ายจะมองทางขวาเฮ้ยมันก้อโกงนี่หว่า
มือถือดอกไม้ไว้หนวดไว้เคราเขาหาว่าโจรป่า
โรมรันพันตูความรักของกูชักมัน
ขีดๆเขียนๆกันไปเฮ้ยเด๋วเล่นไม่ทัน
จะรีบไปไหนสงครามยังไม่จบยังต้องรบอีกครั้ง
คุณคิดว่าผมรักเธอเท่าไหร่มากกว่าพันครั้ง
จะยอมตายพลีกายช่วยให้ละครขายดี
เกิดชาติหน้าฉันใดขอเป็นพระเอกสักที

แต่กลับมาสู้ชีวิตจริงไม่มีให้อิงอะไร
ใครๆ ก็มองเราไม่ดี

โลกของฉันมันต่างจากละคร
มันเป็นตอนที่ฉันเองต้องผิดหวัง
ความเป็นจิงที่ต้องเจออีกครั้ง
ความเป็นจิงที่คู่กันกับตัวร้าย

แต่กลับมาสู้ชีวิตจริงไม่มีให้อิงอะไร
ใครๆ ก็มองเราไม่ดี

งั้นผู้ชายดีๆ คงมีแต่ในนิยาย
งั้นผู้ชายอย่างฉันก็ต้องเจ็บใจไปทุกราย
เพราะผู้ชายดีๆ นั้นมีแค่ในนิยาย
ฉันก็แค่ผู้ร้ายถึงรักแค่ไหนคงต้องตาย
สุดท้ายเค้าได้เธอไปครอง

ผู้ร้ายก็ต้องลงไปกอง",joey_boy
สโลว์โมชั่น (ระวังมันส์ชนโอ๋),/music/thailyric/1021,"เหนื่อยทั้งปีเซ็งและทนเต็มที
ถ้าให้ดีคืนนี้ต้องมีเมา
อยากจะดื่มน้ำจันฑ์ให้กับวันเบาๆ
ให้ลืมความเหงาอันตรธาน
จะออกไปผับไหนดีที่ๆมีดนตรี
และก็ไฟแสงสีเป็นพยาน
ว่าถ้าเราจะดื่มทั้งที ใช่ว่าดื่มกันทั้งปี
พวกเราคืนนี้ต้องมีฮา (Everybody)

Lets slow it down little bit
ขึ้นให้สุดต้องลงให้มิด (ช้าไว้ ช้าๆ ไว้นิดได้เลยพี่)
Lets slow it down little more
ขับรถเมาเหล้าเป่าแอลกอฮอล์ (เร็วไปๆ ช้าลงนิดๆ)

บรรยากาศแสนดี เพื่อนก็เชียร์จังเลย
คนมันเกรงใจ ก็คงต้องกินตามเคย
อกหักทุกทีหรือว่ามีแฟนใหม่
ใครจะตกงานหรือว่าขึ้นบ้านใหม่
วันตรุษสงกรานต์ข้างบ้านเชงเม้ง
ตีลังกาขึ้นเล่าเต้งไปเปิด Black ขวดใหญ่
ร่ำรวยเงินทองหรือว่ามองปลาเค็ม
นั่งรถเมล์ รถเบนซ์ ก็เมาอ้วกทุกรายไป

ไอ้ชีวิตคนเรามีขึ้นก็ต้องมีลง
(ขึ้นแล้วก็ลง เอ้า ขึ้นแล้วก็ลง เอ้า)
ออกกำลังกายมีเข้าก็ต้องมีออก
(ออกแล้วก็เข้า แล้วก็เข้า แล้วก็ออก เอ้า)

Lets slow it down little bit
ขึ้นให้สุดต้องลงให้มิด (ช้าไว้ ช้าๆ ไว้นิดได้เลยพี่)
Lets slow it down little more
ขับรถเมาเหล้าเป่าแอลกอฮอล์ (เร็วไปๆ ช้าลงนิดๆ)

เหนื่อยทั้งปีเซ็งและทนเต็มที
ถ้าให้ดีคืนนี้ต้องมีเมา
อยากจะดื่มน้ำจันฑ์ให้กับวันเบาๆ
ให้ลืมความเหงาอันตรธาน
จะออกไปผับไหนดีที่ๆมีดนตรี
และก็ไฟแสงสีเป็นพยาน
ว่าถ้าเราจะดื่มทั้งที ใช่ว่าดื่มกันทั้งปี
พวกเราคืนนี้ต้องมีฮา (Everybody)

ไอ้ชีวิตคนเรามีขึ้นก็ต้องมีลง
(ขึ้นแล้วก็ลง เอ้า ขึ้นแล้วก็ลง เอ้า)
ออกกำลังกายมีเข้าก็ต้องมีออก
(ออกแล้วก็เข้า แล้วก็เข้า แล้วก็ออก เอ้า)

(Hey yoh...Let's me show you how me to the Sim Thailand)

Lets slow it down little bit
ขึ้นให้สุดต้องลงให้มิด (ช้าไว้ ช้าๆ ไว้นิดได้เลยพี่)
Lets slow it down little more
ขับรถเมาเหล้าเป่าแอลกอฮอล์ (เร็วไปๆ ช้าลงนิดๆ)

Lets slow it down little bit
ขึ้นให้สุดต้องลงให้มิด (ช้าไว้ ช้าๆ ไว้นิดได้เลยพี่)
Lets slow it down little more
ขับรถเมาเหล้าเป่าแอลกอฮอล์ (เร็วไปๆ ช้าลงนิดๆ)

Slowmotion ลา...
Slowmotion ลา...
Slowmotion ลา...",joey_boy
HBD To กู,/music/thailyric/15418,"Happy Happy Birthday To กู
Happy Happy Birthday To กู
Happy Happy Birthday To กู
Happy Happy Birthday ของกู

เอ้ย Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

วันเกิดทีไม่ต้องมีเซอร์ไพรส์
กูขี้เกียจจะตกกะใจ
เค้กที่ซื้อมาไม่ต้องปักเทียนไว้
ปักตามอายุเดี๋ยวมันจะแดกไม่ได้
ไม่มีอะไรแค่เก๋าไปอีกปี
Thank You นะที่มึงมาร่วมยินดี
ของขวัญไม่ต้องนะ กูเกรงใจ
เชิญตามสบายกูรอพวกมึงมาแดกฟรี

อ้าว ขอให้สุขขีและสุขขัง
ขอให้สมหวัง ขอให้สมนึกได้ดั่งฝัน
ขอให้ก้าวหน้าไม่ต้องมีกลับหลังหัน
ไม่เจ็บ ไม่จน ไม่แก่
ต้องแดกพระถังซัมจั๋งเท่านั้นน่ะถึงจะไม่แก่
งั้นขอให้พระคุ้มครองจะกี่องค์ก็แล้วแต่
โห อวยขนาดนี้ก็ต้องมีสาธุ สาธุ สาธุ

Happy Happy Birthday To กู
Happy Happy Birthday To กู
Happy Happy Birthday To กู
Happy Happy Birthday ของกู

เอ้ย Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

วันเกิดที ต้องปล่อยนกปล่อยปลา
สร้างอาชีพให้คนไปจับมา
เพื่อนมันบอกว่าให้พากันไปไถ่โค
โยตี้ โยตี้ โยตี้ โย่ว
โอ้ วันแบบนี้มีแค่ปีละครั้ง
สำมะเลในวันสำคัญไม่ดีละมั้ง
ขอกราบเท้าพ่อแม่และทำบุญสะเดาะเคราะห์
เสร็จแล้วค่อยออกไปยาวผู้บ่าวผู้สาวขาเลาะ

ขอให้โชคดีและมีชัย
คิดสิ่งใดสมปรารถนาได้ดั่งใจ
เงินและทองให้ไหลมาเทมา
ปราศจากเรื่องร้ายมีแต่ความเฮฮา
ขอให้ทั้งแข็ง ทั้งแรง ทั้งใหญ่ ทั้งยาว
ชีวิตหอมหวาน ไม่เหม็น ไม่คาว
ไปไหนมาไหนปลอดภัยไม่สะดุด
เจริญรุ่งเรืองและมีแต่ความสุข

เอ้ย Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

Happy Happy Birthday To กู
Happy Happy Birthday To กู
Happy Happy Birthday To กู
Happy Happy Birthday ของกู

เอ้ย Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You

Birthday เว้ย Birthday เว้ย
Birthday เว้ย Birthday
Thank You ว่ะ Thank You",joey_boy
บั้งข้าวหลาม,/music/thailyric/17908,"คั่นน้องหิวคั่นเจ้าอยาก
เอามาฝากข้าวหลามบั้งใหญ่
หวานจ๊วยจ๊วยน้องติดใจ
ข้าวหลามอ้ายสมคำคนส่า
บั้งใหญ่เดะหล่า กล้าลองบ่
ข้าวหลามใหญ่

บั้งใหญ่ๆ มีให้น้องคนงาม
บั้งข้าวหลามยามหิวสิได้กิน
อ้ำสิครับตำใหญ่ๆ เด้อยุพิณ
ไผได้กินแล้วสิฮ้อง
ว้าย ว้าย ว้าย ว้าย ว้าย อูย

หลาม ดำ ขาว บั้งใหญ่ๆ บ่ได้คุย
อมแก้มตุ่ยพุ้นแหล่วแนวมันใหญ่

อ้ายใจกว้าง อ้ายสิป้อนข้าวหลามให้
คำใหญ่ๆ ได้กินแล้วสิฮ้อง
ว้าย ว้าย ว้าย ว้าย ว้าย อูย

ข้าวหลามครับ ข้าวหลามครับ ข้าวหลามครับ
รับรองครับถูกใจ บั้งข้าวหลาม
ข้าวหลวมครับ เฮ้ย ข้าวหลามครับ ข้าวหลามครับ
หิวบ่ครับเชิญมารับบั้งข้าวหลาม

บั้งใหญ่ๆ ของอ้ายเพี่อคนงาม
พอดีคำเต็มปากเต็มคำ
น้ำกะทิและถั่วดำ ดำ ดำ ดำ
ดำ ดำ ดำ ดำ
เป็นของฝากอยากชวนชิม

Ayo เจอกับเธอที่ Dirty bar ทองหล่อ
Aye เธอเฉิดฉาย Twerk ซ้าย Twerk ขวา
ผมเดินฟึบฟับเข้าไป Sa y what's up
Aye yo มาคนเดียวหรือมากับใครครับ
เธอบอกว่ารู้ได้ไงว่าหนูชื่อ เอ้

พี่รู้ได้ยังไงล่ะว่าหนูชื่อ เอ้
อ้าว หนูชื่อเอ้ มากับนุ่น มากับโบว์
ครับ งั้นเอ้ละจะไปไหนต่อ
ช้ะ ถ้ายังไม่มีที่ต่อ
พี่จะอาสาพาไป
ไม่มีที่ต่อละพี่อาสาพาไป
เอ้บอกอยากไปหนองมน
ที่เมืองชลเขามีข้าวหลามบ้องใหญ่

ข้าวหลามครับ ข้าวหลามครับ ข้าวหลามครับ
รับรองครับถูกใจ บั้งข้าวหลาม
ข้าวหลวมครับ เฮ้ย ข้าวหลามครับ ข้าวหลามครับ
หิวบ่ครับเชิญมารับบั้งข้าวหลาม

บั้งใหญ่ๆ ของอ้ายเพี่อคนงาม
พอดีคำเต็มปากเต็มคำ
น้ำกะทิและถั่วดำ ดำ ดำ ดำ
ดำ ดำ ดำ ดำ
เป็นของฝากอยากชวนชิม

ข้าวหลามครับ ข้าวหลามครับ ข้าวหลามครับ
รับรองครับถูกใจ บั้งข้าวหลาม
ข้าวหลวมครับ โอ๊ย ข้าวหลามครับ ข้าวหลามครับ
หิวบ่ครับเชิญมารับบั้งข้าวหลาม

บั้งใหญ่ๆ ของอ้ายเพี่อคนงาม
พอดีคำเต็มปากเต็มคำ
น้ำกะทิและถั่วดำ ดำ ดำ ดำ
ดำ ดำ ดำ ดำ
เป็นของฝากอยากให้ชิม",joey_boy
ไปต่อ (Pai Tor),/music/thailyric/14531,"สุดสาย

สุดทางแล้วคงจะไม่มีทางให้เราดำเนินไป
ไม่มีแม้คนที่คอยเข้าใจไม่มีใครสนใจ
แต่ถามสักคำ ถ้าใจคุณอยากจะไปต่อ
คุณอยากไปต่อไหม
(ไปดิ ไปเด้)

คุณอยากไปต่อไหม
คุณอยากไปต่อไหม
คุณอยากไปต่อไหม
คุณอยากไปต่อไหม

ไปต่อ ไปต่อ รถจะสนิท
ถ้ายังคิดจะไปต่อ อย่างนั้นอะดิ
เดินต่อ เดินต่อ อย่าติดกับพาหนะ
มันก็แค่บนภาระ
ไม่มีพันธะเราก็หวิดกันเลยมะ
ไม่มีใครรัก ไม่มีใครสน
ก็ยังคงฝัน ยังอยากทุกข์ทน
เลยตัดสินใจชวนมึงทุกคน ไปต่อ ไปต่อ

สุดทางแล้วคงจะไม่มีทางให้เราดำเนินไป
ไม่มีแม้คนที่คอยเข้าใจไม่มีใครสนใจ
แต่ถามสักคำ ถ้าใจคุณอยากจะไปต่อ
คุณอยากไปต่อไหม
(ไปดิ ไปเด้)

คุณอยากไปต่อไหม
คุณอยากไปต่อไหม
คุณอยากไปต่อไหม
คุณอยากไปต่อไหม

เป็นทางนี้คงไม่เหมือนที่เราน่ะเคยเดินผ่าน
จุดหมายครั้งนี้คงไม่มีชัยชนะหรือแพ้เหมือนเช่นวันวาน
ก็ใจมันไป อยากจะไปน่ะคงต้องไปให้สุดทาง
แต่กลัวว่าใจ เมียไม่ให้ไป ทำยังไงคงตกราง

คุณอยากไปต่อไหม
คุณอยากไปต่อไหม
คุณอยากไปต่อไหม
คุณอยากไปต่อไหม

สุดทางแล้วคงจะไม่มีทางให้เราดำเนินไป
ไม่มีแม้คนที่คอยเข้าใจไม่มีใครสนใจ
แต่ถามสักคำ ถ้าใจคุณอยากจะไปต่อ
คุณอยากไปต่อไหม
(ไปดิ ไปเด้)

คุณอยากไปต่อไหม

สุดทางแล้วคงจะไม่มีทางให้เราดำเนินไป
ไม่มีแม้คนที่คอยเข้าใจไม่มีใครสนใจ
แต่ถามสักคำ ถ้าใจคุณอยากจะไปต่อ
คุณอยากไปต่อไหม
(ไปดิ ไปเด้)

คุณอยากไปต่อไหม

สุดทางแล้วคงจะไม่มีทางให้เราดำเนินไป
ไม่มีแม้คนที่คอยเข้าใจไม่มีใครสนใจ
แต่ถามสักคำ ถ้าใจคุณอยากจะไปต่อ
คุณอยากไปต่อไหม

คุณอยากไปต่อ",joey_boy
