song_name,href,lyric,artist
ช่วยได้หรือเปล่า,/music/thailyric/596,"กวนใจหรือเปล่า เป็นไรหรือเปล่า หากขอแค่ให้เธอเป็นเพื่อนคุย
แค่พอให้อุ่นหัวใจ ในตอนไม่เห็นใคร อยากขอแค่รบกวนเพียงไม่นาน

เต็มใจหรือเปล่า รำคาญหรือเปล่า ไม่คิดหวังได้ใจเธอคืนมา
แค่ยังทำใจไม่ได้เลย ปรับตัวไม่ได้เลย กับการที่ต้องอยู่เพียงผู้เดียว

ช่วยฉันได้ไหมเธอ ครั้งนี้แค่ครั้งเดียว ครั้งสุดท้ายช่วยมาพบมาพูดคุย
แค่ช่วยมาสนใจ ช่วยอยู่กับฉันเหมือนเดิมอย่างที่เคย พอให้ความเหงาผ่านพ้นไป

เกินไปหรือเปล่า กวนใจก็บอก ไม่คิดตั้งใจทำให้รำคาญ
หากขอจากเธอมากไป และเธอต้องฝืนใจ ก็พร้อมจะเดินจากไปด้วยดี

ช่วยฉันได้ไหมเธอ ครั้งนี้แค่ครั้งเดียว ครั้งสุดท้ายช่วยมาพบมาพูดคุย
แค่ช่วยมาสนใจ ช่วยอยู่กับฉันเหมือนเดิมอย่างที่เคย พอให้ความเหงาผ่านพ้นไป

เกินไปหรือเปล่า กวนใจก็บอก ไม่คิดตั้งใจทำให้รำคาญ
หากขอจากเธอมากไป และเธอต้องฝืนใจ ก็พร้อมจะเดินจากไปด้วยดี",katreeya_english
ติ๊กต็อก,/music/thailyric/599,"เงยหน้าดูนาฬิกา ฟังเสียงเจ้านาฬิกา ใครนะที่บอกช้าๆแล้วจะได้พร้าเล่มงามนะใคร
จะเชื่อยังไงก็เชิญ แต่ฉันไม่ตามเขาไป จะเช้าจะบ่ายจะสายขยิบตาเดี๋ยวแป๊บเดียวก็ปี

ฉันก้มดูนาฬิกา แล้วฉันก็มองที่เธอ เพราะฉันนั้นอยากให้รู้ว่าอีกไม่ช้าฉันคงต้องไป
เธอคิดอะไรของเธอ อย่าทิ้งให้คาหัวใจ จะรักก็บอกกันซะไม่อยากให้ช้าเวลาไม่รอ

เธอเคยได้ยินไหมเธอ ว่าเก่งไม่กลัวแต่ช้านั้นน่ะกลัวนะเธอ
คนที่ถูกใจถ้าเจอ อย่าปล่อยให้ไปให้ใจเจอใจอย่าไปหนี

(ต็อก ติ๊กต็อก ติ๊กต็อก) น้ำมาก็ให้รีบตัก
(ต็อก ติ๊กต็อก ติ๊กต็อก) มีรักก็รีบกันหน่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก) รักดีไม่มีกันบ่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก) ตามเสียงหัวใจกันเถอะ

ฉันก้มดูนาฬิกา แล้วฉันก็มองที่เธอ เพราะฉันนั้นอยากให้รู้ว่าอีกไม่ช้าฉันคงต้องไป
เธอคิดอะไรของเธอ อย่าทิ้งให้คาหัวใจ จะรักก็บอกกันซะไม่อยากให้ช้าเวลาไม่รอ

เธอเคยได้ยินไหมเธอ ว่าเก่งไม่กลัวแต่ช้านั้นน่ะกลัวนะเธอ
คนที่ถูกใจถ้าเจอ อย่าปล่อยให้ไปให้ใจเจอใจอย่าไปหนี

(ต็อก ติ๊กต็อก ติ๊กต็อก) น้ำมาก็ให้รีบตัก
(ต็อก ติ๊กต็อก ติ๊กต็อก) มีรักก็รีบกันหน่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก) รักดีไม่มีกันบ่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก) ตามเสียงหัวใจกันเถอะ

เธอเคยได้ยินไหมเธอ ว่าเก่งไม่กลัวแต่ช้านั้นน่ะกลัวนะเธอ
คนที่ถูกใจถ้าเจอ อย่าปล่อยให้ไปให้ใจเจอใจอย่าไปหนี

(ต็อก ติ๊กต็อก ติ๊กต็อก) น้ำมาก็ให้รีบตัก
(ต็อก ติ๊กต็อก ติ๊กต็อก) มีรักก็รีบกันหน่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก) รักดีไม่มีกันบ่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก) ตามเสียงหัวใจกันเถอะ

(ต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก) น้ำมาก็ให้รีบตัก
(ต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก) มีรักก็รีบกันหน่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก) รักดีไม่มีกันบ่อย
(ต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก ติ๊กต็อก) ตามเสียงหัวใจกันเถอะ",katreeya_english
นอกสายตา,/music/thailyric/601,"แอบยิ้มเมื่อเธอดีใจ แอบทุกข์เมื่อเธอเสียใจ หัวเราะและร้องไห้ ไปกับเธอทุกครั้ง
แม้เธอจะไม่หันมา ฉันยังเฝ้ามองทุกวัน ได้เฝ้าดูห่างๆ มันก็ยังพอใจ

ไม่หวังให้เธอมีใจ ไม่หวงถ้าเธอมีใคร ไม่หวังยืนใกล้ๆ ไม่ต้องการร้องขอ
ได้ยืนอยู่บนผืนดิน ผืนเดียวกับเธอก็พอ ฉันก็มีความสุข อยู่กับฝันของฉันเท่านี้

อยู่นอกสายตา ของเธอตั้งไกล ฉันนั้นก็ทำได้ แค่มองจากตรงนี้
แต่ฉันยังรอซักวัน เธอหันมองผ่านทางนี้ แค่ซักวินาที เธอเห็นฉันคนนี้ในสายตา

และแม้ว่านานเพียงใด และแม้ว่าไกลดังเดิม ยังเฝ้ารอเธออยู่ ต่อให้ไกลแค่ไหน

ไม่เคยอยู่ในสายตา ไม่เคยอยู่ในหัวใจ แต่ขอมีเธอใกล้ อยู่ในฝันของฉันก็พอ

อยู่นอกสายตา ของเธอตั้งไกล ฉันนั้นก็ทำได้ แค่มองจากตรงนี้
แต่ฉันยังรอซักวัน เธอหันมองผ่านทางนี้ แค่ซักวินาที เธอเห็นฉันคนนี้ในสายตา

ไม่เคยอยู่ในสายตา ไม่เคยอยู่ในหัวใจ แต่ขอมีเธอใกล้ อยู่ในฝันของฉันก็พอ

อยู่นอกสายตา ของเธอตั้งไกล ฉันนั้นก็ทำได้ แค่มองจากตรงนี้
แต่ฉันยังรอซักวัน เธอหันมองผ่านทางนี้ แค่ซักวินาที เธอเห็นฉันคนนี้ในสายตา",katreeya_english
เพื่อนที่ดีที่สุด,/music/thailyric/606,"ฉันรู้ดี มันยากเย็นซักแค่ไหน จะหาใครมาเข้าใจกันซักคน
เช็ดน้ำตา โดยไม่เคยถามเหตุผล และคอยยืนเคียงข้างฉัน

ในชีวิตของบางคน ต้องอยู่อย่างเหงาใจ ไขว่คว้าซักเท่าใดก็ไม่เจอ
แต่ว่าฉันนั้นโชคดี ที่ได้เกิดมาพบเธอ เธอๆคือคนนี้

อยากขอบคุณที่ได้อยู่เคียงข้างฉัน ให้ฉันได้ผ่านคืนวันที่ดี
อยากบอกเธอว่าหนึ่งเดียวในโลกนี้ เธอคือเพื่อนที่ดีที่สุดของฉัน

ในล้านคน เพียงหนึ่งเดียวที่ฉันขอ ก็มากพอให้อบอุ่นในหัวใจ
เพียงผู้เดียว คอยจับมือของฉันไว้ เป็นกำลังใจให้ฉัน

ในชีวิตของบางคน ต้องอยู่อย่างเหงาใจ ไขว่คว้าซักเท่าใดก็ไม่เจอ
แต่ว่าฉันนั้นโชคดี ที่ได้เกิดมาพบเธอ เธอๆคือคนนี้

อยากขอบคุณที่ได้อยู่เคียงข้างฉัน ให้ฉันได้ผ่านคืนวันที่ดี
อยากบอกเธอว่าหนึ่งเดียวในโลกนี้ เธอคือเพื่อนที่ดีที่สุดของฉัน",katreeya_english
อย่าซื้อเวลา,/music/thailyric/614,"เราเจ็บกันพอหรือยัง ลองถามตัวเองว่าเราต้องทนเพื่อใคร
เราอาจไม่ยอมเข้าใจ ว่ารักของเราที่จริงมันจบแล้ว

ทั้งสองคนทนด้วยความฝืนใจอยู่ แม้รู้ดีว่าเราไม่เคยเข้าใจ
ที่แกล้งทนว่ารักกันอาจเพราะความเสียดาย ยอมให้มันทำร้ายเราตลอดมา

อย่าซื้อเวลา ไว้ด้วยน้ำตาเราเอง ไม่จำเป็นเลยที่ต้องฝืนใจ
อย่าซื้อเวลาไว้เลย ยอมรับความจริงที่เป็นไป เราเหนื่อยกับความเสียดายมากพอแล้ว

เราเจ็บกันมาแสนนาน ประดับประคองรักที่ร่วงโรยไร้ค่า
เราต่างต้องเสียน้ำตา เพื่อซื้อเวลาให้กับความอ่อนแอ

ทั้งสองคนทนด้วยความฝืนใจอยู่ แม้รู้ดีว่าเราไม่เคยเข้าใจ
ที่แกล้งทนว่ารักกันอาจเพราะความเสียดาย ยอมให้มันทำร้ายเราตลอดมา

อย่าซื้อเวลา ไว้ด้วยน้ำตาเราเอง ไม่จำเป็นเลยที่ต้องฝืนใจ
อย่าซื้อเวลาไว้เลย ยอมรับความจริงที่เป็นไป เราเหนื่อยกับความเสียดายมากพอแล้ว

อย่าซื้อเวลา ไว้ด้วยน้ำตาเราเอง ไม่จำเป็นเลยที่ต้องฝืนใจ
อย่าซื้อเวลาไว้เลย ยอมรับความจริงที่เป็นไป เราเหนื่อยกับความเสียดายมากพอแล้ว

ต่างก็เสียน้ำตามากพอแล้ว",katreeya_english
โอเคนะคะ,/music/thailyric/616,"โอ้ยคิดถึงๆอยากจะเจอให้ซึ้งใจ โอ้ยฉันหนาวจะตายขาดเธอมาเหลียวแล
ไหนอ่ะไหนว่ารักแต่ทำไมไม่เทคแคร์ เอ๊ะหรือว่ามันแปลว่าเธอไม่รักกัน

อยู่ๆก็เลยอยากเจอเธอขึ้นมา อยากจ้องตาเธอเหลือเกิน
อยากได้เจอได้คุยให้เพลิดเพลิน ก็เชิญเธอออกมาจะดีไหม

โอเคนะคะ นะคะ เจอะกันสักแป๊บนึง โอ้ยคิดถึงจังเลยไม่เจอกันมาตั้งนาน
โอเคนะคะ นะคะ ออกมาๆหากัน รู้ๆบ้างหรือเปล่าคนขี้เหงาเขาอยากเจอ

โอ้ยสักนิดๆหากยังคิดจะซึ้งกัน โอ้ยยิ่งคิดยิ่งหวั่นเมื่อเธอจะหายไป
รู้ไว้นะเธอนะว่ามีคนที่เหงาใจ เดี๋ยวจะคิดไปไกลว่าเธอไม่รักกัน

อยู่ๆก็เลยอยากเจอเธอขึ้นมา อยากจ้องตาเธอเหลือเกิน
อยากได้เจอได้คุยให้เพลิดเพลิน ก็เชิญเธอออกมาจะดีไหม

โอเคนะคะ นะคะ เจอะกันสักแป๊บนึง โอ้ยคิดถึงจังเลยไม่เจอกันมาตั้งนาน
โอเคนะคะ นะคะ ออกมาๆหากัน รู้ๆบ้างหรือเปล่าคนขี้เหงาเขาอยากเจอ

อยู่ๆก็เลยอยากเจอเธอขึ้นมา อยากจ้องตาเธอเหลือเกิน
อยากได้เจอได้คุยให้เพลิดเพลิน ก็เชิญเธอออกมาจะดีไหม

โอเคนะคะ นะคะ เจอะกันสักแป๊บนึง โอ้ยคิดถึงจังเลยไม่เจอกันมาตั้งนาน
โอเคนะคะ นะคะ ออกมาๆหากัน รู้ๆบ้างหรือเปล่าคนขี้เหงาเขาอยากเจอ

โอเคนะคะ นะคะ เจอะกันสักแป๊บนึง โอ้ยคิดถึงจังเลยไม่เจอกันมาตั้งนาน
โอเคนะคะ นะคะ ออกมาๆหากัน รู้ๆบ้างหรือเปล่าคนขี้เหงาเขาอยากเจอ",katreeya_english
เกม (Game),/music/thailyric/591,"เดี๋ยวไม่ดี เดี๋ยวแย่ไป
ฉันน่ะไม่ดี ฉันน่ะแย่ไป
ฉันไม่ถูก ไม่ชอบใจ
ฉันไม่ค่อยถูก เธอไม่ชอบใจ

เธอว่าไง ฉันว่าตาม
เธอไม่ชอบใจ เธอไม่ให้ตาม
ฉันเลือกใหม่ ไม่ว่าตาม
เธอก็บึ้งใส่ ที่ไม่ว่าตาม

ไม่รู้ใจเธอต้องการอย่างไร
ไม่รู้ว่าเธอเล่นเกมอะไร
ไม่รู้ทำไมต้องยอมเรื่อยไป
ในเกมของเธอ

ก็เบื่อที่แพ้เธอทุกที
ก็อยากจะพักผ่อนเสียที
เกมใจแบบนี้ไม่มีอีกแล้ว

มันจะไม่มีขี้แพ้อย่างฉัน
เกมจะไม่มีขี้แพ้อย่างนั้น
ไม่มี ไม่มีแล้วเธอ

มันจะไม่มีเกมเดิมอย่างนั้น
เธอจะไม่มีเกมใจกับฉัน
หมดเกม จบเกม แล้วเธอ

คิดเล่นเกม ก็เล่นไป
เธอจะเล่นเกม เธอก็เล่นไป
ฉันไม่เอา ฉันต้องบาย
ฉันน่ะไม่เอา ขอไม่วุ่นวาย

ฝืนยิ่งเบื่อ ฝืนยิ่งหน่าย
เธอก็ยิ่งเบื่อ ฉันก็ยิ่งหน่าย
ถึงให้ดี สักเท่าไร
เดี๋ยวก็ไม่วาย เธอไม่ชอบใจ

ไม่รู้ใจเธอต้องการอย่างไร
ไม่รู้ว่าเธอเล่นเกมอะไร
ไม่รู้ทำไมต้องยอมเรื่อยไป
ในเกมของเธอ

ก็เบื่อที่แพ้เธอทุกที
ก็อยากจะพักผ่อนเสียที
เกมใจแบบนี้ไม่มีอีกแล้ว

มันจะไม่มีขี้แพ้อย่างฉัน
เกมจะไม่มีขี้แพ้อย่างนั้น
ไม่มี ไม่มีแล้วเธอ

มันจะไม่มีเกมเดิมอย่างนั้น
เธอจะไม่มีเกมใจกับฉัน
หมดเกม จบเกม แล้วเธอ

มันจะไม่มีขี้แพ้อย่างฉัน
เกมจะไม่มีขี้แพ้อย่างนั้น
ไม่มี ไม่มีแล้วเธอ

มันจะไม่มีเกมเดิมอย่างนั้น
เธอจะไม่มีเกมใจกับฉัน
หมดเกม จบเกม แล้วเธอ

มันจะไม่มีขี้แพ้อย่างฉัน
เกมจะไม่มีขี้แพ้อย่างนั้น
ไม่มี ไม่มีแล้วเธอ

มันจะไม่มีเกมเดิมอย่างนั้น
เธอจะไม่มีเกมใจกับฉัน
หมดเกม จบเกม แล้วเธอ",katreeya_english
ซาบซ่า,/music/thailyric/597,"Ha.......
Oh yeah baby...Oh yeah come on...

เป็นอะไรที่ชอบมาก เป็นอะไรที่ใช่มาก
เป็นอะไรที่เลิกยาก มันคงเป็นเจ้าความรัก
เป็นอะไรที่ชอบมาก เป็นอะไรที่ใช่มาก
เป็นอะไรที่พูดยาก มันคงเป็นเจ้าความรัก

เอาอะไรมาแทน น่ะก็ใช้ไม่ได้สักอย่าง
เอาอะไรมาแทน ก็ยังคิดนะคิดว่าห่าง
เอาอะไรมาแทน ก็ยังเป็นอะไรที่ต่าง
เธอ คือเธอ คือเธอ ที่ชอบ ที่ชอบ
ใครจะเป็นยังไง ก็ยังคิดว่าเทียบไม่ติด
ใครจะเป็นยังไง ก็ยังคิดว่าเลือกไม่ผิด
ใครจะเป็นยังไง ก็จะขอนะขอให้หลีก
เธอ คนเดียว คนเดียว ที่ใช่ ที่ใช่

ซึ้งในใจ กว่าคนไหน ที่ได้พบได้เจอ
ซึ้งจนใจ อยากเสนอ ให้เธอดูแลไว้

อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใกล้ไม่ใกล้ ไม่ซาบซ่า
ถ้าได้ใกล้ได้ใกล้ ซึ่งซึ่งหน้า ยิ่งใกล้ ยิ่งซาบซ่า
อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใช่ไม่ใช่ ไม่ซาบซ่า
แค่ได้ใกล้ได้ใกล้ ก็แทบบ้า ยิ่งใกล้ ยิ่งซาบซ่า

เป็นอะไรที่ยอดมาก เป็นอะไรที่เยี่ยมมาก
เป็นอะไรที่เลิกยาก มันคงเป็นเจ้าความรัก
เป็นอะไรที่ยอดมาก เป็นอะไรที่เยี่ยมมาก
เป็นอะไรที่ห้ามยาก มันคงเป็นเจ้าความรัก

เอาอะไรมาแทน น่ะก็ใช้ไม่ได้สักอย่าง
เอาอะไรมาแทน ก็ยังคิดนะคิดว่าห่าง
เอาอะไรมาแทน ก็ยังเป็นอะไรที่ต่าง
เธอ คือเธอ คือเธอ ที่ชอบ ที่ชอบ
ใครจะเป็นยังไง ก็ยังคิดว่าเทียบไม่ติด
ใครจะเป็นยังไง ก็ยังคิดว่าเลือกไม่ผิด
ใครจะเป็นยังไง ก็จะขอนะขอให้หลีก
เธอ คนเดียว คนเดียว ที่ใช่ ที่ใช่

ซึ้งในใจ กว่าคนไหน ที่ได้พบได้เจอ
ซึ้งจนใจ อยากเสนอ ให้เธอดูแลไว้

อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใกล้ไม่ใกล้ ไม่ซาบซ่า
ถ้าได้ใกล้ได้ใกล้ ซึ่งซึ่งหน้า ยิ่งใกล้ ยิ่งซาบซ่า
อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใช่ไม่ใช่ ไม่ซาบซ่า
แค่ได้ใกล้ได้ใกล้ ก็แทบบ้า ยิ่งใกล้ ยิ่งซาบซ่า

Oh yeah baby...Oh yeah come on
Ha......

ซึ้งในใจ กว่าคนไหน ที่ได้พบได้เจอ
ซึ้งจนใจ อยากเสนอ ให้เธอดูแลไว้

อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใกล้ไม่ใกล้ ไม่ซาบซ่า
ถ้าได้ใกล้ได้ใกล้ ซึ่งซึ่งหน้า ยิ่งใกล้ ยิ่งซาบซ่า
อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใช่ไม่ใช่ ไม่ซาบซ่า
แค่ได้ใกล้ได้ใกล้ ก็แทบบ้า ยิ่งใกล้ ยิ่งซาบซ่า


อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใกล้ไม่ใกล้ ไม่ซาบซ่า
ถ้าได้ใกล้ได้ใกล้ ซึ่งซึ่งหน้า ยิ่งใกล้ ยิ่งซาบซ่า
อ้าห์.. ยิ่งใกล้ยิ่งใกล้ ยิ่งซาบซ่า
ถ้าไม่ใช่ไม่ใช่ ไม่ซาบซ่า
แค่ได้ใกล้ได้ใกล้ ก็แทบบ้า ยิ่งใกล้ ยิ่งซาบซ่า

ซ่าส์....",katreeya_english
เบบี้ ไอ มิส ยู (Baby I Miss You),/music/thailyric/603,"ทุกๆ ครั้งที่เราต้องไกล รู้บ้างไหมว่าใจฉันรอ
ฉันหนาวและเหงาจนแทบขาดใจ

วันเวลาที่ผ่านพ้นไป ใช้ชีวิตอย่างทรมาน
อยากอยู่ใกล้เธอทุกคืนวัน

ทุกๆ ครั้งที่เราต้องไกล รู้บ้างไหมเพลงที่คุ้นเคย
ไม่ซึ้งใจเลยยามที่ได้ฟัง

มองอะไรก็ดูเงียบงัน แม้ว่าฉันมีคนรอบกาย
ก็ไม่มีใครทดแทนเธอ

Ohเธอที่ฉันรอ คือคนพิเศษที่อยู่กลางใจ
ขอลมช่วยพัดไป ส่งความห่วงใยถึงเธอ

รู้ไหมคิดถึงเธอเหลือเกิน อยากให้เธอได้รู้
เวลาผ่านไป แต่ใจยังเป็นของเธอ
รู้ไหมคิดถึงเธอเหลือเกิน ใจเธอได้ยินไหม
Baby I Miss You

ทุกๆครั้งที่เราต้องลา เสียงกระซิบที่เธอพูดมา
ฉันนั้นจะเก็บไว้ในความฝัน

ภายในคืนที่เราต้องไกล แค่คิดถึงเธอในหัวใจ
เกินได้อุ่นไอเหมือนใกล้กัน

Ohเธอที่ฉันรอ คือคนพิเศษที่อยู่กลางใจ
ขอลมช่วยพัดไป ส่งความห่วงใยถึงเธอ

รู้ไหมคิดถึงเธอเหลือเกิน อยากให้เธอได้รู้
เวลาผ่านไป แต่ใจยังเป็นของเธอ
รู้ไหมคิดถึงเธอเหลือเกิน ใจเธอได้ยินไหม
Baby I Miss You

รู้ไหมคิดถึงเธอเหลือเกิน อยากให้เธอได้รู้
เวลาผ่านไป แต่ใจยังเป็นของเธอ
รู้ไหมคิดถึงเธอเหลือเกิน ใจเธอได้ยินไหม
Baby I Miss You

Baby I Miss You",katreeya_english
เบิร์น (Burn),/music/thailyric/604,"เปลวไฟ อันตราย อันตรายถ้าเจอน้ำมัน
ใจคน อันตราย อันตรายถ้าใจได้เจอกัน
ใจจริง จริงยังไง ใจจะจริงต้องจริงทั้งใจ
ใจเธอ ชัวร์ไม่ชัวร์ กลัวไม่กลัวถ้าเจอรักลนไฟ

ใจเธอ ลองเจอกับใจฉัน ดูไฟ จุดใส่น้ำมัน
ลองดู ลองเจอกันสักครั้ง หากเธอทนไหว

ไฟให้ระวังเอาไว้ จะเล่นกับไฟ
เตรียมหัวใจไว้ซักหน่อย
ไฟคงจะไม่ปลอดภัย เธอกล้าพอไหม
มาเข้ามาก็ขอเจอหน่อย
Burn

เปลวไฟว่ายังไง ใจน่ะไวกว่าไฟแล้วกัน
ใจใคร เจอกับใครเป็นยังไงวัดดูให้รู้กัน
ใจจริง จริงยังไง ใจจะจริงต้องจริงทั้งใจ

ใจเธอ ชัวร์ไม่ชัวร์ กลัวไม่กลัวถ้าเจอรักลนไฟ

ใจเธอ ลองเจอกับใจฉัน ดูไฟ จุดใส่น้ำมัน
ลองดู ลองเจอกันสักครั้ง หากเธอทนไหว

ไฟให้ระวังเอาไว้ จะเล่นกับไฟ
เตรียมหัวใจไว้ซักหน่อย
ไฟคงจะไม่ปลอดภัย เธอกล้าพอไหม
มาเข้ามาก็ขอเจอหน่อย
ไฟให้ระวังเอาไว้ จะเล่นกับไฟ
เตรียมหัวใจไว้ซักหน่อย
ไฟคงจะไม่ปลอดภัย เธอกล้าพอไหม
มาเข้ามาก็ขอเจอหน่อย
Burn

ใจเธอ ลองเจอกับใจฉัน ดูไฟ จุดใส่น้ำมัน
ลองดู ลองเจอกันสักครั้ง หากเธอทนไหว

ไฟให้ระวังเอาไว้ จะเล่นกับไฟ
เตรียมหัวใจไว้ซักหน่อย
ไฟคงจะไม่ปลอดภัย เธอกล้าพอไหม
มาเข้ามาก็ขอเจอหน่อย
ไฟให้ระวังเอาไว้ จะเล่นกับไฟ
เตรียมหัวใจไว้ซักหน่อย
ไฟคงจะไม่ปลอดภัย เธอกล้าพอไหม
มาเข้ามาก็ขอเจอหน่อย
Burn",katreeya_english
