song_name,href,lyric,artist
ความในใจ,/music/thailyric/78,"ความในใจ

โกรธใช่ไหมที่ฉัน ผิดคำสัญญา ทำให้เธอเสียน้ำตามากมาย
ผิดใช่ไหมที่ฉัน ทำอะไรลงไป เหมือนจงใจทำร้ายหัวใจกัน

โกรธใช่ไหมฉันรู้ เข้าใจทุกอย่าง เธอต้องช้ำต้องร้าวรานเท่าไหร่
และก็รู้วันนี้ คำว่าฉันเสียใจ ไม่มีความหมายอะไรที่สำคัญ

ทุกๆอย่างที่มันเป็น ฉันเป็นคนผิด ไม่คิดโทษใครอะไรทั้งนั้น
ไม่ต้องการที่จะขอ ให้เธออภัยให้ฉัน ก็รู้ว่ามันต้องฝืนหัวใจ

แค่อยากมาหา มองตากันสักครั้ง อยากให้ฟังอีกสักคำได้ไหม
ฉันแค่อยากบอกกับเธอ ได้โปรดรู้ไว้
ถึงความเป็นจริงจะเปลี่ยนไป แต่ความในใจของฉันเหมือนเดิม

ถึงแม้วันนี้อาจจะสายไป เราไม่อาจกลับมาคู่กัน แต่ยังยืนยันว่ารักเธอ

ทุกๆอย่างที่มันเป็น ฉันเป็นคนผิด ไม่คิดโทษใครอะไรทั้งนั้น
ไม่ต้องการที่จะขอ ให้เธออภัยให้ฉัน ก็รู้ว่ามันต้องฝืนหัวใจ

แค่อยากมาหา มองตากันสักครั้ง อยากให้ฟังอีกสักคำได้ไหม
ฉันแค่อยากบอกกับเธอ ได้โปรดรู้ไว้
ถึงความเป็นจริงจะเปลี่ยนไป แต่ความในใจของฉันเหมือนเดิม

แค่ต้องการอยากจะขอ ให้เธอรู้ไว้
ถึงความเป็นจริงจะเปลี่ยนไป อีกนานแสนนานแค่ไหนยังรักเธอ",kong_saharat
เธออยู่ไหน,/music/thailyric/82,"เพิ่งจะรู้ว่าอะไรสำคัญ คนไหนที่คนอย่างฉัน ต้องผูกพันด้วยหัวใจ
ชีวิตของฉันคนนี้ที่มีอยู่ มันจะต้องทุ่มเทให้ใครเพื่อใคร แต่เธออยู่ที่ไหนกัน

ก็ไม่รู้เราจบกันแล้วหรือเปล่า แค่ฝันร้ายเพียงชั่วคราว หรือว่าชั่วกาลนาน
ที่รู้ก็คือว่าฉันยังอยู่ อยู่ในใจทนทรมานทุกวัน เราต้องร้างไกล

เธออยู่ที่ไหนคิดถึงฉันบ้างหรือเปล่า จะเปลี่ยวจะเหงาจะเป็นเหมือนกันบ้างไหม
คนอยู่ทางนี้คิดถึงแต่เธอแต่เธอทุกลมหายใจ กลับมาหากันได้ไหมฉันรักเธอ

ได้แต่หวังว่าเรื่องมันยังไม่จบ และฉันจะยังได้พบ คนดีที่คืนย้อนมา
ก็หวังว่าคงจะมีซักวันหนึ่ง ตื่นขึ้นมาจะได้เห็นเธอในสายตา ชัดเจนเหมือนในหัวใจ

เธออยู่ที่ไหนคิดถึงฉันบ้างหรือเปล่า จะเปลี่ยวจะเหงาจะเป็นเหมือนกันบ้างไหม
คนอยู่ทางนี้คิดถึงแต่เธอแต่เธอทุกลมหายใจ กลับมาหากันได้ไหมฉันรักเธอ

ได้แต่หวังว่าเรื่องมันยังไม่จบ และฉันจะยังได้พบ คนดีที่คืนย้อนมา
ก็หวังว่าคงจะมีซักวันหนึ่ง ตื่นขึ้นมาจะได้เห็นเธอในสายตา ชัดเจนเหมือนในหัวใจ


ชัดเจนและเป็นนิรันดร์",kong_saharat
ไกลรัก,/music/thailyric/77,"ฉันจะเสนอ รักให้เธอ มั่นที่รัก
เสียงระฆัง ดังกังวาน กล่าวขับขาน
รัก จะลอยไป มอบดวงใจ ตลอดกาล
และยิ่งนาน ซื่อต่อเธอ ชั่วนิรันดร์

ฉัน บอกรักเธอ ฮืม...
เสียงเธอแสนไกล ฮืม...

ขอ บอกกับเธอ ฉันรักเธอมากกว่าใคร
ฉันจะพา รอดอำพัน ด้วยแสงจันทร์
โสม ส่องจากฟ้า ละอองพา ชื่นชวนชม
สองภิรมย์ ต่อคำหวาน ตราบชั่วนาน

ฉัน บอกรักเธอ ฮืม...
เสียงเธอแสนไกล ฮืม...

รัก จะลอยไปถึงดวงใจที่ขอบฟ้า
ขอเธอมา อยู่กับฉัน พรอดรักกัน
ฉัน มอบเสมอ รักให้เธอมั่นที่รัก
ขอระฆังดังกังวาน กล่าวขับขาน

ฉันรัก

รัก จะลอยไปถึงดวงใจที่ขอบฟ้า
ขอเธอมา อยู่กับฉัน พรอดรักกัน
ฉัน มอบเสมอ รักให้เธอมั่นที่รัก
ขอระฆังดังกังวาน กล่าวขับขาน",kong_saharat
หลอก,/music/thailyric/83,"แอบรักเขาใช่ไหม แอบหวงเขาใช่ไหม
แอบมีความในใจ เก็บไว้ตลอดเวลา โดยไม่รู้ตัว

อิจฉาเขาทุกครั้ง ที่เห็นเขาทั้งสอง
เฝ้าคอยดูแลกัน อยู่ใกล้เป็นห่วงเป็นใย ใจฉันร้อนรน

อยากไปแทนใครบางคนที่อยู่เคียงข้างเธอ แต่ดูเหมือนเรายิ่งอยู่ห่างกันแสนไกล
อยากจะมีบางเวลาได้ปรับความเข้าใจ และอยากจะถาม

หลอกตัวเองไปทำไม หลอกกันเองไปทำไม เมื่อรู้ว่าในใจเรารักกัน
อยู่ห่างกันไปทำไม เมื่อในใจนั้นต้องการ ได้รับความอ่อนหวานดังเดิม

เหมือนคืนและวันที่ผ่านมา

ที่ผ่านมาฉันยอมฉันทำผิดไป
ก็อยากจะให้ราเริ่มใหม่อีกสักครั้ง

อิจฉาเขาทุกครั้ง ที่เห็นเขาทั้งสอง
เฝ้าคอยดูแลกัน อยู่ใกล้เป็นห่วงเป็นใย ใจฉันร้อนรน

อยากไปแทนใครบางคนที่อยู่เคียงข้างเธอ แต่ดูเหมือนเรายิ่งอยู่ห่างกันแสนไกล
อยากจะมีบางเวลาได้ปรับความเข้าใจ และอยากจะถาม

หลอกตัวเองไปทำไม หลอกกันเองไปทำไม เมื่อรู้ว่าในใจเรารักกัน
อยู่ห่างกันไปทำไม เมื่อในใจนั้นต้องการ ได้รับความอ่อนหวานดังเดิม


อิจฉาเขาทุกครั้ง ที่เห็นเขาทั้งสอง
เฝ้าคอยดูแลกัน อยู่ใกล้เป็นห่วงเป็นใย ใจฉันร้อนรน

อยากไปแทนใครบางคนที่อยู่เคียงข้างเธอ แต่ดูเหมือนเรายิ่งอยู่ห่างกันแสนไกล
อยากจะมีบางเวลาได้ปรับความเข้าใจ และอยากจะถาม

หลอกตัวเองไปทำไม หลอกกันเองไปทำไม เมื่อรู้ว่าในใจเรารักกัน
อยู่ห่างกันไปทำไม เมื่อในใจนั้นต้องการ ได้รับความอ่อนหวานดังเดิม

เหมือนคืนและวัน ที่แล้วมา",kong_saharat
ใจรัก,/music/thailyric/80,"เมื่อดวงใจมีรัก ดั่งเจ้านกโผบิน บินไปไกลแสนไกล
หัวใจฉันก็ลอยลิบไป ถึงแดนดินถิ่นใดนะใจ โอ้ดวงใจเจ้าเอ๋ย

เมื่อต่างเราก็รัก จักเกรงกลัวฉันใด ใจเรานั้นแน่นอน
ขอให้เธอมั่นใจรักจริง รักเธอจริงแน่ใจขอวอน ก่อนตัดใจร้างลา

โอ้ใจรักเธอ คิดถึงเธอ เฝ้าครวญหา
โอ้ใจนะเออ ใยละเมอ ถึงเธอร่ำไป

เมื่อดวงใจมีรัก มอบแด่ใครสักคน หมดทุกห้องหัวใจ
ขอให้เธอมั่นใจรักจริง ฉันจะยอมมอบกายพักพิง แอบแนบอิงนิรันดร์

โอ้ใจรักเธอ คิดถึงเธอ เฝ้าครวญหา
โอ้ใจนะเออ ใยละเมอ ถึงเธอร่ำไป

เมื่อดวงใจมีรัก มอบแด่ใครสักคน หมดทุกห้องหัวใจ
ขอให้เธอมั่นใจรักจริง ฉันจะยอมมอบกายพักพิง แอบแนบอิงนิรันดร์

ฉันจะยอมมอบกายพักพิง แอบแนบอิงนิรันดร์",kong_saharat
ได้ไหม,/music/thailyric/81,"ได้ไหม


จะให้อภัยได้ไหมให้ใครคนนึง ที่ทำให้เธอเหนื่อยหัวใจ
ใครสักคนที่เธอรัก และคิดร่วมวันฝันใฝ่ แต่เหมือนใจร้ายกว่าใครทุกคน

เธอให้อภัยได้ไหมให้คนๆนึง หนึ่งคนที่กำลังทุกทน
ที่ต้องทำให้เธอช้ำ ทำให้เธอหมองหม่น ทั้งที่รักเธอจนแทบจะขาดใจ

เข้าใจเสมอ ถ้าเธอโกรธฉัน ที่ทำกับเธอวันนั้นฉันเองก็ยังเสียใจ
เข้าใจเสมอ ถ้าเธอไม่คิดให้อภัย ฉันก็คงโชคร้ายกว่าใครทุกคน

ได้โปรดสบตากับฉันเหมือนวันเดิมๆ ได้โปรดอย่าเพิ่งเมินหมางไป
อยากให้เธอเข้าใจฉัน และพร้อมร่วมวันฝันใฝ่ บอกฉันได้ไหมว่าเธอก็ยังเหมือนเดิม

เข้าใจเสมอ ถ้าเธอโกรธฉัน ที่ทำกับเธอวันนั้นฉันเองก็ยังเสียใจ
เข้าใจเสมอ ถ้าเธอไม่คิดให้อภัย ฉันก็คงโชคร้ายกว่าใครทุกคน

ได้โปรดสบตากับฉันเหมือนวันเดิมๆ ได้โปรดอย่าเพิ่งเมินหมางไป
อยากให้เธอเข้าใจฉัน และพร้อมร่วมวันฝันใฝ่ บอกฉันได้ไหมว่าเธอก็ยังเหมือนเดิม

อยากให้เธอเข้าใจฉัน และพร้อมร่วมวันฝันใฝ่ บอกฉันได้ไหมว่าเราจะยังรักกัน",kong_saharat
ความรักเข้ามาเมื่อไหร่,/music/thailyric/79,"อยู่ตัวคนเดียว อยู่เป็นโสดมาตั้งนาน
ฉันคิดว่าฉันเป็นสุขดี
ไม่ต้องคอยเอาใจใคร ใช้ชีวิตได้เต็มที่
ไม่ต้องมีความรักก็ไม่ตาย

แต่วันคืนไม่เป็นใจ ชอบพาใครเดินเข้ามา
ทำใจชาๆต้องหวั่นไหว
เธอเข้ามาชวนทะเลาะ เข้ามาทำความวุ่นวาย
และมาทำให้ใจหนึ่งใจคิดถึงเธอ

ดอกไม้มันบานเมื่อไหร่ ฉันไม่เคยจะรู้
ความรักมันย้ายมาอยู่ในใจเมื่อไหร่
เธอนะเธอคนเดียว เข้ามาทำให้ฉันเปลี่ยนไป
จากนี้จนตาย คงอยู่คนเดียวไม่ได้แล้ว
(อยากอยู่ใกล้ๆเธอ)

เธอก็ตัวคนเดียว อยู่เป็นโสดมาตั้งนาน
เราลองมารักกันดีไหม
เราจะคอยดูแลกัน เธอกับฉันใจแลกใจ
ให้คุยกันก็มีแต่เรื่องดีๆ

ดอกไม้มันบานเมื่อไหร่ ฉันไม่เคยจะรู้
ความรักมันย้ายมาอยู่ในใจเมื่อไหร่
เธอนะเธอคนเดียว เข้ามาทำให้ฉันเปลี่ยนไป
จากนี้จนตาย คงอยู่คนเดียวไม่ได้แล้ว
(อยากอยู่ใกล้ๆเธอ)

ดอกไม้มันบานเมื่อไหร่ ฉันไม่เคยจะรู้
ความรักมันย้ายมาอยู่ในใจเมื่อไหร่
เธอนะเธอคนเดียว เข้ามาทำให้ฉันเปลี่ยนไป
จากนี้จนตาย คงอยู่คนเดียวไม่ได้แล้ว
(อยากอยู่ใกล้ๆเธอ)

อยากอยู่ใกล้ๆเธอ
อยากอยู่ใกล้ๆเธอ",kong_saharat
ฉันจะดูแลเธอ,/music/thailyric/9871,"วันนี้ฝนตก คางคกร้องเพลง
ตัวฉันคนนี้เองที่เฝ้ารอด้วยหัวใจ

ฉันจะดูแลเธอเอง ฉันจะดูแลเธอเสมอไป
ฉันจะดูแลเธอด้วยหัวใจ ให้เธออบอุ่น

ฟ้าครึ้มฝนพรำ พายุโหมกระหน่ำ
เหนื่อยล้าหรือหนาวสั่น
ให้ฉันเองจะคอยดูแลเสมอไป

ฉันจะดูแลเธอเอง ฉันจะดูแลเธอเสมอไป
ฉันจะดูแลเธอด้วยหัวใจ ให้เธออบอุ่น

เคยมีบางครั้งที่ฉันเฝ้ารอเก้อ
และมีบางครั้งที่ฉันต้องทนเบื่อ
แต่เมื่อเจอหน้าเธอ ทุกอย่างก็เริ่มดี
และรู้สึกดี เหมือนโลกมันเปลี่ยนไป

ฉันจะดูแลเธอเอง ฉันจะดูแลเธอเสมอไป
ฉันจะดูแลเธอด้วยหัวใจ ให้เธออบอุ่น

อยากให้เธอรู้ว่าฉันจะอยู่เคียงใกล้
ไม่ว่าวันไหนไม่เคยจะเปลี่ยนผัน
จะดูแลเสมอให้เธอยิ้มได้ทุกวัน ฉันจะดูแลเธอเอง

เพราะฉันมีเธออยู่ในใจ เพราะฉันมีเธออยู่เสมอไป
เพราะทุกสิ่งในหัวใจให้เธอคนเดียว

เพราะฉันมีเธออยู่ในใจ เพราะฉันมีเธออยู่เสมอไป
เพราะทุกสิ่งในหัวใจให้เธอคนเดียว",kong_saharat
มีแต่รัก,/music/thailyric/16519,"ถ้าฉันเป็นนักเขียน ฉันจะแต่งเรื่องของเธอ
ถ้าฉันเป็นจิตรกร ฉันคงจะวาดรูปให้เธอ
แต่ฉันเป็นคนๆ นี้ ที่ไม่เก่ง ไม่เลิศเลอ
ฉันจึงรักเธอ และรักเธอ และรักเธอ ให้มากขึ้นทุกวัน

ถ้าฉันมีเวทย์มนต์ เป็นผู้วิเศษในนิทาน
ฉันจะเสกของขวัญ เอาดาวดวงนั้น มาให้เธอ
แต่ฉันเป็นคนคนนี้ ธรรมดาไม่เลิศเลอ
ฉันจึงรักเธอ และรักเธอ และรักเธอ ให้มากขึ้นทุกวัน

ฉันจะทำ และฉันจะทำ ให้รักของเราเป็นเหมือนวิมาน
ให้เท่าเทียมสวรรค์บันดาล ด้วยมือของฉัน
ฉันจะมีความรักให้เธอ ตลอดกาลนิรันดร์
อยู่ในอ้อมแขนอุ่นๆ ที่กอดเธอทุกคืน

ถ้าฉันเป็นเจ้าชาย แม้มันเป็นไปไม่ได้
เธอยังจะเป็นเจ้าหญิง สำหรับฉันตลอดไป
ไม่ว่าช่วงชีวิตนี้ จะนานสักเท่าไร
ฉันจะรักเธอ และรักเธอ และรักเธอ จะรักเธอคนเดียว

ถ้าฉันเป็นนักเขียน ฉันจะแต่งเรื่องของเธอ
ถ้าฉันเป็นจิตรกร ฉันคงจะวาดรูปให้เธอ
แต่ฉันเป็นคนๆ นี้ ที่ไม่เก่ง ไม่เลิศเลอ

ถ้าฉันเป็นเจ้าชาย แม้มันเป็นไปไม่ได้
เธอยังจะเป็นเจ้าหญิง สำหรับฉันตลอดไป
ไม่ว่าช่วงชีวิตนี้ จะนานสักเท่าไร
ฉันจะรักเธอ และรักเธอ และรักเธอ จะรักเธอคนเดียว",kong_saharat
รักคือความเชื่อใจ,/music/thailyric/9272,"ในทางเดินของเรา จะไปได้ไกลเพียงไหน
อาจจะเคยตั้งคำถามใจ ในวันที่เรามีกัน
ฉันรู้แค่เพียงมีความเชื่อใจเท่านั้น
เชื่อในใจทุกสิ่งอัน ที่เราพูดเราเป็น

ความรักคือความไว้ใจ นี่คือสิ่งที่ฉันเห็น
เชื่อในกันกันเละกัน และเป็น เป็นอย่างที่เป็นมา
ไม่ต้องแสดง แสร้งเป็นคนดี ดีเกินกว่า
ฉันรักเธอตลอดมาในสิ่งที่เธอทำ

เธอเชื่อใจฉันไหมในคำนั้น ในคำพูดฉันทุกคำ
เธอเชื่อใจฉันไหมในสิ่งนั้น สิ่งที่ฉันทำมันเรื่อยมา
เธอเชื่อบ้างไหมว่าใจฉันมี ความหวังดีให้เธอทุกเวลา
สิ่งที่ตัวฉันเองฟันฝ่า ก็เพื่อฝันที่มีร่วมกัน

ผิดพลั้งยังไง แต่หากว่าเรามีความเข้าใจ
รักยังอภัย ก็ด้วยเหตุผลของคำว่ารัก
เมื่อมีความรักจริงใจ ไม่มีว่าน้อยหรือว่ามาก
รักก็คือรัก รักคือความเชื่อใจ",kong_saharat
