song_name,href,lyric,artist
ต่างใจเดียว,/music/thailyric/5098,"บอกรัก ทำเป็นไม่รู้ ฉันบอกนก
เธอบอกว่าไม้ ฉันเลือกซ้าย
เธอว่าทางขวา ดีกว่าไหม
บอกร้อน เธอบอกว่าหนาว
ฉันตื่นสาย เธอให้ตื่นเช้า
ฉันหยุดแล้ว เธอหละ จะรีบไปไหน

(รู้อยู่ว่าใจนะใจไม่เคยเหนื่อย ใจนะใจไม่เคยเบื่อกัน)
(เราบางทีแม้จะต่าง เราจูงมือไม่เคยห่าง เรามีเราแค่เธอกับฉัน)

ต่างแค่ไหนสองใจก็ อยู่ข้างกัน
เรายังไปด้วยกัน แม้วันคืนจะหมุนไป
นานแค่ไหนสองเราก็อยู่ข้างกัน
เรายังไปด้วยกัน ก็เพราะว่าเรา...ต่างใจเดียว

ขอบฟ้า เธอว่าขอบน้ำ ฉันชอบสวน
เธอชอบสยาม ฉันชอบซื้อ เธอบอกไม่ซื้อดีกว่าไหม
มาช้า เธอก็ไม่ชอบรอ มาแล้วเธอก็ ทำหน้างอ
อยากซึ้ง เธอกลับไม่ซึ้งเลยนะ

(รู้อยู่ว่าใจนะใจไม่เคยเหนื่อย ใจนะใจไม่เคยเบื่อกัน)
(เราบางทีแม้จะต่าง เราจูงมือไม่เคยห่าง เรามีเราแค่เธอกับฉัน)

ต่างแค่ไหนสองใจก็ อยู่ข้างกัน เ
รายังไปด้วยกัน แม้วันคืนจะหมุนไป
นานแค่ไหนสองเราก็อยู่ข้างกัน
เรายังไปด้วยกัน ถึงแม้ว่าเราต่าง...

ต่างแค่ไหนสองใจก็ อยู่ข้างกัน
เรายังไปด้วยกัน แม้วันคืนจะหมุนไป
นานแค่ไหนสองเราก็อยู่ข้างกัน
เรายังไปด้วยกัน ก็เพราะว่าเรา...ต่างใจเดียว",la_ong_fong
เธอกับฉัน,/music/thailyric/5099,"กลิ่นหอม ของกุหลาบขาวนี่ไง
กลิ่นหอมจับใจ
กลิ่นหอม หอมสักเพียงไหน
ยังต้องการแรงลมพัดพากลิ่นไป
จันทร์ฉาย ทอทาบอยู่บนฟ้าไกล
เฉิดโฉมกว่าใคร
จันทร์ฉาย งามจะสักเพียงไหน
ยังมีดาวเรียงรายให้เจ้างาม
เดือนดูเด่นเกินดาวล้านดวงจับใจ

เธอกับฉัน เราพึ่งกัน
ยอมเป็นดั่งถนนเพื่อคนหนึ่ง
รักเราจึง ถึงฝั่งที่ฝัน
เธอกับฉัน ดาวกับจันทร์
เสริมและส่งกันไว้ไม่มีวัน
ร้างและราไกลกัน ชั่วกาล

ฟองขาว เกลียวคลื่นทอดยาวแสนไกล
หยอกล้อหาดทราย
ทรายขาว เจ้างามสักเพียงไหน
ดวงตะวันยังทอแสงทาบส่ง
ละอองฟอง ประกายน้ำงามจับใจ

เธอกับฉัน เราพึ่งกัน
ยอมเป็นดั่งถนนเพื่อคนหนึ่ง
รักเราจึง ถึงฝั่งที่ฝัน
เธอกับฉัน ดาวกับจันทร์
เสริมและส่งกันไว้ไม่มีวัน
ร้างและลาไกลกัน ชั่วกาล",la_ong_fong
เมสเสจรัก,/music/thailyric/5101,"ต่อสายส่งเมสเสจถึง ใจฉันสั่น
ฝากรักผ่านสายส่งถึง ใจฉันหวั่น
จับรักผูกสายกดถึง ส่งให้เธอ
กดรับเปิดเมสเสจ ฉันคงละลาย

บอกฉันบอก ให้รู้ 
ถ้าหัวใจมีกันอยู่ ช่วยส่งตอบกลับมา
ตอบช่วยตอบ ได้ไหม 
อย่าให้ฉันคอยเก้อ เฝ้าหลงละเมอ เพ้ออยู่ผู้เดียว

คอยสายตอบเมสเสจถึง ใจฉันสั่น
รอรับตอบสายบอกรัก ใจฉันหวั่น
หากรักติดสายก่อนถึง คงละเมอ
ปิดรับจบเมสเสจ ฉันคงละลาย

บอกฉันบอก ให้รู้ 
ถ้าหัวใจมีกันอยู่ ช่วยส่งตอบกลับมา
ตอบช่วยตอบ ได้ไหม 
อย่าให้ฉันคอยเก้อ เฝ้าหลงละเมอ เพ้ออยู่ผู้เดียว

บอกฉันบอก ให้รู้ 
ถ้าหัวใจมีกันอยู่ ช่วยส่งตอบกลับมา
ตอบช่วยตอบ ได้ไหม 
อย่าให้ฉันคอยเก้อ เฝ้าหลงละเมอ เพ้ออยู่ผู้เดียว",la_ong_fong
ลอง,/music/thailyric/5102,"จ้องมองอย่างเดียวจ้องมองอย่างนั้นกันทำไม
แค่เพียงสบตาแค่เพียงส่งยิ้มก็เข้าใจ

รักจะเบ่งบาน ก็ต้องมีดอกไม้มาให้กัน
นั่งรออยู่นานก็ไม่เอาดอกไม้มาให้ฉัน

เก็บตัวเกินไปหรือเปล่า เก็บใจเธอไว้ให้กับใคร
เปิดใจเธอเองซักที
รอเธอนะคนดี รออยู่นะ

ลองส่งยิ้มให้กันหน่อย ฉันคอยอยู่
มีดอกไม้ให้ซักหน่อย ลัล ลัล ลา..

ลองส่งยิ้มให้กันหน่อย ฉันคอยอยู่
มีดอกไม้ให้ซักหน่อย ลัล ลัล ลา..

รักจะเบ่งบาน ก็ต้องมีดอกไม้มาให้กัน
นั่งรออยู่นานก็ไม่เอาดอกไม้มาให้ฉัน

เก็บตัวเกินไปหรือเปล่า เก็บใจเธอไว้ให้กับใคร
เปิดใจเธอเองซักที
รอเธอนะคนดี รออยู่นะ

ลองส่งยิ้มให้กันหน่อย ฉันคอยอยู่
มีดอกไม้ให้ซักหน่อย ลัล ลัล ลา..

ลองส่งยิ้มให้กันหน่อย ฉันคอยอยู่
มีดอกไม้ให้ซักหน่อย ลัล ลัล ลา..

ลัล ลัล ลา..",la_ong_fong
คิด (Miss),/music/thailyric/10026,"ทุกครั้งที่เจออะไรดีๆ ก็ทำให้ใจนั้นเคลิ้มไป
ท้องฟ้ามีเมฆลอยไปตามลม และน้ำทะเลก็ซัดทราย
นกน้อยโบยบิน ลงมาวนเวียน อยู่เคียงกับเราไม่เหงาใจ
ทุกครั้งที่มีอารมณ์ดีๆ จะมองเหม่อไปสุดฟ้าไกล

สิ่งดีๆ ที่มีรอบกาย ขาดก็เพียงแต่คนรู้ใจ โฮว

ก็ได้แต่คิด ไม่มีเลยสักนิด
หัวใจเฝ้าคอยแต่ใครคนนั้น
คิดข้างเดียว คิดข้างเดียวไปแล้วกัน
ปล่อยใจลอยไปในความฝัน
เธอจะอยู่ไหน จะอยู่ไกลสุดฟ้า
กระซิบลมเบาๆ ฝากบอกว่าฉัน
อยากพบเธอ อยากอยู่ใกล้เธอทุกๆ วัน
ไม่รู้ว่าใครสักคนนั้น จะมีจริงใช่ไหม

ต้นไม้สะท้อนเงาในลำธาร แดดทอประกายรุ้งงดงาม จับหัวใจ
ฉันเห็นดอกไม้กำลังจะบาน อยู่ใต้กังหันที่หมุนไป

สิ่งดีๆ ที่มีรอบกาย ขาดก็เพียงแต่คนรู้ใจ โฮว

ก็ได้แต่คิด ไม่มีเลยสักนิด
หัวใจเฝ้าคอยแต่ใครคนนั้น
คิดข้างเดียว คิดข้างเดียวไปแล้วกัน
ปล่อยใจลอยไปในความฝัน
เธอจะอยู่ไหน จะอยู่ไกลสุดฟ้า
กระซิบลมเบาๆ ฝากบอกว่าฉัน
อยากพบเธอ อยากอยู่ใกล้เธอทุกๆ วัน
ไม่รู้ว่าใครสักคนนั้น จะมีจริงใช่ไหม

[ภาษาญี่ปุ่น]

ก็ได้แต่คิด ไม่มีเลยสักนิด
หัวใจเฝ้าคอยแต่ใครคนนั้น
คิดข้างเดียว คิดข้างเดียวไปแล้วกัน
ปล่อยใจลอยไปในความฝัน
เธอจะอยู่ไหน จะอยู่ไกลสุดฟ้า
กระซิบลมเบาๆ ฝากบอกว่าฉัน
อยากพบเธอ อยากอยู่ใกล้เธอทุกๆ วัน
ไม่รู้ว่าใครสักคนนั้น
มีจริงใช่ไหม จริงใช่ไหม
จะมีจริงใช่ไหม มีจริงใช่ไหม
มีจริงใช่ไหม",la_ong_fong
ลืมได้แล้ว,/music/thailyric/10212,"พยายามห้ามใจ ห้ามเท่าไรไม่ไหว
ตั้งแต่รู้ว่าเธอ ไม่ได้รักฉันจริง
ยังคงรักเธอ เธอจะได้ยินไหม
จะเหนี่ยวรั้งเท่าไร สุดท้ายก็ต้องถูกทิ้ง

บอกกับตัวเอง ฉันต้องบอกใจตัวเอง
ยิ่งปล่อยเอาไว้นาน ยิ่งทนไม่ไหว
ภาพแห่งความหลัง มันเจ็บลึกซะเกินบรรยาย
ไม่อยากจะทรมาน มากไปกว่านี้

บอกใจให้ลืม ได้แล้ว
เรื่องวันวานที่ผ่านมานั้น ไม่อยากจะจำให้มีน้ำตา
ลืม เธอได้แล้ว จะยื้อยังไง เธอก็ไม่คิดที่จะกลับมา

ไม่มีสักวัน ที่จะไม่คิดถึง ยิ่งลืมยิ่งจำ ตอกย้ำในใจเรื่อยมา

บอกกับตัวเอง ฉันต้องบอกใจตัวเอง
ยิ่งปล่อยเอาไว้นาน ยิ่งทนไม่ไหว
ภาพแห่งความหลัง มันเจ็บลึกซะเกินบรรยาย
ไม่อยากจะทรมานมากไปกว่านี้

บอกใจให้ลืม ได้แล้ว
เรื่องวันวานที่ผ่านมานั้น ไม่อยากจะจำให้มีน้ำตา
ลืม เธอได้แล้ว จะยื้อยังไง เธอก็ไม่คิดที่จะกลับมา

บอกกับตัวเอง ฉันต้องบอกใจตัวเอง
ยิ่งปล่อยเอาไว้นาน ยิ่งทนไม่ไหว
ภาพแห่งความหลัง มันเจ็บลึกซะเกินบรรยาย
ไม่อยากจะทรมาน มากไปกว่านี้

บอกใจให้ลืม ได้แล้ว
เรื่องวันวานที่ผ่านมานั้น ไม่อยากจะจำให้มีน้ำตา
ลืม เธอได้แล้ว จะยื้อยังไง เธอก็ไม่คิดที่จะกลับมา

จะยื้อยังไง จะรั้งยังไง จะยื้อยังไง เธอก็ไม่คิด ที่จะกลับมา",la_ong_fong
ฝันลำเอียง,/music/thailyric/5100,"อยากข่มตานอนทั้งคืน
แล้วฝันถึงกัน ไม่อยากตื่นพบใคร
อยากนอนอยู่ร่ำไป อย่างนี้ทั้งคืน

จะหยุดเวลาไว้ฝัน ได้ไหมนะเออ
จิตใจเราต้องกัน ผูกพันแต่แรกเจอ
ต่างคนต่างรู้ดี

แต่ฝันลำเอียง ไม่เหมือนความจริง
ทิ้งเราให้หลง (ในภวังค์)
เจอะกันเพียงครั้งเดียว
พูดกันเพียงแป๊บเดียว ยังมิพอ

อยากเหมือนในฝัน สุขนั้นเกินพอ
สองเรายั่วเย้า (พนอ)
อยากเจอกันครั้งใด หลับตาลงฝันใฝ่ส่งใจถึงกัน

จะหยุดเวลาไว้ฝัน ได้ไหมนะเออ
จิตใจเราต้องกัน ผูกพันแต่แรกเจอ
ต่างคนต่างรู้ดี

แต่ฝันลำเอียง ไม่เหมือนความจริง
ทิ้งเราให้หลง (ในภวังค์)
เจอะกันเพียงครั้งเดียว
พูดกันเพียงแป๊บเดียว ยังมิพอ

อยากเหมือนในฝัน สุขนั้นเกินพอ
สองเรายั่วเย้า (พนอ)
อยากเจอกันครั้งใด หลับตาลงฝันไป
อยากเจอกันครั้งใด หลับตาลงฝันไป
ส่งใจถึงกัน ส่งใจถึงกัน ส่งใจถึงกัน

ส่งใจถึงกัน",la_ong_fong
กอดเธอได้ไหม,/music/thailyric/9040,"ในค่ำคืนนี้ช่างเหน็บหนาว
แต่ดาวบนฟ้า ยังสดใส
แค่อยากจะรู้ว่าข้างในหัวใจของเธอ
นั้นมีใครอยู่ข้างใน มีเธอกับฉันในคืนนี้
จิตใจของฉันเริ่มสั่นไหว แค่อยากจะได้
ไออุ่นรักของคนข้างกายที่มีใจให้กับฉัน

แค่อยากจะขอ เรื่องเดียวเธอรู้สึก
เหมือนฉันบ้างไหม ฉันขอสัญญา
จะขอให้สัญญา จะไม่ทำให้เธอวุ่นวายใจ

ขอกอดเธอได้ไหม กอดเธอตรงนี้
ในที่ๆ เราสอง จะประคองรักที่มี
ให้เธอได้รู้สึก อบอุ่นในหัวใจ
ไม่อยากจะให้ใคร มาพรากเราทั้งสองคน

ขอกอดเธอได้ไหม กอดเธอตรงนี้
ในที่ๆ เราสองจะประคองรักที่มี
แค่อยากจะรู้สึก อบอุ่นในหัวใจ
ไม่อยากจะให้ใคร มาพรากเราไปเลย

ดูเมฆบนฟ้าเริ่มเปลี่ยนสี
แล้วเธอคนนี้  หล่ะเปลี่ยนไหม
จิตใจของฉันไม่หวั่นไหว
เพราะในหัวใจโอ้ใจมีแต่เธอ

แค่อยากจะขอ เรื่องเดียวเธอรู้สึก
เหมือนฉันบ้างไหม ฉันขอสัญญา
จะขอให้สัญญา จะไม่ทำให้เธอวุ่นวายใจ

ขอกอดเธอได้ไหม กอดเธอตรงนี้
ในที่ๆ เราสอง จะประคองรักที่มี
ให้เธอได้รู้สึก อบอุ่นในหัวใจ
ไม่อยากจะให้ใคร มาพรากเราทั้งสองคน

ขอกอดเธอได้ไหม กอดเธอตรงนี้
ในที่ๆ เราสองจะประคองรักที่มี
แค่อยากจะรู้สึก อบอุ่นในหัวใจ
ไม่อยากจะให้ใคร มาพรากเราไปเลย


แค่อยากจะขอ เรื่องเดียวเธอรู้สึก
เหมือนฉันบ้างไหม ฉันขอสัญญา
จะขอให้สัญญา จะไม่ทำให้เธอวุ่นวายใจ

ขอกอดเธอได้ไหม กอดเธอตรงนี้
ในที่ๆ เราสอง จะประคองรักที่มี
ให้เธอได้รู้สึก อบอุ่นในหัวใจ
ไม่อยากจะให้ใคร มาพรากเราทั้งสองคน

ขอกอดเธอได้ไหม กอดเธอตรงนี้
ในที่ๆ เราสองจะประคองรักที่มี
แค่อยากจะรู้สึก อบอุ่นในหัวใจ
ไม่อยากจะให้ใคร มาพรากเราไปเลย

กอดเธอได้ไหม ลันลา
ขอกอดเธอได้ไหม ลันลา
แค่อยากจะรู้สึกอบอุ่นในหัวใจ
ไม่อยากจะให้ใครมาพรากเราไปเลย",la_ong_fong
โซ อิน เลิฟ (So In Love),/music/thailyric/8903,"มกราเริ่มต้นวันใหม่
แรกวันที่ได้พบเธอ
เดือนกุมภายิ่งพบยิ่งเจอ
ยิ่งแปลกข้างในหัวใจ

พอมีนาฉันเริ่มรู้สึก สั่นๆ ลึกๆ ข้างใน
เดือนเมษา มันร้อนเหลือเกิน
อยากมีเธอเดินข้างกาย

ตั้งแต่ได้พบกัน เธอทำให้ฉันรอ
รอนับวันที่เจอ
เวลาเดินช้าไป เมื่อไม่ได้พบเธอ
Im so in love with you you
so in love with you you

กรกฎาฝนเริ่มร่วงหล่น
ขาดคนลุยฝนด้วยกัน
ธันวาคมมันหนาวจนสั่น
ยื่นมือมากอดฉันที

เธออยู่ในทุกวัน เธออยู่ในทุกเดือน
เหมือนเจ้าของหัวใจ
มั่นใจเลยแล้วกัน ก็บอกคำนี้ไป
Im so in love with you
you รักเธอ รักเธอ
so in love with you you
Im in love with you

ซ่อนไว้นั้นคงไม่ดีนะ เก็บไว้นั้นคงไม่ดีนะ
มันห้ามไว้ไม่อยู่ บอกรักนั้นคงไม่ยากนัก
รักนั้นคงไม่ยากนัก ใจมันห้ามไม่ไหว

เธออยู่ในทุกวัน เธออยู่ในทุกเดือน
เหมือนเจ้าของหัวใจ
มั่นใจเลยแล้วกัน ก็บอกคำนี้ไป
Im so in love with you you รักเธอ รักเธอ
so in love with you  you  รักเธอ รักเธอ
so in love with you  you  รักเธอ รักเธอ
so in love with you you
Im in love with you

ซ่อนไว้นั้นคงไม่ดีนะ เก็บไว้นั้นคงไม่ดีนะ
มันห้ามไว้ไม่อยู่ บอกรักนั้นคงไม่ยากนัก
รักนั้นคงไม่ยากนัก ใจมันห้ามไม่อยู่

ซ่อนไว้นั้นคงไม่ดีนะ เก็บไว้นั้นคงไม่ดีนะ
มันห้ามไว้ไม่อยู่ บอกรักนั้นคงไม่ยากนัก
รักนั้นคงไม่ยากนัก ใจมันห้ามไม่ไหว",la_ong_fong
อะไร (What),/music/thailyric/8365,"อะไรที่ฉันต้องการ
อะไรที่ฉันเฝ้ารอ
อะไรที่ไม่เคยจะขอเลย

อะไรที่ฉันต้องการ
อะไรที่ไม่เคยเอ่ย
อะไรที่จำเป็นกว่าทุกอย่าง

เธอไงที่ฉันต้องการ
คือเธอไม่ใช่คนอื่น
คนเดียวที่ฉันรักหมดหัวใจ

อะไรก็ไม่ต้องการ
อะไรก็ไม่อยากได้
เพียงเธอ ขอแค่เธออยู่ด้วยกัน

เธอคงอาจไม่รู้ ว่าสิ่งสำคัญ
(ในเวลานี้ที่มีเธอ)
คือการที่เราสอง ได้อยู่ด้วยกัน
อย่างนี้ เหมือนอย่างนี้

อยากให้เธอรู้ว่า แค่อยู่กับเธอ
หัวใจของฉันนั้นขอแค่เพียงแต่เธอ
เดินจูงมือกับเธอก็พอ

อยากให้เธอรู้ว่า แค่อยู่กับเธอ
หัวใจของฉันนั้นขอแค่เพียงแต่เธอ
แค่เธอก็พอ จำจำไว้นะเธอ

ดวงดาวหรือว่าดวงจันทร์
ของขวัญหรือก็ไม่ต้อง
เงินทองจะสำคัญสักเท่าไร

อะไรก็ไม่เลิศเลอ
สู้เธอของฉันไม่ได้
เพียงเธอ ขอแค่เธออยู่ด้วยกัน

เธอคงอาจไม่รู้ ว่าสิ่งสำคัญ
(ในเวลานี้ที่มีเธอ)
คือการที่เราสอง ได้อยู่ด้วยกัน
อย่างนี้ เหมือนอย่างนี้

อยากให้เธอรู้ว่า แค่อยู่กับเธอ
หัวใจของฉันนั้นขอแค่เพียงแต่เธอ
เดินจูงมือกับเธอก็พอ

อยากให้เธอรู้ว่า แค่อยู่กับเธอ
หัวใจของฉันนั้นขอแค่เพียงแต่เธอ
แค่เธอก็พอ จำจำไว้นะเธอ

อยากให้เธอรู้ว่า แค่อยู่กับเธอ
หัวใจของฉันนั้นขอแค่เพียงแต่เธอ
เดินจูงมือกับเธอก็พอ

อยากให้เธอรู้ว่า แค่อยู่กับเธอ
หัวใจของฉันนั้นขอแค่เพียงแต่เธอ
แค่เธอก็พอ แค่เธอเท่านั้น จำจำไว้นะเธอ",la_ong_fong
