song_name,href,lyric,artist
191,/music/thailyric/5127,"ขออภัยวันนี้ที่ผมโทรมารบกวน เพราะผมมีเหตุร้ายเหตุด่วนต้องขอแจ้งความ
ผมสิ้นไร้หนทาง ฝากหมวดช่วยติดตามให้ที
ผมโดนคนหนึ่งคนขโมยสิ่งของสำคัญ ของสำคัญสิ่งนั้นก็คือใจผมคนนี้
ได้แล้วหายทันที ฝากคุณพี่ช่วยทีละกัน

รูปร่างพอดีคิ้วโด่งดำหน้าตางาม เธอชอบพูดคำนั่งขำพูดซ้ำๆว่ารัก
จับเธอด้วยหมวดช่วยจับหน่อย อย่าปล่อยให้เธอลอยนวล
อย่าให้เธอเที่ยวไปก่อกวน ฉุดดวงใจของใครต่อใคร โว้ว..
จับเธอแล้วหมวดช่วยส่งข่าว จะเอาของกลางกลับมา
คนใจร้ายหนีไปไม่ลา หมวดช่วยค้นหาเธอให้ที โว้ว...

ผมไม่คิดไม่ฝันว่าเธอจะทำกันได้ เพราะรักเธอจึงหลงไว้ใจเลยเป็นอย่างงี้
เห็นน่าตาดีๆเธอไม่น่าหลอกกันได้ลง

รูปร่างพอดีคิ้วโด่งดำหน้าตางาม เธอชอบพูดคำนั่งขำพูดซ้ำๆว่ารัก
จับเธอด้วยหมวดช่วยจับหน่อย อย่าปล่อยให้เธอลอยนวล
อย่าให้เธอเที่ยวไปก่อกวน ฉุดดวงใจของใครต่อใคร โว้ว..
จับเธอแล้วหมวดช่วยส่งข่าว จะเอาของกลางกลับมา
คนใจร้ายหนีไปไม่ลา หมวดช่วยค้นหาเธอให้ที โว้ว...

ขออภัยวันนี้ที่ผมโทรมารบกวน เพราะผมมีเหตุร้ายเหตุด่วนต้องขอแจ้งความ
ผมสิ้นไร้หนทาง ฝาก 191 ตามให้ที.. นะ

ผมสิ้นไร้หนทาง ฝาก 191 ตามให้ที",labanoon
ถูกทุกข้อ,/music/thailyric/5138,"ก็คงต้องรับเต็มตัวว่ารักเธอเต็มเปา ต้องยกหัวใจเราให้เธอไปทั้งใจ
เจอคนอย่างนี้ลองปล่อยไปสิจะบ้ารึไง

ต่อให้ชนะใครมาต้องแพ้หัวใจเธอ คนนี้ที่ได้เจอลงตัวไม่เหมือนใคร
เข้ากันดีนะเธอตอบโจทย์รักได้ตรงกับใจ ถูกทุกข้อเลย

เมื่อไหร่ที่มีคำถามก็หาคำตอบ โลกนี้ก็เหมือนข้อสอบต้องคิดต้องอ่าน
บางสิ่งก็ดูสับสนต้องค้นตั้งนาน บางอย่างแค่เพียงมองผ่านก็พอมั่นใจ

อย่างที่ฉันคบกับเธอนั้นเข้าที ยิ่งคบก็ยิ่งดียิ่งเข้าใจ
จะกี่คำถามคำตอบสุดท้ายก็คือเธอ

ก็คงต้องรับเต็มตัวว่ารักเธอเต็มเปา ต้องยกหัวใจเราให้เธอไปทั้งใจ
เจอคนอย่างนี้ลองปล่อยไปสิจะบ้ารึไง

ต่อให้ชนะใครมาต้องแพ้หัวใจเธอ คนนี้ที่ได้เจอลงตัวไม่เหมือนใคร
เข้ากันดีนะเธอตอบโจทย์รักได้ตรงกับใจ ถูกทุกข้อเลย

มันอาจไม่มีเหตุผลไม่รู้ทำไม ทำตามเสียงหัวใจที่มันเรียกร้อง
อย่างที่ฉันมีตัวเธอข้างๆกาย ยิ่งคบยิ่งดูใจยิ่งคล้องจอง
หมดความสงสัยก็ใจมันฟ้องว่าคือเธอ

ก็คงต้องรับเต็มตัวว่ารักเธอเต็มเปา ต้องยกหัวใจเราให้เธอไปทั้งใจ
เจอคนอย่างนี้ลองปล่อยไปสิจะบ้ารึไง

ต่อให้ชนะใครมาต้องแพ้หัวใจเธอ คนนี้ที่ได้เจอลงตัวไม่เหมือนใคร
เข้ากันดีนะเธอตอบโจทย์รักได้ตรงกับใจ ถูกทุกข้อเลย

ถูกทุกข้อเลย
ถูกทุกข้อเลย
ถูกทุกข้อเลย",labanoon
บังอาจรักเธอ,/music/thailyric/5140,"ฉันขอโทษที่ไม่เจียมหัวใจ รั้งมันไว้ไม่ทันฝันว่าเธอจะมอง
ลืมไปว่าไม่ควรไม่สำคัญ มันไม่ควรเรียกร้องแค่ได้มองก็บุญ

ฟ้าก็อยู่สูงเกินไป เหวก็ต่ำไม่คู่กัน
เหมือนเธอกับฉัน ที่ควรจะห่างกันไว้

บังอาจไปรักคนอย่างเธอ ก็เหมาะสมแล้วที่ปวดใจ
ฉันมันคนต้อยต่ำเกินไป จึงไม่มีสิทธิ์จะฝัน
บังอาจไปรักโดยไม่ดู ไม่ยอมรับรู้ว่าต่างกัน
ฉันก็ควรจะเจ็บให้นาน โทษฐานที่ไม่ระวังหัวใจ

หลงคิดว่าจะเอาใจซื้อใจ เธอเจอใครไม่สนพร้อมสู้ทนเพื่อเธอ
ลืมไปว่าเรามันไม่เหมือนกัน ฉันไม่ควรพร่ำเพ้อหลงละเมออย่างนี้

ฟ้าก็อยู่สูงเกินไป เหวก็ต่ำไม่คู่กัน
เหมือนเธอกับฉัน ที่ควรจะห่างกันไว้

บังอาจไปรักคนอย่างเธอ ก็เหมาะสมแล้วที่ปวดใจ
ฉันมันคนต้อยต่ำเกินไป จึงไม่มีสิทธิ์จะฝัน
บังอาจไปรักโดยไม่ดู ไม่ยอมรับรู้ว่าต่างกัน
ฉันก็ควรจะเจ็บให้นาน โทษฐานที่ไม่ระวัง
ก็ยอมให้ดูถูก ให้รังเกียจ ให้เธอเหยีดหยามได้ตามใจ
ให้เธอเหม่อ ให้เธอเกลียด ให้เธอตอกย้ำให้จำเอาไว้ โว้ว...

บังอาจไปรักคนอย่างเธอ ก็เหมาะสมแล้วที่ปวดใจ
ฉันมันคนต้อยต่ำเกินไป จึงไม่มีสิทธิ์จะฝัน
บังอาจไปรักโดยไม่ดู ไม่ยอมรับรู้ว่าต่างกัน
ฉันก็ควรจะเจ็บให้นาน โทษฐานที่ไม่ระวังหัวใจ

ฉันขอโทษที่มีแค่หัวใจ มันไม่พอใช่ไหม ฉันเข้าใจจึงไม่บังอาจรักเธอ",labanoon
รางวัลปลอบใจ,/music/thailyric/5153,"อย่าบอกว่ารักอีกเลย ให้จบเฉยๆฉันเองก็เข้าใจ
เมื่อเธอเองก็ต้องไปกับคนใหม่คนนั้น
สรุปว่าฉันต้องแพ้ ก็อย่ามาทำเหมือนคนยังรักกัน
ทำอย่างนั้นเหมือนกลัวจะจากคาใจ
โว้ว...

ถ้ารักคือการแข่งขัน อย่ามีคะแนนห่วงใย
ไม่จำเป็นต้องปลอบใจ จะห่วงทำไมเมื่อทิ้งกัน
อย่าคิดว่าฉันอ่อนแอ ผู้แพ้ไม่เคยต้องการมัน
เอ่ยคำลาเพียงเท่านั้น ไม่รักไม่ต้องเกรงใจ

ไม่โกรธไม่แค้นอะไร เมื่อเธอจะไปไม่ต้องสงสารกัน
คนอย่างฉันไม่เอารางวัลปลอบใจ
เย...

โว้ว...

ถ้ารักคือการแข่งขัน อย่ามีคะแนนห่วงใย
ไม่จำเป็นต้องปลอบใจ จะห่วงทำไมเมื่อทิ้งกัน
อย่าคิดว่าฉันอ่อนแอ ผู้แพ้ไม่เคยต้องการมัน
เอ่ยคำลาเพียงเท่านั้น ไม่รักไม่ต้องเกรงใจ

อย่าบอกว่ารักอีกเลย ก็บอกเฉยๆแล้วเธอก็ทิ้งไป
เก็บเอาไว้ให้คนใหม่ อย่าลำบากกับฉัน

ไม่โกรธไม่แค้นอะไร เมื่อเธอจะไปไม่ต้องสงสารกัน
คนอย่างฉันไม่เอารางวัลปลอบใจ
เย...

ถ้าหากว่าเธอไม่รักกัน อย่าเอารางวัลปลอบใจ",labanoon
แอบรัก,/music/thailyric/5157,"เห็นว่าเธอมีใครๆ มาตามมาเอาใจ คล้ายๆทุกคนชอบเธอ
เขามารอมาคอยเจอ มาคอยพร่ำเพ้อ ว่ารักเธอหมดใจ

ฉันต้องย้ำกับตัวเอง คอยเตือนกับตัวเอง ว่าฉันไม่ดีเท่าใคร
ถึงฉันพูดความในใจ ให้ซึ้งแค่ไหน ก็คงดีไม่พอ

จะเป็นคนเดียวที่ไม่บอกรักเธอ ไม่หวังให้เธอต้องมาบอกรักกัน
แค่คนหนึ่งคนที่อยากเจอเธอทุกวัน ไม่อยากผูกพันไปกว่านี้
ได้แต่ห่วงใยเพียงแค่เธอข้างเดียว ไม่ขอยุ่งเกี่ยวเกินกว่าความหวังดี
เพียงแอบรักคนเดียวก็พอ เพราะว่าฉันขอเพียงเท่านี้ก็สุขใจ

ฉันไม่หวังสิ่งใดๆ ไม่คิดอย่างใครๆ ไม่ขอให้เธอมองมา
รักฉันพูดด้วยเวลา จะนานจะช้า ฉันยังเป็นอย่างเดิม

จะเป็นคนเดียวที่ไม่บอกรักเธอ ไม่หวังให้เธอต้องมาบอกรักกัน
แค่คนหนึ่งคนที่อยากเจอเธอทุกวัน ไม่อยากผูกพันไปกว่านี้
ได้แต่ห่วงใยเพียงแค่เธอข้างเดียว ไม่ขอยุ่งเกี่ยวเกินกว่าความหวังดี
เพียงแอบรักคนเดียวก็พอ เพราะว่าฉันขอเพียงเท่านี้ก็สุขใจ

ฉันไม่หวังสิ่งใดๆ ไม่คิดอย่างใครๆ ไม่ขอให้เธอมองมา
รักฉันพูดด้วยเวลา จะนานจะช้า ฉันยังเป็นอย่างเดิม

เพียงแอบรักไม่ขอจับจอง เพียงแค่ขอมองเธออย่างนี้ก็สุขใจ
ก็สุขใจ ช่างสุขใจ",labanoon
ความดีที่ไม่อยากทำ,/music/thailyric/5130,"ฉันเชื่อว่าการทำดีได้ดี
แม้วันนี้มันแลกกับความเสียใจ
ฉันจะยอม ยอมคืนชีวิตที่เธอฝากไว้
ทั้งที่มันทำใจรับได้ลำบาก

ไม่อยากเสียเธอแต่ชีวิตมันจริงเกินไป
ฉันไม่มีอะไร ไม่ควรคู่เธอ

เจ็บวันนี้ดีกว่าเห็นเธอต้องทนทรมาน
เธอควรมีคืนวันทีสวยงาม
มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

ทุกๆเรื่องที่เธอเหนื่อยมาด้วยกัน
สิ่งที่ฝันมันก็ยังไกลแสนไกล
นับจากนี้เธอไม่ต้องฝืนและทำต่อไป
ขอให้เธอไปดีและมีความสุข

ไม่อยากเสียเธอแต่ชีวิตมันจริงเกินไป
ฉันไม่มีอะไร ไม่ควรคู่เธอ

เจ็บวันนี้ดีกว่าเห็นเธอต้องทนทรมาน
เธอควรมีคืนวันทีสวยงาม
มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

โว โอว โว โอว....
ไม่อยากเลย ความจริงไม่อยากทำ
จำเป็นต้องบอกลา จำเป็นต้องให้เธอไปจากฉัน โว..โอ


มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

เจ็บวันนี้ดีกว่าเห็นเธอต้องทนทรมาน
เธอควรมีคืนวันทีสวยงาม
มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

ต้องทำเพราะรักเธอ",labanoon
คำต้องห้าม,/music/thailyric/5132,"สุดท้ายก็เลิกกัน และฉันไม่เหลือใคร
ครึ่งชีวิตหายไปแค่ข้ามคืน
จากคนรักฉัน กลายเป็นคนอื่น
ที่เธอคงไม่อยากจำ

ความรู้สึกดีดีจากนี้ต้องเก็บไว้
รักที่อยู่ในใจมันกลายเป็นคำต้องห้าม

หมดสิทธิ์จะพูดว่ารักเธอ
จากนี้ไปเราไม่ใช่คนรักกัน
ไม่มีวันเหมือนเคย ต่อให้ใจยังรัก
เธอคงมองว่ามันไม่มีค่าเลย
กับเธอฉันเป็นคนอื่นแล้ว

ลมหายใจยังมี วันนี้ยังไม่ตาย
แต่จะอยู่เพื่อใครไม่รู้เลย
อยากกลับไปรักกันเหมือนที่เคย
คงทำได้เพียงในฝัน

ความรู้สึกดีดีจากนี้ต้องเก็บไว้
รักที่อยู่ในใจมันกลายเป็นคำต้องห้าม

หมดสิทธิ์จะพูดว่ารักเธอ
จากนี้ไปเราไม่ใช่คนรักกัน
ไม่มีวันเหมือนเคย ต่อให้ใจยังรัก
เธอคงมองว่าไม่มีค่าอะไรเลย
กับเธอฉันเป็นคนอื่นแล้ว

มันเปลี่ยนอะไรไม่ได้

หมดสิทธิ์จะพูดว่ารักเธอ
จากนี้ไปเราไม่ใช่คนรักกัน
ไม่มีวันเหมือนเคย ต่อให้ใจยังรัก
เธอคงมองว่าไม่มีค่าอะไรเลย
วันนี้ไม่มีสิทธิ์พูดว่ารักเธอ

จากนี้ไปเราไม่ใช่คนรักกัน
ได้แต่ยอมรับมัน ต่อให้ใจยังรัก
เธอก็คงไม่มีเยื่อใยให้กับฉัน
เธอไม่รักกันฉันเข้าใจ
ไม่มีเธอเหมือนเดิม ฉันเข้าใจ",labanoon
ตุ๊กตาล้มลุก,/music/thailyric/5137,"มอง เธอล้มลงไปกี่ครั้ง ไม่เห็นเธอหมดกำลัง
ไม่เห็นเธอยอมซักที ดูเหมือนเธอบอกอะไร
ให้ฉันเอาไปสอนใจ  ว่าทำไมเธอยังยืนอยู่

ไม่ว่าจะกี่ีครั้งที่ล้มลงไป
ต่อให้มันเป็นร้อยหรือมากแค่ไหน
อยู่ที่ว่าจะลุกขึ้นมาได้รึเปล่า
ยืนได้ไหมถ้าต้องล้มอีกที

ปัดหัวเข่าอีกครั้งไม่ต้องงอแง
คนที่ไม่เคยแพ้มันคงไม่มี
เมื่อไหร่ที่เราพร้อมจะยืนอีกครั้งหนึ่ง
เราก็พร้อมที่จะเดินต่อไป
ของมันอยู่ที่ใจ(อยู่ที่ใจ อยู่ที่ใจ)

คน แค่ล้มลงเพียงซักครั้ง กลับคิดว่าหมดกำลัง
ดูเหมือนจะยอมง่ายดาย ชีวิตยังมีเวลา
แค่คิดจะยืนขึ้นมา แค่พยายามชนะใจ

ไม่ว่าจะกี่ีครั้งที่ล้มลงไป
ต่อให้มันเป็นร้อยหรือมากแค่ไหน
อยู่ที่ว่าจะลุกขึ้นมาได้รึเปล่า
ยืนได้ไหมถ้าต้องล้มอีกที",labanoon
สตั้นแมน (ตัวแสดงแทน),/music/thailyric/5155,"พระเอกมาจนได้
หมดเวลาจะใช้ตัวแสดงแทน
ที่เอาใจเข้าแลก
ก็ไม่มีความหมายยังไงก็ไม่ได้เป็นแฟน

เหมือนไปได้สวยเริ่มจากเป็นคนรู้จัก
อยากเลื่อนชั้นได้เป็นถึงคนรู้ใจ
เข้าที่เข้าทางหวังเข้าแทนคนที่ทิ้งเธอไป
เธอคงเป็นใจให้ความรักเป็นจริง

แล้วเรื่องที่ฝันมันก็เหมือนจะสะดุด
เมื่อเขาย้อนคืนมาขอเธอเริ่มใหม่
เธอรีบคืนดีทั้งที่ยังไม่ทันคิดอะไร
ทุ่มเทแทบตายกลายเป็นเสียเวลา

รักเธอเข้าเต็มประตูคิดว่าฉันสำคัญ
แล้วก็ต้องจบกัน  เมื่อเขานั้นกลับมา

พระเอกมาจนได้
หมดเวลาจะใช้ตัวแสดงแทน
ที่เอาใจเข้าแลก
ก็ไม่มีความหมายยังไงก็ไม่ได้เป็นแฟน
มันไม่มีความหมาย..เราก็แค่สตั๊นท์แมน

เหมือนโดนสั่งคัท ต้องมาพักใจที่เจ็บ
ได้แต่เห็นเธอกับเขามีความสุข
ที่มาแทนแค่ไม่นานคิดว่ามันจะฟลุ๊ค
สรุปสุดท้ายก็ไม่ใช่ตัวจริง

รักเธอเข้าเต็มประตูคิดว่าฉันสำคัญ
แล้วก็ต้องจบกัน  เมื่อเขานั้นกลับมา

พระเอกมาจนได้
หมดเวลาจะใช้ตัวแสดงแทน
ที่เอาใจเข้าแลก
ก็ไม่มีความหมายยังไงก็ไม่ได้เป็นแฟน
มันไม่มีความหมาย..เราก็แค่สตั๊นท์แมน

เป็นได้แค่ตัวแทน
แค่แสดงแทนใคร
คงไม่ใช่ตัวจริงใช่ไหม
เจียมตัวเองเอาไว้

พระเอกมาจนได้
หมดเวลาจะใช้ตัวแสดงแทน
ที่เอาใจเข้าแลก
ก็ไม่มีความหมายยังไงก็ไม่ได้เป็นแฟน

พระเอกมาจนได้
หมดเวลาจะใช้ตัวแสดงแทน
ที่เอาใจเข้าแลก
ก็ไม่มีความหมายยังไงก็ไม่ได้เป็นแฟน

มันไม่มีความหมาย..เราก็แค่สตั๊นท์แมน

คงไม่มีความหมาย ยังไงก็เป็นแค่ตัวแทน
มันไม่มีความหมาย เราก็แค่สตั๊นท์แมน",labanoon
ใครจะทำไม,/music/thailyric/5134,"ซื้อเสื้อยังต้องลอง ต้องใส่ต้องมอง
ให้เหมาะให้ควร ให้รู้ให้มั่นใจ
ไม่ใช่จะอวดดี แค่อยากจะขอลอง
ให้มันชัดเจน ให้รู้ ว่าร้ายดีเป็นยังไง
อยากขอทำตามใจสักครั้งนึง

เพราะเธอนั้นน่ามอง น่าจับน่าจอง
ก็เธองดงาม เกินฉันจะห้ามใจ
ถึงใครจะตักเตือน ว่าอย่าใกล้เธอ
ถ้าหากรักเธอ เข้าแล้ว
คงต้องช้ำไปจนตาย
แต่ฉันก็ยังอยากจะลอง

ใครจะทำไม ในเมื่อคนมันถูกใจ
ใครจะทำไม ในเมื่อใจมันว่าดี
ใครจะทำไม มันต้องเอาให้เต็มที่
ไม่ลองไม่รู้ แม้ต้องเจ็บ เท่าไร
ไม่หวั่นเลย ขอทีละกัน
ช้ำใจ ต้องเสียใจ สักเพียงไหน
ขอทำตามที่ต้องการ

รู้ดีคนอย่างเธอ ไม่เคยรักใคร
เธออาจทิ้งกัน แต่ฉันก็ไม่กลัว
ตั้งใจจะเสี่ยงดู ให้มันรู้ไป
ไม่เคยพบใครที่ไหน
ทำให้ใจฉันต้องสั่น
เจองี้มันก็อยากจะลอง",labanoon
ซื่อ,/music/thailyric/5136,"และเขาก็ทิ้งให้เราเจ็บใจทุกครั้ง ไม่ระวัง ว่าเขาจะทำกับเรายังไง
ด้วยรัก ที่ซื่อตรง เขาคงไม่ทิ้งเราไป แต่สุดท้าย รักเมื่อไรเจ็บทุกที

ไม่รู้ ไม่เห็น เขาเป็นยังไง ไม่สน ไม่ทันคน หลงทุกทีเมื่อเจอกับใคร
มองรัก ในแง่ดี สมควรแล้วที่ช้ำใจ ไม่โทษใคร มันคงผิดที่ฉันเอง

ทำไมมันซื่ออย่างงี้ กี่ครั้งกี่ทีไม่คิดเข้าใจ อกหักไม่รู้เท่าไหร่ ไม่จำสักที
ไปติดกับคำว่ารัก ไปนึกเอาเองว่าเค้าคงดี พอสุดท้ายก็มี แต่ความเสียใจ
ต้องเจ็บอีกกี่ครั้ง (ต้องเจ็บอีกกี่ครั้ง..)
ยิ่งรักยิ่งช้ำทุกทีมันคง ไม่ไหว บอกกับใจ ว่ารักก็ยังมีแง่ไม่ดี
มองรัก แค่ด้านเดียว รักใครก็ช้ำทุกที       ใจดวงนี้ มันก็เจ็บอยู่เรื่อยไป

ทำไมมันซื่ออย่างงี้ กี่ครั้งกี่ทีไม่คิดเข้าใจ อกหักไม่รู้เท่าไหร่ ไม่จำสักที
ไปติดกับคำว่ารัก ไปนึกเอาเองว่าเค้าคงดี พอสุดท้ายก็มี แต่ความเสียใจ
ต้องเจ็บอีกกี่ครั้ง (ต้องเจ็บอีกกี่ครั้ง..)
ยิ่งรักยิ่งช้ำทุกทีมันคง ไม่ไหว บอกกับใจ ว่ารักก็ยังมีแง่ไม่ดี
มองรัก แค่ด้านเดียว รักใครก็ช้ำทุกที       ใจดวงนี้ มันก็เจ็บอยู่เรื่อยไป

ทำไมมันซื่ออย่างงี้ กี่ครั้งกี่ทีไม่คิดเข้าใจ อกหักไม่รู้เท่าไหร่ ไม่จำสักที
ไปติดกับคำว่ารัก ไปนึกเอาเองว่าเค้าคงดี พอสุดท้ายก็มี แต่ความเสียใจ
ต้องเจ็บอีกกี่ครั้ง (ต้องเจ็บอีกกี่ครั้ง..)
ยิ่งรักยิ่งช้ำทุกทีมันคง ไม่ไหว บอกกับใจ ว่ารักก็ยังมีแง่ไม่ดี
มองรัก แค่ด้านเดียว รักใครก็ช้ำทุกที       ใจดวงนี้ มันก็เจ็บอยู่เรื่อยไป

เมื่อไหร่จะเข้าใจ ต้องเจ็บอีกกี่ครั้ง เมื่อไหร่จะเข้า....ใจ
ต้องเจ็บอีกกี่ครั้ง เมื่อไหร่จะเข้า....ใจ ต้องเจ็บอีกกี่ครั้ง เมื่อไหร่จะเข้า....ใจ",labanoon
