song_name,href,lyric,artist
โจทย์รัก,/music/thailyric/5265,"ในคืนเหน็บหนาว มองฟ้าไม่เจอแสงใด
มันไร้ชีวิตทุกอย่างเหมือนตาย เมื่อคนที่รักทิ้งไป
กลับเป็นเธอที่เดินเข้ามา หยิบยื่นเอาความรักให้
ช่วยฟื้นชีวิตมาปลุกหัวใจ ให้มีแรงเหมือนเดิม

ความรักที่แตกสลาย ก่อขึ้นใหม่อีกครั้ง
ชีวิตที่เคยสิ้นหวังเริ่มจะสดใส
แต่แล้วในวันนี้ เธอคนเดิมที่เคยจากฉันไป
กลับมาขอคืนวันเก่าๆ ให้เราเป็นเหมือนเดิม

หนึ่งคนทิ้งเราให้ตาย อีกคนให้ลมหายใจ
หนึ่งทางคือรักจริง อีกทางก็รักฝังใจ
ไม่อยากเสียใครซักคน แต่วันนี้ต้องตัดสินใจ
โจทย์ความรักจะจบเช่นไร ยังไม่รู้หัวใจตัวเอง

ถ้ารู้ต้องเป็นแบบนี้ ให้มันตายยังดีซะกว่า
หลับไม่ต้องฟื้น ดีกว่าตื่นขึ้นมาทำลายใจของใคร

ความรักที่แตกสลาย ก่อขึ้นใหม่อีกครั้ง
ชีวิตที่เคยสิ้นหวังเริ่มจะสดใส
แต่แล้วในวันนี้ เธอคนเดิมที่เคยจากฉันไป
กลับมาขอคืนวันเก่าๆ ให้เราเป็นเหมือนเดิม

หนึ่งคนทิ้งเราให้ตาย อีกคนให้ลมหายใจ
หนึ่งทางคือรักจริง อีกทางก็รักฝังใจ
ไม่อยากเสียใครซักคน แต่วันนี้ต้องตัดสินใจ
โจทย์ความรักจะจบเช่นไร ยังไม่รู้หัวใจตัวเอง

หนึ่งคนทิ้งเราให้ตาย อีกคนให้ลมหายใจ
หนึ่งทางคือรักจริง อีกทางก็รักฝังใจ
ไม่อยากเสียใครซักคน แต่วันนี้ต้องตัดสินใจ
โจทย์ความรักจะจบเช่นไร ยังไม่รู้หัวใจตัวเอง

โจทย์ความรักจะจบเช่นไร ยังไม่รู้หัวใจตัวเอง",laolom
ปิดตาข้างหนึ่ง,/music/thailyric/5267,"ปิดตาข้างหนึ่งให้กับความรักของเรา
เรื่องเธอกับเขาจะทำไม่เห็น
ยอมเป็นคนโง่คนหนึ่ง เป็นคนซื่อๆ คนหนึ่ง
ซึ่งมองว่าเธอ ยังรักกันจริงๆ

ปิดหูข้างหนึ่งจะทำเป็นไม่ได้ยิน
เรื่องราวที่ใครบอกเธอนอกใจฉัน
ยอมทำเหมือนไม่ฉลาด ผ่านหูเหมือนไม่เคยฟัง
ยิ้มให้ทุกครั้ง แม้ใจมีน้ำตา

รักใครไม่อยากรู้ อยู่กับใครไม่อยากเห็น
อยากรับรู้แค่ฉันเป็นตัวจริงเท่านั้น
แค่ให้ฉันได้กอดเธอ ถึงเธอจะเเอบกอดใครไม่สำคัญ
ปิดหูปิดตาของฉัน เปิดใจโง่ๆ ไว้รักเธอ

ปิดไว้ทุกอย่าง ปิดมันไว้ข้างหนึ่ง
ไม่อยากรู้ลึก เรื่องราวที่เจ็บช้ำ
ในเมื่อรู้ไปก็เจ็บ ไม่รู้ก็ยังมีกัน
ไม่อยากรู้ทัน ถ้ามันต้องเสียเธอ

รักใครไม่อยากรู้ อยู่กับใครไม่อยากเห็น
อยากรับรู้แค่ฉันเป็นตัวจริงเท่านั้น
แค่ให้ฉันได้กอดเธอ ถึงเธอจะเเอบกอดใครไม่สำคัญ
ปิดหูปิดตาของฉัน เปิดใจโง่ๆ ไว้รักเธอ

รักใครไม่อยากรู้ อยู่กับใครไม่อยากเห็น
อยากรับรู้แค่ฉันเป็นตัวจริงเท่านั้น
แค่ให้ฉันได้กอดเธอ ถึงเธอจะเเอบกอดใครไม่สำคัญ
ปิดหูปิดตาของฉัน เปิดใจโง่ๆ ไว้รักเธอ",laolom
ฝากฟ้า,/music/thailyric/5269,"อยากกอดเธออีกครั้ง แต่มันกับเป็นแค่ฝันลมๆ
เจ็บปวดที่ขื่นขมอยู่ในใจทุกคืนทุกวัน
มันจบไปแล้ว ทุกอย่างรู้ดี
ความทรงจำไม่เคยจะจาง ไปจากหัวใจ

เธอจะเป็นอย่างไร จะยืนอยู่ตรงที่ขอบฟ้าใด
เธอจะได้ยินไหม เสียงหัวใจยังเรียกหาเธอ
รอคอยทั้งรู้ไม่มีหนทาง
แต่ยังหวังซักวันจะเจอ เธออีกครั้งนึง

อยากฝากท้องฟ้าพาเธอกลับมาเป็นคนรักฉัน
ย้อนเอาคืนและวันให้เรากลับมาเหมือนเดิม
บอกเธอได้ไหมมีคนยังรักและคิดถึงเธอ
ฝากใจของฉัน ให้ฟ้าช่วยพามันไปสู่ใจของเธอ

ดาวยังไม่ส่องแสง ไม่มีแรงเหมือนความหวังคน
เลือนลอยและสบสน แต่อยากจะฝันลมๆ เรื่อยไป
และต่อให้ฉันไม่มีหนทาง
ก็จะขอรอคอยด้วยใจ ที่มีแค่เธอ

อยากฝากท้องฟ้าพาเธอกลับมาเป็นคนรักฉัน
ย้อนเอาคืนและวันให้เรากลับมาเหมือนเดิม
บอกเธอได้ไหมมีคนยังรักและคิดถึงเธอ
ฝากใจของฉัน ให้ฟ้าช่วยพามันไปสู่ใจของเธอ
สู่ใจของเธอ

อยากฝากท้องฟ้าพาเธอกลับมาเป็นคนรักฉัน
ย้อนเอาคืนและวันให้เรากลับมาเหมือนเดิม
บอกเธอได้ไหมมีคนยังรักและคิดถึงเธอ
ฝากใจของฉัน ให้ฟ้าช่วยพามันไปสู่ใจของเธอ",laolom
ฝืน,/music/thailyric/5270,"ทนไม่ไหว รู้เลยว่าไม่ไหว
ของเธอมันแรงเหนือใคร เกินต้านทาน
อยู่ไกลอยู่สูง ฟ้าเตือนว่าเกินคว้า
แต่เฮ้คนด้วยกันนี่หว่า ต้องลองซะที

คำว่าต่างก็เข้าใจ แต่ปล่อยไว้ก็บ้า
ไอ้เรื่องเจียมไม่เจียมช่างมัน หรือใครจะว่า

ก็น่ารักได้ใจเหลือเกิน ที่สุดแล้วชอบใจเหลือเกิน
ต้องขอเอาซะหน่อย พบเจอไม่บ่อยคนอย่างเธอ
อยากจับเกี่ยวแขนเรียกแฟนซะที
หน้ายังเงี้ยทนสงบไม่ไหว
คงไม่ผิดใช่ไหม ไม่อยากฝืนใจตัวเอง

ใครจะหยุดฉัน ให้ตายก็ต้องคิด
ที่รู้พรหมไม่ได้ลิขิต เรื่องของมัน

คำว่าต่างก็เข้าใจ แต่ปล่อยไว้ก็บ้า
ไอ้เรื่องเจียมไม่เจียมช่างมัน หรือใครจะว่า

ก็น่ารักได้ใจเหลือเกิน ที่สุดแล้วชอบใจเหลือเกิน
ต้องขอเอาซะหน่อย พบเจอไม่บ่อยคนอย่างเธอ
อยากจับเกี่ยวแขนเรียกแฟนซะที
หน้ายังเงี้ยทนสงบไม่ไหว
คงไม่ผิดใช่ไหม ทั้งหมดใจมันคือเธอ

คำว่าต่างก็เข้าใจ แต่ปล่อยไว้ก็บ้า
ไอ้เรื่องเจียมไม่เจียมช่างมัน หรือใครจะว่า

ก็น่ารักได้ใจเหลือเกิน ที่สุดแล้วชอบใจเหลือเกิน
ต้องขอเอาซะหน่อย พบเจอไม่บ่อยคนอย่างเธอ
อยากจับเกี่ยวแขนเรียกแฟนซะที
หน้ายังเงี้ยทนสงบไม่ไหว
คงไม่ผิดใช่ไหม ทั้งหมดใจมันคือเธอ",laolom
ไม่เจ็บ อย่าร้อง,/music/thailyric/5275,"อย่าเหนื่อยให้มันลำบาก อย่ายากแค่ไม่รักกัน
ไม่เห็นต้องทำอย่างนั้นเค้นน้ำตาอยู่อย่างนี้
อยากทิ้งก็ไปได้เลยไม่ต้องฝืน
ทำเป็นซึ้งซะอย่างดี ไม่รักไม่ต้องมีเยื่อใย

เมื่อเขาก็รอเธออยู่ ดูเธอก็มีหนทาง
ไอ้คนที่มันอ้างว้างเหมือนว่ามันต้องเป็นฉัน
จบแล้วที่คำว่าลาไม่ต้องซึ้ง ถ้าอยากยิ้มไม่ว่ากัน
ขออย่างเดียวให้เธอพอซักที

ไม่เจ็บไม่ต้องร้อง ไม่ต้องเสียน้ำตา
เธอเป็นอะไรหนักหนาเห็นแล้วไม่เข้าใจ
คนเจ็บมันคือตัวฉันคนนี้ ที่โดนเธอทิ้งไป
ไม่ต้องเศร้า บอกกันก็เข้าใจแค่พูดลา

เธอเก็บน้ำตาไว้เถอะ ไม่ต้องให้มันไหลมา
ไปร้องให้ลมให้ฟ้า ไว้เวลาเธอโดนทิ้ง
ในเมื่อเธอมีคนใหม่อย่าคร่ำครวญ
ไม่ต้องร้องถ้าไม่จริง ไม่ต้องกลัวจะเป็นคนไม่ดี

ไม่เจ็บไม่ต้องร้อง ไม่ต้องเสียน้ำตา
เธอเป็นอะไรหนักหนาเห็นแล้วไม่เข้าใจ
คนเจ็บมันคือตัวฉันคนนี้ ที่โดนเธอทิ้งไป
ไม่ต้องเศร้า บอกกันก็เข้าใจแค่พูดลา

ไม่เจ็บไม่ต้องร้อง ไม่ต้องเสียน้ำตา
เธอเป็นอะไรหนักหนาเห็นแล้วไม่เข้าใจ
คนเจ็บมันคือตัวฉันคนนี้ ที่โดนเธอทิ้งไป
ไม่ต้องเศร้า บอกกันก็เข้าใจแค่พูดลา

บอกกันก็เข้าใจแค่พูดลา",laolom
เรียนผูก ไม่เรียนแก้,/music/thailyric/5278,"เคยได้ยินคนสอนกันมา
ว่าผูกเองต้องแก้เอง
ปัญหาเราสร้างก็เรียนรู้แก้ไป
จำเข้าใจเรื่องนั้นได้ดี
จนวันที่เธอทิ้งไป ชีวิตก็มีแต่ทรมาณ

เมื่อคำว่ารักมันยังผูกยังพัน ไม่รู้จะแก้มันอย่างไร
กี่วันกี่คืนที่เธอจากฉันไป ยังคิดถึงเธอเสมอ
เป็นปมผูกใจฉันไม่คลาย

ร้อยคืนหมื่นวันพันนาทียังไม่ลืมเธอสักที
ความรักไม่เคยจางไป
ยิ่งนานก็ยิ่งเจ็บปวด มันผูกจนเป็นเงื่อนตาย
มัดใจตัวเองทรมาณผูกเป็นพันธนาการ
มันลึกจนเกินจะรักใคร นอนยังฝังใจไม่มีวันเปลี่ยน

นอนกี่คืนกี่ฝันยังเจอ อะไรก็เป็นภาพเธอ
ทั้งๆ ที่รู้ว่ามันจบไปแล้ว มันคือความรักที่ยังผูกผัน
ไม่รู้จะแก้มันอย่างไร กี่วันกี่คืนที่เธอจากฉันไป
ยังคิดถึงเธอเสมอ เป็นปมผูกใจฉันไม่คลาย

ร้อยคืนหมื่นวันพันนาทียังไม่ลืมเธอสักที
ความรักไม่เคยจางไป
ยิ่งนานก็ยิ่งเจ็บปวด มันผูกจนเป็นเงื่อนตาย
มัดใจตัวเองทรมาณผูกเป็นพันธนาการ
มันลึกจนเกินจะรักใคร นอนยังฝังใจไม่มีวันเปลี่ยน

ร้อยคืนหมื่นวันพันนาทียังไม่ลืมเธอสักที
ความรักไม่เคยจางไป
ยิ่งนานก็ยิ่งเจ็บปวด มันผูกจนเป็นเงื่อนตาย
มัดใจตัวเองทรมาณผูกเป็นพันธนาการ
มันลึกจนเกินรักใคร นอนยิ่งฝังใจไม่มีวันเปลี่ยน

คิดถึงเธอเสมอ",laolom
คิดเลว ทำดี,/music/thailyric/5264,"หยุดได้ไหม ไม่ต้องการ
มันทรมาน ถ้าเดินต่อไป
หยุดนาที ที่เราเผลอใจ
ตรงนี้มันควรต้องเป็นเขา
ฉันมันควรต้องตัดใจ

บอกเธอกี่ครั้ง ทำเหมือนคนดี
ทั้งที่ใจไม่ต้องการ

มันอยากให้เธอกับเขาเลิกกัน
ให้เธอเป็นของฉัน ให้เขาไม่เหลือใคร
แต่ในโลกของความเป็นจริง
ความคิดเลวๆ ต้องเก็บไว้
ปล่อยเธอจากไป ทำได้เท่านี้

ไม่ใช่คน ที่แสนดี
แต่วันนี้คงต้องพูดออกไป
หมดเวลาจะทำร้ายใคร
เมื่อฉันไม่มีวันเป็นเขา
รักของเราต้องหยุดไว้

บอกเธอกี่ครั้ง ทำเหมือนคนดี
ทั้งที่ใจไม่ต้องการ

มันอยากให้เธอกับเขาเลิกกัน
ให้เธอเป็นของฉัน ให้เขาไม่เหลือใคร
แต่ในโลกของความเป็นจริง
ความคิดเลวๆ ต้องเก็บไว้
ปล่อยเธอจากไป ทำได้เท่านี้

มันอยากให้เธอกับเขาเลิกกัน
ให้เธอเป็นของฉัน ให้เขาไม่เหลือใคร
แต่ในโลกของความเป็นจริง
ความคิดเลวๆ ต้องเก็บไว้
ปล่อยเธอจากไป ทำได้เท่านี้",laolom
ผิดทุกข้อ,/music/thailyric/5268,"แต่ก่อนก็รักนะ เรียกเราหวานใจ
เปลี่ยนเป็นจี๊จ๊ะ เอะอะวี๊ดใส่
ก็เพิ่งเข้าใจ เธอเจอของใหม่สเป็กเธอ

ชมแต่ของเขา ประมาณว่าเห่อ
แต่พอของฉัน เธอบอกของเกร่อ
ถ้อยคำซึ้งใจเธอบอกเลี่ยนไป ไม่เห็นน่าฟัง

ที่เคยเป็นฉันที่เธอว่าดี
แต่มาวันนี้ รำคาญซะงั้น
เธอได้ใจฉันหมดแล้ว
ไม่มีเหลือให้เธอผูกพัน

ก็คนไม่รัก ทำอะไรก็ไม่ถูก
ก็คนหมดรัก ทำอะไรก็ไม่โดน
เมื่อเบื่อกันแล้ว ที่เคยดีๆ ก็มีแต่วุ่นวาย

ก็เธอไม่รัก ทำอะไรมันก็ผิด
เก่าๆ อย่างฉันจะเหลืออะไร
ก็รู้ตัวดีวันนี้ฉันมันส่วนเกิน
ไปรักเขาเลยง่ายกว่า

ตอนที่คบฉัน บอกแนวนี้เลย
แต่พอเห็นเขา บอกเราโครตเชย
จะ ก ข ง ผิดมันทุกข้อ ชอบเม้นวุ่นวาย

ที่เคยเป็นฉันที่เธอว่าดี
แต่มาวันนี้ รำคาญซะงั้น
เธอได้ใจฉันหมดแล้ว
ไม่มีเหลือให้เธอผูกพัน

ก็คนไม่รัก ทำอะไรก็ไม่ถูก
ก็คนหมดรัก ทำอะไรก็ไม่โดน
เมื่อเบื่อกันแล้ว ที่เคยดีๆ ก็มีแต่วุ่นวาย

ก็เธอไม่รัก ทำอะไรมันก็ผิด
เก่าๆ อย่างฉันจะเหลืออะไร
ก็รู้ตัวดีวันนี้ฉันมันส่วนเกิน
ไปรักเขาเลยง่ายกว่า

ที่เคยเป็นฉันที่เธอว่าดี
แต่มาวันนี้ รำคาญซะงั้น
คงไม่มีเหลือ ให้เธอผูกพัน

ก็คนไม่รัก ทำอะไรก็ไม่ถูก
ก็คนหมดรัก ทำอะไรก็ไม่โดน
เมื่อเบื่อกันแล้ว ที่เคยดีๆ ก็มีแต่วุ่นวาย

ก็เธอไม่รัก ทำอะไรมันก็ผิด
เก่าๆ อย่างฉันจะเหลืออะไร
ก็รู้ตัวดีวันนี้ฉันมันส่วนเกิน
ไปรักเขาเลยง่ายกว่า

เธอไม่รักใช่ไหม เธอไม่รักใช่ไหม
เธอไม่รักใช่ไหม เธอไม่รักใช่ไหม
ไปรักเขาเลยง่ายกว่า

เธอไม่รักใช่ไหม เธอไม่รักใช่ไหม
เธอไม่รักใช่ไหม
ฉันคงทนไม่ไหว",laolom
ยอมเจ็บไม่ยอมเหงา,/music/thailyric/5276,"เธอไม่พูดความจริง ก็ไม่เป็นไร
อยากไปไหนกับใคร ไม่ทวงไม่ถาม
กี่ครั้งที่เธอทำ แต่จะไม่เอาความ
อยู่ไปเหมือนคนโง่คนหนึ่ง

คุยกับเขาก็คุย ไม่ต้องเกรงใจ
ไม่เคยจะห้ามอะไร ไม่เคยทั้งนั้น
อย่างเดียวที่ขอเธอ แค่ยังไม่ทิ้งกัน
เพราะฉันมันทนไม่ไหว ถ้าใจต้องขาดเธอ

ยอมเจ็บไม่ยอมเหงา ฉันยอมเธอทั้งหัวใจ
จะคบคนไหนยังไง ให้ยังเธอกลับมา
ยอมทั้งชีวิตถึงแม้ต้องมีน้ำตา
ให้เสียเธอไปในตอนนี้ ฉันนั้นคงตายในไม่ช้า
ชีวิตฉันมีแต่เธอ

เธอให้ได้แค่ตัว ก็ไม่เป็นไร
ยอมหลอกได้ก็เชิญ หลอกไปไม่สน
เธอทำตัวไม่ดีมา เธอทำเป็นไม่ใช่คน
เชื่อแล้วที่โกหกกัน แค่เธอไม่จากไป

ยอมเจ็บไม่ยอมเหงา ฉันยอมเธอทั้งหัวใจ
จะคบคนไหนยังไง ให้ยังเธอกลับมา
ยอมทั้งชีวิตถึงแม้ต้องมีน้ำตา
ให้เสียเธอไปในตอนนี้ ฉันนั้นคงตายในไม่ช้า
ชีวิตฉันมีแต่เธอ มีแต่เธอ

ยอมเจ็บไม่ยอมเหงา ฉันยอมเธอทั้งหัวใจ
จะคบคนไหนยังไง ให้ยังเธอกลับมา
ยอมทั้งชีวิตถึงแม้ต้องมีน้ำตา
ให้เสียเธอไปในตอนนี้ ฉันนั้นคงตายในไม่ช้า
ชีวิตฉันมีแต่เธอ",laolom
รักแท้แพ้ไม่รัก,/music/thailyric/5277,"ขอบคุณทุกๆ อย่าง ที่ทำให้ฉันเข้าใจ
ว่ารักสักเท่าไหร่ สุดท้ายก็ไปไม่ถึง
คำที่ยิ่งใหญ่ ที่ฝันไว้มากมาย
รู้แล้วว่าเธอไม่ซึ้งมันเลย

เวลาที่ล่วงไป เคยใช้เพื่อรอเธอนั้น
จากนี้ทุกๆ วันต้องใช้มันไปเพื่อลืม
เธอสอนให้เข้าใจ ทุ่มเทสักเท่าไหร่
ใช่แปลว่าเธอจะผูกพัน

ต้องฝืนรับความเป็นจริง (รับความเป็นจริง)
ที่ปวดใจ (หัวใจสลาย)
บทเรียนนี้ที่เธอฝากไว้ให้จดจำ
ว่าต่อให้รักแท้ ยังไงก็แพ้ไม่รัก

วันนี้ต้องทำใจ ท่องเอาไว้
ว่าความจริงใจมันแพ้ มันแพ้ไม่มีใจ
และต่อไปจากนี้จะไม่มีคนมากวนหัวใจเธอแล้ว
จะรักซะให้ตายก็แพ้ถ้าไม่รักกัน

ก็ขอให้โชคดี จากนี้ที่ไม่เจอฉัน
บทเรียนที่ให้กัน จะจำให้มันฝังใจ
ความรักที่มีค่า ที่ใครว่ายิ่งใหญ่
ที่แท้แค่คำที่โง่งม

ต้องฝืนรับความเป็นจริง (รับความเป็นจริง)
ที่ปวดใจ (หัวใจสลาย)
บทเรียนนี้ที่เธอฝากไว้ให้จดจำ
ว่าต่อให้รักแท้ ยังไงก็แพ้ไม่รัก

วันนี้ต้องทำใจ ท่องเอาไว้
ว่าความจริงใจมันแพ้ มันแพ้ไม่มีใจ
และต่อไปจากนี้จะไม่มีคนมากวนหัวใจเธอแล้ว
จะรักซะให้ตายก็แพ้ถ้าไม่รักกัน

ต่อให้รักแท้ ยังไงก็แพ้ไม่รัก
ทุ่มเทซะยิ่งใหญ่ อยู่ไหนละที่ฝัน
จบแล้วไอ้คำนั้น รักเธอ",laolom
