song_name,href,lyric,artist
7 นาที,/music/thailyric/12451,"เขาหวังแค่ 7 นาที ต้องการแค่เพียงเท่านี้
เข้าไม่ได้รู้สึกดี เขาไม่มีความจริงใจ
เขาเพียงแต่คิดจะหลอก เขาบอกว่าเธอมันง่าย
เขาแค่ต้องการสะใจ

คุยกันเป็นปีมีความหมายอะไร
เขาไม่ต้องการหัวใจ
เขาบอกคิดถึง เขาคิดถึงอะไร
ถ้าไม่ใช่เรื่องอย่างนั้น

เขาบอกไม่เคยทำแบบนี้ให้ใคร
เธอก็เลยเชื่อใจ
เขาบอกว่ารัก รักคนนี้จะตาย
แล้วสุดท้ายเป็นไง

เขาหวังแค่ 7 นาที ต้องการแค่เพียงเท่านี้
เข้าไม่ได้รู้สึกดี เขาไม่มีความจริงใจ
เขาเพียงแต่คิดจะหลอก เขาบอกว่าเธอมันง่าย
เขาแค่ต้องการสะใจ

เขาหวังแค่ 7 นาที ต้องการแค่เพียงเท่านี้
เข้าไม่ได้รู้สึกดี เขาไม่มีความจริงใจ
เขาเพียงแต่คิดจะหลอก เขาบอกว่าเธอมันง่าย
เขาแค่ต้องการสะใจ เขาเลยจากไปไม่แคร์

เขาหวังแค่ 7 นาที ต้องการแค่เพียงเท่านี้
เข้าไม่ได้รู้สึกดี เขาไม่มีความจริงใจ
เขาเพียงแต่คิดจะหลอก เขาบอกว่าเธอมันง่าย
เขาแค่ต้องการสะใจ

เขาหวังแค่ 7 นาที ต้องการแค่เพียงเท่านี้
เข้าไม่ได้รู้สึกดี เขาไม่มีความจริงใจ
เขาเพียงแต่คิดจะหลอก เขาบอกว่าเธอมันง่าย
เขาแค่ต้องการสะใจ เขาเลยจากไปไม่แคร์",lcohol
กอดจูบลูบคลำ,/music/thailyric/13635,"จะบอกให้รู้ว่าฉันเคยรักใครมาก่อน
จะบอกให้รู้ว่าฉันเคยนอนกอดกับใคร
จะบอกให้รู้ว่าฉันเคย คิดถึงใคร โว้ว โว

จะบอกให้รู้ว่าฉันเคยกอดใครมาแล้ว
จะบอกให้รู้ว่าฉันเคยจูบใครมาก่อน
จะบอกให้รู้ว่าฉันเคย โอ๊ๆๆ โวะโอ

ผิดมากไหมที่ฉัน ไม่ได้เก็บไว้
ให้เธอใช้เป็นคนแรก
ที่เคยกอด ที่หอมแก้ม
ที่ฉันเคยทำให้ใคร 
ผิดมากไหมที่พูด ว่ารักที่เคย
บอกไปว่าคิดถึงใคร
ฉันเคยเจ็บ ฉันใจง่าย
เคยเสียตัวเสียใจ โอ๊ะ โอ

จะบอกให้รู้ว่าฉันเคยรักใครมาก่อน
จะบอกให้รู้ว่าฉันเคยนอนกอดกับใคร
จะบอกให้รู้ว่าฉันเคย คิดถึงใคร โว้ว โว

จะบอกให้รู้ว่าฉันเคยกอดใครมาแล้ว
จะบอกให้รู้ว่าฉันเคยจูบใครมาก่อน
จะบอกให้รู้ว่าฉันเคย โอ๊ๆๆ โวะโอ

ผิดมากไหมที่ฉัน ไม่ได้เก็บไว้
ให้เธอใช้เป็นคนแรก
ที่เคยกอด ที่หอมแก้ม
ที่ฉันเคยทำให้ใคร 
ผิดมากไหมที่พูด ว่ารักที่เคย
บอกไปว่าคิดถึงใคร
ฉันเคยเจ็บ ฉันใจง่าย
เคยเสียตัวเสียใจ โอ๊ะ โอ",lcohol
กินฟรี,/music/thailyric/23686,"ทำทุกๆอย่าง ให้ฉันนั้นเชื่อใจ
แล้วก็โอบกอด และพร้อมจะหลอกใช้
แล้วเธอก็จับ เหมือนที่เคยจับใคร

แล้วก็นั่งห่าง กับฉันไปตั้งไกล
แล้วเธอก็สั่ง ว่าฉันอย่าโทรไป
แล้วเธอก็เร่ง เพราะว่าต้องรีบไป

ไม่ต้องรีบไม่ต้องร้อน
ไม่ต้องปงไม่ต้องปลอมอยู่อย่างนี้
เธอไม่รงเธอไม่รัก
เธอไม่ต้องทงเธอไม่ต้องทัก
เธอไม่ต้องทำมาเป็นคนดี

เรื่องความลงเรื่องความลับ
ฉันก็ไม่ได้โดนเธอบังคับ
ฉันเองที่ยอมให้เธอทุกที
เธอแค่กินฟงกินฟรีแล้วก็ทิ้งกันไป

เธอไม่ต้องมารงมารัก
แค่ดูก็รู้มักงงมักง่าย
เธอไม่ต้องแกล้งทำเป็นทุรนทุราย
เธอไม่ต้องกลัวว่าฉันจะมีน้ำตา

ก็ความจริงแล้วเธอเองก็ไม่เคยคงเคยคิดอะรงอะไร
และเธอไม่เคยจะมาอาลงอาลัย
เธอไม่ต้องสนจงสนใจอะไรฉันเลย

ไม่ต้องรีบไม่ต้องร้อน
ไม่ต้องปงไม่ต้องปลอมอยู่อย่างนี้
เธอไม่รงเธอไม่รัก
เธอไม่ต้องทงเธอไม่ต้องทัก
เธอไม่ต้องทำมาเป็นคนดี

เรื่องความลงเรื่องความลับ
ฉันก็ไม่ได้โดนเธอบังคับ
ฉันเองที่ยอมให้เธอทุกที
เธอแค่กินฟงกินฟรีแล้วก็ทิ้งกันไป

เธอไม่ต้องมารงมารัก
แค่ดูก็รู้มักงงมักง่าย
เธอไม่ต้องแกล้งทำเป็นทุรนทุราย
เธอไม่ต้องกลัวว่าฉันจะมีน้ำตา

ก็ความจริงแล้วเธอเองก็ไม่เคยคงเคยคิดอะรงอะไร
และเธอไม่เคยจะมาอาลงอาลัย
เธอไม่ต้องสนจงสนใจอะไรฉันเลย

ก็รู้มักงงมักง่าย
เธอไม่ต้องแกล้งทำเป็นทุรนทุราย
เธอไม่ต้องกลัวว่าฉันจะมีน้ำตา

ก็ความจริงแล้วเธอเองก็ไม่เคยคงเคยคิดอะรงอะไร
และเธอไม่เคยจะมาอาลงอาลัย
เธอไม่ต้องสนจงสนใจอะไรฉันเลย

เธอไม่ต้องสนจงสนใจอะไรฉันเลย",lcohol
ข้างหลัง,/music/thailyric/11888,"เสื้อตัวนั้นกางเกงตัวนั้นไม่กล้ามอง
มุมห้องนั้นเก้าอี้ตัวนั้นเธอเคยนั่งร้อง
ร้องเพลงด้วยกัน เรามีกันทุกวัน
ในกล่องเก่าๆ ใบนั้นมันมีอะไร
หนังสือเล่มนั้น รองเท้าคู่นั้นไม่กล้าใส่
จะเปิดเพลงนี้ จะฟังเพลงนั้นจะทำอะไร
เธอคงไม่รู้เลย ว่าฉันเสียใจเท่าไร
อยากจะถามอะไรมากมายเลยเธอ

คนใหม่เขาหอมเธอไหมก่อนนอน
คนใหม่เขาง้อเธอไหมเธองอน
คนใหม่เขารู้ไหมว่าก่อนนอน
จะต้องมีคนมาคอยกวนใจ
คนใหม่เขารู้ไหมว่าเธอชอบอะไร
เขารู้ไหมว่าเธอกลัวอะไร
เขารู้ไหมว่ามีใครคอยทำให้เธอทุกอย่าง

คนใหม่เขาหอมเธอไหมก่อนนอน
คนใหม่เขาง้อเธอไหมเธองอน
คนใหม่เขารู้ไหมว่าก่อนนอน
จะต้องมีคนมาคอยกวนใจ
คนใหม่เขารู้ไหมว่าเธอชอบอะไร
เขารู้ไหมว่าเธอกลัวอะไร
เขารู้ไหมว่ามีใครคอยทำให้เธอทุกอย่าง

คนใหม่เขาหอมเธอไหมก่อนนอน
คนใหม่เขาง้อเธอไหมเธองอน
คนใหม่เขารู้ไหมว่าก่อนนอน
จะต้องมีคนมาคอยกวนใจ
คนใหม่เขารู้ไหมว่าเธอชอบอะไร
เขารู้ไหมว่าเธอกลัวอะไร
เขารู้ไหมว่ามีใครคอยทำให้เธอทุกอย่าง

คนใหม่เขาหอมเธอไหมก่อนนอน
คนใหม่เขาง้อเธอไหมเธองอน
คนใหม่เขารู้ไหมว่าก่อนนอน
จะต้องมีคนมาคอยกวนใจ
คนใหม่เขารู้ไหมว่าเธอชอบอะไร
เขารู้ไหมว่าเธอกลัวอะไร
เขารู้ไหมว่ามีใครคอยทำให้เธอทุกอย่าง

เขารู้ไหมว่ามีใครคอยทำให้เธอทุกอย่าง",lcohol
คู่ซ้อม,/music/thailyric/14318,"ก่อนทำเธอคิดให้ดีนะ ว่าจะเกิดอะไร
ก่อนทำอะไรลงไปคิดดูซะก่อน
อย่าหลอกฉัน แค่เพียงให้ยอม
ยอมตกเป็นของเธอ

คู่ควงคู่นอนคู่ซ้อมฉันควรต้องเป็นอะไร
คู่รักคู่ครองคู่ใจ เป็นได้หรือเปล่า
เธอมาหาฉัน แค่ตอนเธอเหงา
จากนั้นเธอก็ทิ้งชิ่งไป

เพิ่งเจอกันแต่บอกว่ารัก
เพิ่งรู้จักแต่บอกคิดถึง
บอกว่ารักฉันครั้งหนึ่ง ไม่รู้จะจริงไหม
เหมือนที่เธอเคยบอกรักเขา
แต่เธอก็ทิ้งเขามาได้
เธอจะทำให้ฉันเชื่อใจได้ไหม

ถ้าตัวติดกัน แล้วเธอจะเบื่อ
แล้วเธอจะทิ้ง แล้วเธอจะเซ็ง
แล้วเธอจะยังต้องการหรือเปล่า
และยังมีคน มาคงมาคอย
มารอมาเฝ้า ทุกวงทุกวัน
และหากวันไหน ที่ฉันไม่วง ที่ฉันไม่ว่าง
แล้วเธอต้องรงต้องรอทานข้าวพร้อมกัน
จะอยู่ไหน ต้องรายงาน
เธอห้ามหายไปจากฉัน
ทำได้หรือเปล่า

ถ้าตัวติดกัน แล้วเธอจะเบื่อ
แล้วเธอจะทิ้ง แล้วเธอจะเซ็ง
แล้วเธอจะยังต้องการหรือเปล่า
และยังมีคน มาคงมาคอย
มารอมาเฝ้า ทุกวงทุกวัน
และหากวันไหน ที่ฉันไม่วง ที่ฉันไม่ว่าง
แล้วเธอต้องรงต้องรอทานข้าวพร้อมกัน
จะอยู่ไหน ต้องรายงาน
เธอห้ามหายไปจากฉัน
ทำได้หรือเปล่า",lcohol
ตับไตใต้พุง,/music/thailyric/19950,"คนจะเจ้าชู้ต้องดูที่อะไร
คนจะหลายใจต้องดูอะไรบ้างหนา
ดูที่รอยยิ้มหรือดูที่ใบหน้า
ดูที่ดวงตาหรือดูที่อะไร

ดูที่คำหวานมากมายเป็นก่ายกอง
ดูที่อ้วนผอมสูงต่ำดำขาว
ดูที่กางเกงหรือดูที่รองเท้า
ดูที่กระเป๋าหรือดูที่อะไร

คนที่เสริมหน้าอกมา คนที่ฉีดผิวมา
คนที่เพิ่งทำดั้ง คนที่เพิ่งดึงหน้า หรือว่าแม่ค้าออนไลน์
คนที่มีเงินเป็นล้าน คนที่กินข้าวแกง
คนที่ชอบพูดหนักหนา ว่าฉันนั้นรักแฟน
คนเหล่านี้จะเชื่อใจได้ใช่ไหม

ดูที่คำหวานมากมายเป็นก่ายกอง
ดูที่อ้วนผอมสูงต่ำดำขาว
ดูที่กางเกงหรือดูที่รองเท้า
ดูที่กระเป๋าหรือดูที่อะไร

คนที่เสริมหน้าอกมา คนที่ฉีดผิวมา
คนที่เพิ่งทำดั้ง คนที่เพิ่งดึงหน้า หรือว่าแม่ค้าออนไลน์
คนที่มีเงินเป็นล้าน คนที่กินข้าวแกง
คนที่ชอบพูดหนักหนา ว่าฉันนั้นรักแฟน
คนเหล่านี้จะเชื่อใจได้ใช่ไหม

ถ้ารักเป็นดั่งอากาศ ธาตุ ก็ไม่สามารถสัมผัสด้วยมือเปล่า
ถ้ารักเป็นแค่ลมปาก ฉันก็ไม่อยากฟังคำที่เธอกล่าว
ถ้ารักกันที่จิตใจ เธอจะรักฉันไหม ฉันมีแค่ตัวเปล่า
ก่อนจะบอกรักออกมา ถามใจตนว่าคำนี้มันชัวร์เปล่า

รักกันรักที่อะไร รักที่ตับไตหรือว่าใต้พุง
รักที่รสรูปกลิ่นสี แบรนด์เนมที่มี หรือว่าน้ำปรุง
รักที่โฉนดที่ดิน หรือว่าเพชรนิลใส่เป็นกระบุง
หรือว่าลมปากที่พ่นออกมาจับใจความได้ว่า อะผมรักคุง

ถ้า รอ อา กอ แล้ว รัก แสดงว่าคุณสะกดไม่เป็น
เพราะ ร ไม้หัน ก็ รัก อันนี้สิถูกแบบร้อยเปอร์เซ็นต์
จะเขียนจะพูดยังไงขอบอกเอาไว้ไม่ใช่ประเด็น
เพราะรักของฉันคือทำดีต่อกันในทุกๆ วันที่อยู่ที่เป็น

คนที่เสริมหน้าอกมา คนที่ฉีดผิวมา
คนที่เพิ่งทำดั้ง คนที่เพิ่งดึงหน้า หรือว่าแม่ค้าออนไลน์
คนที่มีเงินเป็นล้าน คนที่กินข้าวแกง
คนที่ชอบพูดหนักหนา ว่าฉันนั้นรักแฟน
คนเหล่านี้จะเชื่อใจได้ใช่ไหม

คนที่เสริมหน้าอกมา คนที่ฉีดผิวมา
คนที่เพิ่งทำดั้ง คนที่เพิ่งดึงหน้า หรือว่าแม่ค้าออนไลน์
คนที่มีเงินเป็นล้าน คนที่กินข้าวแกง
คนที่ชอบพูดหนักหนา ว่าฉันนั้นรักแฟน
คนเหล่านี้จะเชื่อใจได้ใช่ไหม",lcohol
โทรศัพท์กับห้องน้ำ,/music/thailyric/21465,"ไม่ต้องบอกก็รู้ว่าเธอต้องการอะไร
ไม่ต้องพูดก็เห็น ฉันก็เห็นลิ้นไก่
เธอทำเป็นเฉย ฉันนอนอยู่ข้างซ้าย
ไม่สนใจอะไรอะไรฉันเลย

เสียงโทรศัพท์เข้ามา เธอก็ลุกเข้าไปห้องน้ำ
เข้าไปทำอะไร ตอนตีสาม
เห็นเธอปวดท้องได้ทั้งวี่ทั้งวัน
เธอไปกิน เธอไปทานอะไรมาเหรอ

พอฉันโทรไปหา เธอก็บอกว่าทำงาน
แต่ที่ฉันได้เห็นคือเฟซเธอออนอยู่ทั้งวัน
ฉันไลน์ไปหา เธอก็ไม่ได้เปิดอ่าน
เธอบอกว่าเธอตั้งสั่นเอาไว้

เธอนอนหันหลังให้กัน ไม่กินข้าวพร้อมกัน
ไม่ได้เจอหน้ากัน ไม่เคยกอดฉันเลย
พอเจอก็ทำเป็นเฉย เธอปล่อยปละละเลย
ทำเป็นไม่สนใจ

ตีสามตีสี่ตีห้า เธอไม่หลับไม่นอน
แต่เฟซเธอยังออน ตอนฉันเผลอหลับไป
ทำเป็นปิดเสียงคว่ำหน้าโทรศัพท์เอาไว้
เพราะอะไร

ที่ฉันโทรไปหาเธอทั้งวันเป็นสิบๆ ครั้ง
แต่ฉันไม่เคยเห็น เธอจะโทรกลับมาสักครั้ง
เธอออกไปไหน ก็ไม่ค่อยเข้าบ้าน
ตกลงเราเป็นอะไรกันเหรอ

เธอนอนหันหลังให้กัน ไม่กินข้าวพร้อมกัน
ไม่ได้เจอหน้ากัน ไม่เคยกอดฉันเลย
พอเจอก็ทำเป็นเฉย เธอปล่อยปละละเลย
ทำเป็นไม่สนใจ

ตีสามตีสี่ตีห้า เธอไม่หลับไม่นอน
แต่เฟซเธอยังออน ตอนฉันเผลอหลับไป
ทำเป็นปิดเสียงคว่ำหน้าโทรศัพท์เอาไว้
เพราะอะไร

เธอนอนหันหลังให้กัน ไม่กินข้าวพร้อมกัน
ไม่ได้เจอหน้ากัน ไม่เคยกอดฉันเลย
พอเจอก็ทำเป็นเฉย เธอปล่อยปละละเลย
ทำเป็นไม่สนใจ

ตีสามตีสี่ตีห้า เธอไม่หลับไม่นอน
แต่เฟซเธอยังออน ตอนฉันเผลอหลับไป
ทำเป็นปิดเสียงคว่ำหน้าโทรศัพท์เอาไว้
เพราะอะไร",lcohol
เธออยู่ที่ไหน,/music/thailyric/13868,"นาฬิกายังหมุนไป เหมือนเดิมอย่างนั้น
ฉันยังเหมือนเดิมทุกวัน นั่งมองที่ท้องฟ้า
มันเหงาอย่าบอกใคร เมื่อได้คิดถึงเธอขึ้นมา
ไม่อยากให้เป็นอย่างนี้เลย

เธออยู่ที่ไหน
ยังสบายใจดีหรือเปล่า
ในวันนี้ที่มันไม่เหมือนเก่า
มีใครบ้างไหมคอยห่วงใย

เธออยู่ที่ไหน
คนใส่ใจเธอมีหรือเปล่า
ถ้าไม่มีคนที่เขาเข้าใจ
ให้เธอจำไว้ยังมีฉันที่รักเธอ

นาฬิกายังเหมือนเดิม ต้องเดินต่อไป
ถ้าเธอท้อใจเมื่อไร ให้มองที่ท้องฟ้า
ทุกครั้งที่อ่อนแอ อย่ายอมแพ้ลุกยืนขึ้นมา
สักวันจะเป็นวันของเธอ

เธออยู่ที่ไหน
ยังสบายใจดีหรือเปล่า
ในวันนี้ที่มันไม่เหมือนเก่า
มีใครบ้างไหมคอยห่วงใย

เธออยู่ที่ไหน
คนใส่ใจเธอมีหรือเปล่า
ถ้าไม่มีคนที่เขาเข้าใจ
ให้เธอจำไว้ยังมีฉันที่รักเธอ

เธออยู่ที่ไหน
ยังสบายใจดีหรือเปล่า
ในวันนี้ที่มันไม่เหมือนเก่า
มีใครบ้างไหมคอยห่วงใย

เธออยู่ที่ไหน
คนใส่ใจเธอมีหรือเปล่า
ถ้าไม่มีคนที่เขาเข้าใจ
ให้เธอจำไว้ยังมีฉันที่รักเธอ",lcohol
ปากว่ามือถึง,/music/thailyric/15511,"เรื่องความรักมันไม่ใช่เรื่องพันนี้
พูดจาดี ทำมาเป็นปากหวาน
เรื่องแบบนั้นเธอไม่ต้องการ
แต่มือไม้เธอน่ะเหรอ

จับตรงโน้นแล้วมาจับตรงนี้
ปากเธอดีแต่ว่าใจเธอร้าย
ฟังไม่ทันว่าเธอพูดอะไร
แต่เป็นของเธอไปแล้ว

รู้ว่าเธอหลอกก็ยอมให้เธอหลอก
เพราะว่าฉันรักเธอกว่าใคร
รู้ว่ามันเจ็บก็ยอมที่จะเจ็บ
เพราะว่าฉันรักเธอหมดใจ

รู้ว่ามันผิดก็ยอมที่จะผิด
แต่ว่าฉันไม่คิดนอกใจ
เพราะคารมเธอช่างคมคาย
ไปหลงเชื่อคนใจร้าย

เธอมีฉันแล้วก็ยังมีใคร
ปากกับใจเธอน่ะไม่ตรงกัน
ผ่านมากี่คนเธอคงไม่ได้จำ
กลัวหัวใจเธอร้าย โว้โว

รู้ว่าเธอหลอกก็ยอมให้เธอหลอก
เพราะว่าฉันรักเธอกว่าใคร
รู้ว่ามันเจ็บก็ยอมที่จะเจ็บ
เพราะว่าฉันรักเธอหมดใจ

รู้ว่ามันผิดก็ยอมที่จะผิด
แต่ว่าฉันไม่คิดนอกใจ
เพราะคารมเธอช่างคมคาย
ไปหลงเชื่อคนใจร้าย โว้โว",lcohol
สวรรค์นำทาง,/music/thailyric/15232,"วอนฟ้าดลบันดาล
ให้เธอได้รู้ ว่ามีใครรออยู่
ที่เดิมไม่ห่างหาย
ตรงที่เคยผูกพัน
สัญญามั่นให้กันไว้
วอนฟ้าจงดลใจให้เธอย้อนมา

ห่างกันคนละฟ้า
ศรัทธาไม่เคยสลาย
ยังรอเธออยู่ร่ำไป
มิวายคะนึงหา
วอนฟ้าช่วยนำทาง

สวรรค์โปรดเมตตา
ดลใจให้เธอกลับมา
มีรักที่ยังรอ

วอนฟ้าดลบันดาล
ให้เธอได้ยอน รักนี้ไม่เคยสิ้น
ยังถวิลห่วงหา
ยังคงมั่นในรัก
ประจักษ์ในสัญญา
ฝากทุกถ้อยวาจา
ให้เธอได้ยิน

ห่างกันคนละฟ้า
ศรัทธาไม่เคยสลาย
รักนี้จะตามเธอไป
โปรดจงรอฉัน
ยังมั่นไม่เสื่อมคลาย
สิ่งใดไม่อาจแปรผัน
รักเราจะไม่มีวัน
เลือนหายไป

ต้องตายอีกกี่หน
เกิดมาในภพภูมิใด
วอนฟ้านำทางให้
สองเราได้พบกัน
สวรรค์โปรดเมตตา
ดินฟ้าอย่ากีดกัน
เปิดทางให้เธอกับฉัน
ได้พบกัน ทุกชาติไป

เปิดทางให้เธอกับฉัน
ได้รักกัน ทุกชาติไป",lcohol
