song_name,href,lyric,artist
คนที่เจ็บกว่า,/music/thailyric/5180,"ทั้งที่รู้ว่าเธอต้องเจ็บ แต่ฉันก็ยังฝืนพูดต่อ
ถ้าปล่อยเรื่องราวไว้นานเกินรอ คงจะไม่ดี
ฉันคงต้องขอโทษทีอีกครั้ง ที่เราต้องเป็นแบบนี้
ฉันเองยอมรับความผิดโดยดี ที่เราต้องเลิกกัน

เธอคงเห็นน้ำตาที่มันเอ่อล้นออกมา
คนที่เจ็บกว่าเธอตอนนี้ก็คือฉัน

เพราะฉันคือคนที่ต้องบอกเลิกเธอ
เพราะฉันคือคนที่ทำเธอเสียน้ำตา
และเป็นคนบอกลากับเธอในวันนี้
เมื่อรักของเราไม่มั่นคง
จบกันตอนนี้ คงดีกว่า รอวัน
ที่รักของเรานั้นหมดลง

ไม่รู้เลยว่าวันพรุ่งนี้ นั้นจะเป็นอย่างไร
และจะเดินไปทางไหน เมื่อชีวิตฉันขาดเธอ

เธอคงเห็นน้ำตาที่มันเอ่อล้นออกมา
คนที่เจ็บกว่าเธอตอนนี้ก็คือฉัน

เพราะฉันคือคนที่ต้องบอกเลิกเธอ
เพราะฉันคือคนที่ทำเธอเสียน้ำตา
และเป็นคนบอกลากับเธอในวันนี้
เมื่อรักของเราไม่มั่นคง
จบกันตอนนี้ คงดีกว่า รอวัน
ที่รักของเรานั้นหมดลง

ไม่เคยคิดมาก่อนเลย ฉันจะทำเธอเสียน้ำตา
และเกิดจากการที่ฉัน บอกเลิกกับเธอ
อาจจะดูเหมือนคนใจร้าย
แต่เธอช่วยฟังเหตุผลฉันก่อน
จบกันตอนนี้ดีกว่ารอถึงวันที่เราสอง
ไม่อาจจะมองหน้ากัน

เพราะฉันคือคนที่ต้องบอกเลิกเธอ
เพราะฉันคือคนที่ทำเธอเสียน้ำตา
และเป็นคนบอกลา กับเธอในวันนี้
เมื่อรักของเราไม่มั่นคง
จบกันตอนนี้ คงดีกว่า รอวัน

เพราะฉันคือคนที่ต้องบอกเลิกเธอ
เพราะฉันคือคนที่ทำเธอเสียน้ำตา
และเป็นคนบอกลา กับเธอในวันนี้
ความรักของเราไม่มั่นคง
จบกันตอนนี้ คงดีกว่า รอวัน
ที่รักของเรานั้นหมดลง",lipta
คำที่ถูกลืม,/music/thailyric/5181,"เมื่อเธอ ไม่อบอุ่นเหมือนเคย
ดูเหมือนเธอจะละเลย ที่จะคุยกันทุกคืน
หรือว่าความรักของเรา เธอนั้นวางไว้ที่อื่น
เกิดอะไรขึ้นในตอนนี้
เธอช่วยบอกฉันที

เพราะฉันนั้นยังจะไม่ยอมแพ้
และความรักของเรายังไม่จบลง
ไม่ว่าจะเกิดอะไร ฉันนั้นจะซื่อตรง
มีแต่เธอ จะอธิบายให้ฉันได้เข้าใจ

คำว่ารักที่เธอนั้นเคยบอกฉันในวันนั้น
เธอลืมไปแล้วหรือไง
หรือเธอเอาคำนั้นไปให้ใคร
หากคำว่ารักในวันนี้
แม้ยังคงมีให้ฉัน ฉันจะรออยู่ตรงนี้
รอคำที่ถูกลืม

เพราะฉันนั้นยังจะไม่ยอมแพ้
และความรักของเรายังไม่จบลง
ไม่ว่าจะเกิดอะไร ฉันนั้นจะซื่อตรง
มีแต่เธอ จะอธิบายให้ฉันได้เข้าใจ

คำว่ารักที่เธอนั้นเคยบอกฉันในวันนั้น
เธอลืมไปแล้วหรือไง
หรือเธอเอาคำนั้นไปให้ใคร
หากคำว่ารักในวันนี้
แม้ยังคงมีให้ฉัน
เธอช่วยมองตาฉันอีกครั้งแล้วตอบ

ให้ฉันได้เข้าใจ ว่าอะไรที่เธอนั้นคิดอยู่
ฉันจะได้รู้ว่าสิ่งใด คือปัญหาที่ค้างอยู่ในหัวใจ
ก่อนที่รักเรานั้น จะไม่เหลืออะไรอีกต่อไปแล้ว

คำว่ารักที่เธอเคยบอกฉันในวันนั้น
ฉันอยากจะได้ยินอีกสักครั้งจะได้ไหม
คำว่ารักที่เธอเคยบอกฉันในวันนั้น
ฉันอยากจะได้ยินอีกสักครั้ง

คำว่ารักที่เธอนั้นเคยบอกฉันในวันนั้น
เธอลืมไปแล้วหรือไง
หรือเธอเอาคำนั้นไปให้ใคร
หากคำว่ารักในวันนี้
แม้ยังคงมีให้ฉัน

ฉันนั้นรักเธอ ฉันก็รักเธอ
ฉันนั้นรักเธอ ฉันก็รักเธอ
ฉันนั้นรักเธอ ฉันก็รักเธอ
สุดท้ายก็รักเธอ จะไม่เปลี่ยนไป",lipta
ปฏิเสธอย่างไร,/music/thailyric/5186,"ปฏิเสธหัวใจอย่างไร ฉันทำไม่เป็น
เพียงแค่เห็นเธอ เข้ามาทักทาย
เหมือนได้เห็นความฝันที่กลับกลายเป็นความจริง

หัวใจที่ไม่เคยมีรัก กลับอยู่ไม่เป็นจังหวะ
เพียงแค่เธอส่งยิ้มมา ไม่กล้าเปิดเผยใจ
กลัวเธอจะรู้ว่า คนที่ยืนอยู่ตรงนี้

แอบหลงรักเธออยู่ แต่เธอคงดูไม่ออก
ซ่อนความรักไม่กล้าบอก กลัวเธอจะเปลี่ยนไป
ห้ามใจยังไงให้ไหว เมื่อเธอน่ารักเกินกว่าใคร
ปฏิเสธอย่างไร เมื่อรักเธอจนไม่อาจจะถอนตัว

แล้วเป็นเพราะอะไร เธอนั้นยิ่งมาใกล้
หรือเธอรู้ ว่าฉันคิดยังไง
ล้อเล่นอย่างนี้ รู้ไหมฉันหวั่นไหว
พอแค่นี้ก่อนได้ไหม

หัวใจที่ไม่เคยมีรัก กลับอยู่ไม่เป็นจังหวะ
เพียงแค่เธอส่งยิ้มมา ไม่กล้าเปิดเผยใจ
กลัวเธอจะรู้ว่า คนที่ยืนอยู่ตรงนี้

แอบหลงรักเธออยู่ แต่เธอคงดูไม่ออก
ซ่อนความรักไม่กล้าบอก กลัวเธอจะเปลี่ยนไป
ห้ามใจยังไงให้ไหว เมื่อเธอน่ารักเกินกว่าใคร
ปฏิเสธอย่างไร เมื่อรักเธอจนไม่อาจจะถอนตัว

แอบหลงรักเธออยู่ แต่เธอคงดูไม่ออก
ซ่อนความรักไม่กล้าบอก กลัวเธอจะเปลี่ยนไป
ห้ามใจยังไงให้ไหว เมื่อเธอน่ารักเกินกว่าใคร
ปฏิเสธอย่างไร เมื่อรักเธอจนไม่อาจจะถอนตัว

ปฏิเสธไม่ไหว วันนี้ฉันจะบอกเธอให้รู้ตัว",lipta
มีเจ้าของ,/music/thailyric/5189,"ก็เพราะฉันมีเจ้าของ ฉันก็คงได้แต่มองเธอเท่านั้น
และจะไม่คิดทำอะไร และจะไม่คิดนอกใจ

ฉันนั้นไปสบตาเธอนั้น ที่บังเอิญมองผ่านมาที่ฉัน
(ทั้งที่ฉันมีแฟน แต่ไม่ได้หาใครมาแทน
แต่ยอมรับเลยแมนๆ ว่าฉันแอบถูกใจเธอ)
ทั้งที่ฉันหลงเธอขนาดนี้ จนต้องบังคับใจตัวเองให้ดี
(เธอเป็นแฟนฉันอยู่ฉันก็คงดวงดีน่าดู
เลยต้องแอบมองๆ เธอตอนที่เขาไม่รู้)

ต้องหยุดมันเอาไว้ เดี๋ยวจะกลายเป็นเรื่องใหญ่
เก็บไปคิดเล่นเล่นในฝันในหัวใจ จะดีกว่าไหม

ก็เพราะฉันมีเจ้าของ ฉันก็คงได้แต่มองเธอเท่านั้น
และจะไม่คิดทำอะไร และจะไม่คิดนอกใจ

ทั้งที่ฉันมีแฟน แต่ไม่ได้หาใครมาแทน
แต่ยอมรับเลยแมนๆ ว่าฉันแอบถูกใจเธอ
(ทั้งที่ฉันมีแฟน แต่ไม่ได้หาใครมาแทน
แต่ยอมรับเลยแมนๆ ว่าฉันแอบถูกใจเธอ)
เธอเป็นแฟนฉันอยู่ ฉันก็คงดวงดีน่าดู
เลยต้องแอบมองๆ เธอตอนที่เขาไม่รู้
(เธอเป็นแฟนฉันอยู่ฉันก็คงดวงดีน่าดู
เลยต้องแอบมองๆ เธอตอนที่เขาไม่รู้)

ต้องหยุดมันเอาไว้ เดี๋ยวจะกลายเป็นเรื่องใหญ่
เก็บไปคิดเล่นเล่นในฝันในหัวใจ จะดีกว่าไหม

ก็เพราะฉันมีเจ้าของ ฉันก็คงได้แต่มองเธอเท่านั้น
และจะไม่คิดทำอะไร และจะไม่คิดนอกใจ

ก็เพราะฉันมีเจ้าของ ฉันก็คงได้แต่มองเธอเท่านั้น
และจะไม่คิดทำอะไร และจะไม่คิดนอกใจ

ไม่มีวัน ไม่มีวัน

ก็เพราะฉันมีเจ้าของ ฉันก็คงได้แต่มองเธอเท่านั้น
และจะไม่คิดทำอะไร และจะไม่คิดนอกใจ

ไม่มี ไม่มี วัน นอกใจ เธอ",lipta
ลมหายใจของเมื่อวาน,/music/thailyric/5192,"เธอ เคยบอกเอาไว้ จะรักกันจนสิ้นลมหายใจ
จะไม่มีอะไรมาเปลี่ยนแปลง
แต่วันเวลาได้พาเปลี่ยนหัวใจ
ให้คำสัญญาต้องถูกลืมไปเหลือเพียงฉันอยู่ตรงนี้

เมื่อชีวิตของเธอเลือกอยู่เพื่อวันพรุ่งนี้
แต่ชีวิตของฉันต้องอยู่ด้วยลมหายใจของเมื่อวาน

แต่ก่อนยังไงวันนี้ฉันยังคงเหมือนเดิม
ไม่มีใครมาเพิ่มเติม ทุกอย่างยังคงเหมือนอดีตในวันนั้น
และแม้วันนี้เธอนั้นจะไม่รักกัน
แต่หัวใจฉันคงยังไม่พร้อม ที่จะก้าวเดินต่อไป

เมื่อชีวิตของเธอเลือกอยู่เพื่อวันพรุ่งนี้
แต่ชีวิตของฉันต้องอยู่ด้วยลมหายใจของเมื่อวาน

แต่ก่อนยังไงวันนี้ฉันยังคงเหมือนเดิม
ไม่มีใครมาเพิ่มเติม ทุกอย่างยังคงเหมือนอดีตในวันนั้น
และแม้วันนี้เธอนั้นจะไม่รักกัน
แต่หัวใจฉันคงยังไม่พร้อม ที่จะก้าวเดินต่อไป

แต่ก่อนยังไงวันนี้ฉันยังคงเหมือนเดิม
ไม่มีใครมาเพิ่มเติม ทุกอย่างยังคงเหมือนอดีตในวันนั้น
และแม้วันนี้เธอนั้นจะไม่รักกัน
แต่หัวใจฉันคงยังไม่พร้อม ที่จะก้าวเดินต่อไป

แต่ก่อนยังไงวันนี้ฉันยังคงเหมือนเดิม
ไม่มีใครมาเพิ่มเติม ไม่มีใครมาแทนที่เธอ
ทั้งใจของฉันอยู่กับอดีตในวันนั้น
และแม้วันนี้เธอนั้นจะไม่รักกัน
แต่หัวใจฉันคงยังไม่พร้อม (ชีวิตฉันยังไม่พร้อม)
ที่จะก้าวเดินต่อไป",lipta
ไปอยู่ที่ไหนมา,/music/thailyric/9878,"ไม่ใช่ไม่คิด ไม่ใช่ไม่ขอ
ไม่ใช่ว่าฉันนั้นอยากอยู่คนเดียวซะเมื่อไร
ไม่ใช่ไม่หวัง ไม่ใช่ไม่ฝัน
ไม่ใช่ว่าฉันนั้นเป็นแค่คนที่ไม่มีหัวใจ

ไม่ใช่ไม่รับ ไม่ใช่ไม่รู้
ไม่ใช่ว่าฉันเห็นคนที่มีคู่แล้วไม่รู้สึกอะไร
แต่จะมีใครเข้าใจตัวฉัน
ใครสักคนคนนั้นอยู่ที่ไหน

ก็ยังคงรอให้ใครสักคนเดินเข้ามา
แต่ยังคงไม่มีใครสักคนที่เข้าตา
แต่ละคนเข้ามาก็ทำให้รู้ว่า
ถ้าอยู่คนเดียวยังง่ายกว่า โว โว โอ

ก็ยังคงรอให้ใครคนหนึ่งเดินเข้ามา
ก็ยังไม่รู้ว่าเราจะเจอกันเมื่อไร
และถ้าได้พบจะไม่ปล่อยให้ไปไหนไกล
ฉันมีคำถามที่เก็บไว้ ว่าเธอไปอยู่ที่ไหนมา

ไม่ใช่ไม่รับ ไม่ใช่ไม่รู้
ไม่ใช่ว่าฉันเห็นคนที่มีคู่แล้วไม่รู้สึกอะไร
แต่จะมีใครเข้าใจตัวฉัน
ใครสักคนคนนั้นอยู่ที่ไหน

ก็ยังคงรอให้ใครสักคนเดินเข้ามา
แต่ยังคงไม่มีใครสักคนที่เข้าตา
แต่ละคนเข้ามาก็ทำให้รู้ว่า
ถ้าอยู่คนเดียวยังง่ายกว่า โว โว โอ

ก็ยังคงรอให้ใครคนหนึ่งเดินเข้ามา
ก็ยังไม่รู้ว่าเราจะเจอกันเมื่อไร
และถ้าได้พบจะไม่ปล่อยให้ไปไหนไกล
ฉันมีคำถามที่เก็บไว้ ว่าเธอไปอยู่ที่ไหนมา

ก็ยังคงรอให้ใครสักคนเดินเข้ามา
แต่ยังคงไม่มีใครสักคนที่เข้าตา
แต่ละคนเข้ามาก็ทำให้รู้ว่า
ถ้าอยู่คนเดียวยังง่ายกว่า โว โว โอ

ก็ยังคงรอให้ใครคนหนึ่งเดินเข้ามา
ก็ยังไม่รู้ว่าเราจะเจอกันเมื่อไร
และถ้าได้พบจะไม่ปล่อยให้ไปไหนไกล
ฉันมีคำถามที่เก็บไว้ ว่าเธอไปอยู่ที่ไหนมา

ว่าเธอไปอยู่ที่ไหนมา",lipta
แฟน,/music/thailyric/10080,"ก็ไม่รู้ว่าคุณทำบุญด้วยอะไร ถึงดูดีอย่างนี้
ก็ไม่รู้ว่าคุณทาครีมอะไร ผิวคุณจึงดีแบบนี้
ก็ไม่รู้ว่าคุณน่ะมากับใคร ขอเข้าไปจอยได้ไหม
แต่ที่รู้คือคุณได้ใจไปหมดแล้ว

ไม่อยากเชื่อ ว่าสายตา
จะได้พบคนที่กำลังตามหา

อยากจะได้คนนี้เป็นแฟน
ก็ฉันนั้นอยากจะได้คนนี้เป็นแฟน
ถ้าหากได้คนนี้เป็นแฟนก็ดี
อยากจะได้คนนี้เป็นแฟน
ก็ฉันนั้นอยากจะได้คนนี้เป็นแฟน
ถ้าหากได้เธอนั้นเป็นแฟนก็ดี

ผมบอกกับคุณเลยนะ อย่างคุณน่ะเต็มสิบ
เพราะแค่คุณนั้นเดินเข้ามานะ ทำทุกคนน่ะเงียบกริบ
อยากรู้คุณชื่ออะไรฮะ รู้มั้ยคุณทำผมหวั่นไหว
เฮ่ อย่าเพิ่งเดินไปไกล มารับผิดชอบด้วยสิ

ก็ที่ผมให้คุณเต็มสิบ เหมือนตัดสินโอลิมปิก
ถ้าผมได้คุณเป็นแฟน จะคอยดูแลคุณอย่างดี
จะหยุดคุยกับทุกคนในทันที
ผมสัญญาว่าต่อจากนี้ จะมีแค่คุณเพียงคนเดียว
จะยอมปรับตัวเป็นคนดี

เห็นผมเงียบๆ แบบเนี้ย ผมก็รักเป็น
จะไปรับ จะไปส่ง จะไม่เถียง จะไม่บ่น ผมไม่ได้ล้อเล่น
จะรับโทรศัพท์ทุกเวลา
จะพิมพ์ตอบเธอ ไม่มีเบื่อค่า

และต่อจากนี้ขอสัญญา จะอยู่กับเธอเป็นคู่เหมือนลิปตา
คุณอาจจะเคยเจอคนไม่ดี หรือคนที่เจ้าชู้
แค่อยากให้รู้ว่า อย่าเอาคนเดียวมาตัดสิน
แค่อยากให้คุณเปิดหัวใจ รักๆ กันไป เดี๋ยวมันก็ชิน

อยากจะได้คนนี้เป็นแฟน
ก็ฉันนั้นอยากจะได้คนนี้เป็นแฟน
ถ้าหากได้คนนี้เป็นแฟนก็ดี
อยากจะได้คนนี้เป็นแฟน
ก็ฉันนั้นอยากจะได้คนนี้เป็นแฟน
ถ้าหากได้เธอนั้นเป็นแฟนก็ดี

อยากจะได้คนนี้เป็นแฟน
ก็ฉันนั้นอยากจะได้คนนี้เป็นแฟน
ถ้าหากได้คนนี้เป็นแฟนก็ดี
อยากจะได้คนนี้เป็นแฟน
ก็ฉันนั้นอยากจะได้คนนี้เป็นแฟน
ถ้าหากได้เธอนั้นเป็นแฟนก็ดี",lipta
ไม่ต้องกลัว,/music/thailyric/9033,"ไม่ว่าเมื่อไหร่ วันเวลาก็ยังคงหมุนไป
ไม่ว่าเมื่อไหร่ ทุกๆ อย่างก็ต้องเปลี่ยนผันไป
เพราะชีวิต ก็เปลี่ยนแปลงทุกวัน

แต่ใจของฉัน จะมั่นคงและคงเดิมอย่างนั้น
อ้อมกอดของฉัน จะประครองเธอในทุกๆ วัน
และตัวฉัน จะไม่ยอมเปลี่ยนไป

และตอนนี้ ที่เธอต้องทุกข์ใจ
มันไม่ต่างอะไร กับความรู้สึกของฉัน

จะดูแลเธอคนเดียวตลอดไป
จะคอยเคียงข้างไม่ว่าเธออยู่ที่ใด
จะอยู่เป็นคนสุดท้ายและจะไม่ไปไหน
ให้เธอจงเชื่อใจคนอย่างฉัน

จะรักเธอคนเดียวขอสัญญา
เพราะกาลเวลาไม่อาจจะเปลี่ยนใจฉัน
เธอไม่ต้องกลัว เราจะผ่านพ้นไปด้วยกัน

อาจมีบางคน ที่เข้ามาแล้วต้องร้างลาไกล
บางคนเพียงพบ แล้วเวลาก็ได้พรากจากกัน
แต่ว่าฉัน ไม่ใช่หนึ่งในนั้น

และตอนนี้ ที่เธอต้องทุกข์ใจ
มันไม่ต่างอะไร กับความรู้สึกของฉัน

จะดูแลเธอคนเดียวตลอดไป
จะคอยเคียงข้างไม่ว่าเธออยู่ที่ใด
จะอยู่เป็นคนสุดท้ายและจะไม่ไปไหน
ให้เธอจงเชื่อใจคนอย่างฉัน

จะรักเธอคนเดียวขอสัญญา
เพราะกาลเวลาไม่อาจจะเปลี่ยนใจฉัน
เธอไม่ต้องกลัว เราจะผ่านพ้นไปด้วยกัน

เธอไม่ต้องกลัว เราจะผ่านพ้นไปด้วยกัน",lipta
ไม่รู้เมื่อไหร่,/music/thailyric/5190,"บางคนก็รอรักแท้มานาน บางคนก็เจอไม่รู้ตัว
บางคนก็รอทั้งๆ ที่กลัว จะเสียใจก็ยังจะรอ
และตัวฉันเองก็ไม่แตกต่าง ยังคงต้องการแค่ใครซักคน
ที่เป็นทุกสิ่งทุกเหตุผล คนๆ นั้นอาจเป็นเธอ

ตราบใดแล้ว แค่มองได้มองแววตาเธอคู่นั้น
ฉันก็กุมหัวใจไม่ให้พลั้ง แต่มันยั้งใจไม่ไหว

ไม่รู้เมื่อไหร่ ที่ใจฉันถูกทำให้เคลิ้มตามเธอ
ฉันเผลอให้เธอจนหมดใจ
ถ้าได้มีเธอ เอาไว้ในอ้อมกอด
ยอมฉันยอมไม่ว่าสิ่งไหน
ให้ฉันมีเธอคนนี้อยู่ด้วยกัน

เป็นความรู้สึกที่ยากจะบอก
มีเพียงแค่คำตอบเดียวในใจ
ที่ใครเขาบอกว่ารักเป็นไง
เพิ่งเข้าใจเมื่อพบเธอ

ตราบใดแล้ว แค่มองได้มองแววตาเธอคู่นั้น
ฉันก็กุมหัวใจไม่ให้พลั้ง แต่มันยั้งใจไม่ไหว

ไม่รู้เมื่อไหร่ ที่ใจฉันถูกทำให้เคลิ้มตามเธอ
ฉันเผลอให้เธอจนหมดใจ
ถ้าได้มีเธอ เอาไว้ในอ้อมกอด
ยอมฉันยอมไม่ว่าสิ่งไหน
ให้ฉันมีเธอคนนี้อยู่ด้วยกัน

คิดเอาไว้ว่าใช่ และมันต้องใช่แน่ๆ
มันเป็นอะไรที่พูดยาก ก็คงต้องให้เธอแก้
รู้ก็รู้ว่าชอบ แต่ใจมันพูดไม่ได้
แต่ถ้าเธอช่วยก็ง่าย อะไรก็คงไม่แย่

คิดเอาไว้ว่าใช่ ไม่รู้จะเป็นไปได้ไหม
ไม่รู้เธอมาเป็นโลกของฉันตั้งแต่เมื่อไร
รู้แค่รู้ในตอนนี้ เธอน่ารักมากกว่าใคร
ปฏิเสธอย่างไร เมื่อเธอได้ใจฉันหมดทั้งใจ


ไม่รู้เมื่อไหร่ ที่ใจฉันถูกทำให้เคลิ้มตามเธอ
ถ้าได้มีเธอ เอาไว้ในอ้อมกอด
ยอมฉันยอมไม่ว่าสิ่งไหน
ให้ฉันมีเธอคนนี้อยู่ด้วยกัน

และตัวฉันเองก็ไม่แตกต่าง
ยังคงต้องการแค่ใครซักคน
ที่เป็นทุกสิ่งทุกเหตุผล
คนๆนั้น อาจเป็นเธอ

ไม่รู้เมื่อไหร่ ที่ใจฉันถูกทำให้เคลิ้มตามเธอ
ถ้าได้มีเธอ เอาไว้ในอ้อมกอด
ยอมฉันยอมไม่ว่าสิ่งไหน
ให้ฉันมีเธอคนนี้อยู่ด้วยกัน",lipta
อย่าเลยนะ,/music/thailyric/5194,"อย่าไปกับเขาอีกเลย อย่าไปกับเขาอีกเลย
หากเธอยังเห็นใจฉันคนนี้

คนก็บอกกับฉัน เตือนกันอยู่เสมอ
ที่ยังเห็นว่าเธอกับคนนั้น
ได้พบเจอกันอยู่เรื่อยเลย
เก็บทุกอย่างที่รู้ กดมันอยู่ข้างใน
ได้แต่ห้ามตัวเองอยู่ลึกๆ ในใจ
และฉันนั้นควรเชื่อใจเธอ

แต่เธอรู้ไหม รู้ไหม
ฉันเป็นคนของความอ่อนไหว
แค่คำพูดคนอื่น ก็ยังขมยังขื่น
เธอรู้ไหม รู้ไหม

อย่าไปกับอีกเลย
อยากให้เธอมองว่าใครที่แคร์เธออยู่
อย่าไปกับอีกเลย ขอให้รู้ให้เข้าใจ
อย่าไปกับอีกเลย
หากเธอยังไม่ลืมว่าเธอนั้นมีฉันอยู่
อย่าไปกับอีกเลย อย่าให้ฉันต้องปวดใจ
หากเธอยังเห็นใจฉันคนนี้

จนได้ผ่านมาเห็น เธอนั้นอยู่กับเขา
ก็ยังย้ำตัวเองว่าเธอเหงา
และเขาเป็นเพียงคนรู้จักเธอ
แต่ความรู้สึกตรงนั้น มันช่างแปลกหัวใจ
ได้แต่ห้ามตัวเองว่าอย่าไปคิดอะไร
และฉันนั้นควรเชื่อใจเธอ

แต่เธอรู้ไหม รู้ไหม ฉันเป็นคนของความอ่อนไหว
จะกี่ครั้งที่เจอ จะกี่หนก็เจ็บ แต่เธอรู้ไหม รู้ไหม
(Do you ever know?)

อย่าไปกับอีกเลย
อยากให้เธอมองว่าใครที่แคร์เธออยู่
อย่าไปกับอีกเลย
ขอให้รู้ให้เข้าใจ
อย่าไปกับอีกเลย
หากเธอยังไม่ลืมว่าเธอนั้นมีฉันอยู่
อย่าไปกับอีกเลย
อย่าให้ฉันต้องปวดใจ

ก็หวั่นไหวทุกครั้งที่มีคนได้พบเธอ
กับเขาคนนั้นที่เธอบอกบังเอิญเจอ
แต่ทุกครั้งก็ยังเป็นคำตอบเดิมๆ
ว่าเขาไม่มีอะไร
และเธอไม่มีใจให้เขา
แต่รู้บ้างไหม
ว่าคนอ่อนไหวคนนี้ไม่ชอบให้ใครอยู่ใกล้
ถ้าเธอยังเห็นใจ บอกลาเขาไปได้ไหม

อย่าไปกับอีกเลย
(อย่าไปกับเขา อย่าไปกับเขาอีกเลย)
อยากให้เธอมองว่าใครที่แคร์เธออยู่
อย่าไปกับอีกเลย (รู้ไหมว่าฉันนั้นทนไม่ได้)
ขอให้รู้ให้เข้าใจ
อย่าไปกับอีกเลย
หากเธอยังไม่ลืมว่าเรานั้นรักกันอยู่
(ว่าฉันไม่ใช่ฉันอื่น)
อย่าไปกับอีกเลย (ว่าฉันนั้นยังรักเธออยู่)
อย่าให้ฉันต้องหวั่นไหว
หากเธอยังเห็นใจฉันคนนี้
เห็นแก่ความรักที่เราเคยมีให้กัน
ก็บอกกับฉันว่าเธอจะไม่มีวัน
ไปกับเขาอีกเลย",lipta
