song_name,href,lyric,artist
Sorry (Zero Gravity),/music/thailyric/15381,"แล้วก็จบลง ที่การจากลา
แม้จะพยายามมาสักเท่าไร
แต่ว่าในหัวใจ
ฉันไม่เคยรู้สึกกับเธอในแบบนั้น

ฉันต้องขอบคุณ ที่เคยผูกพัน
แม้เวลาเหล่านั้นมันช่างว่างเปล่า
แต่ก็ดีเหลือเกิน
ที่มีเธอคอยยืนด้วยกันอยู่ตรงนั้น

ไม่อาจรัก เธอ
ฉันยังรอเพียงเขาให้คืนย้อนกลับ
ไม่อาจรัก
ไม่มีใครบังคับ ให้ใครรักใคร

ขอให้วันพรุ่งนี้ ให้เธอได้เจอ
คนที่เขาจะรักเธอจริงดั่งในฝัน
คนที่ไม่ทำร้าย
คนที่ไม่ใช่ฉัน

ไม่อาจรัก เธอ
ฉันยังรอเพียงเขาให้คืนย้อนกลับ
ไม่อาจรัก
ไม่มีใครบังคับ ให้ใครรักใคร

ขอให้วันพรุ่งนี้ ให้เธอได้เจอ
คนที่เขาจะรักเธอจริงดั่งในฝัน
คนที่ไม่ทำร้าย
คนที่ไม่ใช่ฉัน",lomosonic
กอด (Airport),/music/thailyric/15130,"ฉันไม่รู้วันนี้ว่าระยะทาง
อาจจะทำให้คนเปลี่ยนไป
อาจจะทำให้ใจเปลี่ยนผัน

รักที่มั่นคงไว้ด้วยคำสัญญา
ไม่ต้องกลัวเพราะที่แห่งนี้
จะมีฉันที่รอแต่เธอ

กอดเพื่อลา ให้เธอไปดั่งหวัง
วันที่เธอฝันใฝ่
จนกว่าจะกลับมา
จะเฝ้ารอ ด้วยหัวใจ ที่ยังรัก
และจะรอเธอกลับมาหา

เพราะในทุกๆ เช้าที่ตื่นขึ้นมา
จะมีเธอในอ้อมกอดฉัน
เป็นดั่งฝันในวันอ่อนไหว
และวันนี้ระยะทางที่แสนไกล
อาจจะทำให้ใครหวั่นไหว
ใครคนนั้นต้องไม่ใช่ฉัน

กอดเพื่อลา ให้เธอไปดั่งหวัง
วันที่เธอฝันใฝ่
จนกว่าจะกลับมา
จะเฝ้ารอ ด้วยหัวใจ ที่ยังรัก
และจะรอเธอกลับมาหา

กอดเพื่อลา ให้เธอไปดั่งหวัง
วันที่เธอฝันใฝ่
จนกว่าจะกลับมา
จะเฝ้ารอ ด้วยหัวใจ ที่ยังรัก
และจะรอเธอกลับมาหา",lomosonic
ความอ่อนแอ (Feeling),/music/thailyric/12447,"ความผูกพัน ไม่อาจฉุดรั้งสองเรา
ให้กลับมา ในคืนที่ช่างเหน็บหนาว
คำว่ารัก ที่ล่องลอยและหายไป

ความเข้าใจ ที่ผลักให้ฉันเดินทาง
ไปจากเธอ จากวันที่มีความหมาย
และสุดท้าย ฉันมีเพียงแค่น้ำตา

เข็มในนาฬิกายังคงจะหมุนดวงตะวัน
ให้ฉันได้พบความจริงในวันที่ฉันได้ตื่นมา
มันไม่เคยจากหาย กับรักที่เคยมี

อ่อนแอ ที่ฉันคิดถึงเธอ
และอ่อนแอ ทุกครั้งที่ได้เจอ
ความเป็นจริงที่เธอนั้นคงไม่กลับมา แล้ว
(แม้จะรักเธอ แม้จะรักเท่าไร)

คงไม่พอกับคำว่ารักที่มี
ความเข้าใจ ที่มีในวันที่สาย
กับคำว่ารักที่เคยรู้สึก

เข็มในนาฬิกายังคงจะหมุนดวงตะวัน
ให้ฉันได้พบความจริงในวันที่ฉันได้ตื่นมา
มันไม่เคยจากหาย กับรักที่เคยมี

อ่อนแอ ที่ฉันคิดถึงเธอ
และอ่อนแอ ทุกครั้งที่ได้เจอ
ความเป็นจริงที่เธอนั้นคงไม่กลับมา แล้ว
(แม้จะรักเธอ แม้จะรักแค่ไหน)

ความผูกพัน ไม่อาจฉุดรั้งสองเรา
ให้กลับมา ในคืนที่ช่างเหน็บหนาว
ความเป็นจริงที่เธอนั้นคงไม่กลับมา

อ่อนแอ ที่ฉันคิดถึงเธอ
และอ่อนแอ ทุกครั้งที่ได้เจอ
ความเป็นจริงที่เธอนั้นคงไม่กลับมา แล้ว
(แม้จะรักเธอ แม้จะรักเท่าไร)

อ่อนแอ ที่ฉันคิดถึงเธอ
และอ่อนแอ ทุกครั้งที่ได้เจอ
ความเป็นจริงที่เธอนั้นคงไม่กลับมา แล้ว
(แม้จะรักเธอ แม้จะรักเท่าไร)

แม้จะรักเท่าไร",lomosonic
ทางที่ลมผ่าน (Veranda),/music/thailyric/12521,"แสงไฟยังสะท้อน ฟ้ายังคงเปลี่ยนสี
กี่ลมหายใจ ไม่มีสิ้นสุด
ฉันยังคงร่ำร้อง กับรักที่มาจางหาย
เนิ่นนานเท่าไร แต่ยังรู้สึก

มันอาจเป็นเพียงแค่ลม ที่พัดและผ่าน
แต่กลับไม่เคยเลือนลาง และจางหายไป

แม้วันคืนผ่าน แม้จะนานเท่าไร
ฉันยังคงหายใจเพื่อคิดถึง ฉันยังรักเธออยู่
แม้จะนานเท่าไร ฉันยังคงหายใจและคิดถึง

ข้างเธอเคยมีฉัน รักเราเป็นดั่งฝัน
คล้ายดังสายลม ไม่เคยเหินห่าง
อดีตที่ยังคงตามฉันเหมือนวันเก่า
ไม่อาจจะเลือนจะลางและจางหายไป

แม้วันคืนผ่าน แม้จะนานเท่าไร
ฉันยังคงหายใจเพื่อคิดถึง ฉันยังรักเธออยู่
แม้จะนานเท่าไร ฉันยังคงหายใจและคิดถึง

เธอเป็นอย่างไร ในเวลานี้
คิดถึงฉันไหม คิดถึงเธอ เธอ


แม้วันคืนผ่าน แม้จะนานเท่าไร
ฉันยังคงหายใจเพื่อคิดถึง ฉันยังรักเธออยู่
แม้จะนานเท่าไร ฉันยังคงหายใจและคิดถึง

ฉันยังรักเธออยู่ แม้จะนานเท่าไร
ฉันยังคงหายใจและคิดถึง",lomosonic
ส่งมือ (Trust),/music/thailyric/13659,"เขาใจร้าย ทำร้ายเธอ ทำให้มองโลกเปลี่ยนไป
ฟ้า หม่นหมอง โลกสีเทา ในสายตาที่หมดใจ

ส่งมือมา ให้ฉันหน่อย ให้ฉันหน่อย ฉันรออยู่
หากว่ารักมันร้าย ฉันจะดูแลเธอด้วยหัวใจ
จับมือฉัน และก้าวผ่าน ความรู้สึกที่เสียใจ
โปรดเถอะ ไปกับฉัน ไม่ต้องกลัว โอ้ ฉันจะดูแลเธอ

นับจากนี้จะไม่มีคนที่ทำให้ปวดใจ
นับจากนี้ ลมหายใจในหัวใจ จะกลับมา

เธอ

ส่งมือมา ให้ฉันหน่อย ให้ฉันหน่อย ฉันรออยู่
หากว่ารักมันร้าย ฉันจะดูแลเธอด้วยหัวใจ
จับมือฉัน และก้าวผ่าน ความรู้สึกที่เสียใจ
โปรดเถอะ ไปกับฉัน ไม่ต้องกลัว โอ้ ฉันจะดูแลเธอ

ส่งมือมา ให้ฉันหน่อย ให้ฉันหน่อย ฉันรออยู่
หากว่ารักมันร้าย ฉันจะดูแลเธอด้วยหัวใจ
จับมือฉัน และก้าวผ่าน ความรู้สึกที่เสียใจ
โปรดเถอะ ไปกับฉัน ไม่ต้องกลัว โอ้ ฉันจะดูแลเธอ",lomosonic
หลอก (Naive),/music/thailyric/12345,"ฉันหลงกล ในอารมณ์ของเธอ
ฉันนั้นแพ้ทางทุกที
ฉันเหมือนต้องมนต์ มัวเมาในอ้อมกอด
และน้ำเสียงเธอที่อ่อนหวาน

และทั้งทั้งที่รู้ว่าเธอ รักเขาอยู่
และรู้ว่าเธอร้าย
เสียงที่คอยกระซิบแผ่วเบา กับรักที่บอก
อ่อนหวานแต่กลับทำร้าย

หยุดบอกว่ารักกันทั้งๆ ที่รู้ว่าเธอต้องไป
และเธอรู้ว่าฉันนั้นรักเธอมากเท่าไร
แค่บางคำที่ใช้หลอกลวง
แต่มันทรมานแค่ไหน
หยุดบอกว่ารักกันทั้งๆ ที่รู้ว่าเธอต้องไป

และทั้งทั้งที่รู้ว่าเธอ รักเขาอยู่
และรู้ว่าเธอร้าย
เสียงที่คอยกระซิบแผ่วเบา กับรักที่บอก
อ่อนหวานแต่กลับทำร้าย

หยุดบอกว่ารักกันทั้งๆ ที่รู้ว่าเธอต้องไป
และเธอรู้ว่าฉันนั้นรักเธอมากเท่าไร
แค่บางคำที่ใช้หลอกลวง
แต่มันทรมานแค่ไหน
หยุดบอกว่ารักกันทั้งๆ ที่รู้ว่าเธอต้องไป

ฉันนั้นหลงกล ในอารมณ์ของเธอ
ฉันนั้นหลงกล ในอารมณ์ของเธอ",lomosonic
หากโลกนี้ไม่มีความรัก (Everyday Occurrence),/music/thailyric/14519,"ฉันยังยืนตรงนี้ ที่เคยมีเธอ
กับรอยยิ้มที่ช่างงดงาม
ภาพในวันสุดท้ายที่เคยมีเรา
คงไม่มีอีกแล้ว

หากโลกนี้ไม่มีความรักคงดี
ฉันจะได้ไม่ต้องคิดถึงใครสักคน
ที่เดินจากไป และต้องเสียใจ

วันที่เธอทรมาน
เหมือนทำธีสิสปีสุดท้าย
ที่ใช้เวลาแสนเนิ่นนาน
น้ำตาอาจมีรสชาติขม
ผสมความหวานของน้ำตาล

เมื่อเจ็บจึงจะเข้าใจ

เพราะคำว่ารักคือความรู้สึกที่เกิดมาคู่กับหัวใจ
วันนี้เธอคงจะตาสว่างในวันที่ฟ้ายังห่างไกล

วันและคืนที่ผ่านพ้นไป

มันอาจจะทำให้เธอเสียใจ
แต่มันไม่อาจหยุดลมหายใจ

มันคือคำว่ารัก

หากโลกนี้ มีแต่ความรักคงดี
เพราะให้เราได้รู้และรักใครสักคน
แม้จะผิดหวัง จนต้องเข้าใจ

หากโลกนี้ไม่มีความรักคงดี
ฉันจะได้ไม่ต้องคิดถึงใครสักคน
ที่เดินจากไป ที่เดินจากไป

หากโลกนี้มีแต่ความรักคงดี
เพราะให้เราได้รู้และรักใครสักคน
แม้จะผิดหวัง จนต้องเข้าใจ
เข้าใจ เข้าใจ เข้าใจ เข้าใจ",lomosonic
เก็บไว้ (Echo),/music/thailyric/9540,"รักที่ต้องจบด้วยคำว่าลา ฉันคงต้องปล่อยให้เธอลับตา 
รอยยิ้ม สิ่งสุดท้าย โบกมือเพื่อการเริ่มต้นใหม่ 

แม้....จาก กันแล้ว  แต่ฉันเอง อยากให้เธอ 

เก็บไว้.....ในวันที่เธอ ไม่มีใคร 
หากว่าเหงา ยังมี หนึ่งคนที่รักเธออยู่ 
ยังคงคิดถึงเธอ  อย่างเดิม เสมอไป 

ฉันคงไม่อาจเอ่ยคำพูดใด ให้เธอรู้สึกอย่างที่ตั้งใจ 
แต่จำไว้หากยังรัก สุดท้ายฉันจะมาพบเธอ 

แม้....จาก กันแล้ว  แต่ฉันเอง อยากให้เธอ 

เก็บไว้.....ในวันที่เธอ ไม่มีใคร 
หากว่าเหงา ยังมี หนึ่งคนที่รักเธออยู่ 
ยังคงคิดถึงเธอ  อย่างเดิม เสมอไป 

เก็บไว้.....ในวันที่เธอ ไม่มีใคร 
หากว่าเหงา ยังมี หนึ่งคนที่รักเธออยู่ 
ยังคงคิดถึงเธออย่างเดิม เสมอไป 

นับจากนี้ไม่มีแล้ว คำว่ารัก ที่ผ่านมาคงจะเป็นเหมือนฝัน 
สุดท้ายเราคงต้องจากกัน ยังจากกันไปด้วยดี 

เก็บไว้.....ในวันที่เธอ ไม่มีใคร 
หากว่าเหงา ยังมี หนึ่งคนที่รักเธออยู่ 
ยังคงคิดถึงเธออย่างเดิม เสมอไป 

เก็บไว้.....ในวันที่เธอ ไม่มีใคร 
หากว่าเหงา ยังมี หนึ่งคนที่รักเธออยู่ 
ยังคงคิดถึงเธออย่างเดิม เสมอไป 

ด้วยความปวดร้าวที่มี จะเก็บไว้ เก็บความเจ็บช้ำข้างใน ในใจฉัน",lomosonic
ขอ (Warm Eyes),/music/thailyric/9794,"จากวันนั้น ฉันไม่รู้ว่านานเท่าไร ที่เราได้จากกัน
เหตุผลใดๆ ไม่ใช่เรื่องใหญ่
วันนี้ได้มองตา ตาดวงเดิมคู่นั้นอบอุ่นเหลือเกิน
เธอกับฉัน ความทรงจำมากมาย

ไม่อยากจะขอ ให้เวลานี้เป็นของเรา
ไม่อยากจะถาม ว่าเราจะเหมือนเดิมได้ไหม
แค่อยากให้รู้ ที่ผ่านมานั้น ฉันคิดถึงเธอสุดหัวใจ

กว่าที่จะรู้ ว่าตัวเธอนั้นสำคัญเท่าไร
และก็ได้รู้ ในวันที่ฉันเสียเธอไป

ไม่อยากจะขอ ให้เวลานี้เป็นของเรา
ไม่อยากจะถาม ว่าเราจะเหมือนเดิมได้ไหม
แค่อยากให้รู้ ที่ผ่านมานั้น ฉันคิดถึงเธอสุดหัวใจ

กว่าที่จะรู้ ว่าตัวเธอนั้นสำคัญเท่าไร
และก็ได้รู้ ในวันที่ฉัน เสียเธอไป

ไม่อยากจะขอ ให้เวลานี้เป็นของเรา
ไม่อยากจะถาม ว่าเราจะเป็นเหมือนเดิมได้ไหม
แค่อยากให้รู้ ที่ผ่านมานั้น ฉันคิดถึงเธอสุดหัวใจ

ไม่อยากจะขอ ให้เวลานี้เป็นของเรา
ไม่อยากจะถาม ว่าเราจะเหมือนเดิมได้ไหม
แค่อยากให้รู้ ที่ผ่านมานั้น ฉันคิดถึงเธอสุดหัวใจ

ไม่อยากจะขอ ให้เวลานี้เป็นของเรา
ไม่อยากจะถาม ว่าเราจะเหมือนเดิมได้ไหม
แค่อยากให้รู้ ว่าในวันนี้ ฉันเหมือนได้เจอลมหายใจ",lomosonic
ความรู้สึกของวันนี้ (Felt),/music/thailyric/9133,"หยดน้ำที่นอกหน้าต่าง
หมอกขาวและเส้นบางๆ ลมพัดมา
พาฝนโปรยตรงที่เธอเดินผ่าน
กลิ่นหอมของข้าวในจาน
บันทึกที่เขียนประจำวันคืน ผ่าน ล่วงไป

รองเท้าที่ใช้จนเก่า
เศษเหรียญที่เรายังเก็บ
เพลงของเธอบนชั้นวางเพลงที่ไม่เคยเปิด
จดหมายที่เขียนถึงเธอ
ดอกไม้ที่ให้เธอวันสุดท้าย สุดท้าย

ฉันคิดถึงเธออยู่
ทุกช่วงเวลาที่ยัง หายใจ
ฉันคิดถึงเธออยู่
แม้รู้ว่ามันอ่อนแอ เหลือเกิน
คือสิ่งเดียวที่ฉันนั้นรู้สึก
แม้จะเนิ่นนาน เท่าไร

ก็เพราะว่าเธอยังอยู่
ก็เพราะว่าเธอยังอยู่ในหัวใจ
ในหัวใจคนที่เธอเคยบอก
ว่ารักเขามากที่สุด
ว่ารักเขามากในสัญญาที่เอ่ย ถ้อยคำ

ไม่เพียงแค่ฉันรู้สึก
แต่เธอก็คงรู้สึก
วันของเรา เพลงของเรา
เพลงที่เราเคยเปิด
จดหมายที่เขียนถึงกัน
ดอกไม้ที่ให้กันวันสุดท้าย สุดท้าย

ฉันคิดถึงเธออยู่
ทุกช่วงเวลาที่ยัง หายใจ
ฉันคิดถึงเธออยู่
แม้รู้ว่ามันอ่อนแอ เหลือเกิน
คือสิ่งเดียวที่ฉันนั้นรู้สึก
แม้มันเนิ่นนานเท่าไร

ฉันคิดถึงเธออยู่
ทุกช่วงเวลาที่ยัง หายใจ
ฉันคิดถึงเธออยู่
แม้รู้ว่ามันอ่อนแอ เหลือเกิน
มันคงชัดเจนทุกอย่าง
และยังมีแค่เธอเท่านั้น

แม้จะเนิ่นนานเท่าไร",lomosonic
