song_name,href,lyric,artist
กลัวเข้าใจผิด,/music/thailyric/8662,"รักฉันบ้างรึเปล่า อย่าให้ฉันต้องเดาอีกเลย
เพราะว่าฉันไม่เคยมีผู้ใดมาห่วงกัน
รักฉันบ้างรึเปล่า ถึงได้มาดูแลอยู่ทุกวัน
เธอทำไปอย่างนั้น และว่าไง

อยากจะบอกว่ารักก็กลัวจะทำผิดไป
ถ้าบังเอิญไม่คิดอะไรเหมือนกัน

ฉันกลัวว่าฉันจะคิดเอง กลัวเข้าใจผิดเอง
ตีความทุกอย่างพลาดไป
แท้ที่จริงก็เป็นแค่ความเป็นห่วงทั่วๆ ไป
ไม่ใช่ความห่วงใยแบบคนที่รักกัน

หวงฉันบ้างรึเปล่า ยามที่ฉันเจอใครต่อใคร
คิดถึงบ้างรึเปล่า ยามที่เราต้องห่างไกล
ฝันถึงฉันบ้างรึเปล่า ในค่ำคืนที่เธอแอบเหงาใจ
เคยมีกันบ้างไหม อยากรู้ใจ

อยากจะบอกว่ารักก็กลัวจะทำผิดไป
ถ้าบังเอิญไม่คิดอะไรเหมือนกัน

ฉันกลัวว่าฉันจะคิดเอง กลัวเข้าใจผิดเอง
ตีความทุกอย่างพลาดไป
แท้ที่จริงก็เป็นแค่ความเป็นห่วงทั่วๆ ไป
ไม่ใช่ความห่วงใยแบบคนที่รักกัน

รัก ฉันรักเธอรู้รึเปล่า ได้แต่เก็บไว้ไม่กล้าจะบอก
อยากให้เธอรู้ แต่วันฉันต้องรักเธออยู่ในใจ

ฉันกลัวว่าฉันจะคิดเอง กลัวเข้าใจผิดเอง
ตีความทุกอย่างพลาดไป
แท้ที่จริงก็เป็นแค่ความเป็นห่วงทั่วๆ ไป
ไม่ใช่ความห่วงใยแบบคนที่รักกัน",lookwa_pijika
ความรักฉันหายไป (Lost Love),/music/thailyric/8795,"ฉันกระวนกระวาย ทันทีที่ได้รู้ว่าบางสิ่งมันหาย
ฉันก็เริ่มตามหา หาจนใจอ่อนล้าเพราะฉันจำไม่ได้
พยายามจะนึก นึกว่าครั้งสุดท้ายมันอยู่ตรงไหน
ฉันก็ถามตัวเอง ว่าฉันดูแลไม่ดี หรือเพราะมีใครเอาไป
ถ้าหากไม่ได้คืนมา ฉันก็คงเสียน้ำตาคงไม่ไหว

ความรักฉันหายไป เธอเห็นมันบ้างไหม
เหมือนว่าครั้งสุดท้ายที่เจอ ฉันเห็นเธอเก็บเอาไว้
อยากให้เธอนั้นช่วยดู ดูว่ามันยังอยู่ไหม
ถ้ามันยังไม่ได้หายไป ช่วยบอกให้ฉันรู้ที

ฉันก็ยังไม่รู้ ว่าสิ่งที่ฉันหา
มันยังอยู่กับเธอไหม แต่ฉันก็ได้แต่หวัง
หวังว่าเธอจะเจอมันอยู่ในหัวใจ
ถ้าหากไม่ได้คืนมา ฉันก็คงเสียน้ำตาคงไม่ไหว

ความรักฉันหายไป เธอเห็นมันบ้างไหม
เหมือนว่าครั้งสุดท้ายที่เจอ ฉันเห็นเธอเก็บเอาไว้
อยากให้เธอนั้นช่วยดู ดูว่ามันยังอยู่ไหม
ถ้ามันยังไม่ได้หายไป ช่วยบอกให้ฉันรู้ที

ความรักฉันหายไป เธอเห็นมันบ้างไหม
เหมือนว่าครั้งสุดท้ายที่เจอ ฉันเห็นเธอเก็บเอาไว้
อยากให้เธอนั้นช่วยดู ดูว่ามันยังอยู่ไหม
ถ้ามันยังไม่ได้หายไป ช่วยบอกให้ฉันรู้ที

ช่วยบอกให้ฉันรู้ที
ช่วยบอกให้ฉันรู้ที
ช่วยบอกให้ฉันรู้ที",lookwa_pijika
ความรักดีๆ (Good Love),/music/thailyric/9826,"คนที่โดนทำร้าย คนที่ใจบอบช้ำ
คนที่ถูกความรัก ทำให้ใจสลาย
จนหวาดกลัวความรัก มองโลกในแง่ร้าย
และเริ่มมีความคิด ว่าอยู่คนเดียวก็ได้
อยากจะบอกว่าเดี๋ยวก่อน
แค่ลองใช้อารมณ์ผสมกันกับเหตุผล
กับใครสักคนที่ใช่

ความรักดีๆ ความรักดีๆ ไม่มีขาย
หากอยากได้คงต้องสร้างขึ้นมา
มันคงไม่หล่นมาจากฟ้า
ความรักดีๆ ความรักดีๆ ไม่มีขาย
หากอยากได้คงต้องใช้เวลาและหัวใจ
เริ่มต้นใหม่กับใครสักคนที่เข้ากัน

มันก็เป็นแบบนี้ มีเรื่องดีและร้าย
มีบางคืนที่เหงาจนต้องนอนร้องไห้
แต่อยากจะบอกว่าเดี๋ยวก่อน
แค่ลองใช้อารมณ์ผสมกันกับเหตุผล
กับใครสักคนที่ใช่

ความรักดีๆ ความรักดีๆ ไม่มีขาย
หากอยากได้คงต้องสร้างขึ้นมา
มันคงไม่หล่นมาจากฟ้า
ความรักดีๆ ความรักดีๆ ไม่มีขาย
หากอยากได้คงต้องใช้เวลาและหัวใจ
เริ่มต้นใหม่กับใครสักคนที่เข้ากัน

อย่าให้วันเวลาที่เลยผ่าน ทำร้ายหัวใจเธอ
เพียงเธอเปิดตา เพียงเธอเปิดใจ
วันดีๆ ยังรออยู่เสมอ

ความรักดีๆ ความรักดีๆ ไม่มีขาย
หากอยากได้คงต้องสร้างขึ้นมา
มันคงไม่หล่นมาจากฟ้า
ความรักดีๆ ความรักดีๆ ไม่มีขาย
หากอยากได้คงต้องใช้เวลาและหัวใจ
เริ่มต้นใหม่กับใครสักคนที่เข้ากัน
เริ่มต้นใหม่กับใครสักคนที่เข้ากัน",lookwa_pijika
จิตใต้สำนึก (Subconscious),/music/thailyric/9100,"ฉันไม่ได้เป็นอะไร
เพียงแค่ฉันไม่เหลือใคร
รู้ว่าต้องทำอย่างไร
เพียงแค่ยังทำไม่ไหว

แต่ทุกครั้งที่ฉันเผลอ
สิ่งที่ฉันนั้นควรทำ
แต่ตัวฉันนั้นก็ทำไม่ได้

พยายามสักเท่าไร
พยายามสักแค่ไหน
มันไม่มีความหมาย

ทุกครั้งที่เบลอ
มันเหมือนว่ามีเธออยู่
จิตใต้สำนึกของฉัน
ยังฝังเธออยู่ข้างใน

พอได้สติ ฉันคว้าไม่เจออะไร
ไม่รู้ว่าเธอ อยู่ที่ไหนๆ
โปรดกลับมาได้ไหม ฉันคิดถึงเธอ

วันทุกวันยังอ่อนล้า
ในทุกคืนยังอ่อนไหว
ความรักที่ได้เคยผ่านมา
มันไม่เคยจะผ่านไป

ในทุกครั้งที่ฉันเผลอ
สิ่งที่ฉันนั้นควรทำ
แต่ตัวฉันนั้นก็ทำไม่ได้

พยายามสักเท่าไร
พยายามสักแค่ไหน
มันไม่มีความหมาย

ทุกครั้งที่เบลอ
มันเหมือนว่ามีเธออยู่
จิตใต้สำนึกของฉัน
มันฝังเธออยู่ข้างใน

พอได้สติ ฉันคว้าไม่เจออะไร
ไม่รู้ว่าเธอ อยู่ที่ไหนๆ
โปรดกลับมาได้ไหม ฉันคิดถึงเธอ

ทุกครั้งที่เบลอ
มันเหมือนว่ามีเธออยู่
จิตใต้สำนึกของฉัน
มันฝังเธออยู่ข้างใน

พอได้สติ ฉันคว้าไม่เจออะไร
ไม่รู้ว่าเธอ อยู่ที่ไหนๆ
โปรดกลับมาได้ไหม
ฉันคิดถึงเธอ ฉันคิดถึงเธอ",lookwa_pijika
นิดนึง,/music/thailyric/5249,"เคยได้ยินมาว่า ความรักทำให้คนเราตาบอด
เคยได้ยินมาว่า ความรักทำให้หัวใจเป็นทุกข์
บางคนก็บอกว่า ความรักทำให้เรามีความสุข
แต่ตัวฉันคิดว่า ความรักทำให้เรากลายเป็นเด็ก

พูดไม่ชัด เป็นเด็กน้อย
นั่งคอยโทรศัพท์เช้าเย็น
จะโตแค่ไหนก็มีงอแง ไม่มีข้อยกเว้น

คนมีความรัก มักจะดูเด็กลงไปนิดนึง
คนมีความรัก มักจะไม่ทำหน้าตาบึ้งตึง
คนมีความรัก มักจะชอบทำแววตาหวานซึ้ง
อย่างที่ฉันเป็นตอนนี้ อย่าถือสาแค่อยากขอนิดนึง

เรียกตัวเองว่าเค้า เรียกเขาว่าตัวเอง กันหรือเปล่า
อยู่กันสองต่อสอง ก็มีงอแงบ่อยเลยใช่ไหม
เวทมนต์แห่งความรัก มักมีอะไรที่ไม่เข้าใจ
ไม่ใช่เธอเท่านั้นที่เป็นแบบนี้ เธอรู้ใช่ไหม

พูดไม่ชัด เป็นเด็กน้อย
นั่งคอยโทรศัพท์เช้าเย็น
จะโตแค่ไหนก็มีงอแง ไม่มีข้อยกเว้น

คนมีความรัก มักจะดูเด็กลงไปนิดนึง
คนมีความรัก มักจะไม่ทำหน้าตาบึ้งตึง
คนมีความรัก มักจะชอบทำแววตาหวานซึ้ง
อย่างที่ฉันเป็นตอนนี้ อย่าถือสาแค่อยากขอนิดนึง

พูดไม่ชัด เป็นเด็กน้อย
นั่งคอยโทรศัพท์เช้าเย็น
จะโตแค่ไหนก็มีงอแง ไม่มีข้อยกเว้น

คนมีความรัก มักจะดูเด็กลงไปนิดนึง
คนมีความรัก มักจะไม่ทำหน้าตาบึ้งตึง
คนมีความรัก มักจะชอบทำแววตาหวานซึ้ง
อย่างที่ฉันเป็นตอนนี้ อย่าถือสาแค่อยากขอนิดนึง

คนมีความรัก มักจะดูเด็กลงไปนิดนึง
คนมีความรัก มักจะไม่ทำหน้าตาบึ้งตึง
คนมีความรัก มักจะชอบทำแววตาหวานซึ้ง
อย่างที่ฉันเป็นตอนนี้ อย่าถือสาแค่อยากขอนิดนึง
อย่างที่ฉันเป็นตอนนี้ อย่าถือสาแค่อยากขอนิดนึง",lookwa_pijika
มองฉันคนนี้ (Look at Me Now),/music/thailyric/8674,"เธอรู้จักฉันแค่เพียงสบสายตา
เธอรู้จักฉันจากวันที่ผ่านมา
แต่เธอไม่เคยที่จะรู้ ไม่เคยที่จะรู้เลย
ไม่เคยที่จะเข้าใจในสิ่งนั้น ว่าฉันจะเป็นเช่นไร

สิ่งไหนที่ทำให้เธอกล้า ตัดสินในคำว่าคุณค่า
มองฉันคนนี้ มองฉันตอนนี้
มองฉันคนนี้ โปรดมองฉันให้ดี

มองในสิ่งที่ฉันมี ฉันขอให้เธอ
มองฉันคนนี้ มองฉันตอนนี้
มองฉันคนนี้ โปรดมองฉันให้ดี
มองในสิ่งที่ฉันมี ฉันขอให้เธอ

ฉันคือภาพสะท้อนในกระจกเงา
คือภาพสะท้อนในกระจกตา
แต่ฉันไม่เคยที่จะรู้ ไม่เคยที่จะรู้เลย
ไม่เคยที่จะเข้าใจในสิ่งนั้น ว่าฉันจะเป็นเช่นไร
แต่แล้วทำไมทุกคนกล้า ตัดสินในคำว่าคุณค่า

มองฉันคนนี้ มองฉันตอนนี้
มองฉันคนนี้ โปรดมองฉันให้ดี
มองในสิ่งที่ฉันมี ฉันขอให้เธอ
มองฉันคนนี้ มองฉันตอนนี้
มองฉันคนนี้ โปรดมองฉันให้ดี
รักในสิ่งที่ฉันมี ฉันขอให้เธอ

มองฉันคนนี้",lookwa_pijika
อยู่ๆ ก็มาปรากฏตัวในหัวใจ,/music/thailyric/8506,"เธอไม่ใช่คนที่ฉันเฝ้ารอ 
เธอไม่ใช่คนที่ฝัน
แต่ความจำเป็นทำให้เราใกล้กัน 
ไม่รู้จะทำยังไง

มองทีไรก็ไม่ค่อยถูกชะตา
ตลอดเวลารู้สึกไม่ชอบด้วยซ้ำไป
แต่พอวันหนึ่งซึ่งไม่รู้ว่าวันไหน
ลืมปิดประตูหัวใจซะงั้น

อยู่ๆ ก็มีแต่เธอมาปรากฏตัวในหัวใจ
อยู่ๆ ไม่รู้ทำไม ถึงคิดถึงเธอได้ทั้งวัน
จากที่ไม่ชอบ ก็กลายเป็นใช่
กลายเป็นคำตอบของใจฉัน
ความผูกพันเพิ่มขึ้นเพิ่มขึ้นไม่ลดเลย ฉันรักเธอจัง

ก็เพิ่งรู้ใจมันไม่แข็งแรง 
เอาจริงมันก็หวั่นไหว
แค่เผลอไปนิดก็รักเธอทั้งใจ 
ก็ได้แต่เลยตามเลย

ก่อนมองทีไรก็ไม่ค่อยถูกชะตา
ตลอดเวลารู้สึกไม่ชอบด้วยซ้ำไป
แต่พอวันหนึ่งซึ่งไม่รู้ว่าวันไหน
ลืมปิดประตูหัวใจซะงั้น

อยู่ๆ ก็มีแต่เธอมาปรากฏตัวในหัวใจ
อยู่ๆ ไม่รู้ทำไม ถึงคิดถึงเธอได้ทั้งวัน
จากที่ไม่ชอบ ก็กลายเป็นใช่
กลายเป็นคำตอบของใจฉัน
ความผูกพันเพิ่มขึ้นเพิ่มขึ้นไม่ลดเลย ฉันรักเธอจัง

อยู่ๆ ก็มีแต่เธอมาปรากฏตัวในหัวใจ
อยู่ๆ ไม่รู้ทำไม ถึงคิดถึงเธอได้ทั้งวัน
จากที่ไม่ชอบ ก็กลายเป็นใช่
กลายเป็นคำตอบของใจฉัน
ความผูกพันเพิ่มขึ้นเพิ่มขึ้นไม่ลดเลย

อยู่ๆ ก็มีแต่เธอมาปรากฏตัวในหัวใจ
อยู่ๆ ไม่รู้ทำไม ถึงคิดถึงเธอได้ทั้งวัน
จากที่ไม่ชอบ ก็กลายเป็นใช่
กลายเป็นคำตอบของใจฉัน
ความผูกพันเพิ่มขึ้นเพิ่มขึ้นไม่ลดเลย ฉันรักเธอจัง",lookwa_pijika
แอบเจ็บ,/music/thailyric/9043,"เพื่อนเขามางานเลี้ยงสนุกกัน
แต่ฉันแอบอยู่เพียงผู้เดียว
กับน้ำตาที่หมดแรงยึดเหนี่ยว
อีกเดี๋ยวคงหลั่งริน

เห็นเธอเข้ามาสองคน
สองคนแอบเชยชิดกัน
สองคนสบตาซึ้งใจกัน

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
แอบเจ็บคนเดียว
แอบโกรธคนเดียวทนข่มใจ

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
เจ็บปวดเพียงใด
ปลอบใจตัวเองด้วยน้ำตา

แว่วเสียงเพลงงานเลี้ยงดังออกไป
ก้องอยู่ในใจทั้งคืน
แทรกเสียงเพลงคือเสียงสะอื้น
ต้องฝืนทนหลับตา

เห็นเธอเข้ามาสองคน
สองคนแอบเชยชิดกัน
สองคนสบตาซึ้งใจกัน

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
แอบเจ็บคนเดียว
แอบโกรธคนเดียวทนข่มใจ

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
เจ็บปวดเพียงใด
ปลอบใจตัวเองด้วยน้ำตา

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
แอบเจ็บคนเดียว
แอบโกรธคนเดียวทนข่มใจ

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
เจ็บปวดเพียงใด
ปลอบใจตัวเองด้วยน้ำตา

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
แอบเจ็บคนเดียว
แอบโกรธคนเดียวทนข่มใจ

แอบเจ็บเพราะเธอที่ใจร้าย
อีกหยดน้ำตาก็รินไหล
เจ็บปวดเพียงใด",lookwa_pijika
นอร์ธ สตาร์ (North Star),/music/thailyric/9738,"คืนนี้ไม่รู้เป็นอะไร อยู่ดีดีอยากมองที่ดวงดาว
จริงไหมเรื่องที่เคยได้ยิน
เกี่ยวกับดาวอยากรู้ว่าจริงไม่จริง

เห็นใครใครต่อใครขอกันมากมาย
ให้ดวงดาวช่วยคอยนำทาง
อยากจะเดินทางตามดาวสักที
ดาวนำทางให้ทีให้ฉันนั้นเจอ จุดหมายปลายทาง
อยากจะเจอใครจริงใจสักที ดาวนำทางให้ที
หลงทางไปวันวัน ผิดถูกก็เดามั่วเรื่อยไป
ถ้าเป็นจริงช่วยหน่อย พาฉันไปเจอสักที

ก่อนนั้นไม่เคยแคร์อะไร
กับดวงดาวไม่เคยไม่สนใจ
ตอนนี้แหงนมองดูทีไร
กลับเปลี่ยนไปก็ยังแปลกใจเหมือนกัน

เห็นใครใครต่อใครขอกันมากมาย
ให้ดวงดาวช่วยคอยนำทาง
อยากจะเดินทางตามดาวสักที
ดาวนำทางให้ทีให้ฉันนั้นเจอ จุดหมายปลายทาง
อยากจะเจอใครจริงใจสักที ดาวนำทางให้ที
หลงทางไปวันวัน ผิดถูกก็เดามั่วเรื่อยไป
ถ้าเป็นจริงช่วยหน่อย พาฉันไปเจอสักที

คนที่เฝ้ารอขอแค่ดาวนำทางได้ไหม
จะไกลสักเท่าไรก็ไม่ท้อ

เห็นใครใครต่อใครขอกันมากมาย
ให้ดวงดาวช่วยคอยนำทาง
ให้ฉันนั้นเจอ จุดหมายปลายทาง
อยากจะเจอใครที่จริงใจ
หลงทางไปวันวัน ผิดถูกก็เดามั่วเรื่อยไป
ถ้าเป็นจริงช่วยหน่อย พาฉันไปเจอสักที",lookwa_pijika
เผลอใจ,/music/thailyric/9371,"รักเธอไหมไม่รู้จริงๆ ไม่เคยคิดมาก่อน
ชอบเธอไหมก็ไม่มั่นใจตัวเองนัก

แค่ชอบคิดถึงทุกๆ คืนก่อนนอน
อย่างนี้เรียกว่ารักหรือเปล่า
ฉันก็สงสัยใจตัวเองไม่เบา

มันไม่เข้าใจเผลอใจให้เธอตอนไหน
มันไม่รู้ตัวแล้วฉันควรทำอย่างไร
ถ้าหากรักจริงแล้วเธอจะเป็นอย่างฉันไหม
ฉันกลัวใจแอบรักเธอไปคนเดียว

เหมือนหยดน้ำที่ค่อยๆ ซึมสู่ใจฉันข้างใน
รักตอนไหนบอกได้คำเดียวว่าไม่รู้

แค่ชอบคิดถึงทุกๆ คืนก่อนนอน
อย่างนี้เรียกว่ารักหรือเปล่า
ฉันก็สงสัยใจตัวเองไม่เบา

มันไม่เข้าใจเผลอใจให้เธอตอนไหน
มันไม่รู้ตัวแล้วฉันควรทำอย่างไร
ถ้าหากรักจริงแล้วเธอจะเป็นอย่างฉันไหม
ฉันกลัวใจแอบรักเธอไปคนเดียว

แค่ชอบคิดถึงทุกๆ คืนก่อนนอน
อย่างนี้เรียกว่ารักหรือเปล่า
ฉันก็สงสัยใจตัวเองไม่เบา

มันไม่เข้าใจเผลอใจให้เธอตอนไหน
มันไม่รู้ตัวแล้วฉันควรทำอย่างไร
ถ้าหากรักจริงแล้วเธอจะเป็นอย่างฉันไหม
ฉันกลัวใจแอบรักเธอไปคนเดียว
ถ้าใจเธอจะคิดเหมือนกันคงดี",lookwa_pijika
