song_name,href,lyric,artist
คืนจันทร์,/music/thailyric/15248,"คืนนี้จันทร์ นวลผ่อง
มองแล้วคิด ถึงแต่เธอ
ตัวฉันยืน มองเหม่อ
ถามว่าเธอ อยู่ที่ใด
วอนสายลมแผ่วๆ
ให้ช่วยพัด พาใจไป
บอกกับเธอ ว่า คิดถึง

จันทร์เจ้ารู้ หรือเปล่า
ว่าฉันเหงา เกินกว่าใคร
วันที่เธอ ลาไกล
บอกไปแล้ว จะกลับมา
คืน นี้ ฉันรอ เธออยู่
อยากบอกให้รู้ คำเดียวว่า
จะรอจนกว่า
ค่ำคืนนี้ ไม่มีจันทร์

รัก รักเธอหมดใจ รู้รึเปล่า
อยากมีเพียง สองเรา
อยู่กับจันทร์ เหมือนเคย
อยาก ฟังซ้ำ
คำที่เธอ เอื้อนเอ่ย
บอกว่ารัก เหมือนเคย
อยู่ ในอ้อมแขน

จันทร์เจ้ารู้ หรือเปล่า
ว่าฉันเหงา เกินกว่าใคร
วันที่เธอ ลาไกล
บอกไปแล้ว จะกลับมา
คืน นี้ ฉันรอ เธออยู่
อยากบอกให้รู้ คำเดียวว่า
จะรอจนกว่า
ค่ำคืนนี้ ไม่มีจันทร์

รัก รักเธอหมดใจ รู้รึเปล่า
อยากมีเพียง สองเรา
อยู่กับจันทร์ เหมือนเคย
อยาก ฟังซ้ำ
คำที่เธอ เอื้อนเอ่ย
บอกว่ารัก เหมือนเคย
อยู่ ในอ้อมแขน

รัก รักเธอหมดใจ รู้รึเปล่า
อยากมีเพียง สองเรา
อยู่กับจันทร์ เหมือนเคย
อยาก ฟังซ้ำ
คำที่เธอ เอื้อนเอ่ย
บอกว่ารัก เหมือนเคย
อยู่ ในอ้อมแขน ฉัน",loso
ใจสั่งมา,/music/thailyric/5289,"หากว่าเธอผ่านมาได้ยิน เพลงนี้
คาดว่าเธอก็คงรู้ดี ว่าเป็นฉัน
มอบให้เธอคนเดียว อาจไม่เกี่ยวแต่สำคัญ
เพราะฉัน นั้นอยากให้เธอได้ฟัง

ที่เฝ้าแต่โทร โทรไปหาเธอ เรื่อยเปื่อย
เหนื่อยก็ยอม ก็ใจชอบเธอ ไม่เบา
แต่ใจเจ้ากรรมไม่รู้เลย ว่าเธอไม่ชอบเรา
ไม่สนและไม่เอา ไม่อยากคุย

ก็เลยมาร้องเพลงบอก แค่อยากให้เธอนั้นเข้าใจ
ไอ้สิ่งที่ฉันทำลงไป ใจสั่งมา
อย่าโกรธเลยน้าคนดี ยกโทษให้ฉันนะแก้วตา
คราวหลังจะไม่มา จะไม่โทร

ก็เลยมาร้องเพลงบอก แค่อยากให้เธอนั้นเข้าใจ
ไอ้สิ่งที่ฉันทำลงไป ใจสั่งมา
อย่าโกรธเลยน้าคนดี ยกโทษให้ฉันนะแก้วตา
คราวหลังจะไม่มา จะไม่โทร

และสุดท้ายที่ในหัวใจ มันร่ำร้อง
อยากจะมอง จะมองหน้าเธอ อีกซักที
ก่อนจะลา เธอไป คนใจดำหน้าตาดี
ขอโทษเธอซักที จากหัวใจ
แต่มีหนึ่งคำ ที่ยังค้างคาใจ
คำพูดลูกผู้ชาย ฉันชอบเธอ",loso
ผู้ชนะ,/music/thailyric/5290,"หากชีวิตคือการดิ้นรน คนหนึ่งคนต้องเดินก้าวไป
ให้เรารู้เส้นทางแห่งใจ แล้วก็ไปให้ถึงที่นั่น

เพราะชีวิตคือการต่อสู้ ให้เรียนรู้ด้วยใจตั้งมั่น
เส้นทางไกลแค่ไหนช่างมัน คนช่างฝันเท่านั้นทำได้

ฉันคือหนึ่งคน ที่ทนฟันฝ่า พลังศรัทราคือสิ่งดี
ได้มาเท่ากัน เหมือนกันทุกที่ เตรียมใจที่มีให้มั่นคงเข้าไว้

ขอเพียงแค่ฝันให้ไกล แล้วไปให้ถึงที่จุดหมาย
โปรดจงมั่นใจ ที่ทำลงไปนะถูกแล้ว
อย่าฟังคำคน อย่าสนใจใคร อย่าเปลี่ยนแนว
คนแน่แน่วเท่านั้น ผู้ชนะ

หากปัญหาเข้ามาถ่างโถม อย่าไปโหมให้จงผ่อนคลาย
ค่อยๆคิดสบายๆ ปล่อยมันไปตามเรื่องสักวัน
เพราะชีวิตคือการต่อสู้ ให้เรียนรู้ด้วยใจตั้งมั่น
เส้นทางไกลแค่ไหนช่างมัน คนช่างฝันเท่านั้นทำได้

ฉันคือหนึ่งคน ที่ทนฟันฝ่า พลังศรัทราคือสิ่งดี
ได้มาเท่ากัน เหมือนกันทุกที่ เตรียมใจที่มีให้มั่นคงเข้าไว้

ขอเพียงแค่ฝันให้ไกล แล้วไปให้ถึงที่จุดหมาย
โปรดจงมั่นใจ ที่ทำลงไปนะถูกแล้ว
อย่าฟังคำคน อย่าสนใจใคร อย่าเปลี่ยนแนว
คนแน่แน่วเท่านั้น ผู้ชนะ

ฉันคือหนึ่งคน ที่ทนฟันฝ่า พลังศรัทราคือสิ่งดี
ได้มาเท่ากัน เหมือนกันทุกที่ เตรียมใจที่มีให้มั่นคงเข้าไว้

ขอเพียงแค่ฝันให้ไกล แล้วไปให้ถึงที่จุดหมาย
โปรดจงมั่นใจ ที่ทำลงไปนะถูกแล้ว
อย่าฟังคำคน อย่าสนใจใคร อย่าเปลี่ยนแนว
คนแน่แน่วเท่านั้น ผู้ชนะ

ขอเพียงแค่ฝันให้ไกล แล้วไปให้ถึงที่จุดหมาย
โปรดจงมั่นใจ ที่ทำลงไปนะถูกแล้ว
อย่าฟังคำคน อย่าสนใจใคร อย่าเปลี่ยนแนว
คนแน่แน่วเท่านั้น ผู้ชนะ",loso
คนบ้า,/music/thailyric/5287,"ก็เก็บมาคิดไปเองฝ่ายเดียว เธอไม่เหลียวไม่มาสนใจ
ไม่เคยถามข้อความข้างใน แต่ใยใจถึงคนึงหา

ไม่กล้าบอกรักเธอสักที เพราะรู้ตัวดีว่าต้อยต่ำกว่า
กลัวเธอมองว่าไร้ค้า ไม่คู่ควรครอบครอง

(เลย/คง)ได้แต่มองเธอเดินผ่านไป เมื่อตอนสายเธอเดินผ่านมา
แค่สบสายตา ไม่กล้าเปิดเผย

เพราะฉันไม่เคยสักที คำนี้ไม่เคยบอกใคร
อยากให้เธอได้ยิน จากผู้คนรอบกาย ว่าใจฉันชอบเธอ
คิดถึงแค่เพียงหน้าเธอ พร่ำเพ้อไม่กินไม่นอน กอดหมอน ร้อนรน เหมือนคนบ้า

ถ้าหากเธอรู้กลัวเธอจากไป หรือในหัวใจมีใครจับจอง
หรือมีคนอื่นสำรอง ก็อาจหม่นหมองหมดความหมาย

เธออาจไม่พูดด้วยอีกเลย ก็เพราะคงเคยๆบ่อยไป
เพียงฉันคนหนึ่งที่มอบใจ แต่ไม่คู่ควรครอบครอง

(เลย/คง)ได้แต่มองเธอเดินผ่านไป เมื่อตอนสายเธอเดินผ่านมา
แค่สบสายตา ไม่กล้าเปิดเผย

เพราะฉันไม่เคยสักที คำนี้ไม่เคยบอกใคร
อยากให้เธอได้ยิน จากผู้คนรอบกาย ว่าใจฉันชอบเธอ
คิดถึงแค่เพียงหน้าเธอ พร่ำเพ้อไม่กินไม่นอน กอดหมอน ร้อนรน เหมือนคนบ้า

เหมือนคนบ้า",loso
มอ' ไซค์รับจ้าง,/music/thailyric/5293,"เช้าตื่นก็ต้องรีบไปปากซอย นั่งคอยว่าใครจะมาเรียกใช้
ถึงสายก็คงต้องรอต่อไป เมื่อไรๆจะรวยซักทีหนอ
น้ำมันมันก็แพงรดต้นคอ รายได้ไม่ค่อยจะพอกับรายใช้
ฟังเพลงก็มีแต่คนหลายใจ เมื่อไรจะสมหวังกันซักที

เกิดเป็นมอเตอร์ไซค์รับจ้าง นั่งข้างทางคนก็มองว่าไม่ดี
ส่งเธอไปทุกทางไปได้ทุกที ยังไม่มีใครจะมาสนใจ
เพราะไม่หล่อ(เพราะไม่หล่อ) ไม่รวย(ไม่รวย) เหมือนใครๆ

เกิดเป็นมอเตอร์ไซค์รับจ้าง นั่งข้างทางคนก็มองว่าไม่ดี
ส่งเธอไปทุกทางไปได้ทุกที ยังไม่มีใครจะมาสนใจ
เพราะไม่หล่อ(เพราะไม่หล่อ) ไม่รวย(ไม่รวย) เหมือนใครๆ

ใครหนอใครจะมาสนใจ ประตูหัวใจเปิดให้คนอย่างฉัน
รวยจนก็คงไม่สำมะคัญ แค่เธอรักฉันคนเดียวก็พอ

เกิดเป็นมอเตอร์ไซค์รับจ้าง นั่งข้างทางคนก็มองว่าไม่ดี
ส่งเธอไปทุกทางไปได้ทุกที ยังไม่มีใครจะมาสนใจ
เพราะไม่หล่อ(เพราะไม่หล่อ) ไม่รวย(ไม่รวย) เหมือนใครๆ

หากเกิดเป็นรถเก๋งคันใหญ่ ไปที่ใดใครก็มองว่าเข้าที
ส่งเธอไปทุกทางไม่ได้เร็วรี่ ไปไหนก็มีๆแต่คนมาสนใจ
เพราะเขาหล่อ(เพราะเขาหล่อ) เขารวย(เขารวย) แถมเส้นใหญ่

เกิดเป็นมอเตอร์ไซค์รับจ้าง นั่งข้างทางคนก็มองว่าไม่ดี
ส่งเธอไปทุกทางไปได้ทุกที ยังไม่มีใครจะมาสนใจ
เพราะไม่หล่อ(เพราะไม่หล่อ) ไม่รวย(ไม่รวย) เหมือนใครๆ

แม้ไม่หล่อ(แม้ไม่หล่อ) ไม่รวย(ไม่รวย) ไม่เป็นไร
แม้ไม่หล่อ(แม้ไม่หล่อ) ไม่รวย(ไม่รวย) แต่เร้าใจ",loso
ไม่ว่าง,/music/thailyric/5294,"คุณจะเอาอะไรกับฉันอีก คุณจะไปกลับเขาฉันก็ยอมหลีก
แต่ฉันจะไปที่ไหนคุณก็ตามจิก ฉันอยู่ ฉันอยู่ อยู่ๆๆอย่างเดิม

คุณจะไปดูหนังคุณก็โทรมา คุณจะไปขี่ม้าคุณก็ชวนไป
คุณจะไปเดินเล่นไปที่ไหน ก็ชวนไป ชวนไป ไปๆๆอย่างเดิม

(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ดูทีวีอยู่ นอนฟังเพลงอยู่ ไม่ว่างๆ(ๆ)สำหรับคุณ

ก็คุณมันใจร้ายเกินกว่าใคร ก็คุณไปมีใครๆอีกคน
แต่ยังมาทำมาวกมาเวียนวน กับฉันอยู่ ฉันอยู่ อยู่ๆๆอย่างเดิม

(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ดูทีวีอยู่ นอนฟังเพลงอยู่ ไม่ว่างๆ(ๆ)สำหรับคุณ

ก็คุณมันใจร้ายเกินกว่าใคร ก็คุณไปมีใครๆอีกคน
แต่ยังมาทำมาวกมาเวียนวน กับฉันอยู่ ฉันอยู่ อยู่ๆๆอย่างเดิม

(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ดูทีวีอยู่ นอนฟังเพลงอยู่ ไม่ว่างๆ(ๆ)สำหรับคุณ

(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ฉันไม่ว่างหรอกคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว)
ดูทีวีอยู่ นอนฟังเพลงอยู่ ไม่ว่างๆ(ๆ)สำหรับคุณ

ฉันไม่ว่างหรอก ฉันไม่ว่างหรอก ไม่ว่างๆสำหรับคุณ
(อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว อ่าฮะอ่าฮ่าอ้าว อ่าฮ่ะอ่าฮ่าอ้าว อ่าฮะอ่าฮ่าอ้าว)",loso
รอยยิ้มนักสู้,/music/thailyric/5295,"หากเหนื่อยนักขอจงหยุดพักเสียก่อน อย่าใจร้อนรีบไปเดี๋ยวมันไม่เข้าที
หยุดเรื่องรักที่ทรมาน เรื่องงานเรื่องเงินก็ดี พักซักทีเดี๋ยวค่อยไป

อย่าไปคิดเรื่องเดิมให้มันปวดใจ ซ่อนเอาไว้ไม่ให้ใครเห็นความพ่ายแพ้
เก็บให้ลึกลงข้างในหัวใจที่อ่อนแอ เหลือเพียงแค่รอยยิ้มของนักสู้

ฉันก็เคยเสียใจไม่น้อยกว่าเธอ และฉันก็เจอเรื่องราวร้ายๆเข้ามา
แต่ทุกๆทีฉันก็ทำ ให้เป็นเหมือนดังว่าแข็งแรงกว่า ไม่ยอมพ่ายแพ้มัน

กว่าจะถึงฝั่งฝันนั้นมันยากเย็น อย่าพึ่งเห็นฉันเดินเข้ามาง่ายๆ
กว่าจะถึงที่ฉันยืน กล้ำกลืนฝืนทนเกือบตาย น้ำตาผู้ชายเคยไหลไม่ใช่เรื่องแปลก

ฉันก็เคยเสียใจไม่น้อยกว่าเธอ และฉันก็เจอเรื่องราวร้ายๆเข้ามา
แต่ทุกๆทีฉันก็ทำ ให้เป็นเหมือนดังว่าแข็งแรงกว่า ไม่ยอมพ่ายแพ้มัน

ฉันก็เคยเสียใจไม่น้อยกว่าเธอ และฉันก็เจอเรื่องราวร้ายๆเข้ามา
แต่ทุกๆทีฉันก็ทำ ให้เป็นเหมือนดังว่าแข็งแรงกว่า ไม่ยอมพ่ายแพ้มัน

ฉันก็เคยเสียใจไม่น้อยกว่าเธอ และฉันก็เจอเรื่องราวร้ายๆเข้ามา
แต่ทุกๆทีฉันก็ทำ ให้เป็นเหมือนดังว่าแข็งแรงกว่า ไม่ยอมพ่ายแพ้มัน

ฉันก็เคยเสียใจไม่น้อยกว่าเธอ และฉันก็เจอเรื่องราวร้ายๆเข้ามา
แต่ทุกๆทีฉันก็ทำ ให้เป็นเหมือนดังว่าแข็งแรงกว่า ไม่ยอมพ่ายแพ้มัน",loso
หมาเห่าเครื่องบิน,/music/thailyric/5297,"อาจฟังไม่มีเหตุผลเท่าไหร่ ก็ฉันไม่มีความหมายกับเธอ
ทุกๆคราวที่นั่งมองเหม่อ มันคิดถึงเธอรู้ไหม
ก็อาจจะเป็นแค่หมาที่เห่าเครื่องบิน แต่อยากให้เธอได้ยินข้อความข้างใน
ที่เจอเธอวันนั้นมันหวั่นไหว จนสุดที่ใจจะทน

จะให้ทำอย่างไหนที่เธอ จะได้หันมามองกันบ้าง
ขอแค่เพียงให้ฉันได้เดินร่วมทาง ก็สุขใจพอแล้ว
จะให้ทำอย่างไหนก็ยอม ไม่อ้อมค้อมเพราะใจแน่แน่ว
ก็เพราะรักเธอเข้าแล้วจริงๆ ก็อยากให้เธอเชื่อใจ

รู้ดีว่าฉันต้อยต่ำ รู้ดีว่าคำที่พูดไป
อาจจะทำให้เธอลำบากใจ ก็คงต้องขอโทษที

จะให้ทำอย่างไหนที่เธอ จะได้หันมามองกันบ้าง
ขอแค่เพียงให้ฉันได้เดินร่วมทาง ก็สุขใจพอแล้ว
จะให้ทำอย่างไหนก็ยอม ไม่อ้อมค้อมเพราะใจแน่แน่ว
ก็เพราะรักเธอเข้าแล้วจริงๆ ก็อยากให้เธอเชื่อใจ

รู้ดีว่าฉันต้อยต่ำ รู้ดีว่าคำที่พูดไป
อาจจะทำให้เธอลำบากใจ ก็คงต้องขอโทษที

ถ้าหากว่าทำให้เธอรู้สึกดี ก็คงจะพอมีทาง",loso
ให้รู้ว่ายังรักกัน,/music/thailyric/5298,"รู้ไหม เมื่อใดที่เธอเหงา อยากให้รู้ว่าเรายังเป็นเพื่อนเธอ
ทุกครั้ง ที่น้ำตาไหลเอ่อ ทุกทีที่เธอไม่เหลือใคร

ให้รู้ว่ยังมีฉัน ให้รู้ว่ายังรักกัน ให้รู้ว่าผูกพัน ให้รู้ว่ามั่นคง
ให้รู้ใจดวงนี้ พักดีซื่อตรง วอนสายลมโปรดจง ช่วยดูแลเธอ

รักเอ๋ย มันทรมานเพียงนี้ เธอที่แสนดีที่แสนไกล
คิดถึง เธอจนปวดใจ เธอจะเป็นอย่างไรในตอนนี้

ให้รู้ว่ยังมีฉัน ให้รู้ว่ายังรักกัน ให้รู้ว่าผูกพัน ให้รู้ว่ามั่นคง
ให้รู้ใจดวงนี้ พักดีซื่อตรง วอนสายลมโปรดจง ช่วยดูแลเธอ

ห่วงเธอได้ยินไหม ห่วงใครจะทำร้ายเธอ

ให้รู้ว่ยังมีฉัน ให้รู้ว่ายังรักกัน ให้รู้ว่าผูกพัน ให้รู้ว่ามั่นคง
ให้รู้ใจดวงนี้ พักดีซื่อตรง วอนสายลมโปรดจง ช่วยดูแลเธอ",loso
ไม่ตายหรอกเธอ,/music/thailyric/12102,"อย่าได้ไหม
อย่าทำให้ฉันเข้าใจผิด
อย่าทำให้คิด
ให้คิดว่ามีใจให้
อย่าบอกกับฉันว่าเธอรัก
ได้โปรดอย่าหลอกว่ายังมีใจ
อย่าเลย ไม่อยากรับฟัง

โปรดอย่าถาม
ว่าฉันนั้นคิดอะไรอยู่
ไม่อยากให้รู้
ว่าฉันกำลังทำใจ
แต่อยากให้รู้สักนิด
แค่อยากจะบอกว่าฉันเสียใจ
ที่เธอมีใคร เธอปิดบังฉัน

หลอกให้รัก ให้รออยู่
หลอกให้ฉันทุ่มเทหัวใจ
ที่เธอทำ ให้รัก
รักจนเกินถอนตัวถอนใจ
แต่ขาดเธอไป ไม่ตาย
ไม่ตายหรอกเธอ

ก็อยากจะขอ ให้เธอเข้าใจสักหน่อย
สักเพียงน้อย ให้รู้ว่าคนอย่างฉัน
ถ้าอยากจะไปก็เชิญ
แต่อย่าให้ฉันทนทรมาน
เอาความสงสารของเธอ
เก็บคืนไป
หลอกให้รัก ให้รออยู่
หลอกให้ฉันทุ่มเทหัวใจ
ที่เธอทำ ให้รัก
รักจนเกินถอนตัวถอนใจ
แต่ขาดเธอไป ไม่ตาย
ไม่ตายหรอกเธอ

หลอกให้รัก ให้รออยู่
หลอกให้ฉันทุ่มเทหัวใจ
ที่เธอทำ ให้รัก
รักจนเกินถอนตัวถอนใจ
แต่ขาดเธอไป ไม่ตาย
ไม่ตายหรอกเธอ

แค่ขาดเธอไป ไม่ตาย
ไม่ตายหรอกเธอ",loso
