song_name,href,lyric,artist
มันคือความรัก,/music/thailyric/9029,"ฉันเองก็งง ไม่เคยเป็นแบบนี้เลย
ถามคนที่เคย เขาว่ามันคือความรัก
พบกันไม่นาน แล้วเราก็ห่างหายกันสักพัก
หันไปทางไหน ก็เห็นหน้าเธอคนเดียว

ยิ่งดึกยิ่งเหงา จะกี่โมงก็ยังไม่นอน
เมื่อมีเธอเป็นภาพสะท้อน ติดอยู่ในใจ

ถ้ามันคือความคิดถึง ฉันเองก็คงคิดถึง
ถ้ามันคือความลึกซึ้ง ก็ลึกสุดๆ หัวใจ
ถ้ามันคือรักจริงๆ ก็คงจะรักมากมาย
เฝ้ารอคนอยู่ไกลๆ จะย้อนมา มาหากัน

ไม่เคยสัญญา ไม่เคยพูดว่ารักเลย
หัวใจเจ้าเอย ไม่เคยคิดไกลกว่านั้น
ไม่ทันเท่าไร ก็เผลอก็ห่วงหาก็ผูกพัน
ถึงคราวห่างกัน เพิ่งรู้หัวใจตัวเอง

ยิ่งดึกยิ่งเหงา จะกี่โมงก็ยังไม่นอน
เมื่อมีเธอเป็นภาพสะท้อน ติดอยู่ในใจ

ถ้ามันคือความคิดถึง ฉันเองก็คงคิดถึง
ถ้ามันคือความลึกซึ้ง ก็ลึกสุดๆ หัวใจ
ถ้ามันคือรักจริงๆ ก็คงจะรักมากมาย
เฝ้ารอคนอยู่ไกลๆ จะย้อนมา มาหากัน

ยิ่งดึกยิ่งเหงา จะกี่โมงก็ยังไม่นอน
เมื่อมีเธอเป็นภาพสะท้อน ติดอยู่ในใจ

ถ้ามันคือความคิดถึง ฉันเองก็คงคิดถึง
ถ้ามันคือความลึกซึ้ง ก็ลึกสุดๆ หัวใจ
ถ้ามันคือรักจริงๆ ก็คงจะรักมากมาย
เฝ้ารอคนอยู่ไกลๆ จะย้อนมา

ถ้ามันคือความคิดถึง ฉันเองก็คงคิดถึง
ถ้ามันคือความลึกซึ้ง ก็ลึกสุดๆ หัวใจ
ถ้ามันคือรักจริงๆ ก็คงจะรักมากมาย
เฝ้ารอคนอยู่ไกลๆ จะย้อนมา บอกรักกัน",lula
จม,/music/thailyric/12397,"อยากจะหนี หนีไปให้ไกลอีกหน่อย
หลบให้พ้น เรื่องที่เคยคุ้นตา
ออกไปค้น หาฉันคนเดิมกลับมา
ออกไปทิ้ง ชีวิตที่มีแต่เธอที่แล้วมา

ให้น้ำทะเลโอบล้อมหัวใจ ปล่อยมันให้จมลงก่อน
เจ็บช้ำเท่าไรปวดร้าวเพียงใด
ให้ลมทะเลช่วยปลอบ
ให้เสียงทะเลกระทบชายฝั่ง
ปล่อยมันให้ดังกลบเสียงเธอ
ที่ก้องอยู่เสมอ ก้องอยู่ในใจฉัน

ปล่อยใจดวงนี้ให้จมลงก่อน
ปล่อยใจที่คิดถึงเพียงแต่เธอ
ปล่อยวันดีๆ และภาพเก่าๆ ที่ไม่มีวันกลับมาเจอ
ทิ้งมันเอาไว้ตรงนี้ ทิ้งมันเอาไว้ ที่นี่

จบไปแล้ว ฝืนใจตัวเองอีกหน่อย
ให้หยุดร้อง เรียกให้เธอย้อนมา
เมื่อไม่รัก ทำไมต้องเสียเวลา
ได้เรียนรู้ เพื่อรักตัวเองกว่าวันที่แล้วมา

ให้น้ำทะเลโอบล้อมหัวใจ ปล่อยมันให้จมลงก่อน
เจ็บช้ำเท่าไรปวดร้าวเพียงใด
ให้ลมทะเลช่วยปลอบ
ให้เสียงทะเลกระทบชายฝั่ง
ปล่อยมันให้ดังกลบเสียงเธอ
ที่ก้องอยู่เสมอ ก้องอยู่ในใจฉัน

ปล่อยใจดวงนี้ให้จมลงก่อน
ปล่อยใจที่คิดถึงเพียงแต่เธอ
ปล่อยวันดีๆ และภาพเก่าๆ ที่ไม่มีวันกลับมาเจอ
ทิ้งมันเอาไว้ตรงนี้ ทิ้งมันเอาไว้ ที่นี่

ปล่อยใจดวงนี้ให้จมลงก่อน
ปล่อยใจที่คิดถึงเพียงแต่เธอ
ปล่อยวันดีๆ และภาพเก่าๆ ที่ไม่มีวันกลับมาเจอ
ทิ้งมันเอาไว้ตรงนี้ ทิ้งมันเอาไว้ ที่นี่",lula
ดีเจเสียงใส,/music/thailyric/12167,"ติดตามว่าคุณคือใคร ฉันสงสัย
ไม่รู้ทำไมจึงติดใจเสียงคุณ
ถามใจตัวเองว่าทำไม
เฝ้าคลั่งไคล้เพียงแต่คุณ
ต้องติดตามคุณเรื่อยมา

เปิดเพลงถูกใจคนฟัง ทุกทุกครั้ง
ชื่อเสียงคุณดัง กระฉ่อนไปแสนไกล
ฉันเองเวลาเปิดฟังคุณ
ไม่เคยหมุนไปคลื่นใด
ไม่อยากฟังใครเท่าคุณ

อยากจะเห็นตัวจริงจริง คงนิ้งดังวาจา
อยากมองตา เวลาที่คุยกับฉัน
แต่คุณนั้นคงมีเพียง เสียงมาคุยกัน
ฝากมาในรายการทุกวันจากใจ

ติดตามต่อไปในใจ หายสงสัย
ว่าฉันทำไม จึงติดใจเสียจริง
เสียงคุณคือ สื่อพาใจ
ให้ลอยเคลิ้ม คิดแอบอิง
ถ้าเจอะตัวจริงของคุณ

อยากจะเห็นตัวจริงจริง คงนิ้งดังวาจา
อยากมองตา เวลาที่คุยกับฉัน
แต่คุณนั้นคงมีเพียง เสียงมาคุยกัน
ฝากมาในรายการทุกวันจากใจ

ติดตามต่อไปในใจ หายสงสัย
ว่าฉันทำไม จึงติดใจเสียจริง
เสียงคุณคือ สื่อพาใจ
ให้ลอยเคลิ้ม คิดแอบอิง
ถ้าเจอะตัวจริงของคุณ

ดีเจ เสียงใสใส
คนนั้นเป็นใคร ดวงใจฉันถามหา
ดีเจ เสียงใสใส
คนนั้นเป็นใคร ดวงใจฉันถามหา
ดีเจ เสียงใสใส
คนนั้นเป็นใคร ดวงใจฉันถามหา
ดีเจ เสียงใสใส
คนนั้นเป็นใคร ดวงใจฉันถามหา
ดีเจ เสียงใสใส..",lula
ตัวปลอม,/music/thailyric/11442,"เปลี่ยนแปลงตัวเองให้เป็นเหมือนเขา
ไอ้ตัวจริงเรามันไม่เข้าที
ต้องเป็นตัวปลอม ต้องยอมโดนย้อมตัวจริงที่มี
หากเธอว่าดี ก็ดีเชื่อเธอ

แต่บางครั้งน้อยเนื้อต่ำใจ
อยากกลับไปเป็นคนเหมือนเก่า
อยากจะฝืนเพื่อเขา แต่เราไม่เคยสุขใจ

จะยอมทำตามตัวเธอทั้งๆ ที่ใจ
ก็อยากเป็นตัวฉันเองไง
ดูโทรมเล็กน้อย หัวใจไม่เปลี่ยนแปลง
แต่เธอไม่เคยจะแคร์ว่าแท้ๆ ข้างใน
เหนื่อยหน่ายเต็มทนทุกทีไป
เธอเคยรู้ไหมใจจริง สิ่งที่สำคัญ

ผ่านมาเนิ่นนานฉันยังสงสัย
เกิดมีวันใดใจหมดเรี่ยวแรง
ที่เคยยอมทนที่เคยสับสนมันมีเส้นแดง
บทเรียนคงแพง หากเกินเส้นไป

อยากให้รัก รักฉันข้างใน
สิ่งนอกกายมองไปแค่ผ่าน
อยากให้รักนั้นหวาน บอกกันก็ยังไม่สาย

กฏเกณฑ์ที่เธอเป็นคนคิดค้นให้ทำ
ผิดถูกยังไงชี้นิ้วนำ
เธอลองถามฉันสักคำ ไม่เคยมี
อยากหลบไปเลยบางทีทุกครั้งที่เจอ
ปรับเปลี่ยนไปตามสังคมเธอ
เวลาชะเง้อตามเธอ เหนื่อยจนท้อใจ

จะยอมทำตามตัวเธอทั้งๆ ที่ใจ
ก็อยากเป็นตัวฉันเองไง
ดูโทรมเล็กน้อย หัวใจไม่เปลี่ยนแปลง
แต่เธอไม่เคยจะแคร์ว่าแท้ๆ ข้างใน
เหนื่อยหน่ายเต็มทนทุกทีไป
เธอเคยรู้ไหมใจจริง สิ่งที่สำคัญ

เธอเคยรู้ไหมใจจริง สิ่งที่สำคัญ

[แฮชแท็กในเอ็มวีเพลง ตัวปลอม - ลุลา]
#ห้ามโทรจิก
#อย่าหึงผู้หญิงในโซเชียล
#ห้ามชักช้า
#ห้ามสนิทสนมกับเพศพ่อ
#อย่าบ้ากล้อง
#ห้ามเผือก
#ห้ามแสดงความเป็นเจ้าของ
#โตแล้วต้องหาอะไรกินเอง
#อย่ามโน
#ฉันคือสุภาพสตรี
#ต้องอดทน
#ต้องอดทน
#ต้องอดทน
#ต้องอดทน
#เป็นตัวจริงเป็นสิ่งที่ดีที่สุด﻿",lula
เพียงรัก,/music/thailyric/10998,"ยืนอยู่คนเดียว ช่างเปล่าช่างเปลี่ยวหัวใจ
ฉันยืนอยู่คนเดียวได้ยินไหม
ฉันเหงาหัวใจเหลือเกิน

และฉันคงทนต่อไปอีกไม่ไหว
คงต้องมีใครมาดูแลหัวใจ
คงทนต่อไปอีกไม่ไหว อยากจะบอก
ว่าฉันมีเพียงความรัก อยู่เต็มหัวใจ
อยากรู้ ว่ามีใครจะมารับเอาไว้

ยืนอยู่คนเดียว ฉันยืนอยู่คนเดียวได้ยินไหม
ฉันยืนอยู่คนเดียวได้ยินไหม
บางครั้งก็เกินที่จะทนไหว

และฉันคงทนต่อไปอีกไม่ไหว
คงต้องมีใครมาดูแลหัวใจ
คงทนต่อไปอีกไม่ไหว อยากจะบอก
ว่าฉันมีเพียงความรัก อยู่เต็มหัวใจ
อยากรู้ ว่ามีใครจะมารับเอาไว้

คงต้องมีใครที่ต้องการฉัน ใฝ่ฝันหยิบยื่นหัวใจ
คงต้องมีใคร ที่ต้องการฉันที่จะรัก ตลอดไป

เพียงรัก อยู่เต็มหัวใจ
อยากรู้ ว่ามีใครจะมารับเอาไว้",lula
รักคำโตโต,/music/thailyric/10786,"นับตั้งแต่วันนั้น วันที่เราได้พบกัน
ที่ว่างในหัวใจ ก็มีเธอมาอยู่ในนั้น
ฉันมีหนึ่งคำนี้ ในทุกนาทีที่เลยผ่าน
หากไม่พูดไป คงล้นหัวใจพอดี

อยากจะพูดไป ให้เธอได้ยิน
และหวังว่ามันคงกินในหัวใจ
คำๆ นี้ที่จะบอก ฉันไม่เคยมอบไว้ให้กับใคร
คำว่าฉันรักเธอ รักเธอ
คงจะทำให้เธอได้เข้าใจ
คำที่รวมในทุกความสุข ทุกอย่าง
จากวันดีๆ มากมาย

รวมเป็นคำว่าฉันรักเธอ รักเธอ
มันค่อยๆ เติบโตขึ้นในใจ
คำที่รวมในทุกความสุข ทุกอย่าง
เธอคนเดียวที่จะได้ไป
ได้ยินไหมรักคำโตๆ

แทนความห่วงใยนั้น ในเวลาที่ได้ใกล้กัน
ฉันอาจยังเขินอาย แต่วันนี้ขอทำตามใจ

อยากจะพูดไป ให้เธอได้ยิน
และหวังว่ามันคงกินในหัวใจ
คำๆ นี้ที่จะบอก ฉันไม่เคยมอบไว้ให้กับใคร
คำว่าฉันรักเธอ รักเธอ
คงจะทำให้เธอได้เข้าใจ
คำที่รวมในทุกความสุข ทุกอย่าง
จากวันดีๆ มากมาย

รวมเป็นคำว่าฉันรักเธอ รักเธอ
มันค่อยๆ เติบโตขึ้นในใจ
คำที่รวมในทุกความสุข ทุกอย่าง
เธอคนเดียวที่จะได้ไป
ได้ยินไหมรักคำโตๆ

คำว่าฉันรักเธอ รักเธอ
คงจะทำให้เธอได้เข้าใจ
คำที่รวมในทุกความสุข ทุกอย่าง
จากวันดีๆ มากมาย

รวมเป็นคำว่าฉันรักเธอ รักเธอ
มันค่อยๆ เติบโตขึ้นในใจ
คำที่รวมในทุกความสุข ทุกอย่าง
เธอคนเดียวที่จะได้ไป
ได้ยินไหมรักคำโตๆ
บอกเธอด้วยรักคำโตๆ",lula
เราไม่รู้จักกัน,/music/thailyric/14119,"เธอไม่รู้จักฉัน เราไม่รู้จักกัน
เราไม่เคยพบกันมาก่อนเลย
แต่วันหนึ่งเธอเข้ามา เปลี่ยนอะไรในใจของฉัน
ก่อตัวและกลายเป็นคำว่าคุ้นเคย

จากคนไม่รู้จักกัน ก็กลายเป็นความผูกพัน
เธอทำให้ใจของฉันไม่อาจรักใครได้เลย
ฉันยอมให้เธอหมดใจ จนไม่อาจจะจากไปไหน
แต่เธอกลับทิ้งฉันไว้อยู่ตรงนี้

เธอบอกว่ารัก ของเราสว่างกว่าแสงดวงดาว
ส่องแสงพร่างพราวอยู่บนฟ้า
แต่ดูเหมือน แสงดาวจะดับและลับตาลง
เมื่อถึงเวลา เมื่อฉันรู้ว่า

จากวันนี้จะไม่มีเธออีกแล้ว
จะให้ฉันต้องทำอย่างไร ที่ต้องเห็นเธอเดินจากไป
จากวันนี้จะไม่มีเธอใช่ไหม
ไม่มีอีกแล้วที่เคยห่วงใย กลับไปเป็นคนไม่เคยรู้จักกัน

เธอบอกว่ารัก ของเราสว่างกว่าแสงดวงดาว
ส่องแสงพร่างพราวอยู่บนฟ้า
แต่ดูเหมือน แสงดาวจะดับและลับตาลง
เมื่อถึงเวลา เมื่อฉันรู้ว่า

จากวันนี้จะไม่มีเธออีกแล้ว
จะให้ฉันต้องทำอย่างไร ที่ต้องเห็นเธอเดินจากไป
จากวันนี้จะไม่มีเธอใช่ไหม
ไม่มีอีกแล้วที่เคยห่วงใย กลับไปเป็นคนไม่เคยรู้จักกัน

จากวันนี้จะไม่มีเธอใช่ไหม
ไม่มีอีกแล้วที่เคยผูกพัน
เป็นแค่ใครบางคนที่เธอเดินผ่านไป

เธอไม่รู้จักฉัน เราไม่รู้จักกัน
เราคงไม่ได้พบกันอีกแล้ว",lula
เรื่องที่ขอ,/music/thailyric/11713,"ขอบคุณที่เธออยู่ ขอบคุณที่ไม่ห่าง
ไม่รู้ที่เป็นอย่างนี้ เพราะว่าในวันนั้น
ฉันขอเธอไว้หรือเปล่า

ขอบคุณที่เธอจูบ ขอบคุณที่เธอกอด
ไม่รู้ว่ารอยจูบนี้ ไม่รู้ว่าอ้อมกอดมี
เพราะฉันขอหรือเปล่า

ฉันขอเธอมากมายที่ผ่านมา
จนได้รู้ว่าเรื่องนี้

ไม่ใช่เรื่องที่จะขอกันฉันเข้าใจ
ไม่ใช่เรื่องที่จะขอแล้วให้กันได้
ฉันคงไม่อาจรั้งเธอ
ถ้าสุดท้ายเธอต้องการจะไป
แค่ครั้งหนึ่งได้มีเธออย่างที่เคยมี
ก็มากเกินกว่าจะขออะไรมากกว่านี้
เพียงเรื่องเดียวที่จะขอเธอในวันนี้
คือทบทวนดูอีกทีก่อนจะไป

คิดถึงเมื่อวันเก่า คิดถึงเมื่อวันก่อน
คิดถึงใครคนนั้น คนที่เคยดึงฉัน
เข้ามาไว้ในอ้อมกอด

ฉันขอเธอมากมายที่ผ่านมา
จนได้รู้ว่าเรื่องนี้

ไม่ใช่เรื่องที่จะขอกันฉันเข้าใจ
ไม่ใช่เรื่องที่จะขอแล้วให้กันได้
ฉันคงไม่อาจรั้งเธอ
ถ้าสุดท้ายเธอต้องการจะไป
แค่ครั้งหนึ่งได้มีเธออย่างที่เคยมี
ก็มากเกินกว่าจะขออะไรมากกว่านี้
เพียงเรื่องเดียวที่จะขอเธอในวันนี้
คือทบทวนดูอีกทีก่อนจะไป

ไม่ใช่เรื่องที่จะขอกันฉันเข้าใจ
ไม่ใช่เรื่องที่จะขอแล้วให้กันได้
ฉันคงไม่อาจรั้งเธอ
ถ้าสุดท้ายเธอต้องการจะไป
แค่ครั้งหนึ่งได้มีเธออย่างที่เคยมี
ก็มากเกินกว่าจะขออะไรมากกว่านี้
เพียงเรื่องเดียวที่จะขอเธอในวันนี้
คือทบทวนดูอีกที...ก่อนจะไป",lula
เรื่องระหว่างทาง,/music/thailyric/13561,"หลายคน เดินทางมาจากที่แสนไกล
แต่น้อยคน ที่จะรู้หนทางจะไปต่อ ดิ้นรน
ความสุขปะปนความเศร้าอยู่ไม่น้อย
รอคอย คอยวันนั้นที่ฝันจะสำเร็จ

ได้แต่หวังไว้ และมองออกไปข้างหน้า
โหยหาโชคชะตา ความฝันนำมาเจอความอ่อนล้า

ไปเรื่อยๆ จะได้ไม่เหนื่อยกับมันนัก
อะไรที่ยากมาก ก็ลองค่อยค่อยทบทวนใหม่
ฝันเอาไว้ ค่อยๆ เดินไปก็ไม่สาย
มันไม่ได้เสียหาย อาจกลายเป็น
เห็นเรื่องราวสำคัญในระหว่างทาง

หลายๆ คน วางความฝันไว้ไกลจากตรงนี้
และรู้ดี ว่าจะต้องพลีหัวใจให้มันหมด
ทุกคน ต่างมีความหวังในฝันของตัวเอง
ดั่งเสียงเพลง ที่โดนบรรเลงท่ามกลางฝนกระหน่ำ

ได้แต่หวังไว้ และมองออกไปข้างหน้า
โหยหาโชคชะตา ความฝันนำมาเจอความอ่อนล้า

ไปเรื่อยๆ จะได้ไม่เหนื่อยกับมันนัก
อะไรที่ยากมาก ก็ลองค่อยค่อยทบทวนใหม่
ฝันเอาไว้ ค่อยๆ เดินไปก็ไม่สาย
มันไม่ได้เสียหาย อาจกลายเป็น
เห็นเรื่องราวสำคัญในระหว่างทาง

ดอกไม้งดงามรอให้ชื่นชม
ก้อนหิน กลิ่นลมยังรออยู่ข้างทาง
ไม่รู้ว่าความฝันยังรอยังห่างไกลสักเท่าไร
จะถึงเมื่อไร

ได้แต่หวังไว้ และมองออกไปข้างหน้า
โหยหาโชคชะตา ความฝันนำมาเจอความอ่อนล้า

ไปเรื่อยๆ จะได้ไม่เหนื่อยกับมันนัก
อะไรที่ยากมาก ก็ลองค่อยค่อยทบทวนใหม่
ฝันเอาไว้ ค่อยๆ เดินไปก็ไม่สาย
มันไม่ได้เสียหาย อาจกลายเป็น
เห็นเรื่องราวสำคัญในระหว่างทาง

อาจกลายเป็น
เห็นเรื่องราวสำคัญในระหว่างทาง",lula
ห่างไม่ไกล,/music/thailyric/10628,"เวลาที่สองเราต้องอยู่ไกล
อยากรู้เธอเป็นอย่างไร อยากรู้เธอคิดถึงใคร
มีใครมาสนใจเธอบ้างไหม เขายิ้มให้เธอบ้างไหม
แล้วเธอทำอย่างไร

ข้างกายเธอนั้น ยังเป็นของฉันใช่ไหม
ในเวลาที่สองเราอยู่ไกล
มองไปบนฟ้า ในเวลาที่เธอเหงา
เธอยังคิดถึงฉันอยู่ใช่ไหม

อย่าให้ความเหงาทำให้เราเสียใจ
อย่าให้ความไกลทำให้เราต้องห่าง
ไม่อยากให้เธอนั้นหวั่นไหว ในเวลาที่เราต้องห่างไกล
ฉันอยู่ตรงนี้แม้จะเหงาเท่าไร แต่ว่าใจฉันยังมีเธอไม่ห่าง
ไม่ว่าจะไกลสักเท่าไร มันไม่เคยทำให้ฉันอ้างว้าง

ข้างกายเธอนั้น ยังเป็นของฉันใช่ไหม
ในเวลาที่สองเราอยู่ไกล
มองไปบนฟ้า ในเวลาที่เธอเหงา
เธอยังคิดถึงฉันอยู่ใช่ไหม

อย่าให้ความเหงาทำให้เราเสียใจ
อย่าให้ความไกลทำให้เราต้องห่าง
ไม่อยากให้เธอนั้นหวั่นไหว ในเวลาที่เราต้องห่างไกล
ฉันอยู่ตรงนี้แม้จะเหงาเท่าไร แต่ว่าใจฉันยังมีเธอไม่ห่าง
ไม่ว่าจะไกลสักเท่าไร มันไม่เคยทำให้ฉันอ้างว้าง

อย่าให้ความเหงาทำให้เราเสียใจ
อย่าให้ความไกลทำให้เราต้องห่าง
ไม่อยากให้เธอนั้นหวั่นไหว ในเวลาที่เราต้องห่างไกล
ฉันอยู่ตรงนี้แม้จะเหงาเท่าไร แต่ว่าใจฉันยังมีเธอไม่ห่าง
ไม่ว่าจะไกลสักเท่าไร มันไม่เคยทำให้ฉันอ้างว้าง",lula
