song_name,href,lyric,artist
ซัมเดย์ (Someday),/music/thailyric/5205,"I Look in the mirror each day when I rise.
Take a deep breath and I open my eyes
The women that I see
The women that I want to be
Is dying to show you
The things that I've felt for so long

And its been oh so long
I've been trying to be so strong

Some day is the day
That I will put all of my fears away
And we'll both know
The wonder of being in love..
Tonight just feels right
To tell you the thing
I've been keeping inside
Cause I can't keep it inside
I just can't keep it inside

There's so much about me
I want you to know
But each time I see you I lose control
I'm telling you baby
Inside I know
I'm waiting here for you..
Just like I have be for so long

And its been oh so long
I've been trying to be so strong

Some day is the day
That I will put all of my fears away
And we'll both know
The wonder of being in love..
Tonight just feels right
To tell you the thing
I've been keeping inside
Cause I can't keep it inside
I just can't keep it inside",lydia
ปล่อยแสง,/music/thailyric/10348,"อำพรางตัวตนในเงาที่มืดสลัว
ยังกลัวและยังลังเล
ไม่กล้าใช่ไหม โว๊ โอ่ โอ
มาปล่อยแสงและเปล่งเสียง
แสดงให้เห็นถึงพลังที่มีข้างใน
ระเบิดเสียงให้สุดฟ้า
ให้โลกได้รู้ถึงตัวตน
ร้องและตะโกนไปด้วยกัน

ร้องและตะโกนไปด้วยกัน

พอกันที พอกันที ชีวิตอย่างนั้น
ตัวตน ตัวจริงในใจ ที่ซ่อนเอาไว้ โว๊ โอ่ โอ
ไม่เอาแล้ว ไม่เอาแล้ว ก็ไม่ต้องยั้งเอาไว้
ใช้ชีวิตเหมือนไม่ใช่ ทำไมต้องเป็นอย่างนั้น
มาเถอะมา มาเถอะมา กำหนดชีวิตของเราเอง
Live your life โว โว่ โว๊

มาปล่อยแสงและเปล่งเสียง
ทำอย่างที่คิดข้างในใจที่ใจต้องการ
ระเบิดเสียงให้สุดฟ้า
แสดงให้เห็นถึงตัวตน
ร้องและตะโกนไปด้วยกัน

(Rap)

มาปล่อยแสงและเปล่งเสียง
ทำอย่างที่คิดข้างในใจที่ใจต้องการ
ระเบิดเสียงให้สุดฟ้า
แสดงให้เห็นถึงตัวตน
ร้องและตะโกนไปด้วยกัน

ร้องและตะโกนไปด้วยกัน

มาปล่อยแสงและเปล่งเสียง
ทำอย่างที่คิดข้างในใจที่ใจต้องการ
ระเบิดเสียงให้สุดฟ้า แสดงให้เห็นถึงตัวตน
ร้องและตะโกนไปด้วยกัน
มาปล่อยแสงและเปล่งเสียง
ทำอย่างที่คิดข้างในใจที่ใจต้องการ
ระเบิดเสียงให้สุดฟ้า แสดงให้เห็นถึงตัวตน
ร้องและตะโกนไปด้วยกัน",lydia
เธอไม่ยอมปล่อย หรือฉันไม่ยอมไป,/music/thailyric/8753,"สายลมที่พัด ฝนที่ร่วงโรยลงมา
เป็นเวลาที่ความเหงาใจ
ทำให้คิดทบทวนเรื่องราว

นานเท่าไรแล้วที่รู้สึกเป็นเพียงเงา
ทั้งที่เรายืนอยู่ใกล้กัน แต่เธอนั้นมองไม่เห็น

ยัง ฉันยังไม่ไปไหน เพราะว่ายังไม่ยอมแน่ใจ
ว่าเธอหมดรักกันจริงหรือเปล่า
แค่บางที ที่เธอดีกับฉัน
ฉันก็แปลว่าเรายังรักกัน ทั้งที่รู้ว่ามันเปลี่ยนไป

เธอกอดฉันไว้ เธอเก็บฉันไว้ หรือฉันเองที่ไม่ยอมไป
คิดเองทั้งนั้น ว่าเธอยังไม่ปล่อยให้ฉันไป
มันจบไปแล้ว มันเจ็บไปแล้ว
แต่ที่ทุกข์ ทุกวันนี้เพราะใคร
อาจเป็นเพราะฉัน ยังอยากให้เรารักกันตลอดไป

ยัง ฉันยังไม่ไปไหน เพราะว่ายังไม่ยอมแน่ใจ
ว่าเธอหมดรักกันจริงหรือเปล่า
แค่บางที ที่เธอดีกับฉัน
ฉันก็แปลว่าเรายังรักกัน ทั้งที่รู้ว่ามันเปลี่ยนไป

เธอกอดฉันไว้ เธอเก็บฉันไว้ หรือฉันเองที่ไม่ยอมไป
คิดเองทั้งนั้น ว่าเธอยังไม่ปล่อยให้ฉันไป
มันจบไปแล้ว มันเจ็บไปแล้ว
แต่ที่ทุกข์ ทุกวันนี้เพราะใคร
อาจเป็นเพราะฉัน ยังอยากให้เรารักกันตลอดไป

กลัวฉันกลัวเกินกว่าจะตัดใจจากเธอ
ต้องป้องกันความเจ็บ ด้วยใจที่หวัง
แต่ดูเหมือนความกลัว กลับทำร้ายตัวเราอยู่ทุกวัน

เธอกอดฉันไว้ เธอเก็บฉันไว้ หรือฉันเองที่ไม่ยอมไป
คิดเองทั้งนั้น ว่าเธอยังไม่ปล่อยให้ฉันไป
มันจบไปแล้ว มันเจ็บไปแล้ว
แต่ที่ทุกข์ ทุกวันนี้เพราะใคร
อาจเป็นเพราะฉัน ยังอยากให้เรารักกันตลอดไป",lydia
เสียใจไม่ยอมเสียเธอ,/music/thailyric/9952,"ฉันจะทำมันตามหัวใจ
ฉันไม่แคร์ใครจะเข้าใจ
และไม่มีวันที่ความต้องการ
จะหมดจะเลือนลดน้อยลงไป

ทั้งใจมันตกเป็นของเธอ
ไม่ขอไม่เจออีกแล้วผู้ใด
ไม่ว่าต้องเสียต้องแลกอะไร
จะทำเพราะรักเธอ

ต่อให้พรุ่งนี้เสียใจ แต่จะไม่ยอมเสียเธอ
ผิดถูกไม่รู้ รู้เพียงแค่เรารักกัน ความรักเท่านั้นที่ขอ
ต่อให้เธอเป็นของใคร วันนี้เราเป็นของกันก็พอ
เธอคือรักฉัน เธอเป็นของฉัน ชีวิตของฉันคือเธอ

ไม่ต้องมีสักคนเข้าใจ
แค่สุขใจจากเธอให้กัน
ไม่ต้องไปถามให้เสียเวลา
ว่ารักของเรานั้นเป็นแบบไหน

เจออะไรไม่ต้องสนใจ
จะทำไมก็เรารักกัน
ไม่มีเหตุผลใดใด
จะมาหยุดฉันที่รักเธอ

ต่อให้พรุ่งนี้เสียใจ แต่จะไม่ยอมเสียเธอ
ผิดถูกไม่รู้ รู้เพียงแค่เรารักกัน ความรักเท่านั้นที่ขอ
ต่อให้เธอเป็นของใคร วันนี้เราเป็นของกันก็พอ
เธอคือรักฉัน เธอเป็นของฉัน ชีวิตของฉันคือเธอ

ต่อให้พรุ่งนี้เสียใจ แต่จะไม่ยอมเสียเธอ
ผิดถูกไม่รู้ รู้เพียงแค่เรารักกัน ความรักเท่านั้นที่ขอ
ต่อให้เธอเป็นของใคร วันนี้เราเป็นของกันก็พอ
เธอคือรักฉัน เธอเป็นของฉัน ชีวิตของฉันคือเธอ
ชีวิตของฉันคือเธอ",lydia
กฎของแฟนเก่า,/music/thailyric/5200,"นั่งในร้านประจำของเรา
ตั้งแต่เช้าจนเย็นเฝ้ารอเธอ เผื่อเจอเธอสักวัน
ตรงที่นัดเจอกันทุกที
มาวันนี้ก็ไปเหมือนเมื่อวาน ต่อให้ไม่เคยได้พบเจอ

ได้ยินเสียงฟ้าร้องทุกๆที
ก็ยังห่วงเธออยู่ดีหรือเปล่า
ข้อความข้างในมือถือก็ยังคงเก็บไว้
ได้ยินเพลงที่เธอนั้นชอบฟัง
มันก็ยังคงคิดถึงทุกครั้งไป
ต้องเตือนตัวเองซ้ำๆจำเอาไว้

อย่าโทรไปรบกวนเธอ
อย่าไปเจอให้กวนใจ อย่าทำตัววุ่นวาย
อย่าคิดถึงเรื่องเก่า
ต้องไม่ลืมว่าเป็นใคร เจ็บยังไงต้องทนเอา
บอกตัวเองทุกเช้า
กฎเกณฑ์ของแฟนเก่าที่ต้องจำ

จริงๆแล้วฉันเองก็รู้ดี
ในวันนี้อะไรที่ต้องทำ ก็คือต้องห้ามใจ
ต้องยอมรับความจริงที่เป็นอยู่
แต่ไม่รู้จะทำได้เมื่อไหร่ ก็ในเมื่อใจมีแต่เธอ

ได้ยินเสียงฟ้าร้องทุกๆที
ก็ยังห่วงเธออยู่ดีหรือเปล่า
ข้อความข้างในมือถือก็ยังคงเก็บไว้
ได้ยินเพลงที่เธอนั้นชอบฟัง
มันก็ยังคงคิดถึงทุกครั้งไป
ต้องเตือนตัวเองซ้ำๆจำเอาไว้

อย่าโทรไปรบกวนเธอ
อย่าไปเจอให้กวนใจ อย่าทำตัววุ่นวาย
อย่าคิดถึงเรื่องเก่า
ต้องไม่ลืมว่าเป็นใคร เจ็บยังไงต้องทนเอา
บอกตัวเองทุกเช้า
กฎเกณฑ์ของแฟนเก่าที่ต้องจำ

อย่าโทรไปรบกวนเธอ
อย่าไปเจอให้กวนใจ อย่าทำตัววุ่นวาย
อย่าคิดถึงเรื่องเก่า
ต้องไม่ลืมว่าเป็นใคร เจ็บยังไงต้องทนเอา
บอกตัวเองทุกเช้า

อย่าโทรไปรบกวนเธอ
อย่าไปเจอให้กวนใจ อย่าทำตัววุ่นวาย
อย่าคิดถึงเรื่องเก่า
ต้องไม่ลืมว่าเป็นใคร เจ็บยังไงต้องทนเอา
บอกตัวเองทุกเช้า
กฎเกณฑ์ของแฟนเก่าที่ต้องจำ",lydia
ระหว่างเราคืออะไร,/music/thailyric/5209,"ฉันยังไม่รู้เลย จะลงเอยเช่นไร
สิ่งที่ตัวฉันเอง คิดอยู่ทุกวัน นั้นถูกไหม
เพราะว่าในสายตา เธอดูมีเลศนัย
แต่ก็เหมือนว่าแค่แกล้งทำ
เพียงต้องการทำให้ฉันนั้นหวั่นไหว

ให้ความสำคัญไปพร้อมๆใคร
ให้ความสนใจไปเหมือนๆกับคนอื่น
ฉันก็ไม่รู้ว่าที่ไหนควรจะยืน
ต้องทนขืนข่มความข้องใจ

ฉันก็ไม่รู้ระหว่างเราคืออะไร
มันคืออะไรที่เธอคิดกับฉัน
คนที่สนใจหรือเล่นๆไป
ทำแบบไหนที่เราจะคบกัน
หรือต้องให้ฉันแค่แอบมีเธอในใจ
แค่นี้ใช่ไหมที่เธอคิดกับฉัน
บอกกับฉันที ฉันไม่เข้าใจ
ระหว่างเรามันควรเป็นเช่นไร ไม่รู้เลย

เหมือนเดิมทุกๆวัน ยังคงไม่เข้าใจ
สิ่งที่ตัวฉันเองคิดอยู่ทุกวัน นั้นผิดไหม
เพราะว่าในสายตา ยังทำให้คิดไป
มันจะจริงหรือแค่แกล้งทำ
เธอจงบอกกันให้รู้บ้างได้ไหม

ให้ความสำคัญไปพร้อมๆใคร
ให้ความสนใจไปเหมือนๆกับคนอื่น
ฉันก็ไม่รู้ว่าที่ไหนควรจะยืน
ต้องทนขืนข่มความข้องใจ
ฉันก็ไม่รู้ระหว่างเราคืออะไร
มันคืออะไรที่เธอคิดกับฉัน
คนที่สนใจหรือเล่นๆไป
ทำแบบไหนที่เราจะคบกัน
หรือต้องให้ฉันแค่แอบมีเธอในใจ
แค่นี้ใช่ไหมที่เธอคิดกับฉัน
บอกกับฉันที ฉันไม่เข้าใจ
ระหว่างเรามันควรเป็นเช่นไร ไม่รู้เลย

ให้ความสำคัญไปพร้อมๆใคร
ให้ความสนใจไปเหมือนๆกับคนอื่น
ฉันก็ไม่รู้ว่าที่ไหนควรจะยืน
ต้องทนขืนข่มความข้องใจ
ฉันก็ไม่รู้ระหว่างเราคืออะไร
มันคืออะไรที่เธอคิดกับฉัน
คนที่สนใจหรือเล่นๆไป
ทำแบบไหนที่เราจะคบกัน
หรือต้องให้ฉันแค่แอบมีเธอในใจ
แค่นี้ใช่ไหมที่เธอคิดกับฉัน
บอกกับฉันที ฉันไม่เข้าใจ
ระหว่างเรามันควรเป็นเช่นไร ไม่รู้เลย

ไม่รู้เลย",lydia
1 วินาทีก็ช้าไป,/music/thailyric/5199,"แววตาอย่างนี้ ที่เคยต้องการวันนั้น
ถ้าฉันได้มองเมื่อวาน
อาจทำให้ฉันใจอ่อน
คำพูดดีดี น้ำเสียงที่เธออ้อนวอน
ถ้าฉันได้ยินวันก่อน ก็อาจจะยอมคืนดี

แต่เพราะเวลามันมีเงื่อนไข..บางอย่าง
ถ้าพูดให้เธอฟัง ไม่รู้จะเข้าใจบ้างไหม

เธออยู่ที่ไหน..นาทีที่ฉันอ่อนล้า
ไปอยู่ที่ไหน..ฮา..ทำไมเพิ่งจะกลับมา
เนิ่นนานแค่ไหนที่ฉันเฝ้ารอเธอตรงนี้
วันนี้ฉันทำใจได้แล้วคนดี
แค่หนึ่งวินาทีก็ช้าไป

เธอน่าจะนึก..ถึงใจฉันเร็วกว่านี้
ช้าเพียงแค่เสี้ยวนาที ยังไงก็คือไม่ทัน
รอมากี่คืน กล้ำกลืนเพราะเธอกี่วัน
เนิ่นนานที่มีโอกาส แต่เธอก็ผ่านมันไป

แต่เพราะเวลามันมีเงื่อนไข..บางอย่าง
ถ้าพูดให้เธอฟัง ไม่รู้จะเข้าใจบ้างไหม

เธออยู่ที่ไหน..นาทีที่ฉันอ่อนล้า
ไปอยู่ที่ไหน..ฮา..ทำไมเพิ่งจะกลับมา
เนิ่นนานแค่ไหนที่ฉันเฝ้ารอเธอตรงนี้
วันนี้ฉันทำใจได้แล้วคนดี
แค่หนึ่งวินาทีก็ช้าไป

ฉันไม่ใช่คนเดิมอีกแล้วคนดี
แค่หนึ่งวินาทีก็ช้าไป",lydia
เกี่ยวกันมั้ย,/music/thailyric/5201,"หากบางคืนที่เธอได้มองดวงดาวดวงนั้น
อาจเป็นดวงที่ฉันก็ชอบมอง
หากว่าใจเธอนั้นไม่เคยมีใครจับจอง
และฉันก็ยังไม่มีเจ้าของใจ

ก็แบบฉันมันคนขี้เหงา
ส่วนเธอกำลังรอใคร
ทำไมไม่รู้ ก็ไม่รู้ว่าทำไม
เหมือนมันมีเงื่อนไขระหว่างเรา

เกี่ยวกันมั้ยก็ไม่รู้ แต่ที่รู้มาเกี่ยวกันมั้ย
เกี่ยวกันไว้ มาๆ มีใจให้กัน
เกี่ยวกันนะเกี่ยวกันนิด มาใกล้ชิดมาผูกพัน
นะรอเธอคนนี้แค่คนเดียว มาเกี่ยวหัวใจฉันที

หนึ่งนาทีที่เรานั้นเหมือนบังเอิญสบตา
เจตนาที่ฟ้าคงขีดไว้
ให้เราเดินผ่านมาและคงไม่ยอมผ่านไป
เมื่อหัวใจเราต่างคนพบคำตอบ

ก็แบบฉันมันคนขี้เหงา
ส่วนเธอกำลังรอใคร
ทำไมไม่รู้ ก็ไม่รู้ว่าทำไม
เหมือนมันมีเงื่อนไขระหว่างเรา

เกี่ยวกันมั้ยก็ไม่รู้ แต่ที่รู้มาเกี่ยวกันมั้ย
เกี่ยวกันไว้ มาๆ มีใจให้กัน
เกี่ยวกันนะเกี่ยวกันนิด มาใกล้ชิดมาผูกพัน
นะรอเธอคนนี้แค่คนเดียว

เกี่ยวกันมั้ยก็ไม่รู้ แต่ที่รู้มาเกี่ยวกันมั้ย
เกี่ยวกันไว้ มาๆ มีใจให้กัน
เกี่ยวกันนะเกี่ยวกันนิด มาใกล้ชิดมาผูกพัน
นะรอเธอคนนี้แค่คนเดียว มาเกี่ยวหัวใจฉันที

เกี่ยวกันมั้ยไม่รู้
มาเกี่ยวหัวใจฉันที",lydia
เข็ดมั้ย,/music/thailyric/5203,"เจ็บอะไรมาเหรอ เจ็บที่ใจใช่มั้ย
ร้องเถอะร้องออกไป
ปล่อยมันระบายมันไปทางท่อน้ำตา

คนไม่ดีใช่มั้ย ปล่อยมันไปเถิดหนา
ยื้อก็เสียเวลา เจ็บจนในใจระอาเหมือนเคย

แล้วมันครั้งที่เท่าไร ก็รู้อยู่แก่ใจ
เดี๋ยวก็เหมือนเดิม เจ็บแล้วก็ควรจำ
หรืออยากช้ำอีกบ่อยๆ
เจ็บจนน้ำตาปรอยๆ อยู่อย่างนี้

เข็ดมั้ยที่โดนเขาทอดเขาทิ้ง ทำให้เธอมีน้ำตา
เข็ดมั้ยที่ยังไปกรุณา ให้กับคนไม่จริงใจ
เห็นแล้วว่าทำให้เจ็บตลอด
จำไว้ว่าเขาน่ะทำให้ปวดตลอด โยนเขาทิ้งไป

คนมันทำให้ช้ำ อย่าไปเก็บมาคิด
ลบมันทิ้งออกไป
อย่ายอมให้ใครทำลายหัวใจเธออีก

คนมันไม่เคยนึก คนมันไม่เคยคิด
คิดในเรื่องที่ดี ก็คนดีๆ เขาคงไม่ทำ

แล้วมันครั้งที่เท่าไร ก็รู้อยู่แก่ใจ
เดี๋ยวก็เหมือนเดิม เจ็บแล้วก็ควรจำ
หรืออยากช้ำอีกบ่อยๆ
เจ็บจนน้ำตาปรอยๆ อยู่อย่างนี้

เข็ดมั้ยที่โดนเขาทอดเขาทิ้ง ทำให้เธอมีน้ำตา
เข็ดมั้ยที่ยังไปกรุณา ให้กับคนไม่จริงใจ
เห็นแล้วว่าทำให้เจ็บตลอด
จำไว้ว่าเขาน่ะทำให้ปวดตลอด โยนเขาทิ้งไป

เข็ดมั้ยที่โดนเขาทอดเขาทิ้ง ทำให้เธอมีน้ำตา
เข็ดมั้ยที่ยังไปกรุณา ให้กับคนไม่จริงใจ
เห็นแล้วว่าทำให้เจ็บตลอด
จำไว้ว่าเขาน่ะทำให้ปวดตลอด

เข็ดมั้ยที่โดนเขาทอดเขาทิ้ง ทำให้เธอมีน้ำตา
เข็ดมั้ยที่ยังไปกรุณา ให้กับคนไม่จริงใจ
เห็นแล้วว่าทำให้เจ็บตลอด
จำไว้ว่าเขาน่ะทำให้ปวดตลอด โยนเขาทิ้งไป",lydia
เปลี่ยน,/music/thailyric/5207,"เนิ่นนาน เวลามันเนิ่นนาน
ที่เธอมีคำเดิมๆให้ฉัน
ให้มา เพียงคำว่าเพื่อนกัน
แต่สิ่งที่ทำมันมากกว่านั้น

ไม่เลย มันคงไม่ใช่เลย
เพราะใจเธอคงเปลี่ยนแปลงเหมือนฉัน
เธอคงกล้า ที่จะไม่ ปฏิเสธใช่ไหม
เรามีอะไรที่มันลึกซึ้งให้กัน

จ้องตา เวลาเธอจ้องมา ก็ดูว่าเธอมีใจให้ฉัน
ใกล้กัน เวลาเราใกล้กัน อะไรที่ทำให้ใจสั่นไหว
ล่องลอย ใจมันก็ล่องลอย ทุกทีที่เราใกล้กันใช่ไหม
ความเป็นเพื่อน คงไม่ใช่ ความรู้สึกแบบนี้
แล้วเธอจะเปลี่ยนบางอย่างได้ไหม

เปลี่ยนจากคำว่า เพื่อน เป็นคำว่ารัก
มันคงจะไม่ยากอะไรใช่ไหม
แค่เธอถามใจของเธอ ลองทำตามที่ใจนั้นสั่ง
เปลี่ยนจากเป็นเพื่อนเป็นคนที่รัก
ทิ้งคำ คำเดิมนั้นไป
อยากให้รู้ว่าตัวฉันยังรออยู่
เฝ้ารอคำพูดของใจ ว่ารักกัน

ยากเย็น มันคงไม่ยากเย็น ถ้าเธอจะเป็นตัวเองซักครั้ง
เมื่อใจเราเองก็รู้กัน กับสิ่งที่เธอยังเก็บมันไว้
เข้าใจ เธอคงจะเข้าใจ ฉันมีใจให้กับเธอแค่ไหน
คำว่าเพื่อน มันยังกั้นให้เราดูห่างเหิน
แล้วเธอต้องการจะเปลี่ยนมันไหม

เปลี่ยนจากคำว่า เพื่อน เป็นคำว่ารัก
มันคงจะไม่ยากอะไรใช่ไหม
แค่เธอถามใจของเธอ ลองทำตามที่ใจนั้นสั่ง
เปลี่ยนจากเป็นเพื่อนเป็นคนที่รัก
ทิ้งคำ คำเดิมนั้นไป
อยากให้รู้ว่าตัวฉันยังรออยู่
เฝ้ารอคำพูดของใจ ว่ารักกัน

เปลี่ยนจากคำว่า เพื่อน เป็นคำว่ารัก
มันคงจะไม่ยากอะไรใช่ไหม
แค่เธอถามใจของเธอ ลองทำตามที่ใจนั้นสั่ง
เปลี่ยนจากเป็นเพื่อนเป็นคนที่รัก
ทิ้งคำ คำเดิมนั้นไป
อยากให้รู้ว่าตัวฉันยังรออยู่
เฝ้ารอคำพูดของใจ

เปลี่ยนจากคำว่า เพื่อน เป็นคำว่ารัก
มันคงจะไม่ยากอะไรใช่ไหม
แค่เธอถามใจของเธอ ลองทำตามที่ใจนั้นสั่ง
เปลี่ยนจากเป็นเพื่อนเป็นคนที่รัก
ทิ้งคำ คำเดิมนั้นไป
อยากให้รู้ว่าตัวฉันยังรออยู่
เฝ้ารอคำพูดของใจ ว่ารักกัน",lydia
