song_name,href,lyric,artist
อย่าไปเสียน้ำตา,/music/thailyric/6472,"ถ้าหากคุณเคยช้ำใจ
กับคนใจร้ายสักคน
เขาปล่อยคุณไว้ให้หมองหม่น
ให้ทนกับความเฉยชา

ทุกสิ่งที่คุณให้ไป
ไม่มีความหมายกลับมา
ที่สุดก็เสียแต่น้ำตา
ที่คุณไม่เคยให้ใคร

อย่าไปเสียน้ำตาให้เขาเลย
จงปล่อยให้นองหัวใจ
อย่าไปเสียน้ำตาและร้องไห้
ให้คนที่ใจไม่จริง

ไม่มีหวังที่มันจะเหมือนเก่า
เหมือนวันที่เคยแอบอิง
อย่าไปเสียน้ำตาให้บางสิ่ง
ที่มันไม่กลับคืนมา

เพราะเจ็บมาจนฉันจำ
กลัวคุณจะช้ำหนักหนา
ไม่อยากให้ช้ำให้ไร้ค่า
ดั่งที่ใจฉันเคย

อย่าไปเสียน้ำตาให้เขาเลย
เค้าคงไม่เคยเห็นใจ
ก็เพราะรักของคุณนั้นมากไป
สำหรับคนใจไม่จริง

ไม่มีหวังที่มันจะเหมือนเก่า
เหมือนวันที่เคยแอบอิง
อย่าไปเสียน้ำตาให้บางสิ่ง
ที่มันไม่กลับคืนมา

เสียดายแทนที่มันรินมันไหล
เพราะใจมันเหนื่อยมันล้า
ไม่มีใครที่จะกลับมาหา
มารับรู้ว่าเจ็บเพียงไหน

อย่าไปเสียน้ำตาให้เขาเลย
เค้าคงไม่เคยเห็นใจ
ก็เพราะรักของคุณนั้นมากไป
สำหรับคนใจไม่จริง

ไม่มีหวังที่มันจะเหมือนเก่า
เหมือนวันที่เคยแอบอิง
อย่าไปเสียน้ำตาให้บางสิ่ง
ที่มันไม่กลับคืนมา",m_attapol
คนเบื้องหลัง,/music/thailyric/6447,"เขาก็รู้ว่าเธอมีใคร และก็รู้ว่าฉันเป็นใคร
แต่ทำไมยังมาวุ่นวายกับเธอ
หรือว่าเขาแกล้งทำเป็นลืม แกล้งไม่รู้ถึงทำลงไป
แต่ทำไมต้องทำอย่างนั้น....

มันคงเป็นไปได้ยาก เท่าที่ฉันรู้จัก
ดูเป็นคนไม่น่าจะหักหลังใคร หรือที่เป็นแบบนี้

เพราะเธออยู่เบื้องหลังทุกๆ อย่าง คอยให้ความหวัง
เธอ...คอยให้ท้ายทุกๆ อย่าง เขาก็เลยพลั้ง...
เดินมาตีท้ายครัวคนอื่น เดินมาแทงข้างหลัง...
ขอถามเธอสักคำ คนเบื้องหลังเขาคือตัวเธอใช่ไหม

ทุกๆ ครั้งที่เขาโทรมา ดูแววตาเหมือนเธอดีใจ
ดึกยังไงไม่เคยว่าเลยสักครั้ง
แล้วให้ฉันเข้าใจยังไง เวลาคุยถ้าฉันคอยฟัง
ทำไมเธอต้องคอยเดินหนี...

มันคงเป็นไปได้ยาก เท่าที่ฉันรู้จัก
ดูเป็นคนไม่น่าจะหักหลังใคร หรือที่เป็นแบบนี้

เพราะเธออยู่เบื้องหลังทุกๆ อย่าง คอยให้ความหวัง
เธอ...คอยให้ท้ายทุกๆ อย่าง เขาก็เลยพลั้ง...
เดินมาตีท้ายครัวคนอื่น เดินมาแทงข้างหลัง...
ขอถามเธอสักคำ คนเบื้องหลังเขาคือตัวเธอใช่ไหม

เดินมาตีท้ายครัวคนอื่น เดินมาแทงข้างหลัง
ขอถามเธอสักคำ ว่าคนเบื้องหลังเขาคือตัวเธอใช่ไหม...ใช่ไหม

เดินมาตีท้ายครัวคนอื่น เดินมาแทงข้างหลัง
ขอถามเธอสักคำ ว่าคนเบื้องหลังเขาคือตัวเธอใช่ไหม...ใช่ไหม

ขอถามเธอสักคำ ว่าคนเบื้องหลังเขาคือตัวเธอใช่ไหม",m_attapol
คนอีกฝั่งฟ้า,/music/thailyric/6449,"ยังคงเหมือนเดิม...ทุกอย่างจากวันนั้น...ไม่เปลี่ยนไป
ยังคงเหมือนเดิม...ยังปล่อยให้ความเหงาทำลาย.. ทำร้ายในหัวใจ

อาจจะยิ้มให้ใครบางคน...อาจจะหัวเราะได้บางวัน
แต่เธอรู้ไหม( แต่ใครรู้ไหม ) ...ใจฉันห่วง

คนอีกฝั่งฟ้า...คนที่ตัวฉันรักหมดใจ
คิดถึงคนไกลที่อยู่อีกฝั่งฟ้า
ห่างไกลอย่างนี้...จะมีใครหรือเปล่า
อีกนานไหมจะกลับ...กลับมาแล้วเธอจะเปลี่ยนไปไหม

เวลาที่เธอต้องเจ็บ...ต้องผิดหวัง...ใครปลอบใจ
เวลาฤดูมันเปลี่ยน...เมื่อลมฝนโปรยปราย..จะหนาวสักเท่าไหร่

อาจจะยิ้มให้ใครบางคน...อาจจะหัวเราะได้บางวัน
แต่เธอรู้ไหม( แต่ใครรู้ไหม ) ...ใจฉันห่วง

คนอีกฝั่งฟ้า...คนที่ตัวฉันรักหมดใจ
คิดถึงคนไกลที่อยู่อีกฝั่งฟ้า
ห่างไกลอย่างนี้...จะมีใครหรือเปล่า
อีกนานไหมจะกลับ...กลับมาแล้วเธอจะเปลี่ยนไปไหม

ฉันใช้ทุกคืนคิดถึงเธอตลอด...เหมือนว่าหัวใจที่มีของฉัน
มีเพื่อรักเธอ....แค่รักเธอ... โฮว......โฮ้ว.....โวว
อีกนานไหมจะกลับ...กลับมาแล้วเธอจะเปลี่ยนไปไหม
อีกนานไหมจะกลับ...กลับมาแล้วเธอจะเปลี่ยน....ไปไหม",m_attapol
ถอยคนละก้าว,/music/thailyric/6454,"ก็เหมือนทางตัน ไม่เห็นทางไป
ก็รักไม่สดใส มีแต่ปัญหา
ก็เสียวตอนจบ จะมีแต่น้ำตา
มาน้ำเย็นเถอะหนา เราคนรักกัน...

ทิ้งศักดิ์ศรี เปิดความคิดให้ด้านดีๆ ได้เข้าใจ
แพ้หรือชนะ ไม่มีนะ ซักครั้ง ได้ไหม

แค่เธอกับฉัน นั้นถอยคนละก้าว
ช่วยกันได้ไหม ให้รักมันได้ก้าว
เป็นไปได้ไหม เพื่อวันพรุ่งนี้
สองเราได้เข้าใจ มาหันหน้าคุยกัน

ไม่เห็นคนถูก ไม่รู้ว่าใครผิด
สองใจต่างคิด คนละเหตุผล
ไอ้ฉันไม่ยอมความ ไอ้เธอก็พร้อมชน
ยังนี้คงไม่พ้น ต้องทะเลาะกัน

ทิ้งศักดิ์ศรี เปิดความคิดให้ด้านดีๆ ได้เข้าใจ
แพ้หรือชนะ ไม่มีนะ ซักครั้ง ได้ไหม

แค่เธอกับฉัน นั้นถอยคนละก้าว
ช่วยกันได้ไหม ให้รักมันได้ก้าว
เป็นไปได้ไหม เพื่อวันพรุ่งนี้
สองเราได้เข้าใจ มาหันหน้าคุยกัน

ทิ้งศักดิ์ศรี เปิดความคิดให้ด้านดีๆ ได้เข้าใจ
แพ้หรือชนะ ไม่มีนะ ซักครั้ง ได้ไหม

แค่เธอกับฉัน นั้นถอยคนละก้าว
ช่วยกันได้ไหม ให้รักมันได้ก้าว
เป็นไปได้ไหม เพื่อวันพรุ่งนี้
สองเราได้เข้าใจ มาหันหน้าคุยกัน

แค่เธอกับฉัน นั้นถอยคนละก้าว
ช่วยกันได้ไหม ให้รักมันได้ก้าว
เป็นไปได้ไหม เพื่อวันพรุ่งนี้
สองเราได้เข้าใจ มาหันหน้าคุยกัน",m_attapol
มีน้อย,/music/thailyric/6459,"สิ่งที่ตัวฉันเป็น...สิ่งที่ตัวฉันมี
ไม่รู้ว่ามันจะดีคู่ควรพอไหม
ถ้าเอาไปให้เธอ...เพื่อแลกกับใจทั้งใจ
หรือแค่เพียงเศษเสี้ยวนึง

กับสิ่งที่ใครเขาเป็น...สิ่งที่ใครเขามี
ที่เห็นก็มีแต่คนพร้อม..ดีกว่าฉัน
หวั่นในใจทุกที...ต้องเก็บอาการทุกวัน
เลยถามเธอตรงๆ วันนี้

(ไอ้)คนที่มีอะไรน้อย แต่คอยห่วงเธอ
คนที่มีแต่ความรัก...ความจริงใจ
สุดท้ายจะต้องเจ็บหรือยังหวังได้
ว่าวันไหนเธอจะยอมรับกัน

แค่บอกกับตัวฉันมา...ตอบกับตัวฉันที
ไม่ต้องเกรงใจถ้ามีน้ำใจต่อกัน
จะได้พอรู้ตัว...ไม่แอบเข้าใจหลงทาง
แค่พูดมาให้ฟังจะยอม

(ไอ้)คนที่มีอะไรน้อย แต่คอยห่วงเธอ
คนที่มีแต่ความรัก...ความจริงใจ
สุดท้ายจะต้องเจ็บหรือยังหวังได้
ว่าวันไหนเธอจะยอมรับกัน

กับสิ่งที่ใครเขาเป็น...สิ่งที่ใครเขามี
ที่เห็นก็มีแต่คนพร้อม..ดีกว่าฉัน
หวั่นในใจทุกที...ต้องเก็บอาการทุกวัน
เลยถามเธอตรงๆ วันนี้

(ไอ้)คนที่มีอะไรน้อย แต่คอยห่วงเธอ
คนที่มีแต่ความรัก...ความจริงใจ
สุดท้ายจะต้องเจ็บหรือยังหวังได้
ว่าวันไหนเธอจะยอมรับกัน

บอกฉันที....
(คนที่มีอะไรน้อย แต่คอยห่วงเธอ...
คนที่มีแต่ความรัก...ความจริงใจ....ฮู้ว...)",m_attapol
ไม่โรแมนติค,/music/thailyric/6461,"HooYea Yeah Hoo1...234

ก็รู้ที่ใครเขาชอบกัน...มีรักแล้วควรต้องแบบไหน
ต้องหวานให้กันสักเท่าไหร่...ก็รู้ดี...yeah

แต่ฉันนั้นมันไม่ใกล้เคียง...ไม่เหมือนตำราเขาบอกไว้
ไม่ take ไม่ care อย่างคนไหน เหมือนที่เธอนั้นต้องการ

ก็รู้...ว่าซึ้งไม่เป็นเท่าไหร่...แต่รักที่มีนั้นจากใจ
แค่นี้เธอคงไม่ว่ากัน น้า

ฉันคงไม่บีบยาสีฟัน...ให้เธอนั้นได้แปรงทุกเช้า
และคงไม่รินน้ำแก้วยาวๆ...ให้เธอก่อนเข้านอน
และฉันคงจะไม่ใช่ผู้ชาย...ที่เปิดประตูรถให้เธอก่อน
แต่สิ่งนึงที่ฉันทำแน่นอน...คือรักเธอ

ให้หวานนั้นคงไม่ยากเย็น...ให้ซึ้งที่จริงก็พอไหว
แต่ขอโทษทีจะโกรธไหม...ทำแล้วมันเขินตัวเอง

ก็รู้...ว่าซึ้งไม่เป็นเท่าไหร่...แต่รักที่มีนั้นจากใจ
แค่นี้เธอคงไม่ว่ากัน น้า

ฉันคงไม่บีบยาสีฟัน...ให้เธอนั้นได้แปรงทุกเช้า
และคงไม่รินน้ำแก้วยาวๆ...ให้เธอก่อนเข้านอน
และฉันคงจะไม่ใช่ผู้ชาย...ที่เปิดประตูรถให้เธอก่อน
แต่สิ่งนึงที่ฉันทำแน่นอน...คือรักเธอ

ฉันคงไม่บีบยาสีฟัน...ให้เธอนั้นได้แปรงทุกเช้า
และคงไม่รินน้ำแก้วยาวๆ...ให้เธอก่อนเข้านอน
และฉันคงจะไม่ใช่ผู้ชาย...ที่เปิดประตูรถให้เธอก่อน
แต่สิ่งนึงที่ฉันทำแน่นอน...คือรักเธอ

แต่สิ่งนึงที่ฉันทำแน่นอน...คือรักเธอ",m_attapol
ลายมือ,/music/thailyric/6465,"รู้ ไม่รู้อะไร ก็โทษดวง
ก็เค้าให้เชื่อ ให้เดินกันไป ตามแต่ฟ้าดิน
แผนที่โชคชะตาและทุกสิ่ง อยู่ที่ลายมือ
ชีวิตนั้นฝืนอะไรไม่ได้เลย

ก็ไม่เข้าใจ มันจะทำไม ในเมื่อชีวิตของเรา

แค่เรากำมือ กี่โชคชะตาก็เอาอยู่
ก็แค่ลายมือ จะชั่ว ดี เลว เราเองที่รู้
อยู่ในกำมือ กี่เส้นชะตา เรากำหนดไว้
มันจะร้าย จะดีอย่างไร
อนาคต เส้นทางอีกไกล...อยู่ในมือเรา

ทุกชีวิตไม่มีสิทธิ์เลือกเกิด
แต่ทุกๆครั้ง คนเราควรเป็นอย่างที่ต้องการ
คนไหนที่เค้าฟันธง ก็ช่างมัน มาเชื่อตัวเอง
ใช้พรุ่งนี้ ได้ตามอย่างตั้งใจ

ก็ไม่เข้าใจ กลัวมันทำไม นี่มันชีวิตของเรา

แค่เรากำมือ กี่โชคชะตาก็เอาอยู่
ก็แค่ลายมือ จะชั่ว ดี เลว เราเองที่รู้
อยู่ในกำมือ กี่เส้นชะตา เรากำหนดไว้
มันจะร้าย จะดีอย่างไร
อนาคต เส้นทางอีกไกล...อยู่ในมือเรา

แค่เรากำมือ กี่โชคชะตาก็เอาอยู่
ก็แค่ลายมือ จะชั่ว ดี เลว เราเองที่รู้
อยู่ในกำมือ กี่เส้นชะตา เรากำหนดไว้
มันจะร้าย จะดีอย่างไร
อนาคต เส้นทางอีกไกล...อยู่ในมือเรา

แค่เรากำมือ กี่โชคชะตาก็เอาอยู่
ก็แค่ลายมือ จะชั่ว ดี เลว เราเองที่รู้
อยู่ในกำมือ กี่เส้นชะตา เรากำหนดไว้
มันจะร้าย จะดีอย่างไร
อนาคต เส้นทางอีกไกล...อยู่ในมือเรา",m_attapol
ลืมไม่เป็น,/music/thailyric/6466,"ยังคงยืนที่เก่า ยังทำตัวเองเหมือนเก่า
ชีวิตไม่เปลี่ยนไปไหนเลยสักที
ตื่นมายังมองหาเธอ แต่มองยังไงก็ไม่มี
ก็ยังจะทำไปอยู่อย่างนั้น

จบไปแล้วก็รู้ แต่เหมือนคนทำไม่ได้
เหตุผลเธอรู้ใช่ไหมมีอย่างเดียว

ก็ใจมันยังรักแค่เธอ เอะอะก็พร่ำเพ้อไม่รู้จักจบไป
ยังมีแต่คำว่าเธอไม่ยอมเปลี่ยนไป
ไม่ลืมสักที ก็อยากจะหยุดฝันถึงเธอ
แต่ทุกค่ำคืนก็เจออย่างเดิมทุกที
ขอโทษที่ความรักมันยังมี ก็ฉันมันลืมไม่เป็น

ยังคงดูรูปถ่าย ข้อความไม่เคยลบไป
วันไหนวันเกิดเธอฉันจำได้ดี มันจะนานเท่าไหร่
ก็ยังจะรอเธอทุกนาที ใจมันวนเวียนอยู่อย่างนั้น

จบไปแล้วก็รู้ แต่เหมือนคนทำไม่ได้
เหตุผลเธอรู้ใช่ไหมมีอย่างเดียว

ก็ใจมันยังรักแค่เธอ เอะอะก็พร่ำเพ้อไม่รู้จักจบไป
ยังมีแต่คำว่าเธอไม่ยอมเปลี่ยนไป
ไม่ลืมสักที ก็อยากจะหยุดฝันถึงเธอ
แต่ทุกค่ำคืนก็เจออย่างเดิมทุกที
ขอโทษที่ความรักมันยังมี ก็ฉันมันลืมไม่เป็น

ขอโทษที่ยังคิดถึงเธอ  มันรักและลืมไม่เป็น",m_attapol
เวลาเดินเร็วเท่ากัน,/music/thailyric/6467,"กว่าอะไรจะพ้นเลยผ่าน...ในวันที่เสียใจมา
ทำไมมันดูช้า...และยาวนานอย่างนี้...กว่าจะผ่านวินาที

แต่ในวันที่ใจนั้นสุข...อะไรดูจะหมุนเร็วไว
ถ้าใครเป็นอย่างนี้ลองคิดดูใหม่...ไม่ใช่เวลาที่ลำเอียง

ทุกวัน...มันจะสุข-ทุกข์ เท่าไหร่...เวลาก็ยังหมุนเดินไป
เหมือนเดิม...ไม่เคยเดินช้า หรือ เร็วกว่าที่เป็น
อยู่ที่ใจ...ถ้าใจเราไม่คิดไปก่อน..ก็คงได้รู้แน่นอน
จะ(ได้/ต้อง)พบเรื่องดีๆ หรือ เสียใจ...เวลาก็ไม่เร็วไปกว่ากัน

เมื่อในวันที่ใจฉันเจ็บ...จากการโดนบางคนทิ้งไป
ก็มองว่าเวลาเวียนหมุนช้าได้...แต่ก็เข้าใจในวันนี้

ทุกวัน...มันจะสุข-ทุกข์ เท่าไหร่...เวลาก็ยังหมุนเดินไป
เหมือนเดิม...ไม่เคยเดินช้า หรือ เร็วกว่าที่เป็น
อยู่ที่ใจ...ถ้าใจเราไม่คิดไปก่อน..ก็คงได้รู้แน่นอน
จะ(ได้/ต้อง)พบเรื่องดีๆ หรือ เสียใจ...เวลาก็ไม่เร็วไปกว่ากัน

ทุกวัน...มันจะสุข-ทุกข์ เท่าไหร่...เวลาก็ยังหมุนเดินไป
เหมือนเดิม...ไม่เคยเดินช้า หรือ เร็วกว่าที่เป็น
อยู่ที่ใจ...ถ้าใจเราไม่คิดไปก่อน..ก็คงได้รู้แน่นอน
จะ(ได้/ต้อง)พบเรื่องดีๆ หรือ เสียใจ...เวลาก็ไม่เร็วไปกว่ากัน

ไปกว่ากัน.....ไปกว่ากัน......ไปกว่ากัน",m_attapol
เหงาง่าย,/music/thailyric/6470,"ฝันหวานทุกที...เห็นใครดีๆ เข้ามาชิดใกล้
สวยๆ ยิ้มมาก็เพ้อไป...
เขาหวาน สองคำ...แค่ฟังก็ตามไปกับเขาทั่ว
ทุกครั้งทั้งใจและทั้งตัว...

ก็เบื่อที่เราง่ายดาย...เป็นอย่างเงี้ยทุกทีไป

เจอใครก็รัก...รักทุกที...เป็นยังเงี้ยได้ทั้งปี
มันเหงาง่าย...ไม่เข้าใจ
เจอใครก็รัก...ซะทุกที...แต่ก็จบมันแบบนี้ที่ช้ำใจ
เมื่อไหร่ ถึงจะไม่รักง่าย...ต้องโดนอีกสักเท่าไหร่

ฉันขอซักคน...ขอใจที่จริงไม่มีทิ้งขว้าง
แค่นี้...ถ้ามีช่วยขอทาง
ได้ไหม...ช่วยที...ซักคนดีๆ ไปด้วยกันได้
ถ้าช้า...ฉันกลัวไม่เหลือใจ

ก็เบื่อที่เราง่ายดาย...เป็นอย่างเงี้ยทุกทีไป

เจอใครก็รัก...รักทุกที...เป็นยังเงี้ยได้ทั้งปี
มันเหงาง่าย...ไม่เข้าใจ
เจอใครก็รัก...ซะทุกที...แต่ก็จบมันแบบนี้ที่ช้ำใจ
เมื่อไหร่ ถึงจะไม่รักง่าย...ต้องโดนอีกสักเท่าไหร่

ก็เบื่อที่เราง่ายดาย...เป็นอย่างเงี้ยทุกทีไป

เจอใครก็รัก...รักทุกที...เป็นยังเงี้ยได้ทั้งปี
มันเหงาง่าย...ไม่เข้าใจ
เจอใครก็รัก...ซะทุกที...แต่ก็จบมันแบบนี้ที่ช้ำใจ
เมื่อไหร่ ถึงจะไม่รักง่าย...ต้องโดนอีกสักเท่าไหร่

เจอใครก็รัก...รักทุกที...เป็นยังเงี้ยได้ทั้งปี
มันเหงาง่าย...ไม่เข้าใจ
เจอใครก็รัก...ซะทุกที...แต่ก็จบมันแบบนี้ที่ช้ำใจ
เมื่อไหร่ ถึงจะไม่รักง่าย...ต้องโดนอีกสักเท่าไหร่

ถึงจะไม่รักง่าย...ต้องโดนอีกสักเท่าไหร่
ถึงจะไม่รักง่าย",m_attapol
