song_name,href,lyric,artist
ผัวสำรอง,/music/thailyric/11671,"กะบ่ฮู้ว่าสิเฮ็ดจังได๋
คันหัวใจอ้ายบ่มีเจ้า
อ้ายเลยยอมคุกเข่าขอร้อง
อย่าฟ่าวถิ่มอ้ายได้บ่
อ้ายยอมเป็นตัวสำรอง
ยอมเป็นคนที่สองยามน้องเสียใจ

หากวันไหนที่เขาบ่ฮัก
อ้ายอยากให้น้องฮู้ว่า
อ้ายสิซับน้ำตาให้น้อง
ถึงตอนนี้น้องยังมีเขา
กะสิบ่เว่าเรื่องเฮาทั้งสอง
ขออยู่เป็นผัวสำรองของน้องเรื่อยไป

หากมื้อใด๋เจ้ามีน้ำตา
ให้น้องฮู้ว่าอ้ายสิซับน้ำตาแทนเขา

ฮู้ดีว่าอ้ายมีค่าแค่ผัวสำรอง
ยอมรับตำแหน่งผัวมือสอง
เข้าชิงยามน้องปวดใจ
เจ็บจากเขาคนนั้น
อ้ายจังมีค่าไม่เป็นไร ไม่เป็นไร
จังใด๋อ้ายกะทนได้
ทั้งหัวใจอ้ายยอมทุกอย่าง

หากวันไหนที่เขาบ่ฮัก
อ้ายอยากให้น้องฮู้ว่า
อ้ายสิซับน้ำตาให้น้อง
ถึงตอนนี้น้องยังมีเขา
กะสิบ่เว่าเรื่องเฮาทั้งสอง
ขออยู่เป็นผัวสำรองของน้องเรื่อยไป

หากมื้อใด๋เจ้ามีน้ำตา
ให้น้องฮู้ว่าอ้ายสิซับน้ำตาแทนเขา

ฮู้ดีว่าอ้ายมีค่าแค่ผัวสำรอง
ยอมรับตำแหน่งผัวมือสอง
เข้าชิงยามน้องปวดใจ
เจ็บจากเขาคนนั้น
อ้ายจังมีค่าไม่เป็นไร ไม่เป็นไร
จังใด๋อ้ายกะทนได้
ทั้งหัวใจอ้ายยอมทุกอย่าง

จังใด๋อ้ายกะทนได้
แม้ต้องกลายเป็นผัวสำรอง",maithai_huajaisin
ของแท้บ่,/music/thailyric/12302,"ผู้สาวขึ้นใหม่ เจ้าไปเฮ็ดอันใด๋มา หือ
อันใด๋มาล่ะช่างมาโก้แท้หล่า
หน้าขาวอ่องต่อง

เป็นตาแซบอีหลี มีไปน้อเจ้าของ
อยากจับอยากต้อง ละแม่นของแท้บ่

แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่
แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่

แต่ก่อนแต่กี้ เล่นบักลี้อ้ายหนีโสตาย
หนี โสตาย ย่านคนผู้ฮ้ายมาโป้งอ้าย
อยากอายหมู่เขา
แต่เป็นตอนนี้อยากเล่นจ้ำจี้ แค่สองคนเฮา
พิสูจน์ว่าเจ้า ละแม่นของแท้บ่

แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่
แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่

สะออนตาเจ้า ทั้งวาวทั้งคม
สะออนนมใหญ่ ไว้เลี้ยงลูกน้อย
สะออนใต้ท้องคือสิบ่ค่อย
แม่นอ้ายได้ต้อย คือสิจ่อย
คาม่อง คาม่อง
คาม่อง คาม่อง

อยากส่องลอดผ้า น้องหล่าแก้มเปิ่งเซิ่ง
เบิ่งข้างเทิ่งข้างใต้ เฮ็ดให้อ้ายคิดหลาย
สายตาจ้อง ของแม่ให้มา สะออนนาท่องน้อย
อยากปล่อยบักเถิกลงเล่น โอ้ยลงเล่น
คั่นเป็นไปได้ อยากย้ายเฮือนเข้าไปอยู่
เข้าไปแขวนอู่น้อย คอยหยอกตั้งแต่นาง
ฮะเออ ฮะเอ้ย หล่าเอ๋ย หล่าเอย

แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่
แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่

ถ้าลูกเกิดมา หน้าตาบ่คือกับแม่
บ่คือกับแม่ล่ะย่าน แต่แหล่ แหล่
บ่คือกับแม่ของมันตอนนี้
เตือนผู้ชายเฮา สิเอาเมียต้องคิดให้ดี
ผู้สาวสู่มื้อนี้ มีตัวช่วยให้สวยให้งาม

แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่
แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่

สะออนตาเจ้า ทั้งวาวทั้งคม
สะออนนมใหญ่ ไว้เลี้ยงลูกน้อย
สะออนใต้ท้อง คือสิบ่ค่อย
แม่นอ้ายได้ต้อย คือสิจ่อย
คาม่อง คาม่อง
คาม่อง คาม่อง

อยากส่องลอดผ้า น้องหล่าแก้มเปิ่งเซิ่ง
เบิ่งข้างเทิ่งข้างใต้ เฮ็ดให้อ้ายคิดหลาย
สายตาจ้องของแม่ให้มา สะออนนาท่องน้อย
อยากปล่อยบักเถิกลงเล่น โอ้ยลงเล่น
คั่นเป็นไปได้ อยากย้ายเฮือนเข้าไปอยู่
เข้าไปแขวนอู่น้อย คอยหยอกตั้งแต่นาง
ฮะเออ ฮะเอ้ย หล่าเอ๋ย หล่าเอย

แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่
แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่

ถ้าลูกเกิดมา หน้าตาบ่คือกับแม่
บ่คือกับแม่ ล่ะย่านแต่แหล่ แหล่
บ่คือกับแม่ของมันตอนนี้
เตือนผู้ชายเฮา สิเอาเมียต้องคิดให้ดี
ผู้สาวสู่มื้อนี้ มีตัวช่วยให้สวยให้งาม

แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่
แม่นของแท้บ่ แม่นของแท้บ่
แม่นของแท้บ่ แท้บ่",maithai_huajaisin
เจ็บจนจุก,/music/thailyric/12301,"ปิดประตูอยู่เดียวดาย ขังตัวเองเอาไว้ลำพัง
เผื่อฮ้องไห้เสียงดัง จั่งบ่มีผู้ใด๋ได้ยิน
เพราะเธอมาทิ้งไป
เก็บข้าวของไปจนเหมิดสิ้น
เหลือไข่สองฟองให้ต้มกิน
กับพัดลมฮ้างๆ พังๆ

ผิดอีหยังคือบ่บอกกัน หรือฝั่งฝันมันฮอดช้าไป
เจ้าจั่งได้เปิดอาดหลาด บ่ลาสักคำ

โอ้ย.. มันเจ็บจนจุกฮู้บ่
สาดน้ำเหล้า เข้าลำคอราดรดหัวใจ
เมา.. แฮงเมาแฮงน้ำตาไหล
ฮอดมื้อตาย อ้ายสิลืมเจ้าได้บ่หนอ
ซอยกลับคืนมาได้บ่ ฆ่าอ้ายให้ตายแล้วจังไป

ปิดประตูอยู่เดียวดาย ขังตัวเองเอาไว้ลำพัง
เผื่อฮ้องไห้เสียงดัง จั่งบ่มีผู้ใด๋ได้ยิน
ตบเบียร์.. ขวดสุดท้าย ล้างแผลหัวใจที่ขาดดิ้น
ปิดก๊อกน้ำตาที่ไหลริน จนเจิ่งนองไปทั่วพื้นห้อง

ผิดอีหยังคือบ่บอกกัน หรือฝั่งฝันมันฮอดช้าไป
เจ้าจั่งได้เปิดอาดหลาด บ่ลาสักคำ

โอ้ย.. มันเจ็บจนจุกฮู้บ่
สาดน้ำเหล้า เข้าลำคอราดรดหัวใจ
เมา.. แฮงเมาแฮงน้ำตาไหล
ฮอดมื้อตาย อ้ายสิลืมเจ้าได้บ่หนอ
ซอยกลับคืนมาได้บ่ ฆ่าอ้ายให้ตายแล้วจังไป

ซอยกลับคืนมาได้บ่ ฆ่าอ้ายให้ตายแล้วจังไป",maithai_huajaisin
พาเมียไปออกเฟส,/music/thailyric/12176,"กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด
กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด

เบื่อหลายเมียอ้ายติดเฟส
ให้แต่มีเน็ต ปล่อยไว้กะอยู่
มิดอิงติงปานเด็กน้อยนอนอู่
มิดซี่ลี่ปานบ่มีคนอยู่
เจ้าคงบ่ฮู้ ลูกผัวอยู่จังได๋

กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด
กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด

แต่ก่อนมันบ่เป็นจังซี่ พอมีมือถือรุ่นมันตู้ดได้
มิดอิงติงเจ้าบ่ติงไปไส เเม่นละเจ้าคนละสังคมใหญ่
ได้หยังกินมื้อนี้ สิลาบเฟซสั่นบ่

มักคัก เขาทักกะแชร์ให้
สิไปไสมาไส ได้จักโพสต์ก็พอ
เช็คอินว่าเพื่อนอยู่ไส
บ่ได้จักไลก์ บ่เพิ่นหน้างอ
สูนให้เมียอยากได้ไลก์จักหม้อ
สูนเมียแฮง อยากได้ไลก์จักหม้อ
สิ้เทฮาด สะบ่หนอ
มาคือโพดคักแท้ ละมาคือโพดคักแท้

กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด
กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด

วัดใดดี พระใดดัง หลวงพ่อขลังๆ
ซ่อยบอกข่อยแน
หม่องใดเจ๋ง พราหมณ์ใดเก่ง
มาแต่งแก้ เมียข่อยเพิ่นแป
สุมื้อนี้มีแต่สร้างกระแส
จักแชร์หยังกะเดีย อยากพาเมียไปออกเฟซ

มักคัก เขาทักกะแชร์ให้
สิไปไสมาไส ได้จักโพสต์ก็พอ
เช็คอินว่าเพื่อนอยู่ไส
บ่ได้จักไลก์ บ่เพิ่นหน้างอ
สูนให้เมียอยากได้ไลก์จักหม้อ
สูนเมียแฮง อยากได้ไลก์จักหม้อ
สิ้เทฮาด สะบ่หนอ
มาคือโพดคักแท้ ละมาคือโพดคักแท้

กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด
กดแชร์แล้วก็ไลก์ กดแชร์แล้วก็ไลก์
บ่ได้เฮ็ดหยัง ข่อยมาซังแท้เด

วัดใดดี พระใดดัง หลวงพ่อขลังๆ
ซ่อยบอกข่อยแน
หม่องใดเจ๋ง พราหมณ์ใดเก่ง
มาแต่งแก้ เมียข่อยเพิ่นแป
สุมื้อนี้มีแต่สร้างกระแส
จักแชร์หยังกะเดีย อยากพาเมียไปออกเฟซ
มันสิเก็ทบ่หนอ",maithai_huajaisin
อกหักศาสตร์,/music/thailyric/12114,"แม่นไผเขียนบท มาโหดกับอ้ายคักแท้
มีแต่อกหัก ถึกถิ่มยามใด๋กะซ่าง
หัวฮักมักหลาย สุดท้ายกะเป็นลายต่าง
ฮักแท้คงบ่มีทาง คนบางเวลา ของเขาเท่านั้น

เจ็บจนชิน ละวินนำความฮัก
มีแต่คนคักๆ ถิ่มอ้ายคือเก่า
ฤกษ์เกิดบ่ดี ชีวิตมีแต่เศร้า
พ้อกันดูแม่นเจ้า บักอกหักนี่หนา

เวลาล่วง ลาล่วงช่วงเป็นบ่าวขึ้นใหม่
สาวใด๋กะอยากต้อย หนอข่อยผู้ใคร่
สมใจเจ้ากะเวินเซินหนี ว่าอ้ายดีเกินไป
เป็นเงื่อนไขถิ่มอ้าย

หนายเป็นเสือ สงสัยสิกลายเป็นควาย
เหยื่อสาวๆ สวยๆ ตั๋วกันคักขนาด
ไผบ่ทันโดนเกิดมาบ่เบิดชาติ
ต้องลองต้องเรียนถึงบ่มีใบประกาศ
ดอกเตอร์อกหักศาสตร์ ข่อยคงอีบ่ดน

หมู่พวกหลายคนละจบการศึกษา
มีภรรยา เป็นตัวเป็นตน
แต่คนของอ้าย คงสิอีกดน
จบหลักสูตรนี้บ่มีไผสน
รับดูแลจน ความฮักใหม่สิมา

ศึกษาไว้ ศึกษาไว้พร้อมแก้ไขยามภัยมา
ยารักษาบ่ได้ โรคหัวใจถึกถิ่ม
มิดอิมสิ่ม คือจังหอยคุยกัน
อันตรายเพินว่า ถ้าอกหักมานี้

ฮู้ดีมีประสบการณ์ ผ่านงานมาหลาย
ผู้เชี่ยวชาญคืออ้าย ไผสิตั๋วมาเด้อ

หมู่พวกหลายคนละจบการศึกษา
มีภรรยา เป็นตัวเป็นตน
แต่คนของอ้าย คงสิอีกดน
จบหลักสูตรนี้บ่มีไผสน
รับดูแลจน ความฮักใหม่สิมา

ศึกษาไว้ ศึกษาไว้พร้อมแก้ไขยามภัยมา
ยารักษาบ่ได้ โรคหัวใจถึกถิ่ม
มิดอิมสิ่ม คือจังหอยคุยกัน
อันตรายเพินว่า ถ้าอกหักมานี้

ฮู้ดีมีประสบการณ์ ผ่านงานมาหลาย
ผู้เชี่ยวชาญคืออ้าย ไผสิตั๋วมาเด้อ..",maithai_huajaisin
กลับคำสาหล่า,/music/thailyric/19110,"คำสั้นๆ ที่ความยาวมันบ่ถึงนาที
อาจทำลายหลายล้านนาที สิ่งดีดี ที่เฮาร่วมก่อ
ใจเย็นไว้สา เว้าหยังออกมา ฮู้โตบ่น้อ
เรื่องมื้อนี้อ้ายสิบ่คึดต่อ แค่อยากขอให้เห็นแก่ฮักเฮา

เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋ อยากให้ลองตรองดูจั่กคราว
เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า อ้ายขอให้เจ้า กลับคำสาหล่า

คำสั้นๆ ที่ความหมายมันรุนแรงเกินไป
มันสะเทือนฮอดหัวใจอ้าย หยุดเอาไว้เซาเว้าเด้อหล่า
อยู่กันมาดน ต้องมีสักหน ที่มีปัญหา
ผิดใจกันก็เรื่องธรรมดา อย่าถือสาให้มันเป็นเรื่องราว

เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋ อยากให้ลองตรองดูจั๊กคราว
เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า อ้ายขอให้เจ้า กลับคำสาหล่า

คำสั้นๆ ที่ความหมายมันรุนแรงเกินไป
มันสะเทือนฮอดหัวใจอ้าย หยุดเอาไว้เซาเว้าเด้อหล่า
อยู่กันมาดน ต้องมีสักหน ที่มีปัญหา
ผิดใจกันก็เรื่องธรรมดา อย่าถือสาให้มันเป็นเรื่องราว

เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋ อยากให้ลองตรองดูจั๊กคราว
เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า อ้ายขอให้เจ้า กลับคำสาหล่า

เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋ อยากให้ลองตรองดูจั๊กคราว
เก็บเอาไว้ก่อน คำว่าลาก่อน เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า อ้ายขอให้เจ้า กลับคำสาหล่า",maithai_huajaisin
ความลับสวรรค์,/music/thailyric/18005,"เป็นความลับสวรรค์ซั่นบ่
เกิดมาพ้อกับความเหงา
ทั้งที่ชีวิตมันเป็นของเรา
เหตุผลปนเศร้าทนเหงาเพื่อใคร

อีกมุมหนึ่งของชีวิต
มุมพรหมลิขิต ให้ก้าวไป
ก้าวสู่เส้นทางป่ากว้างเมืองใหญ่
ผู้คนมากมายหลากล้วนลวดลาย
ต่างก็หลงใหลในคำว่า ซูเปอร์สตาร์

หลายคนได้ลอง หลายคนเข้ามา
สู่ดลฟ้ามายาร้อยเล่ห์
แผดเผาเข้าไป เป้าหมายพุ่งชน
พลีกายพลีตนจนมีเสน่ห์
เร่าร้อนรุนแรง เปล่งแสงแห่งชัย
สิไปสิมาทางไหน มีกำลังใจคนคอยฮาเฮ
เฮ เฮ ยุคสตาร์ฮาเฮ

ไม่มีวันจะชนะ ทุกแห่งหน
ในเมื่อตนชนะใจของตนไม่ได้
เว้นชัยไม่มีไว้ เพียงเราคนเดียว
ยุคหลังร่างเหี่ยว เวลาร่วงโรย

เป็นความลับสวรรค์ซั่นบ่
ถึงคราวพ้อเรื่องเหงาๆ
เก็บบทความลับเรื่องราวของเรา
เหตุผลปนเศร้าทนเหงาเพื่อ ใคร",maithai_huajaisin
โควิด ชีวิตต้องเดินต่อ,/music/thailyric/17729,"หน้าฮ้านคือแปนจั่งป่า
มันเกิดอีหยังกับชาวหมอลำ
หน้าเวทีในตอนค่ำๆ มีแต่คนปิดหน้า
ว่าได้ข่าวว่ามีโรคร้ายมันอันตรายหนักหนา
โควิดไนน์ทีน มันหรอยเข้ามา
บ่บอกกล่าว ซุมเฮาหมอลำ

หยุดงาน แต่ชีวิตยังเดินต่อไป
หนี้สินภาระมากมาย
เรามันคนหาเซ้ากินค่ำ
ทางเดียวที่พอทำได้
คือกำลังใจที่งดงาม
ผ่านเพลงเหงาๆ ให้ชาวหมอลำ
เฮาต้องสู้ดูแลตัวเองให้ดี

โอ โอ้ละหนอ โอ โอ้ละหนอ

ออกพรรษล่ะข้าเจ้าเฮาจั่งพ้อกัน
เฮายังฮักเฮายังมั่นเด้อพี่น้องเอย
ให้โควิดไนน์ทีนมันได้ผ่านเลย
โอ้พี่น้องเฮาเอ๋ยเฮาต้องสู้ต่อไป

ได้แต่หวังว่ามื้ออื่น เมื่อเฮาตื่นมา
คงสิพ้อท้องฟ้าที่มันสดใส
เมื่อโควิดไนน์ทีนไนน์ทีมมันได้หายไป
เฮามาจ๊วดกันไหมอยู่หน้าฮ้านหมอลำ
เฮามาจ๊วดกันไหม อยู่หน้าฮ้านหมอลำ
เฮามาจ๊วดกันไหม อยู่หน้าฮ้านหมอลำ

โอ โอ้ละหนอ ชีวิตต้องเดินต่อไป
ชีวิตต้องเดินต่อไป

ออกพรรษล่ะข้าเจ้าเฮาจั่งพ้อกัน
เฮายังฮักเฮายังมั่นเด้อพี่น้องเอย
ให้โควิดไนน์ทีนมันได้ผ่านเลย
โอ้พี่น้องเฮาเอ๋ยเฮาต้องสู้ต่อไป

ได้แต่หวังว่ามื้ออื่น เมื่อเฮาตื่นมา
คงสิพ้อท้องฟ้าที่มันสดใส
เมื่อโควิดไนน์ทีนไนน์ทีมมันได้หายไป
เฮามาจ๊วดกันไหมอยู่หน้าฮ้านหมอลำ
เฮามาจ๊วดกันไหม อยู่หน้าฮ้านหมอลำ
เฮามาจ๊วดกันไหม อยู่หน้าฮ้านหมอลำ

โอ โอ้ละหนอ ชีวิตต้องเดินต่อไป
ชีวิตต้องเดินต่อไป",maithai_huajaisin
ฆ่าอ้ายให้ตายสา,/music/thailyric/14906,"หัวใจอ้ายแตกสลาย
กายอ้ายบ่มีแฮงเดิน
มันทรมานเหลือเกิน
เมื่อเจ้าเมินบ่สนใจ
ไสล่ะคนที่ว่าฮัก
เป็นหยังคือจั่งจากไป
อ้ายเฮ็ดผิดหม่องได๋
ให้อภัยอ้ายแหน่เด้อ

เหตุผลจักมาแต่ไส
มื้อสิไปหลายคักเหตุผล
บ่คิดสิมาหลูโตน
คนถือถิ่มสิเจ็บส่ำได๋
ตอนคบกันบอกว่าอ้ายบ่ดี
พอเลิกกันว่าอ้ายดีเกินไป
กอดขารั้งเจ้าเอาไว้
เฮ็ดจั่งได๋เจ้ากะบ่อยู่

ฆ่าอ้ายให้ตายสา
อยู่ไปกะไร้ค่าจั่งซี่
ชีวิตบ่มีหยังดี
ตั้งแต่มื้อที่น้องบอกลา
บ่ตายอ้ายกะส่ำตาย
สภาพอ้ายส่ำคนเป็นบ้า
อ้ายสิไปตายเอาดาบหน้า
อือ ฮือ ลาก่อน

บ่อยากเฮ็ดอีหยังแล้ว
กายเย็นชา สมองบ่รับรู้
ที่ยังหายใจอยู่
กะส่ำคนตายทั้งเป็นล่ะ
เฮาฮักกันมาตั้งโดน
เฮาคบกันมาจนว่า
ยังทำใจบ่ได้ดอกหล่า
น้ำตาอ้ายยังไหลบ่เซา

ฆ่าอ้ายให้ตายสา
อยู่ไปกะไร้ค่าจั่งซี่
ชีวิตบ่มีหยังดี
ตั้งแต่มื้อที่น้องบอกลา
บ่ตายอ้ายกะส่ำตาย
สภาพอ้ายส่ำคนเป็นบ้า
อ้ายสิไปตายเอาดาบหน้า
อือ ฮือ ลาก่อน

ฆ่าอ้ายให้ตายสา
อยู่ไปกะไร้ค่าจั่งซี่
ชีวิตบ่มีหยังดี
ตั้งแต่มื้อที่น้องบอกลา
บ่ตายอ้ายกะส่ำตาย
สภาพอ้ายส่ำคนเป็นบ้า
อ้ายสิไปตายเอาดาบหน้า
ตายกูตาย ลาก่อน

ฆ่าอ้ายให้ตายสาก่อน อือ ฮื้อ
ก่อนสิคบกับไผ
โอ้น้อ นอ นางเอย",maithai_huajaisin
บ่ต้องห่วงอ้าย,/music/thailyric/14663,"อ้ายบ่ว่า คำลาจากปากของเจ้า
ถึงสิเหงา ก็บ่เป็นหยังน้อนาง
อ้ายเข้าใจน้องหล่า ถึงเวลาเลือกหนทางย่าง
ยอมพ่ายอ้ายยอมหลีกทาง
ให้เจ้านั้นสำบายใจ

บ่ต้องห่วงอ้ายดอกคนดี
สิอยู่หม่องนี้ยังมีน้ำตา
กะเบิ่ดฮัก อ้ายฮู้ว่า
เจ้าคงต้องไป
บ่ต้องห่วงอ้ายดอกก้อนคำ
อ้ายสิจำมื้อนี้เอาไว้
ว่าเทื่อหนึ่งเคยให้ใจ
กับเขาคนที่ฮักเฮาบ่จริง

บ่ต้องห่วงอิหยังเด้อหล่า
อ้ายบ่ว่าเข้าใจเจ้าเบิ่ดทุกสิ่ง
ให้เขาฮักเจ้าอิหลี
อย่าคืออ้ายที่ถืกเจ้าถิ่ม
ถ้ามื้อได๋ เขาบ่ฮักจริง
ให้คืนมาหาอ้าย

บ่ต้องห่วงอ้ายดอกคนดี
สิอยู่หม่องนี้ยังมีน้ำตา
กะเบิ่ดฮัก อ้ายฮู้ว่า
เจ้าคงต้องไป
บ่ต้องห่วงอ้ายดอกก้อนคำ
อ้ายสิจำมื้อนี้เอาไว้
ว่าเทื่อหนึ่งเคยให้ใจ
กับเขาคนที่ฮักเฮาบ่จริง

บ่ต้องห่วงอ้ายดอกคนดี
สิอยู่หม่องนี้ยังมีน้ำตา
กะเบิ่ดฮัก อ้ายฮู้ว่า
เจ้าคงต้องไป
บ่ต้องห่วงอ้ายดอกก้อนคำ
อ้ายสิจำมื้อนี้เอาไว้
ว่าเทื่อหนึ่งเคยให้ใจ
กับเขาคนที่ฮักเฮาบ่จริง

กับเขา โอ้ว คนที่อ้ายฮักเบิ่ดใจ",maithai_huajaisin
